Store Number,Power Outage Risk Evaluation,Phoen Gen Proj Status,Generator Qualification,Projected Install Complete Date,Actual Install Complete Date
4211,,Scheduled,Already Approved,3/29/2024,
859,,Complete,Completed,1/17/2018,1/17/2018
860,,Complete,Completed,3/19/2018,3/19/2018
861,,,Does Not Currently Qualify,,
862,,,Approved,,
863,,,Does Not Currently Qualify,,
864,,,Does Not Currently Qualify,,
865,,,Approved,,
866,,,Approved,,
867,,,Does Not Currently Qualify,,
868,,,Approved,,
869,,Complete,Completed,6/1/2011,6/1/2011
870,,,Does Not Currently Qualify,,
871,,,Does Not Currently Qualify,,
872,,Complete,Completed,12/10/2020,12/10/2020
873,,,Does Not Currently Qualify,,
874,,,Approved,,
875,,,Does Not Currently Qualify,,
876,,,Approved,,
877,,,Approved,,
878,,,Does Not Currently Qualify,,
879,,,Does Not Currently Qualify,,
880,,,Approved,,
881,,,Does Not Currently Qualify,,
882,,,Does Not Currently Qualify,,
884,,,Approved,,
885,,,Does Not Currently Qualify,,
886,,,Does Not Currently Qualify,,
887,,Scheduled,Already Approved,3/28/2024,
888,,,Does Not Currently Qualify,,
889,,,Approved,,
890,,Complete,Completed,3/5/2018,3/5/2018
891,,,Does Not Currently Qualify,,
892,,,Does Not Currently Qualify,,
893,,,Does Not Currently Qualify,,
894,,,Does Not Currently Qualify,,
895,,,Does Not Currently Qualify,,
896,,Complete,Completed,9/9/2021,9/9/2021
897,,Complete,Completed,12/18/2020,12/18/2020
898,,,Does Not Currently Qualify,,
899,,,Does Not Currently Qualify,,
900,,,Approved,,
901,,,Does Not Currently Qualify,,
902,,,Approved,,
903,,,Does Not Currently Qualify,,
904,,,Approved,,
905,,,Does Not Currently Qualify,,
906,,,Approved,,
907,,,Does Not Currently Qualify,,
908,,Complete,Completed,2/5/2018,2/5/2018
909,,On Hold,Already Approved,,
910,,,Does Not Currently Qualify,,
1061,,Scheduled,Already Approved,3/28/2024,
912,,Complete,Completed,3/10/2022,3/10/2022
913,,,Approved,,
914,,,Does Not Currently Qualify,,
858,,Scheduled,Already Approved,3/27/2024,
916,,,Approved,,
917,,,Does Not Currently Qualify,,
918,,Complete,Completed,9/14/2022,9/14/2022
919,,,Does Not Currently Qualify,,
920,,,Does Not Currently Qualify,,
921,,Complete,Completed,6/1/2011,6/1/2011
922,,,Does Not Currently Qualify,,
923,,,Approved,,
924,,Complete,Completed,6/1/2011,6/1/2011
925,,,Does Not Currently Qualify,,
4508,,Scheduled,Already Approved,3/26/2024,
928,,,Does Not Currently Qualify,,
929,,Complete,Completed,4/4/2017,4/4/2017
930,,,Does Not Currently Qualify,,
5132,,Scheduled,Already Approved,3/22/2024,
932,,,Does Not Currently Qualify,,
933,,,Does Not Currently Qualify,,
934,,,Approved,,
935,,On Hold,Already Approved,,
936,,,Does Not Currently Qualify,,
937,,,Does Not Currently Qualify,,
938,,,Does Not Currently Qualify,,
761,,Scheduled,Already Approved,3/19/2024,
940,,Complete,Completed,10/5/2020,10/5/2020
941,,,Does Not Currently Qualify,,
942,,Complete,Completed,2/15/2018,2/15/2018
943,,Complete,Completed,10/25/2018,10/25/2018
944,,,Does Not Currently Qualify,,
945,,,Approved,,
947,,Complete,Completed,10/19/2020,10/19/2020
948,,,Does Not Currently Qualify,,
950,,,Approved,,
951,,,Does Not Currently Qualify,,
952,,,Does Not Currently Qualify,,
953,,,Does Not Currently Qualify,,
911,,Scheduled,Already Approved,3/19/2024,
955,,Complete,Completed,1/30/2018,1/30/2018
956,,,Does Not Currently Qualify,,
957,,,Does Not Currently Qualify,,
958,,,Does Not Currently Qualify,,
959,,,Does Not Currently Qualify,,
960,,Complete,Completed,5/23/2018,5/23/2018
961,,On Hold,Already Approved,,
962,,,Does Not Currently Qualify,,
963,,,Approved,,
964,,,Approved,,
965,,,Does Not Currently Qualify,,
966,,,Does Not Currently Qualify,,
967,,,Does Not Currently Qualify,,
968,,,Does Not Currently Qualify,,
969,,,Approved,,
970,,,Approved,,
971,,,Does Not Currently Qualify,,
972,,Complete,Completed,11/13/2020,11/13/2020
4425,,Scheduled,Already Approved,3/15/2024,
974,,Complete,Completed,10/3/2019,10/3/2019
975,,,Does Not Currently Qualify,,
976,,,Does Not Currently Qualify,,
977,,,Does Not Currently Qualify,,
978,,,Does Not Currently Qualify,,
979,,,Does Not Currently Qualify,,
980,,Complete,Completed,6/1/2011,6/1/2011
981,,,Does Not Currently Qualify,,
982,,,Does Not Currently Qualify,,
984,,,Does Not Currently Qualify,,
985,,,Does Not Currently Qualify,,
986,,,Does Not Currently Qualify,,
987,,Complete,Completed,6/13/2018,6/13/2018
988,,Complete,Completed,4/17/2018,4/17/2018
989,,Pending,Already Approved,,
990,,,Does Not Currently Qualify,,
779,,Scheduled,Already Approved,3/14/2024,
992,,,Approved,,
993,,,Does Not Currently Qualify,,
994,,Complete,Completed,4/19/2018,4/19/2018
995,,,Approved,,
996,,,Does Not Currently Qualify,,
998,,,Approved,,
999,,,Approved,,
1523,,Scheduled,Already Approved,3/8/2024,
1001,,,Does Not Currently Qualify,,
1002,,,Approved,,
1003,,,Does Not Currently Qualify,,
1004,,Complete,Completed,3/31/2017,3/31/2017
1005,,,Does Not Currently Qualify,,
1006,,,Approved,,
1007,,,Does Not Currently Qualify,,
1008,,,Does Not Currently Qualify,,
1009,,,Does Not Currently Qualify,,
1010,,,Does Not Currently Qualify,,
1011,,,Does Not Currently Qualify,,
1012,,,Does Not Currently Qualify,,
1013,,,Does Not Currently Qualify,,
1014,,,Does Not Currently Qualify,,
1015,,,Does Not Currently Qualify,,
2437,,Scheduled,Already Approved,3/8/2024,
1017,,Complete,Completed,9/14/2022,9/14/2022
1018,,,Approved,,
1019,,,Does Not Currently Qualify,,
1020,,,Does Not Currently Qualify,,
1021,,,Does Not Currently Qualify,,
1022,,,Approved,,
1023,,,Does Not Currently Qualify,,
3347,,Scheduled,Already Approved,3/8/2024,
1025,,Complete,Completed,6/22/2023,6/22/2023
1026,,,Does Not Currently Qualify,,
1027,,,Does Not Currently Qualify,,
1028,,,Does Not Currently Qualify,,
1344,,Scheduled,Already Approved,3/1/2024,
1030,,,Approved,,
1032,,,Does Not Currently Qualify,,
1033,,,Does Not Currently Qualify,,
1034,,,Does Not Currently Qualify,,
2808,,Scheduled,Already Approved,3/1/2024,
1036,,,Does Not Currently Qualify,,
1037,,,Does Not Currently Qualify,,
1038,,,Does Not Currently Qualify,,
1039,,,Does Not Currently Qualify,,
1040,,Complete,Completed,7/22/2019,7/22/2019
1041,,Complete,Completed,1/26/2023,1/26/2023
1042,,,Does Not Currently Qualify,,
1043,,,Approved,,
1044,,Complete,Completed,12/13/2021,12/13/2021
1045,,Complete,Completed,6/1/2011,6/1/2011
1046,,,Does Not Currently Qualify,,
1047,,,Approved,,
1048,,,Approved,,
1051,,,Does Not Currently Qualify,,
1052,,,Does Not Currently Qualify,,
1053,,,Does Not Currently Qualify,,
1054,,,Approved,,
1055,,,Approved,,
5969,,Scheduled,Already Approved,3/1/2024,
1057,,,Approved,,
1058,,,Does Not Currently Qualify,,
1059,,,Approved,,
1060,,Complete,Completed,10/13/2013,10/13/2013
5453,,Scheduled,Already Approved,2/29/2024,
1062,,Complete,Completed,2/26/2021,2/26/2021
1063,,,Does Not Currently Qualify,,
1064,,,Approved,,
1065,,,Approved,,
5727,,Scheduled,Already Approved,2/28/2024,
1067,,,Does Not Currently Qualify,,
1068,,Complete,Completed,2/15/2018,2/15/2018
1069,,,Approved,,
1070,,,Does Not Currently Qualify,,
1071,,,Does Not Currently Qualify,,
1072,,,Does Not Currently Qualify,,
1073,,,Approved,,
1074,,Complete,Completed,4/20/2022,4/20/2022
1075,,,Approved,,
1076,,,Does Not Currently Qualify,,
1077,,,Does Not Currently Qualify,,
1078,,,Does Not Currently Qualify,,
1163,,Scheduled,Already Approved,2/27/2024,
1080,,,Does Not Currently Qualify,,
1081,,On Hold,Already Approved,3/22/2024,
1082,,,Does Not Currently Qualify,,
5451,,Scheduled,Already Approved,2/27/2024,
1084,,,Does Not Currently Qualify,,
1085,,Complete,Completed,5/1/2018,5/1/2018
2505,,Scheduled,Already Approved,2/26/2024,
1087,,Complete,Completed,11/8/2017,11/8/2017
2520,,Scheduled,Already Approved,2/23/2024,
1089,,,Does Not Currently Qualify,,
1090,,,Does Not Currently Qualify,,
1091,,,Approved,,
1093,,,Approved,,
1094,,,Does Not Currently Qualify,,
1095,,,Does Not Currently Qualify,,
1096,,,Does Not Currently Qualify,,
1097,,,Approved,,
2807,,Scheduled,Already Approved,2/23/2024,
1099,,,Does Not Currently Qualify,,
1100,,,Approved,,
1101,,,Does Not Currently Qualify,,
4476,,Scheduled,Already Approved,2/23/2024,
1103,,Complete,Completed,6/13/2019,6/13/2019
1104,,Complete,Completed,5/21/2018,5/21/2018
1105,,,Does Not Currently Qualify,,
1106,,,Approved,,
1107,,Pending,Already Approved,,
1108,,,Does Not Currently Qualify,,
1109,,,Approved,,
1110,,,Approved,,
1111,,,Does Not Currently Qualify,,
1112,,,Does Not Currently Qualify,,
1113,,,Approved,,
1114,,Complete,Completed,6/25/2019,6/25/2019
1115,,,Does Not Currently Qualify,,
1116,,,Approved,,
1117,,,Approved,,
1118,,,Approved,,
1119,,,Does Not Currently Qualify,,
1120,,,Does Not Currently Qualify,,
1121,,,Approved,,
1122,,,Approved,,
1123,,,Approved,,
1124,,,Does Not Currently Qualify,,
1125,,,Does Not Currently Qualify,,
1126,,,Approved,,
1128,,,Does Not Currently Qualify,,
1129,,,Approved,,
1130,,,Does Not Currently Qualify,,
1131,,,Does Not Currently Qualify,,
1132,,,Does Not Currently Qualify,,
1133,,,Does Not Currently Qualify,,
1000,,Scheduled,Already Approved,2/22/2024,
502,,Scheduled,Already Approved,2/20/2024,
1136,,Pending,Already Approved,,
931,,Scheduled,Already Approved,2/20/2024,
1138,,,Does Not Currently Qualify,,
1139,,,Does Not Currently Qualify,,
1140,,,Approved,,
1141,,,Does Not Currently Qualify,,
1142,,,Does Not Currently Qualify,,
1143,,,Approved,,
1144,,,Approved,,
1146,,,Does Not Currently Qualify,,
1147,,Complete,Completed,6/18/2019,6/18/2019
1148,,Complete,Completed,5/31/2023,5/31/2023
1149,,,Approved,,
1150,,,Approved,,
1151,,,Does Not Currently Qualify,,
1152,,,Does Not Currently Qualify,,
1153,,,Does Not Currently Qualify,,
1154,,,Does Not Currently Qualify,,
1155,,,Does Not Currently Qualify,,
1156,,,Does Not Currently Qualify,,
1157,,,Does Not Currently Qualify,,
1158,,,Approved,,
1159,,,Does Not Currently Qualify,,
1160,,,Does Not Currently Qualify,,
1161,,,Does Not Currently Qualify,,
1162,,,Does Not Currently Qualify,,
3296,,Scheduled,Already Approved,2/19/2024,
1164,,,Does Not Currently Qualify,,
1165,,,Does Not Currently Qualify,,
1166,,,Does Not Currently Qualify,,
1167,,,Approved,,
1168,,,Does Not Currently Qualify,,
1169,,,Does Not Currently Qualify,,
1170,,,Does Not Currently Qualify,,
1171,,Complete,Completed,3/24/2020,3/24/2020
1172,,,Does Not Currently Qualify,,
1173,,,Approved,,
1174,,Complete,Completed,4/18/2022,4/18/2022
1175,,,Does Not Currently Qualify,,
1176,,,Approved,,
1177,,,Does Not Currently Qualify,,
1178,,,Does Not Currently Qualify,,
1179,,,Does Not Currently Qualify,,
1180,,,Approved,,
1181,,,Does Not Currently Qualify,,
1182,,Complete,Completed,6/6/2017,6/6/2017
1183,,,Does Not Currently Qualify,,
1184,,,Does Not Currently Qualify,,
1185,,,Does Not Currently Qualify,,
6583,,Scheduled,Already Approved,2/19/2024,
1187,,,Does Not Currently Qualify,,
1188,,,Does Not Currently Qualify,,
1189,,,Does Not Currently Qualify,,
1190,,,Does Not Currently Qualify,,
1191,,,Approved,,
1192,,,Does Not Currently Qualify,,
1193,,,Approved,,
1194,,,Does Not Currently Qualify,,
1524,,Scheduled,Already Approved,2/16/2024,
1196,,Complete,Completed,12/6/2022,12/6/2022
1197,,Complete,Completed,7/1/2013,7/1/2013
1198,,,Does Not Currently Qualify,,
1199,,,Does Not Currently Qualify,,
1200,,,Does Not Currently Qualify,,
1201,,,Does Not Currently Qualify,,
1202,,,Approved,,
1203,,,Does Not Currently Qualify,,
1204,,On Hold,Already Approved,,
1205,,Complete,Completed,5/25/2017,5/25/2017
1904,,Scheduled,Already Approved,2/16/2024,
1207,,,Does Not Currently Qualify,,
1209,,Complete,Completed,5/18/2011,5/18/2011
1210,,,Does Not Currently Qualify,,
1211,,,Approved,,
1212,,,Approved,,
1213,,Complete,Completed,1/1/2015,1/1/2015
1214,,,Does Not Currently Qualify,,
1215,,,Does Not Currently Qualify,,
1216,,,Does Not Currently Qualify,,
1217,,,Does Not Currently Qualify,,
1218,,,Does Not Currently Qualify,,
3219,,Scheduled,Already Approved,2/16/2024,
1220,,,Does Not Currently Qualify,,
1221,,,Does Not Currently Qualify,,
4258,,Scheduled,Already Approved,2/16/2024,
651,,Scheduled,Already Approved,2/15/2024,
1773,,Scheduled,Already Approved,2/9/2024,
1225,,Complete,Completed,5/4/2012,5/4/2012
1226,,,Approved,,
1227,,,Does Not Currently Qualify,,
1228,,,Does Not Currently Qualify,,
1229,,,Does Not Currently Qualify,,
1230,,,Approved,,
1231,,Complete,Completed,6/1/2011,6/1/2011
1232,,Complete,Completed,9/30/2020,9/30/2020
1233,,,Approved,,
1234,,,Approved,,
1235,,,Does Not Currently Qualify,,
1236,,,Does Not Currently Qualify,,
1237,,,Does Not Currently Qualify,,
1238,,Complete,Completed,3/23/2023,3/23/2023
1239,,,Approved,,
1240,,,Does Not Currently Qualify,,
1241,,,Does Not Currently Qualify,,
1242,,,Does Not Currently Qualify,,
1243,,,Approved,,
1244,,,Approved,,
3588,,Scheduled,Already Approved,2/9/2024,
1247,,,Approved,,
1248,,,Does Not Currently Qualify,,
1249,,Complete,Completed,1/28/2021,1/28/2021
1252,,,Does Not Currently Qualify,,
1253,,,Approved,,
1254,,,Does Not Currently Qualify,,
1255,,Complete,Completed,3/1/2011,3/1/2011
1256,,,Approved,,
1257,,,Approved,,
1259,,,Does Not Currently Qualify,,
1260,,,Approved,,
1261,,,Does Not Currently Qualify,,
1263,,,Does Not Currently Qualify,,
1264,,,Approved,,
1265,,,Does Not Currently Qualify,,
1266,,Complete,Completed,2/21/2023,2/21/2023
1267,,,Does Not Currently Qualify,,
1268,,,Does Not Currently Qualify,,
1270,,,Does Not Currently Qualify,,
1271,,,Approved,,
1272,,Complete,Completed,4/1/2021,4/1/2021
1273,,,Does Not Currently Qualify,,
1274,,,Does Not Currently Qualify,,
1275,,,Approved,,
1276,,,Does Not Currently Qualify,,
1277,,,Does Not Currently Qualify,,
1279,,Complete,Completed,11/30/2022,11/30/2022
5754,,Scheduled,Already Approved,2/9/2024,
1281,,,Approved,,
1282,,,Does Not Currently Qualify,,
1283,,Complete,Completed,6/28/2017,6/28/2017
1284,,,Does Not Currently Qualify,,
1285,,,Does Not Currently Qualify,,
1286,,,Does Not Currently Qualify,,
1287,,,Does Not Currently Qualify,,
1288,,,Approved,,
1289,,,Does Not Currently Qualify,,
1290,,,Does Not Currently Qualify,,
1291,,,Does Not Currently Qualify,,
1292,,,Does Not Currently Qualify,,
1293,,,Does Not Currently Qualify,,
1294,,,Does Not Currently Qualify,,
1295,,Complete,Completed,12/14/2022,12/14/2022
1383,,Scheduled,Already Approved,2/8/2024,
1297,,,Does Not Currently Qualify,,
1298,,On Hold,Already Approved,,
1299,,,Does Not Currently Qualify,,
1300,,,Approved,,
1301,,,Does Not Currently Qualify,,
1302,,,Does Not Currently Qualify,,
1303,,,Approved,,
1304,,,Approved,,
1305,,,Does Not Currently Qualify,,
1306,,,Does Not Currently Qualify,,
1307,,,Does Not Currently Qualify,,
1308,,,Does Not Currently Qualify,,
1309,,,Does Not Currently Qualify,,
1310,,,Approved,,
1311,,,Approved,,
1219,,Scheduled,Already Approved,2/6/2024,
1313,,,Approved,,
1314,,,Does Not Currently Qualify,,
1315,,,Does Not Currently Qualify,,
1316,,,Does Not Currently Qualify,,
1317,,,Approved,,
1318,,,Does Not Currently Qualify,,
1319,,,Does Not Currently Qualify,,
1320,,,Approved,,
1321,,Complete,Completed,9/1/2011,9/1/2011
1322,,Complete,Completed,7/1/2012,7/1/2012
1323,,,Does Not Currently Qualify,,
1324,,,Approved,,
1325,,,Does Not Currently Qualify,,
1326,,,Does Not Currently Qualify,,
1327,,,Does Not Currently Qualify,,
1328,,,Does Not Currently Qualify,,
1329,,,Does Not Currently Qualify,,
1330,,,Does Not Currently Qualify,,
1331,,,Does Not Currently Qualify,,
1332,,,Does Not Currently Qualify,,
1333,,,Approved,,
1334,,,Does Not Currently Qualify,,
1335,,,Does Not Currently Qualify,,
1336,,,Does Not Currently Qualify,,
1337,,,Does Not Currently Qualify,,
1338,,,Approved,,
1339,,,Does Not Currently Qualify,,
1340,,,Approved,,
1341,,,Does Not Currently Qualify,,
1631,,Scheduled,Already Approved,2/2/2024,
3330,,Scheduled,Already Approved,2/2/2024,
1345,,,Does Not Currently Qualify,,
1346,,Complete,Completed,3/23/2023,3/23/2023
1347,,,Approved,,
1348,,,Approved,,
973,,Scheduled,Already Approved,2/1/2024,
1350,,,Does Not Currently Qualify,,
1351,,,Does Not Currently Qualify,,
1352,,,Does Not Currently Qualify,,
384,,Scheduled,Already Approved,1/30/2024,
1354,,Complete,Completed,3/1/2011,3/1/2011
1355,,Complete,Completed,9/28/2022,9/28/2022
1356,,,Does Not Currently Qualify,,
1357,,,Does Not Currently Qualify,,
1358,,,Does Not Currently Qualify,,
1359,,,Does Not Currently Qualify,,
1360,,,Approved,,
1361,,,Does Not Currently Qualify,,
915,,Scheduled,Already Approved,1/22/2024,
1363,,,Does Not Currently Qualify,,
1364,,,Approved,,
1365,,,Does Not Currently Qualify,,
1366,,,Does Not Currently Qualify,,
1367,,,Does Not Currently Qualify,,
1368,,,Approved,,
1369,,,Does Not Currently Qualify,,
1370,,,Approved,,
1371,,,Does Not Currently Qualify,,
1372,,,Does Not Currently Qualify,,
1373,,,Does Not Currently Qualify,,
1374,,,Does Not Currently Qualify,,
1375,,,Does Not Currently Qualify,,
1376,,,Approved,,
1377,,,Does Not Currently Qualify,,
1378,,,Does Not Currently Qualify,,
1379,,Complete,Completed,9/22/2016,9/22/2016
1380,,,Approved,,
1381,,,Does Not Currently Qualify,,
1382,,,Does Not Currently Qualify,,
2881,,Scheduled,Already Approved,1/18/2024,
1384,,,Does Not Currently Qualify,,
1385,,,Does Not Currently Qualify,,
1386,,,Does Not Currently Qualify,,
1387,,Complete,Completed,7/12/2018,7/12/2018
1388,,,Does Not Currently Qualify,,
1389,,,Approved,,
1390,,Complete,Completed,5/1/2018,5/1/2018
1391,,Complete,Completed,6/26/2017,6/26/2017
1392,,,Approved,,
1393,,,Does Not Currently Qualify,,
1394,,,Does Not Currently Qualify,,
1395,,,Approved,,
1396,,,Does Not Currently Qualify,,
1397,,,Does Not Currently Qualify,,
1398,,Complete,Completed,6/8/2021,6/8/2021
1399,,,Approved,,
1400,,,Does Not Currently Qualify,,
1401,,,Does Not Currently Qualify,,
1403,,,Approved,,
1404,,,Does Not Currently Qualify,,
991,,Scheduled,Already Approved,1/16/2024,
1406,,,Does Not Currently Qualify,,
1407,,,Does Not Currently Qualify,,
1408,,,Does Not Currently Qualify,,
1409,,,Does Not Currently Qualify,,
1410,,,Does Not Currently Qualify,,
1411,,,Approved,,
1412,,,Approved,,
1413,,,Does Not Currently Qualify,,
1414,,,Does Not Currently Qualify,,
1415,,,Does Not Currently Qualify,,
1416,,,Does Not Currently Qualify,,
1417,,,Does Not Currently Qualify,,
1418,,,Does Not Currently Qualify,,
1419,,,Approved,,
1420,,,Approved,,
1421,,,Does Not Currently Qualify,,
1422,,,Does Not Currently Qualify,,
1423,,,Approved,,
1424,,,Approved,,
1425,,,Does Not Currently Qualify,,
1426,,,Does Not Currently Qualify,,
1427,,,Does Not Currently Qualify,,
1428,,,Does Not Currently Qualify,,
1429,,,Does Not Currently Qualify,,
1430,,,Does Not Currently Qualify,,
1431,,,Does Not Currently Qualify,,
1432,,,Does Not Currently Qualify,,
1433,,,Approved,,
1434,,,Does Not Currently Qualify,,
1435,,,Does Not Currently Qualify,,
1436,,Complete,Completed,3/5/2020,3/5/2020
1437,,Complete,Completed,7/30/2022,7/30/2022
1438,,,Does Not Currently Qualify,,
1439,,,Does Not Currently Qualify,,
1440,,,Does Not Currently Qualify,,
1441,,,Does Not Currently Qualify,,
1442,,,Does Not Currently Qualify,,
1443,,,Does Not Currently Qualify,,
1444,,,Approved,,
1445,,,Does Not Currently Qualify,,
1446,,Pending,Already Approved,,
1447,,,Does Not Currently Qualify,,
1448,,,Approved,,
1449,,,Does Not Currently Qualify,,
1450,,,Approved,,
1451,,,Does Not Currently Qualify,,
1452,,,Does Not Currently Qualify,,
1453,,,Approved,,
1454,,,Does Not Currently Qualify,,
1455,,Complete,Completed,9/21/2021,9/21/2021
1456,,,Approved,,
1457,,,Does Not Currently Qualify,,
1458,,,Approved,,
1459,,,Does Not Currently Qualify,,
1460,,,Does Not Currently Qualify,,
1461,,,Does Not Currently Qualify,,
1462,,,Does Not Currently Qualify,,
1463,,,Approved,,
1464,,,Approved,,
1465,,,Approved,,
1466,,,Does Not Currently Qualify,,
1467,,,Approved,,
1468,,,Does Not Currently Qualify,,
1469,,,Approved,,
1470,,,Does Not Currently Qualify,,
1471,,,Does Not Currently Qualify,,
1472,,,Approved,,
1473,,,Does Not Currently Qualify,,
1474,,,Does Not Currently Qualify,,
1475,,,Approved,,
1476,,,Approved,,
1477,,,Does Not Currently Qualify,,
1478,,,Approved,,
1479,,,Approved,,
1480,,,Does Not Currently Qualify,,
1481,,,Approved,,
1482,,,Does Not Currently Qualify,,
1483,,,Does Not Currently Qualify,,
1485,,,Does Not Currently Qualify,,
1486,,,Approved,,
1487,,,Does Not Currently Qualify,,
1488,,,Does Not Currently Qualify,,
1489,,,Does Not Currently Qualify,,
1490,,,Does Not Currently Qualify,,
1491,,,Does Not Currently Qualify,,
1492,,,Does Not Currently Qualify,,
718,,Scheduled,Already Approved,1/11/2024,
1494,,Complete,Completed,5/20/2022,5/20/2022
1495,,,Does Not Currently Qualify,,
1496,,,Does Not Currently Qualify,,
1497,,,Does Not Currently Qualify,,
1498,,,Approved,,
1499,,Pending,Already Approved,,
1500,,,Does Not Currently Qualify,,
1501,,,Does Not Currently Qualify,,
1502,,,Approved,,
1503,,,Does Not Currently Qualify,,
1504,,,Does Not Currently Qualify,,
1505,,,Does Not Currently Qualify,,
1506,,,Does Not Currently Qualify,,
1507,,,Does Not Currently Qualify,,
1508,,,Does Not Currently Qualify,,
1509,,,Does Not Currently Qualify,,
1510,,,Approved,,
2706,,Scheduled,Already Approved,1/10/2024,
1512,,,Does Not Currently Qualify,,
1513,,Complete,Completed,7/31/2018,7/31/2018
1514,,,Approved,,
1515,,,Does Not Currently Qualify,,
1516,,Complete,Completed,10/30/2022,10/30/2022
249,,Scheduled,Already Approved,1/9/2024,
1518,,,Does Not Currently Qualify,,
1519,,,Does Not Currently Qualify,,
1520,,,Does Not Currently Qualify,,
1521,,,Does Not Currently Qualify,,
1522,,,Does Not Currently Qualify,,
819,,Scheduled,Already Approved,1/4/2024,
1086,,Scheduled,Already Approved,1/4/2024,
1525,,,Does Not Currently Qualify,,
1526,,,Does Not Currently Qualify,,
1527,,,Does Not Currently Qualify,,
1528,,,Approved,,
1529,,,Does Not Currently Qualify,,
1530,,,Does Not Currently Qualify,,
1531,,,Does Not Currently Qualify,,
1532,,,Does Not Currently Qualify,,
1533,,,Approved,,
1534,,,Does Not Currently Qualify,,
1535,,,Does Not Currently Qualify,,
1536,,Complete,Completed,5/3/2018,5/3/2018
1537,,,Does Not Currently Qualify,,
1538,,,Approved,,
1539,,,Approved,,
639,,Scheduled,Already Approved,1/2/2024,
1541,,Complete,Completed,4/9/2018,4/9/2018
1542,,,Approved,,
1543,,,Does Not Currently Qualify,,
1544,,,Approved,,
1545,,,Does Not Currently Qualify,,
1546,,,Does Not Currently Qualify,,
1547,,,Does Not Currently Qualify,,
1548,,,Does Not Currently Qualify,,
1549,,,Does Not Currently Qualify,,
1550,,,Does Not Currently Qualify,,
1551,,,Does Not Currently Qualify,,
1552,,,Approved,,
1553,,,Approved,,
1554,,,Does Not Currently Qualify,,
1555,,,Does Not Currently Qualify,,
1556,,,Does Not Currently Qualify,,
1557,,,Does Not Currently Qualify,,
1558,,,Does Not Currently Qualify,,
1559,,,Does Not Currently Qualify,,
1560,,,Approved,,
1561,,,Approved,,
1562,,Complete,Completed,1/1/2014,1/1/2014
1563,,,Does Not Currently Qualify,,
1564,,,Does Not Currently Qualify,,
1565,,,Approved,,
1566,,,Approved,,
1567,,,Does Not Currently Qualify,,
1568,,,Does Not Currently Qualify,,
1569,,,Does Not Currently Qualify,,
1570,,,Does Not Currently Qualify,,
1571,,,Does Not Currently Qualify,,
1572,,,Does Not Currently Qualify,,
1573,,,Does Not Currently Qualify,,
1574,,,Does Not Currently Qualify,,
1575,,,Approved,,
1576,,,Does Not Currently Qualify,,
1577,,Complete,Completed,1/1/2014,1/1/2014
1578,,,Approved,,
1579,,,Approved,,
1580,,,Does Not Currently Qualify,,
1581,,,Does Not Currently Qualify,,
1583,,,Does Not Currently Qualify,,
1584,,,Approved,,
1585,,,Does Not Currently Qualify,,
1586,,,Does Not Currently Qualify,,
1587,,,Does Not Currently Qualify,,
1588,,,Approved,,
1589,,Complete,Completed,6/13/2018,6/13/2018
1590,,Complete,Completed,7/10/2018,7/10/2018
1591,,,Does Not Currently Qualify,,
1592,,,Does Not Currently Qualify,,
1593,,,Does Not Currently Qualify,,
1594,,,Approved,,
1595,,,Approved,,
1596,,,Does Not Currently Qualify,,
1597,,,Does Not Currently Qualify,,
1598,,,Does Not Currently Qualify,,
1599,,,Does Not Currently Qualify,,
1600,,,Does Not Currently Qualify,,
1601,,,Does Not Currently Qualify,,
1602,,,Does Not Currently Qualify,,
1603,,,Does Not Currently Qualify,,
1604,,,Does Not Currently Qualify,,
1024,,Scheduled,Already Approved,1/2/2024,
1606,,,Does Not Currently Qualify,,
1607,,,Approved,,
1608,,,Approved,,
1609,,,Does Not Currently Qualify,,
1610,,,Does Not Currently Qualify,,
1611,,,Does Not Currently Qualify,,
1612,,,Does Not Currently Qualify,,
1613,,,Does Not Currently Qualify,,
1614,,,Does Not Currently Qualify,,
1615,,,Does Not Currently Qualify,,
1616,,,Approved,,
1617,,,Does Not Currently Qualify,,
1618,,,Approved,,
1619,,,Approved,,
514,,Scheduled,Already Approved,12/21/2023,
1621,,,Does Not Currently Qualify,,
1622,,,Does Not Currently Qualify,,
1623,,,Does Not Currently Qualify,,
1624,,,Approved,,
1625,,,Does Not Currently Qualify,,
1626,,,Does Not Currently Qualify,,
1627,,,Approved,,
1628,,,Does Not Currently Qualify,,
1629,,,Does Not Currently Qualify,,
1630,,,Does Not Currently Qualify,,
1079,,Scheduled,Already Approved,12/13/2023,
1632,,,Does Not Currently Qualify,,
1633,,,Does Not Currently Qualify,,
1634,,,Does Not Currently Qualify,,
1635,,,Approved,,
1636,,,Does Not Currently Qualify,,
1637,,,Does Not Currently Qualify,,
1638,,,Does Not Currently Qualify,,
1639,,,Does Not Currently Qualify,,
1640,,,Does Not Currently Qualify,,
1641,,,Approved,,
1642,,,Approved,,
1643,,,Approved,,
1644,,,Does Not Currently Qualify,,
1645,,,Does Not Currently Qualify,,
1646,,,Does Not Currently Qualify,,
1647,,,Does Not Currently Qualify,,
1648,,,Does Not Currently Qualify,,
1649,,,Approved,,
1650,,,Approved,,
1651,,,Approved,,
1652,,,Approved,,
1653,,,Approved,,
1654,,,Does Not Currently Qualify,,
