Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
3383,,,,,,Live,12/4/24,,
3388,,,,,,Live,1/24/25,,
3389,,,,,,Live,8/2/24,,
3397,,,,,,Live,9/16/24,,
3401,,,,,,Live,8/6/24,,
3404,,,,,,Live,10/19/24,,
3406,,,,,,Live,11/14/24,,
3407,,,,,,Live,9/17/24,,
3408,,,,,,Live,10/18/24,,
3422,,,,,,Live,9/26/23,,
3423,,,,,,Live,1/27/25,,
3425,,,,,,Live,9/6/24,,
3428,,,,,,Live,12/11/24,,
3432,,,,,,Live,11/12/24,,
3436,,,,,,Live,11/5/24,,
3447,,,,,,Live,8/28/24,,
3453,,,,,,Live,12/4/24,,
3455,,,,,,Live,10/11/24,,
3464,,,,,,Live,10/14/24,,
3465,,,,,,Live,9/17/24,,
3469,,,,,,Live,9/4/24,,
3473,,,,,,Live,9/13/22,,
3475,,,,,,Live,10/22/24,,
3477,,,,,,Live,10/24/24,,
3478,,,,,,Live,1/22/25,,
3489,,,,,,Live,11/12/24,,
3492,,,,,,Live,1/6/25,,
3493,,,,,,Live,10/4/24,,
3494,,,,,,Live,10/22/24,,
3498,,,,,,Live,10/22/24,,
3502,,,,,,Live,10/30/24,,
3511,,,,,,Live,8/28/24,,
3513,,,,,,Live,11/13/24,,
3516,,,,,,Live,1/20/25,,
3520,,,,,,Live,6/8/23,,
3522,,,,,,Live,9/11/24,,
3523,,,,,,Live,9/25/24,,
3525,,,,,,Live,10/29/24,,
3529,,,,,,Live,9/20/24,,
3531,,,,,,Live,11/13/24,,
3533,,,,,,Live,8/28/24,,
3537,,,,,,Live,10/30/24,,
3564,,,,,,Live,10/18/24,,
3566,,,,,,Live,8/27/24,,
3569,,,,,,Live,9/12/24,,
3571,,,,,,Live,12/5/24,,
3572,,,,,,Live,9/20/24,,
3581,,,,,,Live,11/13/24,,
3583,,,,,,Live,1/13/25,,
3584,,,,,,Live,9/4/24,,
3587,,,,,,Live,10/4/24,,
3589,,,,,,Live,1/20/25,,
3602,,,,,,Live,11/6/24,,
3621,,,,,,Live,8/6/24,,
3624,,,,,,Live,10/30/24,,
3630,,,,,,Live,11/5/24,,
3640,,,,,,Live,9/3/24,,
3650,,,,,,Live,11/13/24,,
3652,,,,,,Live,9/10/24,,
3658,,,,,,Live,11/13/24,,
3700,,,,,,Live,9/27/24,,
3708,,,,,,Live,9/24/24,,
3710,,,,,,Live,8/7/24,,
3712,,,,,,Live,9/16/24,,
3717,,,,,,Live,1/8/25,,
3720,,,,,,Live,9/20/24,,
3728,,,,,,Live,9/24/24,,
3729,,,,,,Live,10/11/24,,
3732,,,,,,Live,9/14/24,,
3733,,,,,,Live,1/14/25,,
3740,,,,,,Live,9/5/24,,
3741,,,,,,Live,8/6/24,,
3749,,,,,,Live,10/2/24,,
3760,,,,,,Live,1/8/25,,
3762,,,,,,Live,1/6/25,,
3771,,,,,,Live,9/26/24,,
3773,,,,,,Live,10/24/24,,
3774,,,,,,Live,9/24/24,,
3777,,,,,,Live,11/6/24,,
3781,,,,,,Live,9/25/24,,
3782,,,,,,Live,10/15/24,,
3786,,,,,,Live,7/31/24,,
3794,,,,,,Live,10/22/24,,
3795,,,,,,Live,9/5/24,,
3796,,,,,,Live,10/11/24,,
3799,,,,,,Live,9/26/24,,
3801,,,,,,Live,10/22/24,,
3804,,,,,,Live,11/7/24,,
3812,,,,,,Live,8/30/24,,
3824,,,,,,Live,8/30/24,,
3826,,,,,,Live,12/3/24,,
3831,,,,,,Live,9/4/24,,
3838,,,,,,Live,10/18/24,,
3850,,,,,,Live,11/11/24,,
3851,,,,,,Live,1/22/25,,
3860,,,,,,Live,9/18/24,,
3868,,,,,,Live,9/4/24,,
3883,,,,,,Live,2/3/25,,
3884,,,,,,Live,11/5/24,,
3891,,,,,,Live,9/26/22,,
3894,,,,,,Live,12/4/24,,
3947,,,,,,Live,12/13/24,,
4054,,,,,,Live,10/8/24,,
4101,,,,,,Live,10/29/24,,
4108,,,,,,Live,1/24/22,,
4118,,,,,,Live,12/6/24,,
4130,,,,,,Live,9/12/24,,
4132,,,,,,Live,10/16/24,,
4137,,,,,,Live,11/6/24,,
4161,,,,,,Live,9/20/24,,
4165,,,,,,Live,10/29/24,,
4171,,,,,,Live,1/17/25,,
4176,,,,,,Live,9/11/24,,
4185,,,,,,Live,8/1/24,,
4196,,,,,,Live,1/9/25,,
4202,,,,,,Live,9/30/24,,
4221,,,,,,Live,9/12/24,,
4224,,,,,,Live,10/22/24,,
4237,,,,,,Live,10/14/24,,
4238,,,,,,Live,10/24/24,,
4239,,,,,,Live,10/8/24,,
4252,,,,,,Live,10/8/24,,
4255,,,,,,Live,9/27/24,,
4256,,,,,,Live,11/11/24,,
4272,,,,,,Live,1/15/25,,
4274,,,,,,Live,10/4/24,,
4279,,,,,,Live,10/7/24,,
4284,,,,,,Live,9/5/24,,
4285,,,,,,Live,9/23/22,,
4299,,,,,,Live,12/2/24,,
4303,,,,,,Live,9/13/24,,
4309,,,,,,Live,9/13/24,,
4322,,,,,,Live,1/6/25,,
4332,,,,,,Live,2/3/25,,
4334,,,,,,Live,12/9/24,,
4340,,,,,,Live,10/22/24,,
4352,,,,,,Live,12/13/24,,
4356,,,,,,Live,10/22/24,,
4358,,,,,,Live,1/22/25,,
4359,,,,,,Live,10/1/24,,
4365,,,,,,Live,9/2/22,,
4383,,,,,,Live,1/8/25,,
4387,,,,,,Live,12/6/24,,
4392,,,,,,Live,10/29/24,,
4393,,,,,,Live,9/12/24,,
4394,,,,,,Live,8/28/24,,
4395,,,,,,Live,9/4/24,,
4410,,,,,,Live,10/16/24,,
4412,,,,,,Live,11/11/24,,
4417,,,,,,Live,9/16/24,,
4420,,,,,,Live,10/18/24,,
4424,,,,,,Live,1/7/25,,
4428,,,,,,Live,12/10/24,,
4435,,,,,,Live,1/9/25,,
4446,,,,,,Live,9/9/24,,
4477,,,,,,Live,10/22/24,,
4488,,,,,,Live,2/11/22,,
4503,,,,,,Live,10/11/24,,
4506,,,,,,Live,10/30/24,,
4512,,,,,,Live,12/9/24,,
4520,,,,,,Live,11/4/24,,
4521,,,,,,Live,11/6/24,,
4526,,,,,,Live,9/27/24,,
4533,,,,,,Live,10/18/24,,
4538,,,,,,Live,12/11/24,,
4553,,,,,,Live,10/23/24,,
4554,,,,,,Live,9/11/24,,
4557,,,,,,Live,9/24/24,,
4570,,,,,,Live,1/7/25,,
4588,,,,,,Live,10/18/24,,
4594,,,,,,Live,1/24/25,,
4600,,,,,,Live,1/15/25,,
4601,,,,,,Live,12/11/24,,
4609,,,,,,Live,10/21/24,,
4615,,,,,,Live,9/6/22,,
4627,,,,,,Live,11/4/24,,
4631,,,,,,Live,8/26/24,,
4639,,,,,,Live,9/6/24,,
4679,,,,,,Live,1/23/25,,
4683,,,,,,Live,1/23/25,,
4734,,,,,,Live,10/16/24,,
4762,,,,,,Live,2/11/22,,
4849,,,,,,Live,11/7/24,,
5012,,,,,,Live,9/6/24,,
5022,,,,,,Live,9/25/24,,
5023,,,,,,Live,12/10/24,,
5028,,,,,,Live,12/17/24,,
5029,,,,,,Live,1/14/25,,
5031,,,,,,Live,11/7/24,,
5032,,,,,,Live,10/4/24,,
5041,,,,,,Live,10/23/24,,
5058,,,,,,Live,1/6/25,,
5063,,,,,,Live,8/23/22,,
5064,,,,,,Live,12/6/24,,
5065,,,,,,Live,12/10/24,,
5070,,,,,,Live,9/13/24,,
5072,,,,,,Live,11/12/24,,
5073,,,,,,Live,10/15/24,,
5075,,,,,,Live,1/17/25,,
5078,,,,,,Live,1/7/25,,
5082,,,,,,Live,1/17/25,,
5085,,,,,,Live,10/2/24,,
5095,,,,,,Live,12/17/24,,
5096,,,,,,Live,12/10/24,,
5101,,,,,,Live,9/10/24,,
5103,,,,,,Live,9/27/23,,
5104,,,,,,Live,9/26/24,,
5111,,,,,,Live,10/7/24,,
5117,,,,,,Live,1/17/25,,
5118,,,,,,Live,11/11/24,,
5124,,,,,,Live,9/27/24,,
5127,,,,,,Live,10/17/24,,
5131,,,,,,Live,9/6/24,,
5133,,,,,,Live,10/22/24,,
5134,,,,,,Live,12/5/24,,
5136,,,,,,Live,9/13/24,,
5137,,,,,,Live,8/30/24,,
5140,,,,,,Live,10/11/24,,
5141,,,,,,Live,1/27/25,,
5147,,,,,,Live,10/6/23,,
5150,,,,,,Live,10/11/24,,
5152,,,,,,Live,11/7/24,,
5154,,,,,,Live,10/1/24,,
5155,,,,,,Live,12/12/24,,
5156,,,,,,Live,10/22/24,,
5162,,,,,,Live,9/27/24,,
5184,,,,,,Live,8/30/24,,
5185,,,,,,Live,8/29/24,,
5192,,,,,,Live,8/28/24,,
5193,,,,,,Live,11/5/24,,
5201,,,,,,Live,11/7/24,,
5202,,,,,,Live,9/16/24,,
5231,,,,,,Live,9/26/24,,
5247,,,,,,Live,11/7/24,,
5274,,,,,,Live,1/15/25,,
5278,,,,,,Live,1/27/25,,
5281,,,,,,Live,10/11/24,,
5282,,,,,,Live,9/11/24,,
5292,,,,,,Live,11/7/24,,
5293,,,,,,Live,9/19/24,,
5295,,,,,,Live,9/18/24,,
5298,,,,,,Live,10/8/24,,
5301,,,,,,Live,9/24/24,,
5305,,,,,,Live,12/12/24,,
5312,,,,,,Live,10/22/24,,
5313,,,,,,Live,10/25/24,,
5317,,,,,,Live,9/12/24,,
5330,,,,,,Live,9/25/24,,
5331,,,,,,Live,9/24/24,,
5334,,,,,,Live,8/27/24,,
5337,,,,,,Live,10/28/24,,
5338,,,,,,Live,10/16/24,,
5361,,,,,,Live,1/24/25,,
5363,,,,,,Live,11/7/24,,
5368,,,,,,Live,10/10/24,,
5370,,,,,,Live,10/14/24,,
5390,,,,,,Live,7/30/24,,
5394,,,,,,Live,11/12/24,,
5396,,,,,,Live,11/5/24,,
5398,,,,,,Live,11/4/24,,
5402,,,,,,Live,1/4/23,,
5409,,,,,,Live,12/4/24,,
5410,,,,,,Live,2/8/25,,
5411,,,,,,Live,12/5/24,,
5416,,,,,,Live,10/15/24,,
5417,,,,,,Live,9/9/22,,
5418,,,,,,Live,12/12/24,,
5420,,,,,,Live,1/28/25,,
5424,,,,,,Live,12/13/24,,
5425,,,,,,Live,11/5/24,,
5428,,,,,,Live,10/2/24,,
5430,,,,,,Live,9/13/24,,
5434,,,,,,Live,9/14/24,,
5435,,,,,,Live,5/26/23,,
5436,,,,,,Live,9/29/23,,
5439,,,,,,Live,12/13/24,,
5440,,,,,,Live,9/10/24,,
5443,,,,,,Live,12/18/24,,
5445,,,,,,Live,12/4/24,,
5447,,,,,,Live,1/9/25,,
5449,,,,,,Live,9/19/24,,
5461,,,,,,Live,8/29/24,,
5462,,,,,,Live,11/7/24,,
5472,,,,,,Live,1/24/25,,
5479,,,,,,Live,9/12/24,,
5481,,,,,,Live,9/16/22,,
5485,,,,,,Live,9/22/23,,
5486,,,,,,Live,9/28/22,,
5488,,,,,,Live,9/23/24,,
5489,,,,,,Live,11/6/24,,
5491,,,,,,Live,1/11/23,,
5495,,,,,,Live,1/22/25,,
5612,,,,,,Live,9/6/24,,
5628,,,,,,Live,11/5/24,,
5629,,,,,,Live,12/11/24,,
5632,,,,,,Live,10/29/24,,
5641,,,,,,Live,10/25/24,,
5644,,,,,,Live,11/13/24,,
5657,,,,,,Live,1/28/22,,
5669,,,,,,Live,9/27/22,,
5671,,,,,,Live,9/19/24,,
5676,,,,,,Live,8/29/24,,
5686,,,,,,Live,11/5/24,,
5705,,,,,,Live,8/13/24,,
5707,,,,,,Live,10/6/23,,
5709,,,,,,Live,10/30/24,,
5710,,,,,,Live,10/21/24,,
5732,,,,,,Live,11/13/24,,
5745,,,,,,Live,1/13/25,,
5751,,,,,,Live,2/10/22,,
5752,,,,,,Live,9/4/24,,
5766,,,,,,Live,2/14/22,,
5768,,,,,,Live,9/20/24,,
5804,,,,,,Live,10/8/24,,
5806,,,,,,Live,12/12/24,,
5807,,,,,,Live,10/18/24,,
5810,,,,,,Live,10/10/24,,
5823,,,,,,Live,10/10/23,,
5839,,,,,,Live,12/17/24,,
5843,,,,,,Live,10/14/24,,
5848,,,,,,Live,9/27/24,,
5853,,,,,,Live,11/4/24,,
5857,,,,,,Live,12/2/24,,
5859,,,,,,Live,10/17/24,,
5867,,,,,,Live,9/7/24,,
5871,,,,,,Live,10/16/24,,
5881,,,,,,Live,10/23/24,,
5883,,,,,,Live,8/29/24,,
5884,,,,,,Live,1/31/22,,
5889,,,,,,Live,11/12/24,,
5890,,,,,,Live,10/25/24,,
5891,,,,,,Live,9/5/24,,
5912,,,,,,Live,9/12/24,,
5927,,,,,,Live,10/24/24,,
5930,,,,,,Live,10/2/24,,
5935,,,,,,Live,8/30/24,,
5938,,,,,,Live,1/24/25,,
5956,,,,,,Live,11/8/24,,
5957,,,,,,Live,1/6/25,,
5959,,,,,,Live,9/4/24,,
5965,,,,,,Live,9/20/23,,
5976,,,,,,Live,10/25/24,,
5977,,,,,,Live,10/8/24,,
5981,,,,,,Live,1/27/25,,
5982,,,,,,Live,10/2/24,,
5996,,,,,,Live,11/14/24,,
6300,,,,,,Live,11/5/24,,
6392,,,,,,Live,11/7/24,,
6394,,,,,,Live,10/22/24,,
6477,,,,,,Live,10/4/24,,
6789,,,,,,Live,10/21/24,,
6807,,,,,,Live,10/15/24,,
6879,,,,,,Live,11/4/24,,
6930,,,,,,Live,4/28/25,,
6931,,,,,,Live,12/10/24,,
6963,,,,,,Live,10/13/23,,
6978,,,,,,Live,10/29/24,,
6998,,,,,,Live,8/8/24,,
7020,,,,,,Live,12/17/24,,
7032,,,,,,Live,1/21/25,,
7194,,,,,,Live,12/2/24,,
7601,,,,,,Live,8/7/24,,
8331,,,,,,Live,7/15/23,,
8930,,,,,,Live,10/13/23,,
12,469700132115,8/18/25,9/4/25,2972538412,Estes,33,9/17/25,214,1 day
13,TBD,,9/18/25,TBD,TBD,35,10/1/25,200,1 day
17,TBD,,9/19/25,TBD,TBD,35,10/2/25,240,1 day
32,TBD,,9/22/25,TBD,TBD,35,10/3/25,167,1 day
34,469700132917,,9/16/25,2972504688,ESTES,35,9/29/25,151,1 day
69,469700132928,,9/2/25,TBD,TBD,36,9/15/25,213,1 day
72,TBD,,9/19/25,TBD,TBD,35,9/30/25,221,1 day
75,469700132939,,9/10/25,2972504689,ESTES,34,9/23/25,311,2 day
91,TBD,,9/26/25,TBD,TBD,36,10/9/25,100,1 day
103,444708591557,8/11/25,9/2/25,2972520704,ESTES,33,9/15/25,172,1 day
112,469700132940,,9/10/25,2972504687,ESTES,34,9/23/25,163,1 day
121,469700132126,8/18/25,9/5/25,2972521757,ESTES,33,9/18/25,152,1 day
125,469700132137,8/18/25,9/4/25,2972520709,ESTES,33,9/17/25,166,1 day
138,TBD,,10/1/25,TBD,TBD,37,10/16/25,227,1 day
147,469700131510,8/11/25,8/27/25,444708592152,Fedex,32,9/10/25,126,1 day
148,469700131520,8/9/25,8/28/25,2972537515,ESTES,32,9/11/25,173,1 day
174,TBD,,9/18/25,TBD,TBD,35,10/1/25,211,1 day
175,TBD,,9/23/25,TBD,TBD,36,10/6/25,157,1 day
186,TBD,,9/19/25,TBD,TBD,35,10/2/25,222,1 day
201,469700132950,,9/4/25,TBD,TBD,36,9/17/25,182,1 day
246,469700132148,8/19/25,9/3/25,2972520711,ESTES,33,9/16/25,148,1 day
287,TBD,,9/24/25,TBD,TBD,36,10/7/25,266,1 day
299,469700132961,,9/16/25,2972504695,ESTES,35,9/29/25,256,1 day
304,TBD,,9/30/25,TBD,TBD,37,10/13/25,201,1 day
309,TBD,,9/29/25,TBD,TBD,36,10/10/25,294,1 day
319,469700131531,8/11/25,9/29/25,2972537510,ESTES,32,10/10/25,251,1 day
329,TBD,,9/25/25,TBD,TBD,36,10/8/25,202,1 day
331,444708591638,8/11/25,9/2/25,2972520710,ESTES,33,9/15/25,210,1 day
332,TBD,,9/23/25,TBD,TBD,36,10/6/25,140,1 day
355,TBD,,9/19/25,TBD,TBD,35,10/2/25,219,1 day
356,TBD,,9/18/25,TBD,TBD,35,10/1/25,189,1 day
386,469700132159,8/18/25,9/5/25,2972521121,ESTES,33,9/18/25,208,1 day
388,469700132160,8/18/25,9/3/25,2972520703,ESTES,33,9/16/25,156,1 day
389,469700131542,8/11/25,8/28/25,2972537509,ESTES,32,9/8/25,158,1 day
398,469700132972,,9/15/25,2972504690,ESTES,34,9/26/25,153,1 day
402,469700132170,8/18/25,9/8/25,2972521123,ESTES,33,9/19/25,189,1 day
407,444708591580,8/12/25,9/2/25,2972520707,ESTES,33,9/15/25,200,1 day
415,469700132983,,9/15/25,2972504694,ESTES,34,9/26/25,169,1 day
416,TBD,,9/30/25,TBD,TBD,35,10/13/25,127,1 day
428,TBD,,9/26/25,TBD,TBD,36,10/9/25,168,1 day
444,TBD,,10/1/25,TBD,TBD,37,10/15/25,192,1 day
464,469700132994,,9/12/25,943047383,TFORCE,34,9/25/25,218,1 day
465,469700133008,,9/16/25,TBD,TBD,35,9/29/25,143,1 day
469,469700132181,8/18/25,9/3/25,2972521756,ESTES,33,9/16/25,331,2 day
499,469700133019,,9/15/25,2972504686,ESTES,34,9/26/25,204,1 day
510,469700131553,8/12/25,8/29/25,932679565,TFORCE,32,9/12/25,154,1 day
518,469700133020,,9/11/25,969170226,TFORCE,34,9/24/25,209,1 day
526,469700132192,8/19/25,9/10/25,2972521761,ESTES,33,9/23/25,277,1 day
531,TBD,,9/22/25,TBD,TBD,35,10/3/25,252,1 day
543,469700133030,,9/12/25,TBD,TBD,34,9/25/25,232,1 day
553,TBD,,9/18/25,TBD,TBD,35,10/1/25,190,1 day
554,469700133041,,9/11/25,969170182,TFORCE,34,9/24/25,171,1 day
588,TBD,,9/17/25,TBD,TBD,35,9/30/25,184,1 day
594,TBD,,9/22/25,TBD,TBD,35,10/3/25,199,1 day
599,TBD,,9/30/25,TBD,TBD,37,10/13/25,174,1 day
615,469700133052,,9/12/25,TBD,TBD,34,9/25/25,195,1 day
625,TBD,,9/19/25,TBD,TBD,35,10/2/25,227,1 day
645,469700133063,,9/16/25,969170215,TFORCE,35,9/29/25,202,1 day
663,469700132207,8/13/25,9/3/25,455488305,TFORCE,33,9/16/25,151,1 day
669,469700132218,8/18/25,9/5/25,444708592884,FedEx,33,9/18/25,134,1 day
682,TBD,,10/1/25,TBD,TBD,35,10/15/25,215,1 day
697,469700133074,,9/11/25,969170193,TFORCE,34,9/24/25,213,1 day
703,469700131564,8/11/25,8/29/25,2972537506,ESTES,32,9/12/25,263,1 day
718,TBD,,9/19/25,TBD,TBD,35,10/2/25,156,1 day
731,469700133085,,9/11/25,943047431,TFORCE,34,9/24/25,174,1 day
741,444708591579,8/13/25,9/2/25,444708593137,FedEx,33,9/15/25,114,1 day
743,469700131575,8/11/25,8/29/25,2972537514,ESTES,32,9/12/25,165,1 day
752,469700131586,8/11/25,8/26/25,2972537512,ESTES,32,9/9/25,206,1 day
755,TBD,,9/26/25,TBD,TBD,36,10/9/25,295,1 day
777,469700131597,8/11/25,8/28/25,2972537513,ESTES,32,9/11/25,193,1 day
794,469700132229,8/18/25,9/9/25,945318780,TFORCE,34,9/22/25,306,2 day
799,TBD,,9/23/25,TBD,TBD,36,10/6/25,199,1 day
800,444708591616,8/12/25,9/5/25,969170064,TFORCE,33,9/18/25,222,1 day
809,TBD,,9/26/25,TBD,TBD,36,10/9/25,166,1 day
822,TBD,,9/24/25,TBD,TBD,36,10/7/25,211,1 day
838,TBD,,9/30/25,TBD,TBD,37,10/13/25,213,1 day
848,TBD,,9/24/25,TBD,TBD,36,10/7/25,293,1 day
857,469700132230,8/18/25,9/4/25,969170145,TFORCE,33,9/17/25,183,1 day
867,444708591605,8/11/25,9/2/25,2972520705,ESTES,33,9/15/25,175,1 day
869,TBD,,9/29/25,TBD,TBD,36,10/10/25,243,1 day
874,469700132240,8/18/25,9/9/25,2972521120,ESTES,34,9/22/25,185,1 day
878,469700133096,,9/10/25,943047265,TFORCE,34,9/23/25,139,1 day
901,469700132251,8/15/25,9/5/25,945318791,TFORCE,33,9/18/25,189,1 day
906,469700132262,8/15/25,9/9/25,2972504696,ESTES,34,9/22/25,341,2 day
911,TBD,,9/19/25,TBD,TBD,35,10/2/25,215,1 day
941,TBD,,9/22/25,TBD,TBD,35,10/3/25,135,1 day
942,469700132273,8/19/25,9/2/25,711228674,TFORCE,33,9/15/25,297,1 day
963,469700131601,8/11/25,8/26/25,932679580,TFORCE,32,9/9/25,234,1 day
966,TBD,,9/25/25,TBD,TBD,36,10/8/25,187,1 day
969,TBD,,9/25/25,TBD,TBD,36,10/8/25,279,1 day
974,TBD,,9/17/25,TBD,TBD,35,9/30/25,170,1 day
980,469700132284,8/15/25,9/30/25,945318802,TFORCE,33,10/13/25,313,2 day
984,469700133100,,9/15/25,943047361,TFORCE,34,9/26/25,268,1 day
992,TBD,,9/22/25,TBD,TBD,35,10/3/25,167,1 day
999,TBD,,9/18/25,TBD,TBD,35,10/1/25,156,1 day
1017,TBD,,9/18/25,TBD,TBD,35,10/1/25,123,1 day
1058,TBD,,9/24/25,TBD,TBD,36,10/7/25,281,1 day
1062,469700131612,8/11/25,8/25/25,2972537511,ESTES,32,9/8/25,192,1 day
1066,469700133111,,9/16/25,2972504692,ESTES,35,9/29/25,241,1 day
1074,469700132295,8/18/25,9/9/25,2972504697,ESTES,34,9/22/25,169,1 day
1081,469700132300,8/18/25,9/9/25,945318765,TFORCE,34,9/22/25,185,1 day
1132,469700131623,8/12/25,8/25/25,932679591,TFORCE,32,9/11/25,221,1 day
1139,TBD,,9/23/25,TBD,TBD,36,10/6/25,158,1 day
1146,TBD,,9/17/25,TBD,TBD,35,9/30/25,191,1 day
1151,469700131634,8/11/25,9/24/25,2972537505,ESTES,32,10/7/25,283,1 day
1155,TBD,,9/25/25,TBD,TBD,36,10/8/25,305,2 day
1170,444708591546,8/12/25,9/9/25,2972520708,ESTES,33,9/22/25,281,1 day
1218,469700132310,8/14/25,9/4/25,883476403060,Fedex,33,9/17/25,211,1 day
1224,TBD,,10/1/25,TBD,TBD,36,10/14/25,163,1 day
1248,TBD,,9/24/25,TBD,TBD,36,10/7/25,340,2 day
1260,TBD,,9/23/25,TBD,TBD,36,10/6/25,136,1 day
1271,469700133122,,9/12/25,2972504698,ESTES,34,9/25/25,151,1 day
1290,469700133133,,9/11/25,943047346,TFORCE,34,9/24/25,373,2 day
1312,TBD,,9/25/25,TBD,TBD,36,10/8/25,212,1 day
1314,469700131645,8/12/25,8/25/25,932679543,TFORCE,32,9/11/25,199,1 day
1325,469700132321,8/14/25,9/3/25,444708592807,Fedex,33,9/16/25,147,1 day
1335,TBD,,9/25/25,TBD,TBD,36,10/8/25,223,1 day
1346,TBD,,9/17/25,TBD,TBD,35,9/30/25,198,1 day
1354,TBD,,9/25/25,TBD,TBD,36,10/8/25,188,1 day
1357,444708591627,8/11/25,9/2/25,2972520706,ESTES,33,9/15/25,186,1 day
1359,469700132332,8/19/25,9/9/25,945318743,TFORCE,34,9/22/25,265,1 day
1361,TBD,,10/1/25,TBD,TBD,37,10/14/25,230,1 day
1372,TBD,,9/26/25,TBD,TBD,36,10/6/25,241,1 day
1380,469700133144,,9/16/25,TBD,TBD,35,9/29/25,167,1 day
1392,TBD,,9/26/25,TBD,TBD,36,10/9/25,291,1 day
1406,469700132343,8/19/25,9/3/25,883477698110,Fedex,33,9/16/25,109,1 day
1424,469700132354,8/19/25,9/9/25,883607350528,FEDEX,34,9/22/25,249,1 day
1444,469700132365,8/19/25,9/3/25,711228663,TFORCE,33,9/16/25,330,2 day
1461,TBD,,9/30/25,TBD,TBD,37,10/13/25,168,1 day
1463,TBD,,9/26/25,TBD,TBD,35,10/9/25,275,1 day
1469,469700132376,8/18/25,9/4/25,455488364,TFORCE,33,9/17/25,211,1 day
1470,TBD,,9/19/25,TBD,TBD,35,10/2/25,181,1 day
1476,469700132387,8/19/25,9/11/25,2972521760,ESTES,33,9/24/25,305,2 day
1488,469700131656,8/11/25,8/25/25,932679521,TFORCE,32,9/8/25,225,1 day
1490,469700132398,8/18/25,9/4/25,2972521763,ESTES,33,9/17/25,241,1 day
1498,469700131667,8/12/25,8/29/25,932679554,TFORCE,32,9/12/25,170,1 day
1504,469700133155,,9/17/25,2972504699,ESTES,35,9/30/25,220,1 day
1514,469700133166,,9/3/25,TBD,TBD,36,9/16/25,215,1 day
1520,TBD,,9/18/25,TBD,TBD,37,10/1/25,149,1 day
1524,469700133177,,9/3/25,883601964544,FEDEX,34,9/16/25,175,1 day
1532,469700131678,8/7/25,8/27/25,932679576,TFORCE,32,9/10/25,244,1 day
1535,TBD,,9/17/25,TBD,TBD,37,9/30/25,189,1 day
1551,469700132402,8/19/25,9/3/25,2972521755,ESTES,33,9/16/25,232,1 day
1555,444708591568,8/11/25,9/2/25,108530016303,SAIA,33,9/15/25,233,1 day
1567,TBD,,9/24/25,TBD,TBD,36,10/7/25,247,1 day
1578,469700132413,8/19/25,9/9/25,945318776,TFORCE,34,9/22/25,263,1 day
1598,469700131689,8/7/25,8/26/25,883468520516,Fedex,32,9/9/25,169,1 day
1612,TBD,,9/23/25,TBD,TBD,36,10/6/25,316,2 day
1613,469700132424,8/19/25,9/5/25,943047276,TFORCE,33,9/19/25,263,1 day
1626,469700131690,8/11/25,9/2/25,2972537508,ESTES,32,9/10/25,267,1 day
1627,TBD,,9/29/25,TBD,TBD,35,10/9/25,310,2 day
1630,469700132435,8/18/25,9/9/25,969170230,TFORCE,34,9/22/25,363,2 day
1636,TBD,,9/23/25,TBD,TBD,36,10/6/25,226,1 day
1648,469700133188,,9/16/25,TBD,TBD,35,9/29/25,266,1 day
1677,469700133199,,9/12/25,943047405,TFORCE,34,9/25/25,247,1 day
1682,TBD,,9/18/25,TBD,TBD,35,10/1/25,238,1 day
1686,469700131704,8/11/25,8/26/25,108626790603,SAIA,32,9/9/25,275,1 day
1687,TBD,,9/19/25,TBD,TBD,35,10/2/25,243,1 day
1688,469700133203,,9/16/25,TBD,TBD,35,9/29/25,160,1 day
1699,469700131715,8/8/25,8/25/25,108626790704,SAIA,32,9/8/25,154,1 day
1710,469700133214,,9/15/25,2972537686,ESTES,34,9/26/25,168,1 day
1720,469700131726,8/12/25,8/27/25,455488283,TFORCE,32,9/10/25,113,1 day
1728,469700133225,,9/18/25,TBD,TBD,34,10/1/25,185,1 day
1731,469700132446,8/20/25,9/5/25,943047335,TFORCE,33,9/18/25,189,1 day
1736,444708591535,8/13/25,9/2/25,234400505,CENTRAL,33,9/15/25,182,1 day
1788,TBD,,9/26/25,TBD,TBD,36,10/9/25,385,2 day
1806,TBD,,9/22/25,TBD,TBD,35,10/3/25,161,1 day
1809,469700133236,,9/12/25,2972504693,ESTES,34,9/25/25,165,1 day
1811,TBD,,9/17/25,TBD,TBD,35,9/30/25,294,1 day
1833,469700132457,8/19/25,9/8/25,883607631472,FEDEX,33,9/19/25,240,1 day
1838,469700133247,,9/16/25,2972504691,ESTES,35,9/29/25,365,2 day
1842,469700131737,8/12/25,8/26/25,932679532,TFORCE,32,9/9/25,224,1 day
1849,469700133258,,9/19/25,943047416,TFORCE,35,10/2/25,368,2 day
1855,469700133269,,9/22/25,TBD,TBD,35,10/3/25,128,1 day
1868,TBD,,9/24/25,TBD,TBD,36,10/7/25,366,2 day
1884,TBD,,9/26/25,TBD,TBD,36,10/9/25,292,1 day
1891,469700133270,,9/15/25,943047442,TFORCE,34,9/26/25,232,1 day
1893,469700131748,8/12/25,8/29/25,2972537504,ESTES,32,9/12/25,201,1 day
1896,TBD,,9/24/25,TBD,TBD,36,10/7/25,311,2 day
