Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month,Comms Notes,,
6040,Systems Outage Cancelled,Cancelled,23,July 04,11:30 p.m.,-,Central,RDC,First Monday,,,
7036,Systems Outage Cancelled,Cancelled,23,July 05,1:00 a.m.,-,Central,RDC,First Tuesday,,,
7038,Systems Outage Cancelled,Cancelled,23,July 05,12:30 a.m.,-,Central,RDC,,,,
7078,Systems Outage Cancelled,Cancelled,23,July 05,2:00 a.m.,-,Central,IMP,,,,
8851,Systems Outage Cancelled,Cancelled,23,July 05,8:00 p.m.,-,Central,GDC,,,,
6016,Systems Outage Cancelled,Cancelled,23,July 06,1:30 a.m.,-,Central,RDC,First Wednesday,,,
6035,Systems Outage Cancelled,Cancelled,23,July 06,1:30 a.m.,-,Central,RDC,First Wednesday,,,
6064,GLS 22.6 Pilot,Scheduled,23,July 06,1:00 a.m.,Three hours,Central,GDC,Third Tuesday,,,
7034,Systems Outage Cancelled,Cancelled,23,July 06,2:00 a.m.,-,Central,RDC,First Wednesday,,,
6012,Systems Outage Cancelled,Cancelled,23,July 07,12:00 a.m.,-,Central,RDC,First Thursday,,,
6031,Systems Outage Cancelled,Cancelled,23,July 07,3:00 a.m.,-,Central,RDC,First Thursday,,,
6009,Systems Outage Cancelled,Cancelled,23,July 08,12:30 a.m.,-,Central,RDC,Second Friday,,,
6094,Systems Outage Cancelled,Cancelled,23,July 08,1:00 a.m.,-,Central,RDC,,,,
6070,Systems Outage Cancelled,Cancelled,24,July 09,1:00 a.m.,-,Central,RDC,Second Saturday,,,
6088,Systems Outage Cancelled,Cancelled,24,July 09,12:30 a.m.,-,Central,,,,,
6010,Systems Outage Cancelled,Cancelled,24,July 10,12:00 a.m.,-,Central,RDC,second Sunday,,,
6023,Systems Outage Cancelled,Cancelled,24,July 10,11:00 p.m.,-,Central,RDC,Second Sunday,,,
6055,Systems Outage Cancelled,Cancelled,24,July 10,11:30 p.m.,-,Central,GDC,Second Sunday,,,
7023,Systems Outage Cancelled,Cancelled,24,July 10,11:30 p.m.,-,Central,GDC,,,,
6011,Systems Outage Cancelled,Cancelled,24,July 11,12:00 a.m.,-,Central,RDC,Third Monday,,,
6021,Systems Outage Cancelled,Cancelled,24,July 11,4:30 a.m.,-,Central,RDC,Second Monday,,,
6069,Systems Outage Cancelled,Cancelled,24,July 11,1:00 a.m.,-,Central,RDC,Second Monday,,,
6072,Systems Outage Cancelled,Cancelled,24,July 11,12:30 a.m.,-,Central,GDC,,,,
6006,Systems Outage Cancelled,Cancelled,24,July 12,12:00 a.m.,-,Central,RDC,second Tuesday,,,
6020,Systems Outage Cancelled,Cancelled,24,July 12,1:00 a.m.,-,Central,RDC,Second Tuesday,,,
6026,Systems Outage Cancelled,Cancelled,24,July 12,3:00 a.m.,-,Central,RDC,Second Tuesday,,,
6057,Systems Outage Cancelled,Cancelled,24,July 12,11:00 p.m.,-,Central,GDC,Second Tuesday,,,
6073,Systems Outage Cancelled,Cancelled,24,July 12,11:30 p.m.,-,Central,GDC,,,,
6077,Systems Outage Cancelled,Cancelled,24,July 12,12:30 a.m.,-,Central,GDC,,,,
6095,Systems Outage Cancelled,Cancelled,24,July 12,1:00 a.m.,-,Central,GDC,,,,
