Market,Store,SC BI LY Ship,SC BI LY Sold,SC BI TY Ship
168,2252,5,4,5
168,2614,5,5,5
168,2641,5,5,5
168,3563,0,0,1
168,3810,3,2,2
168,4612,3,3,2
170,2068,2,2,4
170,2096,1,1,1
170,2445,2,2,2
170,2446,5,4,3
170,2650,4,4,5
170,3564,3,3,3
170,5649,2,2,1
171,2156,0,0,1
171,2906,0,0,1
171,8331,8,7,7
172,3420,0,0,1
172,5293,18,17,18
172,5295,7,6,6
173,2163,0,0,1
173,2284,5,5,5
173,3803,0,0,1
174,2003,2,2,1
174,2294,1,1,1
174,2365,4,4,5
174,2368,5,4,5
174,2497,4,4,3
174,2503,2,2,1
175,2633,0,0,1
175,2651,3,3,2
175,2825,0,0,1
175,3078,0,0,1
175,3469,5,4,3
175,4153,3,3,2
175,5201,0,0,1
176,3598,0,0,1
176,3912,2,2,1
176,5447,2,2,1
176,5867,2,2,1
178,1844,0,0,1
178,1977,3,3,2
178,2195,1,1,1
178,3236,2,2,2
178,3830,4,3,3
178,5012,3,3,2
178,5142,1,1,1
178,5414,1,1,1
179,1797,4,4,3
179,1856,8,4,3
179,1924,8,7,7
179,1932,5,5,5
179,2013,5,4,5
179,2047,5,5,5
179,2143,4,3,3
179,2178,4,4,3
179,5076,5,4,3
180,1866,3,3,3
180,1868,5,5,5
180,1939,6,5,5
180,2046,5,5,5
180,2140,4,4,3
180,2183,4,3,3
180,2202,4,3,2
180,2634,4,3,3
180,2681,0,0,1
180,3269,2,2,2
181,1975,4,4,5
181,2332,0,0,1
181,2369,3,3,2
181,2530,0,0,1
181,2639,3,3,2
181,2682,2,2,2
181,2758,2,1,1
181,4156,3,3,2
181,4389,3,3,2
183,1698,2,2,1
183,1749,3,3,2
183,1788,3,2,1
183,1954,3,2,2
183,2055,4,3,2
183,2130,2,1,1
183,2153,2,2,1
183,2330,5,4,3
184,1753,2,2,1
184,1796,3,3,2
184,1907,3,3,3
184,2142,3,2,1
184,2399,3,2,2
187,1871,8,8,8
187,1946,6,6,5
187,1994,8,8,8
187,2092,1,1,1
187,2116,7,6,6
187,2424,4,3,3
187,3329,5,5,5
187,3334,4,4,5
187,4403,5,4,3
187,5497,7,6,6
187,5498,4,3,3
188,1940,5,5,5
188,1997,5,4,5
188,2056,5,4,5
188,2097,3,3,2
188,2152,4,4,5
188,2351,4,4,3
188,2370,4,3,3
188,2504,5,4,5
188,2844,5,5,5
188,3583,5,4,5
189,1677,7,6,6
189,1806,6,6,6
189,2093,8,7,7
189,2146,7,6,5
189,2234,9,8,8
189,2285,6,6,6
189,2444,7,7,7
189,2874,7,6,5
190,1781,9,8,8
190,1835,9,8,8
190,1976,8,7,7
190,2120,7,7,7
190,2135,6,6,5
190,2262,8,7,7
190,2992,7,7,7
190,3221,5,4,3
190,5240,4,3,3
190,5732,6,5,5
191,1705,5,4,3
191,1830,6,6,5
191,1831,6,6,6
191,1926,5,4,5
191,2166,7,6,6
191,2581,6,6,6
191,2911,6,5,5
191,3332,6,6,6
191,5242,7,7,7
192,1619,5,5,5
192,1673,5,4,5
192,1731,3,3,2
192,1744,7,6,6
192,1813,6,5,5
192,2785,2,2,1
192,3280,4,4,3
192,3842,4,4,3
192,5282,7,6,6
194,1949,6,5,5
194,1966,9,8,8
194,1973,9,7,7
194,2159,10,8,8
194,2164,5,4,5
194,2405,6,5,5
194,2859,8,7,7
194,5027,4,3,3
195,1909,10,8,8
195,1993,6,6,5
195,2088,6,6,5
195,2107,6,5,5
195,2210,7,5,5
195,2355,4,4,3
195,2586,10,7,6
195,3607,3,3,2
195,4597,6,5,5
196,1542,8,7,8
196,1936,7,6,6
196,2079,5,4,3
196,2100,5,5,5
196,2338,7,6,6
196,2358,6,6,5
196,2417,5,5,5
196,2434,5,4,3
196,2522,5,4,3
196,2545,5,4,5
197,1790,9,8,8
197,2631,10,9,9
197,2872,8,7,7
197,2912,19,16,16
197,3336,6,5,5
197,3476,9,7,7
197,4383,13,12,12
197,5761,5,5,5
197,5842,11,10,10
200,1791,6,5,5
200,1923,6,5,5
200,1942,4,4,3
200,2102,4,3,2
200,2238,8,7,7
200,2493,4,3,2
200,2567,4,4,3
200,3328,6,6,5
200,3453,6,5,5
200,3458,5,5,5
200,3876,5,3,3
200,5386,3,3,2
201,1540,5,5,5
201,2010,10,9,9
201,2061,5,5,5
201,2062,7,6,5
201,2678,7,6,6
201,3436,5,4,5
201,4439,6,5,5
201,5064,5,4,5
201,5065,5,4,5
201,5280,4,4,3
202,1593,6,6,5
202,1642,5,5,5
202,1771,5,4,5
202,1809,6,6,5
202,1836,9,8,8
202,2080,12,9,10
202,2620,6,6,6
202,3791,5,5,5
202,5160,14,13,13
202,5411,3,3,2
202,5472,4,4,3
203,1423,6,5,5
203,1733,6,5,5
203,1754,5,5,5
203,2618,2,2,2
203,2700,4,4,3
203,2869,6,5,5
203,4540,4,4,3
203,5048,3,2,2
203,5893,2,2,2
204,1422,5,5,5
204,1428,9,8,8
204,1432,6,6,6
204,1719,7,7,7
204,1752,7,7,6
204,2014,8,8,8
204,2619,7,6,6
204,2644,7,5,5
204,5097,8,7,7
204,5159,15,13,14
204,5376,8,7,5
205,1592,6,5,5
205,1611,9,8,8
205,1798,7,6,6
205,1928,7,6,6
205,1987,11,10,10
205,2273,8,8,8
205,2354,5,4,3
205,2693,9,8,8
205,3632,8,8,7
205,3726,9,8,8
205,4243,10,10,10
206,2558,1,1,1
206,2559,6,5,5
206,2692,8,7,7
206,2873,4,3,3
206,2959,16,13,14
206,3487,5,5,5
206,4424,10,8,9
206,4660,5,5,5
206,5844,8,7,7
207,1416,4,3,3
207,1913,4,4,3
207,2191,6,6,6
207,2350,7,5,5
207,3445,6,6,5
207,4479,7,7,7
207,5028,7,6,5
207,5029,11,10,10
207,5030,6,5,5
207,5385,7,6,5
208,1707,9,8,8
208,2063,14,10,10
208,2197,16,12,12
208,2211,10,8,8
208,2506,8,5,5
208,2541,14,10,10
208,2910,11,8,7
208,3722,13,12,12
208,3860,10,7,7
209,1863,11,8,8
209,1927,10,9,8
209,2313,8,7,6
209,2359,18,14,14
209,2362,12,10,9
209,3250,7,5,5
209,3293,8,7,7
209,3608,14,11,11
209,5387,11,8,8
213,1429,8,7,7
213,1445,3,3,2
213,1448,10,8,8
213,1539,13,10,10
213,1622,7,6,6
213,1628,6,5,5
213,1986,11,9,9
213,2613,5,5,5
213,3809,4,4,3
213,5309,8,7,6
213,5471,8,7,7
214,1839,15,11,11
214,2073,12,9,10
214,2266,9,8,7
214,2316,10,9,8
214,4255,16,12,12
214,4285,12,8,8
214,5066,10,9,8
214,5082,12,7,7
215,1812,8,6,5
215,1894,9,7,7
215,1911,8,7,6
215,2323,6,5,5
215,2361,0,0,1
215,2914,16,14,14
215,2966,13,11,11
215,5285,11,9,9
215,5410,15,13,13
216,1724,5,4,3
216,1782,14,11,12
216,1937,10,8,7
216,2078,13,9,9
216,2115,11,9,9
216,2149,8,7,7
216,2209,12,11,11
216,2684,8,7,7
216,2823,12,10,10
216,2852,11,8,8
216,3262,13,11,11
216,3581,12,10,10
217,1239,6,5,5
217,1595,6,5,5
217,1990,0,0,1
217,2426,8,6,6
217,2471,3,2,1
217,2725,3,3,2
217,2774,2,2,1
217,3812,2,2,1
217,5185,12,9,9
217,5203,6,5,5
218,1368,10,9,9
218,1427,9,7,7
218,1519,14,11,12
218,1564,16,12,12
218,2400,16,14,14
218,2572,10,7,7
218,2605,14,11,11
218,3251,8,7,7
218,3282,8,6,6
218,3486,8,7,7
218,3515,11,10,10
219,1594,13,10,10
219,2098,8,6,6
219,2726,7,6,6
219,3447,7,5,5
219,3580,10,9,10
219,3792,10,9,9
219,5184,8,7,7
219,5466,9,8,7
219,5857,3,3,2
221,1289,15,8,8
221,1407,4,3,3
221,1441,3,2,1
221,1503,5,4,3
221,1504,4,3,3
221,2309,3,3,2
221,2441,6,5,5
221,3502,6,5,5
221,3571,5,4,5
221,3784,11,8,8
221,5499,4,3,2
222,1264,9,7,6
222,1330,11,9,9
222,1333,6,5,5
222,1433,6,5,5
222,1718,8,7,7
222,1750,11,8,8
222,2542,5,4,3
222,3206,8,7,7
222,3300,5,4,5
222,3840,7,6,5
222,5355,8,6,6
223,1331,8,7,6
223,1410,9,5,5
223,1463,8,7,6
223,1495,9,7,7
223,2124,6,5,5
223,2429,9,7,6
223,3641,7,6,6
223,3765,6,5,5
223,3783,7,5,5
223,5104,8,5,5
223,5409,8,6,5
225,1443,7,6,6
225,1510,13,9,8
225,1521,3,2,2
225,1961,7,5,5
225,2250,7,4,3
225,2447,2,1,1
225,2967,7,5,5
225,3342,8,7,7
225,3749,4,3,2
225,4609,8,7,7
226,1623,9,8,8
226,1884,7,6,6
226,1945,5,5,5
226,2024,7,6,6
226,2064,5,5,5
226,2208,10,9,9
226,2480,7,7,6
226,2543,6,6,5
226,4276,5,4,5
227,1948,9,8,8
227,2193,14,11,11
227,2300,8,7,6
227,2588,11,9,10
227,3738,8,6,5
227,3838,13,8,8
227,4644,2,3,2
228,1656,8,6,5
228,2278,2,2,2
228,2561,8,6,6
228,2597,9,7,7
228,2674,5,4,5
228,2909,5,3,3
228,3253,5,4,3
228,3281,6,5,5
228,3429,7,6,5
228,3514,8,6,6
228,5360,4,3,2
228,5445,7,5,5
229,1568,10,8,8
229,1770,7,5,5
229,1820,6,5,5
229,1883,7,6,6
229,1885,12,10,10
229,2287,8,7,7
229,2540,6,5,5
229,3223,12,9,9
229,4643,5,4,3
231,1765,6,5,5
231,1935,11,9,9
231,2059,8,7,7
231,2318,11,7,7
231,2502,6,6,5
231,2663,6,5,5
231,2664,5,4,3
231,3228,6,5,5
231,5241,6,6,6
231,5356,4,3,2
232,1644,3,3,3
232,1794,5,5,5
232,2169,7,7,7
232,2185,2,2,1
232,2255,4,4,3
232,2481,5,4,5
232,2528,5,4,5
232,2535,7,6,6
232,3412,3,3,2
232,3634,5,4,5
233,1529,8,7,7
233,2023,4,3,2
233,2205,7,6,5
233,2334,4,4,3
233,2340,4,4,3
233,2519,10,8,9
233,2888,4,4,3
233,4404,4,3,3
234,1537,0,0,1
234,1591,2,1,1
234,1823,8,7,6
234,1850,8,6,6
234,1886,5,5,5
234,2574,4,3,3
234,3633,9,8,8
234,5358,4,3,2
234,5469,7,6,6
234,5888,2,2,1
235,1739,14,10,11
235,2019,14,12,11
235,2199,11,9,9
235,2281,15,12,12
235,2420,11,8,8
235,2611,8,7,7
235,4501,6,5,5
235,5088,6,5,5
235,5379,6,6,5
235,5446,8,6,6
237,1607,6,5,5
237,1640,2,2,1
237,1769,9,8,8
237,1792,5,4,5
237,2049,9,7,7
237,2129,7,6,6
237,2230,6,4,3
237,4348,4,4,3
237,5470,4,4,3
238,1479,10,8,8
238,1487,8,7,6
238,1576,0,0,1
238,1618,11,9,9
238,2276,6,5,5
238,2544,10,9,9
238,2817,12,9,9
238,2818,10,8,8
238,4631,8,7,7
239,1480,5,4,5
239,1665,12,9,9
239,1728,10,8,8
239,1729,6,5,5
239,1745,10,9,9
239,1758,10,8,8
239,2035,9,7,7
239,2275,4,3,3
239,2388,7,5,5
239,3747,9,7,7
239,5374,8,7,7
242,497,7,7,7
242,526,5,4,3
242,1053,7,6,6
242,3294,7,7,7
242,4450,2,2,2
242,5417,9,8,8
242,5418,5,4,3
242,7290,4,3,3
243,922,9,8,8
243,1033,7,5,5
243,1142,7,6,5
243,1157,7,5,5
243,1160,10,9,9
243,1180,9,7,7
243,1327,13,10,10
243,1476,10,9,9
243,2691,12,10,11
243,2968,7,6,6
243,7087,6,5,5
246,854,8,7,7
246,1329,8,6,6
246,1547,10,7,6
246,1962,13,10,11
246,2339,7,5,5
246,2771,6,5,5
246,3851,8,6,6
247,1294,13,10,10
247,1304,11,8,8
247,1378,7,5,5
247,1425,5,4,5
247,1566,8,5,5
247,1639,4,3,3
247,1667,9,7,6
247,1978,10,8,8
247,2311,6,5,5
247,2679,9,6,5
247,4399,7,5,5
248,1388,6,6,5
248,1419,6,5,5
248,1570,8,7,7
248,1647,6,5,5
248,1709,8,7,7
248,1804,6,5,5
248,2819,6,4,5
248,4230,4,4,3
248,4231,6,5,5
248,5025,7,6,6
249,884,11,9,9
249,1141,14,12,12
249,1459,6,5,5
249,1580,9,7,7
249,2787,5,4,5
249,3435,8,7,6
249,3529,7,5,5
249,5443,12,9,9
249,5483,7,6,6
251,828,10,8,8
251,902,9,8,8
251,995,8,7,7
251,1310,8,7,6
251,1356,15,13,12
251,1991,8,7,7
251,4235,12,10,10
251,4417,14,11,11
253,143,7,6,6
253,204,7,6,5
253,282,7,6,6
253,294,2,2,1
253,430,10,9,9
253,431,8,7,7
253,491,9,9,9
253,653,9,9,9
253,655,7,6,6
253,736,6,6,6
253,3362,9,8,8
254,257,2,1,1
254,299,10,9,9
254,333,3,3,2
254,694,4,4,3
254,701,3,3,2
254,1263,7,6,6
254,1341,7,6,5
254,1676,5,4,3
254,3363,5,4,5
254,5236,7,6,6
254,5728,6,5,5
256,445,8,8,9
256,589,13,13,14
256,709,14,13,14
256,729,11,11,11
256,1165,17,15,16
256,1170,7,6,6
256,1675,4,4,5
256,4118,13,11,11
256,6931,4,4,5
257,569,12,11,11
257,665,8,7,8
257,689,14,13,14
257,711,12,12,12
257,719,15,14,14
257,825,10,9,10
257,1048,9,9,10
257,1190,16,15,14
257,1234,8,8,8
257,2654,5,4,3
258,552,0,0,1
258,739,14,14,16
258,1113,28,26,28
258,1233,21,22,24
258,1247,31,29,32
258,1259,19,19,21
258,1505,21,20,22
258,1743,0,0,1
259,591,9,8,9
259,702,19,11,11
259,1139,16,16,17
259,1140,13,13,13
259,1426,15,13,13
259,1478,14,12,12
259,1569,13,11,11
259,2638,10,9,9
259,3894,7,7,7
259,4461,8,8,7
260,493,8,8,8
260,507,8,6,6
260,519,11,10,10
260,571,9,9,9
260,584,10,8,8
260,692,13,11,12
260,720,8,8,8
260,1210,10,9,9
260,2628,7,6,6
260,2783,7,5,5
262,844,12,8,8
262,852,5,4,3
262,1003,7,5,5
262,1307,10,7,7
262,1386,5,3,3
262,1548,6,5,5
262,2956,10,8,8
262,4323,5,4,5
262,4699,5,3,2
263,802,5,4,3
263,933,6,4,3
263,958,5,3,3
263,1490,14,8,7
263,1740,10,7,7
263,1955,9,6,6
263,2532,6,5,5
263,3837,6,5,5
263,5044,3,2,1
263,5398,7,5,5
264,786,7,6,6
264,1420,7,4,3
264,1553,4,3,2
264,1814,4,3,2
264,1848,3,2,2
264,1898,3,2,1
264,4405,6,4,3
264,5352,4,3,2
264,5442,4,2,1
265,1401,5,3,3
265,1596,5,3,3
265,2215,5,3,2
265,3400,11,6,5
265,3790,6,5,5
265,4286,6,4,5
265,4531,6,5,5
266,1256,10,6,6
266,1497,9,6,6
266,1556,7,6,5
266,3601,10,6,6
266,4049,8,7,7
266,4529,6,4,3
266,5486,5,4,5
266,5965,8,7,7
267,1998,5,3,2
267,2204,11,6,6
267,3725,4,2,1
267,5402,9,6,6
267,5617,6,4,3
268,1681,4,2,2
268,1737,3,2,1
268,1892,10,7,7
268,1897,6,3,2
268,1938,8,6,6
268,2815,0,0,1
268,3004,12,8,7
268,5485,8,6,6
269,1228,7,5,5
269,1404,3,2,1
269,1668,7,6,5
269,1735,4,2,1
269,3891,9,5,5
269,3893,7,4,5
269,4177,0,0,1
269,5199,6,5,5
270,1211,3,2,1
270,1377,6,4,5
270,1413,10,6,6
270,1531,5,4,3
270,3434,6,3,2
270,3597,7,6,6
270,4641,5,3,3
270,5060,5,3,2
271,196,4,4,3
271,216,9,8,8
271,222,6,4,5
271,233,4,4,3
271,237,7,6,6
271,252,3,3,2
271,262,5,5,5
271,302,4,3,3
271,833,3,3,2
272,198,5,5,5
272,213,9,8,8
272,224,7,6,6
272,317,6,5,5
272,435,5,4,5
272,436,3,3,2
272,454,3,3,3
272,506,3,3,2
272,936,10,8,8
272,1395,5,5,5
272,4259,4,3,3
273,254,6,4,5
273,422,5,5,5
273,481,7,6,6
273,550,3,3,2
273,612,5,4,3
273,798,4,3,3
273,1093,4,4,3
273,1734,5,4,3
273,2491,9,7,7
273,2934,8,5,5
273,3255,5,4,3
273,5403,5,4,3
275,200,10,9,9
275,334,3,3,2
275,343,6,5,5
275,609,13,11,11
275,1451,5,3,2
275,1454,10,7,7
275,1602,5,5,5
275,1690,13,8,8
275,2728,8,7,6
275,3210,8,7,6
275,3602,7,6,6
278,197,7,5,5
278,199,9,6,5
278,603,10,8,8
278,1028,7,5,5
278,1125,10,7,6
278,1421,8,5,5
278,3459,7,5,5
278,3460,9,6,5
278,5157,4,3,3
279,633,6,6,5
279,636,5,4,3
279,775,10,6,6
279,796,12,9,8
279,891,9,6,6
279,2231,9,7,7
279,4511,11,6,6
279,5399,9,7,6
280,1674,13,11,11
280,1703,12,11,11
280,2233,8,7,7
280,2357,7,6,5
280,2551,0,0,1
280,2566,8,7,7
280,2756,8,7,7
280,2790,10,8,8
280,4423,15,13,14
281,1968,8,8,8
281,2045,9,8,8
281,2577,8,6,6
281,3489,8,5,5
281,3780,10,9,9
282,1875,3,3,2
282,2279,3,3,2
282,2435,5,3,3
282,5382,2,2,2
283,1985,3,3,2
283,3035,3,3,2
283,5753,9,8,8
283,5936,2,2,1
283,5968,3,2,2
284,1736,4,4,3
284,1741,10,8,8
284,1860,9,7,6
284,2041,0,0,1
284,2555,0,0,1
284,3802,10,9,9
284,5039,5,10,2
284,5450,8,7,6
284,5795,6,5,5
285,1890,10,9,9
285,2272,9,7,7
285,2460,11,10,10
285,2514,5,5,5
285,2560,7,7,7
285,2791,5,5,5
285,2931,8,7,7
285,3843,12,12,13
285,4378,5,5,5
286,1406,11,8,8
286,1825,11,10,10
286,2437,7,7,5
286,2564,6,6,6
286,2647,8,7,7
286,3344,20,15,14
286,3573,6,6,6
286,4514,9,7,7
286,5105,12,12,12
286,6952,12,11,10
287,1523,7,6,6
287,1525,9,7,7
287,1730,10,9,9
287,2295,8,5,5
287,2795,6,6,5
287,3869,2,2,1
287,4191,2,2,2
287,4350,4,3,2
287,7032,8,7,7
288,1631,10,9,9
288,1682,8,8,8
288,1687,10,10,9
288,1759,15,10,10
288,1773,10,9,9
288,3214,7,6,6
288,3219,10,9,9
288,3265,13,12,12
288,3831,6,5,5
288,4623,4,4,5
289,1688,6,6,5
289,1811,8,8,8
289,1841,6,6,6
289,2529,10,9,9
289,3216,8,7,7
289,3644,10,10,10
289,4064,10,9,9
289,5253,6,5,5
289,5488,2,1,1
289,5922,4,3,3
290,1424,13,10,10
290,1524,10,9,7
290,1969,7,5,5
290,2160,8,7,7
290,2808,9,7,7
290,2821,5,5,5
290,4476,8,6,6
290,5847,5,5,5
291,1833,10,8,8
291,1852,7,7,7
291,2136,11,10,11
291,2438,8,8,8
291,2520,6,6,6
291,3588,7,5,5
291,4258,7,7,7
291,4638,8,8,8
291,5343,16,14,14
291,5731,5,5,5
292,1904,5,4,5
292,2015,5,4,5
292,2038,4,3,3
292,3077,5,5,5
292,3639,1,1,1
292,5880,3,3,2
292,5969,2,2,1
293,2412,9,7,7
293,2436,10,8,8
293,2850,6,5,5
293,3720,14,11,11
293,3804,5,4,3
294,1036,10,10,10
294,1179,6,4,5
294,1217,8,8,8
294,1242,8,6,6
294,1317,6,5,5
294,1663,10,10,10
294,2440,7,7,6
294,4334,8,7,7
294,4428,3,3,2
296,1191,5,4,5
296,1287,9,9,9
296,1288,7,7,7
296,1579,5,4,5
296,2137,4,4,3
296,2256,8,7,7
296,2845,8,8,8
296,3182,2,2,1
296,3612,6,6,5
296,5346,8,7,8
297,1614,3,3,2
297,1953,6,5,5
297,2058,3,2,2
297,4250,4,3,3
297,4484,6,5,5
297,5118,4,4,3
297,5254,6,6,6
297,5292,6,5,5
298,1132,12,11,12
298,1498,5,5,5
298,1558,8,8,8
298,1842,5,5,5
298,2704,8,8,8
298,3304,6,6,5
298,3305,8,8,8
298,3658,5,5,5
298,5320,6,6,7
299,1237,11,10,10
299,1321,9,9,10
299,1372,5,4,5
299,1664,8,8,8
299,2247,3,3,2
299,2836,5,5,5
299,3889,3,2,2
299,4458,3,3,2
299,4499,7,6,6
299,4564,8,7,7
299,5046,11,10,10
299,5743,8,8,7
300,1268,8,8,8
300,1348,7,6,6
300,1352,5,4,5
300,1392,6,5,5
300,1767,11,10,8
300,2580,6,5,5
300,2772,8,8,8
300,4065,6,6,5
300,4273,7,7,7
300,7243,3,3,3
301,1197,8,8,8
301,1354,6,6,6
301,1379,5,4,5
301,1502,11,11,11
301,1527,10,10,11
301,1641,4,4,5
301,1950,5,4,3
301,2000,4,4,3
301,2730,7,6,5
301,4459,6,5,5
301,5851,6,5,5
302,1236,5,4,5
302,1298,8,8,8
302,1300,6,6,5
302,1355,8,7,7
302,1661,6,5,5
302,3701,4,4,3
302,3825,8,7,7
302,3864,11,11,12
302,7009,7,7,7
302,7179,8,8,8
302,7238,4,3,3
304,948,8,8,8
304,1039,13,12,12
304,1060,9,9,9
304,1064,8,8,8
304,1096,8,7,7
304,1131,6,6,6
304,1290,12,12,13
304,1337,10,10,10
304,1662,12,11,12
304,4224,8,7,7
304,4410,8,7,7
305,1034,10,11,11
305,1209,10,10,11
305,1385,7,7,7
305,1464,3,3,2
305,4274,8,7,7
305,4594,8,7,7
305,5085,3,3,2
305,5298,6,6,6
305,5481,7,6,6
305,5745,8,8,8
306,1027,5,5,5
306,1133,8,7,7
306,1156,9,8,8
306,2005,10,9,9
306,2134,6,5,5
306,4574,6,5,5
306,5747,8,8,7
306,5879,6,6,6
308,1322,7,7,7
308,1552,7,6,6
308,1613,7,6,6
308,1849,7,6,6
308,2472,5,5,5
308,2793,9,8,8
308,3503,14,12,12
308,3626,9,8,8
308,4477,6,5,5
308,6789,7,7,7
309,877,12,11,10
309,1010,9,8,8
309,1097,10,9,9
309,1255,8,8,8
309,1452,0,0,1
309,1666,2,1,1
309,2908,4,5,5
309,3371,3,2,2
309,3700,8,7,6
309,5063,5,5,5
310,1155,8,8,8
310,1238,9,8,8
310,1261,6,7,7
310,1312,7,6,6
310,1774,15,13,14
310,2929,10,10,10
310,3595,11,10,10
310,5489,5,5,5
310,5787,6,5,5
310,6879,8,7,7
310,6958,10,9,9
311,154,10,9,9
311,1023,13,13,14
311,1302,17,16,18
311,1763,10,10,10
311,2089,10,10,10
311,2761,8,8,9
311,3270,10,10,11
311,3303,6,6,6
311,3480,8,8,8
311,3772,11,11,12
312,1243,8,8,8
312,1292,7,7,7
312,1301,5,5,5
312,1309,6,6,6
312,1652,7,7,7
312,2312,4,4,5
312,2337,11,11,11
312,2762,5,5,5
312,3243,8,7,7
312,3770,6,6,6
314,1345,8,7,7
314,1465,8,8,8
314,1486,9,8,8
314,1934,10,10,10
314,2645,3,3,3
314,2705,5,5,5
314,2805,1,1,1
314,3768,7,6,6
314,4636,7,7,7
315,1335,9,8,8
315,1344,10,9,9
315,1350,10,9,9
315,1399,6,6,5
315,1726,7,6,5
315,1780,3,4,3
315,2565,8,7,7
315,2807,6,6,6
315,4682,11,9,9
315,4697,5,4,5
315,5117,12,10,10
316,1450,10,9,9
316,2244,12,10,10
316,2548,12,12,13
316,2576,11,9,9
316,2610,20,15,16
316,2792,4,3,3
316,2810,5,4,5
316,2849,6,5,5
316,4277,17,14,14
316,5296,8,7,7
317,1351,12,10,11
317,1360,10,8,8
317,1477,12,10,11
317,1499,13,10,10
317,2036,14,11,12
317,2646,7,6,6
317,2662,8,7,7
317,2933,10,9,10
317,4278,9,7,7
317,5319,12,11,11
317,6951,6,5,5
320,1522,11,10,10
320,1544,15,12,12
320,1653,8,6,6
320,1714,13,10,10
320,2027,16,13,13
320,2083,9,7,6
320,2474,8,8,7
320,2696,7,6,5
320,2809,9,7,6
320,2833,7,6,6
320,2894,9,8,8
320,3215,14,8,8
320,4372,7,6,5
321,16,27,17,16
321,55,7,6,6
321,66,10,9,9
321,67,10,9,9
321,125,25,16,16
321,141,25,17,17
321,209,0,0,1
321,279,6,5,5
321,358,20,16,17
321,388,15,9,9
321,3231,14,8,7
322,2,12,12,12
322,54,7,7,6
322,76,8,7,7
322,144,16,14,14
322,359,13,12,12
322,373,4,4,3
322,914,11,8,7
323,1,10,10,10
323,4,17,14,14
323,100,11,11,11
323,4108,13,11,11
323,5260,13,10,11
323,5261,10,9,9
324,85,16,12,11
324,124,9,7,7
324,126,7,6,6
324,3230,12,12,13
324,4460,8,7,7
324,5244,6,5,5
324,5706,7,6,6
325,33,13,11,11
325,52,9,9,9
325,58,16,14,14
325,127,11,10,10
325,133,4,3,3
325,261,12,10,11
325,296,8,8,8
325,318,8,7,7
325,336,9,9,9
325,1065,7,6,6
325,5433,6,5,5
326,5,12,11,11
326,7,12,10,10
326,8,6,6,5
326,24,9,8,8
326,169,7,6,6
326,1105,13,11,11
326,2575,6,6,6
326,2587,15,14,14
326,4168,18,17,18
327,83,7,6,5
327,102,21,21,7
327,167,5,5,5
327,171,7,6,6
327,348,9,8,8
327,530,12,11,12
327,714,6,5,5
327,3331,21,18,18
328,11,14,14,14
328,18,9,9,8
328,71,10,9,9
328,119,12,12,12
328,157,19,17,18
328,160,9,8,8
328,281,8,6,6
328,788,10,9,8
328,1114,9,9,8
328,1147,4,4,5
329,36,15,14,14
329,45,16,11,11
329,62,7,6,6
329,68,5,5,5
329,70,12,9,9
329,74,4,4,5
329,91,6,6,6
329,128,11,9,9
329,190,10,10,10
329,229,7,7,7
333,15,14,14,14
333,32,0,0,1
333,56,5,4,5
333,379,8,7,7
333,444,8,6,5
333,1009,10,10,10
333,2175,11,6,6
333,2221,10,9,9
333,2702,8,7,7
333,4381,19,12,13
334,13,8,7,7
334,17,14,11,11
334,34,11,10,10
334,48,9,6,6
334,59,15,11,11
334,79,11,9,9
334,92,8,6,5
334,267,10,7,7
334,338,5,4,5
334,888,4,4,5
334,7249,4,3,2
335,9,13,11,12
335,19,16,15,17
335,30,10,9,9
335,37,12,10,10
335,69,11,10,10
335,82,6,4,3
335,95,10,8,8
335,122,5,5,5
335,152,8,8,8
335,188,10,9,9
335,337,5,4,3
336,21,14,11,12
336,29,12,9,9
336,65,10,8,7
336,89,10,7,7
336,101,13,9,9
336,219,15,11,12
336,354,4,3,2
336,357,7,5,5
336,815,9,6,6
336,5477,8,5,5
339,60,11,8,8
339,145,6,4,5
339,243,9,7,7
339,648,8,5,5
339,1021,9,7,6
339,1161,8,7,7
339,1188,4,3,2
339,1265,7,6,5
339,2600,3,2,2
339,2616,8,7,7
339,5313,8,5,5
339,5927,10,7,7
340,99,7,5,5
340,172,11,8,7
340,295,5,4,3
340,313,9,7,7
340,805,7,6,6
340,1177,5,4,3
340,1514,8,7,7
340,2213,7,5,5
340,2694,5,4,3
340,3061,4,3,3
340,5150,4,3,3
341,201,7,6,6
341,253,6,6,5
341,256,8,7,7
341,328,6,5,5
341,361,6,5,5
341,1071,11,10,10
341,1418,9,7,8
341,1761,9,8,8
341,4695,8,7,7
344,108,7,5,5
344,132,5,3,2
344,134,9,8,9
344,150,12,8,8
344,178,3,2,2
344,221,9,9,9
344,227,6,5,5
344,392,9,9,9
344,499,13,9,9
344,564,12,9,9
344,622,12,10,10
345,41,17,13,14
345,168,22,13,13
345,207,8,6,5
345,246,9,7,7
345,576,9,7,7
345,823,15,10,10
345,838,18,13,13
345,3055,14,9,9
347,10,21,13,12
347,12,15,11,11
347,22,11,9,9
347,28,13,10,10
347,50,7,5,5
347,63,10,5,5
347,81,10,45,7
347,90,18,13,13
347,130,31,20,21
347,374,13,7,7
349,113,11,11,11
349,162,5,4,5
349,269,18,17,18
349,271,13,7,6
349,414,6,6,6
349,420,9,8,8
349,479,12,11,12
349,1116,14,17,18
349,1148,11,10,10
349,3229,4,3,3
