STORE,D31 Footage Cat 2702,GM Footage Cat 2400,Mesh Traited,Clear Traited,,
1087,20,16,Yes,No,,
1088,8,16,Yes,Yes,,
1089,20,20,Yes,Yes,,
1090,24,28,Yes,Yes,,
1091,28,16,No,No,,
1093,16,0,No,No,,
1094,16,12,Yes,Yes,,
1095,16,16,No,No,,
1096,20,24,No,No,,
1097,20,16,Yes,No,,
1098,20,16,No,No,,
1099,20,28,Yes,No,,
1100,4,0,No,No,,
1101,36,12,Yes,No,,
1102,16,24,Yes,Yes,,
1103,16,24,Yes,Yes,,
1104,12,28,No,No,,
1105,16,24,Yes,Yes,,
1106,0,12,Yes,Yes,,
1107,4,12,Yes,No,,
1108,24,12,Yes,Yes,,
1109,8,12,Yes,Yes,,
1110,4,12,No,No,,
1111,16,24,No,No,,
1112,24,8,No,No,,
1113,16,12,Yes,Yes,,
1114,0,12,No,No,,
1115,8,12,Yes,Yes,,
1116,24,12,Yes,Yes,,
1117,32,12,No,No,,
1118,12,24,Yes,Yes,,
1119,16,4,No,No,,
1120,24,24,Yes,No,,
1121,20,16,Yes,Yes,,
1122,20,12,No,No,,
1123,24,8,No,No,,
1124,12,12,No,No,,
1125,24,8,No,No,,
1126,20,16,No,No,,
1128,12,16,No,Yes,,
1129,20,8,No,No,,
1130,16,24,No,No,,
1131,16,0,No,No,,
1132,24,24,Yes,No,,
1133,20,16,No,No,,
1134,32,8,Yes,No,,
1135,16,8,No,Yes,,
1136,24,4,Yes,Yes,,
1137,20,24,Yes,Yes,,
1138,12,8,No,No,,
1139,24,8,No,No,,
1140,24,24,Yes,No,,
1141,16,12,No,No,,
1142,16,16,No,No,,
1143,16,16,Yes,Yes,,
1144,16,0,No,No,,
1146,24,12,No,Yes,,
1147,4,8,No,No,,
1148,20,28,No,No,,
1149,20,16,No,Yes,,
1150,12,8,Yes,No,,
1151,16,20,No,No,,
1152,16,0,No,No,,
1153,20,8,Yes,Yes,,
1154,16,8,No,No,,
1155,16,12,Yes,Yes,,
1156,16,0,No,No,,
1157,12,12,No,No,,
1158,16,24,Yes,Yes,,
1159,8,0,Yes,Yes,,
1160,16,12,Yes,No,,
1161,20,12,Yes,No,,
1162,16,16,No,No,,
1163,8,20,Yes,Yes,,
1164,12,12,Yes,Yes,,
1165,8,28,Yes,Yes,,
1166,4,0,Yes,Yes,,
1167,12,28,Yes,No,,
1168,24,24,Yes,No,,
1169,8,12,Yes,Yes,,
1170,12,16,No,Yes,,
1171,8,4,Yes,No,,
1172,24,0,Yes,Yes,,
1173,12,28,Yes,Yes,,
1174,16,0,Yes,Yes,,
1175,20,20,No,Yes,,
1176,12,4,No,No,,
1177,40,8,No,No,,
1178,36,12,Yes,No,,
1179,20,20,No,No,,
1180,24,12,No,No,,
1181,12,8,Yes,Yes,,
1182,20,8,No,No,,
1183,24,28,Yes,Yes,,
1184,12,12,Yes,Yes,,
1185,20,32,Yes,Yes,,
1186,20,8,Yes,Yes,,
1187,0,8,No,No,,
1188,12,16,Yes,Yes,,
1189,12,0,No,No,,
1190,12,8,No,Yes,,
1191,8,20,No,No,,
1192,16,8,No,No,,
1193,16,24,Yes,Yes,,
1194,16,8,No,No,,
1195,16,16,Yes,No,,
1196,8,12,Yes,Yes,,
1197,20,40,Yes,No,,
1198,16,12,Yes,Yes,,
1199,20,16,No,No,,
1200,16,40,No,No,,
1201,16,24,Yes,Yes,,
1202,16,8,No,No,,
1203,12,8,Yes,No,,
1204,16,12,Yes,No,,
1205,12,8,Yes,Yes,,
1206,24,24,Yes,Yes,,
1207,20,8,No,No,,
1209,8,24,No,No,,
1210,32,8,No,No,,
1211,12,12,No,No,,
1212,16,16,Yes,No,,
1213,16,12,No,No,,
1215,16,8,Yes,No,,
1216,28,16,Yes,Yes,,
1217,8,16,No,No,,
1218,24,32,No,Yes,,
1219,20,20,Yes,Yes,,
1220,20,12,Yes,Yes,,
1221,24,28,No,No,,
1222,16,20,Yes,No,,
1223,12,20,No,Yes,,
1224,20,24,No,Yes,,
1225,20,12,Yes,Yes,,
1226,16,12,No,No,,
1227,16,12,Yes,Yes,,
1228,16,40,No,No,,
1229,8,20,Yes,Yes,,
1230,8,32,Yes,No,,
1231,0,12,No,No,,
1232,20,16,No,No,,
1233,24,28,No,No,,
1234,12,20,No,No,,
1235,0,24,Yes,No,,
1236,20,24,No,Yes,,
1237,16,0,Yes,No,,
1238,16,8,Yes,Yes,,
1239,20,12,No,Yes,,
1240,8,16,Yes,Yes,,
1241,24,16,Yes,No,,
1242,20,20,Yes,No,,
1243,24,8,No,No,,
1244,24,12,Yes,No,,
1245,24,32,Yes,No,,
1247,16,24,Yes,Yes,,
1248,24,20,Yes,Yes,,
1249,24,16,Yes,No,,
1252,24,0,No,No,,
1253,20,20,Yes,Yes,,
1254,20,8,Yes,Yes,,
1255,20,20,Yes,Yes,,
1256,20,20,No,No,,
1259,16,24,Yes,Yes,,
1260,12,16,No,Yes,,
1261,16,8,Yes,Yes,,
1263,16,8,Yes,No,,
1264,20,16,No,No,,
1265,8,8,No,Yes,,
1266,24,28,Yes,Yes,,
1267,20,24,No,No,,
1268,16,24,Yes,No,,
1270,20,28,Yes,Yes,,
1271,16,8,Yes,No,,
1272,16,20,No,No,,
1273,16,12,No,No,,
1274,4,8,No,No,,
1275,8,12,No,No,,
1276,12,12,No,No,,
1277,24,12,No,No,,
1279,24,40,Yes,Yes,,
1280,20,16,No,No,,
1281,12,32,Yes,No,,
1282,12,8,No,No,,
1283,12,24,No,Yes,,
1284,16,20,Yes,Yes,,
1285,20,20,No,No,,
1286,12,20,Yes,No,,
1287,20,12,Yes,No,,
1288,20,4,No,No,,
1289,20,24,No,No,,
1290,12,20,Yes,No,,
1291,20,12,Yes,No,,
1292,24,0,No,Yes,,
1293,16,8,Yes,Yes,,
1294,20,20,Yes,Yes,,
1295,0,12,No,Yes,,
1296,20,16,Yes,Yes,,
1297,24,12,No,No,,
1298,24,24,Yes,No,,
1299,16,24,No,Yes,,
1300,16,16,No,No,,
1301,16,36,No,No,,
1302,16,12,No,No,,
1303,24,28,Yes,No,,
1304,20,20,No,No,,
1305,20,12,No,No,,
1306,16,12,No,No,,
1307,20,12,No,Yes,,
1308,8,20,No,No,,
1309,12,8,No,Yes,,
1310,20,20,No,No,,
1311,20,8,Yes,Yes,,
1312,12,24,Yes,Yes,,
1313,12,20,Yes,Yes,,
1314,20,24,Yes,No,,
1315,12,20,No,Yes,,
1316,12,8,No,No,,
1317,12,12,No,No,,
1318,12,8,No,Yes,,
1319,12,16,No,Yes,,
1320,20,20,Yes,Yes,,
1321,20,4,No,No,,
1322,32,8,No,Yes,,
1323,20,16,Yes,Yes,,
1324,20,8,No,No,,
1325,20,4,No,Yes,,
1326,20,28,Yes,No,,
1327,16,8,No,No,,
1328,24,12,No,No,,
1329,12,24,No,No,,
1330,8,12,No,No,,
1331,12,28,No,No,,
1332,16,16,No,No,,
1333,12,20,No,No,,
1334,8,16,No,Yes,,
1335,20,16,No,No,,
1336,24,16,No,No,,
1337,32,16,No,No,,
1338,16,16,Yes,Yes,,
1339,24,8,Yes,No,,
1340,16,24,Yes,Yes,,
1341,36,16,No,Yes,,
1342,20,8,Yes,Yes,,
1344,24,12,No,No,,
1345,20,8,No,No,,
1346,24,24,Yes,Yes,,
1347,16,20,Yes,Yes,,
1348,16,8,No,No,,
1349,32,24,Yes,No,,
1350,24,12,No,No,,
1351,24,24,Yes,Yes,,
1352,12,24,No,No,,
1353,20,8,Yes,Yes,,
1354,16,16,No,No,,
1355,20,20,No,No,,
1356,16,24,No,No,,
1357,12,24,No,No,,
1358,24,8,Yes,Yes,,
1359,24,36,Yes,Yes,,
1360,16,20,Yes,No,,
1361,24,8,No,No,,
1362,16,8,Yes,No,,
1363,20,12,No,No,,
1364,16,16,No,No,,
1365,12,0,No,No,,
1366,12,12,No,No,,
1367,24,28,Yes,Yes,,
1368,20,24,No,No,,
1369,20,12,No,No,,
1370,20,24,No,Yes,,
1371,12,16,No,No,,
1372,12,16,No,Yes,,
1373,8,24,Yes,No,,
1374,16,24,No,No,,
1375,24,32,Yes,No,,
1376,16,8,No,No,,
1377,24,8,No,No,,
1378,20,20,No,No,,
1379,16,20,Yes,No,,
1380,24,12,No,No,,
1381,40,8,No,Yes,,
1382,20,20,Yes,No,,
1383,16,20,Yes,No,,
1384,16,12,No,No,,
1385,24,12,Yes,Yes,,
1386,16,12,No,No,,
1387,32,12,No,Yes,,
1388,12,16,No,No,,
1389,0,8,No,Yes,,
1390,20,16,Yes,No,,
1391,16,32,No,Yes,,
1392,12,16,No,No,,
1393,16,16,No,No,,
1394,8,20,Yes,No,,
1395,12,16,No,Yes,,
1396,16,8,No,No,,
1397,24,12,Yes,No,,
1398,12,12,Yes,No,,
1399,12,16,No,No,,
1400,16,4,No,No,,
1401,16,16,No,No,,
1403,8,20,No,No,,
1404,16,12,No,No,,
1405,16,8,Yes,Yes,,
1406,24,32,Yes,No,,
1407,24,8,No,No,,
1408,24,8,Yes,No,,
1409,12,8,Yes,Yes,,
1410,20,20,No,No,,
1411,24,12,No,No,,
1412,20,8,No,No,,
1413,36,16,No,No,,
1414,20,16,No,No,,
1415,24,12,No,Yes,,
1416,24,20,No,No,,
1417,20,28,No,No,,
1418,8,40,No,No,,
1419,16,28,Yes,No,,
1420,24,8,No,No,,
1421,24,12,No,No,,
1422,8,20,No,No,,
1423,24,16,No,No,,
1424,20,20,Yes,No,,
1425,12,20,No,Yes,,
1426,16,12,Yes,Yes,,
1427,24,12,No,No,,
1428,20,16,No,No,,
1429,16,20,No,No,,
1430,24,20,No,No,,
1431,24,20,No,No,,
1432,20,32,No,No,,
1433,12,20,No,No,,
1434,12,20,Yes,No,,
1435,0,12,No,No,,
1436,0,12,Yes,Yes,,
1437,16,8,No,Yes,,
1438,32,24,Yes,No,,
1439,16,16,Yes,No,,
1440,12,16,No,No,,
1441,32,8,Yes,Yes,,
1442,20,16,No,No,,
1443,12,12,No,No,,
1444,16,12,Yes,Yes,,
1445,24,16,No,No,,
1446,20,24,No,No,,
1447,16,24,No,No,,
1448,16,8,Yes,No,,
1449,16,20,No,No,,
1450,20,20,No,No,,
1451,8,12,No,No,,
1452,8,12,No,Yes,,
1453,16,0,No,No,,
1454,24,12,No,No,,
1455,16,20,Yes,Yes,,
1456,20,24,No,No,,
1457,32,0,No,No,,
1458,32,12,No,Yes,,
1459,16,28,Yes,No,,
1460,16,8,Yes,No,,
1461,12,0,Yes,No,,
1462,20,24,Yes,Yes,,
1463,20,16,No,No,,
1464,16,12,Yes,Yes,,
1465,12,32,Yes,Yes,,
1466,20,20,No,No,,
1467,4,0,No,No,,
1468,24,28,Yes,Yes,,
1469,24,20,Yes,No,,
1470,28,20,No,No,,
1471,24,0,No,No,,
1472,24,16,No,No,,
1473,16,12,No,No,,
1474,16,32,Yes,No,,
1475,0,12,No,No,,
1476,16,32,Yes,No,,
1477,20,24,No,No,,
1478,20,20,No,Yes,,
1479,24,20,No,Yes,,
1480,16,4,No,No,,
1481,20,16,Yes,Yes,,
1482,24,8,No,No,,
1483,24,12,No,No,,
1485,24,12,No,No,,
1486,16,24,No,Yes,,
1487,24,12,No,No,,
1488,12,28,Yes,Yes,,
1489,20,8,No,No,,
1490,12,20,Yes,Yes,,
1491,16,16,No,No,,
1492,8,24,No,No,,
1493,12,16,No,No,,
1494,24,12,Yes,No,,
1495,32,20,No,No,,
1496,16,32,No,No,,
1497,24,16,Yes,Yes,,
1498,12,8,No,No,,
1499,16,8,No,No,,
1500,24,12,No,No,,
1501,16,8,No,No,,
1502,20,28,No,No,,
1503,12,20,No,No,,
1504,24,8,No,No,,
1505,24,12,Yes,Yes,,
1506,12,0,No,No,,
1507,24,12,No,No,,
1508,20,16,No,No,,
1509,0,8,No,No,,
1510,16,24,Yes,Yes,,
1511,16,24,No,No,,
1512,16,8,No,No,,
1513,8,12,No,Yes,,
1514,36,24,Yes,No,,
1515,20,8,No,No,,
1516,16,20,No,No,,
1517,0,0,No,Yes,,
1518,24,16,Yes,No,,
1519,20,24,No,Yes,,
1520,20,0,No,No,,
1521,32,16,Yes,No,,
1522,24,24,No,No,,
1523,12,8,Yes,No,,
1524,16,20,No,No,,
1525,12,24,No,No,,
1526,24,20,No,No,,
1527,16,8,Yes,No,,
1528,16,20,No,Yes,,
1529,12,20,Yes,Yes,,
1530,16,16,Yes,Yes,,
1531,32,24,No,No,,
1532,16,28,Yes,Yes,,
1533,20,12,No,No,,
1534,24,8,No,No,,
1535,32,8,No,No,,
1536,28,20,Yes,No,,
1537,24,12,No,No,,
1538,24,8,No,No,,
1539,20,24,No,Yes,,
1540,20,32,No,No,,
1541,20,28,Yes,Yes,,
1542,16,20,No,No,,
1543,20,24,No,No,,
1544,24,24,Yes,No,,
1545,20,24,No,No,,
1546,8,8,No,No,,
1547,12,12,No,No,,
1548,8,12,No,No,,
1549,36,16,Yes,Yes,,
1550,4,0,No,No,,
1551,16,28,No,No,,
1552,16,32,Yes,No,,
1553,24,16,No,No,,
1554,20,24,No,Yes,,
1555,20,24,Yes,No,,
1556,16,40,No,No,,
1557,12,12,No,No,,
1558,16,20,No,No,,
1559,24,12,Yes,No,,
1560,12,8,Yes,Yes,,
1561,8,32,Yes,Yes,,
1562,16,8,No,No,,
1563,20,8,Yes,No,,
1564,20,8,Yes,Yes,,
1565,24,12,Yes,Yes,,
1566,24,24,No,No,,
1567,24,0,No,No,,
1568,24,12,No,No,,
1569,16,28,No,Yes,,
1570,16,16,No,No,,
1571,20,12,No,No,,
1572,24,16,Yes,No,,
1573,20,24,No,No,,
1574,24,40,No,No,,
1575,24,32,No,No,,
1576,32,12,Yes,No,,
1577,24,16,No,No,,
1578,12,8,Yes,No,,
1579,12,20,No,No,,
1580,12,32,Yes,No,,
1581,20,28,No,No,,
1583,12,0,Yes,No,,
1584,36,28,Yes,Yes,,
1585,32,24,Yes,No,,
1586,20,16,Yes,Yes,,
1587,16,36,No,No,,
1588,20,16,Yes,No,,
1589,16,16,No,No,,
1590,20,20,No,Yes,,
1591,16,16,Yes,Yes,,
1592,36,8,No,No,,
1593,12,24,No,No,,
1594,20,20,No,No,,
1595,24,8,No,No,,
1596,24,8,No,No,,
1597,24,12,No,No,,
1598,0,8,No,No,,
1599,8,12,No,No,,
1600,24,24,No,Yes,,
1601,12,12,No,Yes,,
1602,16,12,No,No,,
1603,12,12,No,No,,
1604,16,24,Yes,No,,
1605,16,8,No,No,,
1606,20,8,No,Yes,,
1607,20,24,No,No,,
1608,16,24,No,No,,
1609,12,12,No,No,,
1610,20,12,No,No,,
1611,32,24,No,No,,
1612,24,24,Yes,Yes,,
1613,20,36,Yes,No,,
1614,8,28,Yes,No,,
1615,16,16,Yes,No,,
1616,16,16,No,No,,
1617,28,32,No,No,,
1618,16,32,Yes,Yes,,
1619,20,16,No,No,,
1620,16,16,Yes,No,,
1621,0,12,No,No,,
1622,24,20,No,No,,
1623,12,20,Yes,Yes,,
1624,12,24,Yes,No,,
1625,20,12,No,No,,
1626,24,20,Yes,Yes,,
1627,16,12,No,No,,
1628,8,24,Yes,Yes,,
1629,8,12,No,No,,
1630,12,16,No,No,,
1631,16,12,Yes,No,,
1632,20,12,No,No,,
1633,12,12,No,No,,
1634,24,12,No,No,,
1635,16,20,No,Yes,,
1636,20,0,Yes,No,,
1637,32,32,Yes,No,,
1638,12,16,Yes,Yes,,
1639,16,12,No,No,,
1640,40,20,No,No,,
1641,16,12,No,No,,
1642,12,20,No,No,,
1643,12,20,No,No,,
1644,32,20,No,No,,
1645,16,28,Yes,No,,
1646,24,12,Yes,No,,
1647,20,12,No,No,,
1648,40,12,No,No,,
1649,24,0,No,No,,
1650,24,8,No,No,,
1651,32,0,No,No,,
1652,16,8,No,No,,
1653,0,12,No,No,,
1654,24,20,No,No,,
1655,24,20,No,No,,
1656,20,20,No,Yes,,
1657,16,8,No,No,,
1658,16,8,Yes,No,,
1659,20,16,No,No,,
1660,28,20,No,No,,
1661,24,12,No,No,,
1662,24,32,Yes,No,,
1663,16,24,No,No,,
1664,24,28,Yes,No,,
1665,20,12,No,No,,
1666,12,12,No,Yes,,
1667,16,20,No,No,,
1668,16,8,No,No,,
1669,24,12,Yes,No,,
1670,12,0,No,Yes,,
1671,24,8,Yes,Yes,,
1672,20,16,No,No,,
1673,24,8,No,No,,
1674,12,28,Yes,No,,
1675,16,12,No,No,,
1676,20,16,No,Yes,,
1677,16,8,No,No,,
1678,12,0,No,No,,
1679,24,24,Yes,Yes,,
1680,12,16,Yes,No,,
1681,16,8,No,No,,
1682,12,4,Yes,No,,
1683,12,12,No,Yes,,
1684,12,8,No,No,,
1685,16,20,No,No,,
1686,20,36,Yes,No,,
1687,32,8,No,No,,
1688,8,8,No,No,,
1689,16,20,No,No,,
1690,16,32,No,Yes,,
1691,16,16,No,No,,
1692,8,32,Yes,No,,
1693,16,24,No,No,,
1694,12,24,No,No,,
1695,16,24,No,No,,
1696,16,16,No,No,,
1697,20,16,No,Yes,,
1698,24,24,No,No,,
1699,8,24,Yes,No,,
1700,8,8,Yes,No,,
1701,8,12,No,No,,
1702,16,8,No,No,,
1703,8,32,No,No,,
1704,8,16,No,No,,
1705,12,20,No,No,,
1707,16,20,Yes,No,,
1708,8,28,Yes,No,,
1709,20,20,No,No,,
1710,20,8,No,No,,
1711,16,16,Yes,Yes,,
1712,8,8,No,Yes,,
1713,16,0,No,No,,
1714,16,0,No,No,,
1715,12,24,No,Yes,,
1716,8,8,No,No,,
1717,24,12,Yes,Yes,,
1718,16,8,No,No,,
1719,12,28,No,No,,
1720,12,8,Yes,Yes,,
1721,16,12,No,Yes,,
1722,24,12,No,No,,
1723,20,16,No,No,,
1724,24,12,No,No,,
1726,12,24,No,No,,
1727,24,12,No,No,,
1728,32,24,Yes,No,,
1729,0,12,No,No,,
1730,20,20,No,No,,
1731,12,16,No,No,,
1732,4,12,No,No,,
1733,16,24,No,No,,
1734,24,24,No,Yes,,
1735,36,20,No,No,,
1736,12,16,Yes,Yes,,
1737,12,0,No,No,,
1738,20,24,No,No,,
1739,16,32,Yes,No,,
1740,16,8,No,No,,
1741,16,16,Yes,No,,
1742,12,24,No,No,,
1743,16,12,No,No,,
1744,20,24,No,No,,
1745,32,8,No,No,,
1746,12,16,Yes,Yes,,
1747,16,20,Yes,No,,
1748,20,32,Yes,No,,
1749,24,24,No,No,,
1750,12,32,No,No,,
1751,20,16,No,No,,
1752,12,8,No,No,,
1753,8,12,No,No,,
1754,20,20,No,No,,
1755,20,8,No,No,,
1756,12,12,Yes,No,,
1757,16,8,No,No,,
1758,16,24,No,No,,
1759,20,16,No,No,,
1760,16,8,No,No,,
1761,4,32,No,No,,
1762,16,24,No,No,,
1763,12,24,No,No,,
1764,20,8,No,No,,
1765,20,20,No,No,,
1766,12,0,No,Yes,,
1767,16,24,No,No,,
1768,20,12,Yes,No,,
1769,16,16,No,No,,
1770,16,12,No,No,,
1771,24,24,No,No,,
1772,24,28,No,No,,
1773,28,16,No,Yes,,
1774,20,24,No,No,,
1775,20,16,No,No,,
1776,20,20,No,No,,
1777,16,28,No,Yes,,
1778,32,12,No,No,,
1779,16,0,No,No,,
1780,16,12,No,Yes,,
1781,8,24,No,No,,
1782,12,16,No,No,,
1783,24,8,No,No,,
1784,12,40,No,No,,
1785,20,12,No,No,,
1786,20,12,No,No,,
1787,16,0,No,No,,
1788,12,24,No,No,,
1789,32,20,No,No,,
1790,16,24,Yes,No,,
1791,20,24,No,No,,
1792,20,16,No,No,,
1793,16,32,No,No,,
1794,16,24,Yes,Yes,,
1795,4,0,No,No,,
1796,16,24,No,No,,
1797,16,16,No,No,,
1798,20,24,No,No,,
1799,20,20,No,No,,
1800,20,24,Yes,Yes,,
1801,36,32,Yes,Yes,,
1802,20,24,No,No,,
1803,12,12,Yes,Yes,,
1804,20,20,Yes,No,,
1805,12,36,Yes,No,,
1806,16,12,No,No,,
1807,16,24,No,Yes,,
1808,4,4,No,No,,
1809,12,24,No,No,,
1810,16,8,Yes,No,,
1811,16,36,Yes,Yes,,
1812,24,12,No,Yes,,
1813,24,16,No,No,,
1814,20,12,No,No,,
1815,16,32,Yes,Yes,,
1816,24,12,No,No,,
1817,16,32,No,No,,
1819,16,16,No,No,,
1820,20,16,No,No,,
1821,24,16,No,No,,
1822,4,0,No,No,,
1823,20,24,No,No,,
1825,8,24,No,No,,
1826,8,12,No,No,,
1827,4,12,No,No,,
1828,16,28,No,No,,
1829,12,12,No,Yes,,
1830,16,8,No,No,,
1831,20,16,No,No,,
1832,20,24,No,No,,
1833,20,28,Yes,Yes,,
1834,24,24,No,No,,
1835,20,32,No,Yes,,
1836,20,20,No,Yes,,
1837,12,12,Yes,Yes,,
1838,12,12,No,No,,
1839,32,32,No,No,,
1840,16,16,No,No,,
1841,12,8,Yes,Yes,,
1842,20,12,Yes,No,,
1843,12,8,No,No,,
1844,8,12,No,No,,
1845,12,8,Yes,No,,
1846,16,32,Yes,No,,
1847,16,24,Yes,Yes,,
1848,20,12,No,No,,
1849,16,12,Yes,Yes,,
1850,24,20,No,No,,
1851,16,8,Yes,No,,
1852,24,0,Yes,No,,
1853,16,24,No,No,,
1854,32,0,No,No,,
1855,8,0,No,No,,
1856,28,32,No,No,,
1857,20,8,No,No,,
1858,16,8,No,No,,
1859,20,32,Yes,No,,
1860,16,16,No,No,,
1861,32,12,No,No,,
1862,12,24,Yes,No,,
1863,16,12,Yes,Yes,,
1864,24,16,No,No,,
1865,12,8,No,No,,
1866,8,16,No,No,,
1867,24,8,No,No,,
1868,16,24,No,No,,
1869,16,8,No,No,,
1870,4,16,No,No,,
1871,24,24,No,No,,
1872,20,24,No,No,,
1873,8,16,No,No,,
1874,16,12,No,No,,
1875,16,12,Yes,Yes,,
1876,16,8,No,No,,
1877,24,8,No,No,,
1878,16,24,No,No,,
1879,24,24,No,No,,
1880,8,24,No,No,,
1881,8,16,No,No,,
1882,12,16,No,No,,
1883,16,24,No,No,,
1884,16,16,Yes,No,,
1885,20,8,No,No,,
1886,12,24,No,No,,
1887,12,24,No,No,,
1888,24,12,Yes,No,,
1889,12,16,No,No,,
1890,12,8,No,No,,
1891,8,8,No,No,,
1892,16,28,Yes,No,,
1893,8,12,Yes,Yes,,
1894,24,28,No,No,,
1895,16,8,No,No,,
1896,24,24,No,No,,
1897,12,12,No,No,,
1898,16,12,No,No,,
1899,16,24,Yes,No,,
1900,36,4,No,No,,
1901,16,0,No,No,,
1902,24,12,No,No,,
1903,16,16,No,No,,
1904,24,20,No,No,,
1905,16,8,No,No,,
1906,20,12,No,No,,
1907,4,16,No,No,,
1908,16,8,No,No,,
1909,8,32,No,Yes,,
1910,8,16,No,No,,
1911,24,12,Yes,Yes,,
1912,8,16,No,No,,
1913,24,8,No,Yes,,
1914,16,28,Yes,No,,
1915,20,24,No,No,,
1916,20,8,No,No,,
1917,12,16,No,No,,
1918,16,8,No,No,,
1919,8,8,No,No,,
1920,20,12,No,No,,
1921,24,20,No,No,,
1922,24,16,Yes,Yes,,
1923,12,16,Yes,No,,
1924,12,16,No,No,,
1925,8,24,No,No,,
1926,12,12,No,No,,
1927,20,12,No,Yes,,
1928,20,16,Yes,Yes,,
1929,24,32,No,No,,
1930,16,16,No,No,,
1931,24,20,No,No,,
1932,36,16,No,No,,
1933,24,0,No,Yes,,
1934,16,12,No,No,,
1935,16,20,No,No,,
1936,16,16,No,No,,
1937,16,12,No,No,,
1938,20,12,Yes,Yes,,
1939,16,8,No,No,,
1940,16,20,No,No,,
1941,16,16,No,No,,
1942,16,36,No,No,,
1943,36,16,No,No,,
1945,20,8,No,No,,
1946,36,8,No,No,,
1947,12,32,Yes,No,,
1948,8,16,No,No,,
1949,20,24,No,No,,
1950,16,16,No,No,,
1951,20,12,Yes,No,,
1952,16,32,No,No,,
1953,8,24,No,No,,
1954,16,20,No,Yes,,
1955,16,24,Yes,Yes,,
1956,32,24,No,No,,
1957,12,16,No,No,,
1958,16,32,Yes,Yes,,
1959,24,8,No,No,,
1960,24,28,Yes,Yes,,
1961,16,16,Yes,Yes,,
1962,16,16,Yes,Yes,,
1963,16,12,Yes,No,,
1964,16,16,No,No,,
1965,16,32,Yes,Yes,,
1966,12,8,No,No,,
1967,8,20,No,No,,
1968,16,24,Yes,No,,
1969,20,16,No,Yes,,
1970,8,16,No,No,,
1971,20,0,Yes,No,,
1972,12,24,No,No,,
1973,16,4,Yes,No,,
1974,8,8,No,No,,
1975,12,24,No,No,,
1976,16,12,No,No,,
1977,20,8,Yes,No,,
1978,32,24,No,No,,
1979,8,20,No,No,,
1980,16,12,No,No,,
1981,24,8,No,No,,
1982,24,8,Yes,No,,
1983,32,8,No,No,,
1984,16,20,No,No,,
1985,12,36,Yes,Yes,,
1986,20,28,No,No,,
1987,24,40,No,No,,
1988,12,16,No,Yes,,
1989,24,12,No,No,,
1990,12,0,No,No,,
1991,16,20,Yes,No,,
1992,16,12,No,No,,
1993,24,8,No,No,,
1994,20,8,No,No,,
1995,24,28,No,No,,
1996,12,12,No,No,,
1997,20,12,No,Yes,,
1998,12,16,Yes,Yes,,
1999,12,20,No,No,,
2000,8,20,Yes,No,,
2001,20,24,Yes,No,,
2002,12,16,No,No,,
2003,16,20,No,Yes,,
2004,16,28,No,No,,
2005,16,28,No,No,,
2006,36,12,No,No,,
2007,24,12,Yes,No,,
2008,16,12,No,No,,
2009,24,16,No,No,,
2010,20,24,No,No,,
2012,16,12,No,No,,
2013,20,16,No,No,,
2014,24,12,No,No,,
2015,12,4,No,No,,
2016,24,8,No,No,,
2019,16,24,Yes,No,,
2020,24,0,No,No,,
2021,32,36,No,No,,
2022,16,12,No,No,,
2023,24,16,No,Yes,,
2024,20,16,No,No,,
2025,24,16,No,No,,
2026,12,0,No,No,,
2027,16,20,No,No,,
2028,16,16,Yes,No,,
2030,16,16,No,Yes,,
2031,16,8,No,No,,
2032,16,16,No,No,,
2033,16,16,No,No,,
2035,20,24,No,No,,
2036,20,36,No,Yes,,
2037,8,20,No,No,,
2038,8,16,No,No,,
2039,16,20,No,No,,
2040,20,28,No,No,,
2041,8,16,No,No,,
2043,8,8,No,No,,
2044,12,8,No,Yes,,
2045,16,16,Yes,No,,
2046,24,20,No,No,,
2047,16,16,No,No,,
2048,16,24,Yes,No,,
2049,20,8,No,Yes,,
2050,16,4,No,No,,
2051,16,20,No,No,,
2052,12,16,No,No,,
2053,0,12,No,No,,
2054,16,12,No,No,,
2055,12,12,No,No,,
2056,12,8,No,No,,
2057,16,0,No,No,,
2058,8,32,Yes,No,,
2059,16,24,Yes,Yes,,
2061,16,20,No,No,,
2062,20,32,No,Yes,,
2063,12,4,Yes,No,,
2064,20,32,No,No,,
2065,16,20,Yes,Yes,,
2066,12,20,Yes,Yes,,
2067,20,0,No,No,,
2068,16,24,Yes,Yes,,
2069,20,24,No,No,,
2070,8,16,No,No,,
2071,12,12,No,No,,
2072,36,0,No,No,,
2073,12,24,No,Yes,,
2074,20,8,No,No,,
2075,24,12,Yes,No,,
2077,12,8,No,No,,
2078,20,24,No,No,,
2079,12,24,No,No,,
2080,16,40,No,No,,
2081,20,12,No,No,,
2082,16,8,No,No,,
2083,20,20,No,Yes,,
2084,20,16,No,Yes,,
2085,12,0,No,No,,
2086,16,16,Yes,Yes,,
2087,20,12,No,No,,
2088,20,20,No,No,,
2089,16,24,No,Yes,,
2090,12,12,No,No,,
2091,20,40,Yes,Yes,,
2092,20,12,No,No,,
2093,12,16,No,No,,
2094,16,24,No,Yes,,
2095,16,16,No,No,,
2096,8,12,No,No,,
2097,12,20,No,No,,
2098,24,12,Yes,No,,
2099,12,16,No,No,,
2100,20,16,No,No,,
2101,12,24,Yes,No,,
2102,20,16,No,No,,
2103,8,4,No,No,,
