Region,Store # ,First Carrier Assigned,Fulfillment Type,Week with Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
75,3215,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202311,92.60%,88.30%,7.6,96.40%,94.00%,93.40%,86.00%
75,1717,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202311,90.90%,99.70%,9.9,92.90%,83.70%,92.80%,93.90%
4,606,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202311,91.30%,98.30%,7.1,96.00%,91.60%,89.00%,89.40%
4,7181,SPARK,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202311,91.10%,90.70%,6.8,94.20%,91.70%,95.30%,83.60%
4,1359,UBER,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202311,90.40%,89.90%,9.8,90.90%,92.50%,91.00%,86.80%
4,620,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202311,70.60%,100.00%,7.1,100.00%,76.90%,50.00%,60.00%
4,2496,UBER,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202311,82.70%,94.30%,9.6,80.40%,75.00%,82.50%,94.70%
4,2749,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,72.00%,96.10%,6,85.70%,75.00%,50.00%,0.00%
4,1096,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202311,91.50%,94.70%,9.4,91.90%,88.50%,92.40%,93.70%
4,1131,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202311,82.70%,97.00%,5.9,84.80%,82.40%,79.10%,84.80%
59,5378,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202311,93.50%,90.30%,7,89.90%,94.60%,93.10%,95.90%
5,4503,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,46,84.40%,83.60%,13.6,87.20%,80.30%,89.90%,81.10%
5,2649,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,2,89.50%,81.00%,17.2,91.00%,89.10%,88.20%,89.50%
5,3274,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,15,92.80%,86.10%,7.6,92.90%,92.50%,97.20%,89.50%
5,5080,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,22,90.90%,88.00%,12,91.50%,94.20%,95.40%,82.80%
5,3406,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,88.80%,97.10%,11.8,91.70%,92.50%,89.00%,81.90%
5,4240,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,85.20%,82.10%,15,91.00%,67.80%,94.90%,88.20%
5,2086,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,23,87.00%,94.40%,10.3,85.50%,86.40%,88.80%,87.30%
5,6300,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,15,89.10%,86.80%,13.5,94.20%,84.40%,85.30%,92.30%
5,475,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,8,91.60%,95.00%,12.8,93.20%,90.00%,90.50%,92.60%
5,5823,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,21,91.00%,89.10%,12.2,96.30%,88.10%,94.00%,86.20%
13,2706,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,7,90.20%,94.40%,14.1,95.00%,82.10%,93.80%,90.70%
13,3167,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,24,91.10%,92.00%,10.2,92.60%,92.90%,93.90%,85.10%
13,5022,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,85.50%,91.60%,13.4,85.60%,76.30%,90.30%,89.20%
13,489,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,20,86.30%,81.50%,16.8,89.20%,70.50%,94.30%,89.60%
13,541,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,77.90%,76.30%,16.7,89.80%,56.50%,88.20%,76.80%
13,989,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,21,70.80%,64.70%,18.4,80.90%,65.20%,71.80%,66.50%
13,1353,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,86.20%,94.70%,15.1,87.20%,88.10%,87.70%,80.20%
13,4129,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,77.70%,70.40%,17.8,71.80%,56.70%,88.00%,87.80%
13,2913,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,24,89.20%,89.20%,14.9,92.10%,85.80%,93.00%,86.60%
13,532,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,20,89.10%,80.30%,15.8,90.20%,83.70%,90.60%,91.70%
13,1102,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,93.50%,91.50%,12.3,96.50%,86.00%,94.60%,96.40%
13,1206,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,87.50%,97.70%,11.6,86.40%,85.60%,89.30%,88.80%
13,1266,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,29,90.60%,86.90%,13.5,91.80%,85.10%,94.90%,90.90%
13,1136,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,8,89.60%,90.50%,12.8,88.50%,88.30%,90.70%,91.00%
13,3288,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,24,92.90%,90.40%,11,95.20%,89.80%,94.60%,92.60%
13,5056,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,5,92.90%,89.70%,12.2,95.30%,82.50%,96.00%,94.70%
13,405,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,25,86.00%,87.60%,13.3,76.70%,79.40%,93.00%,94.80%
13,4295,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,35,90.90%,85.90%,12.7,89.80%,83.80%,97.30%,95.00%
13,365,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,1,85.10%,90.90%,12.7,84.20%,84.10%,86.60%,85.90%
13,708,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,38,88.40%,88.70%,11.5,92.90%,83.90%,91.40%,85.60%
13,2720,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,36,86.70%,83.20%,12,83.40%,82.00%,93.80%,88.20%
13,501,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,92.10%,93.70%,12.3,91.20%,87.70%,92.50%,97.40%
13,1025,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,44,91.70%,90.70%,14.8,97.00%,92.00%,97.30%,80.30%
13,1066,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,8,89.40%,79.60%,13.1,83.60%,86.70%,96.20%,90.30%
13,1346,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,11,89.30%,79.40%,15.6,94.10%,79.10%,93.60%,91.50%
64,4048,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,17,89.80%,85.30%,13.1,96.30%,76.00%,96.60%,90.90%
64,4659,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,49,85.20%,88.30%,11.7,88.30%,85.50%,84.10%,82.90%
6,3572,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,88.50%,87.80%,11.4,91.10%,77.30%,94.20%,90.60%
6,3888,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,25,89.30%,88.40%,11.2,90.00%,85.20%,91.60%,90.90%
6,163,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,15,89.30%,99.10%,11.3,89.30%,84.20%,92.80%,91.10%
46,2891,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,45,92.50%,91.90%,13.1,94.50%,89.50%,95.90%,90.40%
46,3645,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,46,90.90%,92.10%,13.8,90.80%,89.30%,95.00%,88.50%
46,3407,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,14,90.20%,87.80%,16.2,89.50%,85.30%,92.30%,92.60%
46,5190,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,23,87.20%,88.50%,11.5,86.90%,78.50%,92.10%,92.10%
46,1746,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,48,90.50%,97.20%,13.1,90.40%,87.50%,92.10%,92.10%
46,2656,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,29,90.90%,86.50%,9,87.30%,87.70%,96.20%,91.80%
41,335,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,23,79.90%,77.70%,15.8,79.20%,65.40%,89.20%,84.90%
41,668,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,24,89.70%,87.70%,10.1,91.30%,83.40%,93.60%,91.10%
41,671,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,22,82.90%,76.70%,13.6,88.40%,81.40%,95.00%,67.50%
41,3294,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,87.60%,71.80%,16.1,96.60%,77.90%,84.60%,90.80%
41,4450,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,91.40%,88.70%,11.6,93.30%,94.10%,87.40%,90.90%
41,653,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,27,89.60%,89.20%,11,87.80%,88.60%,93.70%,88.80%
41,655,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,6,90.70%,91.70%,11,91.20%,85.90%,96.90%,89.80%
41,709,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,27,91.30%,96.40%,14.3,94.00%,85.50%,94.40%,92.00%
41,689,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,8,90.60%,82.90%,13.3,89.30%,79.60%,97.80%,96.10%
41,1113,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,93.20%,95.10%,10.5,95.30%,85.80%,97.70%,93.40%
41,3894,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,30,88.20%,92.10%,12.8,88.40%,86.10%,93.40%,85.00%
41,1210,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,4,92.00%,84.40%,12.6,98.90%,87.90%,97.40%,85.00%
41,2628,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,29,89.00%,90.90%,12.4,88.10%,89.70%,87.80%,90.40%
19,2631,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,19,89.00%,84.60%,13.4,89.90%,84.40%,94.60%,87.10%
19,2872,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,85.90%,73.70%,14.6,78.60%,76.00%,95.00%,93.10%
19,3336,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,93.50%,91.30%,10.8,94.80%,87.10%,96.60%,95.70%
19,3476,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,82.20%,70.50%,14.9,76.60%,81.20%,94.00%,77.70%
19,4383,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,77.20%,83.50%,19.5,72.30%,72.70%,81.90%,82.40%
19,5842,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,90.90%,83.60%,11.5,90.00%,85.60%,96.50%,91.90%
19,5280,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,21,87.00%,81.30%,12,89.10%,78.40%,92.80%,84.60%
19,5160,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,92.00%,93.50%,12,90.40%,85.40%,96.40%,95.00%
19,5472,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,24,91.00%,97.00%,11.9,92.40%,89.50%,94.70%,87.40%
19,1423,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,26,85.80%,81.60%,7.5,79.10%,82.60%,92.90%,90.10%
19,2869,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,92.20%,95.60%,10.8,92.10%,89.80%,92.90%,93.90%
19,5048,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,75.30%,66.70%,15.9,84.40%,73.00%,76.60%,68.30%
19,5893,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,89.70%,92.60%,10.9,87.10%,90.80%,91.50%,89.30%
19,1432,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,90.70%,84.40%,11.5,90.60%,86.50%,95.90%,89.60%
19,2354,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,85.90%,79.00%,13.4,79.80%,84.30%,88.60%,93.40%
19,2559,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,89.50%,93.70%,12.1,89.30%,87.50%,93.40%,87.90%
19,4424,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,23,88.10%,88.20%,13,81.20%,89.40%,92.00%,89.70%
19,5844,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,82.30%,83.40%,17.9,78.60%,75.60%,87.00%,87.30%
19,5029,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,92.40%,93.30%,13.7,93.00%,86.40%,95.20%,95.40%
19,5030,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,48,90.90%,85.10%,11.8,88.10%,93.90%,93.00%,88.90%
19,1487,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,4,84.80%,96.10%,13.4,82.80%,82.40%,87.10%,87.00%
19,1618,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,84.50%,77.10%,15.4,76.60%,67.10%,94.40%,90.20%
19,2544,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,28,77.90%,79.30%,21.8,59.80%,56.50%,91.20%,92.50%
19,2817,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,7,89.20%,92.10%,12,82.80%,86.70%,93.10%,93.90%
19,2818,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,80.40%,84.80%,15,66.90%,71.60%,91.20%,87.60%
19,4631,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,62.70%,63.80%,23.8,60.40%,51.90%,84.20%,56.00%
25,2691,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,30,87.00%,79.20%,14.2,83.40%,81.30%,89.30%,94.00%
21,1734,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,4,85.60%,83.00%,14.9,86.60%,90.00%,94.70%,69.90%
21,2491,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,9,89.00%,86.50%,10.9,86.20%,86.90%,93.30%,91.00%
21,3255,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,22,86.60%,80.20%,12.1,88.40%,79.30%,90.90%,88.20%
25,1580,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,20,90.50%,90.40%,14.3,89.30%,83.60%,95.60%,93.10%
25,2787,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,84.50%,81.50%,14.6,76.70%,74.40%,95.80%,90.40%
25,5443,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,81.60%,71.10%,16.3,79.20%,73.00%,94.00%,80.40%
53,1490,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,8,92.40%,95.50%,10.4,92.20%,85.10%,95.70%,95.40%
25,786,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,77.70%,70.70%,15.6,77.80%,57.40%,92.80%,86.10%
25,1497,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,84.20%,85.30%,13.7,82.40%,67.80%,93.30%,92.00%
25,3601,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,7,87.10%,91.70%,20,86.20%,76.50%,94.60%,91.40%
25,5965,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,79.00%,91.90%,12.2,76.80%,74.70%,83.80%,81.10%
25,1998,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,20,87.50%,89.50%,11.7,89.80%,82.30%,89.00%,88.60%
25,2204,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,7,92.00%,93.50%,15.8,90.20%,85.40%,97.60%,94.60%
25,5402,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,82.30%,95.60%,13.8,76.00%,80.20%,84.00%,89.10%
25,5617,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,79.50%,78.90%,16.3,76.10%,71.00%,85.70%,85.70%
25,5781,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,89.00%,95.90%,12.8,93.20%,87.40%,92.00%,85.60%
25,5485,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,86.60%,95.50%,16.2,86.10%,81.40%,89.30%,89.20%
25,200,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,5,92.20%,91.20%,10.4,88.80%,90.00%,94.50%,95.20%
25,2728,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,4,86.10%,88.70%,10.4,85.30%,74.50%,95.10%,89.30%
25,3210,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,6,85.60%,78.60%,14.4,81.70%,74.60%,93.40%,93.40%
25,256,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,8,85.60%,97.70%,11.2,88.50%,74.60%,89.20%,88.10%
25,1557,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,89.40%,86.40%,15.1,93.40%,91.70%,84.40%,88.80%
59,5767,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,6,84.30%,67.40%,16,78.50%,79.30%,90.60%,94.90%
59,5804,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,49,82.00%,73.80%,16.4,76.10%,86.00%,87.50%,78.50%
59,6390,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,49,83.80%,73.70%,10.8,75.80%,82.70%,94.60%,91.70%
59,3110,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,34,84.50%,81.50%,16,78.40%,76.50%,95.50%,92.10%
59,5645,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,84.50%,84.20%,12.2,81.50%,83.10%,89.80%,82.10%
20,1883,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,92.30%,93.00%,12.1,93.00%,86.50%,95.70%,94.20%
20,2063,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,21,86.70%,86.00%,15.6,90.70%,62.00%,88.10%,96.20%
20,2197,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,18,81.00%,85.00%,18.4,85.20%,45.30%,75.40%,95.60%
20,2211,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,86.90%,81.90%,15.5,93.70%,73.90%,86.30%,93.00%
20,2362,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,76.00%,76.90%,18,70.10%,72.10%,87.50%,74.40%
20,1927,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,91.80%,91.80%,12.8,90.80%,94.80%,92.70%,88.50%
20,2266,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,87.10%,74.10%,16.9,92.20%,81.20%,92.20%,83.00%
20,4255,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,90.20%,80.20%,13.5,90.50%,86.10%,88.70%,95.10%
20,4285,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,49,73.60%,68.10%,19,54.60%,69.40%,87.20%,79.50%
20,5285,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,20,92.70%,93.80%,12.2,91.00%,89.50%,92.80%,97.10%
20,1770,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,85.60%,91.20%,14.2,87.90%,81.20%,88.20%,85.20%
20,2281,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,89.20%,99.50%,11.4,87.10%,89.30%,90.30%,90.40%
20,2588,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,23,90.00%,88.60%,14.4,88.50%,85.00%,94.10%,92.40%
20,2610,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,88.50%,94.10%,12.2,92.10%,84.30%,89.50%,88.20%
20,4277,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,20,89.40%,86.40%,9.2,94.00%,87.60%,91.10%,84.50%
40,1021,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202311,3,83.20%,86.50%,11.4,85.30%,80.70%,78.80%,88.10%
40,1161,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,86.90%,87.20%,10.4,84.70%,81.50%,90.90%,89.60%
40,1188,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,85.10%,84.40%,18.1,85.60%,77.60%,88.90%,87.80%
40,1265,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,91.20%,97.40%,13,91.20%,88.90%,97.10%,88.30%
40,2694,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,83.20%,81.80%,15,86.00%,66.70%,88.90%,92.90%
40,3061,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,85.80%,77.40%,14.2,84.10%,78.90%,91.30%,88.80%
40,5150,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,86.40%,96.60%,11.6,85.90%,84.70%,88.40%,86.40%
40,29,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,89.70%,85.00%,11.9,96.10%,81.00%,91.50%,90.90%
40,1094,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,7,89.80%,88.60%,10.9,86.80%,87.70%,94.50%,90.50%
40,2955,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,28,78.80%,63.50%,18.3,79.80%,65.40%,85.90%,81.40%
59,2442,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,28,86.10%,81.20%,9.4,85.30%,75.30%,93.10%,89.90%
53,1657,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,29,86.00%,86.10%,8.3,91.90%,87.00%,82.20%,82.90%
53,1138,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,34,87.00%,84.30%,6.8,80.90%,79.30%,96.50%,92.50%
53,1305,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,8,92.40%,89.70%,10,93.50%,91.70%,87.70%,96.40%
53,3857,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,33,90.80%,87.50%,11,92.60%,87.00%,88.40%,95.30%
53,2452,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,32,93.10%,96.40%,14.2,85.00%,95.40%,96.10%,95.60%
53,2658,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,7,90.20%,90.20%,10.4,84.00%,89.80%,94.70%,92.20%
53,5438,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,90.80%,91.80%,11.6,93.00%,87.70%,89.50%,93.00%
53,6394,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,32,93.00%,96.80%,12.8,93.80%,94.00%,94.80%,89.50%
21,1564,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,36,90.40%,94.70%,10.1,87.00%,90.40%,93.20%,91.30%
21,1407,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,21,85.80%,82.00%,11.9,90.70%,80.00%,81.70%,90.80%
21,1503,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,23,91.40%,91.80%,13.9,94.50%,85.40%,93.30%,93.40%
21,1504,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,7,92.40%,82.00%,12.1,95.90%,85.70%,95.20%,93.10%
21,1495,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,92.60%,96.40%,10.9,95.20%,88.40%,95.30%,92.10%
21,3502,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,26,83.20%,75.70%,16.3,86.10%,70.50%,88.70%,88.80%
21,3783,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,42,91.80%,93.90%,14.9,92.60%,91.70%,94.30%,89.00%
21,5409,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,90.00%,88.70%,12.3,88.80%,84.60%,93.10%,94.20%
21,2250,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,31,91.60%,97.50%,14.2,94.80%,91.20%,91.50%,89.10%
21,3749,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,88.30%,81.60%,12,94.10%,90.40%,84.90%,83.50%
21,1665,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,19,91.00%,86.00%,15.4,90.60%,84.40%,96.20%,93.50%
21,1728,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,86.30%,88.00%,17.6,84.90%,78.80%,91.00%,91.50%
14,562,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,31,86.70%,89.60%,13.5,83.20%,77.10%,95.40%,92.10%
14,1158,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,6,89.30%,94.50%,12.5,87.70%,88.20%,93.50%,87.90%
14,1711,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,30,90.70%,92.40%,12.1,92.30%,85.50%,94.30%,90.60%
14,5113,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,3,87.70%,87.10%,13.5,91.70%,82.40%,88.30%,88.80%
14,1201,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202311,8,92.60%,98.00%,10.4,91.10%,94.50%,95.30%,89.70%
14,2713,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,6,92.30%,96.40%,13.6,92.60%,88.70%,96.90%,91.20%
14,930,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202311,8,87.70%,88.90%,12.9,81.30%,87.80%,92.40%,89.50%
14,1101,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,34,92.30%,91.70%,10.9,95.60%,86.80%,93.80%,93.20%
14,5348,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,87.00%,98.80%,19.2,78.80%,88.20%,91.30%,89.10%
14,356,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202311,34,87.10%,80.60%,14.4,90.60%,84.20%,89.10%,84.20%
14,764,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202311,6,93.00%,98.40%,11.4,93.50%,94.30%,96.10%,88.50%
14,2306,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,24,85.40%,83.20%,14.2,82.40%,86.90%,82.10%,90.60%
14,1229,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,30,78.40%,76.10%,20.9,81.70%,66.30%,89.60%,76.40%
14,1481,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202311,49,61.80%,66.50%,27.3,52.00%,53.50%,70.60%,74.20%
