DC,BANNER ,ITEM,TYPE,03/20/2024,03/21/2024,03/22/2024,03/23/2024,3/3/2024,3/4/2024,3/5/2024,3/6/2024,3/9/2024,3/10/2024,3/11/2024,3/12/2024,3/13/2024,3/14/2024,3/15/2024,3/16/2024,3/17/2024,3/18/2024,3/19/2024,3/20/2024,3/21/2024,3/22/2024,3/23/2024,3/24/2024,3/25/2024,3/26/2024,3/27/2024
7024,WM,CUT FLORAL,PALLET,0,28,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7024,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,546,1608,0,504,2748,0,0,0,0,0,0
7024,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,10,91,38,0,0,0,0,0,0,0,0,0,0,0,0
7030,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,69,0,0
7030,SAMS,LIVE PLANTS,CASE,0,0,0,0,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,17,17,17,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
7030,WM,CUT FLORAL,CASE,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030,WM,CUT FLORAL,PALLET,12,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,282,594,0,0,0,0,0,0,1452,252,0,1830,0,0,0,0,0,0
7030,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
7048,WM,CUT FLORAL,CASE,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048,WM,CUT FLORAL,PALLET,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,WM,CUT FLORAL,CASE,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,WM,CUT FLORAL,PALLET,8,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,486,816,0,0,0,0,0,42,1848,0,126,2772,0,0,0,0,0,0
7055,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
7077,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,87,0,0,0
7077,SAMS,LIVE PLANTS,CASE,0,0,0,0,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7077,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,23,23,23,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0
7077,WM,CUT FLORAL,CASE,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7077,WM,CUT FLORAL,PALLET,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7077,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,1597,446,784,0,0,1572,784,0,0,0,0,0,0,0,0
7077,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,26,44,0,0,0,0,0,0,0,0,0,0,0,0
7079,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,76,0
7079,SAMS,LIVE PLANTS,CASE,0,0,0,0,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7079,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,21,21,21,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
7079,WM,CUT FLORAL,CASE,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7079,WM,CUT FLORAL,PALLET,0,4,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7079,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,1710,0,0,2490,0,0,0,0,0,0
7079,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
7084,WM,CUT FLORAL,CASE,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7084,WM,CUT FLORAL,PALLET,0,10,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7084,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,1120,1107,0,0,0,784,277,575,0,0,0,0,0,0,0
7084,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,0,0,0,0,0,0,0,0,0,0,0,0
8397,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,187,0,8
8397,SAMS,LIVE PLANTS,CASE,0,0,0,0,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8397,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,41,41,41,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0
8851,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,88,0
8851,SAMS,LIVE PLANTS,CASE,0,0,0,0,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,33,33,33,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
8851,WM,CUT FLORAL,CASE,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,WM,CUT FLORAL,PALLET,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8851,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,2433,0,0,0,0
8851,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0
8852,WM,CUT FLORAL,CASE,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8852,WM,CUT FLORAL,PALLET,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8852,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,1846,239,0,0,0,0,0,0,0,0
8852,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
