STORE #,CLUSTER BEFORE,CLUSTER ,Total Bins,Mod Drop for Produce
4111,CLUSTER 1,CLUSTER 1,16,202437
4112,CLUSTER 1,CLUSTER 1,18,202437
4115,CLUSTER 1,CLUSTER 1,24,202437
4130,CLUSTER 1,CLUSTER 1,16,202437
4131,CLUSTER 1,CLUSTER 1,4,202437
4162,CLUSTER 1,CLUSTER 1,16,202437
4163,CLUSTER 1,CLUSTER 1,16,202437
4164,CLUSTER 1,CLUSTER 1,22,202437
4165,CLUSTER 1,CLUSTER 1,24,202437
4183,CLUSTER 1,CLUSTER 1,14,202437
4194,CLUSTER 1,CLUSTER 1,16,202437
4215,CLUSTER 1,CLUSTER 1,14,202437
4219,CLUSTER 1,CLUSTER 1,16,202437
4238,CLUSTER 1,CLUSTER 1,24,202437
4256,CLUSTER 1,CLUSTER 1,16,202437
4257,CLUSTER 1,CLUSTER 1,24,202437
4279,CLUSTER 1,CLUSTER 1,24,202437
4284,CLUSTER 1,CLUSTER 1,20,202437
4286,CLUSTER 1,CLUSTER 1,24,202437
4288,CLUSTER 1,CLUSTER 1,16,202437
4298,CLUSTER 1,CLUSTER 1,26,202437
4322,CLUSTER 1,CLUSTER 1,16,202437
4340,CLUSTER 1,CLUSTER 1,24,202437
4352,CLUSTER 1,CLUSTER 1,24,202437
4358,CLUSTER 1,CLUSTER 1,24,202437
4366,CLUSTER 1,CLUSTER 1,36,202437
4377,CLUSTER 1,CLUSTER 1,14,202437
4405,CLUSTER 1,CLUSTER 1,22,202437
4415,CLUSTER 1,CLUSTER 1,29,202437
4416,CLUSTER 1,CLUSTER 1,20,202437
4453,CLUSTER 1,CLUSTER 1,16,202437
4465,CLUSTER 1,CLUSTER 1,16,202437
4466,CLUSTER 1,CLUSTER 1,14,202437
4475,CLUSTER 1,CLUSTER 1,26,202437
4490,CLUSTER 1,CLUSTER 1,14,202437
4503,CLUSTER 1,CLUSTER 1,24,202437
4508,CLUSTER 1,CLUSTER 1,18,202437
4511,CLUSTER 1,CLUSTER 1,22,202437
4512,CLUSTER 1,CLUSTER 1,20,202437
4526,CLUSTER 1,CLUSTER 1,20,202437
4531,CLUSTER 1,CLUSTER 1,22,202437
4538,CLUSTER 1,CLUSTER 1,22,202437
4554,CLUSTER 1,CLUSTER 1,22,202437
4567,CLUSTER 1,CLUSTER 1,24,202437
4589,CLUSTER 1,CLUSTER 1,16,202437
4601,CLUSTER 1,CLUSTER 1,20,202437
4606,CLUSTER 1,CLUSTER 1,2,202437
4625,CLUSTER 1,CLUSTER 1,12,202437
4626,CLUSTER 1,CLUSTER 1,12,202437
4627,CLUSTER 1,CLUSTER 1,24,202437
4676,CLUSTER 1,CLUSTER 1,14,202437
4686,CLUSTER 1,CLUSTER 1,16,202437
4699,CLUSTER 1,CLUSTER 1,14,202437
4734,CLUSTER 1,CLUSTER 1,16,202437
4747,CLUSTER 1,CLUSTER 1,16,202437
5021,CLUSTER 1,CLUSTER 1,16,202437
5033,CLUSTER 1,CLUSTER 1,18,202437
5045,CLUSTER 1,CLUSTER 1,22,202437
5051,CLUSTER 1,CLUSTER 1,22,202437
5060,CLUSTER 1,CLUSTER 1,20,202437
5080,CLUSTER 1,CLUSTER 1,24,202437
5091,CLUSTER 1,CLUSTER 1,24,202437
5092,CLUSTER 1,CLUSTER 1,22,202437
5094,CLUSTER 1,CLUSTER 1,16,202437
5108,CLUSTER 1,CLUSTER 1,18,202437
5115,CLUSTER 1,CLUSTER 1,24,202437
5116,CLUSTER 1,CLUSTER 1,16,202437
5136,CLUSTER 1,CLUSTER 1,24,202437
5137,CLUSTER 1,CLUSTER 1,22,202437
5144,CLUSTER 1,CLUSTER 1,16,202437
5145,CLUSTER 1,CLUSTER 1,22,202437
5146,CLUSTER 1,CLUSTER 1,16,202437
5147,CLUSTER 1,CLUSTER 1,20,202437
5154,CLUSTER 1,CLUSTER 1,24,202437
5155,CLUSTER 1,CLUSTER 1,24,202437
5165,CLUSTER 1,CLUSTER 1,16,202437
5166,CLUSTER 1,CLUSTER 1,20,202437
5189,CLUSTER 1,CLUSTER 1,23,202437
5191,CLUSTER 1,CLUSTER 1,24,202437
5192,CLUSTER 1,CLUSTER 1,24,202437
5207,CLUSTER 1,CLUSTER 1,14,202437
5210,CLUSTER 1,CLUSTER 1,18,202437
5211,CLUSTER 1,CLUSTER 1,22,202437
5224,CLUSTER 1,CLUSTER 1,16,202437
5226,CLUSTER 1,CLUSTER 1,17,202437
5232,CLUSTER 1,CLUSTER 1,20,202437
5236,CLUSTER 1,CLUSTER 1,24,202437
5245,CLUSTER 1,CLUSTER 1,16,202437
5246,CLUSTER 1,CLUSTER 1,4,202437
5247,CLUSTER 1,CLUSTER 1,24,202437
5259,CLUSTER 1,CLUSTER 1,16,202437
5260,CLUSTER 1,CLUSTER 1,24,202437
5287,CLUSTER 1,CLUSTER 1,24,202437
5288,CLUSTER 1,CLUSTER 1,22,202437
5290,CLUSTER 1,CLUSTER 1,21,202437
5308,CLUSTER 1,CLUSTER 1,14,202437
5311,CLUSTER 1,CLUSTER 1,22,202437
5312,CLUSTER 1,CLUSTER 1,24,202437
5314,CLUSTER 1,CLUSTER 1,14,202437
5316,CLUSTER 1,CLUSTER 1,18,202437
5317,CLUSTER 1,CLUSTER 1,20,202437
5331,CLUSTER 1,CLUSTER 1,22,202437
5334,CLUSTER 1,CLUSTER 1,24,202437
5335,CLUSTER 1,CLUSTER 1,20,202437
5341,CLUSTER 1,CLUSTER 1,16,202437
5353,CLUSTER 1,CLUSTER 1,16,202437
5359,CLUSTER 1,CLUSTER 1,24,202437
5361,CLUSTER 1,CLUSTER 1,22,202437
5370,CLUSTER 1,CLUSTER 1,22,202437
5388,CLUSTER 1,CLUSTER 1,16,202437
5389,CLUSTER 1,CLUSTER 1,20,202437
5394,CLUSTER 1,CLUSTER 1,24,202437
5416,CLUSTER 1,CLUSTER 1,24,202437
5430,CLUSTER 1,CLUSTER 1,24,202437
5442,CLUSTER 1,CLUSTER 1,20,202437
5460,CLUSTER 1,CLUSTER 1,6,202437
5479,CLUSTER 1,CLUSTER 1,16,202437
5480,CLUSTER 1,CLUSTER 1,16,202437
5490,CLUSTER 1,CLUSTER 1,21,202437
5612,CLUSTER 1,CLUSTER 1,20,202437
5617,CLUSTER 1,CLUSTER 1,20,202437
5624,CLUSTER 1,CLUSTER 1,18,202437
5638,CLUSTER 1,CLUSTER 1,14,202437
5657,CLUSTER 1,CLUSTER 1,16,202437
5663,CLUSTER 1,CLUSTER 1,12,202437
5668,CLUSTER 1,CLUSTER 1,16,202437
5673,CLUSTER 1,CLUSTER 1,22,202437
5686,CLUSTER 1,CLUSTER 1,24,202437
5691,CLUSTER 1,CLUSTER 1,18,202437
5697,CLUSTER 1,CLUSTER 1,12,202437
5700,CLUSTER 1,CLUSTER 1,12,202437
5701,CLUSTER 1,CLUSTER 1,18,202437
5707,CLUSTER 1,CLUSTER 1,22,202437
5713,CLUSTER 1,CLUSTER 1,16,202437
5715,CLUSTER 1,CLUSTER 1,14,202437
5717,CLUSTER 1,CLUSTER 1,24,202437
5737,CLUSTER 1,CLUSTER 1,20,202437
5738,CLUSTER 1,CLUSTER 1,14,202437
5748,CLUSTER 1,CLUSTER 1,22,202437
5751,CLUSTER 1,CLUSTER 1,20,202437
5764,CLUSTER 1,CLUSTER 1,24,202437
5806,CLUSTER 1,CLUSTER 1,16,202437
5807,CLUSTER 1,CLUSTER 1,20,202437
5808,CLUSTER 1,CLUSTER 1,16,202437
5809,CLUSTER 1,CLUSTER 1,20,202437
5810,CLUSTER 1,CLUSTER 1,22,202437
5824,CLUSTER 1,CLUSTER 1,16,202437
5866,CLUSTER 1,CLUSTER 1,22,202437
5889,CLUSTER 1,CLUSTER 1,20,202437
5898,CLUSTER 1,CLUSTER 1,22,202437
5925,CLUSTER 1,CLUSTER 1,12,202437
5947,CLUSTER 1,CLUSTER 1,20,202437
5957,CLUSTER 1,CLUSTER 1,16,202437
5959,CLUSTER 1,CLUSTER 1,24,202437
5960,CLUSTER 1,CLUSTER 1,18,202437
5962,CLUSTER 1,CLUSTER 1,19,202437
5977,CLUSTER 1,CLUSTER 1,20,202437
5987,CLUSTER 1,CLUSTER 1,20,202437
5990,CLUSTER 1,CLUSTER 1,12,202437
5991,CLUSTER 1,CLUSTER 1,12,202437
6078,CLUSTER 1,CLUSTER 1,14,202437
6098,CLUSTER 1,CLUSTER 1,12,202437
6159,CLUSTER 1,CLUSTER 1,21,202437
6172,CLUSTER 1,CLUSTER 1,16,202437
6178,CLUSTER 1,CLUSTER 1,16,202437
6286,CLUSTER 1,CLUSTER 1,16,202437
6300,CLUSTER 1,CLUSTER 1,16,202437
6392,CLUSTER 1,CLUSTER 1,16,202437
6459,CLUSTER 1,CLUSTER 1,14,202437
6467,CLUSTER 1,CLUSTER 1,22,202437
6477,CLUSTER 1,CLUSTER 1,16,202437
6578,CLUSTER 1,CLUSTER 1,14,202437
6579,CLUSTER 1,CLUSTER 1,24,202437
6585,CLUSTER 1,CLUSTER 1,10,202437
6587,CLUSTER 1,CLUSTER 1,21,202437
6786,CLUSTER 1,CLUSTER 1,14,202437
6813,CLUSTER 1,CLUSTER 1,16,202437
6850,CLUSTER 1,CLUSTER 1,12,202437
6929,CLUSTER 1,CLUSTER 1,16,202437
6943,CLUSTER 1,CLUSTER 1,16,202437
6960,CLUSTER 1,CLUSTER 1,12,202437
6963,CLUSTER 1,CLUSTER 1,24,202437
7156,CLUSTER 1,CLUSTER 1,16,202437
7178,CLUSTER 1,CLUSTER 1,16,202437
7220,CLUSTER 1,CLUSTER 1,14,202437
7224,CLUSTER 1,CLUSTER 1,16,202437
7229,CLUSTER 1,CLUSTER 1,16,202437
7240,CLUSTER 1,CLUSTER 1,16,202437
7251,CLUSTER 1,CLUSTER 1,16,202437
7281,CLUSTER 1,CLUSTER 1,16,202437
7309,CLUSTER 1,CLUSTER 1,16,202437
7320,CLUSTER 1,CLUSTER 1,16,202437
7326,CLUSTER 1,CLUSTER 1,16,202437
7347,CLUSTER 1,CLUSTER 1,16,202437
7357,CLUSTER 1,CLUSTER 1,16,202437
8930,CLUSTER 1,CLUSTER 1,12,202437
822,CLUSTER 4,CLUSTER 1,24,202437
1324,CLUSTER 4,CLUSTER 1,24,202437
1846,CLUSTER 4,CLUSTER 1,20,202437
2257,CLUSTER 5,CLUSTER 1,26,202437
3584,CLUSTER 5,CLUSTER 1,24,202437
2,CLUSTER 2,CLUSTER 2,24,202537
8,CLUSTER 2,CLUSTER 2,16,202537
10,CLUSTER 2,CLUSTER 2,22,202537
11,CLUSTER 2,CLUSTER 2,24,202537
12,CLUSTER 2,CLUSTER 2,24,202537
13,CLUSTER 2,CLUSTER 2,20,202537
14,CLUSTER 2,CLUSTER 2,22,202537
15,CLUSTER 2,CLUSTER 2,24,202537
16,CLUSTER 2,CLUSTER 2,22,202537
17,CLUSTER 2,CLUSTER 2,20,202537
18,CLUSTER 2,CLUSTER 2,16,202537
20,CLUSTER 2,CLUSTER 2,16,202537
22,CLUSTER 2,CLUSTER 2,16,202537
25,CLUSTER 2,CLUSTER 2,16,202537
26,CLUSTER 2,CLUSTER 2,24,202537
27,CLUSTER 2,CLUSTER 2,16,202537
28,CLUSTER 2,CLUSTER 2,16,202537
29,CLUSTER 2,CLUSTER 2,28,202537
30,CLUSTER 2,CLUSTER 2,14,202537
31,CLUSTER 2,CLUSTER 2,22,202537
34,CLUSTER 2,CLUSTER 2,14,202537
37,CLUSTER 2,CLUSTER 2,16,202537
38,CLUSTER 2,CLUSTER 2,16,202537
39,CLUSTER 2,CLUSTER 2,#N/A,202537
40,CLUSTER 2,CLUSTER 2,16,202537
41,CLUSTER 2,CLUSTER 2,28,202537
42,CLUSTER 2,CLUSTER 2,16,202537
46,CLUSTER 2,CLUSTER 2,22,202537
47,CLUSTER 2,CLUSTER 2,16,202537
50,CLUSTER 2,CLUSTER 2,14,202537
51,CLUSTER 2,CLUSTER 2,16,202537
55,CLUSTER 2,CLUSTER 2,12,202537
56,CLUSTER 2,CLUSTER 2,14,202537
58,CLUSTER 2,CLUSTER 2,22,202537
59,CLUSTER 2,CLUSTER 2,18,202537
60,CLUSTER 2,CLUSTER 2,16,202537
61,CLUSTER 2,CLUSTER 2,22,202537
63,CLUSTER 2,CLUSTER 2,14,202537
65,CLUSTER 2,CLUSTER 2,13,202537
66,CLUSTER 2,CLUSTER 2,20,202537
67,CLUSTER 2,CLUSTER 2,16,202537
69,CLUSTER 2,CLUSTER 2,24,202537
71,CLUSTER 2,CLUSTER 2,14,202537
72,CLUSTER 2,CLUSTER 2,24,202537
73,CLUSTER 2,CLUSTER 2,20,202537
76,CLUSTER 2,CLUSTER 2,18,202537
78,CLUSTER 2,CLUSTER 2,22,202537
79,CLUSTER 2,CLUSTER 2,20,202537
82,CLUSTER 2,CLUSTER 2,14,202537
86,CLUSTER 2,CLUSTER 2,20,202537
88,CLUSTER 2,CLUSTER 2,16,202537
89,CLUSTER 2,CLUSTER 2,16,202537
90,CLUSTER 2,CLUSTER 2,16,202537
92,CLUSTER 2,CLUSTER 2,16,202537
95,CLUSTER 2,CLUSTER 2,16,202537
96,CLUSTER 2,CLUSTER 2,20,202537
99,CLUSTER 2,CLUSTER 2,14,202537
101,CLUSTER 2,CLUSTER 2,20,202537
103,CLUSTER 2,CLUSTER 2,22,202537
107,CLUSTER 2,CLUSTER 2,16,202537
108,CLUSTER 2,CLUSTER 2,16,202537
109,CLUSTER 2,CLUSTER 2,14,202537
111,CLUSTER 2,CLUSTER 2,14,202537
113,CLUSTER 2,CLUSTER 2,22,202537
119,CLUSTER 2,CLUSTER 2,24,202537
122,CLUSTER 2,CLUSTER 2,16,202537
123,CLUSTER 2,CLUSTER 2,14,202537
125,CLUSTER 2,CLUSTER 2,22,202537
129,CLUSTER 2,CLUSTER 2,24,202537
132,CLUSTER 2,CLUSTER 2,14,202537
134,CLUSTER 2,CLUSTER 2,22,202537
135,CLUSTER 2,CLUSTER 2,16,202537
137,CLUSTER 2,CLUSTER 2,24,202537
138,CLUSTER 2,CLUSTER 2,22,202537
139,CLUSTER 2,CLUSTER 2,16,202537
140,CLUSTER 2,CLUSTER 2,24,202537
141,CLUSTER 2,CLUSTER 2,24,202537
143,CLUSTER 2,CLUSTER 2,20,202537
145,CLUSTER 2,CLUSTER 2,14,202537
147,CLUSTER 2,CLUSTER 2,22,202537
150,CLUSTER 2,CLUSTER 2,24,202537
151,CLUSTER 2,CLUSTER 2,22,202537
152,CLUSTER 2,CLUSTER 2,16,202537
154,CLUSTER 2,CLUSTER 2,20,202537
158,CLUSTER 2,CLUSTER 2,16,202537
160,CLUSTER 2,CLUSTER 2,16,202537
161,CLUSTER 2,CLUSTER 2,2,202537
166,CLUSTER 2,CLUSTER 2,14,202537
168,CLUSTER 2,CLUSTER 2,24,202537
172,CLUSTER 2,CLUSTER 2,22,202537
177,CLUSTER 2,CLUSTER 2,20,202537
178,CLUSTER 2,CLUSTER 2,#N/A,202537
179,CLUSTER 2,CLUSTER 2,16,202537
181,CLUSTER 2,CLUSTER 2,14,202537
184,CLUSTER 2,CLUSTER 2,22,202537
186,CLUSTER 2,CLUSTER 2,14,202537
189,CLUSTER 2,CLUSTER 2,12,202537
192,CLUSTER 2,CLUSTER 2,16,202537
195,CLUSTER 2,CLUSTER 2,16,202537
196,CLUSTER 2,CLUSTER 2,16,202537
197,CLUSTER 2,CLUSTER 2,16,202537
198,CLUSTER 2,CLUSTER 2,14,202537
199,CLUSTER 2,CLUSTER 2,16,202537
200,CLUSTER 2,CLUSTER 2,16,202537
203,CLUSTER 2,CLUSTER 2,#N/A,202537
204,CLUSTER 2,CLUSTER 2,14,202537
207,CLUSTER 2,CLUSTER 2,4,202537
213,CLUSTER 2,CLUSTER 2,14,202537
216,CLUSTER 2,CLUSTER 2,16,202537
218,CLUSTER 2,CLUSTER 2,#N/A,202537
219,CLUSTER 2,CLUSTER 2,24,202537
225,CLUSTER 2,CLUSTER 2,14,202537
227,CLUSTER 2,CLUSTER 2,16,202537
231,CLUSTER 2,CLUSTER 2,22,202537
234,CLUSTER 2,CLUSTER 2,21,202537
237,CLUSTER 2,CLUSTER 2,16,202537
238,CLUSTER 2,CLUSTER 2,16,202537
242,CLUSTER 2,CLUSTER 2,16,202537
243,CLUSTER 2,CLUSTER 2,24,202537
246,CLUSTER 2,CLUSTER 2,14,202537
250,CLUSTER 2,CLUSTER 2,16,202537
251,CLUSTER 2,CLUSTER 2,20,202537
252,CLUSTER 2,CLUSTER 2,12,202537
253,CLUSTER 2,CLUSTER 2,16,202537
254,CLUSTER 2,CLUSTER 2,14,202537
256,CLUSTER 2,CLUSTER 2,22,202537
261,CLUSTER 2,CLUSTER 2,20,202537
262,CLUSTER 2,CLUSTER 2,20,202537
264,CLUSTER 2,CLUSTER 2,24,202537
267,CLUSTER 2,CLUSTER 2,16,202537
271,CLUSTER 2,CLUSTER 2,16,202537
275,CLUSTER 2,CLUSTER 2,24,202537
276,CLUSTER 2,CLUSTER 2,14,202537
277,CLUSTER 2,CLUSTER 2,24,202537
281,CLUSTER 2,CLUSTER 2,16,202537
282,CLUSTER 2,CLUSTER 2,20,202537
295,CLUSTER 2,CLUSTER 2,16,202537
296,CLUSTER 2,CLUSTER 2,14,202537
298,CLUSTER 2,CLUSTER 2,22,202537
302,CLUSTER 2,CLUSTER 2,14,202537
304,CLUSTER 2,CLUSTER 2,20,202537
306,CLUSTER 2,CLUSTER 2,14,202537
308,CLUSTER 2,CLUSTER 2,16,202537
313,CLUSTER 2,CLUSTER 2,22,202537
314,CLUSTER 2,CLUSTER 2,16,202537
315,CLUSTER 2,CLUSTER 2,16,202537
317,CLUSTER 2,CLUSTER 2,10,202537
324,CLUSTER 2,CLUSTER 2,#N/A,202537
325,CLUSTER 2,CLUSTER 2,16,202537
328,CLUSTER 2,CLUSTER 2,16,202537
336,CLUSTER 2,CLUSTER 2,16,202537
337,CLUSTER 2,CLUSTER 2,16,202537
338,CLUSTER 2,CLUSTER 2,14,202537
340,CLUSTER 2,CLUSTER 2,18,202537
341,CLUSTER 2,CLUSTER 2,1,202537
342,CLUSTER 2,CLUSTER 2,4,202537
343,CLUSTER 2,CLUSTER 2,16,202537
346,CLUSTER 2,CLUSTER 2,#N/A,202537
350,CLUSTER 2,CLUSTER 2,16,202537
354,CLUSTER 2,CLUSTER 2,14,202537
357,CLUSTER 2,CLUSTER 2,16,202537
358,CLUSTER 2,CLUSTER 2,16,202537
360,CLUSTER 2,CLUSTER 2,16,202537
363,CLUSTER 2,CLUSTER 2,16,202537
366,CLUSTER 2,CLUSTER 2,18,202537
368,CLUSTER 2,CLUSTER 2,14,202537
369,CLUSTER 2,CLUSTER 2,2,202537
370,CLUSTER 2,CLUSTER 2,#N/A,202537
373,CLUSTER 2,CLUSTER 2,8,202537
374,CLUSTER 2,CLUSTER 2,16,202537
378,CLUSTER 2,CLUSTER 2,#N/A,202537
379,CLUSTER 2,CLUSTER 2,18,202537
382,CLUSTER 2,CLUSTER 2,16,202537
384,CLUSTER 2,CLUSTER 2,16,202537
387,CLUSTER 2,CLUSTER 2,#N/A,202537
389,CLUSTER 2,CLUSTER 2,24,202537
390,CLUSTER 2,CLUSTER 2,16,202537
394,CLUSTER 2,CLUSTER 2,16,202537
414,CLUSTER 2,CLUSTER 2,16,202537
418,CLUSTER 2,CLUSTER 2,#N/A,202537
419,CLUSTER 2,CLUSTER 2,4,202537
422,CLUSTER 2,CLUSTER 2,16,202537
435,CLUSTER 2,CLUSTER 2,18,202537
436,CLUSTER 2,CLUSTER 2,14,202537
444,CLUSTER 2,CLUSTER 2,24,202537
445,CLUSTER 2,CLUSTER 2,22,202537
451,CLUSTER 2,CLUSTER 2,24,202537
454,CLUSTER 2,CLUSTER 2,2,202537
476,CLUSTER 2,CLUSTER 2,16,202537
477,CLUSTER 2,CLUSTER 2,16,202537
481,CLUSTER 2,CLUSTER 2,20,202537
484,CLUSTER 2,CLUSTER 2,16,202537
486,CLUSTER 2,CLUSTER 2,16,202537
491,CLUSTER 2,CLUSTER 2,24,202537
492,CLUSTER 2,CLUSTER 2,16,202537
493,CLUSTER 2,CLUSTER 2,16,202537
506,CLUSTER 2,CLUSTER 2,4,202537
507,CLUSTER 2,CLUSTER 2,16,202537
508,CLUSTER 2,CLUSTER 2,16,202537
515,CLUSTER 2,CLUSTER 2,20,202537
516,CLUSTER 2,CLUSTER 2,20,202537
517,CLUSTER 2,CLUSTER 2,22,202537
519,CLUSTER 2,CLUSTER 2,16,202537
523,CLUSTER 2,CLUSTER 2,16,202537
560,CLUSTER 2,CLUSTER 2,22,202537
568,CLUSTER 2,CLUSTER 2,10,202537
569,CLUSTER 2,CLUSTER 2,16,202537
571,CLUSTER 2,CLUSTER 2,24,202537
574,CLUSTER 2,CLUSTER 2,24,202537
578,CLUSTER 2,CLUSTER 2,24,202537
582,CLUSTER 2,CLUSTER 2,22,202537
583,CLUSTER 2,CLUSTER 2,16,202537
587,CLUSTER 2,CLUSTER 2,20,202537
591,CLUSTER 2,CLUSTER 2,16,202537
592,CLUSTER 2,CLUSTER 2,16,202537
598,CLUSTER 2,CLUSTER 2,24,202537
599,CLUSTER 2,CLUSTER 2,24,202537
603,CLUSTER 2,CLUSTER 2,20,202537
609,CLUSTER 2,CLUSTER 2,16,202537
612,CLUSTER 2,CLUSTER 2,12,202537
613,CLUSTER 2,CLUSTER 2,#N/A,202537
619,CLUSTER 2,CLUSTER 2,20,202537
620,CLUSTER 2,CLUSTER 2,16,202537
633,CLUSTER 2,CLUSTER 2,14,202537
636,CLUSTER 2,CLUSTER 2,20,202537
646,CLUSTER 2,CLUSTER 2,4,202537
647,CLUSTER 2,CLUSTER 2,#N/A,202537
648,CLUSTER 2,CLUSTER 2,22,202537
655,CLUSTER 2,CLUSTER 2,20,202537
656,CLUSTER 2,CLUSTER 2,20,202537
657,CLUSTER 2,CLUSTER 2,24,202537
661,CLUSTER 2,CLUSTER 2,24,202537
663,CLUSTER 2,CLUSTER 2,20,202537
664,CLUSTER 2,CLUSTER 2,22,202537
665,CLUSTER 2,CLUSTER 2,16,202537
667,CLUSTER 2,CLUSTER 2,14,202537
668,CLUSTER 2,CLUSTER 2,24,202537
670,CLUSTER 2,CLUSTER 2,24,202537
671,CLUSTER 2,CLUSTER 2,22,202537
672,CLUSTER 2,CLUSTER 2,24,202537
674,CLUSTER 2,CLUSTER 2,24,202537
676,CLUSTER 2,CLUSTER 2,16,202537
678,CLUSTER 2,CLUSTER 2,20,202537
680,CLUSTER 2,CLUSTER 2,16,202537
681,CLUSTER 2,CLUSTER 2,16,202537
683,CLUSTER 2,CLUSTER 2,14,202537
685,CLUSTER 2,CLUSTER 2,20,202537
687,CLUSTER 2,CLUSTER 2,22,202537
689,CLUSTER 2,CLUSTER 2,22,202537
690,CLUSTER 2,CLUSTER 2,20,202537
691,CLUSTER 2,CLUSTER 2,22,202537
692,CLUSTER 2,CLUSTER 2,20,202537
694,CLUSTER 2,CLUSTER 2,24,202537
698,CLUSTER 2,CLUSTER 2,24,202537
701,CLUSTER 2,CLUSTER 2,20,202537
702,CLUSTER 2,CLUSTER 2,16,202537
709,CLUSTER 2,CLUSTER 2,24,202537
711,CLUSTER 2,CLUSTER 2,22,202537
712,CLUSTER 2,CLUSTER 2,20,202537
719,CLUSTER 2,CLUSTER 2,20,202537
720,CLUSTER 2,CLUSTER 2,16,202537
721,CLUSTER 2,CLUSTER 2,22,202537
724,CLUSTER 2,CLUSTER 2,16,202537
729,CLUSTER 2,CLUSTER 2,20,202537
735,CLUSTER 2,CLUSTER 2,20,202537
736,CLUSTER 2,CLUSTER 2,20,202537
738,CLUSTER 2,CLUSTER 2,16,202537
739,CLUSTER 2,CLUSTER 2,16,202537
741,CLUSTER 2,CLUSTER 2,20,202537
742,CLUSTER 2,CLUSTER 2,16,202537
748,CLUSTER 2,CLUSTER 2,#N/A,202537
750,CLUSTER 2,CLUSTER 2,6,202537
751,CLUSTER 2,CLUSTER 2,2,202537
753,CLUSTER 2,CLUSTER 2,24,202537
767,CLUSTER 2,CLUSTER 2,24,202537
769,CLUSTER 2,CLUSTER 2,24,202537
771,CLUSTER 2,CLUSTER 2,24,202537
775,CLUSTER 2,CLUSTER 2,20,202537
778,CLUSTER 2,CLUSTER 2,26,202537
784,CLUSTER 2,CLUSTER 2,16,202537
788,CLUSTER 2,CLUSTER 2,14,202537
790,CLUSTER 2,CLUSTER 2,16,202537
793,CLUSTER 2,CLUSTER 2,16,202537
794,CLUSTER 2,CLUSTER 2,16,202537
796,CLUSTER 2,CLUSTER 2,24,202537
797,CLUSTER 2,CLUSTER 2,20,202537
798,CLUSTER 2,CLUSTER 2,3,202537
801,CLUSTER 2,CLUSTER 2,14,202537
802,CLUSTER 2,CLUSTER 2,16,202537
805,CLUSTER 2,CLUSTER 2,16,202537
810,CLUSTER 2,CLUSTER 2,16,202537
815,CLUSTER 2,CLUSTER 2,16,202537
820,CLUSTER 2,CLUSTER 2,16,202537
823,CLUSTER 2,CLUSTER 2,24,202537
825,CLUSTER 2,CLUSTER 2,16,202537
827,CLUSTER 2,CLUSTER 2,18,202537
833,CLUSTER 2,CLUSTER 2,4,202537
834,CLUSTER 2,CLUSTER 2,2,202537
836,CLUSTER 2,CLUSTER 2,24,202537
838,CLUSTER 2,CLUSTER 2,22,202537
844,CLUSTER 2,CLUSTER 2,22,202537
846,CLUSTER 2,CLUSTER 2,16,202537
847,CLUSTER 2,CLUSTER 2,20,202537
852,CLUSTER 2,CLUSTER 2,20,202537
854,CLUSTER 2,CLUSTER 2,16,202537
870,CLUSTER 2,CLUSTER 2,26,202537
882,CLUSTER 2,CLUSTER 2,14,202537
884,CLUSTER 2,CLUSTER 2,20,202537
885,CLUSTER 2,CLUSTER 2,14,202537
888,CLUSTER 2,CLUSTER 2,8,202537
891,CLUSTER 2,CLUSTER 2,20,202537
902,CLUSTER 2,CLUSTER 2,16,202537
910,CLUSTER 2,CLUSTER 2,23,202537
913,CLUSTER 2,CLUSTER 2,20,202537
914,CLUSTER 2,CLUSTER 2,16,202537
921,CLUSTER 2,CLUSTER 2,16,202537
922,CLUSTER 2,CLUSTER 2,16,202537
933,CLUSTER 2,CLUSTER 2,20,202537
936,CLUSTER 2,CLUSTER 2,24,202537
958,CLUSTER 2,CLUSTER 2,20,202537
959,CLUSTER 2,CLUSTER 2,16,202537
960,CLUSTER 2,CLUSTER 2,18,202537
965,CLUSTER 2,CLUSTER 2,20,202537
967,CLUSTER 2,CLUSTER 2,24,202537
971,CLUSTER 2,CLUSTER 2,14,202537
975,CLUSTER 2,CLUSTER 2,22,202537
979,CLUSTER 2,CLUSTER 2,16,202537
985,CLUSTER 2,CLUSTER 2,12,202537
993,CLUSTER 2,CLUSTER 2,16,202537
995,CLUSTER 2,CLUSTER 2,14,202537
1002,CLUSTER 2,CLUSTER 2,16,202537
1003,CLUSTER 2,CLUSTER 2,22,202537
1005,CLUSTER 2,CLUSTER 2,16,202537
1007,CLUSTER 2,CLUSTER 2,20,202537
1008,CLUSTER 2,CLUSTER 2,16,202537
1009,CLUSTER 2,CLUSTER 2,18,202537
1012,CLUSTER 2,CLUSTER 2,20,202537
1019,CLUSTER 2,CLUSTER 2,22,202537
1021,CLUSTER 2,CLUSTER 2,14,202537
1026,CLUSTER 2,CLUSTER 2,16,202537
1029,CLUSTER 2,CLUSTER 2,16,202537
1033,CLUSTER 2,CLUSTER 2,22,202537
1038,CLUSTER 2,CLUSTER 2,16,202537
1043,CLUSTER 2,CLUSTER 2,16,202537
1053,CLUSTER 2,CLUSTER 2,20,202537
1054,CLUSTER 2,CLUSTER 2,14,202537
1056,CLUSTER 2,CLUSTER 2,14,202537
