Store #,Clear Backpacks,Mesh Backpacks
1817,NO,NO
1819,NO,NO
1821,NO,NO
1822,NO,NO
1826,NO,NO
1827,NO,NO
1828,NO,NO
1829,YES,NO
1832,NO,NO
1834,NO,NO
1836,YES,NO
1837,YES,YES
1838,NO,NO
1839,NO,NO
1840,NO,NO
1842,NO,YES
1843,NO,NO
1845,NO,YES
1846,NO,YES
1847,YES,YES
1848,NO,NO
1849,YES,YES
1851,NO,YES
1853,NO,NO
1854,NO,NO
1855,NO,NO
1857,NO,NO
1858,NO,NO
1859,NO,YES
1861,NO,NO
1862,NO,YES
1863,YES,YES
1864,NO,NO
1865,NO,NO
1870,NO,NO
1872,NO,NO
1874,NO,NO
1876,NO,NO
1877,NO,NO
1878,NO,NO
1879,NO,NO
1880,NO,NO
1881,NO,NO
1882,NO,NO
1888,NO,YES
1889,NO,NO
1892,NO,YES
1894,NO,NO
1895,NO,NO
1896,NO,NO
1897,NO,NO
1898,NO,NO
1899,NO,YES
1900,NO,NO
1901,NO,NO
1902,NO,NO
1903,NO,NO
1905,NO,NO
1908,NO,NO
1910,NO,NO
1911,YES,YES
1912,NO,NO
1913,YES,NO
1914,NO,YES
1915,NO,NO
1916,NO,NO
1917,NO,NO
1920,NO,NO
1922,YES,YES
1923,NO,YES
1925,NO,NO
1927,YES,NO
1928,YES,YES
1929,NO,NO
1931,NO,NO
1933,YES,NO
1936,NO,NO
1937,NO,NO
1938,YES,YES
1941,NO,NO
1942,NO,NO
1943,NO,NO
1947,NO,YES
1948,NO,NO
1950,YES,NO
1951,NO,YES
1952,NO,NO
1953,NO,NO
1955,YES,YES
1956,NO,NO
1957,NO,NO
1958,YES,YES
1960,YES,YES
1961,YES,YES
1962,YES,YES
1963,NO,YES
1965,YES,YES
1971,NO,YES
1972,NO,NO
1978,NO,NO
1979,NO,NO
1982,NO,YES
1983,NO,NO
1986,NO,NO
1987,NO,NO
1988,YES,NO
1989,NO,NO
1990,NO,NO
1991,NO,YES
1992,NO,NO
1995,NO,NO
1996,NO,NO
1998,YES,YES
1999,NO,NO
2000,NO,YES
2001,NO,YES
2002,NO,NO
2004,NO,NO
2005,NO,NO
2006,NO,NO
2007,NO,YES
2010,NO,NO
2014,NO,NO
2016,NO,NO
2020,NO,NO
2025,NO,NO
2026,NO,NO
2028,NO,YES
2030,YES,NO
2031,NO,NO
2032,NO,NO
2033,NO,NO
2035,NO,NO
2036,YES,NO
2037,NO,NO
2039,NO,NO
2044,YES,NO
2048,NO,YES
2050,NO,NO
2051,NO,NO
2052,NO,NO
2053,NO,NO
2054,NO,NO
2058,NO,YES
2061,NO,NO
2062,YES,NO
2063,NO,YES
2065,YES,YES
2066,YES,YES
2067,NO,NO
2069,NO,NO
2072,NO,NO
2073,YES,NO
2075,NO,YES
2077,NO,NO
2078,NO,NO
2079,NO,NO
2080,NO,NO
2081,NO,NO
2082,NO,NO
2083,YES,NO
2084,YES,NO
2085,NO,NO
2086,YES,YES
2087,NO,NO
2091,YES,YES
2094,YES,NO
2098,NO,YES
2099,NO,NO
2100,NO,NO
2101,NO,YES
2102,NO,NO
2105,YES,YES
2106,NO,NO
2110,NO,YES
2111,NO,YES
2112,NO,YES
2113,YES,YES
2114,NO,NO
2115,YES,NO
2117,NO,NO
2119,NO,YES
2121,NO,NO
2123,YES,NO
2124,YES,NO
2125,YES,NO
2127,NO,NO
2131,NO,NO
2132,YES,NO
2133,NO,NO
2134,NO,YES
2137,NO,NO
2147,NO,NO
2149,NO,NO
2150,NO,YES
2151,YES,NO
2154,NO,YES
2161,NO,NO
2175,NO,NO
2176,NO,YES
2177,YES,NO
2181,NO,NO
2187,NO,NO
2189,YES,NO
2190,NO,NO
2191,NO,NO
2192,NO,NO
2193,NO,NO
2196,NO,NO
2197,YES,NO
2198,NO,NO
2199,NO,NO
2201,NO,NO
2204,YES,YES
2206,NO,NO
2207,NO,NO
2209,NO,NO
2211,NO,NO
2213,NO,NO
2214,NO,YES
2215,NO,NO
2218,NO,NO
2221,NO,YES
2223,NO,NO
2231,NO,NO
2237,NO,NO
2238,NO,NO
2239,YES,YES
2240,NO,NO
2241,NO,NO
2242,NO,YES
2243,NO,NO
2244,NO,YES
2245,NO,NO
2247,NO,NO
2249,NO,YES
2250,YES,YES
2251,NO,NO
2253,YES,NO
2256,NO,NO
2257,YES,YES
2259,NO,YES
2265,NO,YES
2266,NO,NO
2269,NO,YES
2270,NO,YES
2271,NO,NO
2273,NO,NO
2274,NO,NO
2275,NO,NO
2276,NO,YES
2277,NO,NO
2280,NO,YES
2288,NO,NO
2291,YES,NO
2292,NO,YES
2293,NO,NO
2297,NO,NO
2302,NO,NO
2306,YES,YES
2307,NO,NO
2309,YES,NO
2310,YES,YES
2311,NO,NO
2313,NO,NO
2315,NO,NO
2316,NO,NO
2317,NO,NO
2319,NO,NO
2320,NO,NO
2322,YES,YES
2323,NO,YES
2325,YES,NO
2333,NO,NO
2335,NO,YES
2338,NO,NO
2339,NO,NO
2346,NO,NO
2348,NO,NO
2350,NO,NO
2352,NO,NO
2354,NO,NO
2358,NO,NO
2359,NO,NO
2361,YES,NO
2362,NO,NO
2367,NO,NO
2385,YES,YES
2387,NO,YES
2388,NO,NO
2400,NO,NO
2401,NO,NO
2402,NO,NO
2403,NO,NO
2404,YES,YES
2417,NO,NO
2418,NO,NO
2421,NO,NO
2422,NO,NO
2423,NO,NO
2426,NO,NO
2427,YES,YES
2428,YES,NO
2429,NO,NO
2432,YES,NO
2434,NO,NO
2439,YES,YES
2440,NO,NO
2441,NO,YES
2443,NO,NO
2447,NO,YES
2448,NO,NO
2449,NO,NO
2450,YES,NO
2452,NO,YES
2453,NO,NO
2455,NO,NO
2457,NO,NO
2458,NO,NO
2459,NO,NO
2463,NO,NO
2464,NO,NO
2469,NO,NO
2471,NO,NO
2472,NO,YES
2474,NO,NO
2475,NO,YES
2476,NO,NO
2477,NO,NO
2479,NO,NO
2482,YES,NO
2483,YES,NO
2484,YES,YES
2485,NO,NO
2490,YES,YES
2491,NO,NO
2492,NO,NO
2493,NO,NO
2494,NO,YES
2495,NO,NO
2496,NO,NO
2501,NO,NO
2505,NO,YES
2506,NO,NO
2507,NO,YES
2508,NO,YES
2509,NO,NO
2510,NO,NO
2511,YES,YES
2512,YES,YES
2513,NO,NO
2515,YES,YES
2516,NO,YES
2517,YES,NO
2522,NO,NO
2523,NO,NO
2526,NO,NO
2527,YES,NO
2532,NO,YES
2533,NO,NO
2534,YES,YES
2536,YES,NO
2537,NO,NO
2538,YES,NO
2539,NO,NO
2541,NO,NO
2542,NO,NO
2544,YES,YES
2545,NO,NO
2546,NO,NO
2548,YES,YES
2549,NO,YES
2550,NO,NO
2553,NO,YES
2554,YES,NO
2556,NO,NO
2557,NO,NO
2558,NO,NO
2559,NO,YES
2562,NO,NO
2563,NO,NO
2566,NO,NO
2567,NO,NO
2568,NO,YES
2571,YES,NO
2572,YES,NO
2575,YES,YES
2576,NO,NO
2579,NO,NO
2580,YES,YES
2584,YES,YES
2587,NO,NO
2591,YES,NO
2592,NO,NO
2593,NO,YES
2594,NO,NO
2595,NO,NO
2596,NO,NO
2598,YES,YES
2599,YES,YES
2600,NO,NO
2605,NO,NO
2607,NO,YES
2608,NO,NO
2609,YES,YES
2610,NO,YES
2612,YES,YES
2613,YES,NO
2615,YES,YES
2616,NO,NO
2617,NO,NO
2618,NO,NO
2619,NO,NO
2620,NO,NO
2621,NO,NO
2626,NO,YES
2627,NO,YES
2628,NO,YES
2630,YES,NO
2631,YES,YES
2636,NO,NO
2638,NO,NO
2642,NO,YES
2643,NO,NO
2644,NO,NO
2648,YES,YES
2649,NO,YES
2652,YES,YES
2653,NO,NO
2654,NO,NO
2656,YES,YES
2658,NO,NO
2665,YES,NO
2667,YES,YES
2668,NO,YES
2672,NO,NO
2678,YES,YES
2679,NO,NO
2684,NO,NO
2687,NO,NO
2688,YES,YES
2690,NO,NO
2691,NO,NO
2692,NO,YES
2693,NO,NO
2694,YES,YES
2695,NO,YES
2696,NO,NO
2697,NO,NO
2700,NO,NO
2702,NO,NO
2703,YES,NO
2704,NO,NO
2706,YES,YES
2708,YES,NO
2712,YES,YES
2713,YES,YES
2714,YES,NO
2715,YES,YES
2716,NO,NO
2717,YES,YES
2718,YES,YES
2720,NO,NO
2721,NO,NO
2723,YES,YES
2724,YES,YES
2725,NO,NO
2726,NO,YES
2727,NO,YES
2728,YES,NO
2729,NO,NO
2730,YES,NO
2732,NO,NO
2733,YES,YES
2734,NO,NO
2735,NO,NO
2739,YES,NO
2740,NO,YES
2748,NO,NO
2749,NO,NO
2751,NO,NO
2752,NO,YES
2753,NO,NO
2754,NO,YES
2755,NO,YES
2757,NO,NO
2760,YES,YES
2763,YES,YES
2764,NO,YES
2765,YES,YES
2766,YES,NO
2767,YES,NO
2768,YES,NO
2769,YES,YES
2771,NO,NO
2772,NO,NO
2774,NO,NO
2777,YES,NO
2780,NO,YES
2781,NO,YES
2782,NO,NO
2783,YES,YES
2784,NO,NO
2786,YES,NO
2787,NO,YES
2788,NO,NO
2789,YES,YES
2792,NO,NO
2793,NO,NO
2794,NO,NO
2796,NO,NO
2803,NO,NO
2804,NO,YES
2806,NO,NO
2809,NO,NO
2810,NO,NO
2811,YES,NO
2812,NO,NO
2813,NO,NO
2814,NO,YES
2815,NO,YES
2816,YES,NO
2817,YES,NO
2818,YES,YES
2819,NO,NO
2820,NO,NO
2822,NO,YES
2823,YES,NO
2827,YES,NO
2828,YES,YES
2831,NO,NO
2832,NO,YES
2833,NO,NO
2834,NO,NO
2836,YES,NO
2838,YES,YES
2842,NO,YES
2843,NO,NO
2845,NO,NO
2846,YES,YES
2847,NO,YES
2849,NO,NO
2852,YES,NO
2855,YES,YES
2856,NO,NO
2857,YES,YES
2860,YES,YES
2861,NO,NO
2862,NO,NO
2864,YES,YES
2865,YES,NO
2866,NO,NO
2867,NO,NO
2869,NO,YES
2872,YES,NO
2873,NO,YES
2881,YES,YES
2882,NO,NO
2883,YES,NO
2884,YES,NO
2886,NO,YES
2889,NO,YES
2890,YES,YES
2891,YES,YES
2892,NO,NO
2893,NO,NO
2908,NO,NO
2910,NO,NO
2912,NO,YES
2913,YES,YES
2914,NO,NO
2918,YES,YES
2920,YES,YES
2921,NO,YES
2922,YES,NO
2923,NO,NO
2924,NO,YES
2925,NO,NO
2926,YES,NO
2927,NO,NO
2928,YES,YES
2929,YES,YES
2932,NO,NO
2933,NO,NO
2934,NO,NO
2935,NO,NO
2937,NO,NO
2938,YES,YES
2939,NO,NO
2941,NO,NO
2946,NO,YES
2947,NO,NO
2948,NO,NO
2950,NO,NO
2951,NO,NO
2952,NO,NO
2955,NO,NO
2956,NO,NO
2957,NO,NO
2958,NO,NO
2959,YES,YES
2962,YES,YES
2963,YES,NO
2966,NO,NO
2967,YES,YES
2968,NO,NO
2973,NO,NO
2978,YES,YES
2980,YES,YES
2985,NO,NO
2986,NO,NO
2987,YES,YES
2988,NO,NO
2989,YES,NO
2990,NO,NO
2991,NO,YES
2993,YES,YES
2994,NO,NO
2996,YES,YES
3004,YES,YES
3014,YES,NO
3017,NO,NO
3018,NO,NO
3035,NO,NO
3044,YES,NO
3053,NO,NO
3055,NO,NO
3056,YES,NO
3057,YES,NO
3058,NO,NO
3059,NO,NO
3060,YES,NO
3061,NO,NO
3067,NO,NO
3075,NO,NO
3081,NO,YES
3087,NO,NO
3088,NO,NO
3093,NO,NO
3102,NO,NO
3103,YES,NO
3106,YES,YES
3107,YES,NO
3112,YES,YES
3118,YES,YES
3119,YES,NO
3136,YES,NO
3137,NO,NO
3150,NO,YES
3151,NO,NO
3163,NO,YES
3167,YES,YES
3169,NO,NO
3170,YES,NO
3177,YES,NO
3180,NO,YES
3182,NO,NO
3188,YES,NO
3191,NO,NO
3192,YES,NO
3197,NO,NO
3201,YES,YES
3205,YES,YES
3206,YES,NO
3207,YES,YES
3208,NO,NO
3209,NO,NO
3210,NO,NO
3213,YES,YES
3215,YES,NO
3217,NO,NO
3218,NO,NO
3220,NO,NO
3222,NO,NO
3224,NO,YES
3225,YES,YES
3226,YES,YES
3227,YES,NO
3229,NO,NO
3230,YES,YES
3231,NO,NO
3232,NO,NO
3233,NO,YES
3234,NO,NO
3235,YES,YES
3237,NO,YES
3239,NO,NO
3241,YES,NO
3245,NO,NO
3247,NO,NO
3248,YES,NO
3250,NO,NO
3251,NO,NO
3254,YES,YES
3255,NO,NO
3258,YES,NO
3259,YES,YES
3260,NO,NO
3261,NO,NO
3262,NO,NO
3267,YES,NO
3268,NO,NO
3271,YES,NO
3273,NO,NO
3274,NO,NO
3276,NO,YES
3277,YES,NO
3278,YES,NO
3279,YES,YES
3282,NO,NO
3283,YES,NO
3284,YES,YES
3285,YES,YES
3286,NO,NO
3288,NO,YES
3289,NO,NO
3293,NO,NO
3294,NO,NO
3295,NO,NO
3296,YES,YES
3297,YES,YES
3298,YES,YES
3300,NO,NO
3302,YES,YES
3304,NO,NO
3305,NO,NO
3307,NO,NO
3308,NO,YES
3309,YES,YES
3310,YES,NO
3311,YES,NO
3313,NO,NO
3319,YES,YES
3320,YES,YES
3322,NO,NO
3324,NO,NO
3328,NO,NO
3331,YES,YES
3336,NO,NO
3342,YES,NO
3347,NO,NO
3348,YES,YES
3349,NO,NO
3350,YES,YES
3351,YES,YES
3352,YES,NO
3362,NO,NO
3363,YES,YES
3364,NO,NO
3366,NO,NO
3367,NO,NO
3370,NO,NO
3371,YES,NO
3372,NO,NO
3379,NO,NO
3380,YES,YES
3381,NO,NO
3382,NO,NO
3383,YES,NO
3384,NO,NO
3386,YES,NO
3387,YES,NO
3388,NO,NO
3389,NO,YES
3390,NO,NO
3391,YES,YES
3394,NO,NO
3395,YES,YES
3397,NO,YES
3400,YES,NO
3401,YES,YES
3402,YES,YES
3403,YES,NO
3404,NO,NO
3406,YES,YES
3407,YES,NO
3408,NO,NO
3415,YES,YES
3417,NO,NO
3418,YES,NO
3423,NO,NO
3425,YES,YES
3427,NO,NO
3428,NO,YES
3430,YES,NO
3431,NO,NO
3432,YES,YES
3433,YES,YES
3434,NO,NO
3435,NO,YES
3436,YES,NO
3439,NO,NO
3445,YES,YES
3447,YES,YES
3453,NO,NO
3454,NO,NO
3455,YES,YES
3458,NO,NO
3459,YES,NO
3460,YES,NO
3461,NO,NO
3462,NO,NO
3463,NO,YES
3464,NO,NO
3465,YES,NO
3471,NO,NO
3472,NO,YES
3473,NO,YES
3474,NO,YES
3476,NO,NO
3477,YES,NO
3482,YES,NO
3483,NO,YES
3484,NO,NO
3485,NO,NO
3486,NO,NO
3487,NO,YES
3488,NO,NO
3492,NO,NO
3493,NO,NO
3494,NO,NO
3495,YES,YES
3497,YES,NO
3498,NO,NO
3499,NO,NO
3500,YES,YES
3502,YES,NO
3503,NO,NO
3505,NO,YES
3510,YES,YES
3511,NO,YES
3513,NO,NO
3515,NO,NO
3516,NO,YES
3518,YES,YES
3522,NO,NO
3523,NO,NO
3525,YES,NO
3526,NO,NO
3527,YES,YES
3528,YES,YES
3529,NO,YES
3531,NO,NO
3533,NO,YES
3534,NO,NO
3537,NO,YES
3538,NO,NO
3566,YES,NO
3567,YES,YES
3568,YES,NO
3569,YES,YES
3570,NO,NO
3571,NO,NO
3572,YES,YES
3580,NO,NO
3581,NO,NO
3582,YES,YES
3584,YES,YES
3585,YES,NO
3587,NO,NO
3589,NO,NO
3590,NO,NO
3591,YES,YES
3595,YES,YES
3596,NO,NO
3597,NO,NO
3601,NO,YES
3602,NO,YES
3608,YES,NO
3609,YES,YES
3611,YES,YES
3612,NO,YES
3616,YES,YES
3620,YES,NO
3621,YES,YES
3623,NO,NO
3624,NO,NO
3625,YES,YES
3626,YES,NO
3627,NO,NO
3630,NO,NO
3631,YES,NO
3632,NO,NO
3640,YES,YES
3641,NO,NO
3643,NO,NO
3645,YES,YES
3648,NO,NO
3650,NO,NO
3652,NO,NO
3658,NO,NO
3659,YES,NO
3660,YES,NO
3693,NO,NO
3700,NO,NO
3701,NO,NO
3702,YES,YES
3705,NO,NO
3708,NO,NO
3709,YES,YES
3710,YES,YES
3712,NO,NO
3716,NO,NO
3717,NO,YES
3722,NO,YES
3725,NO,NO
3726,NO,NO
3728,YES,YES
3729,NO,YES
3730,YES,NO
3731,NO,YES
3732,NO,NO
3733,NO,NO
3734,NO,NO
3739,NO,NO
3741,YES,YES
3742,NO,NO
3747,NO,NO
3748,NO,NO
3749,YES,YES
3750,NO,YES
3754,NO,NO
3757,NO,NO
3758,NO,NO
3760,NO,NO
3761,NO,NO
3762,NO,NO
3763,NO,YES
3764,NO,YES
3765,NO,NO
3771,NO,YES
3773,NO,YES
3777,YES,YES
3778,NO,NO
3781,NO,YES
3782,YES,YES
3783,NO,NO
3784,NO,NO
3785,NO,NO
3786,NO,NO
3789,YES,YES
3790,NO,NO
3791,NO,NO
3792,NO,YES
3794,NO,NO
3796,NO,YES
3799,YES,NO
3801,NO,NO
3805,NO,NO
3806,NO,NO
3809,NO,NO
3812,YES,NO
3823,NO,NO
3824,NO,NO
3825,NO,NO
3826,YES,YES
3827,NO,YES
3828,YES,YES
3829,YES,NO
3835,NO,NO
3837,NO,NO
3840,NO,NO
3847,NO,NO
3848,NO,NO
3850,NO,NO
3851,NO,NO
3852,YES,NO
3853,NO,NO
3857,NO,NO
3858,NO,NO
3860,YES,NO
3864,NO,NO
3867,NO,NO
3868,YES,YES
3872,NO,YES
3874,YES,NO
3875,NO,NO
3876,NO,NO
3877,NO,YES
3884,YES,NO
3886,YES,YES
3887,NO,NO
3888,YES,YES
3889,YES,NO
3891,YES,YES
3893,NO,NO
3894,YES,NO
3896,YES,NO
3897,NO,NO
3947,NO,NO
4049,NO,YES
4055,YES,NO
4063,NO,NO
4065,YES,YES
4068,NO,NO
4101,NO,NO
4102,NO,YES
4103,YES,NO
4108,YES,NO
4111,NO,NO
4112,YES,YES
4115,YES,NO
4118,NO,YES
4129,NO,NO
4130,YES,YES
4131,NO,YES
4132,NO,YES
4137,YES,NO
4144,YES,NO
4161,NO,NO
4162,YES,NO
4163,NO,YES
4164,NO,NO
4165,YES,YES
4166,NO,NO
4168,NO,NO
4171,NO,NO
4176,YES,NO
4183,NO,NO
4185,NO,NO
4187,NO,NO
4194,NO,NO
4195,NO,NO
4200,NO,YES
4201,NO,NO
4202,NO,NO
4203,NO,NO
4208,NO,NO
4209,NO,NO
4215,NO,NO
4216,NO,NO
4219,YES,YES
4221,NO,NO
4223,YES,NO
4224,NO,NO
4226,NO,NO
4230,NO,NO
4231,NO,YES
4232,YES,NO
4235,NO,NO
4237,NO,YES
4238,NO,NO
4239,NO,YES
4240,YES,YES
4241,NO,NO
4243,YES,NO
4244,NO,NO
4246,NO,NO
4247,NO,NO
4249,NO,NO
4250,NO,NO
4252,NO,YES
4253,NO,NO
4255,NO,NO
4256,YES,NO
4257,NO,NO
4259,NO,NO
4260,NO,NO
4262,NO,NO
4272,NO,NO
4273,NO,NO
4274,NO,NO
4277,YES,NO
4278,NO,NO
4279,NO,NO
4281,NO,NO
4283,YES,YES
4284,YES,NO
4285,NO,YES
4286,NO,NO
4288,YES,YES
4295,YES,YES
4298,YES,YES
4299,YES,YES
4303,NO,YES
4309,NO,NO
4317,NO,NO
4318,YES,NO
4321,NO,NO
4322,NO,NO
4323,NO,YES
4325,NO,NO
4330,YES,YES
4332,YES,YES
4333,YES,NO
4334,NO,NO
4335,NO,NO
4336,YES,NO
4337,YES,NO
4340,YES,NO
4341,YES,YES
4352,NO,NO
4355,YES,NO
4356,YES,YES
4358,YES,YES
4365,NO,NO
4368,YES,NO
4370,NO,YES
4372,NO,NO
4374,NO,NO
4377,NO,NO
4381,NO,NO
4383,YES,YES
4384,NO,NO
4392,NO,NO
4393,NO,NO
4394,NO,YES
4395,NO,NO
4399,NO,NO
4405,NO,NO
4407,YES,YES
4409,NO,NO
4410,NO,NO
4412,NO,NO
4414,NO,NO
4416,YES,YES
4417,NO,YES
4420,NO,NO
4423,NO,NO
4424,NO,YES
4427,NO,YES
4428,NO,NO
4435,NO,YES
4436,NO,NO
4438,NO,NO
4439,NO,NO
4440,NO,NO
4444,YES,YES
4446,YES,YES
4450,NO,NO
4457,YES,NO
4458,NO,NO
4459,NO,NO
4460,YES,YES
4461,NO,NO
4471,NO,NO
4472,NO,NO
4475,NO,YES
4477,NO,NO
4479,YES,YES
4482,NO,NO
4483,NO,NO
4484,NO,NO
4487,NO,NO
4488,NO,NO
4497,YES,YES
4499,NO,NO
4503,YES,NO
4506,YES,NO
4508,NO,NO
4509,NO,NO
4511,NO,NO
4512,YES,YES
4520,NO,YES
4521,NO,YES
4526,YES,YES
4529,YES,NO
4531,NO,NO
4533,YES,NO
4538,YES,YES
4540,NO,NO
4553,NO,YES
4554,YES,YES
4556,YES,YES
4557,YES,NO
4558,NO,YES
4564,NO,NO
4567,YES,NO
4568,YES,NO
4569,NO,NO
4574,NO,YES
4581,NO,NO
4583,NO,NO
4588,NO,YES
4590,YES,NO
4593,NO,NO
4594,NO,NO
4599,NO,NO
4600,NO,NO
4601,NO,NO
4606,NO,NO
4609,YES,YES
4611,NO,NO
4615,YES,NO
4616,YES,NO
4627,YES,NO
4631,YES,YES
4635,YES,NO
4637,NO,NO
4639,NO,NO
4641,YES,NO
4653,NO,NO
4660,NO,NO
4664,YES,NO
4677,NO,NO
4678,NO,NO
4679,NO,YES
4681,YES,NO
4683,YES,YES
4689,NO,NO
4690,NO,NO
4695,NO,NO
4696,NO,NO
4699,YES,YES
4734,NO,NO
4849,NO,NO
4865,NO,NO
5003,YES,NO
5022,YES,YES
5023,YES,NO
5025,NO,NO
5028,NO,YES
5029,NO,YES
5030,YES,YES
5031,YES,YES
5032,NO,NO
5033,NO,NO
5034,NO,NO
5035,NO,YES
5036,NO,NO
5037,YES,NO
5041,NO,NO
5044,NO,NO
5045,YES,YES
5046,YES,YES
5048,NO,NO
5049,YES,NO
5051,NO,NO
5054,YES,YES
5055,NO,NO
5056,NO,NO
5057,YES,NO
5058,NO,NO
5060,NO,NO
5063,YES,NO
5064,NO,NO
5065,NO,NO
5066,NO,NO
5070,NO,YES
5071,YES,YES
5072,NO,YES
5073,YES,NO
5075,NO,NO
5078,NO,NO
5079,YES,YES
5080,NO,NO
5082,NO,NO
5085,YES,NO
5087,NO,NO
5088,NO,NO
5089,NO,NO
5090,YES,NO
5091,YES,YES
5092,NO,NO
5096,NO,NO
5097,NO,NO
5099,NO,NO
5101,NO,NO
5104,YES,YES
5113,YES,YES
5115,NO,YES
5116,YES,YES
5118,NO,NO
5123,NO,NO
5124,YES,NO
5126,NO,YES
5127,YES,NO
5133,NO,NO
5134,NO,YES
5136,NO,NO
5137,NO,NO
5139,NO,NO
5140,NO,YES
5141,NO,NO
5144,YES,YES
5145,YES,YES
5146,YES,YES
5147,YES,YES
5150,NO,YES
5151,NO,YES
5152,NO,NO
5154,NO,YES
5155,NO,NO
5156,NO,NO
5157,NO,NO
5159,NO,NO
5160,NO,YES
5162,NO,NO
5165,YES,YES
5166,NO,NO
5167,NO,YES
5168,NO,NO
5170,NO,NO
5172,NO,NO
5173,NO,NO
5174,NO,YES
5175,NO,NO
5184,NO,NO
5185,NO,YES
5189,NO,YES
5190,YES,NO
5191,YES,YES
5192,NO,NO
5193,NO,YES
5196,YES,YES
5197,NO,NO
5199,NO,NO
5203,YES,NO
5210,NO,NO
5211,NO,NO
5214,YES,YES
5215,NO,NO
5216,YES,YES
5218,YES,YES
5219,NO,NO
5220,YES,YES
5231,NO,NO
5232,NO,NO
5233,NO,YES
5234,NO,YES
5235,NO,YES
5236,NO,NO
5244,YES,YES
5245,YES,YES
5246,YES,NO
5247,NO,NO
5250,YES,YES
5251,YES,YES
5252,NO,NO
5254,NO,NO
5260,NO,NO
5261,NO,NO
5262,YES,YES
5263,NO,YES
5264,NO,NO
5266,NO,YES
5270,NO,NO
5272,NO,NO
5273,YES,NO
5275,YES,NO
5276,NO,NO
5280,NO,NO
5285,YES,NO
5287,YES,YES
5288,YES,YES
5292,NO,YES
5296,NO,NO
5298,NO,YES
5299,NO,YES
5300,NO,YES
5301,YES,YES
5303,NO,NO
5305,NO,YES
5307,NO,NO
5309,NO,NO
5311,NO,NO
5312,NO,YES
5313,NO,NO
5316,NO,YES
5317,YES,YES
5319,YES,NO
5320,NO,YES
5325,YES,YES
5326,YES,NO
5329,YES,NO
5330,YES,NO
5331,YES,YES
5334,YES,YES
5335,NO,NO
5337,NO,NO
5338,NO,YES
5341,YES,NO
5342,NO,YES
5346,YES,YES
5347,NO,NO
5348,YES,YES
5350,NO,YES
5352,NO,NO
5355,NO,NO
5359,NO,NO
5361,NO,YES
5363,YES,YES
5368,NO,NO
5369,YES,NO
5370,NO,NO
5373,NO,NO
5374,NO,NO
5376,NO,NO
5385,NO,NO
5386,NO,NO
5387,NO,NO
5388,YES,YES
5389,YES,NO
5390,YES,YES
5391,NO,NO
5392,NO,NO
5394,NO,NO
5396,NO,NO
5397,NO,NO
5398,YES,YES
5399,NO,NO
5402,YES,YES
5403,NO,NO
5409,YES,NO
5410,YES,YES
5411,NO,NO
5416,YES,YES
5417,NO,YES
5418,NO,YES
5419,YES,YES
5420,YES,YES
5422,YES,YES
5424,NO,NO
5425,NO,YES
5428,YES,NO
5429,YES,NO
5430,NO,NO
5432,NO,NO
5433,NO,NO
5434,YES,YES
5435,NO,YES
5438,NO,NO
5440,NO,NO
5441,NO,NO
5442,NO,NO
5443,NO,YES
5444,NO,NO
5449,YES,YES
5455,NO,NO
5458,NO,NO
5460,YES,NO
5461,NO,NO
5462,NO,NO
5463,NO,NO
5466,YES,YES
5471,YES,NO
5472,NO,NO
5477,NO,NO
5479,NO,NO
5480,NO,NO
5481,YES,NO
5482,YES,YES
5483,NO,NO
5485,YES,YES
5486,YES,YES
5487,YES,NO
5489,YES,YES
5491,NO,NO
5492,NO,NO
5494,NO,NO
5499,NO,YES
5612,YES,YES
5616,YES,NO
5617,YES,NO
5626,YES,NO
5628,NO,NO
5629,NO,YES
5632,NO,NO
5641,NO,NO
5644,NO,NO
5667,NO,NO
5668,NO,NO
5669,NO,NO
5671,NO,NO
5672,NO,NO
5673,NO,NO
5676,NO,NO
5686,NO,NO
5701,NO,NO
5703,YES,YES
5705,NO,NO
5706,YES,YES
5707,NO,YES
5709,NO,YES
5710,NO,YES
5713,NO,YES
5717,YES,NO
5727,NO,NO
5728,NO,NO
5735,NO,NO
5743,YES,NO
5745,NO,NO
5747,NO,NO
5748,NO,NO
5751,NO,NO
5761,YES,NO
5763,NO,NO
5764,NO,NO
5766,YES,NO
5768,YES,YES
5772,NO,NO
5786,NO,NO
5787,YES,YES
5793,NO,NO
5797,YES,YES
5799,NO,NO
5802,NO,NO
5803,NO,NO
5806,NO,NO
5807,NO,NO
5808,YES,YES
5809,NO,YES
5810,YES,YES
5812,NO,NO
5814,NO,NO
5823,NO,YES
5835,NO,NO
5839,NO,NO
5841,NO,NO
5842,YES,YES
5843,NO,NO
5844,YES,NO
5845,YES,NO
5848,NO,NO
5851,NO,NO
5853,NO,NO
5854,NO,NO
5857,NO,NO
5859,NO,NO
5861,NO,NO
5864,NO,NO
5866,YES,YES
5869,YES,NO
5871,YES,YES
5872,NO,NO
5874,NO,NO
5879,NO,NO
5882,YES,YES
5883,NO,NO
5884,NO,YES
5886,NO,NO
5889,YES,YES
5890,NO,NO
5893,NO,NO
5894,NO,NO
5898,YES,YES
5911,YES,YES
5912,YES,YES
5927,NO,YES
5929,NO,NO
5930,NO,NO
5932,NO,NO
5935,NO,NO
5938,YES,NO
5947,NO,YES
5956,YES,YES
5957,NO,NO
5959,YES,YES
5964,NO,NO
5965,YES,YES
5968,NO,YES
5976,NO,NO
5977,NO,NO
