Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Tires on Demand ,Non Modular Tires,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
3219,915,920,891,15,12, 86 ,89.1%,134,134,
3220,1320,1331,1290,17,22, 116 ,91.2%,167,167,
3221,1320,1039,943,80,14, 101 ,84.7%,160,160,
3222,1320,958,936,2,18, 83 ,81.9%,169,169,
3223,1320,1136,1050,53,31, 128 ,84.8%,163,163,
3224,1200,1093,1015,45,31, 111 ,90.1%,150,150,
3225,915,893,815,41,35, 80 ,91.3%,124,124,
3226,1320,1085,957,56,70, 124 ,87.1%,160,160,
3227,855,765,627,59,77, 38 ,84.7%,120,120,
3228,1200,1045,923,54,66, 70 ,94.8%,153,153,
3229,498,582,558,14,8, 69 ,88.7%,93,93,
3230,1000,1059,1000,19,38, 120 ,91.5%,150,150,
3232,915,782,677,39,64, 62 ,84.7%,122,122,
3233,1320,1090,1060,9,19, 111 ,81.7%,161,161,
3234,855,899,799,37,61, 62 ,92.9%,126,126,
3237,1320,950,880,31,37, 80 ,81.9%,162,162,
3239,855,861,721,66,72, 79 ,82.4%,122,122,
3241,915,877,795,40,40, 57 ,88.7%,130,130,
3243,1320,1362,1257,76,27, 157 ,91.4%,170,170,
3247,1320,1117,1085,24,6, 119 ,84.9%,163,163,
3250,915,809,680,55,72, 50 ,87.9%,123,123,
3251,855,805,710,31,62, 58 ,90.6%,125,125,
3253,1320,1218,1117,64,35, 130 ,84.3%,162,162,
3254,915,761,738,5,16, 47 ,91.5%,125,125,
3255,1320,1045,968,30,45, 70 ,94.1%,152,152,
3258,855,767,697,37,31, 66 ,78.2%,122,122,
3259,1200,1475,1058,256,159, 97 ,88.1%,155,155,
3260,855,791,690,41,58, 58 ,83.3%,122,122,
3261,855,861,772,37,50, 73 ,85.7%,129,129,
3262,1000,844,809,10,23, 103 ,81.6%,143,143,
3265,855,1388,1204,123,59, 214 ,92.1%,138,138,
3266,1320,1178,1049,48,79, 173 ,89.0%,162,162,
3267,1320,887,771,85,29, 57 ,82.2%,154,154,
3268,915,573,551,11,9, 59 ,71.2%,117,117,
3270,1320,1183,1097,42,42, 119 ,92.4%,167,167,
