Market,Store,FZ Turkey LY Ship,FZ Turkey LY Sold,FZ Turkey TY Ship
167,2263,11,10,12
167,2945,11,15,15
167,3475,13,10,11
167,3501,14,14,15
167,3541,8,8,9
167,4687,13,12,15
167,5239,15,16,18
168,1670,2,2,2
168,1777,13,13,14
168,2145,14,14,15
168,2252,13,13,14
168,2614,14,16,17
168,2641,14,15,16
168,3563,0.5,0.5,0.5
168,3810,10,10,11
168,4612,16,14,17
170,2068,19,19,19
170,2096,10,11,14
170,2445,7,8,9
170,2446,14,14,15
170,2650,17,15,16
170,3564,6,8,9
170,5131,1,1,1
170,5649,8,7,8
171,2156,2,2,2
171,2906,2,2,2
171,2915,1,1,1
171,8331,18,20,22
172,2583,1,1,1
172,2916,1,1,1
172,3420,2,2,2
172,5293,60,62,69
172,5295,21,22,26
173,2163,2,2,2
173,2284,16,15,16
173,3803,0.5,0.5,0.5
174,2003,11,12,12
174,2294,8,7,6
174,2365,11,11,12
174,2368,16,15,17
174,2497,11,11,13
174,2503,6,6,7
175,2633,2,2,2
175,2651,9,7,6
175,2825,2,2,2
175,3078,13,9,9
175,3469,17,13,15
175,4153,15,10,11
175,5201,1,1,1
176,3292,2.5,2.5,2.5
176,3598,2.5,2.5,2.5
176,3912,8,7,9
176,5111,1,1,1
176,5178,1,1,1
176,5447,34,39,44
176,5867,16,17,18
178,1844,0.5,0.5,0.5
178,1977,11,7,7
178,2195,6,6,7
178,3236,10,11,12
178,3830,11,11,12
178,5012,15,14,15
178,5142,13,11,12
178,5414,6,5,6
179,1797,18,18,19
179,1856,37,32,35
179,1924,31,36,36
179,1932,16,16,18
179,2013,18,19,20
179,2047,15,16,16
179,2143,11,12,13
179,2178,54,61,64
179,5076,21,22,22
180,1866,12,13,15
180,1868,16,17,18
180,1939,11,15,14
180,2046,15,17,18
180,2140,16,17,16
180,2183,11,12,12
180,2202,12,12,12
180,2634,15,15,15
180,2681,2,2,2
180,3269,9,8,8
181,1975,15,16,15
181,2332,0.5,0.5,0.5
181,2369,9,10,9
181,2530,0.5,0.5,0.5
181,2639,10,9,9
181,2682,9,9,9
181,2758,6,5,5
181,4156,15,17,15
181,4389,15,17,17
183,1698,5,6,6
183,1749,7,7,8
183,1788,13,14,13
183,1954,9,7,7
183,2055,14,15,13
183,2130,8,7,6
183,2153,14,14,15
183,2330,12,13,13
184,1753,7,7,7
184,1796,9,12,12
184,1907,16,16,16
184,2142,14,11,13
184,2399,8,8,8
187,1871,34,35,37
187,1946,35,36,40
187,1994,38,38,42
187,2092,4,4,4
187,2116,25,22,22
187,2424,14,13,13
187,3329,27,24,25
187,3334,21,21,21
187,4403,15,14,16
187,5497,19,19,20
187,5498,16,18,18
188,1940,16,16,16
188,1997,25,21,21
188,2056,21,23,23
188,2097,11,11,11
188,2152,7,7,7
188,2351,17,17,17
188,2370,13,11,11
188,2504,24,23,26
188,2844,21,20,21
188,3583,12,12,13
189,1677,19,21,22
189,1806,19,18,18
189,2093,16,18,18
189,2146,14,14,15
189,2234,26,28,29
189,2285,22,23,22
189,2444,25,24,25
189,2874,19,19,21
190,1781,22,24,26
190,1835,33,35,34
190,1976,26,28,29
190,2120,23,22,22
190,2135,22,24,24
190,2262,20,22,23
190,2992,24,26,27
190,3221,18,20,19
190,5240,12,12,14
190,5732,12,14,15
191,1705,21,18,18
191,1830,22,23,23
191,1831,17,16,15
191,1926,15,15,15
191,2166,15,16,16
191,2581,18,19,19
191,2911,21,22,23
191,3332,19,20,20
191,5242,18,20,19
192,1619,15,15,16
192,1673,17,17,19
192,1731,13,12,14
192,1744,18,19,20
192,1813,16,16,16
192,2785,10,10,10
192,3280,20,16,15
192,3842,15,14,14
192,5282,10,9,12
194,1949,27,25,24
194,1966,21,24,19
194,1973,29,32,32
194,2159,31,35,35
194,2164,22,21,22
194,2326,1,1,1
194,2405,25,28,29
194,2859,19,16,17
194,5027,15,15,15
195,1909,34,38,34
195,1993,18,20,20
195,2088,22,23,24
195,2107,25,24,27
195,2210,16,17,17
195,2355,17,17,19
195,2586,19,20,20
195,3607,10,12,13
195,4597,21,24,22
196,1542,24,26,27
196,1936,35,38,32
196,2079,15,17,19
196,2100,16,17,17
196,2338,17,17,17
196,2358,20,22,23
196,2417,14,15,16
196,2434,24,27,27
196,2522,16,17,18
196,2545,22,23,22
197,1790,15,16,17
197,2631,15,16,17
197,2872,13,14,14
197,2912,18,20,20
197,3336,12,12,12
197,3476,12,13,12
197,4383,20,19,20
197,5761,9,8,9
197,5842,16,16,17
200,1791,11,12,11
200,1923,14,10,10
200,1942,8,7,7
200,2102,12,13,12
200,2238,15,16,13
200,2493,6,7,6
200,2567,9,7,8
200,3328,13,12,11
200,3453,7,8,8
200,3458,13,14,13
200,3876,8,6,6
200,5386,9,10,10
201,1540,11,10,11
201,2010,21,23,23
201,2061,13,14,14
201,2062,10,9,10
201,2678,12,12,13
201,3436,13,12,13
201,4439,13,13,14
201,5064,8,8,8
201,5065,12,11,10
201,5280,9,10,11
202,1593,15,15,15
202,1642,12,13,14
202,1771,12,12,11
202,1809,18,18,20
202,1836,19,22,22
202,2080,16,15,16
202,2620,7,8,7
202,3791,11,11,12
202,5160,18,20,20
202,5411,9,8,8
202,5472,13,14,13
203,1423,14,14,12
203,1733,10,10,10
203,1754,13,13,15
203,2618,9,8,9
203,2700,13,14,15
203,2869,16,15,16
203,4540,10,8,8
203,5048,10,11,11
203,5893,12,13,14
204,1422,16,17,16
204,1428,21,21,19
204,1432,16,19,20
204,1719,20,22,23
204,1752,18,22,22
204,2014,23,25,26
204,2619,15,17,16
204,2644,12,11,12
204,5097,16,16,16
204,5159,29,31,26
204,5376,19,18,18
205,1592,15,16,16
205,1611,27,30,31
205,1798,25,27,23
205,1928,8,4,4
205,1987,19,21,21
205,2273,15,15,15
205,2354,10,9,10
205,2693,20,21,21
205,3632,16,18,18
205,3726,14,15,15
205,4243,17,19,18
206,2558,1,1,1
206,2559,9,9,9
206,2692,15,15,17
206,2873,13,13,15
206,2959,11,11,10
206,3487,15,13,14
206,4424,15,16,17
206,4660,13,11,11
206,5844,18,19,18
207,1416,8,7,7
207,1913,8,7,7
207,2191,12,14,14
207,2350,10,10,11
207,3445,13,13,12
207,4479,7,8,7
207,5028,11,10,11
207,5029,15,16,14
207,5030,13,13,14
207,5385,10,9,10
208,1707,16,17,20
208,2063,16,16,18
208,2197,28,28,29
208,2211,20,20,22
208,2506,8,8,8
208,2541,18,18,21
208,2910,16,16,18
208,3722,10,11,12
208,3860,11,11,13
209,1863,13,13,14
209,1927,12,14,15
209,2313,15,16,15
209,2359,32,35,39
209,2362,10,10,10
209,3250,12,13,15
209,3293,16,16,18
209,3608,18,18,16
209,5387,17,19,21
213,1429,13,11,12
213,1445,6,7,7
213,1448,17,19,20
213,1539,15,14,14
213,1622,8,8,8
213,1628,14,12,10
213,1986,14,15,17
213,2613,9,10,9
213,3809,9,6,6
213,5309,18,20,21
213,5471,18,17,18
214,1839,16,16,17
214,2073,18,21,22
214,2266,14,15,16
214,2316,16,18,18
214,4255,18,18,19
214,4285,14,15,18
214,5066,15,13,13
214,5082,13,14,15
215,1812,16,17,20
215,1894,15,17,18
215,1911,13,14,16
215,2323,9,9,11
215,2361,1,1,1
215,2914,24,24,25
215,2966,19,20,23
215,5285,16,16,17
215,5410,22,24,26
216,1724,12,12,13
216,1782,30,34,35
216,1937,22,25,28
216,2078,23,25,26
216,2115,18,20,22
216,2149,20,20,21
216,2209,27,29,30
216,2684,21,23,25
216,2823,27,30,32
216,2852,12,13,14
216,3262,19,21,23
216,3581,23,22,24
217,1239,9,8,8
217,1595,8,9,9
217,1990,0.5,0.5,0.5
217,2426,28,17,16
217,2471,7,6,6
217,2725,14,13,13
217,2774,6,6,7
217,3812,5,6,6
217,5185,12,12,13
217,5203,9,9,10
218,1368,19,22,19
218,1427,22,24,25
218,1519,26,28,28
218,1564,31,33,35
218,2400,25,27,29
218,2572,17,17,18
218,2605,28,27,27
218,3251,15,15,17
218,3282,15,14,16
218,3486,18,19,20
218,3515,19,19,20
219,1594,21,18,18
219,2098,22,24,27
219,2726,13,14,14
219,3447,9,7,6
219,3580,26,25,26
219,3792,17,15,16
219,5184,16,15,15
219,5466,14,15,16
219,5857,9,9,10
221,1289,25,19,20
221,1407,13,11,13
221,1441,11,9,9
221,1503,10,11,12
221,1504,6,8,7
221,2309,8,9,9
221,2441,8,8,9
221,3502,11,9,11
221,3571,11,11,12
221,3784,13,12,12
221,5499,11,13,12
222,1264,10,10,12
222,1330,15,14,15
222,1333,8,9,10
222,1433,7,7,8
222,1718,12,11,11
222,1750,15,14,14
222,2542,5,5,5
222,3206,14,13,14
222,3300,15,16,15
222,3840,9,9,10
222,5355,12,13,13
223,1331,11,12,13
223,1410,8,7,8
223,1463,21,23,28
223,1495,13,13,14
223,2124,10,11,11
223,2429,22,24,23
223,3641,16,17,18
223,3765,8,7,8
223,3783,7,7,7
223,5104,8,7,7
223,5409,9,8,9
225,1443,12,11,11
225,1510,12,12,12
225,1521,4,5,5
225,1961,13,12,13
225,2250,11,9,9
225,2447,7,8,9
225,2967,16,16,14
225,3342,13,13,14
225,3749,13,10,11
225,4609,9,9,8
226,1623,21,21,24
226,1884,27,26,28
226,1945,21,22,23
226,2024,19,21,21
226,2064,16,15,15
226,2208,34,37,38
226,2480,21,23,27
226,2543,16,17,18
226,4276,14,16,15
227,1948,19,19,20
227,2193,24,26,29
227,2300,15,17,18
227,2588,22,22,24
227,3738,17,17,19
227,3838,18,18,21
227,4644,15,17,19
228,1656,24,23,26
228,2278,15,17,20
228,2561,21,25,27
228,2597,26,28,29
228,2674,17,18,18
228,2909,20,19,20
228,3253,16,17,18
228,3281,14,15,17
228,3429,20,21,21
228,3514,20,21,21
228,5360,15,15,16
228,5445,15,17,18
229,1568,24,24,27
229,1770,22,24,25
229,1820,24,25,27
229,1883,21,23,26
229,1885,33,37,42
229,2287,22,25,27
229,2540,28,30,31
229,3223,22,25,28
229,4643,10,11,13
231,1765,25,25,24
231,1935,32,35,35
231,2059,21,21,26
231,2318,27,28,29
231,2502,21,22,21
231,2663,25,24,23
231,2664,25,28,28
231,3228,18,14,16
231,5241,22,20,20
231,5356,16,15,14
232,1644,16,18,20
232,1794,16,17,19
232,2169,21,22,24
232,2185,18,21,23
232,2255,14,14,16
232,2481,15,15,15
232,2528,25,26,26
232,2535,16,18,20
232,3412,16,18,19
232,3634,13,15,17
233,1529,32,34,33
233,2023,18,18,23
233,2205,16,18,19
233,2334,19,18,17
233,2340,19,20,21
233,2519,23,24,23
233,2888,18,17,17
233,4404,15,16,16
234,1537,0.5,0.5,0.5
234,1591,17,19,21
234,1823,20,22,23
234,1850,19,20,19
234,1886,22,22,24
234,2574,18,21,24
234,3633,27,28,27
234,5358,15,14,14
234,5469,16,16,17
234,5888,8,9,9
235,1739,36,37,39
235,2019,34,38,39
235,2199,27,29,31
235,2281,26,28,32
235,2420,25,27,29
235,2611,25,26,25
235,4501,18,17,18
235,5088,17,20,23
235,5379,19,21,20
235,5446,16,17,17
237,1607,22,23,22
237,1640,13,13,13
237,1684,1,1,1
237,1769,33,34,34
237,1792,33,37,38
237,2049,40,39,38
237,2129,33,28,28
237,2230,20,19,20
237,4348,29,33,30
237,5470,24,24,24
238,1479,25,25,21
238,1487,11,11,11
238,1576,0.5,0.5,0.5
238,1618,18,20,19
238,2276,16,16,15
238,2544,16,17,16
238,2817,8,8,10
238,2818,16,14,15
238,4631,12,13,13
239,1480,6,7,8
239,1665,15,14,15
239,1728,15,14,15
239,1729,15,16,17
239,1745,16,19,20
239,1758,16,16,15
239,2035,13,16,16
239,2275,6,6,7
239,2388,9,9,9
239,3747,15,13,15
239,5374,15,15,17
242,497,13,13,13
242,526,10,10,11
242,1053,16,14,16
242,3294,15,17,19
242,4450,18,17,17
242,5417,10,10,9
242,5418,12,13,14
242,7290,12,12,11
243,922,19,18,19
243,1033,16,16,17
243,1142,12,13,14
243,1157,13,14,14
243,1160,18,17,17
243,1180,13,14,14
243,1327,24,27,28
243,1476,16,65,53
243,2691,15,15,19
243,2968,13,11,12
243,7087,14,14,14
246,854,10,9,10
246,1329,19,19,20
246,1547,13,12,12
246,1962,17,19,20
246,2339,10,9,10
246,2771,12,11,12
246,3851,18,18,15
247,1294,13,14,15
247,1304,17,15,16
247,1378,17,14,14
247,1425,8,10,11
247,1566,13,10,10
247,1639,10,9,9
247,1667,17,16,18
247,1978,20,21,21
247,2311,11,10,10
247,2679,14,15,15
247,4399,10,8,8
248,1388,11,11,12
248,1419,11,8,9
248,1570,14,16,15
248,1647,18,20,19
248,1709,13,14,14
248,1804,11,10,11
248,2819,10,9,9
248,4230,15,15,17
248,4231,6,8,8
248,5025,14,13,14
249,884,17,17,15
249,1141,20,19,20
249,1459,14,12,13
249,1580,17,17,19
249,2787,9,10,11
249,3435,13,10,11
249,3529,20,18,19
249,5443,14,16,16
249,5483,15,14,15
251,828,15,15,16
251,902,15,15,16
251,995,13,14,13
251,1310,18,18,20
251,1356,17,17,19
251,1991,16,17,18
251,4235,20,19,21
251,4417,18,20,19
253,143,28,24,25
253,204,16,17,17
253,282,21,17,18
253,294,12,12,14
253,430,20,22,23
253,431,18,20,22
253,491,29,32,33
253,653,21,20,22
253,655,21,22,23
253,736,15,15,15
253,3362,20,17,17
254,257,12,10,10
254,299,22,21,22
254,333,16,16,16
254,694,21,23,22
254,701,39,26,23
254,1263,18,19,20
254,1341,18,18,18
254,1676,18,19,20
254,3363,17,17,20
254,5236,17,13,13
254,5728,15,16,17
256,445,31,33,34
256,589,17,19,21
256,709,29,32,35
256,729,16,16,19
256,1165,19,21,23
256,1170,12,13,14
256,1675,11,12,12
256,4118,16,17,18
256,6931,13,14,13
257,569,24,27,30
257,665,21,25,27
257,689,27,29,33
257,711,23,25,28
257,719,26,26,28
257,825,16,17,19
257,1048,24,26,27
257,1190,23,23,24
257,1234,27,29,33
257,2654,12,11,12
258,552,2,2,2
258,739,34,31,34
258,1113,41,42,46
258,1233,44,48,53
258,1247,45,49,54
258,1259,25,26,26
258,1505,51,54,56
258,1743,3,3,3
259,591,14,15,17
259,702,20,21,22
259,1139,36,36,37
259,1140,18,20,21
259,1426,29,31,31
259,1478,32,34,39
259,1569,24,27,26
259,2638,27,27,27
259,3894,16,18,20
259,4461,23,25,27
260,493,15,15,16
260,507,18,20,22
260,519,13,14,14
260,571,15,17,19
260,584,19,19,18
260,692,23,24,23
260,720,11,11,13
260,1210,17,19,20
260,2628,14,14,14
260,2783,15,14,16
262,844,21,21,19
262,852,12,11,12
262,1003,19,17,15
262,1307,15,14,15
262,1386,14,13,13
262,1548,13,12,12
262,2956,12,12,13
262,4323,12,11,11
262,4699,9,9,9
263,802,7,8,7
263,933,11,12,12
263,958,15,14,14
263,1490,15,16,17
263,1740,18,19,21
263,1955,16,15,16
263,2532,14,15,16
263,3837,16,18,19
263,5044,7,8,8
263,5398,9,10,11
264,786,12,13,13
264,1420,9,9,9
264,1553,4,7,7
264,1814,10,10,9
264,1848,5,6,6
264,1898,8,8,8
264,4405,9,9,9
264,5352,7,7,7
264,5442,6,6,7
265,1401,12,14,14
265,1596,7,7,8
265,2215,7,8,8
265,3400,9,9,9
265,3790,7,9,9
265,4286,8,8,9
265,4531,10,10,11
266,1256,12,12,12
266,1497,12,10,10
266,1556,11,12,12
266,3601,11,10,10
266,4049,12,12,12
266,4529,10,9,9
266,5486,7,6,7
266,5965,10,9,11
267,1998,10,10,11
267,2204,9,9,10
267,2816,1,1,1
267,3725,10,9,10
267,5402,10,10,11
267,5617,14,15,15
268,1681,10,10,11
268,1737,7,6,7
268,1892,17,16,16
268,1897,9,7,8
268,1938,13,11,12
268,2815,1,1,1
268,3004,17,15,15
268,5485,10,9,9
269,1228,11,8,9
269,1404,6,6,6
269,1668,9,10,10
269,1735,7,7,8
269,3891,12,10,10
269,3893,8,11,11
269,4177,0.5,0.5,0.5
269,5199,14,13,12
269,5276,1,1,1
270,1211,7,9,9
270,1377,13,12,12
270,1413,14,16,16
270,1531,7,5,6
270,3434,16,17,20
270,3597,14,13,15
270,4641,10,9,9
270,5060,12,11,11
271,196,14,14,14
271,216,21,23,24
271,222,18,19,19
271,233,10,10,10
271,237,22,23,22
271,252,12,12,13
271,262,20,21,22
271,302,13,14,15
271,352,0.5,0.5,0.5
271,596,0.25,0.25,0.25
271,833,11,12,13
272,198,18,20,20
272,213,22,24,25
272,224,20,22,23
272,317,14,14,15
272,435,22,24,23
272,436,15,16,17
272,454,13,11,11
272,506,11,12,11
272,936,22,24,25
272,1395,19,21,21
272,4259,7,8,8
273,254,11,12,12
273,422,15,15,16
273,481,19,21,21
273,550,8,9,9
273,612,10,11,11
273,798,8,8,8
273,1093,10,10,11
273,1734,8,7,8
273,2491,17,18,18
273,2934,12,11,11
273,3255,10,10,10
273,5403,11,11,12
275,200,26,29,30
275,334,13,14,13
275,343,17,17,18
275,609,31,33,35
275,1451,10,10,11
275,1454,29,30,32
275,1602,15,14,15
275,1690,25,26,28
275,2728,15,16,16
275,3210,20,20,20
275,3602,16,18,19
278,197,15,14,15
278,199,13,13,12
278,603,19,19,20
278,1028,19,17,17
278,1125,18,23,25
278,1421,18,18,17
278,3459,11,13,12
278,3460,15,17,18
278,5157,10,8,9
279,633,16,15,16
279,636,14,14,13
279,775,23,22,23
279,792,1,1,1
279,796,20,22,23
279,891,16,18,18
279,2231,18,19,21
279,4511,18,18,19
279,5399,18,19,20
280,1674,28,31,33
280,1703,22,25,27
280,2233,17,19,18
280,2357,20,20,21
280,2551,1.5,1.5,1.5
280,2566,15,15,16
280,2756,18,16,17
280,2790,16,18,18
280,4423,27,26,27
281,1968,18,17,19
281,2045,15,16,15
281,2577,16,15,16
281,3489,8,6,6
281,3780,20,21,21
282,1875,31,30,30
282,2279,16,18,18
282,2435,18,20,21
282,5228,1,1,1
282,5382,15,16,17
283,1985,17,17,16
283,3035,11,13,14
283,5753,8,9,9
283,5936,7,7,7
283,5968,9,8,8
284,1736,25,27,28
284,1741,24,25,28
284,1860,13,13,16
284,2041,2,2,2
284,2555,1.5,1.5,1.5
284,3802,20,22,23
284,5039,29,32,32
284,5436,2,2,2
284,5450,19,18,21
284,5795,13,12,13
285,1890,23,25,28
285,2272,11,12,12
285,2460,22,24,27
285,2514,17,17,20
285,2560,17,19,19
285,2791,21,22,23
285,2931,15,16,20
285,3843,20,19,18
285,4378,18,20,15
286,1406,13,14,14
286,1825,15,14,14
286,2437,13,14,12
286,2564,10,9,8
286,2647,12,12,12
286,3344,23,26,23
286,3573,16,18,16
286,4514,11,13,13
286,5105,21,23,23
286,6952,10,11,11
287,1523,13,13,14
287,1525,11,12,12
287,1730,14,16,18
287,2295,11,13,17
287,2795,11,13,16
287,3869,5,4,4
287,4191,6,5,5
287,4350,10,9,9
287,7032,14,12,13
288,1631,39,23,19
288,1682,18,16,18
288,1687,22,19,19
288,1759,20,21,20
288,1773,19,19,17
288,3214,17,12,14
288,3219,17,18,18
288,3265,24,27,28
288,3831,13,11,13
288,4623,11,9,9
289,1688,11,11,12
289,1811,13,12,12
289,1841,15,15,16
289,2529,19,18,19
289,3216,16,18,21
289,3644,21,23,23
289,4064,18,19,18
289,5253,22,20,22
289,5488,14,15,14
289,5922,14,9,9
290,1424,16,16,17
290,1524,13,15,16
290,1969,12,12,11
290,2160,16,14,14
290,2808,14,13,14
290,2821,14,12,12
290,4476,24,13,11
290,5847,11,11,13
291,1833,19,18,20
291,1852,19,19,18
291,2136,18,20,20
291,2438,13,14,15
291,2520,12,11,12
291,3588,23,24,23
291,4258,13,14,14
291,4638,18,17,19
291,5343,25,25,27
291,5731,13,14,14
292,1904,13,13,13
292,2015,8,9,10
292,2038,11,12,12
292,3077,17,17,18
292,3639,10,10,9
292,5880,5,6,6
292,5969,7,6,6
293,1867,1,1,1
293,2412,19,18,22
293,2436,10,10,10
293,2850,13,13,13
293,3720,17,16,14
293,3804,16,12,13
294,1036,16,17,20
294,1179,11,10,11
294,1217,11,12,12
294,1242,14,12,13
294,1317,12,11,12
294,1663,13,14,15
294,2440,14,13,14
294,4334,11,10,11
294,4428,5,3,4
296,1191,11,11,13
296,1287,17,15,16
296,1288,9,9,11
296,1579,9,7,9
296,2137,16,17,16
296,2256,13,13,15
296,2845,9,8,9
296,3182,6,3,3
296,3612,8,11,11
296,5346,11,12,12
297,1614,8,7,7
297,1953,13,12,12
297,2058,11,5,5
297,4250,7,8,9
297,4484,16,13,15
297,5118,11,15,15
297,5254,8,7,8
297,5292,18,18,20
298,1132,16,18,19
298,1498,10,10,12
298,1558,15,14,16
298,1842,16,13,17
298,2704,13,13,14
298,3304,9,10,11
298,3305,10,11,12
298,3658,13,13,15
298,5320,22,21,23
299,1237,15,16,18
299,1321,17,16,19
299,1372,16,14,17
299,1664,19,20,22
299,2247,12,10,11
299,2836,15,14,17
299,3889,10,11,10
299,4458,12,12,12
299,4499,18,21,23
299,4564,26,24,25
299,5046,17,15,17
299,5743,13,15,12
300,1268,23,23,25
300,1348,13,12,12
300,1352,12,13,12
300,1392,12,10,10
300,1767,27,29,25
300,2580,14,15,18
300,2772,23,26,23
300,4065,12,9,10
300,4273,17,19,21
300,7243,9,8,8
301,1197,29,28,33
301,1354,17,19,22
301,1379,16,11,12
301,1502,16,17,20
301,1527,21,20,24
301,1641,14,11,13
301,1950,14,16,17
301,2000,9,8,8
301,2730,18,16,20
301,4459,16,17,19
301,5851,19,15,18
302,1236,14,13,15
302,1298,17,15,18
302,1300,25,23,25
302,1355,18,20,21
302,1661,18,19,20
302,3701,11,10,11
302,3825,16,16,19
302,3864,22,25,28
302,7009,15,16,17
302,7179,18,16,16
302,7238,6,4,5
304,948,16,14,15
304,1039,19,19,21
304,1060,14,15,16
304,1064,15,13,14
304,1096,12,11,11
304,1131,4,7,7
304,1290,11,12,14
304,1337,11,11,11
304,1662,14,14,15
304,4224,16,17,17
304,4410,11,13,14
305,1034,18,18,17
305,1209,14,14,16
305,1385,13,10,11
305,1464,19,35,32
305,4274,16,16,18
305,4594,14,14,14
305,5085,10,11,13
305,5298,11,11,12
305,5481,5,7,7
305,5745,18,16,18
306,1027,10,9,9
306,1133,10,9,10
306,1156,15,12,13
306,2005,18,17,19
306,2134,7,6,7
306,4574,12,12,14
306,5747,11,11,11
306,5879,8,8,9
308,1322,13,12,13
308,1552,15,15,18
308,1613,11,10,11
308,1849,16,14,15
308,2472,13,10,12
308,2793,12,9,10
308,3503,15,13,14
308,3626,16,14,15
308,4477,11,8,9
308,6789,9,9,11
309,877,16,14,16
309,1010,13,14,14
309,1097,14,15,16
309,1255,16,16,16
309,1452,0.5,0.5,0.5
309,1666,10,8,9
309,2908,10,9,11
309,3371,12,8,8
309,3700,19,12,12
309,5063,11,8,8
310,1155,16,16,18
310,1238,18,17,19
310,1261,14,12,14
310,1312,9,9,10
310,1774,18,16,17
310,2929,14,11,11
310,3595,19,18,18
310,5489,9,8,9
310,5787,10,10,11
310,6879,11,12,15
310,6958,16,16,18
311,154,16,18,20
311,1023,23,21,21
311,1302,25,27,31
311,1763,28,30,33
311,2089,18,19,20
311,2761,16,17,18
311,3270,12,13,14
311,3303,12,13,13
311,3480,15,15,17
311,3772,23,25,27
312,1243,14,14,16
312,1292,9,8,8
312,1301,16,16,17
312,1309,10,8,9
312,1652,11,11,12
312,2312,11,9,10
312,2337,12,13,13
312,2762,10,8,8
312,3243,12,11,11
312,3770,11,12,13
314,1345,12,13,14
314,1465,16,17,17
314,1486,18,22,21
314,1934,14,14,14
314,2645,6,5,5
314,2705,13,11,11
314,2805,13,12,14
314,3768,5,6,7
314,4636,14,16,15
315,1335,14,13,13
315,1344,12,12,13
315,1350,23,23,23
315,1399,11,13,14
315,1726,7,8,8
315,1780,10,11,12
315,2565,16,18,17
315,2807,6,8,9
315,4682,30,30,34
315,4697,10,11,12
315,5117,13,13,14
316,1450,22,25,27
316,2244,22,25,27
316,2548,38,41,45
316,2576,63,56,51
316,2610,43,45,48
316,2792,12,14,13
316,2810,13,12,13
316,2849,36,33,28
316,4277,36,36,34
316,5296,24,25,25
317,1351,27,28,28
317,1360,22,23,24
317,1477,25,28,28
317,1499,25,28,31
317,2036,42,42,44
317,2646,8,9,9
317,2662,10,11,11
317,2933,23,26,27
317,4278,44,48,50
317,5319,30,31,32
317,6951,15,15,15
320,1522,22,23,27
320,1544,31,34,36
320,1653,18,18,18
320,1714,23,25,29
320,2027,45,50,50
320,2083,16,16,19
320,2474,20,22,21
320,2696,11,10,10
320,2809,19,19,19
320,2833,11,14,15
320,2894,25,27,28
320,3215,21,23,26
320,4372,16,18,20
321,16,30,34,34
321,55,11,12,13
321,66,19,20,21
321,67,21,20,23
321,125,31,32,36
321,141,30,33,35
321,209,1,1,1
321,230,1,1,1
321,279,9,9,10
321,358,13,14,16
321,388,16,19,18
321,3231,15,16,17
322,2,30,30,29
322,54,14,14,14
322,76,17,19,21
322,144,21,21,23
322,359,16,18,19
322,373,5,5,6
322,914,16,16,17
323,1,19,21,21
323,4,24,24,25
323,100,40,31,34
323,4108,25,26,29
323,5260,23,23,24
323,5261,25,25,27
324,85,21,20,20
324,124,15,16,18
324,126,10,10,11
324,3230,18,21,20
324,4460,16,14,14
324,5244,10,7,8
324,5706,12,14,15
325,33,7,8,9
325,52,24,27,24
325,58,27,28,27
325,127,15,17,16
325,133,7,5,5
325,261,23,22,24
325,296,16,19,18
325,318,12,12,12
325,336,12,13,13
325,1065,8,7,8
325,5433,14,15,16
326,5,22,24,28
326,7,19,20,19
326,8,16,16,18
326,24,14,16,18
326,169,11,12,13
326,1105,14,13,15
326,2575,14,14,17
326,2587,28,29,30
326,4168,17,17,18
327,83,7,8,9
327,102,13,12,11
327,167,7,7,8
327,171,7,7,8
327,348,12,13,14
327,530,17,16,17
327,714,8,7,9
327,3331,20,23,23
328,11,30,32,37
328,18,10,11,12
328,71,20,23,25
328,119,20,22,26
328,157,30,34,34
328,160,24,26,28
328,281,16,14,16
328,788,14,15,16
328,1114,14,16,16
328,1147,13,15,15
329,36,23,25,27
329,45,15,15,16
329,62,7,10,9
329,68,12,10,11
329,70,12,14,14
329,74,6,5,6
329,91,8,9,10
329,128,11,12,13
329,190,18,18,22
329,229,9,10,10
333,15,31,36,37
333,32,1,1,1
333,56,10,13,13
333,379,14,19,22
333,444,15,19,21
333,837,1,1,1
333,1009,16,20,24
333,2175,19,21,22
333,2221,21,26,25
333,2702,17,22,23
333,4381,28,31,36
334,13,15,16,17
334,17,22,24,26
334,34,14,18,21
334,48,15,16,18
334,59,27,28,29
334,79,21,23,25
334,92,19,21,23
334,267,18,18,20
334,338,10,13,14
334,888,9,23,20
334,7249,10,10,11
335,9,19,21,24
335,19,37,41,45
335,30,17,18,20
335,37,32,35,36
335,69,38,43,46
335,82,15,13,13
335,95,30,35,38
335,122,15,15,17
335,152,25,28,29
335,188,27,30,33
335,337,16,18,20
336,21,30,34,33
336,29,27,30,33
336,65,18,20,23
336,89,25,29,32
336,101,25,27,26
336,219,29,32,34
336,354,15,17,18
336,357,22,24,23
336,815,16,18,19
336,5477,16,19,18
339,60,26,29,30
339,145,14,13,14
339,243,28,31,30
339,648,22,24,25
339,1021,17,18,20
339,1161,20,22,24
339,1188,7,6,6
339,1265,11,11,13
339,2600,18,20,17
339,2616,24,27,30
339,5313,27,27,28
339,5927,13,14,14
340,99,20,19,20
340,172,28,31,32
340,295,16,19,20
340,313,28,32,32
340,805,23,25,26
340,1177,15,13,14
340,1514,34,35,37
340,2213,17,17,19
340,2694,13,15,14
340,3061,11,8,8
340,5150,16,16,17
341,201,19,21,22
341,253,18,18,19
341,256,26,28,29
341,328,25,24,23
341,361,17,17,20
341,1071,22,24,27
341,1418,18,20,25
