Store,Program,Wk,Pallet Count
70,Intimates, 20 ,1 
70,Kids,22,1
70,Kids,23,1
70,Kids,22,1
70,Kids,22,1
70,Kids,22,1
70,Kids,23,2
70,Kids,22,1
70,Kids,23,1
70,Kids,22,1
70,Kids,22,1
70,Kids,22,1
70,Kids,23,2
70,Kids,22,1
70,Kids,23,2
70,Kids,22,1
70,Kids,23,1
70,Kids,22,1
70,Kids,23,2
71,Mens,18,1 
71,Intimates, 20 ,1 
71,Kids,22,1
72,Intimates, 20 ,1 
72,Intimates, 20 ,1 
72,Intimates, 20 ,1 
72,Kids,22,1
72,Kids,22,1
72,Kids,22,1
72,Kids,22,1
72,Kids,22,1
72,Kids,22,1
73,Mens,18,1 
73,Mens,26,1 
73,Intimates, 20 ,1 
73,Intimates, 20 ,1 
73,Intimates, 20 ,1 
73,Kids,22,1
73,Kids,22,1
73,Kids,22,1
75,Mens,18,1 
75,Mens,18,1 
75,Mens,26,1 
75,Intimates, 20 ,2 
75,Intimates, 20 ,1 
75,Intimates, 24 ,1 
75,Intimates, 20 ,1 
75,Kids,22,1
75,Kids,22,1
75,Kids,23,1
75,Kids,22,1
75,Kids,23,1
75,Kids,22,1
75,Kids,22,1
75,Kids,23,2
75,Kids,22,1
75,Kids,22,1
75,Kids,22,1
75,Kids,22,1
75,Kids,22,1
75,Kids,23,1
75,Kids,22,1
75,Kids,23,1
75,Uniforms,21,1
76,Mens,18,1 
76,Intimates, 20 ,1 
76,Intimates, 20 ,1 
76,Intimates, 20 ,1 
77,Intimates, 20 ,1 
77,Intimates, 20 ,1 
77,Intimates, 20 ,1 
77,Kids,22,1
77,Kids,22,1
77,Kids,22,1
77,Kids,22,1
78,Intimates, 20 ,1 
78,Intimates, 20 ,1 
78,Kids,22,1
79,Mens,23,1 
79,Mens,23,1 
79,Intimates, 20 ,2 
79,Intimates, 20 ,1 
79,Intimates, 20 ,1 
79,Kids,22,1
79,Kids,23,1
79,Kids,22,1
79,Kids,23,1
79,Kids,22,1
79,Kids,22,1
79,Kids,23,1
79,Kids,22,1
79,Kids,22,1
79,Kids,22,1
79,Kids,22,1
79,Kids,22,1
80,Mens,18,1 
80,Intimates, 20 ,1 
80,Kids,22,1
80,Kids,22,1
80,Kids,22,1
80,Kids,22,1
83,Mens,28,1 
83,Mens,28,1 
83,Mens,28,1 
83,Intimates, 20 ,1 
83,Intimates, 20 ,1 
83,Kids,22,1
83,Kids,22,1
83,Kids,22,1
85,Mens,23,1 
85,Mens,24,1 
85,Mens,28,1 
85,Mens,29,1 
85,Mens,18,1 
85,Intimates, 28 ,1 
85,Intimates, 32 ,1 
85,Intimates, 20 ,1 
85,Intimates, 20 ,1 
85,Intimates, 28 ,1 
85,Intimates, 32 ,1 
85,Intimates, 20 ,1 
