Market #,REGION,Store #,Status,Trend,First_Carrier_Assigned,Service_Type,Weeks With Status,Max_WM_WK_ID,OTD - Last 4 Weeks,OTP - Last 4 Weeks,OWT - Last 4 weeks,Express_Cancel-Rate -Last 4 Weeks,OTD The Latest Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
465,57,3477,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,80.70%,66%,9.21,6.80%,87.30%,70.30%,76.00%,86.90%
396,57,1560,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,72.90%,59%,9.19,4.20%,59.50%,81.70%,74.50%,79.10%
445,57,1914,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,64.10%,51%,13.79,9.10%,66.00%,53.50%,76.90%,50.90%
394,57,2592,Active Monitoring,Degrading,POSTMATES,Standard & Express,3,202150,87.80%,78%,5.87,5.60%,88.70%,84.30%,95.40%,83.40%
394,57,3473,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,83.60%,76%,6.24,4.50%,75.30%,85.80%,87.60%,85.90%
461,57,1747,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,85.90%,69%,8.73,3.50%,82.30%,85.50%,84.80%,90.60%
449,57,2001,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,79.50%,57%,8.95,3.20%,86.30%,72.40%,82.50%,77.20%
481,61,2226,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,75.40%,58%,10.14,1.90%,77.70%,62.40%,71.10%,88.60%
484,57,2401,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,91.00%,79%,7.92,,87.50%,93.90%,100.00%,85.70%
401,54,1708,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,90.70%,76%,4.89,3.70%,87.70%,89.70%,93.80%,93.70%
401,54,1708,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,79.90%,75%,4.89,,79.40%,81.60%,74.80%,85.90%
401,54,3366,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,87.20%,72%,6.12,0.80%,89.90%,87.70%,89.30%,80.50%
383,54,7199,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,83.00%,61%,8.75,2.30%,96.00%,79.70%,83.90%,76.90%
383,54,7199,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,65.60%,53%,8.75,,70.40%,67.80%,65.80%,56.90%
582,54,1827,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,64.70%,88%,3.18,21.10%,75.70%,75.40%,44.80%,62.60%
403,54,3589,Active Monitoring,Degrading,SPARK,Standard Only,2,202150,73.90%,96%,3.47,,71.90%,64.00%,85.80%,71.90%
403,54,5235,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,71.30%,61%,10.52,12.90%,63.90%,72.70%,72.40%,73.90%
403,54,5763,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,80.60%,58%,8.2,1.70%,81.00%,76.10%,85.40%,80.80%
89,9,2843,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,77.90%,59%,7.5,5.30%,82.90%,70.50%,88.20%,72.70%
115,9,666,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,87.30%,79%,8.85,5.70%,80.00%,91.50%,92.70%,82.40%
110,9,2814,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,79.20%,74%,7.81,2.20%,85.50%,87.20%,69.60%,75.10%
92,9,649,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,62.30%,44%,13.34,18.80%,81.40%,62.70%,56.90%,53.90%
105,9,4063,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,82.90%,70%,4.79,7.40%,82.60%,83.80%,77.40%,87.50%
438,53,1669,Active Monitoring,Degrading,ROADIE,Standard & Express,3,202150,84.90%,76%,6.71,7.60%,82.00%,83.10%,92.30%,81.90%
438,53,1669,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,82.30%,74%,6.71,3.40%,79.00%,83.80%,83.60%,83.30%
263,53,1955,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,81.20%,60%,11.09,5.30%,84.40%,91.70%,74.50%,75.40%
439,53,2986,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,83.50%,82%,5.3,3.70%,81.70%,84.40%,83.30%,84.60%
439,53,1828,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,89.60%,87%,4.45,15.20%,88.40%,91.50%,87.80%,90.50%
444,53,2452,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,71.00%,53%,13.48,14.60%,74.70%,68.40%,66.00%,74.70%
444,53,3324,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,81.40%,59%,7.47,3.90%,77.80%,83.30%,85.50%,79.70%
450,56,5710,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,77.90%,61%,9.5,4.70%,81.80%,84.80%,75.20%,41.30%
511,56,1840,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,85.20%,63%,8.13,,82.60%,83.60%,96.90%,77.20%
392,56,2189,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,68.80%,69%,9.09,4.80%,71.30%,68.60%,71.10%,66.10%
392,56,2189,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,66.60%,78%,9.09,,78.40%,70.50%,62.90%,60.10%
392,56,3277,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,77.80%,56%,9.28,3.40%,81.40%,82.60%,77.90%,68.90%
453,56,1704,Active Monitoring,Degrading,POSTMATES,Standard & Express,3,202150,81.10%,53%,10.91,5.50%,86.10%,81.70%,82.50%,71.00%
399,56,5841,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,74.70%,70%,8.73,7.00%,81.80%,72.10%,66.50%,80.10%
512,61,2486,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,88.10%,89%,5.29,6.40%,88.00%,88.50%,88.10%,87.80%
246,21,3851,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,81.10%,74%,6.05,4.60%,74.10%,80.80%,87.00%,81.80%
247,21,1329,Active Monitoring,Degrading,POINTPICKUP,Express Only,2,202150,82.40%,96%,4.48,27.30%,60.00%,100.00%,83.30%,100.00%
239,21,1728,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,77.80%,71%,11.39,19.70%,74.30%,73.00%,82.80%,83.50%
248,21,2311,Active Monitoring,Degrading,POINTPICKUP,Express Only,2,202150,75.80%,95%,5.3,27.30%,66.70%,90.00%,87.50%,55.60%
223,21,3783,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,75.90%,63%,11.32,19.00%,59.70%,80.90%,94.90%,56.10%
223,21,3783,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,64.20%,67%,11.32,,62.90%,69.40%,72.60%,52.10%
223,21,3641,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,77.00%,59%,5.94,5.70%,71.30%,81.90%,83.70%,72.50%
225,21,2250,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,69.40%,57%,6.71,5.70%,54.30%,77.50%,78.80%,69.50%
253,41,655,Active Monitoring,Recovering,POINTPICKUP,Express Only,3,202150,74.50%,84%,4.65,26.10%,90.00%,69.20%,54.50%,84.60%
13,14,1229,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,84.60%,73%,8.67,6.50%,96.50%,77.70%,93.30%,67.60%
13,14,1229,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,96.20%,96%,8.67,,96.20%,,,
13,14,2111,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,86.90%,70%,7.26,3.30%,93.10%,92.80%,85.30%,79.20%
13,14,2111,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,85.70%,79%,7.26,12.50%,85.70%,,,
1,14,853,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,77.50%,75%,8.06,10.80%,88.60%,73.50%,85.00%,61.80%
1,14,853,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,100.00%,94%,8.06,,100.00%,,,
10,14,355,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,1,202150,81.50%,74%,8.26,8.50%,83.50%,82.90%,78.80%,80.60%
10,14,355,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,93.20%,79%,8.26,,98.30%,87.80%,93.00%,90.80%
11,14,764,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,2,202150,90.20%,88%,6.67,8.00%,92.50%,91.30%,89.50%,86.90%
51,5,2918,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,91.40%,81%,6.68,2.60%,96.20%,89.50%,93.70%,83.40%
74,5,535,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,2,202150,87.10%,60%,7.01,8.90%,86.90%,85.20%,93.20%,82.60%
74,5,535,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,89.50%,61%,7.01,4.20%,94.60%,82.40%,93.80%,86.70%
44,5,3285,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,86.20%,75%,8.17,4.40%,94.30%,85.60%,87.10%,78.50%
44,5,3631,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,76.30%,65%,9.28,4.00%,90.50%,72.10%,84.70%,61.60%
479,5,940,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,84.00%,70%,6.39,4.30%,98.10%,75.40%,80.30%,84.10%
479,5,5247,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,84.30%,77%,6.27,6.70%,95.30%,77.20%,85.60%,79.30%
83,5,5479,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,88.50%,64%,8.03,5.80%,95.70%,87.90%,85.50%,87.40%
83,5,5479,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,86.60%,60%,8.03,,90.70%,83.40%,89.70%,84.00%
183,16,2330,Active Monitoring,Recovering,ROADIE,Standard & Express,1,202150,90.80%,82%,5.53,2.00%,92.90%,90.30%,96.40%,82.80%
160,16,2021,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,82.50%,68%,7.71,1.00%,95.90%,80.00%,93.30%,63.90%
160,16,2953,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,1,202150,91.70%,87%,5.69,14.10%,90.10%,89.10%,96.50%,92.30%
308,26,1849,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,83.10%,75%,7.28,7.00%,91.00%,75.70%,85.40%,79.50%
432,47,5361,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,85.10%,73%,6.37,4.90%,97.70%,69.50%,85.00%,97.00%
28,3,639,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,90.40%,78%,8.42,,92.00%,95.20%,95.30%,79.30%
98,3,3702,Active Monitoring,Recovering,POSTMATES,Standard & Express,3,202150,86.30%,69%,8.66,1.80%,90.60%,90.40%,84.50%,76.80%
98,3,3702,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,91.10%,79%,8.66,,94.60%,91.00%,95.10%,84.80%
204,19,5097,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,89.60%,78%,4.13,,95.40%,87.70%,96.00%,79.70%
204,19,5097,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,83.20%,77%,4.13,,85.70%,83.10%,82.30%,80.40%
206,19,2631,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,87.60%,80%,6.34,5.40%,92.80%,82.90%,95.60%,77.30%
206,19,2631,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,91.70%,89%,6.34,10.00%,91.70%,,,
206,19,3476,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,86.80%,77%,7.11,2.20%,93.50%,92.90%,94.30%,71.10%
206,19,3476,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,88.40%,77%,7.11,,91.50%,90.60%,94.90%,79.00%
206,19,5844,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,86.00%,76%,8.32,4.80%,90.70%,86.00%,86.60%,80.90%
206,19,5844,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,88.60%,71%,8.32,,91.70%,85.70%,87.40%,88.80%
207,19,3445,Active Monitoring,Recovering,ROADIE,Standard & Express,1,202150,90.70%,84%,6.41,5.90%,95.60%,96.10%,87.70%,87.70%
207,19,3445,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,89.40%,81%,6.41,,100.00%,93.50%,90.00%,82.40%
47,44,417,Active Monitoring,Recovering,POINTPICKUP,Express Only,1,202150,89.80%,96%,5.85,15.90%,90.90%,92.90%,85.00%,88.90%
352,44,389,Active Monitoring,Recovering,POSTMATES,Standard & Express,3,202150,91.00%,79%,8.59,2.00%,98.50%,94.70%,96.00%,75.70%
352,44,1626,Active Monitoring,Recovering,POSTMATES,Standard & Express,3,202150,92.80%,85%,5.54,4.80%,98.20%,87.40%,98.20%,84.30%
345,44,168,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,91.20%,68%,5.51,,92.10%,87.70%,95.50%,89.90%
131,13,2132,Active Monitoring,Recovering,POSTMATES,Standard & Express,3,202150,63.60%,47%,12.38,5.30%,100.00%,31.40%,78.90%,59.50%
130,13,935,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,77.90%,59%,10.22,3.50%,91.10%,97.40%,65.30%,54.90%
470,60,2314,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,82.30%,66%,8.24,4.60%,90.80%,73.20%,87.60%,76.30%
514,60,2385,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,74.20%,79%,6.11,2.20%,93.00%,54.60%,50.00%,79.40%
514,60,3794,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,72.80%,69%,8.07,6.20%,91.60%,40.00%,66.60%,85.70%
264,25,786,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,80.70%,69%,8.94,5.30%,94.00%,65.90%,78.00%,90.80%
269,25,5199,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,82.10%,59%,9.13,5.70%,94.50%,71.70%,88.00%,73.30%
267,25,5781,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,90.60%,94%,4.84,7.50%,94.60%,90.20%,94.80%,85.30%
265,25,1401,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,87.90%,67%,7.44,3.10%,93.90%,85.80%,84.50%,88.00%
233,22,2340,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,88.20%,80%,6.87,16.00%,92.60%,87.00%,89.40%,84.60%
165,22,1742,Active Monitoring,Recovering,POSTMATES,Standard & Express,1,202150,80.10%,66%,8.52,5.40%,93.20%,60.40%,89.60%,75.50%
165,22,1742,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,91.70%,77%,8.52,,96.60%,84.50%,98.40%,87.60%
288,75,3219,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,89.60%,83%,7.5,,91.90%,84.40%,94.20%,88.80%
281,75,1968,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,1,202150,87.60%,83%,7.63,10.70%,95.40%,63.30%,90.60%,84.60%
281,75,2577,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,81.30%,68%,9.13,4.40%,94.90%,72.30%,86.50%,69.60%
281,75,2577,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,88.60%,70%,9.13,,88.50%,85.40%,96.00%,84.90%
284,75,1736,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,77.70%,58%,9.85,4.80%,94.00%,80.30%,68.80%,61.70%
284,75,1736,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,82.30%,74%,9.85,,86.20%,87.40%,80.00%,75.80%
283,75,5941,Active Monitoring,Recovering,DOORDASH,Express Only,2,202150,88.60%,86%,7.82,6.90%,91.60%,72.70%,94.30%,90.00%
290,75,2808,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,2,202150,89.60%,90%,6.29,10.10%,90.80%,89.50%,91.00%,86.60%
423,52,5977,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,82.50%,70%,7.65,5.00%,90.20%,83.90%,83.80%,77.60%
36,4,1146,Active Monitoring,Recovering,ROADIE,Standard & Express,3,202150,89.10%,86%,5.66,3.40%,92.00%,85.20%,90.40%,88.00%
42,4,638,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,88.00%,73%,7.32,4.00%,90.30%,92.10%,94.30%,76.80%
214,20,1839,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,88.10%,78%,8.48,2.90%,98.30%,97.40%,94.00%,69.10%
216,20,2115,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,93.80%,81%,6.04,2.10%,95.20%,93.00%,97.90%,88.30%
215,20,2323,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,91.50%,78%,6.39,6.40%,98.00%,96.20%,93.60%,84.40%
215,20,2323,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,94.20%,87%,6.39,,97.30%,95.90%,94.30%,89.70%
209,20,2359,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,90.70%,88%,7.06,7.70%,97.90%,90.20%,95.90%,81.00%
209,20,2359,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,92.90%,79%,7.06,,93.50%,99.10%,93.30%,86.50%
209,20,3608,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,87.30%,70%,6.92,2.00%,97.40%,86.40%,94.40%,75.70%
367,46,1240,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,89.90%,75%,8.16,,91.90%,93.10%,88.70%,85.20%
367,46,1240,Active Monitoring,Recovering,UBER,Standard & Express,2,202150,89.30%,73%,8.16,2.60%,93.40%,91.20%,89.50%,79.30%
577,17,3795,Active Monitoring,Recovering,DOORDASH,Standard Only,3,202150,83.90%,90%,4.28,,90.00%,86.20%,86.00%,74.20%
577,17,5752,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,1,202150,86.00%,88%,5.83,8.70%,93.60%,90.30%,92.50%,77.90%
172,17,5295,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,90.70%,81%,6.79,9.60%,95.10%,88.90%,88.30%,89.20%
19,2,3401,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,87.60%,86%,4.89,3.10%,94.70%,79.20%,90.40%,86.60%
19,2,3401,Active Monitoring,Recovering,SPARK,Standard & Express,3,202150,80.50%,98%,4.89,,80.50%,,,
26,2,518,Active Monitoring,Recovering,ROADIE,Standard & Express,1,202150,91.90%,80%,6.12,5.30%,94.70%,90.40%,93.20%,89.90%
25,2,1720,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,86.50%,73%,5.72,4.80%,94.40%,96.20%,63.80%,85.60%
25,2,1720,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,90.80%,80%,5.72,,89.00%,95.90%,84.70%,92.50%
86,6,2599,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,91.20%,84%,5.01,3.30%,94.80%,89.10%,94.70%,85.90%
85,6,321,Active Monitoring,Recovering,POINTPICKUP,Express Only,1,202150,79.20%,100%,6.43,32.50%,100.00%,66.70%,83.30%,71.40%
135,42,307,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,81.50%,65%,9.28,,92.60%,71.40%,93.40%,61.70%
466,57,2218,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,2,202150,90.40%,81%,5.41,8.60%,95.90%,88.00%,94.00%,84.50%
448,57,5162,Active Monitoring,Recovering,POSTMATES,Standard & Express,1,202150,84.50%,68%,6.76,4.30%,91.60%,75.60%,88.80%,80.90%
382,54,1508,Active Monitoring,Recovering,ROADIE,Express Only,2,202150,88.20%,90%,6.78,4.80%,100.00%,83.30%,80.00%,100.00%
403,54,1686,Active Monitoring,Recovering,SPARK,Standard Only,1,202150,83.60%,75%,3.63,,90.70%,91.20%,75.30%,72.30%
403,54,3568,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,93.10%,87%,2.83,,95.90%,96.80%,87.20%,91.40%
403,54,5350,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,87.30%,73%,6.91,3.80%,96.20%,86.00%,76.70%,89.60%
90,9,1220,Active Monitoring,Recovering,SPARK,Standard & Express,2,202150,90.00%,80%,6.02,3.10%,92.90%,87.50%,94.20%,85.90%
107,9,3348,Active Monitoring,Recovering,POSTMATES,Standard & Express,2,202150,85.20%,73%,6.58,10.50%,94.50%,67.10%,90.40%,82.40%
107,9,4446,Active Monitoring,Recovering,POSTMATES,Standard & Express,1,202150,84.60%,74%,6.93,6.60%,95.90%,86.10%,88.80%,72.70%
438,53,5127,Active Monitoring,Recovering,ROADIE,Standard & Express,1,202150,88.30%,77%,4.27,2.10%,93.80%,87.90%,87.60%,82.50%
442,53,1776,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,90.50%,85%,3.94,2.00%,95.10%,86.70%,93.00%,86.80%
439,53,1982,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,90.00%,78%,8.06,2.70%,91.00%,92.30%,95.00%,81.60%
435,53,1167,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,95.40%,90%,4.31,2.10%,98.70%,92.00%,95.80%,95.40%
435,53,1167,Active Monitoring,Recovering,SPARK,Standard & Express,1,202150,77.20%,78%,4.31,,83.20%,74.00%,75.00%,75.30%
450,56,2039,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,2,202150,86.40%,76%,6.36,6.50%,93.20%,87.90%,82.10%,78.50%
392,56,3408,Active Monitoring,Recovering,ROADIE,Standard & Express,2,202150,81.10%,69%,8.6,18.60%,96.10%,83.50%,48.00%,75.30%
392,56,4370,Active Monitoring,Recovering,POINTPICKUP,Express Only,3,202150,88.60%,85%,10.83,9.50%,92.70%,88.20%,86.00%,87.80%
392,56,5864,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,1,202150,87.30%,88%,3.11,21.90%,91.20%,88.80%,86.30%,82.60%
453,56,1651,Active Monitoring,Recovering,POSTMATES,Standard & Express,1,202150,85.60%,52%,10,3.20%,93.70%,77.40%,84.80%,89.90%
399,56,2862,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,89.70%,75%,4.12,2.00%,95.00%,86.70%,88.70%,88.80%
455,56,1988,Active Monitoring,Recovering,DOORDASH,Standard & Express,1,202150,92.80%,81%,5.9,2.80%,92.70%,94.20%,96.70%,87.00%
400,56,1902,Active Monitoring,Recovering,POSTMATES,Standard & Express,1,202150,88.80%,81%,6.4,3.10%,96.90%,89.40%,81.70%,87.30%
217,21,2725,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,86.40%,70%,8.29,6.70%,100.00%,89.50%,92.10%,74.20%
223,21,1331,Active Monitoring,Recovering,POINTPICKUP,Standard & Express,3,202150,91.10%,84%,6.17,6.00%,91.40%,93.60%,93.50%,86.40%
225,21,2967,Active Monitoring,Recovering,DOORDASH,Standard & Express,3,202150,91.20%,96%,5.18,6.50%,96.00%,90.40%,96.10%,81.50%
219,21,3792,Active Monitoring,Recovering,DOORDASH,Standard & Express,2,202150,91.60%,79%,5.89,2.10%,94.40%,93.90%,97.40%,80.80%
242,41,7290,At Risk,Degrading,POSTMATES,Standard & Express,4,202150,80.30%,79%,6.12,3.70%,81.20%,76.60%,87.90%,76.50%
254,41,694,At Risk,Degrading,SPARK,Standard & Express,5,202150,82.10%,72%,8.46,7.40%,81.80%,75.10%,92.20%,78.40%
256,41,1165,At Risk,Degrading,POSTMATES,Standard & Express,4,202150,76.80%,65%,7.92,4.60%,45.20%,77.90%,94.60%,83.20%
258,41,1113,At Risk,Degrading,DOORDASH,Standard & Express,4,202150,79.00%,61%,8.93,1.70%,77.60%,76.40%,94.90%,67.50%
242,41,6931,At Risk,Degrading,DOORDASH,Standard & Express,6,202150,77.90%,61%,8.34,20.50%,73.20%,73.90%,91.90%,76.60%
242,41,6931,At Risk,Degrading,SPARK,Standard & Express,6,202150,84.80%,69%,8.34,,72.30%,85.20%,97.20%,89.80%
260,41,720,At Risk,Degrading,POINTPICKUP,Standard & Express,5,202150,87.90%,85%,5.48,18.20%,82.90%,86.30%,96.80%,85.80%
260,41,1210,At Risk,Degrading,POINTPICKUP,Standard & Express,6,202150,79.60%,66%,8.71,12.20%,61.70%,76.60%,92.60%,83.70%
260,41,1210,At Risk,Degrading,SPARK,Standard & Express,6,202150,84.80%,66%,8.71,,77.00%,86.60%,89.30%,90.20%
257,41,299,At Risk,Degrading,POINTPICKUP,Standard & Express,4,202150,76.20%,68%,7.86,8.40%,83.40%,60.60%,87.00%,71.60%
257,41,299,At Risk,Degrading,SPARK,Standard & Express,4,202150,72.40%,59%,7.86,,70.60%,62.90%,92.20%,62.10%
257,41,5236,At Risk,Degrading,POINTPICKUP,Standard & Express,4,202150,77.60%,68%,7.64,7.00%,74.90%,61.90%,86.60%,81.40%
257,41,5236,At Risk,Degrading,SPARK,Standard & Express,4,202150,79.90%,68%,7.64,4.20%,72.40%,76.70%,92.10%,79.50%
544,72,3184,At Risk,Degrading,SPARK,Standard & Express,4,202150,73.70%,64%,14.46,5.80%,87.20%,73.50%,52.70%,81.20%
2,14,1158,At Risk,Degrading,POINTPICKUP,Standard & Express,4,202150,88.40%,86%,6.68,6.50%,86.70%,82.80%,93.10%,89.70%
74,5,536,At Risk,Degrading,POINTPICKUP,Standard & Express,4,202150,87.20%,76%,5.75,5.90%,78.20%,92.20%,97.40%,82.80%
49,5,471,At Risk,Degrading,SPARK,Standard & Express,4,202150,71.90%,79%,5.7,6.90%,85.00%,65.50%,72.60%,66.40%
181,16,2639,At Risk,Degrading,POINTPICKUP,Express Only,5,202150,81.00%,95%,2.55,8.50%,83.30%,78.10%,83.30%,81.30%
161,16,2283,At Risk,Degrading,DOORDASH,Standard & Express,5,202150,88.00%,72%,6.76,2.60%,84.60%,87.80%,89.30%,90.70%
161,16,3301,At Risk,Degrading,SPARK,Standard & Express,5,202150,74.00%,76%,5.07,,67.80%,76.60%,82.60%,74.10%
156,16,2012,At Risk,Degrading,POINTPICKUP,Standard & Express,6,202150,82.00%,76%,5.31,9.10%,84.70%,75.70%,83.00%,85.00%
156,16,2158,At Risk,Degrading,POINTPICKUP,Standard & Express,4,202150,82.50%,75%,5.21,16.70%,85.50%,82.50%,86.20%,77.50%
156,16,4387,At Risk,Degrading,DOORDASH,Standard & Express,6,202150,83.10%,73%,7.22,,87.70%,69.30%,95.80%,81.00%
159,16,2128,At Risk,Degrading,POINTPICKUP,Standard & Express,6,202150,84.30%,71%,6.71,14.80%,72.30%,76.90%,89.80%,90.20%
157,16,3114,At Risk,Degrading,SPARK,Standard & Express,6,202150,28.80%,67%,11.88,14.80%,35.10%,34.70%,46.60%,10.10%
309,26,877,At Risk,Degrading,POSTMATES,Standard & Express,4,202150,74.50%,57%,8.82,5.60%,76.30%,72.80%,85.40%,61.40%
297,26,5118,At Risk,Degrading,POSTMATES,Standard & Express,6,202150,86.80%,71%,4.91,2.80%,86.60%,78.60%,96.50%,87.50%
310,26,3595,At Risk,Degrading,POINTPICKUP,Standard & Express,6,202150,87.90%,78%,6.97,5.10%,89.20%,90.00%,87.70%,84.10%
299,26,2836,At Risk,Degrading,ROADIE,Standard & Express,4,202150,74.90%,56%,9.43,5.00%,77.30%,79.20%,88.90%,54.90%
299,26,5743,At Risk,Degrading,POSTMATES,Standard & Express,6,202150,79.30%,76%,7.14,7.20%,81.90%,74.30%,91.80%,71.10%
376,47,5334,At Risk,Degrading,DOORDASH,Standard & Express,5,202150,75.50%,65%,7.59,4.00%,77.60%,48.80%,90.80%,82.70%
