Store,Received as a PDQ IDFEATWK50,Received as a Sidekick SKFEATWK51,Sum of Total Cost Charged,Sum of Total Retail charged
1126,,1,-259.51,-659.46
1128,1,1,-375.85,-1019.1
1129,1,1,-375.85,-1019.1
1130,1,1,-375.85,-1019.1
1131,1,,-116.34,-359.64
1132,1,1,-375.85,-1019.1
1133,1,1,-375.85,-1019.1
1134,,1,-259.51,-659.46
1135,,1,-259.51,-659.46
1136,,1,-259.51,-659.46
1137,,1,-259.51,-659.46
1138,1,1,-375.85,-1019.1
1139,1,,-116.34,-359.64
1140,,1,-259.51,-659.46
1142,1,,-223.86,-359.64
1143,,1,-259.51,-659.46
1144,1,1,-375.85,-1019.1
1146,,1,-259.51,-659.46
1148,,1,-259.51,-659.46
1149,,1,-259.51,-659.46
1150,,1,-259.51,-659.46
1151,1,1,-375.85,-1019.1
1152,1,1,-375.85,-1019.1
1153,,1,-259.51,-659.46
1154,1,1,-375.85,-1019.1
1155,,1,-259.51,-659.46
1156,,1,-259.51,-659.46
1157,1,,-223.86,-359.64
1158,1,1,-375.85,-1019.1
1160,2,,-340.2,-719.28
1161,2,,-340.2,-719.28
1162,1,1,-375.85,-1019.1
1163,,1,-259.51,-659.46
1164,1,1,-375.85,-1019.1
1166,,1,-259.51,-659.46
1167,1,1,-375.85,-1019.1
1168,,1,-259.51,-659.46
1171,,1,-259.51,-659.46
1172,,1,-259.51,-659.46
1173,,1,-259.51,-659.46
1174,,1,-259.51,-659.46
1175,,1,-259.51,-659.46
1176,1,1,-375.85,-1019.1
1177,2,,-340.2,-719.28
1178,,1,-259.51,-659.46
1179,1,,-116.34,-359.64
1180,1,,-223.86,-359.64
1181,1,1,-375.85,-1019.1
1182,,1,-259.51,-659.46
1183,1,1,-375.85,-1019.1
1184,,1,-259.51,-659.46
1185,,1,-259.51,-659.46
1186,,1,-259.51,-659.46
1187,,1,-259.51,-659.46
1188,2,,-340.2,-719.28
1190,,1,-259.51,-659.46
1191,1,,-116.34,-359.64
1192,,1,-259.51,-659.46
1194,1,1,-375.85,-1019.1
1195,,1,-259.51,-659.46
1196,,1,-259.51,-659.46
1197,1,1,-375.85,-1019.1
1198,,1,-259.51,-659.46
1199,2,1,-599.71,-1378.74
1200,2,,-340.2,-719.28
1201,1,,-116.34,-359.64
1202,1,,-116.34,-359.64
1203,,1,-259.51,-659.46
1205,,1,-259.51,-659.46
1206,,1,-259.51,-659.46
1207,,1,-259.51,-659.46
1209,1,,-116.34,-359.64
1211,,1,-259.51,-659.46
1212,,1,-259.51,-659.46
1213,,1,-259.51,-659.46
1214,,1,-259.51,-659.46
1215,,1,-259.51,-659.46
1216,1,1,-375.85,-1019.1
1217,1,,-116.34,-359.64
1218,,1,-259.51,-659.46
1219,,1,-259.51,-659.46
1220,,1,-259.51,-659.46
1221,1,1,-375.85,-1019.1
1222,,1,-259.51,-659.46
1223,,1,-259.51,-659.46
1224,,1,-259.51,-659.46
1225,,1,-259.51,-659.46
1226,1,,-116.34,-359.64
1227,1,1,-375.85,-1019.1
1228,1,,-116.34,-359.64
1229,1,1,-375.85,-1019.1
1231,2,,-340.2,-719.28
1232,,1,-259.51,-659.46
1236,1,,-116.34,-359.64
1237,,1,-259.51,-659.46
1238,1,,-116.34,-359.64
1239,1,1,-375.85,-1019.1
1241,,1,-259.51,-659.46
1242,1,,-116.34,-359.64
1243,1,1,-375.85,-1019.1
1244,1,1,-375.85,-1019.1
1245,,1,-259.51,-659.46
1247,,1,-259.51,-659.46
1248,1,,-116.34,-359.64
1249,1,1,-375.85,-1019.1
1252,,1,-259.51,-659.46
1253,,1,-259.51,-659.46
1254,1,1,-375.85,-1019.1
1255,1,1,-375.85,-1019.1
1256,,1,-259.51,-659.46
1257,1,,-116.34,-359.64
1260,,1,-259.51,-659.46
1261,,1,-259.51,-659.46
1263,,1,-259.51,-659.46
1264,1,,-116.34,-359.64
1265,2,,-340.2,-719.28
1266,,1,-259.51,-659.46
1267,1,,-116.34,-359.64
1268,1,,-116.34,-359.64
1270,1,,-116.34,-359.64
1271,1,1,-375.85,-1019.1
1272,1,,-116.34,-359.64
1273,2,,-340.2,-719.28
1274,1,1,-375.85,-1019.1
1275,1,,-223.86,-359.64
1276,1,1,-375.85,-1019.1
1277,1,1,-375.85,-1019.1
1279,,1,-259.51,-659.46
1280,2,1,-599.71,-1378.74
1281,1,,-116.34,-359.64
1282,,1,-259.51,-659.46
1283,,1,-259.51,-659.46
1284,,1,-259.51,-659.46
1285,,1,-259.51,-659.46
1286,1,1,-375.85,-1019.1
1287,1,1,-375.85,-1019.1
1288,,1,-259.51,-659.46
1289,1,1,-375.85,-1019.1
1290,1,1,-375.85,-1019.1
1291,1,1,-375.85,-1019.1
1292,,1,-259.51,-659.46
1293,1,1,-375.85,-1019.1
1294,1,,-223.86,-359.64
1295,1,,-116.34,-359.64
1296,,1,-259.51,-659.46
1297,1,1,-375.85,-1019.1
1298,1,1,-375.85,-1019.1
1299,,1,-259.51,-659.46
1300,1,1,-375.85,-1019.1
1301,1,,-116.34,-359.64
1302,,1,-259.51,-659.46
1303,,1,-259.51,-659.46
1304,1,1,-375.85,-1019.1
1305,1,1,-375.85,-1019.1
1307,,1,-259.51,-659.46
1308,2,,-340.2,-719.28
1309,1,1,-375.85,-1019.1
1310,2,,-340.2,-719.28
1311,,1,-259.51,-659.46
1312,1,1,-375.85,-1019.1
1314,,1,-259.51,-659.46
1316,1,1,-375.85,-1019.1
1317,1,1,-375.85,-1019.1
1318,1,,-116.34,-359.64
1319,1,,-116.34,-359.64
1320,1,1,-375.85,-1019.1
1321,,1,-259.51,-659.46
1322,,1,-259.51,-659.46
1323,,1,-259.51,-659.46
1324,,1,-259.51,-659.46
1325,,1,-259.51,-659.46
1326,1,1,-375.85,-1019.1
1328,,1,-259.51,-659.46
1329,,1,-259.51,-659.46
1330,1,,-116.34,-359.64
1331,1,,-116.34,-359.64
1332,1,1,-375.85,-1019.1
1333,1,,-116.34,-359.64
1334,,1,-259.51,-659.46
1335,1,1,-375.85,-1019.1
1336,1,1,-375.85,-1019.1
1337,1,1,-375.85,-1019.1
1338,,1,-259.51,-659.46
1339,1,1,-375.85,-1019.1
1340,,1,-259.51,-659.46
1341,1,1,-375.85,-1019.1
1342,,1,-259.51,-659.46
1344,,1,-259.51,-659.46
1345,1,1,-375.85,-1019.1
1346,,1,-259.51,-659.46
1348,1,,-116.34,-359.64
1350,,1,-259.51,-659.46
1351,,1,-259.51,-659.46
1352,1,,-116.34,-359.64
1353,1,1,-375.85,-1019.1
1354,1,1,-375.85,-1019.1
1355,1,1,-375.85,-1019.1
1356,2,1,-599.71,-1378.74
1358,1,1,-375.85,-1019.1
1359,1,1,-375.85,-1019.1
1360,,1,-259.51,-659.46
1362,1,1,-375.85,-1019.1
1363,,1,-259.51,-659.46
1364,,1,-259.51,-659.46
1365,,1,-259.51,-659.46
1366,,1,-259.51,-659.46
1367,,1,-259.51,-659.46
1368,1,,-116.34,-359.64
1369,1,1,-375.85,-1019.1
1370,,1,-259.51,-659.46
1371,,1,-259.51,-659.46
1372,1,1,-375.85,-1019.1
1373,,1,-259.51,-659.46
1374,,1,-259.51,-659.46
1375,,1,-259.51,-659.46
1376,1,1,-375.85,-1019.1
1377,1,,-116.34,-359.64
1378,1,1,-375.85,-1019.1
1379,1,1,-375.85,-1019.1
1380,,1,-259.51,-659.46
1381,,1,-259.51,-659.46
1382,1,1,-375.85,-1019.1
1383,1,,-116.34,-359.64
1384,,1,-259.51,-659.46
1385,1,,-116.34,-359.64
1386,,1,-259.51,-659.46
1387,,1,-259.51,-659.46
1388,1,1,-375.85,-1019.1
1389,1,1,-375.85,-1019.1
1390,,1,-259.51,-659.46
1391,,1,-259.51,-659.46
1392,1,1,-375.85,-1019.1
1394,1,,-116.34,-359.64
1395,2,,-340.2,-719.28
1396,1,,-116.34,-359.64
1397,,1,-259.51,-659.46
1398,,1,-259.51,-659.46
1399,1,,-116.34,-359.64
1401,,1,-259.51,-659.46
1403,,1,-259.51,-659.46
1405,,1,-259.51,-659.46
1406,1,,-116.34,-359.64
1407,1,1,-375.85,-1019.1
1408,,1,-259.51,-659.46
1409,,1,-259.51,-659.46
1410,1,1,-375.85,-1019.1
1411,,1,-259.51,-659.46
1413,1,1,-375.85,-1019.1
1414,,1,-259.51,-659.46
1415,1,1,-375.85,-1019.1
1416,1,,-116.34,-359.64
1417,,1,-259.51,-659.46
1418,2,,-340.2,-719.28
1419,1,1,-375.85,-1019.1
1421,,1,-259.51,-659.46
1422,1,,-116.34,-359.64
1423,1,1,-375.85,-1019.1
1424,1,1,-375.85,-1019.1
1425,1,,-116.34,-359.64
1426,,1,-259.51,-659.46
1427,1,1,-375.85,-1019.1
1428,1,,-116.34,-359.64
1429,1,,-116.34,-359.64
1430,1,,-116.34,-359.64
1431,,1,-259.51,-659.46
1432,1,1,-375.85,-1019.1
1433,1,,-116.34,-359.64
1434,2,,-340.2,-719.28
1435,,1,-259.51,-659.46
1437,,1,-259.51,-659.46
1440,1,,-116.34,-359.64
1441,1,,-223.86,-359.64
1442,,1,-259.51,-659.46
1443,2,1,-599.71,-1378.74
1445,,1,-259.51,-659.46
1446,1,1,-375.85,-1019.1
1447,1,1,-375.85,-1019.1
1448,1,1,-375.85,-1019.1
1449,1,1,-375.85,-1019.1
1450,,1,-259.51,-659.46
1451,,1,-259.51,-659.46
1452,1,1,-375.85,-1019.1
1453,1,,-116.34,-359.64
1454,1,1,-375.85,-1019.1
1455,,1,-259.51,-659.46
1456,,1,-259.51,-659.46
1457,2,,-340.2,-719.28
1458,1,1,-375.85,-1019.1
1459,2,,-340.2,-719.28
1460,,1,-259.51,-659.46
1461,,1,-259.51,-659.46
1462,,1,-259.51,-659.46
1463,1,1,-375.85,-1019.1
1464,1,1,-375.85,-1019.1
1465,1,1,-375.85,-1019.1
1466,1,,-116.34,-359.64
1468,1,1,-375.85,-1019.1
1469,1,,-116.34,-359.64
1470,1,1,-375.85,-1019.1
1472,1,1,-375.85,-1019.1
1473,1,1,-375.85,-1019.1
1474,,1,-259.51,-659.46
1476,3,1,-716.05,-1738.38
1477,,1,-259.51,-659.46
1480,3,,-456.54,-1078.92
1481,1,,-116.34,-359.64
1482,,1,-259.51,-659.46
1483,,1,-259.51,-659.46
1485,,1,-259.51,-659.46
1486,1,,-116.34,-359.64
1487,,1,-259.51,-659.46
1488,,1,-259.51,-659.46
1489,1,1,-375.85,-1019.1
1491,,1,-259.51,-659.46
1492,2,,-340.2,-719.28
1493,,1,-259.51,-659.46
1494,1,1,-375.85,-1019.1
1495,1,,-116.34,-359.64
1496,,1,-259.51,-659.46
1497,,1,-259.51,-659.46
1498,1,1,-375.85,-1019.1
1499,,1,-259.51,-659.46
1500,,1,-259.51,-659.46
1501,,1,-259.51,-659.46
1502,1,1,-375.85,-1019.1
1503,1,1,-375.85,-1019.1
1504,1,,-116.34,-359.64
1505,1,1,-375.85,-1019.1
1507,1,1,-375.85,-1019.1
1508,,1,-259.51,-659.46
1509,,1,-259.51,-659.46
1514,2,,-340.2,-719.28
1515,1,1,-375.85,-1019.1
1516,1,1,-375.85,-1019.1
1518,2,,-340.2,-719.28
1519,1,1,-375.85,-1019.1
1520,,1,-259.51,-659.46
1521,3,1,-716.05,-1738.38
1522,,1,-259.51,-659.46
1523,1,1,-375.85,-1019.1
1524,1,1,-375.85,-1019.1
1525,1,1,-375.85,-1019.1
1527,1,1,-375.85,-1019.1
1528,,1,-259.51,-659.46
1529,1,1,-375.85,-1019.1
1530,,1,-259.51,-659.46
1531,,1,-259.51,-659.46
1533,1,1,-375.85,-1019.1
1534,,1,-259.51,-659.46
1535,,1,-259.51,-659.46
1536,,1,-259.51,-659.46
1537,,1,-259.51,-659.46
1538,,1,-259.51,-659.46
1539,1,1,-375.85,-1019.1
1541,,1,-259.51,-659.46
1542,1,1,-375.85,-1019.1
1543,,1,-259.51,-659.46
1544,1,1,-375.85,-1019.1
1546,,1,-259.51,-659.46
1547,,1,-259.51,-659.46
1548,,1,-259.51,-659.46
1549,,1,-259.51,-659.46
1550,2,1,-599.71,-1378.74
1551,1,1,-375.85,-1019.1
1552,1,1,-375.85,-1019.1
1553,,1,-259.51,-659.46
1554,1,2,-635.36,-1678.56
1555,1,1,-375.85,-1019.1
1556,,1,-259.51,-659.46
1557,2,1,-599.71,-1378.74
1558,1,1,-375.85,-1019.1
1559,,1,-259.51,-659.46
1560,,1,-259.51,-659.46
1561,1,1,-375.85,-1019.1
1562,1,1,-375.85,-1019.1
1563,,1,-259.51,-659.46
1564,1,1,-375.85,-1019.1
1565,,1,-259.51,-659.46
1566,1,1,-375.85,-1019.1
1567,,1,-259.51,-659.46
1568,1,1,-375.85,-1019.1
1569,,1,-259.51,-659.46
1570,1,1,-375.85,-1019.1
1571,1,1,-375.85,-1019.1
1574,1,,-116.34,-359.64
1575,1,2,-635.36,-1678.56
1576,,1,-259.51,-659.46
1577,1,1,-375.85,-1019.1
1578,1,1,-375.85,-1019.1
1579,1,,-116.34,-359.64
1580,3,1,-716.05,-1738.38
1581,,1,-259.51,-659.46
1584,,1,-259.51,-659.46
1585,2,1,-599.71,-1378.74
1586,,1,-259.51,-659.46
1587,1,1,-375.85,-1019.1
1588,1,1,-375.85,-1019.1
1589,,1,-259.51,-659.46
1590,,1,-259.51,-659.46
1592,1,,-116.34,-359.64
1593,1,,-116.34,-359.64
1594,1,1,-375.85,-1019.1
1595,1,1,-375.85,-1019.1
1596,,1,-259.51,-659.46
1597,,1,-259.51,-659.46
1598,1,1,-375.85,-1019.1
1599,1,1,-375.85,-1019.1
1600,1,1,-375.85,-1019.1
1601,1,,-223.86,-359.64
1602,1,1,-375.85,-1019.1
1603,1,1,-375.85,-1019.1
1604,,1,-259.51,-659.46
1606,1,1,-375.85,-1019.1
1607,1,1,-375.85,-1019.1
1608,1,1,-375.85,-1019.1
1609,1,1,-375.85,-1019.1
1610,,2,-519.02,-1318.92
1611,1,1,-375.85,-1019.1
1612,,1,-259.51,-659.46
1613,1,1,-375.85,-1019.1
1614,1,1,-375.85,-1019.1
1615,1,,-116.34,-359.64
1616,1,1,-375.85,-1019.1
1617,,1,-259.51,-659.46
1619,1,2,-635.36,-1678.56
1621,,1,-259.51,-659.46
1622,1,1,-375.85,-1019.1
1623,1,1,-375.85,-1019.1
1624,1,1,-375.85,-1019.1
1625,,1,-259.51,-659.46
1626,,1,-259.51,-659.46
1627,1,1,-375.85,-1019.1
1628,1,,-116.34,-359.64
1629,1,,-223.86,-359.64
1630,1,1,-375.85,-1019.1
1631,1,1,-375.85,-1019.1
1632,1,1,-375.85,-1019.1
1633,1,1,-375.85,-1019.1
1634,1,1,-375.85,-1019.1
1635,1,1,-375.85,-1019.1
1636,,1,-259.51,-659.46
1637,1,1,-375.85,-1019.1
1638,,1,-259.51,-659.46
1639,,1,-259.51,-659.46
1640,1,1,-375.85,-1019.1
1641,1,1,-375.85,-1019.1
1642,1,1,-375.85,-1019.1
1643,1,,-116.34,-359.64
1644,1,1,-375.85,-1019.1
1645,1,1,-375.85,-1019.1
1646,,1,-259.51,-659.46
1647,1,1,-375.85,-1019.1
1648,,1,-259.51,-659.46
1649,1,1,-375.85,-1019.1
1650,1,,-116.34,-359.64
1651,,1,-259.51,-659.46
1652,,1,-259.51,-659.46
1653,1,,-116.34,-359.64
1654,1,,-116.34,-359.64
1655,2,,-340.2,-719.28
1656,1,1,-375.85,-1019.1
1657,1,,-116.34,-359.64
1659,2,,-340.2,-719.28
1660,1,1,-375.85,-1019.1
1661,,1,-259.51,-659.46
1662,1,,-116.34,-359.64
1663,1,1,-375.85,-1019.1
1664,1,1,-375.85,-1019.1
1665,2,,-340.2,-719.28
1666,,1,-259.51,-659.46
1667,1,,-223.86,-359.64
1668,1,1,-375.85,-1019.1
1669,1,1,-375.85,-1019.1
1670,,2,-519.02,-1318.92
1671,1,1,-375.85,-1019.1
1672,1,1,-375.85,-1019.1
1673,1,1,-375.85,-1019.1
1674,1,1,-375.85,-1019.1
1676,1,1,-375.85,-1019.1
1679,1,,-116.34,-359.64
1680,,1,-259.51,-659.46
1681,,1,-259.51,-659.46
1682,1,1,-375.85,-1019.1
1683,1,1,-375.85,-1019.1
1684,,1,-259.51,-659.46
1686,,1,-259.51,-659.46
1687,1,1,-375.85,-1019.1
1688,1,,-116.34,-359.64
1689,2,1,-599.71,-1378.74
1690,,1,-259.51,-659.46
1691,1,1,-375.85,-1019.1
1692,1,,-116.34,-359.64
1693,1,,-116.34,-359.64
1694,1,1,-375.85,-1019.1
1695,,1,-259.51,-659.46
1696,1,,-116.34,-359.64
1697,1,,-116.34,-359.64
1698,1,1,-375.85,-1019.1
1699,,1,-259.51,-659.46
1700,1,1,-375.85,-1019.1
1701,,1,-259.51,-659.46
1702,,1,-259.51,-659.46
1704,1,1,-375.85,-1019.1
1705,1,,-116.34,-359.64
1707,1,,-116.34,-359.64
1708,,1,-259.51,-659.46
1709,1,1,-375.85,-1019.1
1710,1,,-116.34,-359.64
1711,1,1,-375.85,-1019.1
1712,1,,-116.34,-359.64
1714,,1,-259.51,-659.46
1715,1,1,-375.85,-1019.1
1717,1,,-116.34,-359.64
1718,1,1,-375.85,-1019.1
1719,1,,-116.34,-359.64
1720,,1,-259.51,-659.46
1722,1,1,-375.85,-1019.1
1723,,1,-259.51,-659.46
1724,1,1,-375.85,-1019.1
1726,1,1,-375.85,-1019.1
1727,,1,-259.51,-659.46
1728,2,,-340.2,-719.28
1729,2,,-340.2,-719.28
1730,1,,-116.34,-359.64
1731,1,1,-375.85,-1019.1
1732,1,,-116.34,-359.64
1733,1,1,-375.85,-1019.1
1734,,1,-259.51,-659.46
1735,,1,-259.51,-659.46
1736,1,1,-375.85,-1019.1
1738,1,1,-375.85,-1019.1
1739,1,1,-375.85,-1019.1
1740,,1,-259.51,-659.46
1741,1,,-116.34,-359.64
1742,1,1,-375.85,-1019.1
1744,1,1,-375.85,-1019.1
1746,1,1,-375.85,-1019.1
1747,1,1,-375.85,-1019.1
1748,1,1,-375.85,-1019.1
1749,1,,-116.34,-359.64
1750,1,,-116.34,-359.64
1751,1,1,-375.85,-1019.1
1752,1,1,-375.85,-1019.1
1753,1,1,-375.85,-1019.1
1754,1,1,-375.85,-1019.1
1755,,1,-259.51,-659.46
1756,1,,-116.34,-359.64
1757,1,1,-375.85,-1019.1
1758,1,,-223.86,-359.64
1759,1,,-116.34,-359.64
1760,1,,-116.34,-359.64
1761,2,,-340.2,-719.28
1762,1,1,-375.85,-1019.1
1763,1,,-116.34,-359.64
1764,,1,-259.51,-659.46
1765,1,,-116.34,-359.64
1766,1,,-116.34,-359.64
1767,1,1,-375.85,-1019.1
1768,1,,-116.34,-359.64
1769,1,1,-375.85,-1019.1
1770,1,1,-375.85,-1019.1
1771,1,1,-375.85,-1019.1
1772,1,1,-375.85,-1019.1
1773,1,1,-375.85,-1019.1
1774,1,1,-375.85,-1019.1
1775,1,1,-375.85,-1019.1
1776,1,1,-375.85,-1019.1
1777,1,,-116.34,-359.64
1778,,1,-259.51,-659.46
1779,,1,-259.51,-659.46
1780,1,1,-375.85,-1019.1
1781,1,1,-375.85,-1019.1
1782,,1,-259.51,-659.46
1783,,1,-259.51,-659.46
1784,1,1,-375.85,-1019.1
1786,1,1,-375.85,-1019.1
1787,1,1,-375.85,-1019.1
1788,1,1,-375.85,-1019.1
1789,1,1,-375.85,-1019.1
1790,1,1,-375.85,-1019.1
1791,1,1,-375.85,-1019.1
1792,1,,-116.34,-359.64
1793,1,1,-375.85,-1019.1
1794,1,1,-375.85,-1019.1
1796,1,,-116.34,-359.64
1797,1,,-116.34,-359.64
1798,1,1,-375.85,-1019.1
1799,1,,-116.34,-359.64
1800,,1,-259.51,-659.46
1801,,1,-259.51,-659.46
1802,1,1,-375.85,-1019.1
1803,,1,-259.51,-659.46
1804,1,1,-375.85,-1019.1
1805,1,1,-375.85,-1019.1
1806,1,,-116.34,-359.64
1807,1,1,-375.85,-1019.1
1808,,1,-259.51,-659.46
1809,1,,-116.34,-359.64
1810,1,1,-375.85,-1019.1
1811,1,1,-375.85,-1019.1
1812,1,,-116.34,-359.64
1813,1,1,-375.85,-1019.1
1814,,1,-259.51,-659.46
1815,1,1,-375.85,-1019.1
1816,1,1,-375.85,-1019.1
1817,1,1,-375.85,-1019.1
1819,1,1,-375.85,-1019.1
1820,1,1,-375.85,-1019.1
1821,1,,-116.34,-359.64
1823,1,1,-375.85,-1019.1
1825,1,,-116.34,-359.64
1826,1,1,-375.85,-1019.1
1827,,1,-259.51,-659.46
1828,1,,-116.34,-359.64
1829,1,1,-375.85,-1019.1
1830,1,1,-375.85,-1019.1
1831,1,,-116.34,-359.64
1832,1,1,-375.85,-1019.1
1833,1,1,-375.85,-1019.1
1834,1,1,-375.85,-1019.1
1835,1,,-116.34,-359.64
1836,1,1,-375.85,-1019.1
1838,,1,-259.51,-659.46
1839,1,1,-375.85,-1019.1
1840,1,1,-375.85,-1019.1
1841,1,1,-375.85,-1019.1
1842,1,1,-375.85,-1019.1
1845,,1,-259.51,-659.46
1849,1,,-116.34,-359.64
1850,1,1,-375.85,-1019.1
1851,,1,-259.51,-659.46
1853,1,1,-375.85,-1019.1
1855,1,1,-375.85,-1019.1
1856,1,,-116.34,-359.64
1857,1,1,-375.85,-1019.1
1858,,1,-259.51,-659.46
1859,1,1,-375.85,-1019.1
1860,1,,-116.34,-359.64
1861,1,,-116.34,-359.64
1862,1,1,-375.85,-1019.1
1863,1,1,-375.85,-1019.1
1864,1,1,-375.85,-1019.1
1865,1,1,-375.85,-1019.1
1866,1,,-116.34,-359.64
1868,1,1,-375.85,-1019.1
1869,,1,-259.51,-659.46
1870,1,1,-375.85,-1019.1
1871,1,1,-375.85,-1019.1
1872,,1,-259.51,-659.46
1873,1,1,-375.85,-1019.1
1874,,1,-259.51,-659.46
1875,1,1,-375.85,-1019.1
1876,,1,-259.51,-659.46
1877,,1,-259.51,-659.46
1878,1,1,-375.85,-1019.1
1879,1,1,-375.85,-1019.1
1880,1,1,-375.85,-1019.1
1881,1,1,-375.85,-1019.1
1883,1,,-116.34,-359.64
1884,1,1,-375.85,-1019.1
1886,1,1,-375.85,-1019.1
1887,1,1,-375.85,-1019.1
1888,,1,-259.51,-659.46
1889,1,,-116.34,-359.64
1890,1,1,-375.85,-1019.1
1891,1,1,-375.85,-1019.1
1894,1,,-116.34,-359.64
1895,,1,-259.51,-659.46
1896,2,,-340.2,-719.28
1898,,1,-259.51,-659.46
1899,1,1,-375.85,-1019.1
1901,,1,-259.51,-659.46
1902,1,,-116.34,-359.64
1903,1,1,-375.85,-1019.1
1904,,1,-259.51,-659.46
1905,1,,-116.34,-359.64
1907,1,1,-375.85,-1019.1
1908,1,,-116.34,-359.64
1909,1,1,-375.85,-1019.1
1910,1,1,-375.85,-1019.1
1911,1,,-116.34,-359.64
1912,1,1,-375.85,-1019.1
1913,1,1,-375.85,-1019.1
1914,1,1,-375.85,-1019.1
1915,1,1,-375.85,-1019.1
1916,,1,-259.51,-659.46
1917,1,1,-375.85,-1019.1
1919,1,,-116.34,-359.64
1920,1,1,-375.85,-1019.1
1921,1,1,-375.85,-1019.1
1922,1,1,-375.85,-1019.1
1923,1,1,-375.85,-1019.1
1924,1,1,-375.85,-1019.1
1925,1,,-116.34,-359.64
1926,1,1,-375.85,-1019.1
1927,1,1,-375.85,-1019.1
1928,1,,-116.34,-359.64
1929,1,1,-375.85,-1019.1
1930,1,1,-375.85,-1019.1
1931,1,1,-375.85,-1019.1
1932,1,1,-375.85,-1019.1
1934,1,1,-375.85,-1019.1
1935,1,1,-375.85,-1019.1
1936,1,,-116.34,-359.64
1937,1,1,-375.85,-1019.1
1938,,1,-259.51,-659.46
1939,1,1,-375.85,-1019.1
1940,1,,-116.34,-359.64
1941,1,1,-375.85,-1019.1
1942,1,,-116.34,-359.64
1943,1,,-116.34,-359.64
1945,,1,-259.51,-659.46
1946,1,1,-375.85,-1019.1
1947,1,1,-375.85,-1019.1
1949,1,1,-375.85,-1019.1
1950,1,1,-375.85,-1019.1
1952,1,1,-375.85,-1019.1
1953,1,,-116.34,-359.64
1954,1,,-116.34,-359.64
1955,,1,-259.51,-659.46
1956,,1,-259.51,-659.46
1957,,1,-259.51,-659.46
1959,1,,-116.34,-359.64
1960,,1,-259.51,-659.46
1961,,1,-259.51,-659.46
1962,2,1,-599.71,-1378.74
1963,1,1,-375.85,-1019.1
1964,1,1,-375.85,-1019.1
1966,1,1,-375.85,-1019.1
1967,,1,-259.51,-659.46
1968,1,1,-375.85,-1019.1
1969,1,1,-375.85,-1019.1
1970,1,,-116.34,-359.64
1971,,1,-259.51,-659.46
1972,1,,-116.34,-359.64
1973,,1,-259.51,-659.46
1975,1,1,-375.85,-1019.1
1976,1,,-116.34,-359.64
1977,,1,-259.51,-659.46
1978,,1,-259.51,-659.46
1979,1,1,-375.85,-1019.1
1980,1,,-116.34,-359.64
1981,1,1,-375.85,-1019.1
1982,1,,-116.34,-359.64
1983,,1,-259.51,-659.46
1984,1,,-116.34,-359.64
1985,1,1,-375.85,-1019.1
1986,1,1,-375.85,-1019.1
1987,1,,-116.34,-359.64
1988,1,1,-375.85,-1019.1
1989,,1,-259.51,-659.46
1990,,1,-259.51,-659.46
1991,,1,-259.51,-659.46
1992,1,,-116.34,-359.64
1993,1,1,-375.85,-1019.1
1995,1,,-116.34,-359.64
1996,,1,-259.51,-659.46
1997,1,1,-375.85,-1019.1
1998,,1,-259.51,-659.46
1999,1,1,-375.85,-1019.1
2000,1,1,-375.85,-1019.1
2001,1,1,-375.85,-1019.1
2002,1,1,-375.85,-1019.1
2003,1,,-116.34,-359.64
2005,1,1,-375.85,-1019.1
2006,1,,-116.34,-359.64
2007,1,,-116.34,-359.64
2008,,1,-259.51,-659.46
2009,1,,-116.34,-359.64
2010,1,1,-375.85,-1019.1
2012,1,,-116.34,-359.64
2013,1,1,-375.85,-1019.1
2014,1,1,-375.85,-1019.1
2015,1,1,-375.85,-1019.1
2016,1,1,-375.85,-1019.1
2019,,1,-259.51,-659.46
2020,,1,-259.51,-659.46
2021,1,,-116.34,-359.64
2022,1,1,-375.85,-1019.1
2024,1,,-116.34,-359.64
2025,1,1,-375.85,-1019.1
2026,1,,-116.34,-446
2027,1,,-116.34,-359.64
2028,1,1,-375.85,-1019.1
2030,1,1,-375.85,-1019.1
2031,1,1,-375.85,-1019.1
2032,1,1,-375.85,-1019.1
2033,,1,-259.51,-659.46
2035,1,1,-375.85,-1019.1
2037,,1,-259.51,-659.46
2038,1,1,-375.85,-1019.1
2040,1,1,-375.85,-1019.1
2041,1,,-116.34,-359.64
2043,1,1,-375.85,-1019.1
2044,1,1,-375.85,-1019.1
2045,1,1,-375.85,-1019.1
2046,1,1,-375.85,-1019.1
2047,1,,-116.34,-359.64
2048,1,,-116.34,-359.64
2049,1,1,-375.85,-1019.1
2052,1,1,-375.85,-1019.1
2053,,1,-259.51,-659.46
2054,,2,-681.65,-1318.92
2055,1,,-116.34,-359.64
2056,1,1,-375.85,-1019.1
2057,,1,-259.51,-659.46
2058,1,5,-1361.97,-3656.94
2059,1,1,-375.85,-1019.1
2061,1,1,-375.85,-1019.1
2062,1,1,-375.85,-1019.1
2063,,1,-259.51,-659.46
2064,1,1,-375.85,-1019.1
2065,1,1,-375.85,-1019.1
2066,,1,-259.51,-659.46
2068,1,,-116.34,-359.64
2069,1,1,-375.85,-1019.1
2070,1,,-116.34,-414
2073,1,1,-375.85,-1019.1
2075,1,1,-375.85,-1019.1
2077,1,1,-375.85,-1019.1
2078,1,1,-375.85,-1019.1
2079,1,,-116.34,-359.64
2080,1,,-116.34,-359.64
2081,1,1,-375.85,-1019.1
