Region,Market,STORE #,Updated Cluster Type,Updated WM Set Week,FY,Tool kit link 
5,48,220,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
44,344,221,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,48,228,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
44,47,240,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,503,249,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,583,259,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,55,260,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,45,265,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,50,266,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
44,349,269,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
42,321,279,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
7,83,280,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,49,284,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,503,285,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,55,286,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
44,47,131,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
7,87,292,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,59,297,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
41,254,299,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,85,322,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,84,330,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
12,5,332,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,65,344,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,68,351,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,48,353,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
42,322,359,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
5,48,371,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
47,406,372,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
12,5,375,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
7,81,381,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
42,321,388,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
44,344,392,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,80,395,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
6,80,397,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,46,398,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,46,399,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,68,400,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
7,87,404,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
12,151,406,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
13,66,408,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
11,146,410,CLUSTER 1,Completed,FY25,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/produce-3-0/cluster-1.html
