Store,Market,Store Type,Prep By Location,InHome Prep and Loading ,,
1240,367,SUP,5/11/2023,Not Applicable,,
1241,418,SUP,5/9/2023,Not Applicable,,
1242,294,SUP,5/11/2023,Not Applicable,,
1243,312,SUP,5/4/2023,Not Applicable,,
1244,35,SUP,5/11/2023,Not Applicable,,
1245,114,SUP,5/11/2023,Not Applicable,,
1247,258,SUP,5/11/2023,Not Applicable,,
1248,144,SUP,5/9/2023,5/9/2023,,
1249,74,SUP,5/9/2023,Not Applicable,,
1252,380,SUP,5/11/2023,5/11/2023,,
1253,82,SUP,5/9/2023,5/9/2023,,
1254,76,SUP,5/9/2023,Not Applicable,,
1255,309,SUP,5/11/2023,Not Applicable,,
1256,266,SUP,5/9/2023,5/9/2023,,
1257,74,SUP,5/9/2023,Not Applicable,,
1259,258,SUP,5/11/2023,Not Applicable,,
1260,143,SUP,5/9/2023,Not Applicable,,
1261,310,SUP,5/11/2023,Not Applicable,,
1263,254,SUP,5/9/2023,Not Applicable,,
1264,222,SUP,5/4/2023,Not Applicable,,
1265,340,SUP,5/9/2023,Not Applicable,,
1266,130,SUP,5/9/2023,5/9/2023,,
1267,441,SUP,5/9/2023,Not Applicable,,
1268,300,SUP,5/11/2023,Not Applicable,,
1270,39,SUP,5/11/2023,Not Applicable,,
1271,138,SUP,5/9/2023,Not Applicable,,
1272,74,SUP,5/9/2023,Not Applicable,,
1273,389,SUP,5/11/2023,5/11/2023,,
1274,441,SUP,5/9/2023,Not Applicable,,
1275,482,SUP,5/11/2023,Not Applicable,,
1276,444,SUP,5/9/2023,Not Applicable,,
1277,438,SUP,5/9/2023,Not Applicable,,
1279,59,SUP,5/9/2023,5/9/2023,,
1280,388,SUP,5/11/2023,Not Applicable,,
1281,42,SUP,5/11/2023,Not Applicable,,
1282,407,SUP,5/9/2023,Not Applicable,,
1283,93,SUP,5/11/2023,Not Applicable,,
1284,16,SUP,5/11/2023,Not Applicable,,
1285,418,SUP,5/9/2023,Not Applicable,,
1286,41,SUP,5/11/2023,Not Applicable,,
1287,296,SUP,5/11/2023,Not Applicable,,
1288,296,SUP,5/11/2023,Not Applicable,,
1289,221,SUP,5/4/2023,Not Applicable,,
1290,304,SUP,5/11/2023,Not Applicable,,
1291,367,SUP,5/11/2023,5/11/2023,,
1292,312,SUP,5/4/2023,Not Applicable,,
1293,30,SUP,5/11/2023,Not Applicable,,
1294,247,SUP,5/11/2023,Not Applicable,,
1295,350,SUP,5/9/2023,Not Applicable,,
1296,569,SUP,5/9/2023,Not Applicable,,
1297,93,SUP,5/11/2023,Not Applicable,,
1298,302,SUP,5/11/2023,Not Applicable,,
1299,364,SUP,5/11/2023,Not Applicable,,
1300,302,SUP,5/11/2023,Not Applicable,,
1301,312,SUP,5/4/2023,Not Applicable,,
1302,311,SUP,5/4/2023,Not Applicable,,
1303,81,SUP,5/9/2023,Not Applicable,,
1304,247,SUP,5/11/2023,Not Applicable,,
1305,441,SUP,5/9/2023,Not Applicable,,
1306,387,SUP,5/11/2023,Not Applicable,,
1307,262,SUP,5/9/2023,Not Applicable,,
1308,380,SUP,5/11/2023,5/11/2023,,
1309,312,SUP,5/4/2023,Not Applicable,,
1310,251,SUP,5/11/2023,Not Applicable,,
1311,16,SUP,5/11/2023,Not Applicable,,
1312,310,SUP,5/11/2023,Not Applicable,,
1313,77,SUP,5/9/2023,5/9/2023,,
1314,24,SUP,5/11/2023,5/11/2023,,
1315,381,SUP,5/11/2023,Not Applicable,,
1316,439,SUP,5/9/2023,Not Applicable,,
1317,294,SUP,5/11/2023,Not Applicable,,
1318,122,SUP,5/11/2023,Not Applicable,,
1319,122,SUP,5/11/2023,Not Applicable,,
1320,122,SUP,5/11/2023,Not Applicable,,
1321,299,SUP,5/11/2023,Not Applicable,,
1322,308,SUP,5/11/2023,Not Applicable,,
1323,278,W/M,5/9/2023,Not Applicable,,
1324,366,SUP,5/11/2023,Not Applicable,,
1325,366,W/M,5/11/2023,Not Applicable,,
1326,429,SUP,5/9/2023,Not Applicable,,
1327,243,SUP,5/11/2023,Not Applicable,,
1328,364,SUP,5/11/2023,Not Applicable,,
1329,247,SUP,5/11/2023,Not Applicable,,
1330,222,SUP,5/4/2023,Not Applicable,,
1331,223,SUP,5/4/2023,Not Applicable,,
1332,426,SUP,5/9/2023,Not Applicable,,
1333,222,SUP,5/4/2023,Not Applicable,,
1334,372,SUP,5/11/2023,Not Applicable,,
1335,315,SUP,5/4/2023,Not Applicable,,
1336,311,W/M,5/4/2023,Not Applicable,,
1337,304,SUP,5/11/2023,Not Applicable,,
1338,16,SUP,5/11/2023,Not Applicable,,
1339,41,SUP,5/11/2023,Not Applicable,,
1340,20,SUP,5/11/2023,Not Applicable,,
1341,254,SUP,5/9/2023,Not Applicable,,
1342,128,SUP,5/9/2023,5/9/2023,,
1344,315,SUP,5/4/2023,Not Applicable,,
1345,314,SUP,5/4/2023,Not Applicable,,
1346,143,SUP,5/9/2023,Not Applicable,,
1347,87,SUP,5/9/2023,5/9/2023,,
1348,300,SUP,5/11/2023,Not Applicable,,
1349,109,SUP,5/11/2023,5/11/2023,,
1350,315,SUP,5/4/2023,Not Applicable,,
1351,317,SUP,5/11/2023,Not Applicable,,
1352,300,SUP,5/11/2023,Not Applicable,,
1353,128,SUP,5/9/2023,5/9/2023,,
1354,301,SUP,5/11/2023,Not Applicable,,
1355,302,SUP,5/11/2023,Not Applicable,,
1356,251,SUP,5/11/2023,Not Applicable,,
1357,387,SUP,5/11/2023,Not Applicable,,
1358,36,SUP,5/11/2023,Not Applicable,,
1359,36,SUP,5/11/2023,Not Applicable,,
1360,317,SUP,5/11/2023,Not Applicable,,
1361,426,SUP,5/9/2023,Not Applicable,,
1362,15,SUP,5/9/2023,Not Applicable,,
1363,21,SUP,5/11/2023,Not Applicable,,
1364,365,SUP,5/11/2023,Not Applicable,,
1365,436,W/M,5/9/2023,Not Applicable,,
1366,440,SUP,5/9/2023,Not Applicable,,
1367,32,SUP,5/11/2023,Not Applicable,,
1368,218,SUP,5/4/2023,Not Applicable,,
1369,364,SUP,5/11/2023,Not Applicable,,
1370,365,SUP,5/11/2023,Not Applicable,,
1371,580,SUP,5/11/2023,Not Applicable,,
1372,299,SUP,5/11/2023,Not Applicable,,
1373,24,SUP,5/11/2023,5/11/2023,,
1374,91,W/M,5/11/2023,Not Applicable,,
1375,97,SUP,5/11/2023,Not Applicable,,
1376,152,SUP,5/9/2023,Not Applicable,,
1377,270,SUP,5/9/2023,5/9/2023,,
1378,247,SUP,5/11/2023,Not Applicable,,
1379,301,SUP,5/11/2023,Not Applicable,,
1380,375,SUP,5/11/2023,Not Applicable,,
1381,372,SUP,5/11/2023,5/11/2023,,
1382,39,SUP,5/11/2023,Not Applicable,,
1383,29,SUP,5/11/2023,Not Applicable,,
1384,389,SUP,5/11/2023,Not Applicable,,
1385,305,SUP,5/11/2023,5/11/2023,,
1386,262,SUP,5/9/2023,Not Applicable,,
1387,108,SUP,5/11/2023,5/11/2023,,
1388,248,SUP,5/11/2023,Not Applicable,,
1389,414,SUP,5/9/2023,Not Applicable,,
1390,111,SUP,5/11/2023,5/11/2023,,
1391,94,SUP,5/11/2023,Not Applicable,,
1392,300,SUP,5/11/2023,Not Applicable,,
1393,413,SUP,5/9/2023,Not Applicable,,
1394,435,SUP,5/9/2023,Not Applicable,,
1395,272,SUP,5/9/2023,Not Applicable,,
1396,441,SUP,5/9/2023,Not Applicable,,
1397,384,SUP,5/11/2023,Not Applicable,,
1398,108,SUP,5/11/2023,5/11/2023,,
1399,315,SUP,5/4/2023,Not Applicable,,
1400,21,SUP,5/11/2023,Not Applicable,,
1401,265,SUP,5/9/2023,5/9/2023,,
1403,18,SUP,5/11/2023,Not Applicable,,
1404,269,SUP,5/9/2023,5/9/2023,,
1405,61,SUP,5/9/2023,Not Applicable,,
1406,286,SUP,5/4/2023,Not Applicable,,
1407,221,SUP,5/4/2023,Not Applicable,,
1408,97,SUP,5/11/2023,Not Applicable,,
1409,65,SUP,5/9/2023,5/9/2023,,
1410,223,SUP,5/4/2023,Not Applicable,,
1411,366,SUP,5/11/2023,Not Applicable,,
1412,381,SUP,5/11/2023,Not Applicable,,
1413,270,SUP,5/9/2023,5/9/2023,,
1414,384,SUP,5/11/2023,Not Applicable,,
1415,421,SUP,5/9/2023,Not Applicable,,
1416,207,SUP,5/4/2023,Not Applicable,,
1417,364,SUP,5/11/2023,Not Applicable,,
1418,341,SUP,5/9/2023,5/9/2023,,
1419,248,SUP,5/11/2023,Not Applicable,,
1420,264,SUP,5/9/2023,5/9/2023,,
1421,278,SUP,5/9/2023,Not Applicable,,
1422,204,SUP,5/11/2023,Not Applicable,,
1423,203,SUP,5/11/2023,Not Applicable,,
1424,290,SUP,5/4/2023,5/4/2023,,
1425,248,SUP,5/11/2023,Not Applicable,,
1426,259,SUP,5/11/2023,Not Applicable,,
1427,218,SUP,5/4/2023,Not Applicable,,
1428,204,SUP,5/11/2023,Not Applicable,,
1429,213,SUP,5/4/2023,Not Applicable,,
1430,439,SUP,5/9/2023,Not Applicable,,
1431,418,SUP,5/9/2023,Not Applicable,,
1432,204,SUP,5/11/2023,Not Applicable,,
1433,222,SUP,5/4/2023,Not Applicable,,
1434,391,SUP,5/11/2023,5/11/2023,,
1435,413,SUP,5/9/2023,Not Applicable,,
1436,107,SUP,5/11/2023,5/11/2023,,
1437,406,SUP,5/9/2023,Not Applicable,,
1438,405,SUP,5/11/2023,Not Applicable,,
1439,405,SUP,5/11/2023,Not Applicable,,
1440,403,SUP,5/11/2023,Not Applicable,,
1441,221,SUP,5/4/2023,5/4/2023,,
1442,405,SUP,5/11/2023,Not Applicable,,
1443,225,SUP,5/4/2023,5/4/2023,,
1444,98,SUP,5/11/2023,5/11/2023,,
1445,213,SUP,5/4/2023,Not Applicable,,
1446,436,SUP,5/9/2023,Not Applicable,,
1447,419,SUP,5/9/2023,Not Applicable,,
1448,213,SUP,5/4/2023,Not Applicable,,
1449,439,SUP,5/9/2023,Not Applicable,,
1450,316,SUP,5/11/2023,Not Applicable,,
1451,275,SUP,5/9/2023,Not Applicable,,
1452,309,W/M,5/11/2023,Not Applicable,,
1453,440,SUP,5/9/2023,Not Applicable,,
1454,275,SUP,5/9/2023,Not Applicable,,
1455,44,SUP,5/9/2023,5/9/2023,,
1456,381,SUP,5/11/2023,Not Applicable,,
1457,381,SUP,5/11/2023,Not Applicable,,
1458,120,SUP,5/11/2023,5/11/2023,,
1459,249,SUP,5/11/2023,5/11/2023,,
1460,429,SUP,5/9/2023,Not Applicable,,
1461,381,SUP,5/11/2023,Not Applicable,,
1462,7,SUP,5/9/2023,Not Applicable,,
1463,221,SUP,5/4/2023,Not Applicable,,
1464,305,SUP,5/11/2023,5/11/2023,,
1465,314,SUP,5/4/2023,Not Applicable,,
1466,121,SUP,5/11/2023,Not Applicable,,
1467,121,SUP,5/9/2023,Not Applicable,,
1468,136,SUP,5/9/2023,Not Applicable,,
1469,120,SUP,5/11/2023,5/11/2023,,
1470,421,SUP,5/9/2023,Not Applicable,,
1471,439,W/M,5/9/2023,Not Applicable,,
1472,423,SUP,5/9/2023,Not Applicable,,
1473,421,SUP,5/9/2023,Not Applicable,,
1474,365,SUP,5/11/2023,Not Applicable,,
1475,418,SUP,5/9/2023,Not Applicable,,
1476,243,SUP,5/11/2023,5/11/2023,,
1477,317,SUP,5/11/2023,Not Applicable,,
1478,259,SUP,5/4/2023,Not Applicable,,
1479,238,SUP,5/9/2023,Not Applicable,,
1480,239,SUP,5/11/2023,Not Applicable,,
1481,13,SUP,5/9/2023,5/9/2023,,
1482,112,W/M,5/11/2023,Not Applicable,,
1483,430,SUP,5/9/2023,Not Applicable,,
1485,382,SUP,5/11/2023,Not Applicable,,
1486,314,SUP,5/4/2023,Not Applicable,,
1487,238,SUP,5/9/2023,Not Applicable,,
1488,22,SUP,5/11/2023,5/11/2023,,
1489,269,W/M,5/9/2023,Not Applicable,,
1490,263,SUP,5/9/2023,Not Applicable,,
1491,413,SUP,5/9/2023,Not Applicable,,
1492,376,SUP,5/11/2023,5/11/2023,,
1493,14,SUP,5/9/2023,Not Applicable,,
1494,78,SUP,5/9/2023,Not Applicable,,
1495,223,SUP,5/4/2023,Not Applicable,,
1496,415,SUP,5/9/2023,Not Applicable,,
1497,266,SUP,5/9/2023,5/9/2023,,
1498,298,SUP,5/11/2023,Not Applicable,,
1499,317,SUP,5/11/2023,Not Applicable,,
1500,430,SUP,5/9/2023,Not Applicable,,
1501,112,W/M,5/11/2023,Not Applicable,,
1502,301,SUP,5/11/2023,Not Applicable,,
1503,221,SUP,5/4/2023,Not Applicable,,
1504,221,SUP,5/4/2023,Not Applicable,,
1505,258,SUP,5/11/2023,Not Applicable,,
1506,415,SUP,5/9/2023,Not Applicable,,
1507,409,SUP,5/9/2023,5/9/2023,,
1508,382,SUP,5/11/2023,Not Applicable,,
1509,415,SUP,5/9/2023,Not Applicable,,
1510,225,SUP,5/11/2023,5/11/2023,,
1511,553,SUP,5/11/2023,5/11/2023,,
1512,371,SUP,5/11/2023,5/11/2023,,
1513,111,SUP,5/11/2023,5/11/2023,,
1514,340,SUP,5/9/2023,5/9/2023,,
1515,442,SUP,5/9/2023,Not Applicable,,
1516,70,SUP,5/9/2023,Not Applicable,,
1517,108,SUP,5/11/2023,5/11/2023,,
1518,482,SUP,5/11/2023,Not Applicable,,
1519,218,SUP,5/4/2023,Not Applicable,,
1520,430,SUP,5/9/2023,Not Applicable,,
1521,225,SUP,5/4/2023,Not Applicable,,
1522,320,SUP,5/11/2023,Not Applicable,,
1523,287,SUP,5/4/2023,5/4/2023,,
1524,290,SUP,5/4/2023,5/4/2023,,
1525,287,SUP,5/4/2023,5/4/2023,,
1526,426,SUP,5/9/2023,Not Applicable,,
1527,301,SUP,5/11/2023,Not Applicable,,
1528,415,SUP,5/9/2023,Not Applicable,,
1529,233,SUP,5/11/2023,Not Applicable,,
1530,136,SUP,5/9/2023,Not Applicable,,
1531,270,SUP,5/9/2023,5/9/2023,,
1532,369,SUP,5/11/2023,5/11/2023,,
1533,369,SUP,5/11/2023,5/11/2023,,
1534,427,SUP,5/9/2023,Not Applicable,,
1535,430,SUP,5/9/2023,Not Applicable,,
1536,111,SUP,5/11/2023,5/11/2023,,
1537,234,W/M,5/11/2023,Not Applicable,,
1538,430,SUP,5/9/2023,Not Applicable,,
1539,213,SUP,5/4/2023,Not Applicable,,
1540,201,SUP,5/11/2023,Not Applicable,,
1541,107,SUP,5/11/2023,5/11/2023,,
1542,196,SUP,5/11/2023,Not Applicable,,
1543,430,SUP,5/11/2023,Not Applicable,,
1544,320,SUP,5/11/2023,Not Applicable,,
1545,412,SUP,5/9/2023,Not Applicable,,
1546,426,W/M,5/9/2023,Not Applicable,,
1547,246,SUP,5/11/2023,Not Applicable,,
1548,262,SUP,5/9/2023,Not Applicable,,
1549,368,SUP,5/11/2023,5/11/2023,,
1550,388,W/M,5/11/2023,Not Applicable,,
1551,435,SUP,5/9/2023,Not Applicable,,
1552,308,SUP,5/11/2023,5/11/2023,,
1553,264,SUP,5/9/2023,5/9/2023,,
1554,452,SUP,5/11/2023,Not Applicable,,
1555,463,SUP,5/11/2023,Not Applicable,,
1556,266,SUP,5/9/2023,5/9/2023,,
1557,482,SUP,5/11/2023,5/11/2023,,
1558,298,SUP,5/11/2023,Not Applicable,,
1559,394,W/M,5/11/2023,Not Applicable,,
1560,396,SUP,5/11/2023,5/11/2023,,
1561,145,SUP,5/9/2023,5/9/2023,,
1562,424,W/M,5/9/2023,Not Applicable,,
1563,448,SUP,5/11/2023,5/11/2023,,
1564,218,SUP,5/4/2023,Not Applicable,,
1565,427,SUP,5/9/2023,Not Applicable,,
1566,247,SUP,5/11/2023,Not Applicable,,
1567,427,SUP,5/11/2023,Not Applicable,,
1568,229,SUP,5/11/2023,Not Applicable,,
1569,259,SUP,5/11/2023,Not Applicable,,
1570,248,SUP,5/11/2023,Not Applicable,,
1571,442,SUP,5/9/2023,Not Applicable,,
1572,582,SUP,5/11/2023,Not Applicable,,
1573,405,SUP,5/11/2023,Not Applicable,,
1574,447,SUP,5/11/2023,Not Applicable,,
1575,457,SUP,5/11/2023,Not Applicable,,
1576,238,W/M,5/9/2023,Not Applicable,,
1577,424,SUP,5/9/2023,Not Applicable,,
1578,23,SUP,5/11/2023,5/11/2023,,
1579,296,SUP,5/11/2023,Not Applicable,,
1580,249,SUP,5/11/2023,Not Applicable,,
1581,427,SUP,5/9/2023,Not Applicable,,
1583,449,W/M,5/11/2023,Not Applicable,,
1584,396,SUP,5/11/2023,5/11/2023,,
1585,429,SUP,5/9/2023,Not Applicable,,
1586,26,SUP,5/11/2023,5/11/2023,,
1587,450,W/M,5/11/2023,Not Applicable,,
1588,445,SUP,5/11/2023,Not Applicable,,
1589,108,SUP,5/11/2023,5/11/2023,,
1590,553,SUP,5/11/2023,5/11/2023,,
1591,234,SUP,5/11/2023,Not Applicable,,
1592,205,SUP,5/11/2023,Not Applicable,,
1593,202,SUP,5/11/2023,Not Applicable,,
1594,219,SUP,5/4/2023,5/4/2023,,
1595,217,SUP,5/4/2023,Not Applicable,,
1596,265,SUP,5/9/2023,5/9/2023,,
1597,356,SUP,5/9/2023,5/9/2023,,
1598,370,SUP,5/11/2023,5/11/2023,,
1599,362,SUP,5/9/2023,5/9/2023,,
1600,447,SUP,5/11/2023,Not Applicable,,
1601,482,SUP,5/11/2023,5/11/2023,,
1602,275,SUP,5/9/2023,Not Applicable,,
1603,42,SUP,5/11/2023,Not Applicable,,
1604,430,SUP,5/11/2023,Not Applicable,,
1605,14,SUP,5/9/2023,Not Applicable,,
1606,119,SUP,5/11/2023,5/11/2023,,
1607,237,SUP,5/11/2023,Not Applicable,,
1608,457,SUP,5/11/2023,Not Applicable,,
1609,419,SUP,5/9/2023,Not Applicable,,
1610,192,W/M,5/4/2023,Not Applicable,,
1611,205,SUP,5/11/2023,Not Applicable,,
1612,366,SUP,5/11/2023,Not Applicable,,
1613,308,SUP,5/11/2023,Not Applicable,,
1614,297,SUP,5/11/2023,Not Applicable,,
1615,452,W/M,5/11/2023,Not Applicable,,
1616,457,W/M,5/11/2023,Not Applicable,,
1617,381,SUP,5/11/2023,Not Applicable,,
1618,238,SUP,5/9/2023,5/9/2023,,
1619,192,SUP,5/4/2023,Not Applicable,,
1620,14,SUP,5/9/2023,Not Applicable,,
1621,418,SUP,5/9/2023,Not Applicable,,
1622,213,SUP,5/4/2023,Not Applicable,,
1623,226,SUP,5/11/2023,Not Applicable,,
1624,447,SUP,5/11/2023,Not Applicable,,
1625,426,SUP,5/9/2023,Not Applicable,,
1626,352,SUP,5/9/2023,5/9/2023,,
1627,427,SUP,5/9/2023,Not Applicable,,
1628,213,SUP,5/4/2023,Not Applicable,,
1629,251,W/M,5/11/2023,Not Applicable,,
1630,457,SUP,5/11/2023,Not Applicable,,
1631,288,SUP,5/4/2023,5/4/2023,,
1632,412,SUP,5/9/2023,Not Applicable,,
1633,424,SUP,5/9/2023,Not Applicable,,
1634,419,SUP,5/9/2023,Not Applicable,,
1635,442,SUP,5/9/2023,Not Applicable,,
1636,427,SUP,5/9/2023,Not Applicable,,
1637,432,SUP,5/9/2023,5/9/2023,,
1638,7,SUP,5/9/2023,Not Applicable,,
1639,247,SUP,5/11/2023,Not Applicable,,
1640,237,SUP,5/11/2023,Not Applicable,,
1641,301,SUP,5/11/2023,Not Applicable,,
1642,202,SUP,5/11/2023,Not Applicable,,
1643,439,SUP,5/9/2023,Not Applicable,,
1644,232,SUP,5/11/2023,Not Applicable,,
1645,581,SUP,5/11/2023,Not Applicable,,
1646,372,SUP,5/11/2023,5/11/2023,,
1647,248,SUP,5/11/2023,Not Applicable,,
1648,392,SUP,5/11/2023,Not Applicable,,
1649,427,SUP,5/9/2023,Not Applicable,,
1650,444,SUP,5/9/2023,Not Applicable,,
1651,453,SUP,5/11/2023,Not Applicable,,
1652,312,SUP,5/4/2023,Not Applicable,,
1653,320,SUP,5/11/2023,Not Applicable,,
1654,419,SUP,5/9/2023,Not Applicable,,
1655,482,SUP,5/11/2023,Not Applicable,,
1656,228,SUP,5/11/2023,Not Applicable,,
1657,425,SUP,5/9/2023,Not Applicable,,
1658,30,SUP,5/11/2023,Not Applicable,,
1659,379,SUP,5/11/2023,Not Applicable,,
1660,448,SUP,5/11/2023,5/11/2023,,
1661,302,SUP,5/11/2023,Not Applicable,,
1662,304,SUP,5/11/2023,5/11/2023,,
1663,294,SUP,5/11/2023,Not Applicable,,
1664,299,SUP,5/11/2023,Not Applicable,,
1665,239,SUP,5/11/2023,Not Applicable,,
1666,306,SUP,5/11/2023,5/11/2023,,
1667,247,SUP,5/11/2023,Not Applicable,,
1668,269,SUP,5/9/2023,5/9/2023,,
1669,438,SUP,5/9/2023,Not Applicable,,
1670,168,W/M,5/11/2023,Not Applicable,,
1671,433,SUP,5/9/2023,5/9/2023,,
1672,436,SUP,5/9/2023,Not Applicable,,
1673,192,SUP,5/4/2023,Not Applicable,,
1674,280,SUP,5/11/2023,Not Applicable,,
1675,256,SUP,5/11/2023,Not Applicable,,
1676,580,SUP,5/9/2023,Not Applicable,,
1677,189,SUP,5/4/2023,Not Applicable,,
1678,442,SUP,5/9/2023,Not Applicable,,
1679,438,SUP,5/9/2023,Not Applicable,,
1680,110,SUP,5/11/2023,Not Applicable,,
1681,268,SUP,5/9/2023,5/9/2023,,
1682,288,SUP,5/4/2023,5/4/2023,,
1683,413,SUP,5/9/2023,Not Applicable,,
1684,237,W/M,5/11/2023,Not Applicable,,
1685,430,SUP,5/9/2023,Not Applicable,,
1686,403,SUP,5/11/2023,5/11/2023,,
1687,289,SUP,5/4/2023,Not Applicable,,
1688,289,SUP,5/4/2023,5/4/2023,,
1689,376,SUP,5/11/2023,5/11/2023,,
1690,275,SUP,5/9/2023,Not Applicable,,
1691,362,W/M,5/9/2023,Not Applicable,,
1692,445,SUP,5/11/2023,Not Applicable,,
1693,445,W/M,5/11/2023,Not Applicable,,
1694,124,SUP,5/11/2023,Not Applicable,,
1695,427,SUP,5/9/2023,Not Applicable,,
1696,412,SUP,5/9/2023,Not Applicable,,
1697,454,W/M,5/11/2023,Not Applicable,,
1698,183,SUP,5/4/2023,Not Applicable,,
1699,401,SUP,5/11/2023,Not Applicable,,
1700,459,SUP,5/11/2023,Not Applicable,,
1701,21,W/M,5/11/2023,Not Applicable,,
1702,92,SUP,5/11/2023,Not Applicable,,
1703,280,SUP,5/11/2023,Not Applicable,,
1704,453,SUP,5/11/2023,Not Applicable,,
1705,191,SUP,5/4/2023,Not Applicable,,
1707,208,SUP,5/4/2023,Not Applicable,,
1708,401,SUP,5/11/2023,Not Applicable,,
1709,248,SUP,5/11/2023,Not Applicable,,
1710,140,SUP,5/9/2023,Not Applicable,,
1711,2,SUP,5/9/2023,5/9/2023,,
1712,111,SUP,5/11/2023,5/11/2023,,
1713,278,W/M,5/9/2023,Not Applicable,,
1714,320,SUP,5/11/2023,Not Applicable,,
1715,285,W/M,5/11/2023,Not Applicable,,
1716,508,W/M,5/11/2023,Not Applicable,,
1717,508,W/M,5/11/2023,Not Applicable,,
1718,222,SUP,5/4/2023,Not Applicable,,
1719,204,SUP,5/11/2023,Not Applicable,,
1720,25,SUP,5/11/2023,5/11/2023,,
1721,418,SUP,5/9/2023,Not Applicable,,
1722,421,SUP,5/9/2023,Not Applicable,,
1723,413,SUP,5/9/2023,Not Applicable,,
1724,216,SUP,5/4/2023,Not Applicable,,
1726,315,SUP,5/4/2023,Not Applicable,,
1727,439,SUP,5/9/2023,Not Applicable,,
1728,239,SUP,5/11/2023,5/11/2023,,
1729,239,SUP,5/11/2023,Not Applicable,,
1730,287,SUP,5/4/2023,Not Applicable,,
1731,192,SUP,5/4/2023,Not Applicable,,
1732,414,SUP,5/9/2023,Not Applicable,,
1733,203,SUP,5/11/2023,Not Applicable,,
1734,246,SUP,5/9/2023,Not Applicable,,
1735,269,SUP,5/9/2023,5/9/2023,,
1736,284,SUP,5/4/2023,Not Applicable,,
1737,268,SUP,5/9/2023,5/9/2023,,
1738,421,SUP,5/9/2023,Not Applicable,,
1739,227,SUP,5/11/2023,5/11/2023,,
1740,263,SUP,5/9/2023,Not Applicable,,
1741,284,SUP,5/4/2023,Not Applicable,,
1742,165,SUP,5/4/2023,Not Applicable,,
1743,258,W/M,5/11/2023,Not Applicable,,
1744,192,SUP,5/4/2023,Not Applicable,,
1745,239,SUP,5/11/2023,Not Applicable,,
1746,371,SUP,5/11/2023,5/11/2023,,
1747,461,SUP,5/11/2023,Not Applicable,,
1748,36,SUP,5/11/2023,Not Applicable,,
1749,183,SUP,5/4/2023,Not Applicable,,
1750,222,SUP,5/4/2023,Not Applicable,,
1751,297,W/M,5/11/2023,Not Applicable,,
1752,204,SUP,5/11/2023,Not Applicable,,
1753,184,SUP,5/2/2023,Not Applicable,,
1754,203,SUP,5/11/2023,Not Applicable,,
1755,453,W/M,5/11/2023,Not Applicable,,
1756,462,W/M,5/11/2023,Not Applicable,,
1757,419,SUP,5/9/2023,Not Applicable,,
1758,239,SUP,5/11/2023,Not Applicable,,
1759,288,SUP,5/4/2023,Not Applicable,,
1760,455,SUP,5/11/2023,5/11/2023,,
1761,341,SUP,5/9/2023,5/9/2023,,
1762,157,SUP,5/4/2023,Not Applicable,,
1763,311,SUP,5/4/2023,Not Applicable,,
1764,413,SUP,5/9/2023,Not Applicable,,
1765,237,SUP,5/11/2023,Not Applicable,,
1766,23,SUP,5/11/2023,Not Applicable,,
1767,300,SUP,5/11/2023,Not Applicable,,
1768,582,SUP,5/11/2023,Not Applicable,,
1769,231,SUP,5/11/2023,Not Applicable,,
1770,229,SUP,5/11/2023,5/11/2023,,
1771,202,SUP,5/11/2023,Not Applicable,,
1772,468,SUP,5/11/2023,Not Applicable,,
1773,288,SUP,5/4/2023,5/4/2023,,
1774,310,SUP,5/11/2023,Not Applicable,,
1775,478,SUP,5/11/2023,Not Applicable,,
1776,442,SUP,5/9/2023,Not Applicable,,
1777,168,SUP,5/11/2023,Not Applicable,,
1778,382,SUP,5/11/2023,Not Applicable,,
1779,265,W/M,5/9/2023,Not Applicable,,
1780,315,SUP,5/4/2023,Not Applicable,,
1781,190,SUP,5/4/2023,Not Applicable,,
1782,216,SUP,5/11/2023,Not Applicable,,
1783,580,SUP,5/9/2023,Not Applicable,,
1784,477,SUP,5/11/2023,Not Applicable,,
1785,184,W/M,5/4/2023,Not Applicable,,
1786,423,W/M,5/9/2023,Not Applicable,,
1787,414,SUP,5/9/2023,Not Applicable,,
1788,183,SUP,5/4/2023,Not Applicable,,
1789,452,SUP,5/11/2023,Not Applicable,,
1790,197,SUP,5/11/2023,Not Applicable,,
1791,200,SUP,5/11/2023,Not Applicable,,
1792,231,SUP,5/11/2023,Not Applicable,,
1793,477,SUP,5/11/2023,Not Applicable,,
1794,232,SUP,5/11/2023,Not Applicable,,
1795,294,W/M,5/11/2023,Not Applicable,,
1796,184,SUP,5/4/2023,Not Applicable,,
1797,179,SUP,5/4/2023,Not Applicable,,
1798,205,SUP,5/11/2023,Not Applicable,,
1799,441,SUP,5/9/2023,Not Applicable,,
1800,583,SUP,5/9/2023,5/9/2023,,
1801,44,SUP,5/9/2023,5/9/2023,,
1802,411,SUP,5/9/2023,Not Applicable,,
1803,87,SUP,5/9/2023,Not Applicable,,
1804,248,SUP,5/11/2023,Not Applicable,,
1805,463,SUP,5/11/2023,Not Applicable,,
1806,189,SUP,5/4/2023,Not Applicable,,
1807,165,SUP,5/4/2023,Not Applicable,,
1808,388,W/M,5/11/2023,Not Applicable,,
1809,202,SUP,5/11/2023,Not Applicable,,
1810,164,SUP,5/4/2023,5/4/2023,,
