Club Number,FDD Current,FDD Oct_7_2025,FDD FY27_Q1,MP Current,MP Oct_7_2025,MP FY_27
6567,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6581,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6636,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6650,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6651,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6652,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6653,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6655,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6670,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6671,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6673,18:00-22:00,18:00-22:00,18:00-22:00,07:00-11:00,07:00-11:00,18:00-22:00
6674,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6676,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6693,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8144,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8145,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8160,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8161,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8175,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8186,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8191,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8193,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4724,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4739,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4776,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4780,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4802,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4817,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4836,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4872,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4901,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4950,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6203,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6409,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6435,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6463,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6509,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6572,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6643,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6644,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6646,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8107,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8112,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8142,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8158,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8166,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8194,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8196,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8203,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8211,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8247,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8256,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8278,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8283,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4778,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4781,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4851,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4926,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4944,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4982,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6304,17:00-21:00,17:00-19:00,17:00-19:00,17:00-21:00,17:00-21:00,17:00-21:00
6313,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6315,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6319,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6325,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6359,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6412,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6417,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6419,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6424,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6429,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6437,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6454,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6485,17:00-21:00,17:00-21:00,17:00-21:00,07:00-10:00,17:00-21:00,17:00-21:00
6489,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
6562,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6657,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6658,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6659,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6660,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6661,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6662,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6663,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6664,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6666,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6667,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8111,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,21:00:05:00,21:00-05:00
8135,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8139,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8168,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8169,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8174,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8276,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8291,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4703,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4731,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4761,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4791,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4839,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4938,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4961,04:00-06:00,19:00-05:00,21:00-05:00,04:00-06:00,04:00-06:00,21:00-05:00
6238,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6267,18:00-21:00,18:00-21:00,18:00-21:00,06:00-10:00,06:00-10:00,18:00-21:00
6342,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
6408,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6672,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
6779,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
7189,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
7676,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8117,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8134,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
8224,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8239,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8241,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8263,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8270,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8279,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
8289,19:00-23:00,19:00-05:00,21:00-05:00,04:00-08:00,04:00-08:00,21:00-05:00
4109,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4702,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
4712,19:00-23:00,19:00-05:00,21:00-05:00,19:00-23:00,21:00:05:00,21:00-05:00
