Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
311,304,485,60%,4%,71%,23%,2%,0%
312,338,478,41%,3%,74%,21%,1%,0%
313,5478,2044,-63%,2%,67%,30%,1%,0%
314,2359,1569,-33%,3%,63%,32%,2%,0%
315,2149,1754,-18%,3%,65%,30%,2%,0%
316,5148,1981,-62%,3%,66%,29%,2%,0%
317,1735,1287,-26%,1%,74%,24%,1%,0%
318,860,962,12%,3%,71%,25%,1%,0%
319,6031,2101,-65%,2%,62%,34%,2%,0%
320,366,469,28%,3%,71%,23%,2%,0%
321,1709,1225,-28%,5%,58%,35%,3%,0%
322,7862,3632,-54%,2%,56%,39%,3%,0%
323,380,434,14%,2%,69%,27%,2%,0%
324,384,377,-2%,3%,60%,34%,3%,0%
325,4213,1478,-65%,1%,75%,23%,1%,0%
326,316,135,-57%,6%,76%,19%,0%,0%
328,6096,2570,-58%,2%,59%,37%,1%,0%
329,5733,2168,-62%,3%,70%,25%,2%,0%
330,3161,2273,-28%,2%,56%,40%,2%,0%
331,3033,2333,-23%,3%,61%,35%,2%,0%
332,1799,2055,14%,1%,70%,28%,1%,0%
333,1539,1070,-30%,4%,66%,28%,2%,0%
334,596,817,37%,2%,78%,20%,1%,0%
335,5565,2440,-56%,2%,54%,41%,3%,0%
336,695,733,5%,2%,69%,28%,1%,0%
337,467,626,34%,4%,75%,20%,1%,0%
338,474,843,78%,1%,83%,15%,1%,0%
339,237,186,-22%,7%,59%,28%,5%,0%
340,1784,1238,-31%,2%,64%,31%,2%,0%
341,371,668,80%,1%,76%,22%,1%,0%
342,447,705,58%,2%,70%,28%,1%,0%
343,5522,1620,-71%,3%,64%,32%,1%,0%
344,2276,1454,-36%,2%,64%,33%,1%,0%
345,5351,1996,-63%,4%,61%,33%,3%,0%
346,3682,1430,-61%,3%,78%,19%,1%,0%
347,1122,1431,28%,2%,84%,13%,0%,0%
348,2061,1654,-20%,3%,68%,27%,2%,0%
350,1282,1137,-11%,3%,67%,29%,1%,0%
351,6564,3598,-45%,3%,56%,40%,2%,0%
352,373,407,9%,3%,66%,29%,2%,0%
353,1927,1215,-37%,3%,65%,30%,1%,0%
354,547,575,5%,2%,70%,27%,1%,0%
355,2006,2247,12%,1%,59%,38%,3%,0%
356,2453,2112,-14%,1%,72%,26%,1%,0%
357,411,763,86%,2%,77%,19%,1%,0%
358,679,746,10%,1%,75%,23%,1%,0%
359,7943,3974,-50%,1%,56%,40%,3%,0%
360,3892,1323,-66%,1%,74%,23%,1%,0%
361,5437,2033,-63%,1%,68%,29%,2%,0%
362,625,703,12%,2%,68%,28%,2%,0%
363,4500,1243,-72%,2%,66%,30%,2%,0%
364,1613,964,-40%,3%,68%,27%,1%,0%
365,6691,2813,-58%,2%,62%,33%,3%,0%
366,1406,2067,47%,2%,78%,19%,1%,0%
368,1120,1019,-9%,1%,73%,25%,1%,0%
369,991,1135,15%,3%,73%,23%,1%,0%
370,320,259,-19%,8%,58%,32%,2%,0%
371,7907,2965,-63%,4%,55%,38%,3%,0%
372,5357,1776,-67%,2%,67%,30%,2%,0%
373,348,553,59%,1%,76%,22%,2%,0%
374,1620,1276,-21%,5%,62%,30%,3%,0%
375,5564,2076,-63%,2%,64%,32%,1%,0%
376,3344,3040,-9%,1%,66%,30%,2%,0%
377,127,80,-37%,1%,79%,20%,0%,0%
378,356,523,47%,7%,67%,24%,2%,0%
379,5770,2278,-61%,3%,59%,36%,2%,0%
381,6574,2779,-58%,3%,55%,39%,3%,0%
382,2134,1804,-15%,2%,67%,29%,1%,0%
383,5350,1826,-66%,3%,61%,33%,2%,0%
384,5743,2068,-64%,3%,59%,36%,3%,0%
385,454,404,-11%,3%,57%,37%,3%,0%
386,1800,1504,-16%,2%,68%,28%,2%,0%
387,420,502,20%,1%,70%,27%,2%,0%
388,4386,1588,-64%,1%,73%,24%,2%,0%
389,6106,3228,-47%,2%,63%,33%,2%,0%
390,956,899,-6%,3%,71%,26%,0%,0%
391,4759,1573,-67%,2%,64%,31%,3%,0%
392,5111,2077,-59%,2%,72%,25%,1%,0%
393,2183,1725,-21%,4%,67%,28%,2%,0%
394,4784,1510,-68%,3%,67%,29%,2%,0%
395,6940,2918,-58%,1%,59%,36%,4%,0%
396,3963,3519,-11%,2%,61%,35%,2%,0%
397,6562,2905,-56%,2%,50%,44%,4%,0%
398,6985,2260,-68%,3%,50%,43%,3%,0%
399,6449,2923,-55%,3%,58%,37%,3%,0%
400,7467,5009,-33%,1%,55%,41%,4%,0%
401,597,476,-20%,2%,63%,33%,2%,0%
402,1883,2068,10%,1%,75%,23%,1%,0%
403,1009,1224,21%,4%,65%,29%,2%,0%
404,7965,3538,-56%,1%,56%,41%,3%,0%
405,6500,2592,-60%,3%,61%,34%,2%,0%
406,6574,2305,-65%,2%,56%,38%,3%,0%
407,8478,5248,-38%,1%,57%,39%,3%,0%
408,7254,3727,-49%,1%,57%,39%,3%,0%
409,550,606,10%,5%,67%,26%,1%,0%
410,6958,2974,-57%,1%,72%,25%,2%,0%
411,242,271,12%,1%,63%,33%,3%,0%
412,1852,1209,-35%,1%,61%,35%,2%,0%
413,3754,916,-76%,1%,73%,24%,1%,0%
414,1799,1950,8%,1%,68%,29%,2%,0%
415,5469,1918,-65%,2%,64%,33%,1%,0%
416,6664,2922,-56%,2%,61%,35%,2%,0%
417,4267,2829,-34%,4%,60%,33%,3%,0%
418,240,522,118%,2%,80%,17%,2%,0%
419,868,743,-14%,1%,74%,24%,1%,0%
420,6094,2306,-62%,1%,63%,33%,2%,0%
421,8119,3415,-58%,3%,58%,37%,2%,0%
422,1092,1574,44%,2%,77%,20%,0%,0%
423,5519,2603,-53%,1%,68%,29%,2%,0%
424,1399,1184,-15%,1%,62%,35%,2%,0%
425,420,535,27%,2%,65%,31%,2%,0%
426,5727,2228,-61%,1%,69%,29%,1%,0%
427,6652,2982,-55%,1%,58%,38%,3%,0%
428,1695,1198,-29%,1%,62%,34%,3%,0%
429,5865,2896,-51%,4%,52%,40%,3%,0%
430,1825,1562,-14%,7%,65%,26%,2%,0%
431,1935,1766,-9%,3%,70%,26%,2%,0%
432,1354,1076,-21%,1%,71%,26%,1%,0%
433,1612,1785,11%,0%,82%,17%,1%,0%
434,4940,1876,-62%,1%,66%,31%,1%,0%
435,5964,2259,-62%,3%,62%,35%,1%,0%
436,606,1029,70%,4%,76%,20%,0%,0%
437,1518,1112,-27%,1%,64%,33%,1%,0%
438,323,336,4%,3%,65%,29%,3%,0%
440,2139,1386,-35%,4%,66%,28%,1%,0%
442,6296,3052,-52%,1%,59%,36%,3%,0%
443,4290,1325,-69%,2%,72%,25%,1%,0%
444,6978,3308,-53%,1%,59%,37%,3%,0%
445,6015,2392,-60%,3%,60%,35%,2%,0%
446,255,246,-4%,3%,61%,33%,3%,0%
447,8140,3106,-62%,2%,50%,42%,5%,0%
448,1996,1788,-10%,2%,77%,20%,2%,0%
449,4907,1831,-63%,4%,67%,27%,2%,0%
450,3058,2298,-25%,1%,73%,24%,1%,0%
451,2122,1730,-18%,2%,65%,32%,1%,0%
452,6890,3082,-55%,2%,57%,37%,4%,1%
453,226,206,-9%,16%,54%,26%,4%,0%
454,1059,960,-9%,2%,78%,20%,1%,0%
456,7513,3436,-54%,3%,55%,37%,4%,0%
457,5644,2203,-61%,2%,60%,35%,2%,0%
458,5294,2183,-59%,2%,66%,31%,2%,0%
459,6508,3122,-52%,2%,61%,35%,2%,0%
461,8064,3804,-53%,2%,54%,39%,4%,0%
462,6514,2984,-54%,2%,54%,41%,3%,0%
463,2833,2387,-16%,2%,63%,32%,3%,0%
464,9394,5271,-44%,2%,55%,40%,3%,0%
465,5666,1606,-72%,2%,57%,38%,2%,0%
466,430,814,89%,2%,76%,21%,1%,0%
467,6344,3158,-50%,1%,56%,40%,2%,0%
468,2066,2225,8%,1%,75%,22%,2%,0%
469,1555,1434,-8%,2%,62%,35%,2%,0%
470,2492,2212,-11%,1%,59%,36%,4%,0%
471,2535,2144,-15%,1%,72%,24%,3%,0%
472,6540,2738,-58%,2%,58%,37%,3%,0%
473,388,660,70%,1%,77%,21%,1%,0%
475,7794,3918,-50%,1%,55%,42%,3%,0%
476,1953,1499,-23%,5%,64%,30%,2%,0%
477,1328,1042,-22%,3%,64%,32%,1%,0%
478,244,185,-24%,3%,60%,32%,5%,0%
479,5230,2058,-61%,1%,61%,36%,3%,0%
480,574,454,-21%,2%,59%,37%,2%,0%
481,5549,2248,-59%,3%,65%,30%,2%,0%
482,432,473,9%,2%,74%,24%,0%,0%
483,5871,2673,-54%,2%,69%,27%,2%,0%
484,5880,2366,-60%,1%,56%,40%,3%,0%
485,480,512,7%,4%,69%,25%,2%,0%
486,4501,1701,-62%,2%,73%,25%,1%,0%
488,367,639,74%,3%,64%,30%,3%,0%
489,5136,1929,-62%,2%,60%,36%,2%,0%
490,5658,3030,-46%,1%,68%,29%,2%,0%
491,6329,2799,-56%,3%,59%,37%,2%,0%
492,5716,2178,-62%,2%,66%,29%,2%,0%
493,1764,1022,-42%,1%,60%,35%,2%,0%
494,6477,3177,-51%,2%,57%,38%,2%,0%
495,1970,2197,12%,1%,75%,22%,2%,0%
497,6107,2231,-63%,2%,59%,36%,2%,0%
498,1248,839,-33%,3%,68%,28%,1%,0%
499,6804,3032,-55%,2%,62%,34%,2%,0%
500,10779,5128,-52%,2%,52%,42%,4%,0%
501,3927,2841,-28%,3%,57%,38%,3%,0%
502,1463,1034,-29%,2%,68%,29%,1%,0%
503,395,404,2%,1%,66%,31%,2%,0%
504,5476,2219,-59%,1%,64%,33%,2%,0%
505,2357,2111,-10%,3%,67%,28%,2%,0%
506,434,750,73%,2%,79%,18%,1%,0%
507,5720,1931,-66%,3%,67%,28%,2%,0%
508,6250,2569,-59%,4%,56%,38%,2%,0%
510,2733,1945,-29%,2%,66%,29%,3%,0%
511,6808,3203,-53%,1%,58%,38%,3%,0%
512,5481,3094,-44%,2%,50%,42%,6%,1%
513,2511,1979,-21%,2%,58%,36%,3%,0%
514,5076,2210,-56%,1%,63%,34%,2%,0%
515,3986,2961,-26%,3%,69%,27%,2%,0%
516,5728,2221,-61%,3%,57%,36%,3%,0%
517,7099,3096,-56%,1%,63%,34%,2%,0%
518,7102,3003,-58%,2%,66%,30%,2%,0%
519,1728,1783,3%,6%,75%,17%,1%,0%
520,6388,2905,-55%,2%,56%,39%,3%,0%
521,4266,1713,-60%,2%,73%,24%,1%,0%
522,5700,2411,-58%,1%,60%,35%,3%,0%
523,800,690,-14%,2%,68%,29%,1%,0%
524,773,679,-12%,3%,64%,33%,1%,0%
525,49,80,63%,1%,65%,34%,0%,0%
526,5305,1954,-63%,1%,67%,31%,1%,0%
527,5642,2139,-62%,3%,59%,36%,2%,0%
528,4481,1887,-58%,1%,61%,35%,3%,0%
529,6444,3119,-52%,1%,59%,37%,3%,0%
530,3144,2340,-26%,1%,73%,24%,2%,0%
531,6258,2809,-55%,1%,55%,41%,4%,0%
532,9397,4660,-50%,2%,58%,37%,2%,0%
533,3131,2812,-10%,1%,67%,30%,2%,0%
535,7853,4306,-45%,2%,53%,42%,3%,0%
536,6103,2623,-57%,3%,58%,36%,3%,0%
