Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
589,40FT,7,10,87
610,40FT,7,10,87
613,40FT,7,10,87
622,40FT,7,10,87
656,40FT,7,10,87
663,40FT,7,10,87
672,40FT,7,10,87
673,40FT,7,10,87
674,40FT,7,10,87
687,40FT,7,10,87
703,40FT,7,10,87
705,40FT,7,10,87
706,40FT,7,10,87
739,40FT,7,10,87
762,40FT,7,10,87
765,40FT,7,10,87
771,40FT,7,10,87
793,40FT,7,10,87
807,40FT,7,10,87
813,40FT,7,10,87
817,40FT,7,10,87
821,40FT,7,10,87
822,40FT,7,10,87
826,40FT,7,10,87
831,40FT,7,10,87
855,40FT,7,10,87
860,40FT,7,10,87
868,40FT,7,10,87
881,40FT,7,10,87
891,40FT,7,10,87
892,40FT,7,10,87
899,40FT,7,10,87
901,40FT,7,10,87
911,40FT,7,10,87
913,40FT,7,10,87
930,40FT,7,10,87
932,40FT,7,10,87
934,40FT,7,10,87
935,40FT,7,10,87
943,40FT,7,10,87
948,40FT,7,10,87
955,40FT,7,10,87
958,40FT,7,10,87
961,40FT,7,10,87
968,40FT,7,10,87
971,40FT,7,10,87
980,40FT,7,10,87
995,40FT,7,10,87
1000,40FT,7,10,87
1001,40FT,7,10,87
1005,40FT,7,10,87
1015,40FT,7,10,87
1033,40FT,7,10,87
1062,40FT,7,10,87
1085,40FT,7,10,87
1087,40FT,7,10,87
1113,40FT,7,10,87
1123,40FT,7,10,87
1130,40FT,7,10,87
1139,40FT,7,10,87
1149,40FT,7,10,87
1155,40FT,7,10,87
1158,40FT,7,10,87
1162,40FT,7,10,87
1164,40FT,7,10,87
1186,40FT,7,10,87
1195,40FT,7,10,87
1202,40FT,7,10,87
1222,40FT,7,10,87
1229,40FT,7,10,87
1232,40FT,7,10,87
1238,40FT,7,10,87
1242,40FT,7,10,87
1245,40FT,7,10,87
1253,40FT,7,10,87
1261,40FT,7,10,87
1273,40FT,7,10,87
1287,40FT,7,10,87
1293,40FT,7,10,87
1294,40FT,7,10,87
1298,40FT,7,10,87
1300,40FT,7,10,87
1310,40FT,7,10,87
1331,40FT,7,10,87
1340,40FT,7,10,87
1346,40FT,7,10,87
1349,40FT,7,10,87
1355,40FT,7,10,87
1375,40FT,7,10,87
1381,40FT,7,10,87
1382,40FT,7,10,87
1385,40FT,7,10,87
1400,40FT,7,10,87
1406,40FT,7,10,87
1425,40FT,7,10,87
1426,40FT,7,10,87
1427,40FT,7,10,87
1429,40FT,7,10,87
1431,40FT,7,10,87
1432,40FT,7,10,87
1435,40FT,7,10,87
1443,40FT,7,10,87
1449,40FT,7,10,87
1450,40FT,7,10,87
1454,40FT,7,10,87
1455,40FT,7,10,87
1457,40FT,7,10,87
1458,40FT,7,10,87
1461,40FT,7,10,87
1470,40FT,7,10,87
1472,40FT,7,10,87
1476,40FT,7,10,87
1503,40FT,7,10,87
1504,40FT,7,10,87
1508,40FT,7,10,87
1532,40FT,7,10,87
1534,40FT,7,10,87
1536,40FT,7,10,87
1549,40FT,7,10,87
1551,40FT,7,10,87
1558,40FT,7,10,87
1562,40FT,7,10,87
1568,40FT,7,10,87
1569,40FT,7,10,87
1573,40FT,7,10,87
1577,40FT,7,10,87
1578,40FT,7,10,87
1581,40FT,7,10,87
1584,40FT,7,10,87
1591,40FT,7,10,87
1600,40FT,7,10,87
1604,40FT,7,10,87
1612,40FT,7,10,87
1618,40FT,7,10,87
1628,40FT,7,10,87
1633,40FT,7,10,87
1644,40FT,7,10,87
1646,40FT,7,10,87
1655,40FT,7,10,87
1668,40FT,7,10,87
1669,40FT,7,10,87
1672,40FT,7,10,87
1676,40FT,7,10,87
1679,40FT,7,10,87
1689,40FT,7,10,87
1697,40FT,7,10,87
1734,40FT,7,10,87
1745,40FT,7,10,87
1753,40FT,7,10,87
1754,40FT,7,10,87
1768,40FT,7,10,87
1770,40FT,7,10,87
1771,40FT,7,10,87
1782,40FT,7,10,87
1784,40FT,7,10,87
1799,40FT,7,10,87
1804,40FT,7,10,87
1805,40FT,7,10,87
1814,40FT,7,10,87
1815,40FT,7,10,87
1823,40FT,7,10,87
