STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales,Right_STORE_NBR,2022 YTD SALES UNITS,2021 SALES UNITS,FYE21 SALES UNITS,FYE20 SALES UNITS,Right_REGION_NBR,CITY_NAME,STATE_PROV_CODE,REGION_NAME,Right_MARKET_AREA_NBR,FYE24 Modular,Total Items on FYE24 Store Modular,Store Set Expected Arrival Wk,DTS Shippments,F16,F17,F18,F19,F20,F21
2918,0,0,0,No Kayak Modular would need to Request Modular,-1,2918,0,-1,0,0,5,ALLEN,TX,Dallas,51,No Modular,0,,,,,,,,
2919,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2920,16,11,31,34,56,2920,32,58,54,62,3,ORANGE PARK,FL,"GA, FL",101,MID TIER REC,10,3,,,,,,,
2921,44,18,106,113,127,2921,106,129,211,161,54,HARRISVILLE,UT,Rocky Mountain Region,401,Combo,16,No Store Set Use Cur Inventory was DTS 4,1 (Store Set Only),,,,,,
2922,0,0,0,No Kayak Modular would need to Request Modular,0,2922,0,0,0,0,46,TUCSON,AZ,Phoenix,366,No Modular,0,,,,,,,,
2923,21,20,214,229,320,2923,214,322,312,182,47,BILLINGS,MT,Frontier Region,382,Avid Rec SOT,18,DTS 10,1 (Store Set Only),,,,,,
2924,0,0,0,No Kayak Modular would need to Request Modular,0,2924,0,0,0,-1,46,ALBUQUERQUE,NM,Phoenix,384,No Modular,0,,,,,,,,
2925,10,10,46,49,34,2925,46,39,63,65,56,NAPA,CA,"N. CA, N. NV",453,Angler - Low Volume,10,5,,,,,,,
2926,0,0,0,No Kayak Modular would need to Request Modular,0,2926,0,0,0,0,5,PLANO,TX,Dallas,56,No Modular,0,,,,,,,,
2927,58,7,95,104,215,2927,97,216,187,214,60,WOOD VILLAGE,OR,"OR, WA, AK, HI",476,Angler - Low Volume,10,No Store Set Use Cur Inventory was wk6,,,,,,,
2928,1,0,1,No Kayak Modular would need to Request Modular,55,2928,1,55,38,45,4,GOOSE CREEK,SC,North Carolina,36,No Modular,0,,,,,,,,
2929,6,4,28,31,13,2929,29,13,35,27,26,HOPE MILLS,NC,Southeast,310,LOW VOLUME/BASIC,6,5,,,,,,,
2930,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2931,0,0,1,No Kayak Modular would need to Request Modular,0,2931,1,0,0,-1,75,FRUITLAND,MD,"DC, VA",285,No Modular,0,,,,,,,,
2932,1,9,23,26,35,2932,24,36,93,83,2,KNOXVILLE,TN,"TN, GA - Atlanta",122,LOW VOLUME/BASIC,6,6,,,,,,,
2933,54,13,158,170,186,2933,159,190,244,148,20,PRINCETON,WV,"VA, OH, PA, WV",317,Angler - Mid to High Volume,16,No Store Set Use Cur Inventory was DTS 6,1 (Store Set Only),,,,,,
2934,0,0,0,No Kayak Modular would need to Request Modular,0,2934,0,0,0,0,25,PARIS,IL,IL / S IN,273,No Modular,0,,,,,,,,
2935,0,0,28,No Kayak Modular would need to Request Modular,29,2935,28,29,40,32,52,KNOXVILLE,IA,"MN, IA",413,No Modular,0,,,,,,,,
2936,0,0,0,No Kayak Modular would need to Request Modular,0,,0,0,0,0,,MILWAUKEE,WI,WISCONSIN,,No Modular,0,,,,,,,,
2937,5,4,35,37,23,2937,35,23,67,54,52,HIBBING,MN,"MN, IA",419,LOW VOLUME/BASIC,6,11,,,,,,,
2938,9,4,16,17,14,2938,16,14,11,3,13,LAFAYETTE,LA,"LA, MS",132,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
2939,0,0,3,No Kayak Modular would need to Request Modular,0,2939,3,0,2,4,13,RICHLAND,MS,"LA, MS",140,No Modular,0,,,,,,,,
2940,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2941,0,0,0,No Kayak Modular would need to Request Modular,1,2941,0,1,2,3,2,ALPHARETTA,GA,"TN, GA - Atlanta",24,No Modular,0,,,,,,,,
2945,16,18,42,46,42,2945,43,45,28,30,22,PARKESBURG,PA,"PA, NJ",233,Angler - Low Volume,10,6,,,,,,,
2946,0,0,0,No Kayak Modular would need to Request Modular,3,2946,0,3,0,-2,9,FORT LAUDERDALE,FL,Florida,109,No Modular,0,,,,,,,,
2947,20,6,62,67,61,2947,63,61,63,99,60,VANCOUVER,WA,"OR, WA, AK, HI",476,Angler - Low Volume,10,6,,,,,,,
2948,0,0,0,No Kayak Modular would need to Request Modular,0,2948,0,0,0,0,57,SANTA FE SPRINGS,CA,LA and Vegas,484,No Modular,0,,,,,,,,
2950,1,2,6,6,14,2950,6,14,7,8,57,PALMDALE,CA,LA and Vegas,448,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
2951,0,0,0,No Kayak Modular would need to Request Modular,0,2951,0,0,0,0,57,LANCASTER,CA,LA and Vegas,448,No Modular,0,,,,,,,,
2952,46,14,53,57,32,2952,53,34,44,25,57,MURRIETA,CA,LA and Vegas,460,MID TIER REC,10,No Store Set Use Cur Inventory was wk3,,,,,,,
2953,6,1,41,44,33,2953,41,34,23,49,16,SWANSEA,MA,New England,160,MID TIER REC,10,10,,,,,,,
2954,0,0,0,No Kayak Modular would need to Request Modular,2,2954,0,2,-1,-1,17,NORWALK,CT,New York,173,No Modular,0,,,,,,,,
2955,0,0,0,No Kayak Modular would need to Request Modular,0,2955,0,0,0,0,40,KANSAS CITY,MO,Missouri,362,No Modular,0,,,,,,,,
2956,0,0,4,4,31,2956,4,31,30,35,25,SHOREWOOD,IL,IL / S IN,262,BARE BONES,3,No Store Set Use Cur Inventory was wk10,,,,,,,
2957,29,11,212,229,166,2957,214,165,96,200,52,DETROIT LAKES,MN,"MN, IA",412,Avid Rec SOT,18,DTS 11,1 (Store Set Only),,,,,,
2958,3,4,20,21,43,2958,20,45,46,78,53,APPLETON,WI,WISCONSIN,439,LOW VOLUME/BASIC,6,10,,,,,,,
2959,0,0,0,No Kayak Modular would need to Request Modular,0,2959,0,0,0,0,19,ROSEVILLE,MI,"Michigan, OH",206,No Modular,0,,,,,,,,
2962,14,1,8,9,1,2962,8,2,20,20,9,POMPANO BEACH,FL,Florida,108,BARE BONES,3,No Store Set Use Cur Inventory was wk3,,,,,,,
2963,0,0,0,No Kayak Modular would need to Request Modular,1,2963,0,1,8,2,9,CORAL SPRINGS,FL,Florida,108,No Modular,0,,,,,,,,
2964,0,0,0,No Kayak Modular would need to Request Modular,0,2964,0,0,0,0,16,LEOMINSTER,MA,New England,156,No Modular,0,,,,,,,,
2965,0,0,0,No Kayak Modular would need to Request Modular,2,2965,0,2,0,0,17,NEWINGTON,CT,New York,163,No Modular,0,,,,,,,,
2966,0,0,0,No Kayak Modular would need to Request Modular,0,2966,0,0,0,-2,20,WADSWORTH,OH,"VA, OH, PA, WV",215,No Modular,0,,,,,,,,
2967,13,0,11,13,17,2967,12,17,29,49,21,FT WRIGHT,KY,OH/IN,225,BARE BONES,3,No Store Set Use Cur Inventory was wk7,,,,,,,
2968,0,0,0,No Kayak Modular would need to Request Modular,0,2968,0,0,1,6,25,CARROLLTON,KY,IL / S IN,243,No Modular,0,,,,,,,,
2973,11,0,8,9,19,2973,8,19,9,6,5,MURPHY,TX,Dallas,51,BARE BONES,3,No Store Set Use Cur Inventory was wk4,,,,,,,
2974,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2975,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2976,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2977,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2978,0,0,0,No Kayak Modular would need to Request Modular,0,2978,0,0,0,0,5,FORT WORTH,TX,Dallas,44,No Modular,0,,,,,,,,
2979,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2980,5,0,4,No Kayak Modular would need to Request Modular,29,2980,4,29,6,12,5,FORT WORTH,TX,Dallas,479,No Modular,0,,,,,,,,
2981,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2984,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2985,15,10,48,51,76,2985,48,79,79,92,57,FRESNO,CA,LA and Vegas,449,MID TIER REC,10,4,,,,,,,
2986,2,3,21,24,30,2986,22,30,47,91,53,NEENAH,WI,WISCONSIN,439,LOW VOLUME/BASIC,6,10,,,,,,,
2987,3,1,12,13,18,2987,12,21,33,27,9,DAVIE,FL,Florida,109,BARE BONES,3,No Store Set Use Cur Inventory was wk3,,,,,,,
2988,29,28,88,98,80,2988,92,83,86,87,2,LA FAYETTE,GA,"TN, GA - Atlanta",120,Angler - Mid to High Volume,16,5,,,,,,,
2989,7,7,15,16,17,2989,15,17,13,7,56,FREMONT,CA,"N. CA, N. NV",511,BARE BONES,3,No Store Set Use Cur Inventory was wk5,,,,,,,
