Market,Club Number,PRIMARY TEAM,AVG $PCPW 1,SECONDARY TEAM,AVG $PCPW 2,TERTIARY TEAM,AVG $PCPW 3
19,6474,MIZZOU," $1,188 ",KANSAS CITY CHIEFS, $986 ,N/A , N/A 
19,8251,ST. LOUIS BLUES," $2,587 ",MIZZOU," $1,732 ",N/A , N/A 
9,8163,KANSAS CITY CHIEFS," $4,831 ",MIZZOU," $3,684 ",N/A , N/A 
19,6252,ST. LOUIS BLUES, $867 ,MIZZOU, $597 ,N/A , N/A 
9,6275,KANSAS CITY CHIEFS," $4,203 ",WICHITA STATE, $585 ,N/A , N/A 
9,6426,KANSAS CITY CHIEFS, $272 ,WICHITA STATE, $-   ,N/A , N/A 
8,6568,IOWA STATE," $5,324 ",KANSAS CITY CHIEFS, $-   ,N/A, N/A 
10,4731,OKLAHOMA," $1,900 ",OKLAHOMA STATE, $517 ,N/A, N/A 
9,4791,N/A, $-   ,N/A, $-   ,N/A, N/A 
16,4985,KANSAS CITY CHIEFS," $4,994 ",N/A, $-   ,N/A, N/A 
9,6418,KANSAS CITY CHIEFS," $3,956 ",N/A, $-   ,N/A, N/A 
19,8125,N/A, $-   ,N/A, $-   ,N/A, N/A 
16,6415,KANSAS CITY CHIEFS," $5,226 ",N/A, $-   ,N/A, N/A 
9,4920,KANSAS CITY CHIEFS," $5,296 ",N/A, $-   ,N/A, N/A 
9,8207,KANSAS CITY CHIEFS," $4,949 ",N/A, $-   ,N/A, N/A 
9,8293,KANSAS CITY CHIEFS," $6,241 ",N/A, $-   ,N/A, N/A 
9,6247,KANSAS CITY CHIEFS," $7,001 ",N/A, $-   ,N/A, N/A 
9,4870,KANSAS CITY CHIEFS," $7,995 ",N/A, $-   ,N/A, N/A 
9,8243,KANSAS CITY CHIEFS," $4,907 ",N/A, $-   ,N/A, N/A 
9,4707,KANSAS CITY CHIEFS," $6,007 ",N/A, $-   ,N/A, N/A 
9,6505,KANSAS CITY CHIEFS," $4,172 ",N/A, $-   ,N/A, N/A 
16,8296,KANSAS CITY CHIEFS," $6,050 ",N/A, $-   ,N/A, N/A 
22,4728,KENTUCKY," $5,638 ",N/A, $-   ,N/A , N/A 
22,4992,KENTUCKY," $2,789 ",CINCINNATI BENGALS, $-   ,N/A, N/A 
22,4908,KENTUCKY," $2,717 ",CINCINNATI BENGALS, $-   ,N/A, N/A 
19,6449,KENTUCKY," $2,623 ",CINCINNATI BENGALS, $-   ,N/A, N/A 
22,8188,KENTUCKY," $4,015 ",N/A, $-   ,N/A, N/A 
