Store #,Store Type,Shipping City,State,Zip Code,Tier Name,Article #
581,Supercenter,Marshalltown,IA,50158,Tier 05,100673609
582,Supercenter,Port Orange,FL,32127,Tier 01 ,100673605
583,Supercenter,Oneida,TN,37841,Tier 02 ,100673606
584,Supercenter,Dry Ridge,KY,41035,Tier 04,100673608
585,Supercenter,Rock Hill,SC,29730,Tier 03,100673607
586,Supercenter,Conway,SC,29526,Tier 04,100673608
587,Supercenter,Sparta,TN,38583,Tier 02 ,100673606
588,Supercenter,Albany,GA,31707,Tier 01 ,100673605
589,Supercenter,Louisville,KY,40229,Tier 04,100673608
590,Supercenter,Fort Worth,TX,76132,Tier 04,100673608
591,Supercenter,Cynthiana,KY,41031,Tier 04,100673608
592,Supercenter,Derby,KS,67037,Tier 05,100673609
593,Supercenter,Douglas,GA,31533,Tier 01 ,100673605
594,Supercenter,Fayetteville,GA,30214,Tier 01 ,100673605
595,Supercenter,Harlingen,TX,78552,Tier 03,100673607
596,Wal-Mart,Herrin,IL,62948,Tier 05,100673609
598,Supercenter,Kearney,NE,68847,Tier 02 ,100673606
599,Supercenter,Kingsport,TN,37664,Tier 02 ,100673606
600,Supercenter,Pampa,TX,79065,Tier 05,100673609
601,Supercenter,San Angelo,TX,76904,Tier 05,100673609
602,Supercenter,Spring,TX,77380,Tier 03,100673607
603,Supercenter,Pekin,IL,61554,Tier 05,100673609
604,Supercenter,Dothan,AL,36303,Tier 01 ,100673605
605,Supercenter,Savannah,GA,31406,Tier 02 ,100673606
606,Wal-Mart,Savannah,GA,31410,Tier 02 ,100673606
607,Wal-Mart,Hobart,OK,73651,Tier 05,100673609
608,Supercenter,Midland,TX,79707,Tier 04,100673608
609,Supercenter,Hannbal,MO,63401,Tier 03,100673607
610,Supercenter,Stephenville,TX,76401,Tier 05,100673609
611,Supercenter,Roswell,NM,88201,Tier 05,100673609
612,Supercenter,Charleston,IL,61920,Tier 05,100673609
613,Supercenter,Ormond Beach,FL,32174,Tier 01 ,100673605
614,Supercenter,Lagrange,GA,30240,Tier 01 ,100673605
615,Supercenter,Cartersville,GA,30121,Tier 02 ,100673606
616,Supercenter,Orangeburg,SC,29118,Tier 03,100673607
617,Wal-Mart,Sullivan,IN,47882,Tier 05,100673609
618,Supercenter,Hiram,GA,30141,Tier 01 ,100673605
619,Supercenter,Dayton,TN,37321,Tier 04,100673608
620,Supercenter,Bristol,TN,37620,Tier 02 ,100673606
621,Supercenter,Lake City,SC,29560,Tier 03,100673607
622,Supercenter,Oklahoma City,OK,73132,Tier 03,100673607
623,Supercenter,North Fort Myers,FL,33903,Tier 01 ,100673605
624,Supercenter,Newberry,SC,29108,Tier 03,100673607
625,Supercenter,Georgetown,SC,29440,Tier 03,100673607
626,Wal-Mart,Seminole,TX,79360,Tier 05,100673609
627,Supercenter,Dillon,SC,29536,Tier 03,100673607
628,Supercenter,Summerville,SC,29485,Tier 03,100673607
629,Supercenter,Union,SC,29379,Tier 03,100673607
630,Supercenter,Florence,SC,29501,Tier 03,100673607
631,Supercenter,Easley,SC,29640,Tier 03,100673607
632,Supercenter,Mount Pleasant,SC,29464,Tier 03,100673607
633,Supercenter,Kewanee,IL,61443,Tier 04,100673608
634,Supercenter,Camden,SC,29020,Tier 03,100673607
635,Supercenter,Savannah,GA,31419,Tier 01 ,100673605
636,Supercenter,Princeton,IL,61356,Tier 05,100673609
637,Supercenter,Lexington,NE,68850,Tier 02 ,100673606
638,Supercenter,Gaffney,SC,29341,Tier 03,100673607
639,Supercenter,Brunswick,GA,31525,Tier 02 ,100673606
640,Supercenter,Greenville,SC,29607,Tier 03,100673607
641,Supercenter,Greenville,SC,29611,Tier 04,100673608
642,Supercenter,Cheraw,SC,29520,Tier 03,100673607
643,Supercenter,Myrtle Beach,SC,29572,Tier 04,100673608
644,Supercenter,Anderson,SC,29624,Tier 03,100673607
645,Supercenter,Norfolk,NE,68701,Tier 02 ,100673606
646,Supercenter,Anamosa,IA,52205,Tier 05,100673609
647,Supercenter,Grinnell,IA,50112,Tier 05,100673609
648,Supercenter,St Peters,MO,63304,Tier 03,100673607
649,Supercenter,Titusville,FL,32780,Tier 01 ,100673605
651,Supercenter,Beaumont,TX,77706,Tier 04,100673608
652,Supercenter,Garden City,KS,67846,Tier 05,100673609
653,Supercenter,Hopkinsville,KY,42240,Tier 05,100673609
655,Supercenter,Hanson,KY,42413,Tier 04,100673608
656,Supercenter,Shelbyville,TN,37160,Tier 02 ,100673606
657,Supercenter,Cookeville,TN,38501,Tier 02 ,100673606
658,Supercenter,Rome,GA,30165,Tier 01 ,100673605
659,Supercenter,Nashville,TN,37209,Tier 03,100673607
660,Supercenter,Muscle Shoals,AL,35661,Tier 02 ,100673606
661,Supercenter,Athens,AL,35611,Tier 04,100673608
662,Supercenter,Decatur,AL,35603,Tier 01 ,100673605
663,Supercenter,Athens,TN,37303,Tier 02 ,100673606
664,Supercenter,Hays,KS,67601,Tier 05,100673609
665,Supercenter,Campbellsville,KY,42718,Tier 04,100673608
666,Supercenter,Sebring,FL,33870,Tier 01 ,100673605
667,Supercenter,Tullahoma,TN,37388,Tier 02 ,100673606
668,Supercenter,McMinnville,TN,37110,Tier 02 ,100673606
669,Supercenter,Dalton,GA,30721,Tier 01 ,100673605
670,Supercenter,Cullman,AL,35055,Tier 01 ,100673605
671,Supercenter,Lebanon,TN,37087,Tier 02 ,100673606
672,Supercenter,Alcoa,TN,37701,Tier 02 ,100673606
673,Supercenter,Clarksville,TN,37040,Tier 02 ,100673606
