Store Number,Patio Set Week,Parking Lot Set
1287,6,6
1288,6,No Set
1289,4,4
1290,6,6
1291,52,No Set
1292,8,No Set
1293,2,No Set
1294,4,4
1295,1,No Set
1296,52,No Set
1297,52,No Set
1298,4,4
1299,52,52
1300,4,4
1301,8,No Set
1302,8,8
1303,52,52
1304,7,7
1305,6,No Set
1306,6,6
1307,7,7
1308,11,11
1309,8,No Set
1310,5,5
1311,4,4
1312,4,4
1313,52,No Set
1314,6,No Set
1315,13,13
1316,9,9
1317,8,8
1318,6,6
1319,6,6
1320,4,4
1321,4,4
1322,4,No Set
1323,5,No Set
1324,52,No Set
1325,52,No Set
1326,11,11
1327,5,5
1328,6,No Set
1329,6,6
1330,7,No Set
1331,6,6
1332,7,7
1333,7,7
1334,4,No Set
1335,8,8
1336,8,8
1337,6,6
1338,2,No Set
1339,2,2
1340,4,No Set
1341,5,5
1342,52,No Set
1344,8,8
1345,6,6
1346,52,52
1347,52,No Set
1348,52,52
1349,49,No Set
1350,8,8
1351,8,8
1352,4,4
1353,50,No Set
1354,4,4
1355,4,No Set
1356,5,5
1357,10,10
1358,52,52
1359,51,No Set
1360,6,No Set
1361,7,7
1362,51,No Set
1363,2,No Set
1364,52,No Set
1365,9,9
1366,9,9
1367,2,2
1368,6,6
1369,52,No Set
1370,52,No Set
1371,5,5
1372,4,No Set
1373,6,6
1374,52,No Set
1375,52,No Set
1376,2,No Set
1377,7,7
1378,7,7
1379,2,2
1380,No Set,No Set
1381,52,No Set
1382,6,No Set
1383,52,No Set
1384,11,11
1385,6,No Set
1386,7,7
1387,49,No Set
1388,7,7
1389,7,7
1390,52,52
1391,52,No Set
1392,52,No Set
1393,7,7
1394,6,No Set
1395,7,7
1396,8,8
1397,8,8
1398,52,No Set
1399,8,8
1400,6,No Set
1401,7,7
1403,6,6
1404,5,No Set
1405,52,52
1406,8,8
1407,6,No Set
1408,51,No Set
1409,1,1
1410,6,6
1411,1,No Set
1412,15,15
1413,7,7
1414,No Set,No Set
1415,7,7
1416,7,7
1417,2,2
1418,4,4
1419,7,7
1420,7,7
1421,7,7
1422,7,7
1423,7,7
1424,6,6
1425,7,7
1426,4,No Set
1427,4,No Set
1428,5,5
1429,6,No Set
1430,9,9
1431,7,7
1432,5,5
1433,7,7
1434,13,13
1435,7,7
1436,49,No Set
1437,4,4
1438,13,13
1439,52,52
1440,11,11
1441,6,No Set
1442,2,No Set
1443,6,6
1444,52,No Set
1445,6,6
1446,9,9
1447,10,10
1448,8,8
1449,8,8
1450,8,8
1451,7,7
1452,6,6
1453,9,9
1454,7,7
1455,2,No Set
1456,15,15
1457,13,13
1458,6,6
1459,6,No Set
1460,11,11
1461,15,15
1462,1,1
1463,6,6
1464,6,6
1465,6,6
1466,2,2
1467,2,2
1468,1,1
1469,2,2
1470,12,12
1471,9,9
1472,12,12
1473,12,12
1474,1,No Set
1475,7,7
1476,5,5
1477,8,8
1478,8,8
1479,7,7
1480,6,6
1481,1,No Set
1482,49,No Set
1483,12,12
1485,13,13
1486,6,6
1487,7,7
1488,6,6
1489,5,No Set
1490,7,7
1491,7,7
1492,11,11
1493,52,52
1494,52,52
1495,6,6
1496,7,7
1497,5,No Set
1498,6,No Set
1499,8,8
1500,12,12
1501,52,No Set
1502,6,6
1503,6,6
1504,6,6
1505,6,6
1506,5,No Set
1507,5,5
1508,13,13
1509,7,7
1510,6,6
1511,52,No Set
1512,1,No Set
1513,52,No Set
1514,4,4
1515,8,8
1516,52,52
1517,49,No Set
1518,5,5
1519,6,6
1520,12,12
1521,6,No Set
1522,8,8
1523,6,6
1524,6,6
1525,6,6
1526,7,7
1527,5,No Set
1528,7,7
1529,6,6
1530,1,No Set
1531,7,7
1532,1,No Set
1533,52,No Set
1534,13,13
1535,9,No Set
1536,52,52
1537,6,6
1538,12,12
1539,6,6
1540,7,7
1541,52,No Set
1542,7,7
1543,12,12
1544,8,8
1545,13,13
1546,5,No Set
1547,5,5
1548,7,7
1549,52,No Set
1550,13,13
1551,6,No Set
1552,6,No Set
1553,7,7
1554,4,4
1555,52,No Set
1556,7,7
1557,5,5
1558,6,6
1559,52,No Set
1560,52,No Set
1561,2,No Set
1562,12,12
1563,1,No Set
1564,6,6
1565,13,13
1566,5,5
1567,13,13
1568,7,No Set
1569,6,6
1570,7,7
1571,8,8
1572,13,13
1573,13,13
1574,1,No Set
1575,1,No Set
1576,7,7
1577,12,12
1578,6,6
1579,6,6
