STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales
868,57,4,113,124,87
869,17,2,67,72,57
870,4,0,21,25,24
871,18,11,126,137,68
872,1,0,-1,No Kayak Modular would need to Request Modular,1
873,0,0,0,No Kayak Modular would need to Request Modular,0
874,9,0,14,15,24
875,13,0,9,10,11
876,7,0,35,39,33
877,5,2,17,18,27
878,8,0,28,31,27
879,3,4,35,37,37
880,2,0,0,4,4
881,1,2,55,59,59
882,38,4,50,57,31
884,0,0,0,No Kayak Modular would need to Request Modular,0
885,0,0,0,No Kayak Modular would need to Request Modular,2
886,4,4,42,45,123
887,0,0,0,No Kayak Modular would need to Request Modular,1
888,0,0,0,No Kayak Modular would need to Request Modular,0
889,18,0,10,11,9
890,0,0,0,No Kayak Modular would need to Request Modular,22
891,0,0,0,No Kayak Modular would need to Request Modular,-2
892,2,10,72,77,45
893,0,0,0,No Kayak Modular would need to Request Modular,0
894,0,0,-1,No Kayak Modular would need to Request Modular,0
895,6,4,35,37,32
896,12,0,12,13,24
897,0,0,0,No Kayak Modular would need to Request Modular,0
898,0,0,0,No Kayak Modular would need to Request Modular,0
899,9,0,23,25,27
900,0,0,0,No Kayak Modular would need to Request Modular,0
901,20,4,42,48,54
902,0,0,0,No Kayak Modular would need to Request Modular,0
903,0,0,0,No Kayak Modular would need to Request Modular,0
904,9,0,39,44,50
905,22,11,67,74,100
906,0,0,0,No Kayak Modular would need to Request Modular,2
907,35,0,39,No Kayak Modular would need to Request Modular,26
908,6,0,19,22,7
909,24,0,9,10,16
910,12,10,57,61,82
911,2,0,0,No Kayak Modular would need to Request Modular,0
912,0,0,0,No Kayak Modular would need to Request Modular,0
913,7,7,154,167,123
914,5,2,34,36,42
915,12,0,4,4,1
916,6,0,37,40,56
917,38,0,18,19,35
918,9,4,42,49,46
919,3,4,60,68,58
920,0,0,0,,0
921,1,0,14,No Kayak Modular would need to Request Modular,56
922,4,0,26,31,39
923,5,0,20,21,44
924,14,4,56,60,57
925,0,0,0,No Kayak Modular would need to Request Modular,1
927,0,0,0,No Kayak Modular would need to Request Modular,0
928,11,4,39,44,54
929,9,8,44,49,35
930,0,0,0,No Kayak Modular would need to Request Modular,0
931,11,6,44,49,28
932,18,0,19,20,23
933,0,0,0,No Kayak Modular would need to Request Modular,0
934,11,0,11,13,37
935,1,0,7,9,13
936,1,4,37,43,44
937,11,0,21,No Kayak Modular would need to Request Modular,11
938,0,0,0,No Kayak Modular would need to Request Modular,2
939,20,4,63,70,55
940,29,2,14,15,26
941,9,0,7,7,4
942,5,0,4,No Kayak Modular would need to Request Modular,5
943,14,0,17,18,37
944,12,4,43,46,31
945,0,0,0,No Kayak Modular would need to Request Modular,0
947,5,2,25,28,62
948,23,2,35,37,33
950,5,2,21,26,13
951,0,0,0,No Kayak Modular would need to Request Modular,0
952,4,0,5,4,0
953,21,8,38,43,77
954,1,0,1,No Kayak Modular would need to Request Modular,5
955,33,0,11,12,44
956,10,0,26,29,30
957,0,0,0,No Kayak Modular would need to Request Modular,0
958,6,2,23,25,27
959,7,4,59,63,70
960,22,105,210,229,122
961,18,0,2,2,4
962,3,2,45,48,60
963,1,2,43,46,36
964,0,0,0,No Kayak Modular would need to Request Modular,0
965,17,3,41,44,45
966,19,4,84,95,141
967,13,5,51,67,57
968,24,4,42,47,44
969,9,0,14,17,39
970,27,8,148,159,122
971,11,2,63,67,33
972,14,4,47,50,56
973,13,0,12,15,24
974,0,0,14,17,21
975,12,4,101,109,62
976,4,0,16,17,24
977,13,3,29,35,39
978,16,4,35,39,81
979,16,2,40,43,27
980,0,0,0,No Kayak Modular would need to Request Modular,0
981,24,2,46,49,46
982,0,0,0,No Kayak Modular would need to Request Modular,1
984,17,2,37,40,47
985,12,8,64,70,60
986,104,2,126,139,160
987,11,0,43,No Kayak Modular would need to Request Modular,25
988,10,0,28,32,45
989,15,0,8,9,7
990,11,6,50,62,35
991,15,0,12,16,22
992,0,0,0,No Kayak Modular would need to Request Modular,0
993,0,0,0,No Kayak Modular would need to Request Modular,0
994,1,0,27,30,30
995,1,0,20,21,12
996,0,0,18,20,22
997,0,0,0,,0
998,0,0,0,,0
999,11,0,7,7,12
1000,0,0,0,No Kayak Modular would need to Request Modular,2
1001,2,0,0,No Kayak Modular would need to Request Modular,19
1002,1,0,0,No Kayak Modular would need to Request Modular,0
1003,0,0,0,No Kayak Modular would need to Request Modular,0
1004,6,0,17,22,10
1005,6,7,96,110,65
1006,15,0,17,18,23
1007,16,4,93,100,52
1008,21,6,217,233,142
1009,2,0,17,No Kayak Modular would need to Request Modular,28
1010,35,0,11,12,27
1011,9,0,32,35,33
1012,7,2,48,55,38
1013,0,0,0,No Kayak Modular would need to Request Modular,5
1014,7,2,23,26,16
1015,0,0,0,No Kayak Modular would need to Request Modular,0
1016,11,0,14,18,13
1017,15,11,65,71,62
1018,1,0,-1,No Kayak Modular would need to Request Modular,2
1019,0,2,72,79,31
1020,1,2,31,32,45
1021,1,4,49,52,23
1022,11,0,28,35,33
1023,81,10,273,293,273
1024,17,0,21,22,30
1025,8,0,17,20,35
1026,78,2,33,33,126
1027,0,0,0,No Kayak Modular would need to Request Modular,0
1028,10,0,11,13,35
1029,2,16,86,95,62
1030,13,4,47,50,58
1032,29,12,86,93,106
1033,1,4,32,34,30
1034,10,2,17,18,20
1035,7,0,0,No Kayak Modular would need to Request Modular,41
1036,0,4,48,51,30
1037,12,4,51,58,21
1038,0,0,0,No Kayak Modular would need to Request Modular,0
1039,3,4,49,52,33
1040,0,0,0,No Kayak Modular would need to Request Modular,0
1041,2,0,0,No Kayak Modular would need to Request Modular,0
1042,7,0,27,29,25
1043,0,0,0,No Kayak Modular would need to Request Modular,-1
1044,8,0,26,31,44
1045,0,0,-1,No Kayak Modular would need to Request Modular,-2
1046,0,0,0,No Kayak Modular would need to Request Modular,2
1047,1,0,0,No Kayak Modular would need to Request Modular,0
1048,16,9,72,77,66
1051,0,0,0,No Kayak Modular would need to Request Modular,0
1052,0,0,0,No Kayak Modular would need to Request Modular,0
1053,9,0,18,21,25
1054,0,0,0,No Kayak Modular would need to Request Modular,0
1055,9,0,18,22,39
1056,0,0,0,No Kayak Modular would need to Request Modular,0
1057,0,0,1,No Kayak Modular would need to Request Modular,6
1058,51,4,178,194,167
1059,0,0,2,No Kayak Modular would need to Request Modular,0
1060,1,2,28,30,181
1061,1,0,0,No Kayak Modular would need to Request Modular,4
1062,1,0,10,13,14
1063,0,0,0,No Kayak Modular would need to Request Modular,4
1064,3,2,29,32,26
1065,0,0,0,No Kayak Modular would need to Request Modular,5
1066,17,0,36,43,44
1067,0,0,0,No Kayak Modular would need to Request Modular,0
1068,8,8,44,52,53
1069,0,0,0,No Kayak Modular would need to Request Modular,0
1070,13,10,113,124,114
1071,0,1,22,24,27
1072,13,0,33,37,24
1073,0,0,0,No Kayak Modular would need to Request Modular,2
1074,19,2,23,26,50
1075,10,4,35,37,48
1076,0,0,1,No Kayak Modular would need to Request Modular,4
1077,17,0,11,13,17
1078,0,0,0,No Kayak Modular would need to Request Modular,4
1079,19,7,59,65,60
1080,5,11,71,77,24
1081,4,0,13,14,28
1082,17,0,14,16,29
1083,13,3,31,37,39
1084,5,0,10,No Kayak Modular would need to Request Modular,21
1085,11,8,76,86,70
1086,8,0,18,20,27
1087,3,3,31,35,28
1088,9,0,17,18,31
1089,15,12,74,85,84
1090,0,0,3,No Kayak Modular would need to Request Modular,7
1091,5,0,32,35,35
1093,0,0,0,No Kayak Modular would need to Request Modular,0
1094,0,0,0,No Kayak Modular would need to Request Modular,0
1095,3,4,37,41,59
1096,1,0,3,No Kayak Modular would need to Request Modular,2
1097,11,2,24,26,37
1098,23,0,14,17,36
1099,0,0,-2,No Kayak Modular would need to Request Modular,0
1100,35,7,114,123,72
1101,6,2,15,16,35
1102,12,0,2,No Kayak Modular would need to Request Modular,4
1103,0,0,0,No Kayak Modular would need to Request Modular,0
1104,4,18,74,82,102
1105,1,0,7,9,5
1106,9,0,11,12,11
1107,9,0,16,17,8
1108,0,0,0,No Kayak Modular would need to Request Modular,2
1109,0,0,1,No Kayak Modular would need to Request Modular,0
1110,4,0,33,35,25
1111,14,4,176,189,148
1112,9,0,39,43,24
1113,41,6,251,271,181
1114,24,10,213,228,222
1115,9,8,53,57,88
1116,18,4,54,57,47
1117,42,0,14,No Kayak Modular would need to Request Modular,42
1118,2,0,0,No Kayak Modular would need to Request Modular,0
1119,1,0,6,No Kayak Modular would need to Request Modular,8
1120,9,1,36,39,16
1121,9,4,67,73,49
1122,8,13,53,62,104
1123,9,10,343,369,221
1124,3,4,42,45,33
1125,0,3,42,45,26
1126,24,2,57,65,69
1128,6,0,19,20,5
1129,17,0,4,5,15
1130,0,0,0,No Kayak Modular would need to Request Modular,0
1131,11,2,28,30,27
1132,10,2,16,17,22
1133,22,4,57,62,47
1134,8,5,46,52,30
1135,10,2,22,24,21
1136,18,0,4,4,4
1137,0,0,0,No Kayak Modular would need to Request Modular,0
1138,9,2,13,14,13
1139,77,12,157,168,177
1140,6,0,35,37,31
1141,0,0,0,No Kayak Modular would need to Request Modular,0
1142,0,0,-1,No Kayak Modular would need to Request Modular,0
1143,2,0,0,No Kayak Modular would need to Request Modular,2
1144,0,0,0,No Kayak Modular would need to Request Modular,0
1146,21,4,62,68,64
1147,108,6,251,269,267
1148,0,0,0,No Kayak Modular would need to Request Modular,0
1149,8,1,19,22,53
1150,3,0,11,13,16
1151,0,0,0,No Kayak Modular would need to Request Modular,0
1152,0,0,0,No Kayak Modular would need to Request Modular,0
1153,4,0,6,6,2
1154,26,5,56,61,48
1155,13,2,32,34,18
1156,81,13,100,107,132
1157,0,0,3,No Kayak Modular would need to Request Modular,30
1158,0,0,0,No Kayak Modular would need to Request Modular,0
1159,68,10,209,232,221
1160,2,0,25,28,24
1161,1,0,8,9,23
1162,2,4,41,52,37
1163,2,0,0,No Kayak Modular would need to Request Modular,0
1164,12,2,46,50,36
1165,9,0,23,25,23
1166,8,2,36,39,26
1167,8,2,13,14,16
1168,19,0,26,28,5
1169,0,0,10,No Kayak Modular would need to Request Modular,13
1170,0,0,0,No Kayak Modular would need to Request Modular,0
1171,7,0,20,21,37
1172,26,2,26,33,46
1173,0,0,15,No Kayak Modular would need to Request Modular,37
1174,12,1,15,16,14
1175,63,8,28,30,122
1176,0,0,0,No Kayak Modular would need to Request Modular,0
1177,16,0,8,9,13
1178,14,2,21,22,33
1179,5,4,37,40,24
1180,5,0,33,35,38
1181,0,0,0,No Kayak Modular would need to Request Modular,0
1182,18,14,65,71,86
1183,2,2,21,22,36
1184,0,0,0,No Kayak Modular would need to Request Modular,2
1185,0,0,-1,No Kayak Modular would need to Request Modular,0
1186,9,0,6,6,8
1187,0,0,0,No Kayak Modular would need to Request Modular,19
1188,0,0,0,No Kayak Modular would need to Request Modular,0
1189,0,0,2,No Kayak Modular would need to Request Modular,3
1190,7,2,18,20,27
1191,4,2,26,30,17
1192,30,0,12,13,39
1193,5,4,43,49,32
1194,11,4,56,60,64
1195,5,0,49,55,77
1196,15,0,9,11,2
1197,15,0,9,10,15
1198,1,0,14,15,13
1199,29,2,43,46,54
1200,0,0,0,No Kayak Modular would need to Request Modular,0
1201,8,2,28,31,30
1202,8,10,132,143,88
1203,8,0,19,20,12
1204,13,0,10,11,21
1205,14,0,29,31,46
1206,11,0,4,10,4
1207,6,6,81,89,65
1209,6,2,21,22,18
1210,11,0,14,15,21
1211,1,2,21,22,20
1212,10,0,14,15,27
1213,3,0,51,58,52
1214,0,0,0,No Kayak Modular would need to Request Modular,2
1215,5,2,37,43,35
1216,0,0,-1,No Kayak Modular would need to Request Modular,-1
1217,11,4,68,81,74
1218,0,0,0,No Kayak Modular would need to Request Modular,0
1219,14,0,5,6,8
1220,9,0,7,9,2
1221,9,2,21,24,32
1222,7,4,33,41,26
1223,21,0,19,21,29
1224,8,0,21,24,18
1225,20,4,35,39,50
1226,3,11,55,62,112
1227,18,0,28,30,15
1228,1,0,-4,No Kayak Modular would need to Request Modular,0
1229,21,2,22,24,25
1230,18,0,416,No Kayak Modular would need to Request Modular,447
1231,0,0,-1,No Kayak Modular would need to Request Modular,11
1232,23,4,41,50,55
1233,16,4,67,73,55
1234,31,8,67,74,46
1235,0,0,0,No Kayak Modular would need to Request Modular,0
1236,25,1,15,16,12
1237,8,2,20,21,30
1238,0,0,0,No Kayak Modular would need to Request Modular,0
1239,0,0,0,No Kayak Modular would need to Request Modular,0
1240,8,7,33,35,69
1241,12,4,56,61,52
1242,9,0,12,13,26
1243,17,2,31,34,43
1244,0,2,13,16,4
1245,17,5,46,54,27
1247,66,6,247,264,159
1248,1,0,0,No Kayak Modular would need to Request Modular,0
1249,8,0,26,29,37
1252,21,2,24,25,61
1253,14,0,10,11,23
1254,16,4,44,48,38
1255,12,0,7,9,7
1256,0,0,0,No Kayak Modular would need to Request Modular,0
1257,23,0,14,17,18
1259,15,8,141,150,169
1260,12,0,13,15,34
1261,5,2,24,26,19
1263,11,4,52,56,38
1264,0,0,0,No Kayak Modular would need to Request Modular,0
1265,0,0,0,No Kayak Modular would need to Request Modular,0
1266,0,0,2,No Kayak Modular would need to Request Modular,0
1267,4,2,16,17,24
1268,24,2,27,32,23
1270,0,0,0,No Kayak Modular would need to Request Modular,0
1271,22,2,22,30,56
1272,0,0,0,No Kayak Modular would need to Request Modular,0
1273,15,4,54,61,37
1274,0,0,0,No Kayak Modular would need to Request Modular,0
1275,0,0,0,No Kayak Modular would need to Request Modular,0
1276,4,2,18,21,22
1277,0,7,111,119,52
1279,0,0,0,No Kayak Modular would need to Request Modular,0
1280,11,2,41,44,75
1281,3,0,13,No Kayak Modular would need to Request Modular,28
1282,0,0,0,No Kayak Modular would need to Request Modular,5
1283,8,9,42,45,43
1284,24,0,20,21,19
1285,8,4,62,67,57
1286,1,0,0,No Kayak Modular would need to Request Modular,4
1287,9,0,11,12,13
1288,1,0,18,21,44
1289,6,12,38,42,106
1290,17,0,36,39,33
1291,16,4,19,25,59
1292,42,8,229,245,134
1293,9,0,2,3,1
1294,1,0,0,No Kayak Modular would need to Request Modular,11
1295,25,2,58,65,46
1296,0,0,0,No Kayak Modular would need to Request Modular,0
1297,2,75,207,223,176
1298,2,2,28,32,18
1299,71,12,184,203,529
1300,8,2,27,31,23
1301,25,4,27,31,113
1302,34,9,182,198,192
1303,19,0,22,26,29
1304,1,2,71,76,42
1305,3,2,18,20,20
1306,0,0,0,No Kayak Modular would need to Request Modular,0
1307,2,0,12,13,3
1308,0,0,0,No Kayak Modular would need to Request Modular,0
1309,3,2,22,26,49
1310,1,5,36,52,28
1311,17,0,15,16,11
1312,14,2,15,17,14
1313,0,0,0,No Kayak Modular would need to Request Modular,0
1314,5,0,32,34,15
1315,18,8,160,171,129
1316,10,1,14,15,23
1317,6,0,29,32,23
1318,6,4,44,47,29
1319,38,9,48,51,88
1320,1,4,43,46,44
1321,14,2,28,30,17
1322,4,2,31,33,33
1323,0,0,0,No Kayak Modular would need to Request Modular,0
1324,22,0,22,No Kayak Modular would need to Request Modular,57
1325,0,0,0,No Kayak Modular would need to Request Modular,0
1326,5,2,44,47,57
1327,21,4,40,44,45
1328,119,0,124,No Kayak Modular would need to Request Modular,80
1329,0,0,0,No Kayak Modular would need to Request Modular,32
1330,0,0,0,No Kayak Modular would need to Request Modular,3
1331,7,2,29,32,53
1332,0,0,1,No Kayak Modular would need to Request Modular,17
1333,0,0,0,No Kayak Modular would need to Request Modular,0
1334,0,0,0,No Kayak Modular would need to Request Modular,0
1335,7,14,71,85,71
1336,3,0,17,18,25
1337,14,4,52,57,56
1338,0,0,0,No Kayak Modular would need to Request Modular,-1
1339,23,0,12,13,33
1340,0,0,0,No Kayak Modular would need to Request Modular,0
1341,1,2,34,36,26
1342,20,0,7,7,5
1344,9,12,62,67,120
1345,13,6,73,79,53
1346,12,0,32,36,44
1347,0,0,0,No Kayak Modular would need to Request Modular,0
1348,44,13,139,157,157
1349,0,0,0,No Kayak Modular would need to Request Modular,1
1350,8,4,46,50,61
1351,12,2,31,34,39
1352,0,0,9,No Kayak Modular would need to Request Modular,14
1353,0,0,0,No Kayak Modular would need to Request Modular,0
1354,3,2,43,48,15
1355,41,11,202,220,158
1356,0,0,0,No Kayak Modular would need to Request Modular,0
1357,0,0,0,No Kayak Modular would need to Request Modular,0
1358,9,0,33,37,47
1359,34,0,10,No Kayak Modular would need to Request Modular,12
1360,42,7,118,126,147
1361,0,0,0,No Kayak Modular would need to Request Modular,0
1362,28,4,63,68,78
1363,7,0,28,28,19
1364,0,118,178,201,159
1365,6,11,75,80,33
1366,1,2,23,25,22
1367,14,0,14,16,19
1368,0,0,0,No Kayak Modular would need to Request Modular,36
1369,56,9,125,134,294
1370,4,117,128,137,83
1371,4,0,24,26,24
1372,0,0,0,No Kayak Modular would need to Request Modular,0
1373,0,0,-1,No Kayak Modular would need to Request Modular,1
1374,0,0,0,No Kayak Modular would need to Request Modular,2
1375,18,7,66,72,106
1376,10,4,31,34,45
1377,3,2,17,18,26
1378,7,4,36,39,35
1379,11,2,17,19,22
1380,5,0,5,No Kayak Modular would need to Request Modular,0
1381,32,21,300,328,166
1382,49,4,132,141,104
1383,56,8,82,96,88
1384,4,11,54,58,72
1385,5,2,17,18,27
1386,8,2,43,46,36
1387,13,0,6,10,6
1388,0,0,0,No Kayak Modular would need to Request Modular,4
1389,0,0,9,No Kayak Modular would need to Request Modular,8
1390,0,4,37,44,52
1391,30,2,25,29,32
1392,15,0,-1,No Kayak Modular would need to Request Modular,24
1393,0,7,69,75,45
1394,12,0,7,7,13
1395,0,0,0,No Kayak Modular would need to Request Modular,0
1396,0,2,20,21,21
1397,2,2,52,59,50
1398,0,0,0,No Kayak Modular would need to Request Modular,0
1399,2,2,29,32,48
1400,3,0,23,25,19
1401,0,0,0,No Kayak Modular would need to Request Modular,0
1403,23,2,31,34,77
1404,4,0,14,15,21
1405,2,0,10,12,13
1406,1,2,24,26,43
1407,5,2,25,27,48
1408,11,0,15,18,26
1409,0,0,0,No Kayak Modular would need to Request Modular,0
1410,8,2,22,24,51
1411,0,0,0,No Kayak Modular would need to Request Modular,1
1412,0,0,0,No Kayak Modular would need to Request Modular,7
1413,1,0,19,No Kayak Modular would need to Request Modular,12
1414,0,0,0,No Kayak Modular would need to Request Modular,0
1415,114,4,296,326,281
1416,9,2,21,22,29
1417,20,18,231,254,368
1418,0,0,0,No Kayak Modular would need to Request Modular,0
1419,0,0,0,No Kayak Modular would need to Request Modular,0
1420,0,0,0,No Kayak Modular would need to Request Modular,0
1421,0,0,0,No Kayak Modular would need to Request Modular,0
1422,9,4,45,48,48
1423,0,0,0,No Kayak Modular would need to Request Modular,0
1424,4,0,29,33,46
1425,0,0,0,No Kayak Modular would need to Request Modular,0
1426,23,2,29,31,43
1427,64,4,191,207,130
1428,12,4,46,49,49
1429,1,2,21,22,2
1430,3,2,20,24,19
1431,0,0,8,No Kayak Modular would need to Request Modular,2
1432,12,13,40,44,129
1433,2,2,18,21,29
1434,3,2,43,46,39
1435,26,7,156,169,151
1436,6,0,14,15,15
1437,0,0,0,No Kayak Modular would need to Request Modular,0
1438,20,6,221,240,173
1439,34,0,113,No Kayak Modular would need to Request Modular,153
1440,44,4,160,173,138
1441,5,0,14,15,19
1442,96,4,68,77,126
1443,19,0,10,11,33
1444,15,0,20,22,32
1445,4,10,80,86,108
1446,12,12,58,64,95
1447,5,4,58,70,101
1448,8,2,26,28,54
1449,0,2,18,19,73
1450,13,2,45,49,76
1451,1,0,8,9,0
1452,9,0,9,11,0
1453,1,2,18,17,47
1454,4,0,30,32,46
1455,0,0,0,No Kayak Modular would need to Request Modular,0
1456,3,12,8,9,112
1457,21,11,209,224,443
1458,17,10,106,117,88
1459,0,0,0,No Kayak Modular would need to Request Modular,0
1460,10,2,24,26,32
1461,50,8,149,161,219
1462,12,0,19,21,16
1463,0,0,0,No Kayak Modular would need to Request Modular,1
1464,4,2,16,17,6
1465,21,4,52,56,44
1466,22,4,174,184,131
1467,9,0,30,32,27
1468,0,2,14,15,27
1469,16,2,35,41,29
1470,9,2,35,42,42
1471,0,0,0,No Kayak Modular would need to Request Modular,0
1472,3,2,40,43,35
1473,0,0,1,No Kayak Modular would need to Request Modular,0
1474,19,7,60,67,61
1475,0,0,0,No Kayak Modular would need to Request Modular,0
1476,7,0,39,42,20
1477,88,6,229,245,258
1478,6,2,30,33,53
1479,0,0,0,No Kayak Modular would need to Request Modular,141
1480,0,0,0,No Kayak Modular would need to Request Modular,0
1481,2,0,0,No Kayak Modular would need to Request Modular,1
1482,13,0,6,6,4
1483,34,8,57,63,156
1485,38,12,160,173,200
1486,14,4,63,67,50
1487,7,0,29,31,42
1488,12,0,30,33,8
1489,0,0,0,No Kayak Modular would need to Request Modular,0
1490,1,0,0,No Kayak Modular would need to Request Modular,0
1491,11,2,135,144,143
1492,0,0,0,No Kayak Modular would need to Request Modular,0
1493,3,0,3,3,4
1494,12,0,19,22,11
1495,7,2,24,26,0
1496,9,0,22,24,18
1497,0,0,0,No Kayak Modular would need to Request Modular,0
1498,13,0,9,10,12
1499,75,6,246,266,295
1500,13,2,50,55,42
1501,0,0,-1,No Kayak Modular would need to Request Modular,0
1502,11,0,21,24,29
1503,0,0,0,No Kayak Modular would need to Request Modular,0
1504,0,0,0,No Kayak Modular would need to Request Modular,0
1505,172,15,219,234,374
1506,18,4,51,55,43
1507,11,2,22,26,24
1508,62,6,247,270,181
1509,3,0,27,32,16
1510,9,0,27,29,25
1511,2,0,0,No Kayak Modular would need to Request Modular,0
1512,0,0,0,No Kayak Modular would need to Request Modular,0
1513,1,0,29,32,34
1514,2,0,11,12,19
1515,0,0,0,No Kayak Modular would need to Request Modular,0
1516,10,4,48,52,63
1517,8,0,6,10,8
1518,0,0,0,No Kayak Modular would need to Request Modular,0
1519,72,8,97,106,86
1520,23,2,23,25,36
1521,0,0,0,No Kayak Modular would need to Request Modular,0
1522,10,4,42,47,31
1523,12,0,26,28,33
1524,6,0,18,20,19
1525,14,0,29,34,27
1526,8,0,22,24,25
1527,12,4,64,70,42
1528,9,0,28,30,29
1529,53,12,162,173,181
1530,8,0,14,15,17
1531,0,0,14,17,27
1532,0,0,0,No Kayak Modular would need to Request Modular,0
1533,0,0,0,No Kayak Modular would need to Request Modular,-2
1534,16,10,66,72,61
1535,1,2,34,37,22
1536,58,5,156,169,128
1537,5,2,20,21,25
1538,9,2,30,32,29
1539,0,0,0,No Kayak Modular would need to Request Modular,0
1540,3,0,36,41,52
1541,4,4,19,22,15
1542,4,11,209,224,340
1543,3,4,166,178,152
1544,13,4,56,61,53
1545,0,0,0,No Kayak Modular would need to Request Modular,5
1546,0,0,-2,No Kayak Modular would need to Request Modular,0
1547,6,0,12,13,27
1548,0,0,0,No Kayak Modular would need to Request Modular,0
1549,0,0,0,No Kayak Modular would need to Request Modular,0
1550,35,2,19,21,95
1551,0,0,0,No Kayak Modular would need to Request Modular,0
1552,0,2,16,17,20
1553,0,0,0,No Kayak Modular would need to Request Modular,0
1554,5,0,17,20,39
1555,0,0,-1,No Kayak Modular would need to Request Modular,15
1556,0,0,0,No Kayak Modular would need to Request Modular,0
1557,0,0,0,No Kayak Modular would need to Request Modular,0
1558,10,0,15,16,14
1559,0,0,0,No Kayak Modular would need to Request Modular,0
1560,26,0,5,5,21
1561,0,0,0,No Kayak Modular would need to Request Modular,0
1562,0,0,0,No Kayak Modular would need to Request Modular,0
1563,0,0,0,No Kayak Modular would need to Request Modular,0
1564,50,12,90,98,55
1565,159,12,321,346,298
1566,3,2,32,34,85
1567,20,2,48,52,74
1568,11,8,50,54,122
1569,0,0,0,No Kayak Modular would need to Request Modular,0
1570,0,0,0,No Kayak Modular would need to Request Modular,0
1571,2,5,55,59,29
1572,1,10,238,384,494
1573,15,12,66,72,95
1574,0,0,1,No Kayak Modular would need to Request Modular,21
1575,67,6,264,282,377
1576,27,0,13,15,31
1577,8,2,55,59,44
1578,13,0,13,15,17
1579,0,0,0,No Kayak Modular would need to Request Modular,0
1580,0,0,0,No Kayak Modular would need to Request Modular,0
1581,13,2,44,48,35
1583,27,2,26,29,39
1584,0,0,0,No Kayak Modular would need to Request Modular,-1
1585,26,10,180,193,145
1586,0,0,0,No Kayak Modular would need to Request Modular,0
1587,14,4,48,52,39
1588,32,0,12,12,37
1589,1,0,0,No Kayak Modular would need to Request Modular,0
1590,14,0,18,20,15
1591,0,0,0,No Kayak Modular would need to Request Modular,2
1592,5,0,12,15,35
1593,9,3,54,60,51
1594,8,4,34,36,55
1595,0,0,0,No Kayak Modular would need to Request Modular,0
1596,0,0,0,No Kayak Modular would need to Request Modular,0
1597,0,2,32,34,29
1598,0,0,0,No Kayak Modular would need to Request Modular,0
1599,0,0,0,No Kayak Modular would need to Request Modular,0
1600,0,0,0,No Kayak Modular would need to Request Modular,0
1601,0,0,0,No Kayak Modular would need to Request Modular,0
1602,3,0,20,21,11
1603,0,0,0,No Kayak Modular would need to Request Modular,0
1604,21,10,216,232,133
1605,3,0,10,11,10
1606,3,2,30,35,36
1607,0,0,0,No Kayak Modular would need to Request Modular,1
1608,214,5,73,82,199
1609,15,3,178,193,132
1610,1,0,29,31,31
1611,-1,4,136,146,115
1612,0,2,22,24,52
1613,3,2,20,21,17
1614,9,2,21,22,12
1615,0,0,0,No Kayak Modular would need to Request Modular,6
1616,53,9,138,149,145
1617,29,10,184,197,117
1618,0,0,-1,No Kayak Modular would need to Request Modular,0
1619,4,0,11,12,9
1620,0,0,3,No Kayak Modular would need to Request Modular,35
1621,6,8,90,96,53
1622,9,2,15,16,28
1623,8,2,42,44,31
1624,15,0,5,6,35
1625,0,0,0,No Kayak Modular would need to Request Modular,38
1626,12,0,9,11,15
1627,10,2,24,27,35
1628,4,2,20,24,24
1629,0,0,0,No Kayak Modular would need to Request Modular,0
1630,10,2,40,44,50
1631,11,0,15,16,21
1632,1,4,110,119,153
1633,8,13,66,72,52
1634,0,11,76,81,44
1635,6,2,13,14,16
1636,5,11,128,137,144
1637,0,0,0,No Kayak Modular would need to Request Modular,0
1638,10,0,21,24,22
1639,4,4,80,88,44
1640,0,0,0,No Kayak Modular would need to Request Modular,0
1641,16,2,15,16,10
1642,4,4,47,50,41
1643,0,0,7,7,0
1644,3,4,40,43,30
1645,14,0,15,18,46
1646,0,0,0,No Kayak Modular would need to Request Modular,0
1647,0,0,0,No Kayak Modular would need to Request Modular,8
1648,144,4,152,182,191
1649,10,2,42,45,51
1650,1,0,0,No Kayak Modular would need to Request Modular,15
1651,17,0,10,11,35
1652,4,2,19,24,37
1653,2,4,33,35,62
1654,17,12,260,279,295
1655,13,0,10,11,18
1656,11,2,37,40,72
1657,1,4,34,36,32
1658,12,0,19,21,15
1659,17,4,46,52,78
1660,0,0,0,No Kayak Modular would need to Request Modular,0
1661,9,1,16,17,19
1662,1,2,22,25,16
1663,13,5,64,70,57
1664,19,0,6,6,14
1665,0,0,0,No Kayak Modular would need to Request Modular,10
1666,0,0,0,No Kayak Modular would need to Request Modular,5
1667,0,0,0,No Kayak Modular would need to Request Modular,9
1668,2,2,16,17,20
1669,3,6,96,103,62
1670,0,0,0,No Kayak Modular would need to Request Modular,3
1671,6,2,32,34,21
1672,3,0,39,44,29
1673,2,10,294,314,149
1674,14,2,25,28,38
1675,0,0,0,No Kayak Modular would need to Request Modular,9
1676,0,0,0,No Kayak Modular would need to Request Modular,0
1677,18,4,49,52,53
1678,6,2,17,18,39
1679,21,12,134,143,134
1680,0,0,0,No Kayak Modular would need to Request Modular,0
1681,0,0,0,No Kayak Modular would need to Request Modular,0
1682,11,0,20,21,22
1683,0,0,0,No Kayak Modular would need to Request Modular,0
