Store,Market,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2196,472,Endcap,39
2027,320,Endcap,39
1321,299,Endcap,39
2369,181,Endcap,39
601,74,Endcap,39
2629,156,Endcap,39
400,68,Endcap,39
655,253,Endcap,39
794,409,Endcap,39
306,5,Endcap,39
5075,460,Endcap,39
2932,122,Endcap,39
5396,478,Endcap,39
2193,208,Endcap,39
1443,225,Endcap,39
5389,76,Endcap,39
3894,259,Endcap,39
2725,217,Endcap,39
3319,81,Endcap,39
2727,110,Endcap,39
2099,447,Endcap,39
5414,178,Endcap,39
1778,382,Endcap,39
602,68,Endcap,39
2444,189,Endcap,39
2223,585,Endcap,39
7009,302,Endcap,39
1330,222,Endcap,39
1781,190,Endcap,39
2428,409,Endcap,39
2485,474,Endcap,39
444,333,Endcap,39
1932,179,Endcap,39
228,48,Endcap,39
3842,192,Endcap,39
2311,247,Endcap,39
5713,88,Endcap,39
2581,191,Endcap,39
2201,505,Endcap,39
1984,154,Endcap,39
3412,232,Endcap,39
2861,399,Endcap,39
85,324,Endcap,39
1060,304,Endcap,39
2101,475,Endcap,39
1087,107,Endcap,39
2842,461,Endcap,39
2567,200,Endcap,39
2245,460,Endcap,39
1191,296,Endcap,39
685,123,Endcap,39
3864,302,Endcap,39
2526,446,Endcap,39
3510,62,Endcap,39
2535,232,Endcap,39
1306,387,Endcap,39
3757,471,Endcap,39
574,37,Endcap,39
2992,190,Endcap,39
944,15,Endcap,39
2038,292,Endcap,39
61,361,Endcap,39
1011,29,Endcap,39
2401,484,Endcap,39
5105,286,Endcap,39
405,134,Endcap,39
213,272,Endcap,39
43,407,Endcap,39
408,66,Endcap,39
3254,392,Endcap,39
1124,137,Endcap,39
2013,179,Endcap,39
3,21,Endcap,39
980,378,Endcap,39
1807,165,Endcap,39
1396,441,Endcap,39
1116,349,Endcap,39
3742,476,Endcap,39
2187,473,Endcap,39
507,260,Endcap,39
3503,308,Endcap,39
1450,316,Endcap,39
3278,433,Endcap,39
1826,581,Endcap,39
1741,284,Endcap,39
5199,269,Endcap,39
1275,482,Endcap,39
1513,111,Endcap,39
4616,18,Endcap,39
535,74,Endcap,39
1847,93,Endcap,39
3538,92,Endcap,39
3102,424,Endcap,39
4689,582,Endcap,39
412,45,Endcap,39
148,47,Endcap,39
868,387,Endcap,39
2271,440,Endcap,39
5090,440,Endcap,39
667,151,Endcap,39
844,262,Endcap,39
5088,227,Endcap,39
2155,156,Endcap,39
5487,35,Endcap,39
46,357,Endcap,39
537,73,Endcap,39
5076,179,Endcap,39
3077,292,Endcap,39
267,334,Endcap,39
1463,223,Endcap,39
2857,360,Endcap,39
40,359,Endcap,39
671,152,Endcap,39
3093,399,Endcap,39
1,323,Endcap,39
4273,300,Endcap,39
417,47,Endcap,39
2726,219,Endcap,39
3764,45,Endcap,39
5814,26,Endcap,39
2234,189,Endcap,39
251,45,Endcap,39
1591,234,Endcap,39
2307,582,Endcap,39
1315,381,Endcap,39
1039,304,Endcap,39
131,47,Endcap,39
1247,258,Endcap,39
3886,80,Endcap,39
3738,227,Endcap,39
3874,18,Endcap,39
578,123,Endcap,39
2118,156,Endcap,39
555,32,Endcap,39
4224,304,Endcap,39
1622,213,Endcap,39
1817,475,Endcap,39
4521,41,Endcap,39
3136,505,Endcap,39
1260,143,Endcap,39
2605,218,Endcap,39
3702,98,Endcap,39
3379,366,Endcap,39
2420,235,Endcap,39
571,260,Endcap,39
322,85,Endcap,39
6878,5,Endcap,39
1539,213,Endcap,39
5232,388,Endcap,39
1034,305,Endcap,39
189,359,Endcap,39
660,137,Endcap,39
1113,258,Endcap,39
11,328,Endcap,39
1036,294,Endcap,39
901,77,Endcap,39
3888,86,Endcap,39
1457,381,Endcap,39
2850,293,Endcap,39
1319,122,Endcap,39
3337,178,Endcap,39
2791,285,Endcap,39
5447,176,Endcap,39
5236,254,Endcap,39
4276,226,Endcap,39
1959,164,Endcap,39
1948,208,Endcap,39
3560,160,Endcap,39
869,375,Endcap,39
4679,131,Endcap,39
4241,352,Endcap,39
2176,107,Endcap,39
5954,484,Endcap,39
343,275,Endcap,39
3857,441,Endcap,39
3598,176,Endcap,39
542,129,Endcap,39
388,321,Endcap,39
3226,65,Endcap,39
2103,159,Endcap,39
3420,172,Endcap,39
5807,465,Endcap,39
2110,465,Endcap,39
1891,162,Endcap,39
5751,451,Endcap,39
3339,165,Endcap,39
2083,320,Endcap,39
2720,140,Endcap,39
5281,175,Endcap,39
1091,7,Endcap,39
2651,175,Endcap,39
308,152,Endcap,39
3107,506,Endcap,39
2697,452,Endcap,39
1681,268,Endcap,39
420,349,Endcap,39
2215,265,Endcap,39
4393,454,Endcap,39
1435,413,Endcap,39
591,259,Endcap,39
3247,442,Endcap,39
4330,13,Endcap,39
3912,176,Endcap,39
403,137,Endcap,39
1897,268,Endcap,39
1394,435,Endcap,39
1606,119,Endcap,39
2306,11,Endcap,39
5686,448,Endcap,39
2985,449,Endcap,39
2142,184,Endcap,39
4404,233,Endcap,39
1565,427,Endcap,39
3078,175,Endcap,39
5087,37,Endcap,39
3590,426,Endcap,39
692,260,Endcap,39
3591,68,Endcap,39
2480,226,Endcap,39
1008,378,Endcap,39
351,68,Endcap,39
4232,370,Endcap,39
2497,174,Endcap,39
1413,270,Endcap,39
1769,237,Endcap,39
2371,163,Endcap,39
1782,216,Endcap,39
1827,582,Endcap,39
1617,381,Endcap,39
5142,178,Endcap,39
2432,433,Endcap,39
2503,174,Endcap,39
1947,473,Endcap,39
421,479,Endcap,39
3114,157,Endcap,39
234,360,Endcap,39
1383,29,Endcap,39
4583,35,Endcap,39
1362,15,Endcap,39
5936,283,Endcap,39
565,55,Endcap,39
4678,405,Endcap,39
3790,265,Endcap,39
1875,282,Endcap,39
2790,280,Endcap,39
4365,90,Endcap,39
1866,180,Endcap,39
1412,381,Endcap,39
1943,433,Endcap,39
4221,477,Endcap,39
684,147,Endcap,39
