Store Number,Outpost in Week 20,Outpost in March,Had an Outpost,Have an Organic Table,Have a Nut Rack,
1161,Yes,,,Yes,Yes,
1162,,,Yes,Yes,Yes,
1163,Yes,,,Yes,Yes,
1164,Yes,,,Yes,,
1165,Yes,,,Yes,Yes,
1167,Yes,,,Yes,Yes,
1168,Yes,,,Yes,,
1169,Yes,,,,,
5444,,,Yes,,,
1171,,,Yes,Yes,Yes,
1172,,Yes,,Yes,Yes,
1173,,Yes,,Yes,Yes,
1174,,,Yes,,,
1176,Yes,,,Yes,Yes,
1177,Yes,,,Yes,Yes,
1178,Yes,,,Yes,,
1179,Yes,,,Yes,Yes,
1180,Yes,,,Yes,Yes,
1181,,,Yes,Yes,,
1182,,,Yes,Yes,Yes,
1183,Yes,,,Yes,Yes,
1184,,,Yes,Yes,Yes,
1185,Yes,,,,,
1186,Yes,,,Yes,Yes,
1187,Yes,,,,,
1188,Yes,,,Yes,,
1190,Yes,,,Yes,,
1191,Yes,,,Yes,Yes,
1192,Yes,,,Yes,,
1193,Yes,,,Yes,Yes,
1194,,Yes,,Yes,Yes,
1195,Yes,,,Yes,,
1196,Yes,,,,,
1197,Yes,,,Yes,,
1198,Yes,,,,,
1199,Yes,,,Yes,,
1200,,,Yes,Yes,,
1201,,Yes,,Yes,Yes,
1202,,,Yes,Yes,Yes,
1203,,,Yes,Yes,Yes,
1204,Yes,,,Yes,Yes,
1205,,Yes,,Yes,Yes,
1206,Yes,,,Yes,,
1207,,,Yes,Yes,,
1209,Yes,,,Yes,Yes,
1210,Yes,,,Yes,Yes,
1212,,,Yes,Yes,,
1213,,Yes,,Yes,,
1215,,,Yes,Yes,,
1216,,,Yes,Yes,Yes,
1217,Yes,,,Yes,,
1218,Yes,,,,,
1219,,Yes,,Yes,,
1220,,,Yes,Yes,Yes,
1221,Yes,,,Yes,,
1222,,,Yes,Yes,Yes,
1223,,Yes,,Yes,Yes,
1224,,,Yes,Yes,Yes,
1225,,Yes,,Yes,,
1226,,,Yes,Yes,,
1227,,Yes,,Yes,,
1228,Yes,,,Yes,,
1229,,Yes,,Yes,Yes,
1230,Yes,,,Yes,Yes,
1231,Yes,,,Yes,,
1232,,,Yes,Yes,,
1233,,,Yes,Yes,,
1235,Yes,,,,,
1236,Yes,,,Yes,Yes,
1237,Yes,,,Yes,Yes,
1238,Yes,,,Yes,Yes,
1240,Yes,,,Yes,Yes,
1241,Yes,,,Yes,Yes,
1242,Yes,,,Yes,,
1243,Yes,,,Yes,,
1244,Yes,,,Yes,,
1245,,,Yes,Yes,,
1247,Yes,,,Yes,Yes,
1248,,Yes,,Yes,,
1249,Yes,,,,,
1250,Yes,,,,,
1252,Yes,,,Yes,Yes,
1253,Yes,,,,,
1254,Yes,,,Yes,,
1256,Yes,,,Yes,,
1257,Yes,,,,,
1260,Yes,,,Yes,,
1261,Yes,,,Yes,Yes,
1263,Yes,,,Yes,Yes,
1264,Yes,,,Yes,,
1266,Yes,,,Yes,Yes,
1268,Yes,,,Yes,Yes,
1270,Yes,,,Yes,,
1271,,,Yes,Yes,,
1272,Yes,,,,,
1273,Yes,,,Yes,Yes,
1274,Yes,,,Yes,,
1276,Yes,,,Yes,Yes,
1277,Yes,,,Yes,,
1279,Yes,,,,,
1280,Yes,,,Yes,,
3761,,,Yes,,,
1283,,Yes,,Yes,,
1284,,Yes,,Yes,Yes,
1285,Yes,,,Yes,,
1286,Yes,,,Yes,,
1287,Yes,,,Yes,,
1603,,,Yes,,,
1290,Yes,,,Yes,,
1291,Yes,,,Yes,,
1292,Yes,,,Yes,,
1293,,Yes,,Yes,Yes,
1294,,,Yes,Yes,,
1295,Yes,,,,,
1296,Yes,,,,,
1297,,,Yes,Yes,Yes,
1298,Yes,,,Yes,,
1299,Yes,,,Yes,Yes,
1300,Yes,,,Yes,,
1301,Yes,,,Yes,,
1302,Yes,,,Yes,,
1303,Yes,,,Yes,Yes,
1304,Yes,,,Yes,,
1305,Yes,,,Yes,Yes,
1306,Yes,,,Yes,Yes,
1307,Yes,,,Yes,Yes,
1308,Yes,,,Yes,,
1309,Yes,,,Yes,,
1310,Yes,,,Yes,Yes,
1311,,,Yes,Yes,,
1312,Yes,,,Yes,,
1313,,,Yes,,,
1314,,Yes,,Yes,Yes,
1315,Yes,,,Yes,,
1316,Yes,,,Yes,,
1317,,,Yes,Yes,Yes,x
1318,,,Yes,Yes,,
1319,,Yes,,Yes,,
1320,,Yes,,Yes,,
1321,Yes,,,Yes,,
1322,Yes,,,Yes,Yes,
1324,Yes,,,,,
1326,Yes,,,Yes,,
1327,Yes,,,Yes,Yes,
1329,Yes,,,Yes,Yes,
1330,Yes,,,Yes,Yes,
1331,,,Yes,Yes,Yes,
1332,Yes,,,Yes,,
1333,Yes,,,Yes,,
1334,Yes,,,,,
1335,Yes,,,Yes,Yes,
1337,Yes,,,Yes,Yes,
1338,,,Yes,Yes,Yes,
1339,Yes,,,Yes,Yes,
1340,,Yes,,Yes,,
1341,Yes,,,Yes,Yes,
1342,Yes,,,Yes,,
1344,Yes,,,Yes,Yes,
1345,Yes,,,Yes,Yes,
1346,Yes,,,Yes,Yes,
1347,Yes,,,,,
1348,Yes,,,Yes,,
1349,,,Yes,Yes,,
1350,Yes,,,Yes,Yes,
1351,,,Yes,Yes,,
1352,,,Yes,Yes,Yes,
1353,Yes,,,Yes,Yes,
1354,Yes,,,Yes,,
1355,Yes,,,Yes,Yes,
1356,Yes,,,Yes,,
1357,Yes,,,,,
1358,Yes,,,Yes,Yes,
1359,,,Yes,Yes,,
1360,Yes,,,Yes,,
1361,Yes,,,Yes,Yes,
1362,,,Yes,Yes,Yes,
1363,,,Yes,,,
1364,Yes,,,Yes,,
2608,,,Yes,,,
1367,Yes,,,Yes,Yes,
1369,Yes,,,Yes,,
1370,,,Yes,Yes,Yes,
1371,Yes,,,Yes,Yes,
1372,Yes,,,Yes,,
1373,,,Yes,Yes,Yes,
1375,,Yes,,Yes,Yes,
1376,,Yes,,Yes,,
1377,Yes,,,Yes,,
1378,Yes,,,Yes,Yes,
1379,Yes,,,Yes,,
1380,Yes,,,Yes,,
1381,Yes,,,Yes,Yes,
1382,Yes,,,Yes,Yes,
1383,,,Yes,Yes,Yes,
1384,Yes,,,Yes,,
1385,Yes,,,Yes,,
1429,,,Yes,,Yes,
1387,,,Yes,Yes,Yes,
1388,Yes,,,Yes,Yes,
1259,,,Yes,,Yes,
1390,,,Yes,Yes,,
1391,,,Yes,Yes,,
1392,Yes,,,Yes,,
1394,Yes,,,Yes,,
1396,Yes,,,Yes,Yes,
1397,Yes,,,Yes,Yes,
1398,,,Yes,Yes,Yes,
1399,Yes,,,Yes,,
1400,,,Yes,Yes,Yes,
1401,Yes,,,Yes,,
1403,,,Yes,Yes,,
1404,Yes,,,Yes,,
1405,,,Yes,,,
1406,Yes,,,Yes,Yes,
1408,,Yes,,Yes,Yes,
1409,,,Yes,Yes,,
1267,,,Yes,,,
1411,Yes,,,Yes,,
1412,Yes,,,Yes,Yes,
1413,Yes,,,Yes,,
1414,Yes,,,Yes,Yes,
1415,Yes,,,Yes,,
1417,Yes,,,Yes,,
1418,Yes,,,Yes,Yes,
1419,,,Yes,Yes,,
1420,Yes,,,Yes,Yes,
1421,Yes,,,Yes,Yes,
885,,,Yes,,,
1424,Yes,,,Yes,Yes,
1426,Yes,,,Yes,Yes,
1427,Yes,,,Yes,,
1428,Yes,,,Yes,Yes,
1430,Yes,,,Yes,,
1432,Yes,,,Yes,Yes,
1433,Yes,,,Yes,,
1434,Yes,,,Yes,Yes,
1436,Yes,,,,,
1437,Yes,,,Yes,Yes,
1438,Yes,,,Yes,,
1439,Yes,,,Yes,Yes,
1440,Yes,,,Yes,Yes,
1441,Yes,,,Yes,Yes,
1442,Yes,,,Yes,Yes,
1444,,Yes,,Yes,Yes,
585,,,Yes,,,
1446,Yes,,,Yes,,
1447,Yes,,,Yes,Yes,
1448,Yes,,,Yes,Yes,
1449,Yes,,,Yes,Yes,
1450,Yes,,,Yes,,
1452,,,Yes,Yes,Yes,
1453,Yes,,,Yes,,
1454,Yes,,,Yes,,
1455,,,Yes,Yes,Yes,
1456,Yes,,,Yes,,
1457,Yes,,,Yes,Yes,
1458,,,Yes,Yes,Yes,
1459,Yes,,,Yes,Yes,
1460,,,Yes,Yes,Yes,
1461,,,Yes,Yes,,
1462,Yes,,,,,
1464,Yes,,,Yes,,
1465,Yes,,,Yes,Yes,
1466,Yes,,,Yes,Yes,
1467,,,Yes,,,
1468,Yes,,,,,
1469,,,Yes,Yes,Yes,
1470,Yes,,,Yes,Yes,
1472,Yes,,,Yes,,
1473,Yes,,,Yes,Yes,
3180,,,Yes,,,
1476,Yes,,,Yes,,
1477,Yes,,,Yes,Yes,
1478,Yes,,,Yes,Yes,
1479,Yes,,,Yes,,
750,,,Yes,,,
1481,,Yes,,Yes,,
1483,,,Yes,Yes,Yes,
1484,Yes,,,,,
1485,Yes,,,Yes,Yes,
1486,Yes,,,Yes,Yes,
1487,Yes,,,Yes,Yes,
1488,,Yes,,Yes,Yes,
1490,Yes,,,Yes,Yes,
1492,Yes,,,Yes,,
1493,,,Yes,,,
1494,,,Yes,,,
1495,Yes,,,Yes,Yes,
1496,Yes,,,Yes,,
1497,Yes,,,Yes,,
1498,,,Yes,Yes,,
1499,Yes,,,Yes,,
1500,Yes,,,Yes,,
1502,Yes,,,Yes,,
1505,Yes,,,Yes,Yes,
1507,Yes,,,Yes,Yes,
1508,Yes,,,Yes,Yes,
1511,Yes,,,,,
1512,Yes,,,,,
1513,,,Yes,Yes,,
1514,Yes,,,Yes,Yes,
1515,Yes,,,Yes,,
1516,Yes,,,,,
1517,,Yes,,Yes,,
1518,Yes,,,Yes,Yes,
1520,Yes,,,Yes,Yes,
1729,,,Yes,,,
1522,,,Yes,Yes,,
1523,Yes,,,Yes,Yes,
1524,Yes,,,Yes,Yes,
1525,,,Yes,Yes,,
1526,,,Yes,Yes,,
1527,Yes,,,Yes,Yes,
1528,Yes,,,Yes,,
1529,,,Yes,Yes,Yes,
1530,,,Yes,,,
1532,Yes,,,Yes,,
1533,Yes,,,Yes,Yes,
1534,Yes,,,Yes,Yes,
1535,Yes,,,Yes,,
1536,,,Yes,Yes,,
1538,Yes,,,Yes,Yes,
1539,Yes,,,Yes,,
1540,Yes,,,Yes,Yes,
1541,,Yes,,Yes,,
1542,Yes,,,Yes,,
1543,Yes,,,Yes,Yes,
1544,,,Yes,Yes,,
1545,Yes,,,Yes,,
1547,Yes,,,Yes,,
1549,Yes,,,,,
1551,Yes,,,Yes,Yes,
1552,Yes,,,Yes,,
1553,Yes,,,Yes,,
1554,,,Yes,Yes,,
1556,Yes,,,Yes,Yes,
1557,Yes,,,Yes,,
1560,,,Yes,Yes,Yes,
1561,Yes,,,,,
1563,Yes,,,Yes,,
1564,,,Yes,Yes,Yes,
1565,,,Yes,Yes,Yes,
1566,Yes,,,Yes,,
1567,Yes,,,Yes,Yes,
1568,Yes,,,Yes,,
1474,,,Yes,,,
1570,Yes,,,Yes,,
1571,Yes,,,Yes,Yes,
1572,Yes,,,Yes,Yes,
1573,Yes,,,Yes,Yes,
1575,Yes,,,Yes,,
1577,Yes,,,Yes,Yes,
1578,,Yes,,Yes,,
1580,Yes,,,Yes,Yes,
1581,Yes,,,Yes,,
1584,Yes,,,Yes,Yes,
1585,,,Yes,Yes,,
1586,,Yes,,Yes,Yes,
1589,,,Yes,Yes,,
1590,Yes,,,,,
1591,Yes,,,Yes,Yes,
1592,Yes,,,Yes,Yes,
1593,Yes,,,Yes,,
1594,,,Yes,Yes,Yes,
1597,Yes,,,Yes,Yes,
1598,Yes,,,Yes,,
1599,Yes,,,Yes,Yes,
1600,Yes,,,Yes,,
1601,Yes,,,Yes,Yes,
1602,Yes,,,Yes,Yes,
1604,,,Yes,Yes,Yes,
1605,,,Yes,Yes,,
1606,,,Yes,Yes,Yes,
1607,Yes,,,Yes,,
1608,Yes,,,Yes,,
1609,Yes,,,Yes,Yes,
2001,,,Yes,,,
1612,Yes,,,,,
1613,Yes,,,Yes,Yes,
1614,Yes,,,Yes,,
1617,Yes,,,Yes,Yes,
1618,Yes,,,Yes,,
1619,Yes,,,Yes,,
1620,,,Yes,,,
1622,Yes,,,Yes,Yes,
1623,Yes,,,Yes,Yes,
1626,Yes,,,Yes,Yes,
1627,Yes,,,Yes,Yes,
1630,Yes,,,Yes,Yes,
1631,Yes,,,Yes,Yes,
1632,Yes,,,Yes,,
1633,Yes,,,Yes,,
1634,Yes,,,Yes,,
1635,Yes,,,Yes,Yes,
1636,,,Yes,Yes,Yes,
1637,Yes,,,Yes,Yes,
1638,Yes,,,,,
1640,Yes,,,Yes,Yes,
1643,Yes,,,Yes,,
1644,Yes,,,Yes,,
1646,,,Yes,Yes,Yes,
1647,Yes,,,Yes,Yes,
1648,Yes,,,Yes,,
1649,Yes,,,Yes,,
1650,Yes,,,Yes,Yes,
1651,,,Yes,Yes,Yes,
1652,Yes,,,Yes,Yes,
1654,Yes,,,Yes,,
1656,,,Yes,Yes,Yes,
1657,Yes,,,Yes,Yes,
1658,,Yes,,Yes,Yes,
1659,,,Yes,Yes,,
1660,Yes,,,Yes,Yes,
1662,Yes,,,Yes,,
1663,Yes,,,Yes,,
1664,Yes,,,Yes,Yes,
1665,Yes,,,Yes,,
1666,Yes,,,Yes,,
1668,Yes,,,Yes,,
1669,Yes,,,Yes,,
1671,Yes,,,Yes,Yes,
1672,Yes,,,Yes,Yes,
1673,Yes,,,Yes,Yes,
1674,Yes,,,Yes,Yes,
5751,,,Yes,,,
1676,Yes,,,Yes,Yes,
1677,,,Yes,Yes,,
1678,Yes,,,Yes,,
1679,Yes,,,Yes,,
1680,,,Yes,,,
1681,,,Yes,Yes,,
1682,Yes,,,Yes,Yes,
1685,Yes,,,Yes,Yes,
1686,Yes,,,Yes,,
1687,,,Yes,Yes,Yes,
1688,Yes,,,Yes,Yes,
1689,Yes,,,Yes,,
1690,Yes,,,Yes,,
1694,,,Yes,Yes,Yes,
1695,Yes,,,Yes,,
1696,Yes,,,Yes,,
1699,,,Yes,Yes,Yes,
1700,Yes,,,Yes,,
1702,,Yes,,Yes,,
1703,,,Yes,Yes,Yes,
1704,Yes,,,Yes,,
1705,,,Yes,Yes,,
1707,Yes,,,Yes,,
1708,Yes,,,Yes,Yes,
1709,Yes,,,Yes,Yes,
1710,,Yes,,Yes,,
1711,,Yes,,Yes,Yes,
1712,,,Yes,Yes,,
1714,,,Yes,Yes,Yes,
1719,,,Yes,Yes,,
1720,,Yes,,Yes,,
1721,Yes,,,Yes,,
1722,Yes,,,Yes,Yes,
1723,,,Yes,Yes,,
1726,Yes,,,Yes,,
1728,Yes,,,Yes,Yes,
1730,Yes,,,Yes,,
1588,,,Yes,,,
1734,Yes,,,Yes,Yes,
1735,,,Yes,Yes,,
1736,Yes,,,Yes,,
1737,Yes,,,Yes,Yes,
1738,Yes,,,Yes,,
1739,,,Yes,Yes,,
1740,Yes,,,Yes,,
1741,Yes,,,Yes,,
1742,Yes,,,Yes,Yes,
1744,Yes,,,Yes,,
1745,,,Yes,Yes,,
1746,,,Yes,Yes,,
5335,,,Yes,,,
1748,Yes,,,Yes,,
1749,Yes,,,Yes,,
1752,Yes,,,Yes,,
1753,Yes,,,Yes,,
1754,Yes,,,Yes,,
1757,Yes,,,Yes,Yes,
1758,Yes,,,Yes,Yes,
1759,Yes,,,Yes,Yes,
1760,,,Yes,Yes,,
1763,Yes,,,Yes,,
1764,Yes,,,Yes,Yes,
1765,Yes,,,Yes,,
1766,Yes,,,,,
1767,Yes,,,Yes,,
1768,Yes,,,Yes,,
1769,Yes,,,Yes,Yes,
1770,Yes,,,Yes,Yes,
1771,Yes,,,Yes,,
1772,Yes,,,Yes,,
1773,Yes,,,Yes,,
1774,,,Yes,Yes,,
1775,Yes,,,Yes,,
1776,,,Yes,Yes,Yes,
1778,Yes,,,Yes,Yes,
1780,Yes,,,Yes,,
1781,,,Yes,Yes,,
1782,Yes,,,Yes,,
1783,Yes,,,Yes,Yes,
1784,,,Yes,Yes,Yes,
5843,,,Yes,,,
1788,Yes,,,Yes,,
1789,Yes,,,Yes,,
1790,Yes,,,Yes,,
1791,Yes,,,Yes,Yes,
1792,,,Yes,Yes,,
1793,Yes,,,Yes,,
1794,Yes,,,Yes,,
1796,Yes,,,Yes,,
1797,Yes,,,Yes,,
1798,Yes,,,Yes,,
1799,Yes,,,Yes,Yes,
1800,Yes,,,,,
1801,Yes,,,Yes,,
1802,,,Yes,Yes,Yes,
1803,,,Yes,,,
1804,Yes,,,Yes,,
1806,Yes,,,Yes,Yes,
1807,Yes,,,Yes,,
1809,Yes,,,Yes,,
1810,,,Yes,Yes,,
1811,Yes,,,Yes,,
1812,Yes,,,Yes,Yes,
1814,,,Yes,Yes,Yes,
1815,Yes,,,Yes,,
1817,Yes,,,Yes,Yes,
1819,Yes,,,Yes,,
1820,Yes,,,Yes,,
1823,Yes,,,Yes,,
1825,Yes,,,Yes,,
1826,Yes,,,Yes,Yes,
1827,Yes,,,Yes,,
1828,Yes,,,Yes,,
1830,Yes,,,Yes,,
1831,Yes,,,Yes,Yes,
2441,,,Yes,,,
1833,,,Yes,Yes,,
1834,Yes,,,Yes,Yes,
1835,,,Yes,Yes,,
1836,Yes,,,Yes,,
1837,Yes,,,Yes,,
1839,Yes,,,Yes,Yes,
1841,Yes,,,Yes,Yes,
1842,Yes,,,Yes,,
1845,,,Yes,Yes,,
1846,Yes,,,,,
1847,,,Yes,Yes,,
1848,Yes,,,Yes,,
1849,Yes,,,Yes,Yes,
1850,,,Yes,Yes,Yes,
1851,,,Yes,Yes,,
1852,Yes,,,Yes,,
1855,,,Yes,Yes,Yes,
1856,Yes,,,Yes,,
1860,Yes,,,Yes,,
1861,,,Yes,Yes,Yes,
1863,,,Yes,Yes,,
1864,Yes,,,Yes,,
1866,Yes,,,Yes,,
1868,Yes,,,Yes,,
1870,Yes,,,Yes,,
1871,Yes,,,Yes,Yes,
1872,Yes,,,Yes,Yes,
1873,,,Yes,Yes,,
1874,,Yes,,Yes,Yes,
1875,Yes,,,Yes,,
1878,Yes,,,Yes,Yes,
1880,Yes,,,Yes,,
1881,Yes,,,Yes,,
1883,Yes,,,Yes,,
1884,,,Yes,Yes,Yes,
1885,Yes,,,Yes,Yes,
1886,,,Yes,Yes,,
1888,Yes,,,Yes,,
1889,Yes,,,Yes,,
1890,Yes,,,Yes,Yes,
1891,,,Yes,Yes,,
1892,Yes,,,Yes,,
1894,Yes,,,Yes,,
1896,Yes,,,Yes,Yes,
1897,Yes,,,Yes,Yes,
1900,Yes,,,Yes,Yes,
1901,,,Yes,Yes,Yes,
1902,Yes,,,Yes,,
1903,Yes,,,Yes,,
1904,,,Yes,Yes,,
1905,Yes,,,Yes,,
1908,Yes,,,Yes,Yes,
1909,Yes,,,Yes,Yes,
1910,Yes,,,Yes,Yes,
1911,Yes,,,Yes,Yes,
1913,Yes,,,Yes,Yes,
1915,Yes,,,Yes,,
1916,,,Yes,Yes,,
1923,Yes,,,Yes,Yes,
1924,Yes,,,Yes,,
1925,,,Yes,Yes,,
1926,,,Yes,Yes,Yes,
1927,,,Yes,Yes,Yes,
1928,Yes,,,Yes,,
1929,Yes,,,Yes,Yes,
1931,Yes,,,Yes,Yes,
1932,Yes,,,Yes,Yes,
1935,Yes,,,Yes,,
1936,Yes,,,Yes,Yes,
1937,Yes,,,Yes,Yes,
1939,Yes,,,Yes,Yes,
1940,,,Yes,Yes,,
1942,Yes,,,Yes,,
1943,Yes,,,Yes,Yes,
1945,Yes,,,Yes,,
1946,Yes,,,Yes,Yes,
1947,Yes,,,Yes,,
1948,Yes,,,Yes,,
1949,Yes,,,Yes,,
1951,Yes,,,Yes,Yes,
1952,Yes,,,Yes,,
1955,Yes,,,Yes,,
1956,Yes,,,Yes,Yes,
1957,,,Yes,Yes,,
1958,Yes,,,,,
1959,Yes,,,Yes,Yes,
1960,,,Yes,Yes,,
1962,Yes,,,Yes,,
1964,Yes,,,Yes,Yes,
1965,Yes,,,Yes,,
1966,Yes,,,Yes,,
1967,Yes,,,Yes,,
1968,Yes,,,Yes,,
1969,Yes,,,Yes,,
1970,Yes,,,Yes,,
1971,,,Yes,Yes,,
1973,Yes,,,Yes,,
1976,Yes,,,Yes,Yes,
1977,Yes,,,Yes,,
1978,,,Yes,Yes,Yes,
1980,Yes,,,Yes,,
1981,Yes,,,Yes,Yes,
1982,Yes,,,Yes,Yes,
1983,,,Yes,Yes,,
1984,Yes,,,Yes,,
1985,,,Yes,Yes,,
1986,Yes,,,Yes,,
1987,Yes,,,Yes,Yes,
1988,Yes,,,Yes,Yes,
1991,Yes,,,Yes,Yes,
1993,Yes,,,Yes,,
1994,Yes,,,Yes,Yes,
1995,Yes,,,Yes,Yes,
1996,,,Yes,Yes,,
1997,,,Yes,Yes,Yes,
1998,Yes,,,Yes,,
1999,Yes,,,Yes,,
2000,Yes,,,Yes,,
2003,Yes,,,Yes,Yes,
2004,,,Yes,Yes,,
2005,Yes,,,Yes,,
2006,Yes,,,Yes,,
2007,Yes,,,Yes,Yes,
2010,Yes,,,Yes,,
2012,Yes,,,Yes,,
2013,Yes,,,Yes,,
2014,,,Yes,Yes,,
2015,Yes,,,Yes,,
2016,Yes,,,Yes,Yes,
2019,Yes,,,Yes,Yes,
2021,Yes,,,Yes,,
2022,Yes,,,Yes,,
2023,,,Yes,Yes,,
2024,Yes,,,Yes,,
2025,Yes,,,Yes,Yes,
2027,,,Yes,Yes,,
5890,,,Yes,,,
2030,,,Yes,Yes,,
2033,Yes,,,Yes,,
2036,Yes,,,Yes,Yes,
2037,,,Yes,Yes,,
2038,Yes,,,Yes,Yes,
2040,Yes,,,Yes,Yes,
2045,Yes,,,Yes,,
2046,Yes,,,Yes,Yes,
2048,,,Yes,Yes,,
2049,,,Yes,Yes,,
2050,Yes,,,Yes,,
2051,Yes,,,Yes,,
2053,Yes,,,Yes,,
2055,Yes,,,Yes,,
2056,Yes,,,Yes,Yes,
2058,Yes,,,Yes,,
2059,Yes,,,Yes,Yes,
2063,Yes,,,Yes,Yes,
2064,,,Yes,Yes,,
2065,,Yes,,Yes,,
2066,Yes,,,Yes,,
2068,Yes,,,Yes,Yes,
2069,Yes,,,Yes,Yes,
2070,Yes,,,Yes,Yes,
2071,Yes,,,Yes,,
2073,,,Yes,Yes,,
2074,,,Yes,Yes,Yes,
2075,Yes,,,Yes,,
2077,Yes,,,Yes,Yes,
2078,Yes,,,Yes,,
2079,,,Yes,Yes,,
2080,Yes,,,Yes,,
2081,,,Yes,Yes,,
2083,,,Yes,Yes,,
2084,Yes,,,Yes,Yes,
2086,Yes,,,Yes,Yes,
2087,,,Yes,Yes,,
2088,Yes,,,Yes,Yes,
2089,Yes,,,Yes,,
2091,,,Yes,,,
2093,Yes,,,Yes,Yes,
2095,Yes,,,Yes,,
2097,,,Yes,Yes,,
2098,,,Yes,Yes,,
2100,,,Yes,Yes,,
2101,,,Yes,Yes,,
2102,Yes,,,Yes,Yes,
2103,Yes,,,Yes,,
2104,Yes,,,Yes,,
2105,Yes,,,,,
2106,Yes,,,Yes,Yes,
2107,,,Yes,Yes,,
2108,Yes,,,Yes,Yes,
2111,,Yes,,Yes,Yes,
2112,Yes,,,Yes,Yes,
2113,Yes,,,Yes,,
2114,,,Yes,Yes,,
2115,Yes,,,Yes,,
2116,,,Yes,Yes,Yes,
2119,,,Yes,Yes,,
2120,Yes,,,Yes,Yes,
2121,,,Yes,Yes,,
2122,Yes,,,Yes,,
2123,,,Yes,Yes,,
2124,Yes,,,Yes,,
2125,Yes,,,Yes,Yes,
2127,Yes,,,Yes,,
2129,,,Yes,Yes,,
3634,,,Yes,,,
2131,Yes,,,Yes,Yes,
2132,,,Yes,Yes,,
2133,Yes,,,,,
2134,Yes,,,Yes,,
2135,Yes,,,Yes,,
2136,Yes,,,Yes,Yes,
2137,Yes,,,Yes,,
2141,Yes,,,Yes,Yes,
2142,Yes,,,Yes,,
2145,Yes,,,Yes,Yes,
2146,Yes,,,Yes,,
2147,Yes,,,Yes,,
2149,Yes,,,Yes,,
2151,,,Yes,Yes,,
2152,Yes,,,Yes,Yes,
2154,,Yes,,Yes,,
2157,Yes,,,Yes,,
2158,,,Yes,Yes,,
2159,Yes,,,Yes,,
2160,Yes,,,Yes,Yes,
2164,Yes,,,Yes,,
2166,Yes,,,Yes,,
2169,Yes,,,Yes,,
2174,Yes,,,Yes,,
2175,Yes,,,Yes,,
2176,,Yes,,Yes,,
2187,Yes,,,Yes,,
2188,Yes,,,Yes,,
2189,Yes,,,Yes,Yes,
2191,Yes,,,Yes,Yes,
2192,Yes,,,Yes,Yes,
2193,Yes,,,Yes,Yes,
2195,Yes,,,Yes,,
2196,Yes,,,Yes,,
2197,Yes,,,Yes,Yes,
2198,Yes,,,Yes,,
2199,Yes,,,Yes,,
2201,,,Yes,,,
2202,Yes,,,Yes,,
2204,Yes,,,Yes,,
2205,,,Yes,Yes,,
2207,Yes,,,Yes,,
2208,Yes,,,Yes,Yes,
2209,Yes,,,Yes,,
2210,Yes,,,Yes,,
2211,Yes,,,Yes,,
2213,Yes,,,Yes,Yes,
2214,Yes,,,Yes,,
2215,Yes,,,Yes,,
2218,,,Yes,Yes,,
2221,Yes,,,Yes,,
2223,Yes,,,Yes,,
2225,Yes,,,Yes,,
2229,Yes,,,,,
2230,Yes,,,Yes,,
2231,,,Yes,Yes,,
2233,Yes,,,Yes,Yes,
2234,Yes,,,Yes,Yes,
2237,,,Yes,Yes,,
2238,Yes,,,Yes,,
2239,Yes,,,,,
2241,Yes,,,Yes,,
2243,Yes,,,Yes,Yes,
2244,Yes,,,Yes,,
1281,,,Yes,,,
2247,Yes,,,Yes,,
2249,Yes,,,Yes,Yes,
254,Yes,,,,,
2252,Yes,,,Yes,,
2253,Yes,,,Yes,,
2255,Yes,,,Yes,Yes,
2257,Yes,,,,,
2259,Yes,,,Yes,,
2261,,,Yes,Yes,,
2262,Yes,,,Yes,Yes,
1144,,,Yes,,,
2265,Yes,,,Yes,,
2266,Yes,,,Yes,Yes,
2269,Yes,,,Yes,,
2270,Yes,,,Yes,,
2271,,,Yes,Yes,Yes,
2272,Yes,,,Yes,,
2273,Yes,,,Yes,Yes,
2274,Yes,,,Yes,Yes,
1879,Yes,,,,,
2276,Yes,,,Yes,Yes,
1611,Yes,,,,,
2278,Yes,,,Yes,Yes,
2279,Yes,,,Yes,,
2280,,,Yes,Yes,,
2281,Yes,,,Yes,,
2282,Yes,,,Yes,,
2283,,,Yes,Yes,Yes,
2284,Yes,,,Yes,,
2285,,,Yes,Yes,,
2287,Yes,,,Yes,Yes,
1898,Yes,,,,,
506,Yes,,,,,
2294,Yes,,,Yes,,
2295,Yes,,,Yes,Yes,
2299,Yes,,,Yes,,
2300,Yes,,,Yes,,
2306,,Yes,,Yes,Yes,
2307,Yes,,,Yes,Yes,
2309,Yes,,,Yes,,
2310,,Yes,,Yes,,
1425,Yes,,,,,
2312,Yes,,,Yes,Yes,
2313,Yes,,,Yes,,
2316,Yes,,,Yes,Yes,
2318,Yes,,,Yes,Yes,
2320,Yes,,,Yes,,
2322,Yes,,,Yes,,
2323,Yes,,,Yes,Yes,
2325,Yes,,,Yes,Yes,
4132,Yes,,,,,
2331,Yes,,,Yes,,
2334,Yes,,,Yes,Yes,
2691,,,Yes,,Yes,
2336,Yes,,,Yes,Yes,
2337,Yes,,,Yes,,
2338,Yes,,,Yes,Yes,
2339,Yes,,,Yes,Yes,
2340,,,Yes,Yes,,
2348,Yes,,,Yes,,
2350,Yes,,,Yes,,
2351,,,Yes,Yes,,
2352,Yes,,,Yes,,
2354,Yes,,,Yes,Yes,
