Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
25,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,3,,
25,Dept 14,Holiday Time Gadgets,Full Stack,1,,
25,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
25,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
25,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
25,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,1,,Cancel due to tariffs.
25,Dept 71,"MS Fabric Folding Chair, Black, 24Units",Full Endcap,2,,Cancel due to tariffs.
25,Dept 92,Kraft Miracle Whip HP  (160 pieces),Half Stack,1,,
27,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,,Item Replacement due to tariffs: 48in USA sled
27,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,3,,
27,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
28,Dept 14,Beautiful Stand Mixer 5.3 Black,Full Endcap,1,,
28,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,2,,
28,Dept 16,"BABY SLED, 24 units",PDQ,1,,
28,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
28,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,1,,
28,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,1,,
28,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
28,Dept 34,Tec-One Hooded Faux Fur Lined Jacket and Legging,4-way,1,,
28,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
28,Dept 74,"Frigidaire 6.5cu ft Upright Freezer, 4 units",Full Stack,1,,
28,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,1,,
29,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
29,Dept 09,Colour Flames Sidekick,Sidekick,1,,
29,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,1,,
29,Dept 14,Holiday Time Gadgets,Full Stack,1,,
29,Dept 16,27IN SNOW ROLLER,PDQ,5,,
29,Dept 16,"BABY SLED, 24 units",PDQ,1,,
29,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,4,,Item Replacement due to tariffs: 48in USA sled
29,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
29,Dept 24,96 PC BOYS ICEBURG SNOW BIB & PANTS,4-way,1,,
29,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
29,Dept 33,3 Girls Snow Bibs and  3 Snow Pants,4-way,1,,
29,Dept 34,"Tec One System Ski Jacket, Snow Pant, Bib 2 prices",4-way,1,,
29,Dept 34,Tec-One Hooded Faux Fur Lined Jacket and Legging,4-way,1,,
29,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
30,Dept 09,Colour Flames Sidekick,Sidekick,1,,
30,Dept 14,Holiday Time Gadgets,Full Stack,1,,
30,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,1,,
31,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
31,Dept 14,Holiday Time Gadgets,Full Stack,1,,
31,Dept 16,"BABY SLED, 24 units",PDQ,1,,
31,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,1,,Item Replacement due to tariffs: 48in USA sled
31,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,1,,Cancel due to tariffs.
33,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
33,Dept 09,"Coleman 120qt Cooler, 6 units",Full Stack,1,,
33,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,2,,
33,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
34,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
34,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
34,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
35,Dept 14,Holiday Time Gadgets,Full Stack,1,,
35,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,5,,
35,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
35,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,3,,
35,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
35,Dept 92,"Fall Flavors Cheerios Pallet, 272ct",Full Stack,1,,
36,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,1,,
36,Dept 71,"MS 6FT FLD TABLE BLK, 10 units",Full Endcap,1,,Cancel due to tariffs.
36,Dept 71,"MS Fabric Folding Chair, Black, 24Units",Full Endcap,1,,Cancel due to tariffs.
37,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
37,Dept 14,Beautiful Stand Mixer 5.3 Black,Full Endcap,1,,
37,Dept 14,Holiday Time Gadgets,Full Stack,1,,
37,Dept 16,"BABY SLED, 24 units",PDQ,1,,
37,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,4,,Item Replacement due to tariffs: 48in USA sled
37,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
37,Dept 22,"Your Zone Kids' Nap Mats/Sleeping Bags, 88 pieces (44x2)",Full Endcap,1,,
37,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
37,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
38,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,1,,
38,Dept 92,"Quaker Instant Oatmeal Value Pack, 90 ct",Half Stack,1,,
39,Dept 11,"PENNINGTON FUEL PLTS, 50 units",Full Stack,3,,
39,Dept 14,Holiday Time Gadgets,Full Stack,1,,
39,Dept 92,Kraft Miracle Whip HP  (160 pieces),Half Stack,1,,
40,Dept 14,Holiday Time Gadgets,Full Stack,1,,
41,Dept 02,"Jergens Lotion Loyalty Size, 52pcs",4-way,1,,
41,Dept 11,".65 FIREWOOD BUNDLE, 65 units",Full Stack,1,,
43,Dept 14,Holiday Time Gadgets,Full Stack,1,,
43,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,1,,
43,Dept 16,27IN SNOW ROLLER,PDQ,1,,
43,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
43,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,1,,Cancel due to tariffs.
44,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
44,Dept 74,"Frigidaire 6.5cu ft Upright Freezer, 4 units",Full Stack,1,,
45,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,3,,
46,Dept 08,"Vibrant Life Pigglesworth Latex Dog Toy, 300pcs",Half Stack,1,,
46,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,2,,
46,Dept 11,"PENNINGTON FUEL PLTS, 50 units",Full Stack,5,,
46,Dept 16,27IN SNOW ROLLER,PDQ,2,,
46,Dept 16,"BABY SLED, 24 units",PDQ,1,,
46,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,1,,Item Replacement due to tariffs: 48in USA sled
46,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,5,,
46,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,1,,
48,Dept 02,VICL 20.3z 16pc PDQ,4-way,1,,
48,Dept 11,"PENNINGTON FUEL PLTS, 50 units",Full Stack,1,,
48,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,2,,
48,Dept 14,Holiday Time Gadgets,Full Stack,1,,
48,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,1,,
48,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,1,,
48,Dept 23,Men's Athletic Works 12 Pack Socks 102 Pc,Half Stack,1,,
50,Dept 11,"PENNINGTON FUEL PLTS, 50 units",Full Stack,10,,
50,Dept 14,Holiday Time Gadgets,Full Stack,1,,
50,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,1,,
50,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
51,Dept 14,Holiday Time Gadgets,Full Stack,1,,
52,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,2,,
52,Dept 14,Holiday Time Gadgets,Full Stack,1,,
52,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
52,Dept 23,Men's Athletic Works 12 Pack Socks 102 Pc,Half Stack,1,,
56,Dept 07,Hot Wheels Racing Grand Prix Set,Full Endcap,1,,
56,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,2,,
56,Dept 14,Holiday Time Gadgets,Full Stack,1,,
56,Dept 16,"BABY SLED, 24 units",PDQ,1,,
56,Dept 74,"Frigidaire 6.5cu ft Upright Freezer, 4 units",Full Stack,3,,
56,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,3,,
56,Dept 92,Chanukah Full Pallet,Full Stack,1,,
58,Dept 02,Aveeno Body Lotion 18oz 22pc,4-way,1,,
58,Dept 07,Hot Wheels Monster Trucks Dragon Demolition,Full Endcap,1,,
58,Dept 07,Hot Wheels Racing Grand Prix Set,Full Endcap,1,,
58,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
58,Dept 09,"Ozark Trail 10x10 Staight Leg Canopy, 12 units",Half Stack,2,,
58,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,2,,
58,Dept 14,Holiday Time Gadgets,Full Stack,1,,
58,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
58,Dept 23,"Men's Rustler Thermals, Socks, and Sleepwear 502pc",Full Stack,1,,
58,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
58,Dept 92,"Chex Flankers Pallet, 270 ct",Full Stack,1,,
58,Dept 92,"MOM SSZ Dyno Smores Flakes, 144 ct",Full Stack,2,,
60,Dept 07,Hot Wheels Mario Kart Bowser Castle,Full Endcap,1,,
60,Dept 07,Hot Wheels Racing Grand Prix Set,Full Endcap,1,,
60,Dept 08,"1 Qt Round Heated Pet Bowl, 32 units",Full Endcap,1,,
60,Dept 09,Colour Flames Sidekick,Sidekick,1,,
60,Dept 09,"Packed Party $30 Pickleball 2-Player Sets, 36 units",Full Endcap,1,,
60,Dept 11,Command value Pack Sidekick,Sidekick,2,,
60,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,1,,
60,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,2,,
60,Dept 14,Holiday Time Gadgets,Full Stack,1,,
60,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,5,,
60,Dept 16,27IN SNOW ROLLER,PDQ,4,,
60,Dept 16,"BABY SLED, 24 units",PDQ,2,,
60,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
60,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,7,,
60,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,3,,
60,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
60,Dept 23,Men's 6 Pack Dickies Work Socks 288 pc,Dump Bin,1,,
60,Dept 23,Men's Athletic Works 12 Pack Socks 102 Pc,Half Stack,1,,
