,900,901,902,903,904,905,584 (SPRING 27'),804
543,Yes,No,Yes,Yes,Yes,Yes,Yes,No
544,Yes,No,Yes,Yes,Yes,Yes,Yes,No
545,Yes,No,Yes,Yes,Yes,No,No,No
546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
547,Yes,No,Yes,Yes,Yes,Yes,Yes,No
548,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
549,Yes,No,Yes,Yes,Yes,Yes,Yes,No
550,No,No,No,No,No,No,Yes,No
551,Yes,No,Yes,Yes,Yes,Yes,Yes,No
552,Yes,No,Yes,Yes,Yes,Yes,No,No
553,Yes,No,Yes,Yes,Yes,Yes,Yes,No
554,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
555,Yes,No,Yes,Yes,Yes,Yes,Yes,No
556,Yes,No,Yes,Yes,Yes,Yes,Yes,No
557,No,No,No,No,No,No,Yes,No
558,Yes,No,Yes,Yes,Yes,Yes,Yes,No
559,No,No,No,No,No,No,Yes,No
560,No,No,No,No,No,No,No,No
561,Yes,No,Yes,Yes,Yes,Yes,No,No
562,No,No,No,No,No,No,Yes,No
563,No,No,No,No,No,No,Yes,No
564,Yes,No,Yes,Yes,Yes,Yes,Yes,No
565,No,No,No,No,No,No,Yes,No
566,Yes,No,Yes,Yes,Yes,Yes,No,No
567,Yes,No,Yes,Yes,No,No,No,No
568,Yes,No,Yes,Yes,Yes,Yes,No,No
569,Yes,No,Yes,Yes,Yes,Yes,No,No
571,Yes,No,Yes,Yes,Yes,Yes,Yes,No
572,Yes,No,Yes,Yes,Yes,Yes,Yes,No
573,Yes,No,Yes,Yes,Yes,Yes,Yes,No
574,No,No,No,No,No,No,No,No
575,No,No,No,No,No,No,Yes,No
576,Yes,No,Yes,Yes,Yes,Yes,Yes,No
577,Yes,No,Yes,Yes,Yes,Yes,Yes,No
578,Yes,No,Yes,Yes,Yes,Yes,Yes,No
579,Yes,No,Yes,Yes,Yes,Yes,Yes,No
580,Yes,No,Yes,Yes,Yes,Yes,Yes,No
581,Yes,No,Yes,Yes,Yes,Yes,Yes,No
582,Yes,No,Yes,Yes,Yes,Yes,Yes,No
583,Yes,No,Yes,Yes,Yes,Yes,No,No
584,No,No,No,No,No,No,Yes,No
585,Yes,No,Yes,Yes,Yes,Yes,Yes,No
586,Yes,No,Yes,Yes,Yes,Yes,Yes,No
587,Yes,No,Yes,Yes,Yes,Yes,No,No
588,No,No,No,No,No,No,Yes,No
589,Yes,No,Yes,Yes,Yes,Yes,Yes,No
590,Yes,No,Yes,Yes,Yes,Yes,Yes,No
591,Yes,No,Yes,Yes,Yes,Yes,No,No
592,No,No,No,No,No,No,No,No
593,No,No,No,No,No,No,Yes,No
594,Yes,No,Yes,Yes,Yes,Yes,Yes,No
595,Yes,No,Yes,Yes,Yes,Yes,Yes,No
596,Yes,No,Yes,Yes,Yes,Yes,No,No
598,Yes,No,Yes,Yes,Yes,Yes,Yes,No
599,Yes,No,Yes,Yes,Yes,Yes,Yes,No
600,Yes,No,Yes,Yes,Yes,Yes,Yes,No
601,No,No,No,No,No,No,No,No
602,Yes,No,Yes,Yes,Yes,Yes,Yes,No
603,Yes,No,Yes,Yes,Yes,Yes,Yes,No
604,Yes,No,Yes,Yes,Yes,Yes,Yes,No
605,Yes,No,Yes,Yes,Yes,Yes,Yes,No
606,Yes,No,Yes,Yes,Yes,Yes,No,No
607,No,No,No,No,No,No,No,No
608,Yes,No,Yes,Yes,Yes,Yes,Yes,No
609,Yes,No,Yes,Yes,Yes,Yes,Yes,No
610,No,No,No,No,No,No,Yes,No
611,Yes,No,Yes,Yes,Yes,Yes,No,No
612,Yes,No,Yes,Yes,Yes,Yes,No,No
613,No,No,No,No,No,No,Yes,No
614,No,No,No,No,No,No,Yes,No
615,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
616,Yes,No,Yes,Yes,Yes,Yes,Yes,No
617,Yes,No,Yes,Yes,No,No,No,No
618,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
619,Yes,No,Yes,Yes,Yes,Yes,Yes,No
620,Yes,No,Yes,Yes,Yes,Yes,Yes,No
621,Yes,No,Yes,Yes,Yes,Yes,Yes,No
622,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
623,Yes,No,Yes,Yes,Yes,Yes,Yes,No
624,Yes,No,Yes,Yes,Yes,Yes,No,No
625,No,No,No,No,No,No,No,No
626,Yes,No,Yes,Yes,No,No,No,No
627,No,No,No,No,No,No,No,No
628,Yes,No,Yes,Yes,Yes,Yes,Yes,No
629,Yes,No,Yes,Yes,Yes,Yes,Yes,No
630,Yes,No,Yes,Yes,Yes,Yes,Yes,No
631,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
632,No,No,No,No,No,No,Yes,No
633,No,No,No,No,No,No,No,No
634,No,No,No,No,No,No,Yes,No
635,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
636,Yes,No,Yes,Yes,Yes,Yes,No,No
637,Yes,No,Yes,Yes,Yes,Yes,Yes,No
638,Yes,No,Yes,Yes,Yes,Yes,Yes,No
639,Yes,No,Yes,Yes,Yes,Yes,Yes,No
640,Yes,No,Yes,Yes,Yes,Yes,Yes,No
641,Yes,No,Yes,Yes,Yes,Yes,Yes,No
642,Yes,No,Yes,Yes,Yes,Yes,No,No
643,Yes,No,Yes,Yes,Yes,Yes,Yes,No
644,Yes,No,Yes,Yes,Yes,Yes,Yes,No
645,Yes,No,Yes,Yes,Yes,Yes,Yes,No
646,No,No,No,No,No,No,No,No
647,Yes,No,Yes,Yes,Yes,Yes,No,No
648,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
649,No,No,No,No,No,No,Yes,No
651,Yes,No,Yes,Yes,Yes,Yes,Yes,No
652,Yes,No,Yes,Yes,Yes,Yes,Yes,No
653,No,No,No,No,No,No,Yes,No
655,Yes,No,Yes,Yes,Yes,Yes,Yes,No
656,No,No,No,No,No,No,No,No
657,Yes,No,Yes,Yes,Yes,Yes,Yes,No
658,Yes,No,Yes,Yes,Yes,Yes,Yes,No
659,Yes,No,Yes,Yes,Yes,Yes,Yes,No
660,No,No,No,No,No,No,No,No
661,No,No,No,No,No,No,Yes,No
662,No,No,No,No,No,No,Yes,No
663,Yes,No,Yes,Yes,Yes,Yes,Yes,No
664,No,No,No,No,No,No,Yes,No
665,Yes,No,Yes,Yes,Yes,Yes,Yes,No
666,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
667,Yes,No,Yes,Yes,Yes,Yes,Yes,No
668,No,No,No,No,No,No,No,No
669,Yes,No,Yes,Yes,Yes,Yes,Yes,No
670,Yes,No,Yes,Yes,Yes,Yes,Yes,No
671,Yes,No,Yes,Yes,Yes,Yes,Yes,No
672,Yes,No,Yes,Yes,Yes,Yes,Yes,No
673,Yes,No,Yes,Yes,Yes,Yes,Yes,No
674,Yes,No,Yes,Yes,Yes,Yes,Yes,No
675,Yes,No,Yes,Yes,Yes,Yes,No,No
676,Yes,No,Yes,Yes,Yes,Yes,No,No
677,No,No,No,No,No,No,Yes,No
678,No,No,No,No,No,No,Yes,No
680,No,No,No,No,No,No,Yes,No
681,Yes,No,Yes,Yes,Yes,Yes,Yes,No
682,No,No,No,No,No,No,Yes,No
683,No,No,No,No,No,No,Yes,No
684,No,No,No,No,No,No,Yes,No
685,Yes,No,Yes,Yes,Yes,Yes,Yes,No
686,Yes,No,Yes,Yes,Yes,Yes,Yes,No
687,No,No,No,No,No,No,No,No
688,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
689,Yes,No,Yes,Yes,Yes,Yes,Yes,No
690,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
691,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
692,Yes,No,Yes,Yes,Yes,Yes,Yes,No
693,Yes,No,Yes,Yes,Yes,Yes,No,No
694,Yes,No,Yes,Yes,Yes,Yes,Yes,No
695,Yes,No,Yes,Yes,Yes,Yes,Yes,No
696,Yes,No,Yes,Yes,Yes,Yes,Yes,No
697,Yes,No,Yes,Yes,Yes,Yes,Yes,No
698,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
699,Yes,No,Yes,Yes,Yes,Yes,Yes,No
700,Yes,No,Yes,Yes,Yes,Yes,Yes,No
701,Yes,No,Yes,Yes,Yes,Yes,Yes,No
702,Yes,No,Yes,Yes,Yes,Yes,Yes,No
703,Yes,No,Yes,Yes,Yes,Yes,Yes,No
705,Yes,No,Yes,Yes,Yes,Yes,Yes,No
706,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
707,Yes,No,Yes,Yes,Yes,Yes,No,No
708,Yes,No,Yes,Yes,Yes,Yes,Yes,No
709,Yes,No,Yes,Yes,Yes,Yes,Yes,No
710,Yes,No,Yes,Yes,Yes,Yes,Yes,No
711,Yes,No,Yes,Yes,Yes,Yes,Yes,No
712,Yes,No,Yes,Yes,Yes,Yes,Yes,No
713,Yes,No,Yes,Yes,Yes,Yes,No,No
714,Yes,No,Yes,Yes,Yes,Yes,No,No
715,Yes,No,Yes,Yes,Yes,Yes,Yes,No
716,No,No,No,No,No,No,Yes,No
718,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
719,Yes,No,Yes,Yes,Yes,Yes,Yes,No
720,Yes,No,Yes,Yes,Yes,Yes,Yes,No
721,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
722,Yes,No,Yes,Yes,Yes,Yes,Yes,No
723,Yes,No,Yes,Yes,Yes,Yes,Yes,No
724,Yes,No,Yes,Yes,Yes,Yes,No,No
725,Yes,No,Yes,Yes,Yes,Yes,Yes,No
726,Yes,No,Yes,Yes,Yes,Yes,Yes,No
727,Yes,No,Yes,Yes,Yes,Yes,Yes,No
728,Yes,No,Yes,Yes,Yes,Yes,No,No
729,Yes,No,Yes,Yes,Yes,Yes,Yes,No
730,Yes,No,Yes,Yes,Yes,Yes,Yes,No
731,Yes,No,Yes,Yes,Yes,Yes,No,No
733,Yes,No,Yes,Yes,Yes,Yes,Yes,No
734,Yes,No,Yes,Yes,Yes,Yes,Yes,No
735,Yes,No,Yes,Yes,Yes,Yes,Yes,No
736,Yes,No,Yes,Yes,Yes,Yes,No,No
737,Yes,No,Yes,Yes,Yes,Yes,No,No
738,Yes,No,Yes,Yes,Yes,Yes,Yes,No
739,Yes,No,Yes,Yes,Yes,Yes,Yes,No
740,Yes,No,Yes,Yes,Yes,Yes,Yes,No
741,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
742,Yes,No,Yes,Yes,Yes,Yes,Yes,No
743,No,No,No,No,No,No,No,No
744,Yes,No,Yes,Yes,Yes,Yes,Yes,No
745,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
746,No,No,No,No,No,No,No,No
748,Yes,No,Yes,Yes,Yes,Yes,No,No
749,Yes,No,Yes,Yes,Yes,Yes,No,No
750,Yes,No,Yes,Yes,Yes,No,No,No
751,Yes,No,Yes,Yes,Yes,Yes,No,No
752,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
753,Yes,No,Yes,Yes,Yes,Yes,Yes,No
754,Yes,No,Yes,Yes,Yes,Yes,Yes,No
755,Yes,No,Yes,Yes,Yes,Yes,Yes,No
756,Yes,No,Yes,Yes,Yes,Yes,Yes,No
757,No,No,No,No,No,No,Yes,No
758,Yes,No,Yes,Yes,Yes,Yes,Yes,No
759,Yes,No,Yes,Yes,Yes,Yes,No,No
760,Yes,No,Yes,Yes,No,No,No,No
761,Yes,No,Yes,Yes,Yes,Yes,No,No
762,Yes,No,Yes,Yes,Yes,Yes,Yes,No
764,Yes,No,Yes,Yes,Yes,Yes,Yes,No
765,Yes,No,Yes,Yes,Yes,Yes,Yes,No
766,No,No,No,No,No,No,Yes,No
767,Yes,No,Yes,Yes,Yes,Yes,Yes,No
768,Yes,No,Yes,Yes,Yes,Yes,Yes,No
769,Yes,No,Yes,Yes,Yes,Yes,Yes,No
770,No,No,No,No,No,No,Yes,No
771,Yes,No,Yes,Yes,Yes,Yes,Yes,No
772,Yes,No,Yes,Yes,Yes,Yes,Yes,No
773,Yes,No,Yes,Yes,Yes,Yes,Yes,No
774,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
775,Yes,No,Yes,Yes,Yes,Yes,Yes,No
776,Yes,No,Yes,Yes,Yes,Yes,Yes,No
777,No,No,No,No,No,No,No,No
778,Yes,No,Yes,Yes,Yes,Yes,Yes,No
779,Yes,No,Yes,Yes,Yes,Yes,Yes,No
780,Yes,No,Yes,Yes,Yes,Yes,Yes,No
781,Yes,No,Yes,Yes,Yes,Yes,Yes,No
782,Yes,No,Yes,Yes,Yes,Yes,No,No
783,Yes,No,Yes,Yes,Yes,Yes,No,No
784,No,No,No,No,No,No,No,No
785,No,No,No,No,No,No,No,No
786,Yes,No,Yes,Yes,Yes,Yes,Yes,No
787,Yes,No,Yes,Yes,Yes,Yes,Yes,No
788,Yes,No,Yes,Yes,Yes,Yes,Yes,No
789,Yes,No,Yes,Yes,Yes,Yes,Yes,No
790,No,No,No,No,No,No,No,No
791,No,No,No,No,No,No,Yes,No
792,Yes,No,Yes,Yes,Yes,Yes,No,No
793,Yes,No,Yes,Yes,Yes,Yes,No,No
794,Yes,No,Yes,Yes,Yes,Yes,Yes,No
795,Yes,No,Yes,Yes,Yes,Yes,No,No
796,Yes,No,Yes,Yes,Yes,Yes,Yes,No
797,Yes,No,Yes,Yes,Yes,Yes,Yes,No
798,Yes,No,Yes,Yes,Yes,Yes,No,No
799,No,No,No,No,No,No,No,No
800,Yes,No,Yes,Yes,Yes,Yes,Yes,No
801,Yes,No,Yes,Yes,Yes,Yes,No,No
802,Yes,No,Yes,Yes,Yes,Yes,Yes,No
803,Yes,No,Yes,Yes,Yes,Yes,No,No
804,Yes,No,Yes,Yes,Yes,Yes,Yes,No
805,Yes,No,Yes,Yes,Yes,Yes,Yes,No
806,Yes,No,Yes,Yes,Yes,Yes,Yes,No
807,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
808,Yes,No,Yes,Yes,Yes,Yes,Yes,No
809,No,No,No,No,No,No,Yes,No
810,No,No,No,No,No,No,Yes,No
811,Yes,No,Yes,Yes,Yes,Yes,No,No
812,Yes,No,Yes,Yes,Yes,Yes,Yes,No
813,Yes,No,Yes,Yes,Yes,Yes,Yes,No
814,No,No,No,No,No,No,Yes,No
815,Yes,No,Yes,Yes,Yes,Yes,Yes,No
816,Yes,No,Yes,Yes,Yes,Yes,Yes,No
817,Yes,No,Yes,Yes,Yes,Yes,Yes,No
818,Yes,No,Yes,Yes,Yes,Yes,Yes,No
819,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
820,No,No,No,No,No,No,No,No
821,Yes,No,Yes,Yes,Yes,Yes,Yes,No
822,Yes,No,Yes,Yes,Yes,Yes,Yes,No
823,Yes,No,Yes,Yes,Yes,Yes,Yes,No
824,Yes,No,Yes,Yes,Yes,Yes,Yes,No
825,Yes,No,Yes,Yes,Yes,Yes,No,No
826,No,No,No,No,No,No,Yes,No
827,Yes,No,Yes,Yes,Yes,Yes,No,No
828,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
829,Yes,No,Yes,Yes,Yes,Yes,Yes,No
830,Yes,No,Yes,Yes,Yes,Yes,No,No
833,Yes,No,Yes,Yes,Yes,Yes,No,No
834,Yes,No,Yes,Yes,Yes,Yes,No,No
835,Yes,No,Yes,Yes,Yes,Yes,Yes,No
836,Yes,No,Yes,Yes,Yes,Yes,Yes,No
837,Yes,No,Yes,Yes,No,No,No,No
838,No,No,No,No,No,No,No,No
839,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
841,Yes,No,Yes,Yes,Yes,Yes,No,No
842,Yes,No,Yes,Yes,Yes,Yes,Yes,No
843,Yes,No,Yes,Yes,No,No,No,No
844,Yes,No,Yes,Yes,Yes,Yes,Yes,No
845,Yes,No,Yes,Yes,No,No,No,No
846,Yes,No,Yes,Yes,Yes,Yes,Yes,No
847,Yes,No,Yes,Yes,Yes,Yes,No,No
848,Yes,No,Yes,Yes,Yes,Yes,Yes,No
849,Yes,No,Yes,Yes,Yes,Yes,Yes,No
850,Yes,No,Yes,Yes,Yes,Yes,Yes,No
851,Yes,No,Yes,Yes,Yes,Yes,Yes,No
852,Yes,No,Yes,Yes,Yes,Yes,Yes,No
853,Yes,No,Yes,Yes,Yes,Yes,Yes,No
854,No,No,No,No,No,No,Yes,No
855,Yes,No,Yes,Yes,Yes,Yes,Yes,No
856,Yes,No,Yes,Yes,Yes,Yes,Yes,No
857,Yes,No,Yes,Yes,Yes,Yes,Yes,No
858,Yes,No,Yes,Yes,Yes,Yes,No,No
859,Yes,No,Yes,Yes,Yes,Yes,Yes,No
860,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
861,Yes,No,Yes,Yes,Yes,Yes,Yes,No
862,Yes,No,Yes,Yes,Yes,Yes,Yes,No
863,Yes,No,Yes,Yes,Yes,Yes,No,No
864,No,No,No,No,No,No,Yes,No
865,Yes,No,Yes,Yes,Yes,Yes,Yes,No
866,Yes,No,Yes,Yes,Yes,Yes,Yes,No
867,Yes,No,Yes,Yes,Yes,Yes,Yes,No
868,Yes,No,Yes,Yes,Yes,Yes,Yes,No
869,No,No,No,No,No,No,No,No
870,Yes,No,Yes,Yes,Yes,Yes,Yes,No
871,Yes,No,Yes,Yes,No,No,No,No
872,Yes,No,Yes,Yes,Yes,Yes,Yes,No
873,Yes,No,Yes,Yes,Yes,Yes,No,No
874,Yes,No,Yes,Yes,Yes,Yes,No,No
875,Yes,No,Yes,Yes,Yes,Yes,Yes,No
876,Yes,No,Yes,Yes,Yes,Yes,Yes,No
877,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
878,Yes,No,Yes,Yes,Yes,Yes,Yes,No
879,Yes,No,Yes,Yes,Yes,Yes,Yes,No
880,Yes,No,Yes,Yes,Yes,Yes,Yes,No
881,Yes,No,Yes,Yes,Yes,Yes,Yes,No
882,Yes,No,Yes,Yes,Yes,Yes,Yes,No
884,Yes,No,Yes,Yes,Yes,Yes,Yes,No
885,Yes,No,Yes,Yes,Yes,Yes,No,No
886,Yes,No,Yes,Yes,Yes,Yes,Yes,No
887,No,No,No,No,No,No,No,No
888,Yes,No,Yes,Yes,Yes,No,No,No
889,Yes,No,Yes,Yes,Yes,Yes,Yes,No
890,Yes,No,Yes,Yes,Yes,Yes,Yes,No
891,Yes,No,Yes,Yes,Yes,Yes,Yes,No
892,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
893,Yes,No,Yes,Yes,No,No,No,No
894,No,No,No,No,No,No,No,No
895,Yes,No,Yes,Yes,No,No,No,No
896,Yes,No,Yes,Yes,Yes,Yes,Yes,No
897,Yes,No,Yes,Yes,Yes,No,No,No
898,Yes,No,Yes,Yes,No,No,No,No
899,Yes,No,Yes,Yes,Yes,Yes,Yes,No
900,Yes,No,Yes,Yes,Yes,Yes,No,No
901,Yes,No,Yes,Yes,Yes,Yes,Yes,No
902,Yes,No,Yes,Yes,Yes,Yes,Yes,No
903,Yes,No,Yes,Yes,Yes,Yes,Yes,No
904,Yes,No,Yes,Yes,Yes,Yes,Yes,No
905,No,No,No,No,No,No,Yes,No
906,Yes,No,Yes,Yes,Yes,Yes,Yes,No
907,Yes,No,Yes,Yes,Yes,Yes,Yes,No
908,Yes,No,Yes,Yes,Yes,Yes,Yes,No
909,Yes,No,Yes,Yes,Yes,Yes,Yes,No
910,Yes,No,Yes,Yes,Yes,Yes,Yes,No
911,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
912,Yes,No,Yes,Yes,Yes,Yes,No,No
913,Yes,No,Yes,Yes,Yes,Yes,Yes,No
914,Yes,No,Yes,Yes,Yes,Yes,Yes,No
915,Yes,No,Yes,Yes,Yes,Yes,Yes,No
916,Yes,No,Yes,Yes,Yes,Yes,Yes,No
917,Yes,No,Yes,Yes,No,Yes,No,No
918,No,No,No,No,No,No,No,No
919,Yes,No,Yes,Yes,Yes,Yes,Yes,No
921,No,No,No,No,No,No,Yes,No
922,No,No,No,No,No,No,Yes,No
923,Yes,No,Yes,Yes,Yes,Yes,Yes,No
924,Yes,No,Yes,Yes,Yes,Yes,Yes,No
925,No,No,No,No,No,No,No,No
927,Yes,No,Yes,Yes,Yes,Yes,Yes,No
928,No,No,No,No,No,No,No,No
929,No,No,No,No,No,No,Yes,No
930,Yes,No,Yes,Yes,Yes,Yes,Yes,No
931,Yes,No,Yes,Yes,Yes,Yes,Yes,No
932,Yes,No,Yes,Yes,Yes,Yes,Yes,No
933,Yes,No,Yes,Yes,Yes,Yes,No,No
934,Yes,No,Yes,Yes,Yes,Yes,Yes,No
935,Yes,No,Yes,Yes,Yes,Yes,Yes,No
936,Yes,No,Yes,Yes,Yes,Yes,Yes,No
937,Yes,No,Yes,Yes,Yes,Yes,No,No
938,Yes,No,Yes,Yes,Yes,Yes,Yes,No
939,Yes,No,Yes,Yes,Yes,Yes,Yes,No
940,Yes,No,Yes,Yes,Yes,Yes,Yes,No
941,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
942,Yes,No,Yes,Yes,Yes,Yes,Yes,No
943,Yes,No,Yes,Yes,Yes,Yes,Yes,No
944,Yes,No,Yes,Yes,Yes,Yes,Yes,No
945,Yes,No,Yes,Yes,Yes,Yes,Yes,No
947,Yes,No,Yes,Yes,Yes,Yes,Yes,No
948,No,No,No,No,No,No,No,No
950,Yes,No,Yes,Yes,Yes,Yes,Yes,No
951,Yes,No,Yes,Yes,Yes,Yes,No,No
952,Yes,No,Yes,Yes,Yes,Yes,No,No
953,Yes,No,Yes,Yes,Yes,Yes,Yes,No
954,Yes,No,Yes,Yes,Yes,Yes,No,No
955,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
956,Yes,No,Yes,Yes,Yes,Yes,Yes,No
957,Yes,No,Yes,Yes,Yes,No,No,No
958,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
959,Yes,No,Yes,Yes,Yes,Yes,Yes,No
960,No,No,No,No,No,No,No,No
961,No,No,No,No,No,No,No,No
962,Yes,No,Yes,Yes,Yes,Yes,Yes,No
963,Yes,No,Yes,Yes,Yes,Yes,Yes,No
964,Yes,No,Yes,Yes,Yes,Yes,Yes,No
965,Yes,No,Yes,Yes,Yes,Yes,Yes,No
966,Yes,No,Yes,Yes,Yes,Yes,Yes,No
967,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
968,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
969,Yes,No,Yes,Yes,Yes,Yes,Yes,No
970,Yes,No,Yes,Yes,Yes,Yes,Yes,No
971,Yes,No,Yes,Yes,Yes,Yes,No,No
972,Yes,No,Yes,Yes,Yes,Yes,Yes,No
973,Yes,No,Yes,Yes,Yes,Yes,Yes,No
974,Yes,No,Yes,Yes,Yes,Yes,Yes,No
975,Yes,No,Yes,Yes,Yes,Yes,Yes,No
976,No,No,No,No,No,No,Yes,No
977,Yes,No,Yes,Yes,Yes,Yes,No,No
978,Yes,No,Yes,Yes,Yes,Yes,No,No
979,No,No,No,No,No,No,No,No
980,No,No,No,No,No,No,Yes,No
981,No,No,No,No,No,No,Yes,No
982,Yes,No,Yes,Yes,Yes,Yes,Yes,No
984,No,No,No,No,No,No,Yes,No
985,Yes,No,Yes,Yes,No,No,No,No
986,No,No,No,No,No,No,No,No
987,Yes,No,Yes,Yes,Yes,Yes,No,No
988,Yes,No,Yes,Yes,Yes,Yes,Yes,No
989,Yes,No,Yes,Yes,Yes,Yes,Yes,No
990,No,No,No,No,No,No,Yes,No
991,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
992,Yes,No,Yes,Yes,Yes,Yes,Yes,No
993,No,No,No,No,No,No,No,No
994,Yes,No,Yes,Yes,Yes,Yes,Yes,No
995,Yes,No,Yes,Yes,Yes,Yes,Yes,No
996,Yes,No,Yes,Yes,No,No,No,No
999,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1000,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1001,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1002,No,No,No,No,No,No,Yes,No
1003,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1004,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1005,Yes,No,Yes,Yes,Yes,Yes,No,No
1006,No,No,No,No,No,No,No,No
1007,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1008,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1009,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1010,No,No,No,No,No,No,No,No
1011,No,No,No,No,No,No,No,No
1012,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1013,Yes,No,Yes,Yes,Yes,No,No,No
1014,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1015,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1016,No,No,No,No,No,No,Yes,No
1017,Yes,No,Yes,Yes,Yes,Yes,No,No
1018,No,No,No,No,No,No,No,No
1019,No,No,No,No,No,No,Yes,No
1020,No,No,No,No,No,No,No,No
1021,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1022,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1023,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1024,No,No,No,No,No,No,No,No
1025,No,No,No,No,No,No,Yes,No
1026,No,No,No,No,No,No,Yes,No
1027,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1028,No,No,No,No,No,No,No,No
1029,Yes,No,Yes,Yes,Yes,Yes,No,No
1030,No,No,No,No,No,No,No,No
1032,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1033,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1034,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1035,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1036,No,No,No,No,No,No,No,No
1037,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1038,Yes,No,Yes,Yes,Yes,Yes,No,No
1039,No,No,No,No,No,No,No,No
1040,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1041,No,No,No,No,No,No,No,No
1042,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1043,Yes,No,Yes,Yes,Yes,Yes,No,No
1044,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1045,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1046,Yes,No,Yes,Yes,Yes,No,No,No
1047,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1048,Yes,No,Yes,Yes,Yes,Yes,No,No
1051,Yes,No,Yes,Yes,Yes,Yes,No,No
1052,Yes,No,Yes,Yes,Yes,Yes,No,No
1053,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1054,No,No,No,No,No,No,No,No
1055,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1056,No,No,No,No,No,No,No,No
1057,Yes,No,Yes,Yes,Yes,Yes,No,No
1058,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1059,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1060,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1061,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1062,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1063,Yes,No,Yes,Yes,Yes,No,No,No
1064,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1065,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1066,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1067,Yes,No,Yes,Yes,No,No,No,No
1068,No,No,No,No,No,No,Yes,No
1069,Yes,No,Yes,Yes,Yes,Yes,No,No
1070,Yes,No,Yes,Yes,Yes,Yes,Yes,No
1071,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
