Site,Quantity,Ship Date,Carrier,Tracking,Delivery Date,
1198,3,02-MAY-2023,FedEx,397792300753,04-MAY-2023,
1201,2,02-MAY-2023,FedEx,397742032756,04-MAY-2023,
1203,4,01-MAY-2023,FedEx,397695645293,04-MAY-2023,
1206,5,01-MAY-2023,FedEx,397726648251,04-MAY-2023,
1210,3,28-APR-2023,FedEx,397639116400,04-MAY-2023,
1211,3,28-APR-2023,FedEx,397643025520,03-MAY-2023,
1213,3,28-APR-2023,FedEx,397643755900,03-MAY-2023,
1214,1,02-MAY-2023,FedEx,397795123060,06-MAY-2023,
1218,3,28-APR-2023,FedEx,397613125324,02-MAY-2023,
1219,2,01-MAY-2023,FedEx,397687269523,03-MAY-2023,
1224,1,03-MAY-2023,FedEx,397815307899,08-MAY-2023,
1225,9,27-APR-2023,FedEx,397556543162,01-MAY-2023,
1226,1,02-MAY-2023,FedEx,397767389036,04-MAY-2023,
1228,2,03-MAY-2023,FedEx,397797260210,05-MAY-2023,
1229,3,02-MAY-2023,FedEx,397791879170,05-MAY-2023,
1230,4,01-MAY-2023,FedEx,397690965317,03-MAY-2023,
1232,5,27-APR-2023,FedEx,397554109450,28-APR-2023,
1234,1,02-MAY-2023,FedEx,397767327472,08-MAY-2023,
1235,3,02-MAY-2023,FedEx,397790638178,04-MAY-2023,
1236,1,01-MAY-2023,FedEx,397718951155,05-MAY-2023,
1238,3,01-MAY-2023,FedEx,397689633250,04-MAY-2023,
1239,4,28-APR-2023,FedEx,397633124617,02-MAY-2023,
1241,3,01-MAY-2023,FedEx,397698854822,04-MAY-2023,
1242,2,02-MAY-2023,FedEx,397777291685,05-MAY-2023,
1243,1,03-MAY-2023,FedEx,397821431560,08-MAY-2023,
1244,2,01-MAY-2023,FedEx,397646624470,03-MAY-2023,
1245,1,03-MAY-2023,FedEx,397817765406,05-MAY-2023,
1247,1,02-MAY-2023,FedEx,397758050960,05-MAY-2023,
1249,2,01-MAY-2023,FedEx,397646723960,02-MAY-2023,
1254,3,02-MAY-2023,FedEx,397792580377,04-MAY-2023,
1255,3,01-MAY-2023,FedEx,397647462564,04-MAY-2023,
1256,2,04-MAY-2023,FedEx,397893520451,08-MAY-2023,X
1259,2,01-MAY-2023,FedEx,397720540135,05-MAY-2023,
1260,1,01-MAY-2023,FedEx,397737274093,04-MAY-2023,
1263,1,01-MAY-2023,FedEx,397689029711,03-MAY-2023,
1264,3,01-MAY-2023,FedEx,397724799171,05-MAY-2023,
1265,5,02-MAY-2023,FedEx,397742778974,04-MAY-2023,
1266,4,01-MAY-2023,FedEx,397726854804,04-MAY-2023,
1267,6,26-APR-2023,FedEx,397546550689,02-MAY-2023,
1268,2,01-MAY-2023,FedEx,397709624983,05-MAY-2023,
1270,2,01-MAY-2023,FedEx,397688691809,03-MAY-2023,
1276,1,02-MAY-2023,FedEx,397767401008,06-MAY-2023,
1277,6,01-MAY-2023,FedEx,397721037473,05-MAY-2023,
1284,3,28-APR-2023,FedEx,397643362018,03-MAY-2023,
1287,3,01-MAY-2023,FedEx,397718780877,05-MAY-2023,
1289,3,02-MAY-2023,FedEx,397791803576,08-MAY-2023,
1293,2,01-MAY-2023,FedEx,397708705583,03-MAY-2023,
1294,1,02-MAY-2023,FedEx,397780626806,08-MAY-2023,
1299,1,02-MAY-2023,FedEx,397749648653,04-MAY-2023,
1300,2,01-MAY-2023,FedEx,397736392066,05-MAY-2023,
1301,2,01-MAY-2023,FedEx,397647046258,04-MAY-2023,
1303,2,02-MAY-2023,FedEx,397778080645,04-MAY-2023,
1305,1,03-MAY-2023,FedEx,397796689019,08-MAY-2023,
1306,5,26-APR-2023,FedEx,397546225175,01-MAY-2023,
1308,1,02-MAY-2023,FedEx,397750115114,04-MAY-2023,
1309,2,01-MAY-2023,FedEx,397703959760,05-MAY-2023,
1310,1,02-MAY-2023,FedEx,397776286808,04-MAY-2023,
1312,3,02-MAY-2023,FedEx,397787516211,08-MAY-2023,
1320,1,02-MAY-2023,FedEx,397742595088,04-MAY-2023,
1322,1,03-MAY-2023,FedEx,397796987080,08-MAY-2023,
1328,2,01-MAY-2023,FedEx,397646645906,03-MAY-2023,
1330,1,02-MAY-2023,FedEx,397776611535,05-MAY-2023,
1331,3,02-MAY-2023,FedEx,397787007533,08-MAY-2023,
1332,4,01-MAY-2023,FedEx,397707482201,04-MAY-2023,
1334,9,27-APR-2023,FedEx,397568087209,01-MAY-2023,
1335,1,02-MAY-2023,FedEx,397763800290,05-MAY-2023,
1337,3,01-MAY-2023,FedEx,397690084432,04-MAY-2023,
1338,2,01-MAY-2023,FedEx,397729494910,05-MAY-2023,
1339,4,01-MAY-2023,FedEx,397693201316,04-MAY-2023,
1341,3,01-MAY-2023,FedEx,397689833164,03-MAY-2023,
1342,2,02-MAY-2023,FedEx,397741861232,04-MAY-2023,
1346,3,28-APR-2023,FedEx,397641870690,03-MAY-2023,
1347,3,02-MAY-2023,FedEx,397787552654,04-MAY-2023,
1349,3,02-MAY-2023,FedEx,397786846352,08-MAY-2023,
1350,3,02-MAY-2023,FedEx,397780601916,08-MAY-2023,
1352,1,02-MAY-2023,FedEx,397771322819,08-MAY-2023,
1353,2,28-APR-2023,FedEx,397645084819,03-MAY-2023,
1354,5,28-APR-2023,FedEx,397613706943,02-MAY-2023,
1356,4,01-MAY-2023,FedEx,397693027983,04-MAY-2023,
1358,7,26-APR-2023,FedEx,397509306384,01-MAY-2023,
1359,3,01-MAY-2023,FedEx,397647491891,04-MAY-2023,
1360,1,02-MAY-2023,FedEx,397764142066,05-MAY-2023,
1363,1,03-MAY-2023,FedEx,397796650523,05-MAY-2023,
1367,1,03-MAY-2023,FedEx,397796568371,05-MAY-2023,
1368,1,03-MAY-2023,FedEx,397796371589,08-MAY-2023,
1369,3,02-MAY-2023,FedEx,397792676046,05-MAY-2023,
1370,5,28-APR-2023,FedEx,397606959480,02-MAY-2023,
1371,3,01-MAY-2023,FedEx,397690076743,03-MAY-2023,
1372,3,28-APR-2023,FedEx,397623324931,02-MAY-2023,
1374,1,02-MAY-2023,FedEx,397750055549,04-MAY-2023,
1376,3,28-APR-2023,FedEx,397638765019,03-MAY-2023,
1377,2,02-MAY-2023,FedEx,397742115366,04-MAY-2023,
1379,1,02-MAY-2023,FedEx,397764199948,05-MAY-2023,
1381,5,01-MAY-2023,FedEx,397689062169,08-MAY-2023,
1382,5,27-APR-2023,FedEx,397554533147,01-MAY-2023,
1383,4,01-MAY-2023,FedEx,397722070538,04-MAY-2023,
1385,5,26-APR-2023,FedEx,397546607199,01-MAY-2023,
1387,1,28-APR-2023,FedEx,397643215616,03-MAY-2023,
1388,2,01-MAY-2023,FedEx,397646878042,04-MAY-2023,
1390,1,02-MAY-2023,FedEx,397768781710,05-MAY-2023,
1393,1,02-MAY-2023,FedEx,397751340448,05-MAY-2023,
1394,1,02-MAY-2023,FedEx,397779396226,08-MAY-2023,
1395,4,28-APR-2023,FedEx,397630562138,01-MAY-2023,
1396,1,02-MAY-2023,FedEx,397763953985,05-MAY-2023,
1398,2,28-APR-2023,FedEx,397644231192,04-MAY-2023,
1399,4,01-MAY-2023,FedEx,397726302126,05-MAY-2023,
1400,1,01-MAY-2023,FedEx,397737560121,04-MAY-2023,
1401,4,01-MAY-2023,FedEx,397730918205, ,
1403,1,28-APR-2023,FedEx,397642187189,03-MAY-2023,
1405,4,01-MAY-2023,FedEx,397725239797,03-MAY-2023,
1407,3,02-MAY-2023,FedEx,397787550721,05-MAY-2023,
1408,5,02-MAY-2023,FedEx,397742053938,04-MAY-2023,
1409,2,01-MAY-2023,FedEx,397708034098,03-MAY-2023,
1411,2,01-MAY-2023,FedEx,397718093330,04-MAY-2023,
1414,5,26-APR-2023,FedEx,397546726028,01-MAY-2023,
1417,1,02-MAY-2023,FedEx,397768297325,05-MAY-2023,
1418,6,01-MAY-2023,FedEx,397726539530,04-MAY-2023,
1420,11,27-APR-2023,FedEx,397569078987,01-MAY-2023,
1422,1,03-MAY-2023,FedEx,397815018590,08-MAY-2023,
1424,2,02-MAY-2023,FedEx,397778196728, ,
1425,2,02-MAY-2023,FedEx,397741889305,05-MAY-2023,
1428,2,01-MAY-2023,FedEx,397687079687,04-MAY-2023,
1431,1,02-MAY-2023,FedEx,397779468593,04-MAY-2023,
1435,1,03-MAY-2023,FedEx,397822123230,05-MAY-2023,
1438,1,01-MAY-2023,FedEx,397722117106,05-MAY-2023,
1442,4,01-MAY-2023,FedEx,397647438560,03-MAY-2023,
1443,2,01-MAY-2023,FedEx,397646949299,04-MAY-2023,
1444,6,26-APR-2023,FedEx,397546508847,01-MAY-2023,
1446,2,02-MAY-2023,FedEx,397766085390,05-MAY-2023,
1448,1,03-MAY-2023,FedEx,397824387320,08-MAY-2023,
1451,2,01-MAY-2023,FedEx,397720821090,04-MAY-2023,
1452,4,28-APR-2023,FedEx,397626957104,02-MAY-2023,
1453,1,02-MAY-2023,FedEx,397775643074,05-MAY-2023,
1454,1,03-MAY-2023,FedEx,397797886000,05-MAY-2023,
1457,2,01-MAY-2023,FedEx,397722677984,05-MAY-2023,
1459,2,03-MAY-2023,FedEx,397795769550,05-MAY-2023,
1460,2,01-MAY-2023,FedEx,397698273328,04-MAY-2023,
1462,1,03-MAY-2023,FedEx,397820346299,05-MAY-2023,
1466,1,02-MAY-2023,FedEx,397776468013,04-MAY-2023,
1467,5,28-APR-2023,FedEx,397628116480,01-MAY-2023,
1469,2,01-MAY-2023,FedEx,397646832382,03-MAY-2023,
1476,1,03-MAY-2023,FedEx,397795664990,08-MAY-2023,
1477,1,02-MAY-2023,FedEx,397771409972,08-MAY-2023,
1479,1,28-APR-2023,FedEx,397642913947,03-MAY-2023,
1480,1,02-MAY-2023,FedEx,397752238327,05-MAY-2023,
1482,2,01-MAY-2023,FedEx,397697904467,04-MAY-2023,
1486,1,02-MAY-2023,FedEx,397751800952,05-MAY-2023,
1488,2,01-MAY-2023,FedEx,397647518192,03-MAY-2023,
1489,1,03-MAY-2023,FedEx,397814825781,05-MAY-2023,
1490,1,02-MAY-2023,FedEx,397758945911,04-MAY-2023,
1492,1,02-MAY-2023,FedEx,397749988840,04-MAY-2023,
1493,1,03-MAY-2023,FedEx,397822682563,05-MAY-2023,
1495,1,02-MAY-2023,FedEx,397777354801,05-MAY-2023,
1496,1,02-MAY-2023,FedEx,397777088179,08-MAY-2023,
1498,3,02-MAY-2023,FedEx,397792429814,08-MAY-2023,
1502,1,02-MAY-2023,FedEx,397787306086,08-MAY-2023,
1503,7,26-APR-2023,FedEx,397508497190,01-MAY-2023,
1504,2,03-MAY-2023,FedEx,397816719514,08-MAY-2023,
1508,5,02-MAY-2023,FedEx,397755245832,05-MAY-2023,
1509,1,02-MAY-2023,FedEx,397767719751,05-MAY-2023,
1510,6,27-APR-2023,FedEx,397580499410,02-MAY-2023,
1511,6,27-APR-2023,FedEx,397554603478,02-MAY-2023,
1512,3,28-APR-2023,FedEx,397638867286,03-MAY-2023,
1513,1,03-MAY-2023,FedEx,397820768695,05-MAY-2023,
1516,4,01-MAY-2023,FedEx,397720195884,04-MAY-2023,
1517,1,02-MAY-2023,FedEx,397766398251,08-MAY-2023,
1518,4,01-MAY-2023,FedEx,397710772775,03-MAY-2023,
1522,2,02-MAY-2023,FedEx,397741757524,05-MAY-2023,
1523,2,01-MAY-2023,FedEx,397698109165,05-MAY-2023,
1524,1,02-MAY-2023,FedEx,397762865258,05-MAY-2023,
1529,5,01-MAY-2023,FedEx,397688068697,05-MAY-2023,
1531,1,03-MAY-2023,FedEx,397806477301,05-MAY-2023,
1532,2,28-APR-2023,FedEx,397621327846,03-MAY-2023,
1533,2,01-MAY-2023,FedEx,397732464214,04-MAY-2023,
1538,2,28-APR-2023,FedEx,397644827932,04-MAY-2023,
1540,1,02-MAY-2023,FedEx,397795499420,08-MAY-2023,
1543,1,02-MAY-2023,FedEx,397741455935,05-MAY-2023,
1544,2,01-MAY-2023,FedEx,397723432740, ,
1546,2,03-MAY-2023,FedEx,397817224972,08-MAY-2023,
1547,2,02-MAY-2023,FedEx,397742253576,04-MAY-2023,
1550,6,26-APR-2023,FedEx,397506823245,28-APR-2023,
1551,4,01-MAY-2023,FedEx,397695173006,04-MAY-2023,
1555,2,01-MAY-2023,FedEx,397686954328,03-MAY-2023,
1558,2,01-MAY-2023,FedEx,397696664917,05-MAY-2023,
1559,1,02-MAY-2023,FedEx,397752216002,04-MAY-2023,
1560,1,03-MAY-2023,FedEx,397825548174,08-MAY-2023,
1561,7,26-APR-2023,FedEx,397527817330,28-APR-2023,
1563,4,28-APR-2023,FedEx,397631037221,01-MAY-2023,
1566,5,02-MAY-2023,FedEx,397749959420,05-MAY-2023,
1568,1,02-MAY-2023,FedEx,397773047910,08-MAY-2023,
1570,1,02-MAY-2023,FedEx,397763243275,05-MAY-2023,
1572,1,01-MAY-2023,FedEx,397723115007,04-MAY-2023,
1573,2,02-MAY-2023,FedEx,397766522767,08-MAY-2023,
1577,1,02-MAY-2023,FedEx,397758839876,05-MAY-2023,
1579,2,01-MAY-2023,FedEx,397704426978,05-MAY-2023,
1583,1,03-MAY-2023,FedEx,397796323657,08-MAY-2023,
1584,1,03-MAY-2023,FedEx,397796589715,08-MAY-2023,
1586,1,02-MAY-2023,FedEx,397785222878,05-MAY-2023,
1587,2,01-MAY-2023,FedEx,397646713888,04-MAY-2023,
1590,1,02-MAY-2023,FedEx,397753162597,05-MAY-2023,
1593,2,02-MAY-2023,FedEx,397742237032,05-MAY-2023,
1594,1,02-MAY-2023,FedEx,397767265437,05-MAY-2023,
1595,1,02-MAY-2023,FedEx,397762957079,05-MAY-2023,
1596,2,01-MAY-2023,FedEx,397722552955,04-MAY-2023,
1597,4,28-APR-2023,FedEx,397614070537,01-MAY-2023,
1599,2,02-MAY-2023,FedEx,397741465546,05-MAY-2023,
1603,2,02-MAY-2023,FedEx,397761077882,08-MAY-2023,
1608,1,03-MAY-2023,FedEx,397820898716,08-MAY-2023,
1610,2,01-MAY-2023,FedEx,397720846039,05-MAY-2023,
1615,1,02-MAY-2023,FedEx,397765397811,05-MAY-2023,
1618,3,28-APR-2023,FedEx,397645119541,03-MAY-2023,
1619,6,27-APR-2023,FedEx,397558894381,01-MAY-2023,
1620,5,27-APR-2023,FedEx,397560835599,01-MAY-2023,
1621,2,02-MAY-2023,FedEx,397766426553,05-MAY-2023,
1622,1,02-MAY-2023,FedEx,397751885870,05-MAY-2023,
1625,1,03-MAY-2023,FedEx,397809342299,05-MAY-2023,
1626,2,28-APR-2023,FedEx,397644058388,02-MAY-2023,
1628,1,02-MAY-2023,FedEx,397773151558,08-MAY-2023,
1629,6,27-APR-2023,FedEx,397561063652,01-MAY-2023,
1630,2,02-MAY-2023,FedEx,397742021038,05-MAY-2023,
1634,1,02-MAY-2023,FedEx,397752277232,05-MAY-2023,
1635,7,26-APR-2023,FedEx,397515250372,01-MAY-2023,
1638,5,02-MAY-2023,FedEx,397751137159,04-MAY-2023,
1641,1,02-MAY-2023,FedEx,397772819010,08-MAY-2023,
1643,1,02-MAY-2023,FedEx,397751707987,05-MAY-2023,
1647,5,28-APR-2023,FedEx,397644573256,04-MAY-2023,
1648,1,04-MAY-2023,FedEx,397768028021, ,
1650,1,02-MAY-2023,FedEx,397795457310,08-MAY-2023,
1652,4,01-MAY-2023,FedEx,397695923069,05-MAY-2023,
1653,2,03-MAY-2023,FedEx,397797046586, ,
1655,1,03-MAY-2023,FedEx,397809143315,05-MAY-2023,
1658,1,02-MAY-2023,FedEx,397776162988,04-MAY-2023,
1659,1,03-MAY-2023,FedEx,397815123477,05-MAY-2023,
1660,1,02-MAY-2023,FedEx,397741184521,05-MAY-2023,
1664,1,02-MAY-2023,FedEx,397767503643,08-MAY-2023,
1665,1,03-MAY-2023,FedEx,397823397829,08-MAY-2023,
1666,4,01-MAY-2023,FedEx,397698761681,05-MAY-2023,
1668,3,02-MAY-2023,FedEx,397792324371,05-MAY-2023,
1669,3,02-MAY-2023,FedEx,397789882408,08-MAY-2023,
1670,4,01-MAY-2023,FedEx,397719384606,05-MAY-2023,
1672,7,26-APR-2023,FedEx,397518338774,01-MAY-2023,
1674,2,01-MAY-2023,FedEx,397723999457,05-MAY-2023,
1675,1,03-MAY-2023,FedEx,397823669882,08-MAY-2023,
1676,1,03-MAY-2023,FedEx,397814963568,05-MAY-2023,
1678,1,01-MAY-2023,FedEx,397694737729,04-MAY-2023,
1680,1,01-MAY-2023,FedEx,397737232580,04-MAY-2023,
1682,6,27-APR-2023,FedEx,397559148541,02-MAY-2023,
1687,3,03-MAY-2023,FedEx,397806360634,08-MAY-2023,
1691,1,02-MAY-2023,FedEx,397787433542,05-MAY-2023,
1692,1,03-MAY-2023,FedEx,397797864999,08-MAY-2023,
1693,1,02-MAY-2023,FedEx,397752338926,05-MAY-2023,
1695,1,02-MAY-2023,FedEx,397766789590,08-MAY-2023,
1696,1,28-APR-2023,FedEx,397643076873,05-MAY-2023,
1699,3,28-APR-2023,FedEx,397645279230,04-MAY-2023,
1701,4,01-MAY-2023,FedEx,397647145688,03-MAY-2023,
1702,3,02-MAY-2023,FedEx,397762146091,04-MAY-2023,
1703,2,01-MAY-2023,FedEx,397646433712,04-MAY-2023,
1705,1,02-MAY-2023,FedEx,397741272406,05-MAY-2023,
1707,2,01-MAY-2023,FedEx,397647462082,04-MAY-2023,
1708,2,01-MAY-2023,FedEx,397695996075,04-MAY-2023,
1712,1,02-MAY-2023,FedEx,397766649641,05-MAY-2023,
1714,5,27-APR-2023,FedEx,397554314709,01-MAY-2023,
1716,1,02-MAY-2023,FedEx,397742677552,05-MAY-2023,
1717,2,03-MAY-2023,FedEx,397816900739, ,
1723,1,03-MAY-2023,FedEx,397803535309,05-MAY-2023,
1724,3,02-MAY-2023,FedEx,397787149223,05-MAY-2023,
1726,5,01-MAY-2023,FedEx,397720076198,05-MAY-2023,
1729,3,02-MAY-2023,FedEx,397762960259,05-MAY-2023,
1734,1,03-MAY-2023,FedEx,397796492410,05-MAY-2023,
1736,11,28-APR-2023,FedEx,397607192094,01-MAY-2023,
1738,2,28-APR-2023,FedEx,397640637715,04-MAY-2023,
1739,2,02-MAY-2023,FedEx,397766947901,05-MAY-2023,
1741,2,02-MAY-2023,FedEx,397741515224,05-MAY-2023,
1743,3,01-MAY-2023,FedEx,397646953898,04-MAY-2023,
1745,9,27-APR-2023,FedEx,397580533556,02-MAY-2023,
1747,4,01-MAY-2023,FedEx,397710996150,03-MAY-2023,
1748,1,02-MAY-2023,FedEx,397769627852,08-MAY-2023,
1750,5,01-MAY-2023,FedEx,397736547253,05-MAY-2023,
1752,1,02-MAY-2023,FedEx,397770735938,08-MAY-2023,
1753,5,02-MAY-2023,FedEx,397742539526,05-MAY-2023,
1754,1,02-MAY-2023,FedEx,397785277750,08-MAY-2023,
1755,5,01-MAY-2023,FedEx,397721419291,05-MAY-2023,
1756,1,02-MAY-2023,FedEx,397742481354,05-MAY-2023,
1759,2,01-MAY-2023,FedEx,397736439355,05-MAY-2023,
1761,2,01-MAY-2023,FedEx,397729413938,04-MAY-2023,
1762,2,02-MAY-2023,FedEx,397759754593,05-MAY-2023,
1763,1,02-MAY-2023,FedEx,397777394139,08-MAY-2023,
1764,2,01-MAY-2023,FedEx,397698504830,05-MAY-2023,
1765,1,03-MAY-2023,FedEx,397796739830,08-MAY-2023,
1766,1,02-MAY-2023,FedEx,397742575866,05-MAY-2023,
1768,2,02-MAY-2023,FedEx,397742296410,05-MAY-2023,
1769,1,02-MAY-2023,FedEx,397741371836,05-MAY-2023,
1770,4,28-APR-2023,FedEx,397632107905,02-MAY-2023,
1771,1,03-MAY-2023,FedEx,397824926781,08-MAY-2023,
1772,1,01-MAY-2023,FedEx,397709297304,08-MAY-2023,
1773,5,02-MAY-2023,FedEx,397751190388,05-MAY-2023,
1774,3,03-MAY-2023,FedEx,397811743182,08-MAY-2023,
1777,2,01-MAY-2023,FedEx,397720737925,05-MAY-2023,
1780,3,28-APR-2023,FedEx,397636520129,04-MAY-2023,
1782,2,02-MAY-2023,FedEx,397742330225,05-MAY-2023,
1783,2,02-MAY-2023,FedEx,397742152566,04-MAY-2023,
1784,5,02-MAY-2023,FedEx,397749894772,08-MAY-2023,
1785,4,01-MAY-2023,FedEx,397695245649,05-MAY-2023,
1787,3,03-MAY-2023,FedEx,397806878434,08-MAY-2023,
1788,5,28-APR-2023,FedEx,397615573797,02-MAY-2023,
1790,1,03-MAY-2023,FedEx,397823627750,08-MAY-2023,
1794,1,02-MAY-2023,FedEx,397771182657,08-MAY-2023,
1795,1,03-MAY-2023,FedEx,397821953801,08-MAY-2023,
1796,5,01-MAY-2023,FedEx,397688885420,04-MAY-2023,
1797,3,02-MAY-2023,FedEx,397792247185,08-MAY-2023,
1799,4,01-MAY-2023,FedEx,397695472199,04-MAY-2023,
1801,3,02-MAY-2023,FedEx,397792182493,04-MAY-2023,
1802,1,03-MAY-2023,FedEx,397809724717,05-MAY-2023,
1803,3,02-MAY-2023,FedEx,397787579411,04-MAY-2023,
1805,1,02-MAY-2023,FedEx,397754643639,05-MAY-2023,
1806,6,27-APR-2023,FedEx,397580876020,01-MAY-2023,
1807,1,02-MAY-2023,FedEx,397766534083,08-MAY-2023,
1808,1,03-MAY-2023,FedEx,397821872149,05-MAY-2023,
1811,3,28-APR-2023,FedEx,397645024662,04-MAY-2023,
1813,1,02-MAY-2023,FedEx,397777148215,05-MAY-2023,
1816,8,27-APR-2023,FedEx,397559448171,02-MAY-2023,
1817,1,02-MAY-2023,FedEx,397779322956,08-MAY-2023,
1819,2,01-MAY-2023,FedEx,397718314978,05-MAY-2023,
1820,1,02-MAY-2023,FedEx,397775367290,05-MAY-2023,
1821,2,01-MAY-2023,FedEx,397728813726,05-MAY-2023,
1826,1,02-MAY-2023,FedEx,397759040635,05-MAY-2023,
1829,2,01-MAY-2023,FedEx,397698414520,05-MAY-2023,
1832,5,02-MAY-2023,FedEx,397742705604,05-MAY-2023,
1833,5,01-MAY-2023,FedEx,397736023995,05-MAY-2023,
1837,8,26-APR-2023,FedEx,397544480311,28-APR-2023,
1840,1,02-MAY-2023,FedEx,397777578631,05-MAY-2023,
1842,2,01-MAY-2023,FedEx,397725561396,05-MAY-2023,
1843,2,02-MAY-2023,FedEx,397741694272,08-MAY-2023,
1844,1,01-MAY-2023,FedEx,397730816059,05-MAY-2023,
1846,3,03-MAY-2023,FedEx,397805922714,08-MAY-2023,
1847,2,03-MAY-2023,FedEx,397815201590,05-MAY-2023,
1848,7,26-APR-2023,FedEx,397532157610,28-APR-2023,
1852,1,02-MAY-2023,FedEx,397766551190,05-MAY-2023,
1856,1,03-MAY-2023,FedEx,397816965688, ,
1857,1,02-MAY-2023,FedEx,397765326164,05-MAY-2023,
1860,3,01-MAY-2023,FedEx,397690836340,04-MAY-2023,
1861,3,01-MAY-2023,FedEx,397647190051,04-MAY-2023,
1862,2,01-MAY-2023,FedEx,397722266747,04-MAY-2023,
1863,2,02-MAY-2023,FedEx,397741171749,05-MAY-2023,
1866,1,01-MAY-2023,FedEx,397708978275,05-MAY-2023,
1868,2,02-MAY-2023,FedEx,397741844825,05-MAY-2023,
1870,4,01-MAY-2023,FedEx,397719048790,08-MAY-2023,
1873,2,02-MAY-2023,FedEx,397778282070,08-MAY-2023,
1877,1,02-MAY-2023,FedEx,397770373294,08-MAY-2023,
1881,1,02-MAY-2023,FedEx,397741412380,05-MAY-2023,
1886,1,02-MAY-2023,FedEx,397740458732,05-MAY-2023,
1887,1,02-MAY-2023,FedEx,397755325307,05-MAY-2023,
1888,4,01-MAY-2023,FedEx,397693391729,05-MAY-2023,
1890,1,03-MAY-2023,FedEx,397797829287,08-MAY-2023,
1891,2,01-MAY-2023,FedEx,397647524290,04-MAY-2023,
1892,5,01-MAY-2023,FedEx,397692823457,03-MAY-2023,
1896,6,27-APR-2023,FedEx,397571618750,01-MAY-2023,
1897,2,02-MAY-2023,FedEx,397763828867,05-MAY-2023,
1898,4,01-MAY-2023,FedEx,397691261065,03-MAY-2023,
1899,1,03-MAY-2023,FedEx,397823568390,08-MAY-2023,
1904,3,02-MAY-2023,FedEx,397788240924,08-MAY-2023,
1906,2,28-APR-2023,FedEx,397613898145,01-MAY-2023,
1909,1,03-MAY-2023,FedEx,397821795559,08-MAY-2023,
1910,4,01-MAY-2023,FedEx,397705931061,08-MAY-2023,
1915,1,28-APR-2023,FedEx,397642583324,04-MAY-2023,
1916,5,02-MAY-2023,FedEx,397758323965,04-MAY-2023,
1920,12,28-APR-2023,FedEx,397606693124,03-MAY-2023,
1921,3,03-MAY-2023,FedEx,397797177864,08-MAY-2023,
1923,1,03-MAY-2023,FedEx,397797336517,08-MAY-2023,
1926,1,03-MAY-2023,FedEx,397823361644,08-MAY-2023,
1928,2,01-MAY-2023,FedEx,397646590115,04-MAY-2023,
1929,3,02-MAY-2023,FedEx,397795128337,08-MAY-2023,
1930,1,02-MAY-2023,FedEx,397778916387,05-MAY-2023,
1933,11,27-APR-2023,FedEx,397580970805,01-MAY-2023,
1934,2,02-MAY-2023,FedEx,397762415907,08-MAY-2023,
1935,3,02-MAY-2023,FedEx,397777150190,05-MAY-2023,
1937,1,02-MAY-2023,FedEx,397770293536,08-MAY-2023,
1941,2,01-MAY-2023,FedEx,397722132437,05-MAY-2023,
1950,1,01-MAY-2023,FedEx,397736500461,05-MAY-2023,
1951,1,02-MAY-2023,FedEx,397768196175,08-MAY-2023,
1955,1,02-MAY-2023,FedEx,397776476397,05-MAY-2023,
1956,1,03-MAY-2023,FedEx,397812442151,08-MAY-2023,
1959,2,01-MAY-2023,FedEx,397693636002,04-MAY-2023,
1960,2,01-MAY-2023,FedEx,397725787222,04-MAY-2023,
1961,3,02-MAY-2023,FedEx,397788208704,08-MAY-2023,
1965,1,02-MAY-2023,FedEx,397767989683,04-MAY-2023,
1966,1,28-APR-2023,FedEx,397636233863,04-MAY-2023,
1968,3,01-MAY-2023,FedEx,397696759818,05-MAY-2023,
1969,5,27-APR-2023,FedEx,397577029440,02-MAY-2023,
1971,1,28-APR-2023,FedEx,397645548814,04-MAY-2023,
1972,5,02-MAY-2023,FedEx,397751621646,05-MAY-2023,
1973,2,01-MAY-2023,FedEx,397730657502,05-MAY-2023,
1974,1,02-MAY-2023,FedEx,397780560820,08-MAY-2023,X
1975,2,02-MAY-2023,FedEx,397742164813,05-MAY-2023,
1979,4,01-MAY-2023,FedEx,397647155726,04-MAY-2023,
1982,1,03-MAY-2023,FedEx,397813814490,08-MAY-2023,
1985,6,27-APR-2023,FedEx,397564237855,01-MAY-2023,
1991,1,02-MAY-2023,FedEx,397754124880,04-MAY-2023,
1992,2,01-MAY-2023,FedEx,397719088794,05-MAY-2023,
1994,3,01-MAY-2023,FedEx,397646776735,05-MAY-2023,
1996,1,03-MAY-2023,FedEx,397819218097,08-MAY-2023,
2000,1,02-MAY-2023,FedEx,397763376637,05-MAY-2023,
2003,8,27-APR-2023,FedEx,397564945613,01-MAY-2023,
2005,4,01-MAY-2023,FedEx,397718783626,04-MAY-2023,
2009,1,01-MAY-2023,FedEx,397694976489,04-MAY-2023,
2010,3,28-APR-2023,FedEx,397643372133,04-MAY-2023,
2019,2,01-MAY-2023,FedEx,397705577305,05-MAY-2023,
2022,2,01-MAY-2023,FedEx,397698144281, ,X
2025,3,02-MAY-2023,FedEx,397787808060,08-MAY-2023,
2030,2,02-MAY-2023,FedEx,397742057110,05-MAY-2023,
2031,1,03-MAY-2023,FedEx,397815346326,08-MAY-2023,
2036,1,03-MAY-2023,FedEx,397810164328,08-MAY-2023,
2037,1,01-MAY-2023,FedEx,397736286962,06-MAY-2023,
2038,2,01-MAY-2023,FedEx,397647176091,04-MAY-2023,
