Market,Region,Store,BU,Final Tier,Details
326,42,1105,SOUTHEAST BU,Tier 2 - GM Pause,
141,13,1106,SOUTWEST BU,Tier 1 - ISA On in Total Store,
134,13,1107,SOUTWEST BU,Tier 1 - ISA On in Total Store,
135,42,1108,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
135,42,1109,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
135,42,1110,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
21,2,1111,SOUTHEAST BU,Tier 2 - GM Pause,
16,3,1112,SOUTHEAST BU,Tier 2 - GM Pause,
258,41,1113,NORTH BU,Tier 1 - ISA On in Total Store,
328,42,1114,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
147,12,1115,SOUTHEAST BU,Tier 2 - GM Pause,
349,44,1116,SOUTWEST BU,Tier 2 - GM Pause,
51,5,1117,SOUTWEST BU,Tier 2 - GM Pause,
55,5,1118,SOUTWEST BU,Tier 2 - GM Pause,
105,9,1119,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
360,40,1120,NORTH BU,Tier 2 - GM Pause,
21,2,1121,SOUTHEAST BU,Tier 2 - GM Pause,
18,2,1122,SOUTHEAST BU,Tier 2 - GM Pause,
35,2,1123,SOUTHEAST BU,Tier 2 - GM Pause,
137,12,1124,SOUTHEAST BU,Tier 2 - GM Pause,
278,25,1125,NORTH BU,Tier 2 - GM Pause,
506,6,1126,SOUTWEST BU,Tier 2 - GM Pause,
134,13,1128,SOUTWEST BU,Tier 1 - ISA On in Total Store,
82,5,1129,SOUTWEST BU,Tier 1 - ISA On in Total Store,
39,2,1130,SOUTHEAST BU,Tier 2 - GM Pause,
304,4,1131,EAST BU,Tier 1 - ISA On in Total Store,
298,26,1132,EAST BU,Tier 2 - GM Pause,
309,26,1133,EAST BU,Tier 2 - GM Pause,
7,14,1134,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
38,4,1135,EAST BU,Tier 2 - GM Pause,
131,13,1136,SOUTWEST BU,Tier 2 - GM Pause,
60,6,1137,SOUTWEST BU,Tier 2 - GM Pause,
441,53,1138,NORTH BU,Tier 2 - GM Pause,
259,41,1139,NORTH BU,Tier 2 - GM Pause,
259,41,1140,NORTH BU,Tier 2 - GM Pause,
249,25,1141,NORTH BU,Tier 2 - GM Pause,
243,25,1142,NORTH BU,Tier 1 - ISA On in Total Store,
30,3,1143,SOUTHEAST BU,Tier 2 - GM Pause,
42,4,1144,EAST BU,Tier 2 - GM Pause,
36,4,1146,EAST BU,Tier 1 - ISA On in Total Store,
328,42,1147,SOUTHEAST BU,Tier 2 - GM Pause,
349,44,1148,SOUTWEST BU,Tier 2 - GM Pause,
367,46,1149,SOUTWEST BU,Tier 2 - GM Pause,
85,6,1150,SOUTWEST BU,Tier 1 - ISA On in Total Store,
362,40,1151,NORTH BU,Tier 2 - GM Pause,
426,52,1152,WEST BU,Tier 1 - ISA On in Total Store,
32,3,1153,SOUTHEAST BU,Tier 2 - GM Pause,
506,6,1154,SOUTWEST BU,Tier 2 - GM Pause,
310,26,1155,EAST BU,Tier 2 - GM Pause,
306,4,1156,EAST BU,Tier 2 - GM Pause,
243,25,1157,NORTH BU,Tier 1 - ISA On in Total Store,
2,14,1158,SOUTHEAST BU,Tier 2 - GM Pause,
123,2,1159,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
243,25,1160,NORTH BU,Tier 1 - ISA On in Total Store,
339,40,1161,NORTH BU,Tier 1 - ISA On in Total Store,
580,25,1162,NORTH BU,Tier 1 - ISA On in Total Store,
125,13,1163,SOUTWEST BU,Tier 1 - ISA On in Total Store,
41,4,1164,EAST BU,Tier 1 - ISA On in Total Store,
256,41,1165,NORTH BU,Tier 2 - GM Pause,
300,26,1166,EAST BU,Tier 1 - ISA On in Total Store,
435,53,1167,NORTH BU,Tier 1 - ISA On in Total Store,
141,13,1168,SOUTWEST BU,Tier 2 - GM Pause,
127,42,1169,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
256,41,1170,NORTH BU,Tier 1 - ISA On in Total Store,
115,9,1171,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
98,3,1172,SOUTHEAST BU,Tier 2 - GM Pause,
98,3,1173,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
14,14,1174,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
364,46,1175,SOUTWEST BU,Tier 2 - GM Pause,
441,53,1176,NORTH BU,Tier 2 - GM Pause,
340,40,1177,NORTH BU,Tier 2 - GM Pause,
50,5,1178,SOUTWEST BU,Tier 2 - GM Pause,
294,2,1179,SOUTHEAST BU,Tier 2 - GM Pause,
243,25,1180,NORTH BU,Tier 1 - ISA On in Total Store,
23,2,1181,SOUTHEAST BU,Tier 2 - GM Pause,
94,3,1182,SOUTHEAST BU,Tier 2 - GM Pause,
41,4,1183,EAST BU,Tier 2 - GM Pause,
20,2,1184,SOUTHEAST BU,Tier 2 - GM Pause,
83,5,1185,SOUTWEST BU,Tier 2 - GM Pause,
60,6,1186,SOUTWEST BU,Tier 2 - GM Pause,
410,44,1187,SOUTWEST BU,Tier 2 - GM Pause,
339,40,1188,NORTH BU,Tier 2 - GM Pause,
258,41,1189,NORTH BU,Tier 1 - ISA On in Total Store,
257,41,1190,NORTH BU,Tier 1 - ISA On in Total Store,
296,26,1191,EAST BU,Tier 2 - GM Pause,
141,13,1192,SOUTWEST BU,Tier 2 - GM Pause,
135,42,1193,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
122,2,1194,SOUTHEAST BU,Tier 2 - GM Pause,
143,13,1195,SOUTWEST BU,Tier 1 - ISA On in Total Store,
131,13,1196,SOUTWEST BU,Tier 1 - ISA On in Total Store,
301,26,1197,EAST BU,Tier 2 - GM Pause,
506,6,1198,SOUTWEST BU,Tier 1 - ISA On in Total Store,
388,54,1199,WEST BU,Tier 2 - GM Pause,
391,47,1200,WEST BU,Tier 1 - ISA On in Total Store,
3,14,1201,SOUTHEAST BU,Tier 2 - GM Pause,
438,53,1202,NORTH BU,Tier 2 - GM Pause,
116,9,1203,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
66,13,1204,SOUTWEST BU,Tier 2 - GM Pause,
101,3,1205,SOUTHEAST BU,Tier 2 - GM Pause,
130,13,1206,SOUTWEST BU,Tier 2 - GM Pause,
15,14,1207,SOUTHEAST BU,Tier 2 - GM Pause,
305,4,1209,EAST BU,Tier 2 - GM Pause,
260,41,1210,NORTH BU,Tier 2 - GM Pause,
270,25,1211,NORTH BU,Tier 1 - ISA On in Total Store,
1,14,1212,SOUTHEAST BU,Tier 2 - GM Pause,
104,9,1213,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
406,47,1214,WEST BU,Tier 2 - GM Pause,
120,2,1215,SOUTHEAST BU,Tier 2 - GM Pause,
53,5,1216,SOUTWEST BU,Tier 1 - ISA On in Total Store,
294,2,1217,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
366,46,1218,SOUTWEST BU,Tier 2 - GM Pause,
101,3,1219,SOUTHEAST BU,Tier 2 - GM Pause,
90,9,1220,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
409,44,1221,SOUTWEST BU,Tier 2 - GM Pause,
14,14,1222,SOUTHEAST BU,Tier 2 - GM Pause,
97,3,1223,SOUTHEAST BU,Tier 2 - GM Pause,
14,14,1224,SOUTHEAST BU,Tier 2 - GM Pause,
101,3,1225,SOUTHEAST BU,Tier 2 - GM Pause,
149,12,1226,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
30,3,1227,SOUTHEAST BU,Tier 2 - GM Pause,
269,25,1228,NORTH BU,Tier 2 - GM Pause,
13,14,1229,SOUTHEAST BU,Tier 2 - GM Pause,
364,46,1230,SOUTWEST BU,Tier 1 - ISA On in Total Store,
379,47,1231,WEST BU,Tier 1 - ISA On in Total Store,
81,5,1232,SOUTWEST BU,Tier 2 - GM Pause,
258,41,1233,NORTH BU,Tier 1 - ISA On in Total Store,
257,41,1234,NORTH BU,Tier 1 - ISA On in Total Store,
86,6,1235,SOUTWEST BU,Tier 1 - ISA On in Total Store,
302,26,1236,EAST BU,Tier 2 - GM Pause,
299,26,1237,EAST BU,Tier 2 - GM Pause,
310,26,1238,EAST BU,Tier 2 - GM Pause,
217,21,1239,NORTH BU,Tier 1 - ISA On in Total Store,
367,46,1240,SOUTWEST BU,Tier 1 - ISA On in Total Store,
418,52,1241,WEST BU,Tier 2 - GM Pause,
294,2,1242,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
312,75,1243,EAST BU,Tier 1 - ISA On in Total Store,
35,2,1244,SOUTHEAST BU,Tier 2 - GM Pause,
114,9,1245,SOUTHEAST BU,Tier 2 - GM Pause,
258,41,1247,NORTH BU,Tier 1 - ISA On in Total Store,
144,12,1248,SOUTHEAST BU,Tier 2 - GM Pause,
74,5,1249,SOUTWEST BU,Tier 1 - ISA On in Total Store,
380,47,1252,WEST BU,Tier 2 - GM Pause,
82,5,1253,SOUTWEST BU,Tier 1 - ISA On in Total Store,
76,5,1254,SOUTWEST BU,Tier 1 - ISA On in Total Store,
309,26,1255,EAST BU,Tier 2 - GM Pause,
266,25,1256,NORTH BU,Tier 2 - GM Pause,
74,5,1257,SOUTWEST BU,Tier 1 - ISA On in Total Store,
258,41,1259,NORTH BU,Tier 1 - ISA On in Total Store,
143,13,1260,SOUTWEST BU,Tier 1 - ISA On in Total Store,
310,26,1261,EAST BU,Tier 2 - GM Pause,
254,41,1263,NORTH BU,Tier 1 - ISA On in Total Store,
222,21,1264,NORTH BU,Tier 1 - ISA On in Total Store,
340,40,1265,NORTH BU,Tier 2 - GM Pause,
130,13,1266,SOUTWEST BU,Tier 2 - GM Pause,
441,53,1267,NORTH BU,Tier 1 - ISA On in Total Store,
300,26,1268,EAST BU,Tier 2 - GM Pause,
39,2,1270,SOUTHEAST BU,Tier 2 - GM Pause,
138,14,1271,SOUTHEAST BU,Tier 2 - GM Pause,
74,5,1272,SOUTWEST BU,Tier 2 - GM Pause,
389,47,1273,WEST BU,Tier 1 - ISA On in Total Store,
441,53,1274,NORTH BU,Tier 2 - GM Pause,
482,25,1275,NORTH BU,Tier 1 - ISA On in Total Store,
444,53,1276,NORTH BU,Tier 3 - Total Store ISA Pause,
438,53,1277,NORTH BU,Tier 2 - GM Pause,
59,6,1279,SOUTWEST BU,Tier 1 - ISA On in Total Store,
388,54,1280,WEST BU,Tier 1 - ISA On in Total Store,
42,4,1281,EAST BU,Tier 2 - GM Pause,
407,47,1282,WEST BU,Tier 1 - ISA On in Total Store,
93,3,1283,SOUTHEAST BU,Tier 2 - GM Pause,
16,3,1284,SOUTHEAST BU,Tier 2 - GM Pause,
418,52,1285,WEST BU,Tier 1 - ISA On in Total Store,
41,4,1286,EAST BU,Tier 2 - GM Pause,
296,26,1287,EAST BU,Tier 1 - ISA On in Total Store,
296,26,1288,EAST BU,Tier 2 - GM Pause,
221,21,1289,NORTH BU,Tier 2 - GM Pause,
304,4,1290,EAST BU,Tier 2 - GM Pause,
367,46,1291,SOUTWEST BU,Tier 1 - ISA On in Total Store,
312,75,1292,EAST BU,Tier 1 - ISA On in Total Store,
30,3,1293,SOUTHEAST BU,Tier 2 - GM Pause,
247,21,1294,NORTH BU,Tier 2 - GM Pause,
350,44,1295,SOUTWEST BU,Tier 1 - ISA On in Total Store,
569,6,1296,SOUTWEST BU,Tier 2 - GM Pause,
93,3,1297,SOUTHEAST BU,Tier 2 - GM Pause,
302,26,1298,EAST BU,Tier 2 - GM Pause,
364,46,1299,SOUTWEST BU,Tier 2 - GM Pause,
302,26,1300,EAST BU,Tier 1 - ISA On in Total Store,
312,75,1301,EAST BU,Tier 1 - ISA On in Total Store,
311,20,1302,NORTH BU,Tier 3 - Total Store ISA Pause,
81,5,1303,SOUTWEST BU,Tier 2 - GM Pause,
247,21,1304,NORTH BU,Tier 2 - GM Pause,
441,53,1305,NORTH BU,Tier 2 - GM Pause,
387,46,1306,SOUTWEST BU,Tier 2 - GM Pause,
262,25,1307,NORTH BU,Tier 2 - GM Pause,
380,47,1308,WEST BU,Tier 1 - ISA On in Total Store,
312,75,1309,EAST BU,Tier 1 - ISA On in Total Store,
251,25,1310,NORTH BU,Tier 1 - ISA On in Total Store,
16,3,1311,SOUTHEAST BU,Tier 2 - GM Pause,
310,26,1312,EAST BU,Tier 2 - GM Pause,
77,6,1313,SOUTWEST BU,Tier 1 - ISA On in Total Store,
24,2,1314,SOUTHEAST BU,Tier 2 - GM Pause,
381,54,1315,WEST BU,Tier 1 - ISA On in Total Store,
439,53,1316,NORTH BU,Tier 3 - Total Store ISA Pause,
294,2,1317,SOUTHEAST BU,Tier 2 - GM Pause,
122,2,1318,SOUTHEAST BU,Tier 2 - GM Pause,
122,2,1319,SOUTHEAST BU,Tier 2 - GM Pause,
122,2,1320,SOUTHEAST BU,Tier 2 - GM Pause,
299,26,1321,EAST BU,Tier 2 - GM Pause,
308,26,1322,EAST BU,Tier 1 - ISA On in Total Store,
278,25,1323,NORTH BU,Tier 1 - ISA On in Total Store,
366,46,1324,SOUTWEST BU,Tier 1 - ISA On in Total Store,
366,46,1325,SOUTWEST BU,Tier 2 - GM Pause,
429,47,1326,WEST BU,Tier 2 - GM Pause,
243,25,1327,NORTH BU,Tier 1 - ISA On in Total Store,
364,46,1328,SOUTWEST BU,Tier 2 - GM Pause,
247,21,1329,NORTH BU,Tier 2 - GM Pause,
222,21,1330,NORTH BU,Tier 1 - ISA On in Total Store,
223,21,1331,NORTH BU,Tier 2 - GM Pause,
426,52,1332,WEST BU,Tier 1 - ISA On in Total Store,
222,21,1333,NORTH BU,Tier 1 - ISA On in Total Store,
372,46,1334,SOUTWEST BU,Tier 2 - GM Pause,
315,75,1335,EAST BU,Tier 1 - ISA On in Total Store,
311,20,1336,NORTH BU,Tier 2 - GM Pause,
304,4,1337,EAST BU,Tier 2 - GM Pause,
16,3,1338,SOUTHEAST BU,Tier 2 - GM Pause,
41,4,1339,EAST BU,Tier 1 - ISA On in Total Store,
20,2,1340,SOUTHEAST BU,Tier 2 - GM Pause,
254,41,1341,NORTH BU,Tier 2 - GM Pause,
128,13,1342,SOUTWEST BU,Tier 1 - ISA On in Total Store,
315,75,1344,EAST BU,Tier 2 - GM Pause,
314,75,1345,EAST BU,Tier 1 - ISA On in Total Store,
143,13,1346,SOUTWEST BU,Tier 2 - GM Pause,
87,6,1347,SOUTWEST BU,Tier 1 - ISA On in Total Store,
300,26,1348,EAST BU,Tier 2 - GM Pause,
109,9,1349,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
315,75,1350,EAST BU,Tier 1 - ISA On in Total Store,
317,20,1351,NORTH BU,Tier 2 - GM Pause,
300,26,1352,EAST BU,Tier 1 - ISA On in Total Store,
128,13,1353,SOUTWEST BU,Tier 2 - GM Pause,
301,26,1354,EAST BU,Tier 2 - GM Pause,
302,26,1355,EAST BU,Tier 2 - GM Pause,
251,25,1356,NORTH BU,Tier 2 - GM Pause,
387,46,1357,SOUTWEST BU,Tier 2 - GM Pause,
36,4,1358,EAST BU,Tier 2 - GM Pause,
36,4,1359,EAST BU,Tier 2 - GM Pause,
317,20,1360,NORTH BU,Tier 2 - GM Pause,
426,52,1361,WEST BU,Tier 1 - ISA On in Total Store,
15,14,1362,SOUTHEAST BU,Tier 2 - GM Pause,
21,2,1363,SOUTHEAST BU,Tier 2 - GM Pause,
365,57,1364,WEST BU,Tier 1 - ISA On in Total Store,
436,53,1365,NORTH BU,Tier 2 - GM Pause,
440,53,1366,NORTH BU,Tier 2 - GM Pause,
32,3,1367,SOUTHEAST BU,Tier 2 - GM Pause,
218,21,1368,NORTH BU,Tier 1 - ISA On in Total Store,
364,46,1369,SOUTWEST BU,Tier 2 - GM Pause,
365,57,1370,WEST BU,Tier 1 - ISA On in Total Store,
580,25,1371,NORTH BU,Tier 1 - ISA On in Total Store,
299,26,1372,EAST BU,Tier 2 - GM Pause,
24,2,1373,SOUTHEAST BU,Tier 2 - GM Pause,
91,9,1374,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
97,3,1375,SOUTHEAST BU,Tier 2 - GM Pause,
152,41,1376,NORTH BU,Tier 2 - GM Pause,
270,25,1377,NORTH BU,Tier 1 - ISA On in Total Store,
247,21,1378,NORTH BU,Tier 2 - GM Pause,
301,26,1379,EAST BU,Tier 2 - GM Pause,
375,46,1380,SOUTWEST BU,Tier 2 - GM Pause,
372,46,1381,SOUTWEST BU,Tier 2 - GM Pause,
39,2,1382,SOUTHEAST BU,Tier 2 - GM Pause,
29,4,1383,EAST BU,Tier 2 - GM Pause,
389,47,1384,WEST BU,Tier 1 - ISA On in Total Store,
305,4,1385,EAST BU,Tier 2 - GM Pause,
262,25,1386,NORTH BU,Tier 2 - GM Pause,
108,9,1387,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
248,21,1388,NORTH BU,Tier 2 - GM Pause,
414,52,1389,WEST BU,Tier 1 - ISA On in Total Store,
111,9,1390,SOUTHEAST BU,Tier 2 - GM Pause,
94,3,1391,SOUTHEAST BU,Tier 2 - GM Pause,
300,26,1392,EAST BU,Tier 2 - GM Pause,
413,52,1393,WEST BU,Tier 1 - ISA On in Total Store,
435,53,1394,NORTH BU,Tier 2 - GM Pause,
272,25,1395,NORTH BU,Tier 1 - ISA On in Total Store,
441,53,1396,NORTH BU,Tier 2 - GM Pause,
384,46,1397,SOUTWEST BU,Tier 2 - GM Pause,
108,9,1398,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
315,75,1399,EAST BU,Tier 1 - ISA On in Total Store,
21,2,1400,SOUTHEAST BU,Tier 2 - GM Pause,
265,25,1401,NORTH BU,Tier 2 - GM Pause,
18,2,1403,SOUTHEAST BU,Tier 2 - GM Pause,
269,25,1404,NORTH BU,Tier 1 - ISA On in Total Store,
61,6,1405,SOUTWEST BU,Tier 1 - ISA On in Total Store,
286,75,1406,EAST BU,Tier 2 - GM Pause,
221,21,1407,NORTH BU,Tier 2 - GM Pause,
97,3,1408,SOUTHEAST BU,Tier 2 - GM Pause,
65,6,1409,SOUTWEST BU,Tier 2 - GM Pause,
223,21,1410,NORTH BU,Tier 2 - GM Pause,
366,46,1411,SOUTWEST BU,Tier 2 - GM Pause,
381,54,1412,WEST BU,Tier 2 - GM Pause,
270,25,1413,NORTH BU,Tier 2 - GM Pause,
384,46,1414,SOUTWEST BU,Tier 2 - GM Pause,
421,52,1415,WEST BU,Tier 1 - ISA On in Total Store,
207,19,1416,NORTH BU,Tier 1 - ISA On in Total Store,
364,46,1417,SOUTWEST BU,Tier 1 - ISA On in Total Store,
341,25,1418,NORTH BU,Tier 2 - GM Pause,
248,21,1419,NORTH BU,Tier 2 - GM Pause,
264,25,1420,NORTH BU,Tier 1 - ISA On in Total Store,
278,25,1421,NORTH BU,Tier 2 - GM Pause,
204,19,1422,NORTH BU,Tier 2 - GM Pause,
203,19,1423,NORTH BU,Tier 2 - GM Pause,
290,75,1424,EAST BU,Tier 1 - ISA On in Total Store,
248,21,1425,NORTH BU,Tier 2 - GM Pause,
259,41,1426,NORTH BU,Tier 2 - GM Pause,
218,21,1427,NORTH BU,Tier 2 - GM Pause,
204,19,1428,NORTH BU,Tier 2 - GM Pause,
213,19,1429,NORTH BU,Tier 2 - GM Pause,
439,53,1430,NORTH BU,Tier 2 - GM Pause,
418,52,1431,WEST BU,Tier 1 - ISA On in Total Store,
204,19,1432,NORTH BU,Tier 2 - GM Pause,
222,21,1433,NORTH BU,Tier 1 - ISA On in Total Store,
391,47,1434,WEST BU,Tier 1 - ISA On in Total Store,
413,52,1435,WEST BU,Tier 1 - ISA On in Total Store,
107,9,1436,SOUTHEAST BU,Tier 2 - GM Pause,
406,47,1437,WEST BU,Tier 2 - GM Pause,
405,46,1438,SOUTWEST BU,Tier 2 - GM Pause,
405,46,1439,SOUTWEST BU,Tier 2 - GM Pause,
403,54,1440,WEST BU,Tier 1 - ISA On in Total Store,
221,21,1441,NORTH BU,Tier 2 - GM Pause,
405,46,1442,SOUTWEST BU,Tier 2 - GM Pause,
225,21,1443,NORTH BU,Tier 1 - ISA On in Total Store,
98,3,1444,SOUTHEAST BU,Tier 2 - GM Pause,
213,19,1445,NORTH BU,Tier 2 - GM Pause,
436,53,1446,NORTH BU,Tier 2 - GM Pause,
419,52,1447,WEST BU,Tier 1 - ISA On in Total Store,
213,19,1448,NORTH BU,Tier 3 - Total Store ISA Pause,
439,53,1449,NORTH BU,Tier 2 - GM Pause,
316,20,1450,NORTH BU,Tier 2 - GM Pause,
275,25,1451,NORTH BU,Tier 1 - ISA On in Total Store,
309,26,1452,EAST BU,Tier 2 - GM Pause,
440,53,1453,NORTH BU,Tier 1 - ISA On in Total Store,
275,25,1454,NORTH BU,Tier 1 - ISA On in Total Store,
44,5,1455,SOUTWEST BU,Tier 1 - ISA On in Total Store,
381,54,1456,WEST BU,Tier 1 - ISA On in Total Store,
381,54,1457,WEST BU,Tier 1 - ISA On in Total Store,
120,2,1458,SOUTHEAST BU,Tier 2 - GM Pause,
249,25,1459,NORTH BU,Tier 2 - GM Pause,
429,47,1460,WEST BU,Tier 2 - GM Pause,
381,54,1461,WEST BU,Tier 1 - ISA On in Total Store,
7,14,1462,SOUTHEAST BU,Tier 2 - GM Pause,
221,21,1463,NORTH BU,Tier 1 - ISA On in Total Store,
305,4,1464,EAST BU,Tier 2 - GM Pause,
314,75,1465,EAST BU,Tier 1 - ISA On in Total Store,
121,2,1466,SOUTHEAST BU,Tier 2 - GM Pause,
121,2,1467,SOUTHEAST BU,Tier 2 - GM Pause,
136,12,1468,SOUTHEAST BU,Tier 2 - GM Pause,
120,2,1469,SOUTHEAST BU,Tier 2 - GM Pause,
421,52,1470,WEST BU,Tier 1 - ISA On in Total Store,
439,53,1471,NORTH BU,Tier 1 - ISA On in Total Store,
423,52,1472,WEST BU,Tier 1 - ISA On in Total Store,
421,52,1473,WEST BU,Tier 2 - GM Pause,
365,57,1474,WEST BU,Tier 1 - ISA On in Total Store,
418,52,1475,WEST BU,Tier 1 - ISA On in Total Store,
243,25,1476,NORTH BU,Tier 1 - ISA On in Total Store,
317,20,1477,NORTH BU,Tier 2 - GM Pause,
259,41,1478,NORTH BU,Tier 2 - GM Pause,
238,19,1479,NORTH BU,Tier 1 - ISA On in Total Store,
239,21,1480,NORTH BU,Tier 2 - GM Pause,
13,14,1481,SOUTHEAST BU,Tier 2 - GM Pause,
112,9,1482,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
430,54,1483,WEST BU,Tier 1 - ISA On in Total Store,
382,54,1485,WEST BU,Tier 1 - ISA On in Total Store,
314,75,1486,EAST BU,Tier 1 - ISA On in Total Store,
238,19,1487,NORTH BU,Tier 2 - GM Pause,
22,2,1488,SOUTHEAST BU,Tier 2 - GM Pause,
269,25,1489,NORTH BU,Tier 1 - ISA On in Total Store,
263,53,1490,NORTH BU,Tier 2 - GM Pause,
413,52,1491,WEST BU,Tier 1 - ISA On in Total Store,
376,47,1492,WEST BU,Tier 2 - GM Pause,
14,14,1493,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
78,6,1494,SOUTWEST BU,Tier 1 - ISA On in Total Store,
223,21,1495,NORTH BU,Tier 1 - ISA On in Total Store,
415,52,1496,WEST BU,Tier 1 - ISA On in Total Store,
266,25,1497,NORTH BU,Tier 3 - Total Store ISA Pause,
298,26,1498,EAST BU,Tier 2 - GM Pause,
317,20,1499,NORTH BU,Tier 2 - GM Pause,
430,54,1500,WEST BU,Tier 1 - ISA On in Total Store,
112,9,1501,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
301,26,1502,EAST BU,Tier 2 - GM Pause,
221,21,1503,NORTH BU,Tier 1 - ISA On in Total Store,
221,21,1504,NORTH BU,Tier 1 - ISA On in Total Store,
258,41,1505,NORTH BU,Tier 1 - ISA On in Total Store,
415,52,1506,WEST BU,Tier 1 - ISA On in Total Store,
409,44,1507,SOUTWEST BU,Tier 2 - GM Pause,
382,54,1508,WEST BU,Tier 1 - ISA On in Total Store,
415,52,1509,WEST BU,Tier 1 - ISA On in Total Store,
225,21,1510,NORTH BU,Tier 2 - GM Pause,
553,9,1511,SOUTHEAST BU,Tier 2 - GM Pause,
371,46,1512,SOUTWEST BU,Tier 2 - GM Pause,
111,9,1513,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
340,40,1514,NORTH BU,Tier 1 - ISA On in Total Store,
442,53,1515,NORTH BU,Tier 3 - Total Store ISA Pause,
70,46,1516,SOUTWEST BU,Tier 2 - GM Pause,
108,9,1517,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
482,25,1518,NORTH BU,Tier 2 - GM Pause,
218,21,1519,NORTH BU,Tier 1 - ISA On in Total Store,
430,54,1520,WEST BU,Tier 1 - ISA On in Total Store,
225,21,1521,NORTH BU,Tier 2 - GM Pause,
320,75,1522,EAST BU,Tier 1 - ISA On in Total Store,
287,75,1523,EAST BU,Tier 1 - ISA On in Total Store,
290,75,1524,EAST BU,Tier 1 - ISA On in Total Store,
287,75,1525,EAST BU,Tier 1 - ISA On in Total Store,
426,52,1526,WEST BU,Tier 1 - ISA On in Total Store,
301,26,1527,EAST BU,Tier 2 - GM Pause,
415,52,1528,WEST BU,Tier 1 - ISA On in Total Store,
233,22,1529,EAST BU,Tier 2 - GM Pause,
136,12,1530,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
270,25,1531,NORTH BU,Tier 2 - GM Pause,
369,46,1532,SOUTWEST BU,Tier 2 - GM Pause,
369,46,1533,SOUTWEST BU,Tier 2 - GM Pause,
427,54,1534,WEST BU,Tier 1 - ISA On in Total Store,
430,54,1535,WEST BU,Tier 1 - ISA On in Total Store,
111,9,1536,SOUTHEAST BU,Tier 2 - GM Pause,
234,22,1537,EAST BU,Tier 2 - GM Pause,
430,54,1538,WEST BU,Tier 1 - ISA On in Total Store,
213,19,1539,NORTH BU,Tier 3 - Total Store ISA Pause,
201,19,1540,NORTH BU,Tier 1 - ISA On in Total Store,
107,9,1541,SOUTHEAST BU,Tier 2 - GM Pause,
196,53,1542,NORTH BU,Tier 2 - GM Pause,
430,54,1543,WEST BU,Tier 1 - ISA On in Total Store,
320,75,1544,EAST BU,Tier 1 - ISA On in Total Store,
412,52,1545,WEST BU,Tier 2 - GM Pause,Will re-evaluate on a weekly basis
426,52,1546,WEST BU,Tier 1 - ISA On in Total Store,
246,21,1547,NORTH BU,Tier 2 - GM Pause,
262,25,1548,NORTH BU,Tier 2 - GM Pause,
368,46,1549,SOUTWEST BU,Tier 2 - GM Pause,
388,54,1550,WEST BU,Tier 1 - ISA On in Total Store,
435,53,1551,NORTH BU,Tier 2 - GM Pause,
308,26,1552,EAST BU,Tier 1 - ISA On in Total Store,
264,25,1553,NORTH BU,Tier 2 - GM Pause,
452,56,1554,WEST BU,Tier 1 - ISA On in Total Store,
463,57,1555,WEST BU,Tier 1 - ISA On in Total Store,
266,25,1556,NORTH BU,Tier 3 - Total Store ISA Pause,
482,25,1557,NORTH BU,Tier 2 - GM Pause,
298,26,1558,EAST BU,Tier 2 - GM Pause,
394,57,1559,WEST BU,Tier 1 - ISA On in Total Store,
396,57,1560,WEST BU,Tier 1 - ISA On in Total Store,
145,12,1561,SOUTHEAST BU,Tier 2 - GM Pause,
424,52,1562,WEST BU,Tier 1 - ISA On in Total Store,
448,57,1563,WEST BU,Tier 1 - ISA On in Total Store,
218,21,1564,NORTH BU,Tier 2 - GM Pause,
427,54,1565,WEST BU,Tier 1 - ISA On in Total Store,
247,21,1566,NORTH BU,Tier 2 - GM Pause,
427,54,1567,WEST BU,Tier 1 - ISA On in Total Store,
229,20,1568,NORTH BU,Tier 2 - GM Pause,
259,41,1569,NORTH BU,Tier 1 - ISA On in Total Store,
