Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,22,1488,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,22,2732,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,22,2732,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,22,4409,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,23,1181,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,23,1181,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,23,1578,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,23,1578,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
2,23,1578,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,23,1578,233,Tablets,,,4 feet,Moved tablets to the table
2,23,1766,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,23,1766,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,23,1766,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,23,2360,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,23,2360,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,23,3205,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,23,3205,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,23,3621,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,23,3621,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,23,3621,233,Tablets,,,4 feet,Moved tablets to the table
2,23,3621,267,Tonies,,,4 feet,Repurposed tablet – footage
2,23,3621,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,23,3741,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,23,5390,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,23,5390,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,23,5390,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,575,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,24,575,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,24,575,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
