Store Number,Ship Date,Item Description,Shipping from,Tracking Number
2660,TBD,RFID Labels,FedEx,TBD
2663,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2663,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2664,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2664,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2690,5/31/2023,Basket Clips,FedEx,647971021949
2690,5/31/2023,RFID Labels,FedEx,647971021949
2712,TBD,Basket Clips,FedEx,TBD
2712,TBD,RFID Labels,FedEx,TBD
2713,TBD,Basket Clips,FedEx,TBD
2713,TBD,RFID Labels,FedEx,TBD
2716,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2716,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2724,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2724,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2729,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2729,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2749,TBD,Basket Clips,FedEx,TBD
2749,TBD,RFID Labels,FedEx,TBD
2757,TBD,Basket Clips,FedEx,TBD
2757,TBD,RFID Labels,FedEx,TBD
2766,5/31/2023,Basket Clips,FedEx,398991304401
2766,5/31/2023,RFID Labels,FedEx,398991304401
2807,5/31/2023,Basket Clips,FedEx,647971022029
2807,5/31/2023,RFID Labels,FedEx,647971022029
2813,TBD,Basket Clips,FedEx,TBD
2813,TBD,RFID Labels,FedEx,TBD
2834,5/31/2023,Basket Clips,FedEx,398976277573
2834,5/31/2023,RFID Labels,FedEx,398976277573
2881,5/31/2023,Basket Clips,FedEx,647971022095
2881,5/31/2023,RFID Labels,FedEx,647971022095
2886,5/31/2023,Basket Clips,FedEx,398990633855
2886,5/31/2023,RFID Labels,FedEx,398990633855
2889,TBD,Basket Clips,FedEx,TBD
2889,TBD,RFID Labels,FedEx,TBD
2891,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2891,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2903,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
2903,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
2918,TBD,Basket Clips,FedEx,TBD
2918,TBD,RFID Labels,FedEx,TBD
2938,TBD,Basket Clips,FedEx,TBD
2938,TBD,RFID Labels,FedEx,TBD
2948,5/31/2023,Basket Clips,FedEx,398991911649
2948,5/31/2023,RFID Labels,FedEx,398991911649
2973,5/31/2023,Basket Clips,FedEx,398942565499
2973,5/31/2023,RFID Labels,FedEx,398942565499
2978,5/31/2023,Basket Clips,FedEx,398976315681
2978,5/31/2023,RFID Labels,FedEx,398976315681
2980,5/31/2023,Basket Clips,FedEx,398974302623
2980,5/31/2023,RFID Labels,FedEx,398974302623
2996,5/31/2023,Basket Clips,FedEx,398974409425
2996,5/31/2023,RFID Labels,FedEx,398974409425
3014,5/31/2023,Basket Clips,FedEx,398976919639
3014,5/31/2023,RFID Labels,FedEx,398976919639
3017,TBD,Basket Clips,FedEx,TBD
3017,TBD,RFID Labels,FedEx,TBD
3044,5/31/2023,Basket Clips,FedEx,398976984081
3044,5/31/2023,RFID Labels,FedEx,398976984081
3077,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3077,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3114,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3114,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3150,TBD,Basket Clips,FedEx,TBD
3150,TBD,RFID Labels,FedEx,TBD
3151,5/31/2023,Basket Clips,FedEx,398990061561
3151,5/31/2023,RFID Labels,FedEx,398990061561
3159,5/31/2023,Basket Clips,FedEx,647971022176
3159,5/31/2023,RFID Labels,FedEx,647971022176
3177,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3177,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3206,TBD,Basket Clips,FedEx,TBD
3206,TBD,RFID Labels,FedEx,TBD
3224,5/31/2023,Basket Clips,FedEx,398971539215
3224,5/31/2023,RFID Labels,FedEx,398971539215
3225,TBD,Basket Clips,FedEx,TBD
3225,TBD,RFID Labels,FedEx,TBD
3228,TBD,Basket Clips,FedEx,TBD
3228,TBD,RFID Labels,FedEx,TBD
3267,5/31/2023,Basket Clips,FedEx,398991443136
3267,5/31/2023,RFID Labels,FedEx,398991443136
3268,TBD,Basket Clips,FedEx,TBD
3268,TBD,RFID Labels,FedEx,TBD
3274,TBD,Basket Clips,FedEx,TBD
3274,TBD,RFID Labels,FedEx,TBD
3285,5/31/2023,Basket Clips,FedEx,398973683478
3285,5/31/2023,RFID Labels,FedEx,398973683478
3286,TBD,Basket Clips,FedEx,TBD
3286,TBD,RFID Labels,FedEx,TBD
3289,TBD,Basket Clips,FedEx,TBD
3289,TBD,RFID Labels,FedEx,TBD
3295,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3295,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3300,TBD,Basket Clips,FedEx,TBD
3300,TBD,RFID Labels,FedEx,TBD
3309,TBD,Basket Clips,FedEx,TBD
3309,TBD,RFID Labels,FedEx,TBD
3386,TBD,Basket Clips,FedEx,TBD
3386,TBD,RFID Labels,FedEx,TBD
3403,TBD,Basket Clips,FedEx,TBD
3403,TBD,RFID Labels,FedEx,TBD
3412,TBD,Basket Clips,FedEx,TBD
3412,TBD,RFID Labels,FedEx,TBD
3425,TBD,Basket Clips,FedEx,TBD
3425,TBD,RFID Labels,FedEx,TBD
3433,5/31/2023,Basket Clips,FedEx,398974160620
3433,5/31/2023,RFID Labels,FedEx,398974160620
3443,TBD,Basket Clips,FedEx,TBD
3443,TBD,RFID Labels,FedEx,TBD
3471,TBD,Basket Clips,FedEx,TBD
3471,TBD,RFID Labels,FedEx,TBD
3520,TBD,Basket Clips,FedEx,TBD
3520,TBD,RFID Labels,FedEx,TBD
3522,5/31/2023,Basket Clips,FedEx,398992077714
3522,5/31/2023,RFID Labels,FedEx,398992077714
3525,5/31/2023,Basket Clips,FedEx,398992114388
3525,5/31/2023,RFID Labels,FedEx,398992114388
3535,TBD,Basket Clips,FedEx,TBD
3535,TBD,RFID Labels,FedEx,TBD
3562,5/31/2023,Basket Clips,FedEx,647971022235
3562,5/31/2023,RFID Labels,FedEx,647971022235
3611,TBD,Basket Clips,FedEx,TBD
3611,TBD,RFID Labels,FedEx,TBD
3630,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3630,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3634,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3634,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3639,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3639,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3643,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3643,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3645,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3645,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3701,TBD,Basket Clips,FedEx,TBD
3701,TBD,RFID Labels,FedEx,TBD
3702,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3702,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3738,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3738,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3748,TBD,Basket Clips,FedEx,TBD
3748,TBD,RFID Labels,FedEx,TBD
3777,5/31/2023,Basket Clips,FedEx,398971325121
3777,5/31/2023,RFID Labels,FedEx,398971325121
3794,5/31/2023,Basket Clips,FedEx,398991479490
3794,5/31/2023,RFID Labels,FedEx,398991479490
3795,TBD,Basket Clips,FedEx,TBD
3795,TBD,RFID Labels,FedEx,TBD
3825,TBD,Basket Clips,FedEx,TBD
3825,TBD,RFID Labels,FedEx,TBD
3829,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3829,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3838,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3838,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3840,TBD,Basket Clips,FedEx,TBD
3840,TBD,RFID Labels,FedEx,TBD
3852,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3852,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3864,TBD,Basket Clips,FedEx,TBD
3864,TBD,RFID Labels,FedEx,TBD
3891,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3891,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
3893,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
3893,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4165,TBD,Basket Clips,FedEx,TBD
4165,TBD,RFID Labels,FedEx,TBD
4187,TBD,Basket Clips,FedEx,TBD
4187,TBD,RFID Labels,FedEx,TBD
4215,TBD,Basket Clips,FedEx,TBD
4215,TBD,RFID Labels,FedEx,TBD
4216,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4216,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4232,5/31/2023,Basket Clips,FedEx,398991704961
4232,5/31/2023,RFID Labels,FedEx,398991704961
4279,TBD,Basket Clips,FedEx,TBD
4279,TBD,RFID Labels,FedEx,TBD
4332,TBD,Basket Clips,FedEx,TBD
4332,TBD,RFID Labels,FedEx,TBD
4358,5/31/2023,Basket Clips,FedEx,398991261438
4358,5/31/2023,RFID Labels,FedEx,398991261438
4365,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4365,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4444,TBD,Basket Clips,FedEx,TBD
4444,TBD,RFID Labels,FedEx,TBD
4488,5/31/2023,Basket Clips,FedEx,398989868060
4488,5/31/2023,RFID Labels,FedEx,398989868060
4503,5/31/2023,Basket Clips,FedEx,398976324951
4503,5/31/2023,RFID Labels,FedEx,398976324951
4509,5/31/2023,Basket Clips,FedEx,398974214771
4509,5/31/2023,RFID Labels,FedEx,398974214771
4526,TBD,Basket Clips,FedEx,TBD
4526,TBD,RFID Labels,FedEx,TBD
4568,5/31/2023,Basket Clips,FedEx,398992478034
4568,5/31/2023,RFID Labels,FedEx,398992478034
4599,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4599,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4615,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4615,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4637,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4637,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4644,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
4644,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
4664,TBD,Basket Clips,FedEx,TBD
4664,TBD,RFID Labels,FedEx,TBD
4682,5/31/2023,Basket Clips,FedEx,647971020184
4682,5/31/2023,RFID Labels,FedEx,647971020184
4697,5/31/2023,Basket Clips,FedEx,647971020265
4697,5/31/2023,RFID Labels,FedEx,647971020265
5033,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5033,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5037,5/31/2023,Basket Clips,FedEx,647971020460
5037,5/31/2023,RFID Labels,FedEx,647971020460
5040,TBD,Basket Clips,FedEx,TBD
5040,TBD,RFID Labels,FedEx,TBD
5041,5/31/2023,Basket Clips,FedEx,398991865727
5041,5/31/2023,RFID Labels,FedEx,398991865727
5051,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5051,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5054,5/31/2023,Basket Clips,FedEx,647971020520
5054,5/31/2023,RFID Labels,FedEx,647971020520
5057,TBD,Basket Clips,FedEx,TBD
5057,TBD,RFID Labels,FedEx,TBD
5073,5/31/2023,Basket Clips,FedEx,398992200190
5073,5/31/2023,RFID Labels,FedEx,398992200190
5077,TBD,Basket Clips,FedEx,TBD
5077,TBD,RFID Labels,FedEx,TBD
5080,5/31/2023,Basket Clips,FedEx,398974089020
5080,5/31/2023,RFID Labels,FedEx,398974089020
5087,TBD,Basket Clips,FedEx,TBD
5087,TBD,RFID Labels,FedEx,TBD
5088,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5088,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5090,TBD,Basket Clips,FedEx,TBD
5090,TBD,RFID Labels,FedEx,TBD
5096,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5096,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5097,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5097,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5117,5/31/2023,Basket Clips,FedEx,647971020585
5117,5/31/2023,RFID Labels,FedEx,647971020585
5124,5/31/2023,Basket Clips,FedEx,398991125140
5124,5/31/2023,RFID Labels,FedEx,398991125140
5126,TBD,Basket Clips,FedEx,TBD
5126,TBD,RFID Labels,FedEx,TBD
5141,5/31/2023,Basket Clips,FedEx,398991559756
5141,5/31/2023,RFID Labels,FedEx,398991559756
5154,5/31/2023,Basket Clips,FedEx,398992055959
5154,5/31/2023,RFID Labels,FedEx,398992055959
5156,5/31/2023,Basket Clips,FedEx,398992689520
5156,5/31/2023,RFID Labels,FedEx,398992689520
5159,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5159,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5190,5/31/2023,Basket Clips,FedEx,398991606733
5190,5/31/2023,RFID Labels,FedEx,398991606733
5199,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5199,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5214,TBD,Basket Clips,FedEx,TBD
5214,TBD,RFID Labels,FedEx,TBD
5227,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5227,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5241,TBD,Basket Clips,FedEx,TBD
5241,TBD,RFID Labels,FedEx,TBD
5247,5/31/2023,Basket Clips,FedEx,398971126523
5247,5/31/2023,RFID Labels,FedEx,398971126523
5250,TBD,Basket Clips,FedEx,TBD
5250,TBD,RFID Labels,FedEx,TBD
5275,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5275,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5276,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5276,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5311,5/31/2023,Basket Clips,FedEx,398976352150
5311,5/31/2023,RFID Labels,FedEx,398976352150
5329,TBD,Basket Clips,FedEx,TBD
5329,TBD,RFID Labels,FedEx,TBD
5335,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5335,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5355,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5355,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5356,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5356,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5359,5/31/2023,Basket Clips,FedEx,398976170110
5359,5/31/2023,RFID Labels,FedEx,398976170110
5361,5/31/2023,Basket Clips,FedEx,398992349609
5361,5/31/2023,RFID Labels,FedEx,398992349609
5376,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,TBD
5376,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,TBD
5381,TBD,Basket Clips,FedEx,TBD
5381,TBD,RFID Labels,FedEx,TBD
5416,5/31/2023,Basket Clips,FedEx,398974313664
5416,5/31/2023,RFID Labels,FedEx,398974313664
5420,5/31/2023,Basket Clips,FedEx,647971020644
5420,5/31/2023,RFID Labels,FedEx,647971020644
5435,5/31/2023,Basket Clips,FedEx,398991978969
5435,5/31/2023,RFID Labels,FedEx,398991978969
5612,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5612,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5672,5/31/2023,Basket Clips,FedEx,398976290250
5672,5/31/2023,RFID Labels,FedEx,398976290250
5703,5/31/2023,Basket Clips,FedEx,647971020703
5703,5/31/2023,RFID Labels,FedEx,647971020703
5705,TBD,Basket Clips,FedEx,TBD
5705,TBD,RFID Labels,FedEx,TBD
5751,5/31/2023,Basket Clips,FedEx,398991441306
5751,5/31/2023,RFID Labels,FedEx,398991441306
5752,5/31/2023,Basket Clips,FedEx,647971020725
5752,5/31/2023,RFID Labels,FedEx,647971020725
5764,5/31/2023,Basket Clips,FedEx,398970928337
5764,5/31/2023,RFID Labels,FedEx,398970928337
5766,5/31/2023,Basket Clips,FedEx,398991753238
5766,5/31/2023,RFID Labels,FedEx,398991753238
5814,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5814,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5835,5/31/2023,Basket Clips,FedEx,398990013950
5835,5/31/2023,RFID Labels,FedEx,398990013950
5880,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5880,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5884,TBD,Basket Clips,FedEx,TBD
5884,TBD,RFID Labels,FedEx,TBD
5954,5/31/2023,Basket Clips,FedEx,398992230321
5954,5/31/2023,RFID Labels,FedEx,398992230321
5959,TBD,Basket Clips,FedEx,TBD
5959,TBD,RFID Labels,FedEx,TBD
5969,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
5969,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
5987,5/31/2023,Basket Clips,FedEx,398974347802
5987,5/31/2023,RFID Labels,FedEx,398974347802
6963,5/31/2023,Basket Clips,FedEx,398974160160
6963,5/31/2023,RFID Labels,FedEx,398974160160
7009,TBD,Basket Clips,FedEx,TBD
7009,TBD,RFID Labels,FedEx,TBD
7020,TBD,Basket Clips,FedEx,TBD
7020,TBD,RFID Labels,FedEx,TBD
7179,TBD,Basket Clips,FedEx,TBD
7179,TBD,RFID Labels,FedEx,TBD
7238,TBD,Basket Clips,FedEx,TBD
7238,TBD,RFID Labels,FedEx,TBD
7249,TBD,Basket Clips,FedEx,TBD
7249,TBD,RFID Labels,FedEx,TBD
7301,TBD,Basket Clips,FedEx,TBD
7301,TBD,RFID Labels,FedEx,TBD
8930,5/31/2023,Basket Clips,FedEx,398976143723
8930,5/31/2023,RFID Labels,FedEx,398976143723
