Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
1600,447,8/3/2024,8/4/2024,7/22/2024
2117,451,8/3/2024,8/4/2024,7/22/2024
411,138,8/3/2024,8/4/2024,7/25/2024
514,39,8/3/2024,8/4/2024,7/22/2024
5248,544,8/3/2024,8/4/2024,7/22/2024
5394,581,8/3/2024,8/4/2024,7/22/2024
7181,29,8/3/2024,8/4/2024,7/22/2024
1248,144,8/5/2024,8/6/2024,7/29/2024
1581,427,8/5/2024,8/6/2024,5/7/2024
1624,447,8/5/2024,8/6/2024,7/29/2024
167,327,8/5/2024,8/6/2024,7/29/2024
1825,286,8/5/2024,8/6/2024,7/29/2024
2555,284,8/5/2024,8/6/2024,7/29/2024
2556,447,8/5/2024,8/6/2024,7/29/2024
2753,18,8/5/2024,8/6/2024,7/30/2024
3201,19,8/5/2024,8/6/2024,7/30/2024
4223,122,8/5/2024,8/6/2024,7/29/2024
530,327,8/5/2024,8/6/2024,7/30/2024
5689,515,8/5/2024,8/6/2024,7/29/2024
5755,502,8/5/2024,8/6/2024,7/29/2024
5908,498,8/5/2024,8/6/2024,7/29/2024
70,329,8/5/2024,8/6/2024,7/29/2024
1122,18,8/6/2024,8/7/2024,7/30/2024
1318,122,8/6/2024,8/7/2024,7/29/2024
1660,448,8/6/2024,8/7/2024,7/29/2024
2310,123,8/6/2024,8/7/2024,7/29/2024
2507,447,8/6/2024,8/7/2024,7/29/2024
2557,447,8/6/2024,8/7/2024,7/29/2024
2846,144,8/6/2024,8/7/2024,7/29/2024
3252,166,8/6/2024,8/7/2024,7/29/2024
348,327,8/6/2024,8/7/2024,7/30/2024
4378,285,8/6/2024,8/7/2024,7/29/2024
4423,280,8/6/2024,8/7/2024,7/29/2024
468,47,8/6/2024,8/7/2024,7/29/2024
5363,16,8/6/2024,8/7/2024,7/30/2024
91,329,8/6/2024,8/7/2024,7/30/2024
1065,325,8/7/2024,8/8/2024,7/29/2024
1194,122,8/7/2024,8/8/2024,7/29/2024
1403,18,8/7/2024,8/8/2024,7/30/2024
1989,447,8/7/2024,8/8/2024,7/29/2024
2950,448,8/7/2024,8/8/2024,7/29/2024
3035,283,8/7/2024,8/8/2024,7/29/2024
3102,424,8/7/2024,8/8/2024,7/29/2024
3138,481,8/7/2024,8/8/2024,7/29/2024
3331,327,8/7/2024,8/8/2024,7/29/2024
3593,492,8/7/2024,8/8/2024,7/31/2024
3609,19,8/7/2024,8/8/2024,7/30/2024
5467,498,8/7/2024,8/8/2024,7/29/2024
714,327,8/7/2024,8/8/2024,7/29/2024
1105,326,8/8/2024,8/9/2024,7/29/2024
1365,436,8/8/2024,8/9/2024,8/2/2024
1674,280,8/8/2024,8/9/2024,7/31/2024
2568,446,8/8/2024,8/9/2024,7/29/2024
2731,497,8/8/2024,8/9/2024,7/29/2024
2791,285,8/8/2024,8/9/2024,7/29/2024
3230,324,8/8/2024,8/9/2024,7/29/2024
336,325,8/8/2024,8/9/2024,7/30/2024
5043,492,8/8/2024,8/9/2024,7/29/2024
5103,166,8/8/2024,8/9/2024,7/29/2024
5134,447,8/8/2024,8/9/2024,7/29/2024
685,123,8/8/2024,8/9/2024,7/29/2024
6998,20,8/8/2024,8/9/2024,7/30/2024
127,325,8/9/2024,8/10/2024,7/29/2024
1574,447,8/9/2024,8/10/2024,7/29/2024
2288,462,8/9/2024,8/10/2024,7/29/2024
2446,170,8/9/2024,8/10/2024,7/29/2024
2460,285,8/9/2024,8/10/2024,7/29/2024
2488,566,8/9/2024,8/10/2024,7/29/2024
3087,446,8/9/2024,8/10/2024,7/29/2024
3168,537,8/9/2024,8/10/2024,7/29/2024
3633,234,8/9/2024,8/10/2024,7/31/2024
4472,25,8/9/2024,8/10/2024,7/30/2024
4692,554,8/9/2024,8/10/2024,7/29/2024
5196,144,8/9/2024,8/10/2024,7/29/2024
7,326,8/9/2024,8/10/2024,7/30/2024
739,258,8/9/2024,8/10/2024,7/31/2024
1247,258,8/10/2024,8/11/2024,8/9/2024
1893,508,8/10/2024,8/11/2024,8/5/2024
2368,174,8/10/2024,8/11/2024,8/5/2024
2401,484,8/10/2024,8/11/2024,7/29/2024
2452,444,8/10/2024,8/11/2024,8/5/2024
261,325,8/10/2024,8/11/2024,8/6/2024
2948,484,8/10/2024,8/11/2024,8/5/2024
3067,23,8/10/2024,8/11/2024,8/5/2024
308,152,8/10/2024,8/11/2024,8/6/2024
4404,233,8/10/2024,8/11/2024,8/5/2024
4460,324,8/10/2024,8/11/2024,8/5/2024
5,326,8/10/2024,8/11/2024,8/6/2024
5152,446,8/10/2024,8/11/2024,8/5/2024
656,151,8/10/2024,8/11/2024,8/6/2024
848,144,8/10/2024,8/11/2024,7/31/2024
1256,266,8/12/2024,8/13/2024,8/5/2024
1461,381,8/12/2024,8/13/2024,8/6/2024
