STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
25,675562021,STITCH DIARY KEYCH,9.88
25,675562010,HELLOKITTY KEYCH BAG,9.88
25,675625455,HELLOKITTY EAR SET,7.88
25,675562121,HELLO KITTY PD/ER,7.88
26,675562099,HELLO KITTY CRYS ER,8.88
26,675625453,HELLO KITTY CRY ER,8.88
26,675562123,HELLOKITTY HRT PD/ER,7.88
26,675562014,HELLOKITTY PLSH KYCH,9.88
26,675562064,STITCH/ANGEL BFF PD,8.88
26,675562121,HELLO KITTY PD/ER,7.88
26,675677762,KUROMI PLUSH KEYCH,9.88
26,675562021,STITCH DIARY KEYCH,9.88
26,675562083,STITCH CRYSTAL PEND,8.88
26,675625455,HELLOKITTY EAR SET,7.88
26,675562016,MYMELODY PLUSH KEYCH,9.88
26,675562097,KUROMI HOOP EARRING,7.88
26,675562057,HKITTY CRYSTAL PD,8.88
26,675562010,HELLOKITTY KEYCH BAG,9.88
26,675677756,STITCH KEYCHAIN BAG,9.88
26,675562001,STITCH/ANGEL KEYCHN,8.88
26,675562002,SNOOPY BFF KEYCHAIN,8.88
26,675562821,HKITTY/KEROPPI KYCH,8.88
26,675562005,STITCH/ANGEL KEYCHN,9.88
26,675562357,JACK PLUSH KEYCHAIN,9.88
26,675677758,HELLOKITTY BFF KEYCH,9.88
28,675562064,STITCH/ANGEL BFF PD,8.88
28,675562007,KUROMI KEYCHAIN,8.88
28,675562097,KUROMI HOOP EARRING,7.88
28,675562021,STITCH DIARY KEYCH,9.88
28,675562083,STITCH CRYSTAL PEND,8.88
28,675677756,STITCH KEYCHAIN BAG,9.88
28,675562057,HKITTY CRYSTAL PD,8.88
28,675562016,MYMELODY PLUSH KEYCH,9.88
28,675562685,HELLOKITTY SCRUNCHIE,7.88
28,675562123,HELLOKITTY HRT PD/ER,7.88
28,676314867,HELLOKITTY CLIP 4PC,7.88
28,675562121,HELLO KITTY PD/ER,7.88
29,675625465,DEADPL/WLVERNE BFFPD,8.88
29,675562010,HELLOKITTY KEYCH BAG,9.88
29,675562016,MYMELODY PLUSH KEYCH,9.88
29,675562057,HKITTY CRYSTAL PD,8.88
29,675677762,KUROMI PLUSH KEYCH,9.88
29,675562001,STITCH/ANGEL KEYCHN,8.88
29,675562133,HELLO KITTY CHRM BRC,8.88
29,675562524,STITCH BOW CLIP SET,8.88
29,675562685,HELLOKITTY SCRUNCHIE,7.88
29,675561998,CHEER BEAR KEYCHAIN,8.88
29,676314867,HELLOKITTY CLIP 4PC,7.88
29,675562021,STITCH DIARY KEYCH,9.88
29,675562075,HELLO KITTY BFF PDS,8.88
29,675562123,HELLOKITTY HRT PD/ER,7.88
29,675562014,HELLOKITTY PLSH KYCH,9.88
29,675677758,HELLOKITTY BFF KEYCH,9.88
29,675562009,HKITTY POMPOM KEYCH,9.88
29,675562002,SNOOPY BFF KEYCHAIN,8.88
29,675562097,KUROMI HOOP EARRING,7.88
29,675562821,HKITTY/KEROPPI KYCH,8.88
29,675562005,STITCH/ANGEL KEYCHN,9.88
29,675562357,JACK PLUSH KEYCHAIN,9.88
29,675625455,HELLOKITTY EAR SET,7.88
29,675562121,HELLO KITTY PD/ER,7.88
29,675677756,STITCH KEYCHAIN BAG,9.88
29,675562099,HELLO KITTY CRYS ER,8.88
33,675562099,HELLO KITTY CRYS ER,8.88
33,675562357,JACK PLUSH KEYCHAIN,9.88
33,675562057,HKITTY CRYSTAL PD,8.88
33,675562524,STITCH BOW CLIP SET,8.88
33,675562021,STITCH DIARY KEYCH,9.88
33,675562075,HELLO KITTY BFF PDS,8.88
33,675562064,STITCH/ANGEL BFF PD,8.88
33,675562005,STITCH/ANGEL KEYCHN,9.88
33,675562685,HELLOKITTY SCRUNCHIE,7.88
33,675562001,STITCH/ANGEL KEYCHN,8.88
33,675562009,HKITTY POMPOM KEYCH,9.88
33,675562083,STITCH CRYSTAL PEND,8.88
33,675677758,HELLOKITTY BFF KEYCH,9.88
33,675562097,KUROMI HOOP EARRING,7.88
33,675562121,HELLO KITTY PD/ER,7.88
33,675677756,STITCH KEYCHAIN BAG,9.88
33,675562123,HELLOKITTY HRT PD/ER,7.88
33,675562821,HKITTY/KEROPPI KYCH,8.88
33,675562010,HELLOKITTY KEYCH BAG,9.88
34,675562083,STITCH CRYSTAL PEND,8.88
34,675677757,POOH KEYCHAIN,8.88
34,675562075,HELLO KITTY BFF PDS,8.88
34,675625455,HELLOKITTY EAR SET,7.88
34,675562121,HELLO KITTY PD/ER,7.88
34,675677762,KUROMI PLUSH KEYCH,9.88
34,675562009,HKITTY POMPOM KEYCH,9.88
34,675625465,DEADPL/WLVERNE BFFPD,8.88
34,675562001,STITCH/ANGEL KEYCHN,8.88
34,675562021,STITCH DIARY KEYCH,9.88
34,675562064,STITCH/ANGEL BFF PD,8.88
34,675625453,HELLO KITTY CRY ER,8.88
34,675562524,STITCH BOW CLIP SET,8.88
34,675677756,STITCH KEYCHAIN BAG,9.88
34,675562123,HELLOKITTY HRT PD/ER,7.88
34,675562002,SNOOPY BFF KEYCHAIN,8.88
34,675562685,HELLOKITTY SCRUNCHIE,7.88
34,675562821,HKITTY/KEROPPI KYCH,8.88
34,675562099,HELLO KITTY CRYS ER,8.88
34,675562097,KUROMI HOOP EARRING,7.88
34,675562357,JACK PLUSH KEYCHAIN,9.88
35,675562123,HELLOKITTY HRT PD/ER,7.88
35,675562524,STITCH BOW CLIP SET,8.88
35,675562028,HELLOKITTY BFF KEYCH,9.88
35,675562076,HELLO KITTY BFF PDS,8.88
35,675625453,HELLO KITTY CRY ER,8.88
35,675562083,STITCH CRYSTAL PEND,8.88
35,675561998,CHEER BEAR KEYCHAIN,8.88
35,675562001,STITCH/ANGEL KEYCHN,8.88
35,675562064,STITCH/ANGEL BFF PD,8.88
35,675625465,DEADPL/WLVERNE BFFPD,8.88
35,675677758,HELLOKITTY BFF KEYCH,9.88
35,675562005,STITCH/ANGEL KEYCHN,9.88
35,675562357,JACK PLUSH KEYCHAIN,9.88
35,675562685,HELLOKITTY SCRUNCHIE,7.88
35,675562002,SNOOPY BFF KEYCHAIN,8.88
35,675562097,KUROMI HOOP EARRING,7.88
