Store #,Program
1723,Everday 
1726,Everday 
1727,Everday 
1728,Everday 
1729,Everday 
1730,Everday 
1731,Everday 
1732,Everday 
1733,Everday 
1734,Everday 
1735,Everday 
1736,Everday 
1737,Everday 
1739,Everday 
1739,Patriotic 
1741,Everday 
1741,Patriotic 
1742,Everday 
1742,Patriotic 
1743,Everday 
1744,Everday 
1745,Everday 
1746,Everday 
1748,Everday 
1750,Everday 
1752,Everday 
1753,Everday 
1753,Patriotic 
1756,Everday 
1760,Everday 
1761,Everday 
1762,Everday 
1763,Everday 
1765,Everday 
1766,Everday 
1768,Everday 
1770,Everday 
1770,Patriotic 
1773,Everday 
1775,Everday 
1776,Everday 
1779,Everday 
1782,Everday 
1783,Everday 
1784,Everday 
1785,Everday 
1786,Everday 
1788,Everday 
1788,Patriotic 
1789,Everday 
1789,Patriotic 
1792,Everday 
1793,Everday 
1794,Everday 
1798,Everday 
1799,Everday 
1800,Everday 
1801,Everday 
1802,Everday 
1803,Everday 
1804,Everday 
1805,Everday 
1809,Everday 
1811,Everday 
1811,Patriotic 
1812,Everday 
1814,Everday 
1814,Patriotic 
1815,Everday 
1819,Everday 
1821,Everday 
1823,Everday 
1825,Everday 
1825,Patriotic 
1826,Everday 
1827,Everday 
1828,Everday 
1829,Everday 
1830,Everday 
1831,Everday 
1832,Everday 
1833,Everday 
1837,Everday 
1837,Patriotic 
1838,Everday 
1840,Everday 
1840,Patriotic 
1841,Everday 
1842,Everday 
1843,Everday 
1845,Everday 
1847,Everday 
1850,Everday 
1851,Everday 
1852,Everday 
1853,Everday 
1855,Everday 
1856,Everday 
1856,Patriotic 
1857,Everday 
1858,Everday 
1859,Everday 
1860,Everday 
1861,Everday 
1862,Everday 
1862,Patriotic 
1866,Everday 
1867,Everday 
1868,Everday 
1869,Everday 
1871,Everday 
1872,Everday 
1872,Patriotic 
1873,Everday 
1874,Everday 
1876,Everday 
1878,Everday 
1879,Everday 
1880,Everday 
1881,Everday 
1881,Patriotic 
1882,Everday 
1882,Patriotic 
1883,Everday 
1884,Everday 
1884,Patriotic 
1886,Everday 
1887,Everday 
1888,Everday 
1889,Everday 
1890,Everday 
1891,Everday 
1892,Everday 
1893,Everday 
1894,Everday 
1895,Everday 
1896,Everday 
1896,Patriotic 
1898,Everday 
1899,Everday 
1900,Everday 
1902,Everday 
1902,Patriotic 
1903,Everday 
1904,Everday 
1904,Patriotic 
1905,Everday 
1907,Everday 
1908,Everday 
1909,Everday 
1911,Everday 
1912,Everday 
1913,Everday 
1914,Everday 
1916,Everday 
1917,Everday 
1918,Everday 
1920,Everday 
1921,Everday 
1922,Everday 
1923,Everday 
1923,Patriotic 
1926,Everday 
1927,Everday 
1928,Everday 
1929,Everday 
1930,Everday 
1934,Everday 
1934,Patriotic 
1935,Everday 
1935,Patriotic 
1936,Everday 
1940,Everday 
1941,Everday 
1942,Everday 
