Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
6517,Green Circle,21,384,18,473,23,434,21,302,14,290,14,18,1,-1,0,0,0,0,0.0
6533,Green Circle,21,186,9,215,10,208,10,252,12,112,5,67,3,21,1,0,0,-2,-0.1
6539,Green Circle,21,384,18,353,17,312,15,292,14,199,9,88,4,-6,0,0,0,0,0.0
6547,Green Circle,21,136,6,116,6,113,5,87,4,22,1,4,0,0,0,0,0,0,0.0
6556,Green Circle,21,431,21,553,26,727,35,529,25,323,15,139,7,-1,0,0,0,0,0.0
6575,Green Circle,21,364,17,592,28,481,23,403,19,313,15,60,3,-2,0,0,0,0,0.0
6673,Green Circle,21,211,10,197,9,187,9,149,7,158,8,6,0,0,0,0,0,0,0.0
6674,Green Circle,21,162,8,193,9,202,10,266,13,207,10,-1,0,0,0,-2,0,0,0.0
6675,Green Circle,21,211,10,175,8,113,5,81,4,64,3,99,5,53,3,4,0,0,0.0
6677,Green Circle,21,258,12,330,16,242,12,219,10,120,6,49,2,23,1,25,1,0,0.0
6678,Green Circle,21,212,10,372,18,290,14,329,16,231,11,164,8,9,0,0,0,-4,-0.2
6679,Green Circle,21,175,8,317,15,180,9,331,16,82,4,0,0,-1,0,-2,0,0,0.0
8134,Green Circle,21,185,9,336,16,437,21,656,31,672,32,330,16,151,7,71,3,4,0.2
8136,Green Circle,21,253,12,492,23,543,26,428,20,326,16,32,2,0,0,-4,0,0,0.0
8139,Green Circle,21,118,6,129,6,161,8,160,8,116,6,22,1,0,0,0,0,0,0.0
8168,Green Circle,21,410,20,670,32,676,32,649,31,427,20,152,7,-4,0,0,0,0,0.0
8169,Green Circle,21,146,7,275,13,304,14,274,13,175,8,65,3,0,0,49,2,0,0.0
8189,Green Circle,21,367,17,676,32,158,8,1,0,-1,0,0,0,0,0,0,0,0,0.0
8209,Green Circle,21,234,11,619,29,577,27,639,30,414,20,348,17,269,13,0,0,-2,-0.1
4710,Metrolina,24,0,0,137,6,181,8,129,5,135,6,98,4,104,4,19,1,3,0.1
4711,Metrolina,24,21,1,28,1,81,3,105,4,154,6,67,3,28,1,46,2,42,1.7
4739,Metrolina,24,44,2,60,3,92,4,119,5,68,3,35,1,31,1,3,0,0,0.0
4780,Metrolina,24,32,1,52,2,177,7,186,8,54,2,75,3,34,1,0,0,-2,-0.1
4789,Metrolina,24,121,5,163,7,219,9,144,6,140,6,42,2,-3,0,-2,0,-1,0.0
4797,Metrolina,24,1,0,111,5,210,9,160,7,111,5,33,1,0,0,0,0,0,0.0
4798,Metrolina,24,0,0,51,2,109,5,27,1,37,2,27,1,3,0,0,0,0,0.0
4802,Metrolina,24,0,0,116,5,133,6,134,6,89,4,32,1,-1,0,0,0,-5,-0.2
