Store Number,Sub Division Name,Phase,Op Model Expansion Tier
785,SOUTHWEST BU,Week 37,3
786,NORTH BU,Week 37,2
787,SOUTHEAST BU,Week 37,2
788,SOUTHEAST BU,LIVE,3
789,SOUTHWEST BU,LIVE,1
790,WEST BU,Week 37,3
791,SOUTHWEST BU,LIVE,1
792,NORTH BU,Week 37,3
793,SOUTHWEST BU,Week 37,3
794,SOUTHWEST BU,Week 37,2
795,EAST BU,Week 37,3
796,NORTH BU,Week 37,2
797,WEST BU,Week 37,2
798,NORTH BU,Week 37,3
799,WEST BU,Week 37,2
800,SOUTHEAST BU,Week 37,2
801,NORTH BU,Week 37,3
802,NORTH BU,Week 37,3
803,SOUTHWEST BU,Week 37,3
804,SOUTHWEST BU,LIVE,2
805,NORTH BU,Week 37,2
806,SOUTHWEST BU,Week 37,1
807,SOUTHWEST BU,LIVE,1
808,SOUTHWEST BU,LIVE,1
809,SOUTHEAST BU,Week 37,2
810,WEST BU,LIVE,1
811,SOUTHEAST BU,LIVE,2
812,SOUTHWEST BU,Week 37,2
813,SOUTHWEST BU,Week 37,2
814,SOUTHEAST BU,LIVE,2
815,NORTH BU,Week 37,3
816,SOUTHWEST BU,Week 37,2
817,SOUTHEAST BU,LIVE,1
818,SOUTHEAST BU,Week 37,1
819,SOUTHEAST BU,LIVE,1
820,NORTH BU,Week 37,3
821,SOUTHWEST BU,Week 37,2
822,SOUTHWEST BU,Week 37,2
823,SOUTHWEST BU,Week 37,2
824,SOUTHWEST BU,Week 37,2
825,NORTH BU,Week 37,3
826,SOUTHWEST BU,Week 37,1
827,SOUTHWEST BU,LIVE,2
828,NORTH BU,Week 37,1
829,SOUTHWEST BU,Week 37,2
830,NORTH BU,Week 37,3
833,NORTH BU,Week 37,3
834,NORTH BU,Week 37,3
835,SOUTHWEST BU,Week 37,2
836,SOUTHEAST BU,Week 37,2
837,NORTH BU,Week 37,3
838,SOUTHWEST BU,Week 37,2
839,SOUTHWEST BU,Week 37,2
841,WEST BU,Week 37,3
842,WEST BU,LIVE,2
843,SOUTHEAST BU,Week 37,3
844,NORTH BU,Week 37,2
845,NORTH BU,Week 37,3
846,SOUTHWEST BU,LIVE,3
847,NORTH BU,Week 37,3
848,SOUTHEAST BU,Week 37,1
849,SOUTHWEST BU,LIVE,1
850,SOUTHWEST BU,Week 37,1
851,SOUTHWEST BU,Week 37,3
852,NORTH BU,Week 37,2
853,SOUTHEAST BU,Week 37,2
854,NORTH BU,Week 37,3
855,SOUTHEAST BU,Week 37,2
856,SOUTHEAST BU,Week 37,2
857,SOUTHEAST BU,Week 37,2
858,SOUTHEAST BU,LIVE,3
859,SOUTHEAST BU,LIVE,2
860,SOUTHEAST BU,Week 37,2
861,SOUTHWEST BU,Week 37,1
862,SOUTHEAST BU,Week 37,1
863,SOUTHEAST BU,Week 37,3
864,SOUTHEAST BU,Week 37,1
865,SOUTHWEST BU,LIVE,1
866,SOUTHEAST BU,Week 37,1
867,WEST BU,Week 37,2
868,SOUTHWEST BU,Week 37,1
869,SOUTHWEST BU,Week 37,2
870,NORTH BU,LIVE,2
871,NORTH BU,Week 37,3
872,SOUTHWEST BU,LIVE,1
873,SOUTHWEST BU,Week 37,3
874,SOUTHWEST BU,Week 37,2
875,SOUTHEAST BU,Week 37,2
876,SOUTHEAST BU,LIVE,3
877,EAST BU,Week 37,1
878,SOUTHEAST BU,Week 37,2
879,SOUTHEAST BU,Week 37,2
880,SOUTHWEST BU,LIVE,1
881,EAST BU,Week 37,2
882,NORTH BU,Week 37,3
884,NORTH BU,Week 37,2
885,WEST BU,Week 37,3
886,WEST BU,LIVE,2
887,SOUTHWEST BU,Week 37,3
888,SOUTHEAST BU,LIVE,3
889,SOUTHEAST BU,Week 37,2
890,SOUTHEAST BU,LIVE,1
891,NORTH BU,Week 37,2
892,WEST BU,Week 37,2
893,SOUTHWEST BU,Week 37,3
894,SOUTHWEST BU,LIVE,1
895,NORTH BU,Week 37,3
896,SOUTHWEST BU,LIVE,1
897,SOUTHWEST BU,Week 37,3
898,SOUTHWEST BU,Week 37,3
899,SOUTHEAST BU,Week 37,1
900,SOUTHWEST BU,Week 37,3
901,SOUTHWEST BU,Week 37,2
902,NORTH BU,Week 37,3
903,SOUTHEAST BU,Week 37,3
904,SOUTHEAST BU,Week 37,2
905,WEST BU,LIVE,2
906,SOUTHWEST BU,Week 37,1
907,SOUTHEAST BU,Week 37,3
908,SOUTHEAST BU,LIVE,1
909,SOUTHWEST BU,Week 37,1
910,NORTH BU,Week 37,3
911,SOUTHWEST BU,Week 37,1
912,SOUTHWEST BU,Week 37,2
913,NORTH BU,Week 37,2
914,SOUTHEAST BU,LIVE,3
915,SOUTHWEST BU,LIVE,1
916,SOUTHWEST BU,Week 37,2
917,SOUTHWEST BU,Week 37,3
918,SOUTHWEST BU,Week 37,2
919,SOUTHEAST BU,Week 37,1
921,WEST BU,LIVE,3
922,NORTH BU,Week 37,2
923,NORTH BU,Week 37,2
924,WEST BU,LIVE,3
925,SOUTHEAST BU,Week 37,2
927,SOUTHWEST BU,Week 37,2
928,SOUTHEAST BU,LIVE,1
929,SOUTHEAST BU,LIVE,2
930,SOUTHEAST BU,Week 37,2
931,SOUTHEAST BU,LIVE,2
932,SOUTHEAST BU,Week 37,1
933,NORTH BU,Week 37,3
934,SOUTHEAST BU,Week 37,3
935,SOUTHWEST BU,Week 37,2
936,NORTH BU,Week 37,2
937,SOUTHEAST BU,LIVE,2
938,SOUTHEAST BU,Week 37,2
939,SOUTHWEST BU,LIVE,1
940,SOUTHWEST BU,LIVE,2
941,SOUTHEAST BU,Week 37,2
942,SOUTHEAST BU,Week 37,1
943,SOUTHEAST BU,LIVE,1
944,SOUTHEAST BU,Week 37,2
945,SOUTHWEST BU,Week 37,1
947,SOUTHWEST BU,Week 37,1
948,EAST BU,Week 37,2
950,SOUTHEAST BU,Week 37,2
951,SOUTHWEST BU,LIVE,3
952,SOUTHEAST BU,Week 37,2
953,WEST BU,LIVE,2
954,SOUTHWEST BU,Week 37,3
955,SOUTHEAST BU,LIVE,1
956,SOUTHEAST BU,LIVE,3
957,NORTH BU,Week 37,3
958,NORTH BU,Week 37,2
959,SOUTHEAST BU,Week 37,3
960,SOUTHEAST BU,Week 37,2
961,SOUTHWEST BU,Week 37,2
962,WEST BU,LIVE,3
963,SOUTHWEST BU,LIVE,2
964,SOUTHWEST BU,Week 37,1
965,NORTH BU,Week 37,3
966,SOUTHWEST BU,Week 37,2
967,SOUTHEAST BU,Week 37,2
968,SOUTHEAST BU,LIVE,1
969,SOUTHWEST BU,Week 37,1
970,SOUTHWEST BU,Week 37,2
971,NORTH BU,Week 37,3
972,SOUTHWEST BU,LIVE,2
973,SOUTHEAST BU,LIVE,1
974,SOUTHEAST BU,LIVE,2
975,SOUTHWEST BU,Week 37,2
976,SOUTHEAST BU,LIVE,3
977,SOUTHEAST BU,LIVE,3
978,WEST BU,Week 37,3
979,NORTH BU,Week 37,3
980,WEST BU,LIVE,2
981,SOUTHEAST BU,Week 37,1
982,NORTH BU,Week 37,3
984,WEST BU,LIVE,2
985,WEST BU,Week 37,3
986,WEST BU,LIVE,3
987,SOUTHEAST BU,LIVE,2
988,SOUTHEAST BU,Week 37,2
989,SOUTHWEST BU,Week 37,1
990,SOUTHEAST BU,Week 37,1
991,SOUTHEAST BU,Week 37,2
992,SOUTHWEST BU,LIVE,2
993,WEST BU,Week 37,3
994,SOUTHEAST BU,Week 37,1
995,NORTH BU,Week 37,2
996,NORTH BU,Week 37,3
999,SOUTHWEST BU,Week 37,1
1000,SOUTHWEST BU,LIVE,1
1001,WEST BU,LIVE,2
1002,NORTH BU,LIVE,3
1003,NORTH BU,Week 37,3
1004,SOUTHEAST BU,LIVE,1
1005,WEST BU,LIVE,3
1006,SOUTHEAST BU,Week 37,2
1007,NORTH BU,Week 37,3
1008,WEST BU,LIVE,2
1009,NORTH BU,Week 37,2
1010,EAST BU,Week 37,2
1011,EAST BU,Week 37,2
1012,NORTH BU,Week 37,2
1013,NORTH BU,Week 37,3
1014,NORTH BU,Week 37,1
1015,SOUTHWEST BU,Week 37,1
1016,SOUTHWEST BU,Week 37,2
1017,EAST BU,Week 37,2
1018,SOUTHEAST BU,Week 37,3
1019,WEST BU,LIVE,2
1020,NORTH BU,Week 37,3
1021,NORTH BU,Week 37,3
1022,SOUTHWEST BU,LIVE,2
1023,NORTH BU,Week 37,2
1024,SOUTHEAST BU,Week 37,2
1025,SOUTHWEST BU,Week 37,2
1026,NORTH BU,LIVE,2
1027,EAST BU,Week 37,2
1028,NORTH BU,Week 37,2
1029,SOUTHEAST BU,Week 37,3
1030,EAST BU,Week 37,2
1032,SOUTHEAST BU,Week 37,2
1033,NORTH BU,Week 37,2
1034,EAST BU,Week 37,1
1035,EAST BU,Week 37,1
1036,EAST BU,Week 37,2
1037,EAST BU,Week 37,2
1038,NORTH BU,Week 37,3
1039,EAST BU,Week 37,2
1040,SOUTHWEST BU,LIVE,1
1041,SOUTHWEST BU,LIVE,1
1042,SOUTHWEST BU,LIVE,1
1043,SOUTHWEST BU,Week 37,3
1044,SOUTHWEST BU,LIVE,2
1045,WEST BU,LIVE,3
1046,SOUTHWEST BU,Week 37,3
1047,SOUTHEAST BU,Week 37,1
1048,NORTH BU,Week 37,3
1051,SOUTHWEST BU,Week 37,3
1052,SOUTHEAST BU,Week 37,3
1053,NORTH BU,Week 37,2
1054,WEST BU,Week 37,3
1055,SOUTHWEST BU,LIVE,1
1056,SOUTHWEST BU,Week 37,3
1057,SOUTHEAST BU,Week 37,3
1058,WEST BU,LIVE,2
1059,SOUTHEAST BU,Week 37,3
1060,EAST BU,Week 37,2
1061,SOUTHEAST BU,Week 37,3
1062,SOUTHWEST BU,LIVE,1
1063,SOUTHEAST BU,Week 37,3
1064,EAST BU,Week 37,2
1065,SOUTHEAST BU,LIVE,3
1066,SOUTHWEST BU,Week 37,2
1067,SOUTHWEST BU,LIVE,3
1068,SOUTHEAST BU,LIVE,2
1069,SOUTHEAST BU,Week 37,3
1070,SOUTHEAST BU,Week 37,2
1071,NORTH BU,Week 37,2
1072,SOUTHEAST BU,Week 37,1
1073,SOUTHWEST BU,Week 37,3
1074,SOUTHEAST BU,Week 37,2
1075,SOUTHEAST BU,Week 37,1
1076,SOUTHEAST BU,Week 37,2
1077,SOUTHEAST BU,LIVE,2
1078,SOUTHWEST BU,Week 37,3
1079,SOUTHEAST BU,Week 37,2
1080,SOUTHEAST BU,Week 37,2
1081,SOUTHEAST BU,Week 37,1
1082,SOUTHEAST BU,LIVE,2
1083,SOUTHEAST BU,Week 37,1
1084,SOUTHEAST BU,LIVE,2
1085,SOUTHEAST BU,Week 37,1
1086,SOUTHEAST BU,LIVE,1
1087,SOUTHEAST BU,LIVE,1
1088,SOUTHWEST BU,Week 37,2
1089,SOUTHEAST BU,Week 37,2
1090,SOUTHEAST BU,Week 37,2
1091,SOUTHEAST BU,Week 37,2
1093,NORTH BU,Week 37,3
1094,NORTH BU,Week 37,2
1095,WEST BU,LIVE,2
1096,EAST BU,Week 37,2
1097,EAST BU,Week 37,2
1098,SOUTHWEST BU,LIVE,3
1099,SOUTHWEST BU,Week 37,2
1100,SOUTHEAST BU,Week 37,3
1101,SOUTHEAST BU,Week 37,2
1102,SOUTHWEST BU,Week 37,3
1103,SOUTHWEST BU,LIVE,1
1104,SOUTHEAST BU,Week 37,2
1105,SOUTHEAST BU,LIVE,2
1106,SOUTHWEST BU,Week 37,3
1107,SOUTHWEST BU,Week 37,3
1108,SOUTHEAST BU,LIVE,3
1109,SOUTHEAST BU,LIVE,3
1110,SOUTHEAST BU,LIVE,3
1111,SOUTHEAST BU,Week 37,2
1112,SOUTHEAST BU,Week 37,2
1113,NORTH BU,Week 37,1
1114,SOUTHEAST BU,LIVE,3
1115,SOUTHEAST BU,Week 37,3
1116,SOUTHWEST BU,Week 37,2
1117,SOUTHWEST BU,LIVE,2
1118,SOUTHWEST BU,LIVE,1
1119,SOUTHEAST BU,LIVE,3
1120,NORTH BU,Week 37,2
1121,SOUTHEAST BU,Week 37,2
1122,SOUTHEAST BU,Week 37,2
1123,EAST BU,Week 37,1
1124,SOUTHEAST BU,Week 37,3
1125,NORTH BU,Week 37,2
1126,SOUTHWEST BU,Week 37,2
1128,SOUTHWEST BU,Week 37,3
1129,SOUTHWEST BU,Week 37,2
1130,EAST BU,Week 37,2
1131,EAST BU,Week 37,3
1132,EAST BU,LIVE,1
1133,EAST BU,Week 37,2
1134,SOUTHEAST BU,Week 37,2
1135,EAST BU,Week 37,3
1136,SOUTHWEST BU,Week 37,3
1137,SOUTHWEST BU,LIVE,1
1138,NORTH BU,Week 37,2
1139,NORTH BU,Week 37,1
1140,NORTH BU,Week 37,2
1141,NORTH BU,Week 37,2
1142,NORTH BU,Week 37,3
1143,SOUTHEAST BU,Week 37,3
1144,EAST BU,Week 37,2
1146,EAST BU,Week 37,1
1147,SOUTHEAST BU,LIVE,3
1148,SOUTHWEST BU,Week 37,2
1149,SOUTHWEST BU,Week 37,2
1150,SOUTHWEST BU,LIVE,1
1151,NORTH BU,Week 37,2
1152,WEST BU,LIVE,3
1153,SOUTHEAST BU,Week 37,2
1154,SOUTHWEST BU,Week 37,2
1155,EAST BU,Week 37,1
1156,EAST BU,Week 37,1
1157,NORTH BU,Week 37,3
1158,SOUTHEAST BU,Week 37,3
1159,SOUTHEAST BU,Week 37,3
1160,NORTH BU,Week 37,1
1161,NORTH BU,Week 37,2
1162,NORTH BU,LIVE,2
1163,SOUTHWEST BU,Week 37,2
1164,EAST BU,Week 37,2
1165,NORTH BU,Week 37,2
1166,EAST BU,LIVE,3
1167,NORTH BU,Week 37,2
1168,SOUTHWEST BU,Week 37,2
1169,SOUTHEAST BU,LIVE,3
1170,NORTH BU,Week 37,2
1171,SOUTHEAST BU,LIVE,2
1172,SOUTHEAST BU,LIVE,2
1173,SOUTHEAST BU,LIVE,2
1174,SOUTHEAST BU,Week 37,3
1175,WEST BU,Week 37,2
1176,NORTH BU,Week 37,3
1177,NORTH BU,Week 37,2
1178,SOUTHWEST BU,LIVE,2
1179,EAST BU,Week 37,2
1180,NORTH BU,Week 37,2
1181,SOUTHEAST BU,LIVE,2
1182,SOUTHEAST BU,Week 37,1
1183,EAST BU,Week 37,1
1184,SOUTHEAST BU,Week 37,2
1185,SOUTHWEST BU,Week 37,1
1186,SOUTHWEST BU,LIVE,2
1187,SOUTHWEST BU,Week 37,3
1188,NORTH BU,Week 37,2
1189,NORTH BU,Week 37,3
1190,NORTH BU,Week 37,2
1191,EAST BU,Week 37,2
1192,SOUTHWEST BU,Week 37,3
1193,SOUTHEAST BU,LIVE,2
1194,SOUTHEAST BU,Week 37,1
1195,SOUTHWEST BU,Week 37,2
1196,SOUTHWEST BU,Week 37,3
1197,EAST BU,Week 37,2
1198,SOUTHWEST BU,Week 37,1
1199,WEST BU,LIVE,2
1200,WEST BU,LIVE,2
1201,SOUTHEAST BU,Week 37,2
1202,NORTH BU,Week 37,2
1203,SOUTHEAST BU,Week 37,1
1204,SOUTHWEST BU,Week 37,2
1205,SOUTHEAST BU,Week 37,2
1206,SOUTHWEST BU,Week 37,1
1207,SOUTHEAST BU,Week 37,2
1209,EAST BU,Week 37,2
1210,NORTH BU,Week 37,2
1211,NORTH BU,Week 37,3
1212,SOUTHEAST BU,Week 37,2
1213,SOUTHEAST BU,Week 37,1
1214,WEST BU,Week 37,3
1215,SOUTHEAST BU,Week 37,2
1216,SOUTHWEST BU,LIVE,2
1217,EAST BU,Week 37,2
1218,SOUTHWEST BU,Week 37,1
1219,SOUTHEAST BU,Week 37,2
1220,SOUTHEAST BU,LIVE,1
1221,SOUTHWEST BU,Week 37,1
1222,SOUTHEAST BU,Week 37,1
1223,SOUTHEAST BU,LIVE,2
1224,SOUTHEAST BU,Week 37,2
1225,SOUTHEAST BU,Week 37,2
1226,SOUTHEAST BU,Week 37,3
1227,SOUTHEAST BU,Week 37,2
1228,NORTH BU,LIVE,2
1229,SOUTHEAST BU,Week 37,2
1230,WEST BU,Week 37,1
1231,WEST BU,LIVE,1
1232,SOUTHWEST BU,Week 37,2
1233,NORTH BU,Week 37,2
1234,NORTH BU,Week 37,3
1235,SOUTHWEST BU,Week 37,3
1236,EAST BU,Week 37,2
1237,EAST BU,Week 37,2
1238,EAST BU,Week 37,2
1239,NORTH BU,Week 37,3
1240,SOUTHWEST BU,Week 37,1
1241,WEST BU,Week 37,1
1242,EAST BU,Week 37,1
1243,EAST BU,Week 37,2
1244,EAST BU,Week 37,2
1245,SOUTHEAST BU,Week 37,1
1247,NORTH BU,Week 37,2
1248,SOUTHEAST BU,Week 37,2
1249,SOUTHWEST BU,Week 37,2
1250,SOUTHWEST BU,LIVE,2
1252,WEST BU,LIVE,2
1253,SOUTHWEST BU,Week 37,1
1254,SOUTHWEST BU,LIVE,1
1255,EAST BU,Week 37,2
1256,NORTH BU,Week 37,1
1257,SOUTHWEST BU,Week 37,3
1259,NORTH BU,Week 37,2
1260,SOUTHWEST BU,Week 37,2
1261,EAST BU,Week 37,2
1263,NORTH BU,Week 37,2
1264,NORTH BU,LIVE,2
1265,NORTH BU,Week 37,3
1266,SOUTHWEST BU,Week 37,2
1267,NORTH BU,Week 37,3
1268,EAST BU,LIVE,2
1270,EAST BU,Week 37,2
1271,SOUTHEAST BU,Week 37,3
1272,SOUTHWEST BU,Week 37,3
1273,WEST BU,LIVE,2
1274,NORTH BU,Week 37,3
1275,NORTH BU,Week 37,3
1276,NORTH BU,Week 37,3
1277,NORTH BU,Week 37,3
1279,SOUTHWEST BU,LIVE,1
1280,WEST BU,LIVE,2
1281,EAST BU,Week 37,2
1282,WEST BU,Week 37,3
1283,SOUTHEAST BU,Week 37,2
1284,SOUTHEAST BU,Week 37,1
1285,WEST BU,Week 37,2
1286,EAST BU,Week 37,2
1287,EAST BU,Week 37,2
1288,EAST BU,Week 37,3
1289,NORTH BU,Week 37,2
1290,EAST BU,Week 37,2
1291,SOUTHWEST BU,Week 37,1
1292,EAST BU,Week 37,2
1293,SOUTHEAST BU,Week 37,2
1294,NORTH BU,Week 37,2
1295,SOUTHWEST BU,Week 37,3
1296,SOUTHWEST BU,LIVE,2
1297,SOUTHEAST BU,Week 37,2
1298,EAST BU,Week 37,1
1299,WEST BU,Week 37,2
1300,EAST BU,Week 37,2
1301,EAST BU,Week 37,2
1302,NORTH BU,Week 37,2
1303,SOUTHWEST BU,Week 37,1
1304,NORTH BU,Week 37,2
1305,NORTH BU,Week 37,2
1306,SOUTHWEST BU,Week 37,2
1307,NORTH BU,Week 37,2
1308,WEST BU,LIVE,3
1309,EAST BU,Week 37,2
1310,NORTH BU,Week 37,2
1311,SOUTHEAST BU,Week 37,2
1312,EAST BU,Week 37,3
1313,SOUTHWEST BU,Week 37,1
1314,SOUTHEAST BU,Week 37,2
1315,WEST BU,Week 37,2
1316,NORTH BU,Week 37,3
1317,EAST BU,Week 37,3
1318,SOUTHEAST BU,Week 37,2
1319,SOUTHEAST BU,Week 37,2
1320,SOUTHEAST BU,Week 37,2
1321,EAST BU,Week 37,1
1322,EAST BU,Week 37,2
1323,NORTH BU,Week 37,3
1324,SOUTHWEST BU,Week 37,1
1325,SOUTHWEST BU,Week 37,2
1326,WEST BU,Week 37,2
1327,NORTH BU,Week 37,2
1328,WEST BU,Week 37,3
1329,NORTH BU,Week 37,2
1330,NORTH BU,LIVE,2
1331,NORTH BU,Week 37,2
1332,WEST BU,LIVE,2
1333,NORTH BU,LIVE,3
1334,SOUTHWEST BU,Week 37,3
1335,EAST BU,LIVE,3
1336,NORTH BU,Week 37,3
1337,EAST BU,Week 37,2
1338,SOUTHEAST BU,Week 37,2
1339,EAST BU,Week 37,2
1340,SOUTHEAST BU,Week 37,2
1341,NORTH BU,Week 37,2
1342,SOUTHWEST BU,Week 37,1
1344,EAST BU,LIVE,2
1345,EAST BU,Week 37,2
1346,SOUTHWEST BU,Week 37,2
1347,SOUTHWEST BU,LIVE,2
1348,EAST BU,LIVE,1
1349,SOUTHEAST BU,LIVE,1
1350,EAST BU,LIVE,2
1351,NORTH BU,Week 37,2
1352,EAST BU,LIVE,3
1353,SOUTHWEST BU,Week 37,1
1354,EAST BU,Week 37,2
1355,EAST BU,Week 37,2
1356,NORTH BU,Week 37,2
1357,SOUTHWEST BU,Week 37,3
1358,EAST BU,Week 37,2
1359,EAST BU,Week 37,2
1360,NORTH BU,Week 37,2
1361,WEST BU,LIVE,2
1362,SOUTHEAST BU,Week 37,1
1363,SOUTHEAST BU,Week 37,2
1364,WEST BU,Week 37,2
1365,NORTH BU,Week 37,3
1366,NORTH BU,LIVE,3
1367,SOUTHEAST BU,Week 37,1
1368,NORTH BU,Week 37,3
1369,WEST BU,Week 37,3
1370,WEST BU,Week 37,2
1371,NORTH BU,LIVE,2
1372,EAST BU,Week 37,2
1373,SOUTHEAST BU,Week 37,1
1374,SOUTHEAST BU,LIVE,2
1375,SOUTHEAST BU,LIVE,2
1376,SOUTHEAST BU,Week 37,1
1377,NORTH BU,Week 37,2
1378,NORTH BU,Week 37,2
1379,EAST BU,Week 37,2
1380,SOUTHWEST BU,Week 37,3
1381,SOUTHWEST BU,Week 37,2
1382,EAST BU,Week 37,2
1383,EAST BU,Week 37,2
1384,WEST BU,LIVE,3
1385,EAST BU,Week 37,2
1386,NORTH BU,Week 37,3
1387,SOUTHEAST BU,LIVE,2
1388,NORTH BU,Week 37,2
1389,WEST BU,Week 37,3
1390,SOUTHEAST BU,Week 37,1
1391,SOUTHEAST BU,Week 37,2
1392,EAST BU,LIVE,2
1393,WEST BU,Week 37,3
1394,NORTH BU,Week 37,2
1395,NORTH BU,Week 37,3
1396,NORTH BU,Week 37,2
1397,SOUTHWEST BU,Week 37,1
1398,SOUTHEAST BU,LIVE,2
1399,EAST BU,Week 37,3
1400,SOUTHEAST BU,Week 37,1
1401,NORTH BU,Week 37,2
1403,SOUTHEAST BU,Week 37,2
1404,NORTH BU,LIVE,3
1405,SOUTHWEST BU,LIVE,2
1406,EAST BU,Week 37,2
1407,NORTH BU,Week 37,3
1408,SOUTHEAST BU,LIVE,2
1409,SOUTHWEST BU,LIVE,2
1410,NORTH BU,Week 37,2
1411,SOUTHWEST BU,Week 37,1
1412,WEST BU,Week 37,2
1413,NORTH BU,Week 37,2
1414,SOUTHWEST BU,Week 37,3
1415,WEST BU,Week 37,3
1416,NORTH BU,LIVE,3
1417,WEST BU,Week 37,2
1418,NORTH BU,Week 37,2
1419,NORTH BU,Week 37,2
1420,NORTH BU,Week 37,2
1421,NORTH BU,Week 37,2
1422,NORTH BU,LIVE,3
1423,NORTH BU,LIVE,3
1424,EAST BU,Week 37,1
1425,NORTH BU,Week 37,3
1426,NORTH BU,Week 37,1
1427,NORTH BU,Week 37,2
1428,NORTH BU,LIVE,1
1429,NORTH BU,LIVE,2
1430,NORTH BU,Week 37,2
1431,WEST BU,Week 37,3
1432,NORTH BU,LIVE,2
1433,NORTH BU,LIVE,2
1434,WEST BU,LIVE,2
1435,WEST BU,Week 37,3
1436,SOUTHEAST BU,LIVE,2
1437,WEST BU,Week 37,3
1438,WEST BU,Week 37,1
1439,WEST BU,Week 37,1
1440,WEST BU,LIVE,1
1441,NORTH BU,Week 37,2
1442,WEST BU,Week 37,3
1443,NORTH BU,Week 37,1
1444,SOUTHEAST BU,LIVE,2
1445,NORTH BU,LIVE,3
1446,NORTH BU,Week 37,2
1447,WEST BU,Week 37,2
1448,NORTH BU,LIVE,2
1449,NORTH BU,Week 37,2
1450,NORTH BU,Week 37,2
1451,NORTH BU,Week 37,3
1452,EAST BU,Week 37,3
1453,NORTH BU,LIVE,1
1454,NORTH BU,Week 37,2
1455,SOUTHWEST BU,LIVE,2
1456,WEST BU,Week 37,3
1457,WEST BU,Week 37,2
1458,SOUTHEAST BU,Week 37,1
1459,NORTH BU,Week 37,2
1460,WEST BU,Week 37,2
1461,WEST BU,Week 37,2
1462,SOUTHEAST BU,Week 37,3
1463,NORTH BU,Week 37,2
1464,EAST BU,Week 37,1
1465,EAST BU,Week 37,1
1466,SOUTHEAST BU,Week 37,2
1467,SOUTHEAST BU,Week 37,3
1468,SOUTHEAST BU,Week 37,2
1469,SOUTHEAST BU,Week 37,2
1470,WEST BU,Week 37,2
1471,NORTH BU,Week 37,3
1472,WEST BU,Week 37,3
1473,WEST BU,Week 37,2
1474,WEST BU,Week 37,1
1475,WEST BU,Week 37,3
1476,NORTH BU,Week 37,1
1477,NORTH BU,Week 37,2
1478,NORTH BU,Week 37,2
1479,NORTH BU,LIVE,2
1480,NORTH BU,Week 37,3
1481,SOUTHEAST BU,Week 37,2
1482,SOUTHEAST BU,Week 37,2
1483,WEST BU,Week 37,2
1484,SOUTHWEST BU,LIVE,3
1485,WEST BU,Week 37,2
1486,EAST BU,Week 37,2
1487,NORTH BU,LIVE,2
1488,SOUTHEAST BU,Week 37,1
1489,NORTH BU,LIVE,3
1490,NORTH BU,Week 37,2
1491,WEST BU,Week 37,3
1492,WEST BU,LIVE,2
1493,SOUTHEAST BU,Week 37,3
1494,SOUTHWEST BU,LIVE,1
1495,NORTH BU,Week 37,2
1496,WEST BU,Week 37,2
1497,NORTH BU,Week 37,2
1498,EAST BU,LIVE,2
1499,NORTH BU,Week 37,2
1500,WEST BU,Week 37,2
1501,SOUTHEAST BU,Week 37,3
1502,EAST BU,Week 37,2
1503,NORTH BU,Week 37,2
1504,NORTH BU,Week 37,2
1505,NORTH BU,Week 37,1
1506,WEST BU,Week 37,3
1507,SOUTHWEST BU,Week 37,2
1508,WEST BU,Week 37,2
1509,WEST BU,Week 37,3
1510,NORTH BU,Week 37,1
1511,SOUTHEAST BU,LIVE,2
1512,SOUTHWEST BU,Week 37,3
1513,SOUTHEAST BU,Week 37,3
1514,NORTH BU,Week 37,1
1515,NORTH BU,Week 37,2
1516,SOUTHWEST BU,Week 37,3
1517,SOUTHEAST BU,LIVE,2
1518,NORTH BU,Week 37,2
1519,NORTH BU,Week 37,2
1520,WEST BU,Week 37,2
1521,NORTH BU,Week 37,2
1522,EAST BU,LIVE,2
1523,EAST BU,Week 37,2
1524,EAST BU,Week 37,2
1525,EAST BU,Week 37,2
1526,WEST BU,LIVE,3
1527,EAST BU,Week 37,1
1528,WEST BU,Week 37,2
1529,EAST BU,LIVE,1
1530,SOUTHEAST BU,Week 37,2
1531,NORTH BU,Week 37,2
1532,SOUTHWEST BU,Week 37,1
1533,SOUTHWEST BU,Week 37,1
1534,WEST BU,Week 37,2
1535,WEST BU,Week 37,2
1536,SOUTHEAST BU,Week 37,1
1537,EAST BU,LIVE,3
1538,WEST BU,Week 37,2
1539,NORTH BU,LIVE,2
1540,NORTH BU,LIVE,3
1541,SOUTHEAST BU,LIVE,1
1542,NORTH BU,Week 37,2
1543,WEST BU,Week 37,2
1544,EAST BU,LIVE,1
1545,WEST BU,Week 37,2
1546,WEST BU,LIVE,3
1547,NORTH BU,Week 37,2
1548,NORTH BU,Week 37,3
1549,SOUTHWEST BU,Week 37,1
1550,WEST BU,LIVE,3
1551,NORTH BU,Week 37,2
1552,EAST BU,Week 37,2
1553,NORTH BU,Week 37,2
1554,WEST BU,Week 37,1
1555,WEST BU,LIVE,1
1556,NORTH BU,Week 37,1
1557,NORTH BU,Week 37,2
1558,EAST BU,LIVE,2
1559,WEST BU,Week 37,1
1560,WEST BU,Week 37,1
1561,SOUTHEAST BU,Week 37,2
1562,WEST BU,Week 37,3
1563,WEST BU,Week 37,1
1564,NORTH BU,Week 37,1
1565,WEST BU,Week 37,1
1566,NORTH BU,Week 37,2
1567,WEST BU,Week 37,2
1568,NORTH BU,LIVE,1
1569,NORTH BU,Week 37,2
1570,NORTH BU,Week 37,2
