Store Number,Workgroup,City,State,Date Offering Testing Began,Date Offering Testing Ended
3084,Front End,ESCONDIDO,CA,1/30/2022,3/1/2022
3090,Digital,ROCKLIN,CA,1/20/2022,3/1/2022
3101,Digital,ANAHEIM,CA,1/12/2022,3/1/2022
3139,Front End,BAKERSFIELD,CA,1/20/2022,3/1/2022
3352,Overnight,STOCKTON,CA,1/8/2022,3/1/2022
3477,Digital,LONG BEACH,CA,1/6/2022,3/1/2022
3477,TA Availability,LONG BEACH,CA,1/20/2022,3/1/2022
3522,Overnight,BALDWIN PARK,CA,1/12/2022,3/1/2022
4238,Replenishment 1,SANGER,CA,1/12/2022,3/1/2022
4238,Fresh,SANGER,CA,1/30/2022,3/1/2022
4317,Digital,TEHACHAPI,CA,1/10/2022,3/1/2022
5075,Front End,OCEANSIDE,CA,1/13/2022,3/1/2022
5136,Front End,MARYSVILLE,CA,1/3/2022,3/1/2022
5162,Digital,SANTA CLARITA,CA,1/20/2022,3/1/2022
5435,Overnight,SAN JOSE,CA,2/1/2022,3/1/2022
5608,Digital,VACAVILLE,CA,1/20/2022,3/1/2022
5608,Digital,VACAVILLE,CA,2/1/2022,3/1/2022
5632,Fresh,FRESNO,CA,1/30/2022,3/1/2022
5633,Digital,CLOVIS,CA,1/6/2022,3/1/2022
5658,Digital,SANTA MARIA,CA,1/24/2022,3/1/2022
5890,Fresh,ATWATER,CA,1/17/2022,3/1/2022
5890,Front End,ATWATER,CA,1/26/2022,3/1/2022
5956,Front End,VISALIA,CA,1/30/2022,3/1/2022
1554,Front End,STOCKTON,CA,1/12/2022,3/3/2022
1554,Digital,STOCKTON,CA,1/20/2022,3/3/2022
1583,Digital,MADERA,CA,1/24/2022,3/3/2022
1583,Front End,MADERA,CA,2/11/2022,3/3/2022
1651,Digital,AMERICAN CANYON,CA,1/14/2022,3/3/2022
1651,Fresh,AMERICAN CANYON,CA,1/14/2022,3/3/2022
1747,Digital,PERRIS,CA,1/6/2022,3/3/2022
1815,Replenishment 1,FRESNO,CA,1/17/2022,3/3/2022
1903,Digital,YUBA CITY,CA,12/31/2021,3/3/2022
1903,Replenishment 1,YUBA CITY,CA,1/30/2022,3/3/2022
1910,Overnight,CRESCENT CITY,CA,2/11/2022,3/3/2022
1979,Replenishment 1,CLEARLAKE,CA,1/24/2022,3/3/2022
1989,Digital,LOMPOC,CA,1/30/2022,3/3/2022
2001,Digital,FRESNO,CA,2/7/2022,3/3/2022
2150,Front End,SAN DIEGO,CA,1/26/2022,3/3/2022
2190,Front End,WOODLAND,CA,1/24/2022,3/3/2022
2277,Front End,CLOVIS,CA,1/30/2022,3/3/2022
2277,Overnight,CLOVIS,CA,2/7/2022,3/3/2022
2495,Front End,WESTMINSTER,CA,1/24/2022,3/3/2022
2636,Digital,HUNTINGTON BEACH,CA,1/24/2022,3/3/2022
3047,Digital,TURLOCK,CA,1/11/2022,3/3/2022
3248,Front End,LA HABRA,CA,1/10/2022,3/3/2022
3352,Replenishment 1,STOCKTON,CA,1/12/2022,3/3/2022
3455,Digital,RICHMOND,CA,2/7/2022,3/3/2022
3712,Overnight,CITRUS HEIGHTS,CA,2/7/2022,3/3/2022
4393,Front End,NORTH HIGHLANDS,CA,1/10/2022,3/3/2022
4393,Overnight,NORTH HIGHLANDS,CA,1/10/2022,3/3/2022
5032,Overnight,BUENA PARK,CA,1/14/2022,3/3/2022
5133,Digital,ANDERSON,CA,1/24/2022,3/3/2022
5136,Digital,MARYSVILLE,CA,1/5/2022,3/3/2022
5152,Digital,WEST HILLS,CA,1/8/2022,3/3/2022
5192,Digital,ANTELOPE,CA,1/11/2022,3/3/2022
5425,Digital,SAN JACINTO,CA,1/5/2022,3/3/2022
5435,Food and Consumables,SAN JOSE,CA,1/13/2022,3/3/2022
5641,Front End,LA HABRA,CA,1/24/2022,3/3/2022
1616,Front End,SUSANVILLE,CA,1/20/2022,3/11/2022
1826,Front End,VISALIA,CA,1/30/2022,3/11/2022
1979,Overnight,CLEARLAKE,CA,1/14/2022,3/11/2022
1989,Front End,LOMPOC,CA,2/1/2022,3/11/2022
2048,Overnight,FAIRFIELD,CA,1/30/2022,3/11/2022
2082,Front End,CERRITOS,CA,2/18/2022,3/11/2022
2119,Digital,MILPITAS,CA,1/6/2022,3/11/2022
2277,Digital,CLOVIS,CA,1/30/2022,3/11/2022
2556,Overnight,ARROYO GRANDE,CA,2/18/2022,3/11/2022
3455,Front End,RICHMOND,CA,2/7/2022,3/11/2022
5023,Fresh,NATIONAL CITY,CA,1/12/2022,3/11/2022
5751,Fresh,SALINAS,CA,1/30/2022,3/11/2022
2553,Overnight,WINDSOR,CA,3/10/2022,3/21/2022
2002,Overnight,GILROY,CA,4/4/2022,4/18/2022
2044,Overnight,CHICO,CA,5/5/2022,5/24/2022
4309,Digital,ORANGEVALE,CA,5/10/2022,5/24/2022
3352,Fresh,STOCKTON,CA,5/11/2022,6/9/2022
5982,Services Host,SACRAMENTO,CA,5/17/2022,6/9/2022
3047,Digital,TURLOCK,CA,5/10/2022,6/9/2022
3493,Overnight,MARTINEZ,CA,5/24/2022,6/9/2022
5007,Overnight,VACAVILLE,CA,5/31/2022,6/22/2022
2556,Replenishment 1,ARROYO GRANDE,CA,5/31/2022,6/22/2022
2048,Academy,FAIRFIELD,CA,5/31/2022,6/22/2022
2989,Overnight,FREMONT,CA,6/9/2022,6/22/2022
5007,Fresh,VACAVILLE,CA,6/9/2022,6/22/2022
1903,Fashion,YUBA CITY,CA,6/14/2022,7/7/2022
1615,Overnight,PITTSBURG,CA,6/7/2022,7/7/2022
2464,GM Service,SACRAMENTO,CA,6/7/2022,7/7/2022
2553,Front End,WINDSOR,CA,6/14/2022,7/7/2022
1903,Front End,YUBA CITY,CA,6/20/2022,7/7/2022
5425,Overnight,SAN JACINTO,CA,6/20/2022,7/7/2022
1963,Overnight,TURLOCK,CA,6/20/2022,7/7/2022
5807,Fashion,COMPTON,CA,5/3/2022,7/7/2022
5843,Digital,PATTERSON,CA,6/20/2022,7/7/2022
2842,Replenishment 1,CORONA,CA,6/14/2022,7/7/2022
2048,Digital,FAIRFIELD,CA,6/20/2022,7/7/2022
2206,Digital,LAGUNA NIGUEL,CA,6/20/2022,7/7/2022
2119,Digital,MILPITAS,CA,6/14/2022,7/7/2022
5305,Food and Consumables,CHULA VISTA,CA,5/31/2022,7/7/2022
2117,Overnight,LOS BANOS,CA,6/20/2022,7/7/2022
2150,Front End,SAN DIEGO,CA,6/20/2022,7/7/2022
2161,Overnight,PLEASANTON,CA,6/14/2022,7/7/2022
2117,Replenishment 1,LOS BANOS,CA,6/20/2022,7/7/2022
2418,Overnight,PLACERVILLE,CA,6/14/2022,7/7/2022
5661,Fresh,LA MIRADA,CA,5/31/2022,7/7/2022
5305,Replenishment 1,CHULA VISTA,CA,6/20/2022,7/12/2022
5032,GM Service,BUENA PARK,CA,6/14/2022,7/12/2022
3276,Digital,SAN BERNARDINO,CA,6/27/2022,7/12/2022
5843,Fresh,PATTERSON,CA,6/14/2022,7/12/2022
5930,Overnight,ANAHEIM,CA,6/27/2022,7/12/2022
1616,Replenishment 1,SUSANVILLE,CA,6/27/2022,7/27/2022
5606,Fresh,WOODLAND,CA,6/27/2022,7/27/2022
5981,Overnight,CARMICHAEL,CA,7/5/2022,7/27/2022
1912,Fresh,CORONA,CA,7/5/2022,7/27/2022
2119,Overnight,MILPITAS,CA,6/27/2022,7/27/2022
2636,GM Service,HUNTINGTON BEACH,CA,7/5/2022,7/27/2022
1616,Digital,SUSANVILLE,CA,7/5/2022,7/27/2022
2032,Fresh,OXNARD,CA,6/27/2022,7/27/2022
2277,GM Service,CLOVIS,CA,7/5/2022,7/27/2022
1554,Fresh,STOCKTON,CA,7/5/2022,7/27/2022
3352,Digital,STOCKTON,CA,7/11/2022,7/27/2022
5032,Front End,BUENA PARK,CA,7/11/2022,7/27/2022
1697,Customer Host,ELK GROVE,CA,7/11/2022,7/27/2022
3352,Replenishment 1,STOCKTON,CA,7/11/2022,7/27/2022
2150,Food and Consumables,SAN DIEGO,CA,6/20/2022,7/27/2022
2989,Overnight,FREMONT,CA,7/11/2022,7/27/2022
3141,Fresh,BAKERSFIELD,CA,7/5/2022,7/27/2022
1747,Customer Host,PERRIS,CA,7/11/2022,8/2/2022
3141,Overnight,BAKERSFIELD,CA,7/11/2022,8/2/2022
5691,Front End,UPLAND,CA,7/11/2022,8/2/2022
1914,Digital,HIGHLAND,CA,7/19/2022,8/2/2022
2948,Pharmacy,SANTA FE SPRINGS,CA,7/11/2022,8/2/2022
3141,Digital,BAKERSFIELD,CA,7/11/2022,8/2/2022
1747,Digital,PERRIS,CA,7/11/2022,8/2/2022
1879,Fresh,BARSTOW,CA,7/19/2022,8/2/2022
5632,Fashion,FRESNO,CA,7/11/2022,8/2/2022
2161,Service Technician,PLEASANTON,CA,7/11/2022,8/2/2022
2044,Overnight,CHICO,CA,7/19/2022,8/2/2022
2048,Digital,FAIRFIELD,CA,7/11/2022,8/2/2022
2119,Fresh,MILPITAS,CA,7/19/2022,8/2/2022
2842,Fresh,CORONA,CA,7/19/2022,8/2/2022
