Store,USER ID,Store Rank 
3227,J0J02S7,2
2352,s0n04ke,2
5818,TLBLALO,2
1982,k0k01zt,2
240,SCJUSKO,2
2626,t0a090d,2
2783,t0m03h5,2
5845,KDS009F,2
2127,NACAMER,2
2338,lawiere,2
3792,j0k00so,2
2952,vma001j,2
2897,KEG0047,2
802,TLB00N3,2
1007,DBFUNK,2
2084,r0w0dw2,2
4427,baw0063,2
3758,w0s05nc,2
886,BJCARDE,2
1421,ymstamp,2
2251,j0v0ef1,2
5846,L0G03QB,2
3247,mdpeter,2
5203,krwycuf,2
2702,emvandu,2
5820,a0k02pb,2
1792,ANGORMO,2
1696,PSFIAFI,2
209,TDG006G,2
4643,RLB00IS,2
688,g0j009b,2
2633,j0s0csd,2
2716,JEFRASE,2
4644,lkmarin,2
5123,sja0040,2
881,k0w0aji,2
859,waareva,2
901,plsolis,2
2169,dtmicio,2
3607,a0b0a5n,2
480,DJPRYOR,2
2180,SJW008V,2
722,CLSHELN,2
1662,LEC005P,2
2443,lmstude,2
979,dwhubba,2
171,N/A,2
2621,r0m01pj,2
2266,jas00og,2
2894,SLBEVAN,2
5027,N/A,2
3860,sjdurit,2
5192,m0m03r0,2
250,t0h00sy,2
1542,S0E010Y,2
2794,a0w0p7o,2
3722,a0s0kq0,2
2576,tab0043,2
3067,krs007i,2
6951,bas00ar,2
2734,k0c048j,2
2609,a0m03w2,2
7137,N/A,2
2131,a0j06t2,2
2965,L0F01PG,2
243,HMWOODS,2
3867,TATALMA,2
2995,f0h046r,2
1673,N/A,2
896,jmc00oe,2
252,JEOKEEF,2
2093,l0e03zd,2
812,j0r02tz,2
1267,MRGONWA,2
5617,m0b0yd7,2
3322,lmkonec,2
723,M0F03DO,2
5106,e0g0b4e,2
3548,avb001a,2
5316,kmbride,2
3228,ARS008X,2
1764,cjh00dy,2
3522,j0g04qy,2
910,jes00el,2
2418,j0f0hwz,2
757,P0P01Q4,2
4420,KMW00HV,2
2198,k0t03xb,2
5073,c0p07b6,2
1820,RSM006R,2
1095,SVMAGAN,2
1925,KMMCCOR,2
2911,RTURK,2
1646,SLM00KK,2
737,RLP0095,2
2510,m0s0iia,2
1606,kjkrist,2
5441,l0w0bd7,2
5859,M0P02S1,2
1638,j0r08np,2
1739,s0p0cyv,2
96,mdeckho,2
2774,bpdahal,2
1802,KRM0029,2
5434,RLR007Y,2
2092,RLRUPER,2
3796,r0g01ae,2
797,R0S0376,2
3571,DMK0056,2
5960,l0v01er,2
406,m0a0qt3,2
1231,s0c0j3c,2
959,e0e00zb,2
4166,AAH006A,2
671,KSSLAYT,2
1988,e0p0ah1,2
691,k0j08ab,2
2754,w0h03b6,2
3509,j0r0tf7,2
315,RAD0024,2
378,a0r135r,2
2078,JDW00DY,2
2432,K0A01K8,2
6894,a0h0c5k,2
5294,JABUCKO,2
188,BABUNDY,2
582,wlcaple,2
464,jlp009h,2
2095,j0q0133,2
751,dkamil,2
2674,JAHAAS,2
4317,S0M05AE,2
4444,NBRIDI,2
2792,H0C01ZG,2
1577,CAC00HJ,2
2031,aab005g,2
1545,c0m01hw,2
2636,n0m02np,2
1838,c0f02wh,2
3209,J0S04JV,2
2445,N/A,2
2914,SLB00SZ,2
3425,BAJOSEP,2
2316,MCMALCO,2
189,t0b0gnm,2
2102,JDM00JX,2
3319,AACARO,2
3623,mcd004d,2
2948,k0r0drt,2
1960,anvilli,2
1139,j0h0r24,2
5695,AKDOBSO,2
230,m0d0i1x,2
4637,JTS00C2,2
5160,j0w0q6w,2
1786,m0j0869,2
4435,kgs001t,2
3093,a0k0fyc,2
194,j0l0cbp,2
3633,A0L05DZ,2
655,BMASONC,2
1890,ref001z,2
5285,AJB009U,2
1370,AMT00C3,2
1396,BLH009B,2
965,TJF004D,2
4468,j0d0grt,2
3739,dvpalom,2
2120,MMT0067,2
674,ksmay,2
5853,a0w060p,2
2482,smm00hc,2
1539,R0G02TY,2
431,PMYRICK,2
21,CLW00LP,2
1711,a0b13p0,2
657,KSRAGLA,2
1574,CMVELOZ,2
1180,TLA008Q,2
5373,DMO002U,2
4591,KBMONNE,2
770,SLMARCI,2
1733,TJD007X,2
148,kdcombr,2
2929,r0s0eiq,2
4392,djv003t,2
4849,JAS014R,2
5089,a0e00wn,2
