Store,Market,Region,BU
5445,228,76,F
5448,160,16,F
5452,485,59,O
5460,78,6,B
5461,476,60,M
5464,543,64,O
5467,498,59,O
5470,237,22,F
5477,336,40,E
5481,305,26,F
5482,21,2,A
5488,289,75,F
5489,310,4,F
5490,528,64,O
5498,187,16,F
5600,515,61,O
5606,552,61,O
5608,552,61,O
5610,512,61,O
5611,512,61,O
5612,63,6,B
5613,58,64,O
5622,102,72,O
5633,512,61,O
5634,512,61,O
5635,512,61,O
5637,551,61,O
5641,464,58,M
5644,466,58,M
5653,545,72,O
5654,548,72,O
5658,481,61,O
5661,551,61,O
5663,515,61,O
5664,481,61,O
5667,435,53,E
5669,442,53,E
5672,51,5,B
5673,51,5,B
5675,570,64,O
5676,380,54,M
5678,550,61,O
5684,551,61,O
5689,515,61,O
5691,515,61,O
5692,538,72,O
5693,538,72,O
5695,494,59,O
5700,542,64,O
5701,449,57,M
5702,570,64,O
5705,37,4,F
5710,450,56,M
5715,528,64,O
5716,566,59,O
5722,543,64,O
5725,9,61,O
5726,526,64,O
5734,498,59,O
5735,30,2,A
5740,545,72,O
5744,545,72,O
5747,306,26,F
5754,502,59,O
5755,502,59,O
5758,488,72,O
5760,548,72,O
5761,197,19,E
5766,451,56,M
5767,494,59,O
5773,541,64,O
5774,543,64,O
5776,543,64,O
5780,492,72,O
5782,526,64,O
5789,537,72,O
5790,537,72,O
5791,538,72,O
5799,367,46,B
5804,494,59,O
5805,533,64,O
5806,412,52,M
5807,465,57,M
5808,569,6,B
5816,549,72,O
5817,549,72,O
5818,549,72,O
5819,549,72,O
5826,102,72,O
5828,490,61,O
5829,500,59,O
5843,450,56,M
5846,559,72,O
5847,290,75,F
5848,454,56,M
5851,301,26,F
5853,467,60,M
5863,533,64,O
5864,455,56,M
5875,559,72,O
5884,451,56,M
5889,53,5,B
5890,450,56,M
5893,203,19,E
5898,78,6,B
5907,546,59,O
5908,498,59,O
5925,566,59,O
5956,581,57,M
5957,585,54,M
5960,526,64,O
5962,526,64,O
5963,504,64,O
5969,292,76,F
5977,423,52,M
5979,552,61,O
5981,552,61,O
5990,491,61,O
5991,491,61,O
5992,423,52,M
5994,550,61,O
6078,504,64,O
6165,543,64,O
6166,543,64,O
6174,496,59,O
6207,548,72,O
6233,509,59,O
6243,509,59,O
6263,509,59,O
6264,509,59,O
6286,81,7,B
6323,543,64,O
6390,494,59,O
6392,411,47,M
6394,444,53,E
6395,29,4,F
6398,549,72,O
6459,528,64,O
6470,494,59,O
6480,371,46,B
6500,485,59,O
6531,545,72,O
6548,548,72,O
6576,39,4,F
6577,543,64,O
6578,58,64,O
6583,562,64,O
6585,491,61,O
6586,509,59,O
6587,526,64,O
6588,543,64,O
6732,546,59,O
6786,528,64,O
6789,308,26,F
6798,502,59,O
6813,526,64,O
6828,509,59,O
6849,543,64,O
6850,528,64,O
6851,504,64,O
6876,492,72,O
6879,310,4,F
6887,39,4,F
6929,76,5,B
6930,67,6,B
6941,102,72,O
6942,507,64,O
6943,492,72,O
6958,310,4,F
6960,537,72,O
6964,144,11,A
6967,488,72,O
6968,102,72,O
6971,534,72,O
6975,492,72,O
6998,20,2,A
7004,499,59,O
7009,302,26,F
7020,153,12,A
7043,557,61,O
7062,499,59,O
7072,538,72,O
7087,243,41,E
7098,516,59,O
7099,543,64,O
7127,538,72,O
7137,516,59,O
7146,499,59,O
7162,516,59,O
7168,557,61,O
7174,502,59,O
7177,502,59,O
7179,302,26,F
7180,499,59,O
7181,33,4,F
7205,509,59,O
7206,509,59,O
7209,516,59,O
7218,516,59,O
7220,528,64,O
7221,102,72,O
7222,500,59,O
7224,561,64,O
7232,561,64,O
7233,541,64,O
7235,500,59,O
7240,561,64,O
7241,541,64,O
7242,537,72,O
7243,300,4,F
7251,58,64,O
7262,541,64,O
7281,74,7,B
7290,242,41,E
7296,499,59,O
7299,488,72,O
7301,132,13,B
7304,499,59,O
7307,102,72,O
7308,533,64,O
7309,562,64,O
7315,499,59,O
7320,510,61,O
7324,5,12,A
7326,353,44,B
7329,516,59,O
7334,500,59,O
7337,500,59,O
7340,500,59,O
7342,566,59,O
7347,58,64,O
7349,570,64,O
7357,562,64,O
7361,562,64,O
7362,570,64,O
7601,554,59,O
8930,583,5,B
