,,,,,,Action Alley ,,
659,153,12,WM Supercenter,,3,1,1,1
660,137,11,WM Supercenter,,3,1,1,1
661,137,11,WM Supercenter,,3,1,1,1
662,137,11,WM Supercenter,,3,1,1,1
663,119,12,WM Supercenter,,3,1,1,1
664,406,47,WM Supercenter,,3,1,1,1
665,257,41,WM Supercenter,,3,1,1,1
666,116,9,WM Supercenter,,3,1,1,1
667,151,12,WM Supercenter,,3,1,1,1
668,151,12,WM Supercenter,,3,1,1,1
669,120,12,WM Supercenter,,3,1,1,1
670,2,14,WM Supercenter,,3,1,1,1
671,152,12,WM Supercenter,,3,1,1,1
672,122,12,WM Supercenter,,3,1,1,1
673,149,12,WM Supercenter,,3,1,1,1
674,152,12,WM Supercenter,,3,1,1,1
675,146,11,WM Supercenter,,3,1,1,1
676,121,12,WM Supercenter,,3,1,1,1
677,146,11,WM Supercenter,,3,1,1,1
678,123,12,WM Supercenter,,3,1,1,1
680,123,12,WM Supercenter,,3,1,1,1
681,5,12,WM Supercenter,,3,1,1,1
682,151,12,WM Supercenter,,3,1,1,1
683,147,11,WM Supercenter,,3,1,1,1
684,147,11,WM Supercenter,,3,1,1,1
685,123,12,WM Supercenter,,0,,,
686,28,3,WM Supercenter,,1,,,1
687,121,12,WM Supercenter,,3,1,1,1
688,153,12,WM Supercenter,,3,1,1,1
689,257,41,WM Supercenter,,3,1,1,1
690,124,12,WM Supercenter,,3,1,1,1
691,3,14,WM Supercenter,,3,1,1,1
692,260,41,WM Supercenter,,3,1,1,1
693,259,21,Wal-Mart,,0,,,
694,254,41,WM Supercenter,,3,1,1,1
695,152,12,WM Supercenter,,3,1,1,1
696,258,20,Wal-Mart,,0,,,
697,93,3,WM Supercenter,,3,1,1,1
698,119,12,WM Supercenter,,3,1,1,1
699,136,11,WM Supercenter,,3,1,1,1
700,8,14,WM Supercenter,,3,1,1,1
701,254,41,WM Supercenter,,3,1,1,1
702,259,21,WM Supercenter,,3,1,1,1
703,67,6,WM Supercenter,,3,1,1,1
705,89,3,WM Supercenter,,3,1,1,1
706,89,3,WM Supercenter,,3,1,1,1
707,136,11,WM Supercenter,,3,1,1,1
708,140,11,WM Supercenter,,3,1,1,1
709,256,41,WM Supercenter,,3,1,1,1
710,152,12,WM Supercenter,,3,1,1,1
711,257,41,WM Supercenter,,3,1,1,1
712,5,12,WM Supercenter,,3,1,1,1
713,89,3,Wal-Mart,,0,,,
714,327,42,WM Supercenter,,0,,,
715,11,11,WM Supercenter,,3,1,1,1
716,136,11,WM Supercenter,,3,1,1,1
718,116,9,WM Supercenter,,3,1,1,1
719,257,41,WM Supercenter,,3,1,1,1
720,260,41,WM Supercenter,,3,1,1,1
721,118,9,WM Supercenter,,3,1,1,1
722,22,2,WM Supercenter,,3,1,1,1
723,7,14,WM Supercenter,,3,1,1,1
724,123,12,WM Supercenter,,3,1,1,1
725,116,9,WM Supercenter,,3,1,1,1
726,10,14,WM Supercenter,,3,1,1,1
727,22,2,WM Supercenter,,3,1,1,1
728,29,4,WM Supercenter,,1,,,1
729,256,41,WM Supercenter,,3,1,1,1
730,10,14,WM Supercenter,,3,1,1,1
731,11,11,WM Supercenter,,3,1,1,1
733,10,14,WM Supercenter,,3,1,1,1
734,7,14,WM Supercenter,,3,1,1,1
735,151,12,WM Supercenter,,3,1,1,1
736,253,41,WM Supercenter,,1,,,1
737,151,12,WM Supercenter,,3,1,1,1
738,147,11,WM Supercenter,,3,1,1,1
739,258,20,WM Supercenter,,3,1,1,1
740,7,14,WM Supercenter,,3,1,1,1
741,121,12,WM Supercenter,,3,1,1,1
742,124,12,WM Supercenter,,3,1,1,1
743,353,44,WM Supercenter,,3,1,1,1
744,59,6,WM Supercenter,,3,1,1,1
745,19,2,WM Supercenter,,3,1,1,1
746,76,5,WM Supercenter,,3,1,1,1
748,414,52,WM Supercenter,,3,1,1,1
749,414,52,WM Supercenter,,3,1,1,1
750,415,52,WM Supercenter,,0,,,
751,413,52,WM Supercenter,,0,,,
752,63,6,WM Supercenter,,3,1,1,1
753,415,52,WM Supercenter,,3,1,1,1
754,30,2,WM Supercenter,,3,1,1,1
755,70,7,WM Supercenter,,3,1,1,1
756,120,12,WM Supercenter,,3,1,1,1
757,77,7,WM Supercenter,,3,1,1,1
758,32,2,WM Supercenter,,3,1,1,1
759,116,9,WM Supercenter,,0,,,
760,256,41,Wal-Mart,,0,,,
761,129,13,WM Supercenter,,3,1,1,1
762,2,14,WM Supercenter,,0,,,
764,11,11,WM Supercenter,,1,,,1
765,87,7,WM Supercenter,,3,1,1,1
766,137,11,WM Supercenter,,3,1,1,1
767,101,3,WM Supercenter,,3,1,1,1
768,65,6,WM Supercenter,,3,1,1,1
769,115,9,WM Supercenter,,3,1,1,1
770,406,47,WM Supercenter,,3,1,1,1
771,92,9,WM Supercenter,,3,1,1,1
772,64,6,WM Supercenter,,3,1,1,1
773,134,13,WM Supercenter,,3,1,1,1
774,433,47,WM Supercenter,,3,1,1,1
775,279,25,WM Supercenter,,1,,,1
776,433,47,WM Supercenter,,3,1,1,1
777,66,13,WM Supercenter,,1,,,1
778,118,9,WM Supercenter,,3,1,1,1
779,114,3,WM Supercenter,,3,1,1,1
780,21,2,WM Supercenter,,3,1,1,1
781,81,7,WM Supercenter,,3,1,1,1
782,88,7,WM Supercenter,,3,1,1,1
783,359,40,Wal-Mart,,0,,,
784,418,52,WM Supercenter,,3,1,1,1
785,141,13,WM Supercenter,,3,1,1,1
786,264,25,WM Supercenter,,3,1,1,1
787,19,2,WM Supercenter,,0,,,
788,328,42,WM Supercenter,,3,1,1,1
789,583,5,WM Supercenter,,3,1,1,1
790,406,47,WM Supercenter,,3,1,1,1
791,78,6,WM Supercenter,,3,1,1,1
792,279,25,Wal-Mart,,0,,,
793,70,7,WM Supercenter,,3,1,1,1
794,409,44,WM Supercenter,,3,1,1,1
795,33,4,WM Supercenter,,0,,,
796,279,25,WM Supercenter,,3,1,1,1
797,418,52,WM Supercenter,,3,1,1,1
798,273,25,WM Supercenter,,0,,,
799,406,47,WM Supercenter,,3,1,1,1
800,89,3,WM Supercenter,,3,1,1,1
801,360,40,WM Supercenter,,3,1,1,1
802,263,53,WM Supercenter,,3,1,1,1
803,128,13,WM Supercenter,,3,1,1,1
804,48,5,WM Supercenter,,3,1,1,1
805,340,40,WM Supercenter,,3,1,1,1
806,387,46,WM Supercenter,,3,1,1,1
807,50,5,WM Supercenter,,3,1,1,1
808,61,6,WM Supercenter,,3,1,1,1
809,10,14,WM Supercenter,,3,1,1,1
810,426,52,WM Supercenter,,3,1,1,1
811,118,9,WM Supercenter,,3,1,1,1
812,70,7,WM Supercenter,,3,1,1,1
813,81,7,WM Supercenter,,2,,1,1
814,107,9,WM Supercenter,,3,1,1,1
815,336,40,WM Supercenter,,3,1,1,1
816,141,13,WM Supercenter,,3,1,1,1
817,90,9,WM Supercenter,,3,1,1,1
818,15,14,WM Supercenter,,3,1,1,1
819,105,9,WM Supercenter,,3,1,1,1
820,359,40,WM Supercenter,,3,1,1,1
821,71,7,WM Supercenter,,3,1,1,1
822,70,7,WM Supercenter,,3,1,1,1
823,345,44,WM Supercenter,,3,1,1,1
824,385,46,WM Supercenter,,3,1,1,1
825,257,41,WM Supercenter,,3,1,1,1
826,375,46,WM Supercenter,,3,1,1,1
827,45,5,WM Supercenter,,3,1,1,1
828,251,41,WM Supercenter,,3,1,1,1
829,385,46,Wal-Mart,,0,,,
830,279,25,Wal-Mart,,0,,,
833,271,41,WM Supercenter,,0,,,
834,360,40,WM Supercenter,,0,,,
835,385,46,WM Supercenter,,3,1,1,1
836,28,3,WM Supercenter,,3,1,1,1
837,333,40,Wal-Mart,,0,,,
838,345,44,WM Supercenter,,1,,,1
839,130,13,WM Supercenter,,3,1,1,1
840,546,59,Neighborhood Market,,0,,,
841,415,52,Wal-Mart,,0,,,
842,389,54,WM Supercenter,,1,,,1
843,27,3,WM Supercenter,,0,,,
844,262,25,WM Supercenter,,3,1,1,1
845,357,40,Wal-Mart,,0,,,
846,85,6,WM Supercenter,,0,,,
847,438,53,WM Supercenter,,3,1,1,1
848,144,11,WM Supercenter,,3,1,1,1
849,59,6,WM Supercenter,,3,1,1,1
850,385,46,WM Supercenter,,3,1,1,1
851,387,46,WM Supercenter,,3,1,1,1
852,262,25,WM Supercenter,,3,1,1,1
853,1,14,WM Supercenter,,3,1,1,1
854,246,21,WM Supercenter,,3,1,1,1
855,20,2,WM Supercenter,,0,,,
856,22,2,WM Supercenter,,3,1,1,1
857,94,3,WM Supercenter,,3,1,1,1
858,97,14,WM Supercenter,,0,,,
859,116,9,WM Supercenter,,3,1,1,1
860,94,3,WM Supercenter,,3,1,1,1
861,71,7,WM Supercenter,,3,1,1,1
862,28,3,WM Supercenter,,3,1,1,1
863,10,14,WM Supercenter,,2,,1,1
864,28,3,WM Supercenter,,3,1,1,1
865,87,7,WM Supercenter,,3,1,1,1
866,1,14,WM Supercenter,,1,,,1
867,429,47,WM Supercenter,,2,,1,1
868,387,46,WM Supercenter,,3,1,1,1
869,375,46,WM Supercenter,,3,1,1,1
870,580,41,WM Supercenter,,3,1,1,1
871,333,40,Wal-Mart,,0,,,
872,62,6,WM Supercenter,,3,1,1,1
873,375,46,Wal-Mart,,0,,,
874,141,13,WM Supercenter,,3,1,1,1
875,140,11,WM Supercenter,,3,1,1,1
876,127,42,WM Supercenter,,2,,1,1
877,309,26,WM Supercenter,,3,1,1,1
878,24,2,WM Supercenter,,1,,,1
879,152,12,WM Supercenter,,2,,1,1
880,50,5,WM Supercenter,,3,1,1,1
881,41,4,WM Supercenter,,3,1,1,1
882,425,53,WM Supercenter,,3,1,1,1
884,249,41,WM Supercenter,,3,1,1,1
885,433,47,WM Supercenter,,0,,,
886,426,52,WM Supercenter,,3,1,1,1
887,141,13,WM Supercenter,,3,1,1,1
888,334,42,WM Supercenter,,0,,,
889,27,3,WM Supercenter,,3,1,1,1
890,91,9,WM Supercenter,,3,1,1,1
891,279,25,WM Supercenter,,3,1,1,1
892,414,52,WM Supercenter,,3,1,1,1
893,349,44,Wal-Mart,,0,,,
894,356,44,WM Supercenter,,3,1,1,1
895,336,40,Wal-Mart,,0,,,
896,49,5,WM Supercenter,,3,1,1,1
897,73,7,WM Supercenter,,1,,,1
898,73,7,Wal-Mart,,0,,,
899,27,3,WM Supercenter,,3,1,1,1
900,70,7,WM Supercenter,,0,,,
901,77,7,WM Supercenter,,3,1,1,1
902,251,41,WM Supercenter,,3,1,1,1
903,140,11,WM Supercenter,,1,,,1
904,1,14,WM Supercenter,,3,1,1,1
905,379,54,WM Supercenter,,3,1,1,1
906,384,46,WM Supercenter,,3,1,1,1
907,32,2,WM Supercenter,,2,,1,1
908,90,9,WM Supercenter,,3,1,1,1
909,125,13,WM Supercenter,,1,,1,
910,442,53,WM Supercenter,,3,1,1,1
911,128,13,WM Supercenter,,3,1,1,1
912,125,13,WM Supercenter,,3,1,1,1
913,425,53,WM Supercenter,,3,1,1,1
914,322,42,WM Supercenter,,3,1,1,1
915,62,6,WM Supercenter,,3,1,1,1
916,141,13,WM Supercenter,,3,1,1,1
917,81,7,WM Supercenter,,0,,,
918,46,13,WM Supercenter,,3,1,1,1
919,15,14,WM Supercenter,,3,1,1,1
920,546,59,Neighborhood Market,,0,,,
921,388,54,WM Supercenter,,0,,,
922,243,41,WM Supercenter,,3,1,1,1
923,482,41,WM Supercenter,,3,1,1,1
924,378,54,WM Supercenter,,3,1,1,1
925,112,3,Wal-Mart,,0,,,
927,71,7,WM Supercenter,,3,1,1,1
928,98,3,WM Supercenter,,3,1,1,1
929,107,9,WM Supercenter,,3,1,1,1
930,8,14,WM Supercenter,,3,1,1,1
931,92,9,WM Supercenter,,3,1,1,1
932,16,14,WM Supercenter,,3,1,1,1
933,263,53,WM Supercenter,,0,,,
934,1,14,WM Supercenter,,3,1,1,1
935,130,13,WM Supercenter,,3,1,1,1
936,272,25,WM Supercenter,,3,1,1,1
937,26,2,WM Supercenter,,3,1,1,1
938,8,14,WM Supercenter,,3,1,1,1
939,76,5,WM Supercenter,,3,1,1,1
940,479,5,WM Supercenter,,3,1,1,1
941,114,3,WM Supercenter,,3,1,1,1
942,89,3,WM Supercenter,,3,1,1,1
943,91,9,WM Supercenter,,3,1,1,1
944,15,14,WM Supercenter,,3,1,1,1
945,71,7,WM Supercenter,,3,1,1,1
947,350,44,WM Supercenter,,3,1,1,1
948,304,26,WM Supercenter,,3,1,1,1
950,145,11,WM Supercenter,,3,1,1,1
951,85,6,Wal-Mart,,0,,,
952,27,3,WM Supercenter,,3,1,1,1
953,378,54,WM Supercenter,,3,1,1,1
954,141,13,WM Supercenter,,3,1,1,1
955,91,9,WM Supercenter,,3,1,1,1
956,92,9,Wal-Mart,,0,,,
957,279,25,Wal-Mart,,0,,,
958,263,53,WM Supercenter,,3,1,1,1
959,95,3,WM Supercenter,,2,,1,1
960,93,3,WM Supercenter,,3,1,1,1
961,129,13,WM Supercenter,,3,1,1,1
962,389,54,WM Supercenter,,0,,,
963,48,5,WM Supercenter,,3,1,1,1
964,505,7,WM Supercenter,,3,1,1,1
965,438,53,WM Supercenter,,3,1,1,1
966,375,46,WM Supercenter,,3,1,1,1
967,104,3,WM Supercenter,,3,1,1,1
968,116,9,WM Supercenter,,3,1,1,1
969,143,13,WM Supercenter,,1,,,1
970,143,13,WM Supercenter,,3,1,1,1
971,438,53,WM Supercenter,,0,,,
972,479,5,WM Supercenter,,3,1,1,1
973,92,9,WM Supercenter,,3,1,1,1
974,92,9,WM Supercenter,,3,1,1,1
975,350,44,WM Supercenter,,3,1,1,1
976,135,42,WM Supercenter,,3,1,1,1
977,98,3,Wal-Mart,,0,,,
978,406,47,WM Supercenter,,3,1,1,1
979,438,53,WM Supercenter,,3,1,1,1
980,378,54,WM Supercenter,,3,1,1,1
981,138,11,WM Supercenter,,3,1,1,1
982,425,53,WM Supercenter,,3,1,1,1
984,376,54,WM Supercenter,,3,1,1,1
985,418,52,WM Supercenter,,0,,,
986,388,54,Wal-Mart,,0,,,
987,105,9,WM Supercenter,,3,1,1,1
988,104,3,WM Supercenter,,3,1,1,1
989,128,13,WM Supercenter,,3,1,1,1
990,14,14,WM Supercenter,,3,1,1,1
991,1,14,WM Supercenter,,3,1,1,1
992,356,44,WM Supercenter,,3,1,1,1
993,407,47,WM Supercenter,,3,1,1,1
994,104,3,WM Supercenter,,3,1,1,1
995,251,41,WM Supercenter,,3,1,1,1
996,251,41,Wal-Mart,,0,,,
998,485,59,Neighborhood Market,,0,,,
999,86,7,WM Supercenter,,3,1,1,1
1000,569,6,WM Supercenter,,3,1,1,1
1001,389,54,WM Supercenter,,3,1,1,1
1002,580,41,WM Supercenter,,3,1,1,1
1003,262,25,WM Supercenter,,3,1,1,1
1004,115,9,WM Supercenter,,3,1,1,1
1005,426,52,WM Supercenter,,3,1,1,1
1006,27,3,WM Supercenter,,3,1,1,1
1007,438,53,WM Supercenter,,3,1,1,1
1008,378,54,WM Supercenter,,3,1,1,1
1009,333,40,WM Supercenter,,2,,1,1
1010,309,26,WM Supercenter,,3,1,1,1
1011,29,4,WM Supercenter,,2,,1,1
1012,444,53,WM Supercenter,,3,1,1,1
1013,251,41,Wal-Mart,,0,,,
1014,361,40,WM Supercenter,,3,1,1,1
1015,505,7,WM Supercenter,,3,1,1,1
1016,129,13,WM Supercenter,,3,1,1,1
1017,36,4,WM Supercenter,,3,1,1,1
1018,28,3,WM Supercenter,,3,1,1,1
1019,389,54,WM Supercenter,,3,1,1,1
1020,425,53,WM Supercenter,,3,1,1,1
1021,339,40,WM Supercenter,,3,1,1,1
1022,45,5,WM Supercenter,,3,1,1,1
1023,311,20,WM Supercenter,,3,1,1,1
1024,30,2,WM Supercenter,,3,1,1,1
1025,141,13,WM Supercenter,,3,1,1,1
1026,580,41,WM Supercenter,,3,1,1,1
1027,306,26,WM Supercenter,,3,1,1,1
1028,278,25,WM Supercenter,,3,1,1,1
1029,95,3,WM Supercenter,,3,1,1,1
1030,42,4,WM Supercenter,,3,1,1,1
1032,15,14,WM Supercenter,,2,,1,1
1033,243,41,WM Supercenter,,3,1,1,1
1034,305,26,WM Supercenter,,3,1,1,1
1035,42,4,WM Supercenter,,3,1,1,1
1036,294,4,WM Supercenter,,3,1,1,1
1037,33,4,WM Supercenter,,3,1,1,1
1038,425,53,WM Supercenter,,0,,,
1039,304,26,WM Supercenter,,3,1,1,1
1040,65,6,WM Supercenter,,3,1,1,1
1041,569,6,WM Supercenter,,3,1,1,1
1042,85,6,WM Supercenter,,3,1,1,1
1043,350,44,WM Supercenter,,0,,,
1044,45,5,WM Supercenter,,3,1,1,1
1045,379,54,WM Supercenter,,3,1,1,1
1046,88,7,Wal-Mart,,0,,,
1047,20,2,WM Supercenter,,3,1,1,1
1048,257,41,WM Supercenter,,3,1,1,1
1051,71,7,WM Supercenter,,3,1,1,1
1052,11,11,WM Supercenter,,0,,,
1053,242,41,WM Supercenter,,3,1,1,1
1054,411,47,WM Supercenter,,3,1,1,1
1055,583,5,WM Supercenter,,3,1,1,1
1056,353,44,WM Supercenter,,2,,1,1
1057,10,14,WM Supercenter,,0,,,
1058,388,54,WM Supercenter,,3,1,1,1
1059,138,11,WM Supercenter,,0,,,
1060,304,26,WM Supercenter,,3,1,1,1
1061,28,3,WM Supercenter,,0,,,
1062,63,6,WM Supercenter,,3,1,1,1
1063,7,14,Wal-Mart,,0,,,
1064,304,26,WM Supercenter,,3,1,1,1
1065,325,42,WM Supercenter,,3,1,1,1
1066,143,13,WM Supercenter,,3,1,1,1
1067,84,6,Wal-Mart,,0,,,
1068,92,9,WM Supercenter,,3,1,1,1
1069,138,11,WM Supercenter,,0,,,
1070,18,2,WM Supercenter,,1,,,1
1071,341,40,WM Supercenter,,3,1,1,1
1072,27,3,WM Supercenter,,3,1,1,1
1073,81,7,WM Supercenter,,3,1,1,1
1074,136,11,WM Supercenter,,3,1,1,1
1075,149,12,WM Supercenter,,3,1,1,1
1076,32,2,WM Supercenter,,3,1,1,1
1077,97,14,WM Supercenter,,3,1,1,1
1078,74,7,Wal-Mart,,0,,,
1079,94,3,WM Supercenter,,3,1,1,1
1080,124,12,WM Supercenter,,3,1,1,1
1081,93,3,WM Supercenter,,3,1,1,1
1082,98,3,WM Supercenter,,3,1,1,1
1083,101,3,WM Supercenter,,3,1,1,1
1084,91,9,Wal-Mart,,0,,,
1085,104,3,WM Supercenter,,3,1,1,1
1086,90,9,WM Supercenter,,3,1,1,1
1087,107,9,WM Supercenter,,3,1,1,1
1088,143,13,WM Supercenter,,3,1,1,1
1089,120,12,WM Supercenter,,3,1,1,1
1090,101,3,WM Supercenter,,3,1,1,1
1091,7,14,WM Supercenter,,3,1,1,1
1093,273,25,WM Supercenter,,3,1,1,1
1094,361,40,WM Supercenter,,3,1,1,1
1095,388,54,Wal-Mart,,0,,,
1096,304,26,WM Supercenter,,3,1,1,1
1097,309,26,WM Supercenter,,1,,,1
1098,84,6,WM Supercenter,,1,,,1
1099,409,44,WM Supercenter,,3,1,1,1
1100,137,11,WM Supercenter,,0,,,
1101,8,14,WM Supercenter,,3,1,1,1
1102,130,13,WM Supercenter,,3,1,1,1
1103,59,6,WM Supercenter,,0,,,
1104,95,3,WM Supercenter,,3,1,1,1
1105,326,42,WM Supercenter,,3,1,1,1
1106,141,13,WM Supercenter,,0,,,
1107,134,13,WM Supercenter,,0,,,
1108,135,42,WM Supercenter,,0,,,
1109,135,42,WM Supercenter,,3,1,1,1
1110,135,42,WM Supercenter,,0,,,
1111,21,2,WM Supercenter,,3,1,1,1
1112,16,14,WM Supercenter,,3,1,1,1
1113,258,20,WM Supercenter,,3,1,1,1
1114,328,42,WM Supercenter,,0,,,
1115,147,11,WM Supercenter,,0,,,
1116,349,44,WM Supercenter,,3,1,1,1
1117,51,5,WM Supercenter,,3,1,1,1
1118,55,5,WM Supercenter,,3,1,1,1
1119,105,9,Wal-Mart,,0,,,
1120,360,40,WM Supercenter,,3,1,1,1
1121,21,2,WM Supercenter,,3,1,1,1
1122,18,2,WM Supercenter,,3,1,1,1
1123,35,4,WM Supercenter,,3,1,1,1
1124,137,11,WM Supercenter,,3,1,1,1
1125,278,25,WM Supercenter,,3,1,1,1
1126,506,7,WM Supercenter,,3,1,1,1
1128,134,13,WM Supercenter,,3,1,1,1
1129,82,7,WM Supercenter,,3,1,1,1
1130,39,4,WM Supercenter,,1,,,1
1131,304,26,WM Supercenter,,3,1,1,1
1132,298,26,WM Supercenter,,1,,,1
1133,306,26,WM Supercenter,,3,1,1,1
1134,7,14,WM Supercenter,,3,1,1,1
1135,38,4,WM Supercenter,,1,,,1
1136,131,13,WM Supercenter,,3,1,1,1
1137,60,6,WM Supercenter,,1,,,1
1138,441,53,Wal-Mart,,0,,,
1139,259,21,WM Supercenter,,3,1,1,1
1140,259,21,WM Supercenter,,3,1,1,1
1141,249,41,WM Supercenter,,3,1,1,1
1142,243,41,WM Supercenter,,3,1,1,1
1143,30,2,WM Supercenter,,3,1,1,1
1144,42,4,WM Supercenter,,3,1,1,1
1146,36,4,WM Supercenter,,3,1,1,1
1147,328,42,WM Supercenter,,0,,,
1148,349,44,WM Supercenter,,3,1,1,1
1149,367,46,WM Supercenter,,3,1,1,1
1150,85,6,WM Supercenter,,2,,1,1
1151,362,40,WM Supercenter,,3,1,1,1
1152,426,52,WM Supercenter,,3,1,1,1
1153,32,2,WM Supercenter,,3,1,1,1
1154,506,7,WM Supercenter,,3,1,1,1
1155,310,4,WM Supercenter,,3,1,1,1
1156,306,26,WM Supercenter,,3,1,1,1
1157,243,41,WM Supercenter,,3,1,1,1
1158,2,14,WM Supercenter,,3,1,1,1
1159,123,12,Wal-Mart,,0,,,
1160,243,41,WM Supercenter,,3,1,1,1
1161,339,40,WM Supercenter,,3,1,1,1
1162,580,41,WM Supercenter,,3,1,1,1
1163,125,13,WM Supercenter,,3,1,1,1
1164,41,4,WM Supercenter,,3,1,1,1
1165,256,41,WM Supercenter,,3,1,1,1
1166,300,4,Wal-Mart,,0,,,
1167,435,53,WM Supercenter,,3,1,1,1
1168,141,13,WM Supercenter,,3,1,1,1
1169,127,42,WM Supercenter,,0,,,
1170,256,41,WM Supercenter,,2,1,1,
1171,115,9,WM Supercenter,,3,1,1,1
1172,98,3,WM Supercenter,,3,1,1,1
1173,98,3,WM Supercenter,,3,1,1,1
1174,14,14,WM Supercenter,,2,1,,1
1175,364,58,Wal-Mart,,0,,,
1176,441,53,WM Supercenter,,3,1,1,1
1177,340,40,WM Supercenter,,3,1,1,1
1178,50,5,WM Supercenter,,3,1,1,1
1179,294,4,WM Supercenter,,3,1,1,1
1180,243,41,WM Supercenter,,3,1,1,1
1181,26,2,WM Supercenter,,2,1,,1
1182,94,3,WM Supercenter,,3,1,1,1
1183,41,4,WM Supercenter,,2,,1,1
1184,23,2,WM Supercenter,,3,1,1,1
1185,83,7,WM Supercenter,,0,,,
1186,60,6,WM Supercenter,,3,1,1,1
1187,410,44,WM Supercenter,,0,,,
1188,339,40,WM Supercenter,,0,,,
1189,258,20,Wal-Mart,,0,,,
1190,257,41,WM Supercenter,,3,1,1,1
1191,296,26,WM Supercenter,,3,1,1,1
1192,141,13,WM Supercenter,,3,1,1,1
1193,135,42,WM Supercenter,,3,1,1,1
1194,121,12,WM Supercenter,,3,1,1,1
1195,143,13,WM Supercenter,,3,1,1,1
1196,131,13,WM Supercenter,,1,,,1
1197,301,26,WM Supercenter,,1,,,1
1198,506,7,WM Supercenter,,3,1,1,1
1199,388,54,WM Supercenter,,0,,,
1200,391,54,WM Supercenter,,3,1,1,1
1201,3,14,WM Supercenter,,3,1,1,1
1202,439,53,WM Supercenter,,3,1,1,1
1203,114,3,WM Supercenter,,3,1,1,1
1204,66,13,WM Supercenter,,1,,,1
1205,101,3,WM Supercenter,,3,1,1,1
1206,130,13,WM Supercenter,,3,1,1,1
1207,15,14,WM Supercenter,,3,1,1,1
1209,305,26,WM Supercenter,,3,1,1,1
1210,260,41,WM Supercenter,,3,1,1,1
1211,270,25,WM Supercenter,,0,,,
1212,1,14,WM Supercenter,,3,1,1,1
1213,95,3,WM Supercenter,,3,1,1,1
1214,406,47,WM Supercenter,,0,,,
1215,120,12,WM Supercenter,,3,1,1,1
1216,53,5,WM Supercenter,,3,1,1,1
1217,294,4,WM Supercenter,,2,,1,1
1218,366,46,WM Supercenter,,3,1,1,1
1219,101,3,WM Supercenter,,3,1,1,1
1220,90,9,WM Supercenter,,3,1,1,1
1221,409,44,WM Supercenter,,3,1,1,1
1222,14,14,WM Supercenter,,3,1,1,1
1223,97,14,WM Supercenter,,1,,,1
1224,14,14,WM Supercenter,,3,1,1,1
1225,101,3,WM Supercenter,,3,1,1,1
1226,149,12,WM Supercenter,,0,,,
1227,30,2,WM Supercenter,,3,1,1,1
1228,269,25,WM Supercenter,,3,1,1,1
1229,13,14,WM Supercenter,,3,1,1,1
1230,364,58,WM Supercenter,,3,1,1,1
1231,379,54,WM Supercenter,,3,1,1,1
1232,81,7,WM Supercenter,,3,1,1,1
1233,258,20,WM Supercenter,,3,1,1,1
1234,257,41,WM Supercenter,,0,,,
1235,86,7,WM Supercenter,,0,,,
1236,302,26,WM Supercenter,,3,1,1,1
1237,299,26,WM Supercenter,,3,1,1,1
1238,310,4,WM Supercenter,,3,1,1,1
1239,217,21,WM Supercenter,,3,1,1,1
1240,367,46,WM Supercenter,,3,1,1,1
1241,418,52,WM Supercenter,,3,1,1,1
1242,294,4,WM Supercenter,,3,1,1,1
1243,312,75,WM Supercenter,,1,,,1
1244,35,4,WM Supercenter,,1,,,1
1245,114,3,WM Supercenter,,3,1,1,1
1247,258,20,WM Supercenter,,3,1,1,1
1248,144,11,WM Supercenter,,3,1,1,1
1249,74,7,WM Supercenter,,3,1,1,1
1250,56,5,WM Supercenter,,0,,,
1252,380,54,WM Supercenter,,3,1,1,1
1253,82,7,WM Supercenter,,0,,,
1254,76,5,WM Supercenter,,3,1,1,1
1255,309,26,WM Supercenter,,1,,,1
1256,266,25,WM Supercenter,,3,1,1,1
1257,74,7,WM Supercenter,,0,,,
1259,258,20,WM Supercenter,,3,1,1,1
1260,143,13,WM Supercenter,,3,1,1,1
1261,310,4,WM Supercenter,,3,1,1,1
1263,254,41,WM Supercenter,,3,1,1,1
1264,222,21,WM Supercenter,,3,1,1,1
1265,339,40,WM Supercenter,,0,,,
1266,130,13,WM Supercenter,,3,1,1,1
1267,441,53,WM Supercenter,,3,1,1,1
1268,300,4,WM Supercenter,,2,1,,1
1270,39,4,WM Supercenter,,3,1,1,1
1271,138,11,WM Supercenter,,1,,,1
1272,74,7,WM Supercenter,,0,,,
1273,389,54,WM Supercenter,,3,1,1,1
1274,441,53,WM Supercenter,,0,,,
1275,482,41,WM Supercenter,,0,,,
1276,444,53,WM Supercenter,,3,1,1,1
1277,438,53,WM Supercenter,,3,1,1,1
1279,59,6,WM Supercenter,,3,1,1,1
1280,388,54,WM Supercenter,,3,1,1,1
1281,42,4,WM Supercenter,,3,1,1,1
1282,407,47,WM Supercenter,,0,,,
1283,93,3,WM Supercenter,,3,1,1,1
1284,16,14,WM Supercenter,,3,1,1,1
1285,418,52,WM Supercenter,,3,1,1,1
1286,41,4,WM Supercenter,,2,1,,1
1287,296,26,WM Supercenter,,3,1,1,1
1288,296,26,WM Supercenter,,3,1,1,1
1289,221,21,WM Supercenter,,1,,,1
1290,304,26,WM Supercenter,,3,1,1,1
1291,367,46,WM Supercenter,,3,1,1,1
1292,312,75,WM Supercenter,,2,,1,1
1293,30,2,WM Supercenter,,3,1,1,1
1294,247,21,WM Supercenter,,3,1,1,1
1295,350,44,WM Supercenter,,3,1,1,1
1296,569,6,WM Supercenter,,2,,1,1
