Store Number,Vendor,Regular Visits,Plus up Visits,Total WK20 Visits,Regular Visits,Plus up Visits,Total Weekend Visits
2014,American Greetings,2,3,5,0,3,3
2013,American Greetings,3,3,6,1,3,4
2058,American Greetings,2,3,5,0,3,3
2049,American Greetings,3,2,5,1,2,3
1986,American Greetings,3,2,5,1,2,3
2020,American Greetings,2,3,5,0,3,3
2003,American Greetings,2,3,5,0,3,3
2046,American Greetings,3,2,5,1,2,3
2035,American Greetings,3,2,5,1,2,3
1978,American Greetings,3,2,5,1,2,3
1965,American Greetings,2,3,5,0,3,3
1948,American Greetings,3,2,5,1,2,3
2069,American Greetings,3,2,5,1,2,3
2072,American Greetings,3,2,5,1,2,3
2056,American Greetings,3,2,5,1,2,3
1994,American Greetings,3,2,5,1,2,3
2083,American Greetings,2,3,5,0,3,3
2022,American Greetings,3,2,5,1,2,3
2063,American Greetings,3,2,5,1,2,3
2047,American Greetings,2,3,5,0,3,3
1991,American Greetings,3,2,5,1,2,3
2067,American Greetings,4,2,6,1,2,3
2057,American Greetings,3,2,5,1,2,3
2065,American Greetings,3,2,5,1,2,3
2124,American Greetings,3,2,5,1,2,3
2073,American Greetings,2,3,5,0,3,3
2078,American Greetings,3,2,5,1,2,3
2081,American Greetings,2,3,5,0,3,3
2086,American Greetings,2,3,5,0,3,3
2201,American Greetings,2,3,5,0,3,3
2085,American Greetings,3,2,5,1,2,3
1801,American Greetings,3,2,5,1,2,3
12,American Greetings,3,2,5,1,2,3
61,American Greetings,3,2,5,1,2,3
75,American Greetings,2,3,5,0,3,3
85,American Greetings,3,2,5,1,2,3
148,American Greetings,3,2,5,1,2,3
184,American Greetings,3,2,5,1,2,3
213,American Greetings,2,3,5,0,3,3
219,American Greetings,3,2,5,1,2,3
322,American Greetings,3,2,5,1,2,3
335,American Greetings,3,2,5,1,2,3
459,American Greetings,3,2,5,1,2,3
1958,American Greetings,2,3,5,0,3,3
481,American Greetings,3,2,5,1,2,3
489,American Greetings,2,3,5,0,3,3
1973,American Greetings,3,2,5,1,2,3
1975,American Greetings,3,2,5,1,2,3
