Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
60,5935,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,41,86.20%,89.50%,13.7,90.70%,77.20%,85.10%,91.40%
52,3404,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,16,88.60%,93.50%,12.5,88.70%,89.20%,90.10%,86.20%
52,1855,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,24,70.70%,72.50%,17,65.30%,65.30%,85.90%,69.80%
52,2198,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,12,91.00%,93.60%,13.1,84.20%,90.70%,96.10%,93.50%
57,1560,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,9,81.90%,89.70%,14.4,88.60%,70.40%,80.20%,90.70%
57,2050,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,4,78.00%,73.40%,19.9,79.00%,64.20%,82.40%,82.70%
57,2593,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,4,80.70%,77.40%,20,82.60%,74.20%,77.50%,87.10%
57,1439,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,4,81.10%,91.20%,22.8,92.60%,82.30%,66.10%,79.00%
57,3220,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,80.20%,81.60%,20.1,90.00%,78.90%,68.70%,80.50%
57,3180,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,4,77.90%,86.30%,18.6,82.90%,57.10%,77.80%,88.00%
54,1888,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,10,77.90%,66.00%,20.2,86.60%,60.50%,72.60%,91.90%
54,3366,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,48,86.80%,71.50%,27.1,92.60%,90.60%,90.10%,72.60%
54,2293,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,37,91.60%,85.70%,8.8,94.90%,84.00%,93.90%,96.70%
54,3533,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,79.70%,85.30%,19.9,81.00%,76.70%,79.30%,82.10%
47,1534,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,9,86.50%,83.20%,14,91.20%,85.70%,85.60%,83.10%
47,1581,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,11,80.60%,70.20%,15.7,71.10%,85.60%,79.70%,86.80%
47,1543,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,3,77.90%,74.10%,11.5,69.40%,88.50%,82.00%,71.00%
47,1604,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,3,83.50%,64.30%,14.8,77.50%,90.70%,82.10%,83.70%
47,3872,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,2,86.50%,78.90%,14.1,82.40%,87.00%,88.40%,87.40%
47,1778,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,2,84.50%,80.50%,9.6,91.10%,77.20%,87.80%,81.00%
47,2084,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,4,93.60%,61.60%,15,98.70%,92.30%,94.40%,88.80%
22,1977,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,9,74.70%,95.30%,21.1,90.30%,86.30%,56.00%,61.00%
22,2195,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,18,88.90%,95.30%,15.8,92.20%,90.90%,89.10%,82.90%
22,3337,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,2,87.20%,91.70%,12.5,96.70%,84.30%,82.10%,85.20%
16,1994,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202425,8,91.50%,94.40%,13.6,91.90%,87.90%,88.40%,94.50%
16,2222,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,34,79.40%,83.70%,15.2,67.10%,76.10%,92.60%,84.50%
16,2046,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,18,83.50%,89.20%,11.8,74.40%,91.00%,83.20%,85.70%
16,2142,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,34,90.90%,88.10%,12.2,87.50%,94.90%,90.10%,91.20%
16,2504,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,4,87.30%,97.10%,13,94.10%,85.20%,86.00%,84.20%
76,2210,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,20,85.50%,77.00%,15.3,92.10%,82.60%,87.80%,80.20%
26,5481,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,39,85.70%,92.10%,12.6,87.30%,77.90%,87.70%,90.40%
26,1097,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,82.80%,77.90%,12.2,84.40%,82.40%,80.20%,84.30%
76,2059,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,20,74.00%,80.30%,23.2,82.00%,71.70%,64.20%,80.10%
76,1985,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,4,88.80%,94.50%,10.2,89.20%,87.20%,93.80%,84.90%
26,4250,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,44,93.00%,95.90%,11.7,96.80%,94.70%,92.40%,87.40%
59,7162,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,8,68.80%,57.50%,24,69.30%,50.00%,75.00%,89.30%
75,1875,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,78.70%,79.60%,16.8,89.40%,71.60%,63.80%,88.80%
75,2279,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,87.80%,88.20%,15.7,79.00%,88.70%,92.50%,92.10%
75,2435,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,35,87.90%,95.30%,15.6,84.00%,88.30%,89.70%,90.10%
4,2348,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,48,93.60%,82.70%,12,92.40%,97.30%,94.60%,89.60%
4,643,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,5,93.00%,91.70%,12.2,96.60%,98.50%,91.80%,84.90%
17,5095,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,44,85.00%,95.50%,14.5,95.00%,78.30%,74.70%,93.80%
17,2064,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,2,85.40%,96.40%,12.2,86.30%,86.10%,86.30%,82.60%
