Market,Club Number,PRIMARY TEAM,SECONDARY TEAM,TERTIARY TEAM
39,8175,PENN STATE,PITTSBURGH STEELERS,N/A
39,4994,PENN STATE,PITTSBURGH STEELERS,N/A
39,6330,PHILADELPHIA EAGLES,N/A,N/A
39,6536,PHILADELPHIA EAGLES,NEW YORK GIANTS,N/A
39,6693,PHILADELPHIA EAGLES,N/A,N/A
39,6567,PHILADELPHIA EAGLES,PITTSBURGH STEELERS,N/A
39,6332,PHILADELPHIA EAGLES,N/A,N/A
39,8145,PHILADELPHIA EAGLES,N/A,N/A
39,8144,PHILADELPHIA EAGLES,N/A,N/A
39,4722,PHILADELPHIA EAGLES,N/A,WILLIAMSTOWN HIGH SCHOOL
39,6676,PHILADELPHIA EAGLES,N/A,N/A
39,6670,PHILADELPHIA EAGLES,N/A,N/A
33,6575,PITTSBURGH,PITTSBURGH STEELERS,N/A
33,6677,PITTSBURGH,PITTSBURGH STEELERS,N/A
33,6679,PITTSBURGH,PITTSBURGH STEELERS,N/A
40,6581,PITTSBURGH STEELERS,PHILADELPHIA EAGLES,N/A
27,6251,PITTSBURGH STEELERS,W VIRGINIA,N/A
37,4859,PITTSBURGH STEELERS,PITTSBURGH,N/A
37,4952,PITTSBURGH STEELERS,PITTSBURGH,N/A
33,6678,PITTSBURGH STEELERS,PITTSBURGH,N/A
33,4847,PITTSBURGH STEELERS,PITTSBURGH,N/A
37,6547,PITTSBURGH STEELERS,PITTSBURGH,N/A
38,4855,PITTSBURGH STEELERS,PITTSBURGH STEELERS,N/A
13,4721,PRAIRIE VIEW A&M,DALLAS COWBOYS,TEXAS SOUTHERN
15,8274,PRAIRIE VIEW A&M,HOUSTON TEXANS,N/A
21,6424,PURDUE,INDIANA,N/A
21,8169,PURDUE,INIANAPOLIS COLTS,N/A
39,6671,RUTGERS,NEW YORK GIANTS,N/A
1,4819,SAN FRANCISCO 49ERS,USC TROJANS,N/A
1,4767,SAN FRANCISCO 49ERS,UCLA,N/A
1,6405,SAN FRANCISCO 49ERS,N/A,N/A
1,6612,SAN FRANCISCO 49ERS,CAL BERKLEY,N/A
1,6433,SAN FRANCISCO 49ERS,N/A,N/A
1,6620,SAN FRANCISCO 49ERS,N/A,FOLSOM HIGH SCHOOL
1,6621,SAN FRANCISCO 49ERS,N/A,N/A
1,4799,SAN FRANCISCO 49ERS,N/A,N/A
29,4820,SAVANNAH STATE,ATLANTA FALCONS,N/A
29,4879,S CAROLINA,CLEMSON,N/A
35,6203,S CAROLINA,CLEMSON,CLAFIN U
30,6236,S CAROLINA,CLEMSON,N/A
35,4872,S CAROLINA,CLEMSON,N/A
35,6571,S CAROLINA,CLEMSON,N/A
29,6582,S CAROLINA,N/A,N/A
35,8283,S CAROLINA,BENEDICT,N/A
7,8165,S DAKOTA STATE,MINNESOTA VIKINGS,N/A
19,8180,SOUTHERN ILLINOIS,N/A,N/A
17,6503,SOUTHERN MISSISSIPPI,N/A,N/A
17,6527,SOUTHERN,LSU,N/A
31,4852,TAMPA BAY BUCCANEERS,SOUTH FLORIDA,N/A
32,6520,TAMPA BAY BUCCANEERS,N/A,N/A
36,8290,TAMPA BAY BUCCANEERS,CENTRAL FLORIDA,N/A
31,6387,TAMPA BAY BUCCANEERS,N/A,N/A
31,6403,TAMPA BAY BUCCANEERS,FLORIDA STATE,N/A
31,6401,TAMPA BAY BUCCANEERS,SOUTH FLORIDA,N/A
31,6420,TAMPA BAY BUCCANEERS,N/A,N/A
31,4801,TAMPA BAY BUCCANEERS,SOUTH FLORIDA,N/A
31,6448,TAMPA BAY BUCCANEERS,N/A,N/A
31,8201,TAMPA BAY BUCCANEERS,N/A,N/A
31,4861,TAMPA BAY BUCCANEERS,N/A,N/A
31,4772,TAMPA BAY BUCCANEERS,N/A,N/A
11,6244,TCU,DALLAS COWBOYS,N/A
23,6501,TENNESSEE,MTSU,N/A
23,6249,TENNESSEE,TENNESSEE TITANS,VANDERBILT
23,4930,TENNESSEE,TENNESSEE TITANS,N/A
23,6507,TENNESSEE,TENNESSEE TITANS,N/A
27,8256,TENNESSEE,TENNESSEE TITANS,N/A
23,8112,TENNESSEE,UT Chattanooga,N/A
27,6572,TENNESSEE,TENNESSEE TITANS,N/A
27,8222,TENNESSEE,E TENNESSEE STATE,N/A
23,6256,TENNESSEE TITANS,N/A,N/A
23,6260,TENNESSEE TITANS,N/A,N/A
23,8257,TENNESSEE TITANS,N/A,N/A
23,8292,TENNESSEE TITANS,MEMPHIS,N/A
23,6512,TENNESSEE TITANS,AUSTIN PEAY STATE,NORTHEAST HIGH SCHOOL
27,6518,TENNESSEE TITANS,TENNESSEE,N/A
23,8294,TENNESSEE TITANS,TENNESSEE STATE,N/A
13,4720,TEXAS,DALLAS COWBOYS,N/A
14,4795,TEXAS,DALLAS COWBOYS,N/A
12,6262,UTSA,DALLAS COWBOYS,N/A
13,6338,TEXAS A&M,DALLAS COWBOYS,N/A
15,4769,TEXAS SOUTHERN,HOUSTON TEXANS,N/A
12,4958,TEXAS STATE,TEXAS,N/A
6,8270,TEXAS TECH,KANSAS CITY CHIEFS,N/A
2,4709,UCLA,LOS ANGELES RAMS,N/A
40,6636,UCONN,N/A,N/A
40,6674,UCONN,NEW YORK JETS,N/A
3,4730,UTAH,BYU,N/A
3,4718,UTAH,N/A,N/A
3,6683,UTAH,BYU,N/A
3,6682,UTAH,UTAH STATE ,N/A
3,6686,UTAH,UTAH STATE ,N/A
3,4786,UTAH STATE ,N/A,N/A
34,6365,VIRGINIA,WASHINGTON COMMANDRS,N/A
34,6524,VIRGINIA STATE,WASHINGTON COMMANDRS,N/A
34,8220,VIRGINIA TECH,WASHINGTON COMMANDRS,N/A
34,4996,WASHINGTON COMMANDRS,VIRGINIA,N CAROLINA A&T STATE
38,6371,WASHINGTON COMMANDRS,VIRGINIA,N/A
34,6343,WASHINGTON COMMANDRS,VIRGINIA TECH,VIRGINIA UNION
34,4710,WASHINGTON COMMANDRS,N/A,N/A
38,4729,WASHINGTON COMMANDRS,VIRGINIA,N/A
38,6655,WASHINGTON COMMANDRS,BOWIE STATE,N/A
34,6354,WASHINGTON COMMANDRS,VIRGINIA STATE,N/A
38,8193,W VIRGINIA,MARYLAND,N/A
34,6569,W VIRGINIA,WASHINGTON COMMANDRS,N/A
27,6457,W VIRGINIA,W VIRGINIA STATE,N/A
27,6373,W VIRGINIA,N/A,N/A
34,4860,W VIRGINIA,N/A,N/A
33,8189,W VIRGINIA,N/A,N/A
33,4936,W VIRGINIA,N/A,N/A
22,4876,WESTERN KENTUCKY,KENTUCKY,N/A
34,8228,WINSTON-SALEM STATE,CAROLINA PANTHERS,N/A
18,6321,WISCONSIN,GREEN BAY PACKERS,N/A
20,4840,WISCONSIN,GREEN BAY PACKERS,N/A
18,8185,WISCONSIN,GREEN BAY PACKERS,N/A
18,6436,WISCONSIN,GREEN BAY PACKERS,N/A
7,6430,WYOMING,N/A,N/A
7,6425,WYOMING,N/A,N/A
36,6225,N/A,N/A,N/A
36,6680,N/A,N/A,N/A
36,6270,N/A,N/A,N/A
36,6543,N/A,N/A,N/A
36,6690,N/A,N/A,N/A
36,4866,N/A,N/A,N/A
36,6689,N/A,N/A,N/A
32,6445,N/A,N/A,N/A
