Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1129,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Recovering,Store Focus,202222,87.72%,78.38%,19.3,93.20%,92.50%,89.70%,80.80%
1129,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202222,88.32%,83.32%,12.2,90.90%,91.70%,89.00%,77.50%
1253,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Store Focus,202222,89.20%,79.62%,9.8,84.60%,93.90%,90.40%,89.10%
2991,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,87.50%,78.02%,14.5,89.10%,93.90%,85.10%,79.90%
4130,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202222,83.98%,72.79%,15.7,85.50%,85.90%,85.60%,80.60%
4163,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,79.81%,66.61%,14.5,81.20%,88.70%,69.30%,79.40%
4219,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202222,71.32%,74.46%,13.8,71.40%,65.10%,71.80%,77.80%
4554,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202222,84.15%,81.84%,9.4,81.50%,80.90%,88.40%,87.90%
475,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202222,92.90%,88.04%,11.2,97.30%,90.30%,89.80%,93.70%
475,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202222,91.82%,85.30%,9.3,91.70%,95.60%,87.00%,94.80%
1185,DOORDASH,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202222,75.80%,64.43%,29.4,91.10%,95.00%,77.20%,64.20%
1185,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202222,76.12%,72.65%,19.8,79.70%,83.70%,75.30%,68.80%
3169,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202222,76.52%,71.92%,17.3,86.90%,85.20%,83.60%,62.30%
3170,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202222,72.96%,64.90%,12.1,66.30%,69.80%,84.40%,73.80%
3569,DOORDASH,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202222,72.25%,61.28%,24.2,66.00%,74.00%,69.40%,76.00%
5479,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202222,85.91%,69.62%,15.4,88.60%,83.60%,90.90%,79.20%
5480,DOORDASH,Scheduled Standard Delivery,18,Executive Review,Recovering,Store Focus,202222,88.39%,69.25%,12.7,95.10%,90.90%,81.20%,89.70%
5480,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202222,93.52%,73.97%,12.1,97.70%,91.70%,87.50%,97.90%
940,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Store Focus,202222,84.85%,74.50%,13.6,93.80%,91.40%,73.90%,78.60%
3198,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,85.52%,63.69%,17.1,79.70%,80.30%,89.60%,92.80%
3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202222,63.75%,78.21%,16.9,88.60%,77.40%,36.80%,55.40%
7224,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,82.85%,72.54%,18.1,89.00%,89.90%,63.80%,88.40%
1967,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,90.40%,83.78%,19.3,95.80%,97.80%,94.40%,78.10%
1967,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,88.10%,86.56%,14.1,93.60%,96.20%,92.50%,68.80%
2174,UBER,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202222,77.90%,79.06%,19,93.10%,97.20%,80.30%,50.80%
2386,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202222,84.53%,91.97%,8.6,96.40%,82.30%,80.50%,78.40%
2386,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202222,58.28%,92.52%,7.8,67.30%,75.20%,43.50%,49.00%
5278,DOORDASH,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202222,86.65%,86.33%,25.2,88.10%,91.30%,86.40%,80.60%
5278,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,83.02%,85.98%,17.1,87.80%,86.40%,85.70%,67.20%
2629,POINTPICKUP,Scheduled Express Delivery ,28,Executive Review,Degrading,Store Focus,202222,86.08%,83.91%,14.5,78.30%,85.20%,93.80%,92.30%
3409,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202222,86.64%,74.22%,12,84.50%,97.10%,77.50%,88.00%
4387,DOORDASH,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202222,69.57%,63.13%,29.8,85.40%,89.20%,74.90%,40.10%
4387,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202222,81.76%,72.01%,19,91.50%,95.70%,83.90%,41.40%
1762,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202222,80.39%,65.69%,12.2,87.10%,76.40%,79.40%,78.00%
2222,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202222,68.06%,67.52%,19.2,73.10%,72.90%,60.50%,67.30%
3114,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202222,56.61%,61.14%,24,75.80%,60.30%,50.10%,41.20%
3535,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,89.83%,83.61%,12.7,85.50%,90.60%,87.00%,95.20%
3535,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202222,89.36%,85.68%,10.8,95.00%,89.00%,88.50%,84.30%
1970,DOORDASH,Scheduled Standard Delivery,39,Executive Review,Recovering,Store Focus,202222,89.22%,71.62%,14,95.70%,94.30%,82.50%,85.80%
1970,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,85.42%,77.51%,12.7,89.10%,89.80%,83.80%,79.40%
2103,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202222,86.37%,78.14%,14.8,88.50%,91.80%,87.20%,76.50%
2128,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,89.22%,83.35%,12.4,95.60%,96.00%,77.10%,86.70%
2336,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202222,75.97%,55.09%,17.7,76.90%,76.40%,77.10%,73.50%
2341,DOORDASH,Scheduled Standard Delivery,48,Executive Review,Degrading,Store Focus,202222,74.36%,86.26%,18.8,80.60%,77.90%,75.20%,67.50%
2341,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202222,54.63%,86.24%,14.8,55.60%,68.20%,53.50%,45.40%
2095,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,85.84%,56.96%,19.4,84.00%,86.20%,87.10%,85.20%
2095,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202222,78.97%,52.30%,20.1,71.50%,78.90%,90.20%,77.00%
2157,DOORDASH,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202222,88.41%,85.81%,14.8,88.10%,89.70%,88.90%,87.30%
2157,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,74.08%,80.51%,25.5,76.90%,81.80%,68.30%,72.30%
2157,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,79.98%,82.43%,19.5,88.80%,83.30%,78.90%,68.50%
2366,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,91.20%,88.68%,11,87.50%,94.60%,95.70%,86.70%
2953,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202222,84.76%,88.29%,14.6,89.10%,88.10%,80.90%,80.50%
5448,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Recovering,Store Focus,202222,90.89%,87.72%,11.5,93.20%,90.00%,88.90%,89.80%
5448,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202222,91.82%,86.60%,11.9,90.40%,91.90%,97.10%,89.70%
1873,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,82.28%,74.54%,17.9,89.90%,96.20%,81.40%,68.10%
1964,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202222,89.93%,71.62%,11.2,80.00%,100.00%,85.10%,90.20%
1964,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,84.21%,66.81%,15,82.10%,91.60%,86.40%,77.00%
2225,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,80.12%,84.67%,23,87.30%,91.60%,86.50%,54.30%
2225,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202222,82.37%,88.35%,15.5,91.40%,87.40%,82.60%,63.90%
2261,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202222,81.42%,82.30%,10.5,61.30%,93.10%,78.80%,82.00%
2283,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,70.45%,61.30%,18.2,55.20%,63.60%,63.10%,80.80%
2283,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,75.64%,62.12%,17.1,67.70%,69.20%,80.90%,85.60%
