Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
22,Dept 79,"Purified Water 10oz 15PK (2 for $5!), 25 units",4-way,2,45,
22,Dept 92,Kraft Miracle Whip HP  (160 pieces),Half Stack,1,45,
22,Dept 92,"Quaker Oatmeal Value Pack Half Pallet, 90ct",Half Stack,2,45,
22,Dept 92,"WIC Cheerios Pallet, 192ct",Full Stack,2,45,
22,Dept 95,224 Ocean Spray 64oz PALLET 6 FLAVORS,Full Stack,1,45,
22,Dept 95,288PC NPL SPLASH DRP,Full Stack,1,45,
23,Dept 02,Jergens Loyalty Size 72 pcs,4-way,1,45,
23,Dept 40,EQ 91% Isopropyl Alcohol 32oz,PDQ,1,45,
23,Dept 40,EQ CH IBU/APAP 8OZ,PDQ,1,45,
23,Dept 40,Eq Omep 42Ct 180pcs,Full Endcap,1,45,
23,Dept 79,"Purified Water 10oz 15PK (2 for $5!), 25 units",4-way,1,45,
24,Dept 08,"VL Pine Bedding 141L, 50 units",Full Stack,1,45,
24,Dept 13,48 CT BTS LIBMAN,Half Stack,2,45,
24,Dept 79,Assortment: Parent's Choice 4PK Electrolyte Drink,4-way,2,45,
24,Dept 92,720 CT Kraft Original Mac & Cheese 1/2 Pallet,Half Stack,2,45,
24,Dept 92,"Quaker Oatmeal Value Pack Half Pallet, 90ct",Half Stack,2,45,
25,Dept 04,Molded fiber 64ct plate and 64ct platter,Half Stack,1,45,
25,Dept 07,2pk Giganitcs (DumpTruck/Firetruck) 12pc Assortment,Half Stack,2,45,
25,Dept 08,"Vibrant Life Cedar Pet Bedding 141L, 50 units",Full Stack,1,45,
25,Dept 09,"Reusable warmer 2 pk, 24pcs",SDK,1,45,
25,Dept 09,"Seat Warmer, 18pcs",SDK,1,45,
25,Dept 10,"Trico Winter Ice Wiper Blade, 72 pcs",Half Stack,1,45,
25,Dept 14,Holiday Time Foil ,Half Stack,1,45,
25,Dept 22,"MossyOak, Realtree, Duck, Timber Faux Fur Throw 72",Half Stack,1,45,
25,Dept 29,Fuzzy Babba P1 Slipper Sock 100pc,Half Stack,1,45,
