Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
2921,"HARRISVILLE, UT",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2922,"TUCSON (FOOTHILLS), AZ",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2923,"BILLINGS, MT",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2924,"ALBUQUERQUE (W), NM",BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2928,"GOOSE CREEK, SC",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2931,SALISBURY MD,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2932,"KNOXVILLE (SW), TN",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2934,"PARIS, IL",BASE STR Supercenter,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2935,"KNOXVILLE, IA",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2937,"HIBBING, MN",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2938,"LAFAYETTE (S), LA",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2941,"ATLANTA, GA",BASE STR Supercenter,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2945,PARKESBURG PA,BASE STR Supercenter,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2946,FORT LAUDERDALE BRWD BLVD,BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2947,"VANCOUVER, WA",BASE STR Wal-Mart,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2948,SANTA FE SPRINGS CA,BASE STR Supercenter,249945,004W TREC LPP 24,Hart Endcap MOD CAT 545/550,
2950,"PALMDALE (EAST), CA",BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2951,"LANCASTER (EAST), CA",BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2953,"SWANSEA, MA",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2955,KANSAS CITY MO,BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2956,"JOLIET (N), IL",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2957,"DETROIT LAKES, MN",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2958,APPLETON (E),BASE STR Supercenter,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2959,ROSEVILLE,BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2962,POMPANO BEACH FL,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2963,"CORAL SPRINGS, FL",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2964,"LEOMINSTER, MA",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2965,"NEWINGTON, CT",BASE STR Wal-Mart,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2966,WADSWORTH OH,BASE STR Supercenter,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2967,"FORT WRIGHT, KY",BASE STR Supercenter,249945,004W TREC LPP 24,Hart Endcap MOD CAT 545/550,
2968,"CARROLLTON, KY",BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2973,"MURPHY, TX",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2980,"FT WORTH (N), TX",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2985,"FRESNO, CA EF",BASE STR Supercenter,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2986,NEENAH WI,BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2988,"LA FAYETTE, GA",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2990,"MITCHELL, SD",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2991,"CEDAR PARK, TX",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2992,"CORNING, NY",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2993,"SUGAR LAND, TX",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2994,"ST. JOSEPH (S), MO",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2996,"DALLAS (NW), TX",BASE STR Supercenter,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
3004,CHICAGO CICERO IL,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
3014,DALLAS S TX,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
3017,SPRING HILL TN,BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
