Region,Store,Format,BU,City,St
3,1311,Large,A - SOUTHEAST BU,COLUMBUS,GA
4,1337,Large,F - EAST BU,ELKIN,NC
3,1338,Large,A - SOUTHEAST BU,COLUMBUS,GA
13,1353,Large,B - SOUTHWEST BU,HARAHAN,LA
57,1364,Large,M - WEST BU,LAKE HAVASU CITY,AZ
4,1383,Large,F - EAST BU,BEAUFORT,SC
9,1390,Large,A - SOUTHEAST BU,PINELLAS PARK,FL
3,1391,Large,A - SOUTHEAST BU,DAYTONA BEACH,FL
6,1409,Large,B - SOUTHWEST BU,HOUSTON,TX
46,1411,Large,B - SOUTHWEST BU,GREEN VALLEY,AZ
54,1412,Large,M - WEST BU,LARAMIE,WY
21,1427,Large,E - NORTH BU,CIRCLEVILLE,OH
46,1438,Large,B - SOUTHWEST BU,CEDAR CITY,UT
4,1464,Large,F - EAST BU,CHARLOTTE,NC
54,1483,Large,M - WEST BU,YANKTON,SD
2,1488,Large,A - SOUTHEAST BU,DOUGLASVILLE,GA
41,1505,Large,E - NORTH BU,PIKEVILLE,KY
75,1523,Large,F - EAST BU,GLEN ALLEN,VA
26,1527,Large,F - EAST BU,ELIZABETH CITY,NC
22,1529,Large,F - EAST BU,YORK,PA
12,1530,Large,A - SOUTHEAST BU,CLEVELAND,MS
46,1533,Large,B - SOUTHWEST BU,PEORIA,AZ
9,1536,Large,A - SOUTHEAST BU,ST PETERSBURG,FL
54,1538,Large,M - WEST BU,BROOKINGS,SD
9,1541,Large,A - SOUTHEAST BU,WEST PALM BEACH,FL
75,1544,Large,F - EAST BU,CLARKSBURG,WV
26,1552,Large,F - EAST BU,SALISBURY,NC
21,1564,Large,E - NORTH BU,NEW BOSTON,OH
53,1571,Large,E - NORTH BU,MUKWONAGO,WI
57,1574,Large,M - WEST BU,BAKERSFIELD,CA
57,1584,Large,M - WEST BU,LAS VEGAS,NV
9,1590,Large,A - SOUTHEAST BU,HIALEAH,FL
19,1593,Large,E - NORTH BU,COLDWATER,MI
46,1612,Large,B - SOUTHWEST BU,TUCSON,AZ
17,1623,Large,F - EAST BU,WILKES BARRE,PA
75,1631,Large,F - EAST BU,HAMPTON,VA
14,1638,Large,A - SOUTHEAST BU,EUFAULA,AL
57,1645,Large,M - WEST BU,HANFORD,CA
17,1673,Large,F - EAST BU,CANANDAIGUA,NY
54,1695,Large,M - WEST BU,DEVILS LAKE,ND
19,1733,Large,E - NORTH BU,OWOSSO,MI
