Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimated Preorder QTY,# of Associates Needed  for Dispense
1419,21,51,72,2
1420,28,52,80,1
1421,14,29,43,1
1422,9,23,32,1
1423,16,29,45,1
1424,16,31,47,1
1425,10,24,34,1
1426,22,51,73,1
1427,14,35,49,1
1428,19,47,66,1
1429,15,34,49,1
1430,23,44,67,1
1431,8,20,28,1
1432,14,32,46,1
1433,8,25,33,1
1434,15,35,50,1
1435,3,6,9,1
1436,13,34,47,1
1437,0,8,8,1
1438,26,70,96,1
1439,25,58,83,2
1440,28,71,99,2
1441,28,46,74,1
1442,0,1,1,1
1443,31,62,93,2
1444,18,40,58,1
1445,10,16,26,1
1446,12,30,42,1
1447,20,41,61,1
1448,21,39,60,1
1449,19,47,66,1
1450,5,24,29,1
1451,1,8,9,1
1452,17,34,51,1
1453,25,64,89,1
1454,11,42,53,1
1455,12,29,41,1
1456,3,8,11,1
1457,0,8,8,1
1458,24,47,71,1
1459,14,41,55,1
1460,4,29,33,1
1461,3,16,19,1
1462,2,8,10,1
1463,17,41,58,1
1464,14,42,56,1
1465,15,33,48,1
1466,12,27,39,1
1467,4,14,18,1
1468,0,14,14,1
1469,20,38,58,1
1470,7,30,37,1
1471,0,0,0,0
1472,17,35,52,1
1473,20,41,61,1
1474,4,47,51,1
1475,4,6,10,1
1476,27,66,93,2
1477,5,18,23,1
1478,19,41,60,1
1479,28,49,77,1
1480,4,16,20,1
1481,12,30,42,1
1482,14,32,46,1
1483,3,20,23,1
1485,7,29,36,1
1486,8,19,27,1
1487,14,38,52,1
1488,15,40,55,1
1489,16,35,51,1
1490,11,42,53,1
1491,14,29,43,1
1492,18,58,76,1
1493,1,7,8,1
1494,18,41,59,1
1495,16,43,59,1
1496,17,41,58,1
1497,5,26,31,1
1498,10,27,37,1
1499,3,13,16,1
1500,4,22,26,1
1501,12,29,41,1
1502,6,8,14,1
1503,19,58,77,1
1504,23,53,76,1
1505,10,42,52,1
1506,2,8,10,1
1507,15,31,46,1
1508,4,14,18,1
1509,1,12,13,1
1510,34,97,131,2
1511,16,39,55,1
1512,15,29,44,1
1513,14,32,46,1
1514,20,53,73,2
1515,13,36,49,1
1516,7,16,23,1
1517,8,24,32,1
1518,17,45,62,1
1519,14,31,45,1
1520,9,21,30,1
1521,15,34,49,1
1522,8,14,22,1
1523,27,60,87,2
1524,15,40,55,1
1525,16,50,66,1
1526,4,5,9,1
1527,10,35,45,1
1528,18,50,68,1
1529,33,76,109,2
1530,8,3,11,1
1531,12,40,52,1
1532,21,45,66,1
1533,18,42,60,1
1534,14,33,47,1
1535,19,51,70,1
1536,14,39,53,1
1537,11,26,37,1
1538,9,38,47,1
1539,18,46,64,1
1540,12,29,41,1
1541,24,64,88,2
1542,8,16,24,1
1543,5,20,25,1
1544,18,34,52,1
1545,15,36,51,1
1546,4,9,13,1
1547,16,42,58,1
1548,5,13,18,1
1549,26,53,79,1
1550,2,3,5,1
1551,15,43,58,1
1552,14,34,48,1
1553,28,47,75,2
1554,28,66,94,2
1555,28,64,92,3
1556,26,63,89,2
1557,15,44,59,1
1558,7,19,26,1
1559,18,48,66,1
1560,20,39,59,1
1561,5,19,24,1
1562,17,25,42,1
1563,19,56,75,2
1564,18,41,59,1
1565,10,13,23,1
1566,16,28,44,1
1567,5,35,40,1
1568,20,48,68,1
1569,11,27,38,1
1570,22,39,61,1
1571,10,35,45,1
1572,13,35,48,1
1573,4,17,21,1
1574,29,64,93,2
1575,13,34,47,1
1576,26,41,67,1
1577,20,38,58,1
1578,27,52,79,1
1579,5,15,20,1
1580,16,35,51,1
1581,15,40,55,1
1583,18,43,61,2
1584,19,53,72,1
1585,5,23,28,1
1586,16,45,61,2
1587,14,39,53,2
1588,19,38,57,2
1589,18,35,53,1
1590,33,70,103,2
1591,25,61,86,2
1592,8,16,24,1
1593,13,21,34,2
1594,24,59,83,2
1595,18,53,71,1
1596,16,42,58,1
1597,17,39,56,1
1598,19,40,59,1
1599,13,39,52,1
1600,21,53,74,2
1601,24,50,74,1
1602,17,37,54,1
1603,1,5,6,1
1604,17,39,56,1
1605,14,31,45,1
1606,26,51,77,2
1607,19,38,57,1
1608,14,30,44,1
1609,5,8,13,1
1610,14,37,51,1
1611,24,46,70,1
1612,29,61,90,1
1613,10,25,35,1
1614,8,26,34,1
1615,17,39,56,2
1616,2,11,13,1
1617,5,32,37,1
1618,17,55,72,1
1619,27,63,90,2
1620,2,5,7,1
1621,5,7,12,1
1622,14,34,48,1
1623,28,82,110,2
1624,20,39,59,2
1625,9,19,28,1
1626,17,42,59,1
1627,19,39,58,1
1628,15,30,45,1
1629,4,14,18,1
1630,7,9,16,1
1631,15,39,54,1
1632,7,35,42,1
1633,17,38,55,1
1634,5,17,22,1
1635,18,34,52,1
1636,19,45,64,1
1637,20,40,60,1
1638,2,3,5,1
1639,6,17,23,1
1640,19,45,64,1
1641,2,7,9,1
1642,13,39,52,1
1643,17,43,60,1
1644,18,48,66,1
1645,24,54,78,2
1646,15,40,55,1
1647,12,28,40,1
1648,14,33,47,1
1649,4,10,14,1
1650,17,35,52,1
1651,28,53,81,2
1652,9,24,33,1
1653,6,15,21,1
1654,12,25,37,1
1655,5,23,28,1
1656,12,34,46,1
1657,9,30,39,1
1658,4,8,12,1
1659,19,49,68,1
1660,19,41,60,2
1661,13,15,28,1
1662,19,38,57,1
1663,15,49,64,1
1664,15,31,46,1
1665,18,49,67,1
1666,17,45,62,1
1667,5,25,30,1
1668,17,38,55,1
1669,22,53,75,1
1670,20,50,70,1
1671,23,56,79,1
1672,4,10,14,1
1673,17,38,55,1
1674,18,43,61,1
1675,1,12,13,1
1676,6,18,24,1
1677,24,55,79,1
1678,8,27,35,1
1679,25,48,73,1
1680,32,68,100,2
1681,18,43,61,1
1682,5,6,11,1
1683,3,6,9,1
1684,10,16,26,1
1685,4,7,11,1
1686,32,64,96,2
1687,15,29,44,1
1688,15,28,43,1
1689,17,43,60,1
1690,17,33,50,1
1691,17,45,62,1
1692,22,45,67,2
1693,20,52,72,2
1694,18,36,54,1
1695,3,11,14,1
1696,3,17,20,1
1697,17,36,53,2
1698,26,63,89,2
1699,35,102,137,2
1700,26,59,85,2
1701,0,0,0,0
1702,18,45,63,1
1703,19,46,65,1
1704,21,42,63,2
1705,14,29,43,1
1707,13,33,46,1
1708,27,78,105,2
1709,3,20,23,1
1710,9,19,28,1
1711,10,20,30,1
1712,20,45,65,1
1713,5,15,20,1
1714,18,38,56,1
1715,11,20,31,1
1716,12,33,45,1
1717,13,31,44,1
1718,14,36,50,1
1719,8,27,35,1
1720,17,46,63,1
1721,12,35,47,1
1722,5,28,33,1
1723,21,52,73,1
1724,9,20,29,1
1726,15,37,52,1
1727,9,13,22,1
1728,23,51,74,2
1729,8,16,24,1
1730,5,15,20,1
1731,12,30,42,1
1732,0,4,4,1
1733,19,41,60,1
1734,18,42,60,1
1735,17,35,52,1
1736,16,39,55,1
1737,18,41,59,1
1738,10,24,34,1
1739,26,70,96,2
1740,13,34,47,1
1741,14,41,55,1
1742,26,47,73,1
1743,2,8,10,1
1744,26,57,83,2
1745,14,31,45,1
1746,24,61,85,1
1747,32,72,104,3
1748,19,29,48,1
1749,25,54,79,2
1750,15,37,52,1
1751,7,25,32,1
1752,30,58,88,2
1753,27,53,80,1
1754,23,60,83,2
1755,24,50,74,2
1756,25,59,84,2
1757,22,41,63,1
1758,14,27,41,1
1759,14,39,53,1
1760,15,30,45,2
1761,11,25,36,1
1762,33,61,94,2
1763,12,20,32,1
1764,19,59,78,1
1765,14,31,45,1
1766,16,35,51,1
1767,12,29,41,1
1768,40,101,141,2
1769,5,32,37,1
1770,32,63,95,2
1771,5,22,27,1
1772,10,29,39,1
1773,12,31,43,1
1774,17,38,55,1
1775,14,33,47,1
1776,17,39,56,2
1777,16,37,53,1
1778,0,11,11,1
1779,20,52,72,1
1780,22,51,73,1
1781,18,45,63,1
1782,20,51,71,1
1783,14,38,52,1
1784,31,59,90,1
1785,45,86,131,2
1786,15,44,59,1
1787,6,13,19,1
1788,27,86,113,2
1789,16,44,60,2
1790,22,51,73,1
1791,11,23,34,1
1792,7,14,21,1
1793,21,55,76,1
1794,19,54,73,2
1795,11,25,36,1
1796,33,98,131,2
1797,9,27,36,1
1798,6,27,33,1
1799,9,23,32,1
1800,21,52,73,1
1801,19,49,68,1
1802,17,37,54,1
1803,15,26,41,1
1804,20,51,71,1
1805,20,39,59,2
1806,12,33,45,1
1807,12,36,48,1
1808,3,6,9,1
1809,11,24,35,1
1810,44,103,147,3
1811,9,30,39,1
1812,14,36,50,1
1813,15,32,47,1
1814,27,48,75,1
1815,21,54,75,2
1816,7,24,31,1
1817,12,43,55,1
1819,18,43,61,1
1820,16,29,45,1
1821,14,34,48,1
1822,0,0,0,0
1823,19,45,64,1
1825,28,69,97,2
1826,20,49,69,2
1827,14,28,42,1
1828,20,43,63,1
1829,3,6,9,1
1830,20,41,61,1
1831,17,51,68,1
1832,20,54,74,2
1833,13,40,53,1
1834,23,45,68,2
1835,30,68,98,2
1836,16,48,64,1
1837,14,31,45,1
1838,16,29,45,1
1839,17,44,61,1
1840,18,44,62,2
1841,18,47,65,1
1842,21,48,69,1
1843,19,44,63,1
1844,26,49,75,2
1845,13,35,48,1
1846,3,16,19,1
1847,15,34,49,1
1848,13,32,45,1
1849,14,25,39,1
1850,22,49,71,2
1851,18,41,59,1
1852,35,65,100,2
1853,17,44,61,2
1854,0,0,0,0
1855,11,34,45,1
1856,26,74,100,2
1857,26,52,78,1
1858,4,5,9,1
1859,46,114,160,5
1860,24,48,72,1
1861,11,41,52,1
1862,39,90,129,3
1863,16,44,60,1
1864,15,45,60,1
1865,4,9,13,1
1866,11,9,20,1
1867,12,40,52,1
1868,24,59,83,1
1869,15,43,58,1
1870,14,37,51,1
1871,11,37,48,1
1872,18,40,58,1
1873,20,73,93,2
1874,10,21,31,1
1875,23,62,85,2
1876,14,35,49,1
1877,19,37,56,2
1878,30,70,100,2
1879,10,17,27,1
1880,12,30,42,1
1881,14,36,50,2
1882,16,30,46,1
1883,17,32,49,1
1884,32,69,101,2
1885,20,46,66,1
1886,21,63,84,1
1887,17,36,53,1
1888,30,71,101,2
1889,3,16,19,1
1890,13,31,44,1
1891,18,41,59,1
1892,25,60,85,2
1893,17,39,56,1
1894,20,51,71,1
1895,15,34,49,1
1896,21,56,77,2
1897,15,33,48,1
1898,16,36,52,1
1899,29,71,100,2
1900,7,33,40,1
1901,6,32,38,1
1902,32,72,104,2
1903,15,37,52,2
1904,25,62,87,2
1905,5,28,33,1
1906,20,41,61,1
1907,13,37,50,1
1908,16,49,65,1
1909,26,50,76,2
1910,3,19,22,1
1911,22,51,73,1
1912,15,42,57,2
1913,20,44,64,1
1914,19,46,65,2
1915,13,38,51,2
1916,15,45,60,1
1917,23,46,69,2
1918,35,68,103,2
1919,4,6,10,1
1920,19,39,58,1
1921,17,45,62,1
1922,34,65,99,2
1923,28,63,91,2
1924,7,28,35,1
1925,8,27,35,1
1926,15,35,50,1
1927,17,33,50,1
1928,16,33,49,1
1929,15,40,55,1
1930,22,61,83,2
1931,10,23,33,1
1932,6,32,38,1
1933,26,59,85,2
1934,3,6,9,1
1935,14,36,50,1
1936,3,25,28,1
1937,2,26,28,1
1938,34,67,101,2
1939,20,45,65,1
1940,28,55,83,2
1941,25,50,75,2
1942,23,53,76,1
1943,23,61,84,1
1945,9,13,22,1
1946,5,13,18,1
1947,3,6,9,1
1948,13,34,47,1
1949,19,43,62,1
1950,1,10,11,1
1951,7,29,36,1
1952,17,41,58,1
1953,10,21,31,1
1954,21,40,61,1
1955,21,42,63,1
1956,24,53,77,2
1957,5,16,21,1
1958,20,49,69,1
1959,25,58,83,2
1960,20,53,73,1
1961,16,48,64,2
1962,20,49,69,1
1963,15,38,53,2
1964,15,40,55,1
1965,19,38,57,1
1966,20,42,62,1
1967,27,79,106,2
1968,19,48,67,1
1969,12,41,53,1
1970,17,41,58,1
1971,22,42,64,1
1972,17,35,52,2
1973,19,43,62,1
1974,2,18,20,1
1975,14,33,47,1
1976,18,44,62,1
1977,25,62,87,1
1978,13,31,44,1
1979,7,17,24,1
1980,18,34,52,1
1981,23,53,76,1
1982,22,56,78,2
1983,23,51,74,2
1984,13,28,41,1
1985,17,41,58,1
1986,15,35,50,1
1987,22,46,68,1
1988,23,57,80,2
1989,19,44,63,2
1990,18,31,49,1
1991,28,72,100,2
1992,27,50,77,2
1993,22,53,75,1
1994,22,43,65,1
1995,16,64,80,1
1996,20,50,70,2
1997,18,57,75,1
1998,26,51,77,2
1999,15,38,53,1
2000,6,23,29,1
2001,22,58,80,2
2002,26,53,79,2
2003,25,61,86,1
2004,14,38,52,1
2005,20,41,61,1
2006,10,41,51,1
2007,16,45,61,1
2008,9,27,36,1
2009,17,33,50,1
2010,14,40,54,1
2012,17,40,57,1
2013,24,51,75,1
2014,2,12,14,1
2015,26,52,78,2
2016,3,6,9,1
2019,18,43,61,1
2020,4,13,17,1
2021,24,62,86,2
2022,22,47,69,2
2023,23,50,73,2
2024,15,28,43,1
2025,30,65,95,3
2026,0,0,0,0
2027,24,53,77,2
2028,32,77,109,3
2030,14,28,42,1
2031,24,51,75,2
2032,22,57,79,2
2033,10,19,29,1
2035,12,26,38,1
2036,26,51,77,2
2037,23,42,65,1
2038,36,66,102,2
2039,9,25,34,1
2040,23,41,64,1
2041,11,30,41,1
2043,0,0,0,0
2044,10,27,37,1
2045,17,45,62,1
2046,25,50,75,2
2047,9,23,32,1
2048,17,38,55,2
2049,26,52,78,2
2050,21,49,70,1
2051,14,34,48,1
2052,10,27,37,1
2053,3,11,14,1
2054,8,24,32,1
2055,21,53,74,1
2056,21,57,78,2
2057,10,21,31,1
2058,15,32,47,1
2059,22,52,74,1
2061,18,29,47,1
2062,12,26,38,1
2063,20,45,65,1
2064,21,42,63,1
2065,21,58,79,1
2066,13,34,47,1
2067,0,0,0,0
2068,33,70,103,2
2069,19,43,62,1
2070,0,0,0,0
2071,0,0,0,0
2072,0,0,0,0
2073,24,58,82,1
2074,0,0,0,0
2075,23,49,72,2
2077,20,48,68,2
2078,17,47,64,1
2079,15,34,49,1
2080,24,47,71,1
2081,18,49,67,1
2082,13,42,55,2
2083,13,32,45,1
2084,21,53,74,1
2085,0,0,0,0
2086,10,34,44,1
2087,26,48,74,1
2088,15,32,47,1
2089,20,48,68,1
2090,14,45,59,1
2091,66,152,218,4
2092,6,14,20,1
2093,15,36,51,1
2094,25,61,86,2
2095,15,36,51,1
2096,14,35,49,1
2097,9,25,34,1
2098,18,42,60,1
2099,20,37,57,2
2100,5,14,19,1
2101,25,51,76,1
2102,5,26,31,1
2103,35,67,102,2
2104,32,83,115,2
2105,20,46,66,1
2106,14,28,42,1
2107,17,40,57,1
2108,13,32,45,1
2109,10,28,38,1
2110,27,45,72,2
2111,13,31,44,1
2112,18,41,59,1
2113,24,62,86,1
2114,4,12,16,1
2115,17,41,58,1
2116,18,49,67,1
2117,14,25,39,1
2118,19,48,67,1
2119,24,53,77,2
2120,17,27,44,1
2121,14,35,49,1
2122,17,44,61,1
2123,10,27,37,1
2124,26,64,90,1
2125,15,43,58,1
2126,0,0,0,0
2127,23,50,73,1
2128,12,34,46,1
2129,13,29,42,1
2130,11,37,48,1
2131,9,24,33,1
2132,8,20,28,1
2133,26,70,96,2
2134,15,45,60,1
2135,10,27,37,1
2136,14,33,47,1
2137,15,43,58,1
2138,15,32,47,1
2139,36,85,121,2
2140,3,8,11,1
2141,24,59,83,1
2142,29,80,109,2
2143,0,13,13,1
2144,14,41,55,1
2145,35,77,112,2
2146,15,28,43,1
2147,18,37,55,1
2149,19,41,60,1
2150,39,97,136,3
2151,30,73,103,2
2152,22,56,78,2
2153,24,49,73,1
2154,23,63,86,2
2155,16,33,49,1
2156,16,31,47,1
2157,19,42,61,1
2158,16,44,60,1
2159,8,30,38,1
2160,4,17,21,1
2161,15,35,50,2
2163,25,47,72,1
2164,14,31,45,1
2166,21,67,88,2
2167,18,42,60,1
2169,24,54,78,2
2170,17,39,56,1
2174,33,74,107,2
2175,2,11,13,1
2176,16,50,66,1
2177,29,70,99,3
2178,3,7,10,1
2180,24,60,84,2
2181,26,50,76,2
2183,13,29,42,1
2184,19,53,72,1
2185,12,30,42,1
2187,23,54,77,1
2188,0,0,0,0
2189,16,30,46,1
2190,15,34,49,2
2191,14,27,41,1
2192,7,31,38,1
2193,19,44,63,1
2194,25,59,84,2
2195,16,42,58,1
2196,12,19,31,1
2197,21,43,64,1
2198,15,43,58,2
2199,15,36,51,1
2200,18,45,63,1
2201,33,82,115,2
2202,17,47,64,2
2204,28,48,76,1
2205,19,54,73,2
2206,17,43,60,2
2207,16,48,64,1
2208,11,32,43,1
2209,12,41,53,1
2210,26,51,77,1
2211,21,51,72,1
2213,20,49,69,1
2214,10,26,36,1
2215,15,31,46,1
2218,17,44,61,2
2221,23,52,75,1
2222,32,61,93,2
2223,21,53,74,1
2224,26,63,89,2
2225,23,57,80,1
2227,14,44,58,1
2228,14,38,52,1
2230,19,41,60,1
2231,22,45,67,1
2232,16,49,65,1
2233,33,78,111,2
2234,15,36,51,1
2236,17,33,50,1
2237,20,40,60,1
2238,16,33,49,1
2239,24,55,79,1
2240,0,0,0,0
2241,11,32,43,1
2242,28,52,80,2
2243,24,44,68,1
2244,19,39,58,1
2245,24,52,76,2
2247,14,39,53,1
2248,17,44,61,1
2249,27,59,86,1
2250,28,45,73,1
2251,16,39,55,2
2252,24,68,92,2
2253,17,57,74,2
2254,3,25,28,1
2255,20,44,64,1
2256,10,20,30,1
2257,18,37,55,1
2258,15,43,58,1
2259,25,52,77,1
2261,17,40,57,1
2262,9,34,43,1
2263,17,42,59,1
2264,23,52,75,1
2265,25,54,79,2
2266,27,63,90,2
2267,15,42,57,1
2269,19,43,62,1
2270,2,19,21,1
2271,6,24,30,1
2272,9,19,28,1
2273,18,37,55,1
2274,17,35,52,1
2275,10,23,33,1
2276,15,38,53,1
2277,14,29,43,1
2278,19,47,66,1
2279,23,48,71,1
2280,26,52,78,2
2281,28,60,88,2
2282,33,63,96,2
2283,22,56,78,2
2284,28,68,96,2
2285,18,39,57,1
2286,34,70,104,2
2287,19,41,60,1
2288,18,42,60,2
2289,7,30,37,1
2291,32,88,120,3
2292,18,40,58,2
2293,9,18,27,1
2294,20,48,68,1
2295,17,35,52,1
2297,23,47,70,2
2299,28,65,93,1
2300,25,68,93,2
2302,0,0,0,0
2306,8,25,33,1
2307,31,62,93,2
2308,0,0,0,0
2309,21,61,82,2
2310,22,44,66,1
2311,7,36,43,1
2312,14,37,51,1
2313,18,44,62,2
2314,0,0,0,0
2315,15,33,48,1
2316,23,52,75,1
2317,16,47,63,1
2318,16,44,60,1
2319,15,33,48,1
2320,7,19,26,1
2321,0,0,0,0
2322,4,14,18,1
2323,27,52,79,1
2325,28,68,96,2
2326,15,33,48,1
2329,10,24,34,1
2330,28,64,92,2
2331,19,52,71,1
2332,18,43,61,1
2333,12,25,37,1
2334,14,52,66,1
2335,14,43,57,1
2336,18,56,74,2
2337,10,21,31,1
2338,23,54,77,2
2339,18,47,65,1
2340,22,50,72,1
2341,35,66,101,2
2346,0,0,0,0
2348,9,26,35,1
2350,10,20,30,1
2351,14,34,48,1
2352,19,40,59,1
2354,28,46,74,1
2355,21,52,73,1
2357,34,84,118,2
2358,10,19,29,1
2359,16,41,57,1
2361,21,58,79,2
2362,18,42,60,1
2365,18,29,47,1
2366,25,80,105,2
2367,7,18,25,1
2368,19,48,67,2
2369,19,38,57,1
2370,11,44,55,1
2371,34,76,110,2
2373,21,49,70,1
2385,21,71,92,2
2386,20,46,66,1
2387,23,50,73,1
2388,8,15,23,1
2398,10,36,46,1
2399,29,72,101,2
2400,18,45,63,1
2401,24,41,65,2
2402,12,23,35,1
2403,21,58,79,1
2404,15,28,43,1
2405,24,73,97,2
2412,18,44,62,1
2417,14,35,49,1
2418,10,29,39,1
2419,17,48,65,1
2420,20,44,64,1
2421,14,26,40,1
2422,12,26,38,1
2423,0,0,0,0
2424,4,8,12,1
2426,32,59,91,1
2427,15,41,56,1
2428,6,13,19,1
2429,14,36,50,1
2432,14,38,52,1
2434,17,26,43,1
2435,25,69,94,2
2436,24,49,73,1
2437,20,38,58,1
2438,22,61,83,1
2439,19,35,54,1
2440,8,30,38,1
2441,10,29,39,1
2443,19,41,60,1
2444,17,36,53,1
2445,28,72,100,2
2446,23,58,81,1
2447,15,43,58,1
2448,21,52,73,1
2449,0,0,0,0
2450,25,63,88,2
2452,17,30,47,1
2453,8,24,32,1
2455,14,24,38,1
2457,17,33,50,1
2458,17,42,59,2
2459,18,36,54,1
2460,15,32,47,1
2463,13,31,44,1
2464,19,49,68,2
2469,9,30,39,1
2471,16,36,52,1
2472,16,54,70,1
2473,0,0,0,0
2474,8,17,25,1
2475,14,28,42,1
2476,23,46,69,1
2477,16,50,66,1
2479,35,66,101,3
2480,13,37,50,1
2481,16,29,45,1
2482,23,58,81,2
2483,27,49,76,1
2484,6,19,25,1
2485,7,20,27,1
2490,17,43,60,1
2491,9,25,34,1
2492,3,9,12,1
2493,17,44,61,2
2494,17,36,53,2
2495,17,40,57,3
2496,14,37,51,1
2497,23,55,78,1
2501,0,0,0,0
2502,14,36,50,1
2503,24,42,66,1
2504,22,58,80,2
2505,16,42,58,1
2506,17,41,58,1
2507,18,57,75,2
2508,32,59,91,1
2509,10,8,18,1
2510,9,12,21,1
2511,28,82,110,2
2512,27,53,80,1
2513,10,24,34,1
2514,9,20,29,1
2515,25,60,85,1
2516,34,69,103,2
2517,42,86,128,3
2518,27,62,89,1
2519,17,34,51,1
2520,10,25,35,1
2522,6,23,29,1
2523,26,39,65,2
2526,29,56,85,2
2527,15,34,49,1
2528,14,35,49,1
2529,18,61,79,1
2530,12,32,44,1
2531,25,80,105,2
2532,18,36,54,1
2533,13,33,46,1
2534,9,27,36,1
2535,19,36,55,1
2536,16,34,50,1
2537,14,37,51,1
2538,17,47,64,1
2539,25,51,76,1
2540,14,19,33,1
2541,15,36,51,1
2542,5,16,21,1
2543,15,41,56,1
2544,20,61,81,1
2545,13,17,30,1
2546,28,52,80,2
2547,14,28,42,1
2548,1,12,13,1
2549,23,57,80,2
2550,28,53,81,2
2551,28,52,80,1
2553,18,48,66,2
2554,19,55,74,1
2555,17,38,55,1
2556,19,44,63,2
2557,27,58,85,3
2558,17,34,51,1
2559,25,48,73,2
2560,14,37,51,1
2561,18,43,61,1
2562,1,3,4,1
2563,2,11,13,1
2564,4,15,19,1
2565,9,23,32,1
2566,22,40,62,1
2567,22,51,73,1
2568,31,55,86,2
2571,15,41,56,1
2572,10,28,38,2
2574,15,52,67,1
2575,14,32,46,1
2576,19,45,64,1
2577,15,45,60,1
2579,1,6,7,1
2580,5,15,20,1
2581,30,64,94,2
2582,16,43,59,1
2583,25,52,77,2
2584,14,28,42,1
2585,35,74,109,2
2586,24,62,86,1
2587,25,53,78,2
2588,17,45,62,1
2591,22,53,75,1
2592,21,57,78,1
2593,34,77,111,2
2594,33,78,111,2
2595,28,75,103,2
2596,21,48,69,1
2597,12,36,48,1
2598,17,42,59,2
2599,18,51,69,1
2600,9,35,44,1
2603,18,44,62,1
2604,17,36,53,1
2605,6,27,33,1
2607,1,6,7,1
2608,2,6,8,1
2609,25,50,75,2
2610,9,22,31,1
2611,14,27,41,1
2612,26,58,84,2
2613,10,20,30,1
2614,16,49,65,1
2615,17,29,46,1
2616,27,57,84,1
2617,2,6,8,1
2618,26,51,77,2
2619,21,66,87,2
2620,15,34,49,1
2621,16,37,53,2
2626,3,16,19,1
2627,11,30,41,1
2628,34,85,119,2
2629,20,46,66,1
2630,3,11,14,1
2631,22,47,69,1
2633,17,40,57,1
2634,4,14,18,1
2636,27,44,71,2
2637,27,70,97,2
2638,14,27,41,1
2639,14,29,43,1
2640,28,50,78,1
2641,25,88,113,2
2642,26,55,81,1
2643,15,33,48,1
2644,17,32,49,1
2645,3,14,17,1
2646,4,14,18,1
2647,9,31,40,1
2648,27,51,78,2
2649,15,33,48,1
2650,16,42,58,1
2651,17,42,59,1
2652,1,8,9,1
2653,2,13,15,1
2654,2,5,7,1
2656,11,23,34,1
2658,18,49,67,1
2659,14,46,60,1
2660,17,41,58,1
2662,7,19,26,1
2663,14,30,44,1
2664,5,12,17,1
2665,23,33,56,1
2667,17,51,68,1
2668,19,48,67,1
2671,17,49,66,1
2672,3,7,10,1
2674,8,18,26,1
2678,25,48,73,1
2679,16,42,58,1
2681,14,23,37,1
2682,13,33,46,1
2683,10,31,41,1
2684,5,8,13,1
2687,11,32,43,1
2688,19,48,67,1
2690,17,40,57,1
2691,16,49,65,1
2692,31,64,95,2
2693,17,39,56,1
2694,13,35,48,1
2695,30,79,109,2
2696,2,4,6,1
2697,15,46,61,2
2700,27,58,85,2
2702,13,34,47,1
2703,8,19,27,1
2704,8,19,27,1
2705,10,18,28,1
2706,16,34,50,1
2708,24,75,99,3
2710,0,0,0,0
2711,0,0,0,0
2712,16,37,53,1
2713,10,27,37,1
2714,4,18,22,1
2715,13,35,48,1
2716,20,45,65,1
2717,9,20,29,1
2718,0,0,0,0
2719,30,58,88,2
2720,8,25,33,1
2721,0,0,0,0
2722,0,0,0,0
2723,4,12,16,1
2724,13,35,48,1
2725,28,62,90,2
2726,30,86,116,2
2727,19,44,63,1
2728,11,26,37,1
2729,20,52,72,1
2730,4,12,16,1
2732,15,29,44,1
2733,8,24,32,1
2734,12,27,39,1
2735,17,45,62,2
2739,3,8,11,1
2740,18,53,71,1
2747,12,26,38,1
2748,6,11,17,1
2749,9,26,35,1
2751,21,60,81,2
2752,16,34,50,1
2753,2,10,12,1
2754,3,6,9,1
2755,9,25,34,1
2756,25,70,95,2
2757,15,37,52,1
2758,8,23,31,1
2760,1,3,4,1
2761,11,10,21,1
2762,9,22,31,1
2763,17,44,61,1
2764,20,42,62,1
2765,9,18,27,1
2766,14,41,55,1
2767,22,47,69,1
2768,21,53,74,1
2769,10,27,37,1
2771,9,23,32,1
2772,9,20,29,1
2774,16,31,47,1
2777,18,40,58,1
2778,9,27,36,1
2780,25,50,75,1
2781,19,42,61,1
2782,6,13,19,2
2783,11,34,45,1
2784,5,9,14,1
2785,17,42,59,1
2786,18,51,69,1
2787,12,44,56,1
2788,17,42,59,1
2789,13,44,57,1
2790,15,31,46,1
2791,16,30,46,1
2792,5,9,14,1
2793,14,43,57,1
2794,4,23,27,1
2795,9,31,40,1
2796,15,39,54,1
2797,17,33,50,1
2799,17,46,63,1
2803,20,39,59,1
2804,17,44,61,1
2805,2,12,14,1
2806,18,39,57,1
2807,10,21,31,1
2808,20,47,67,1
2809,7,23,30,1
2810,2,2,4,1
2811,12,35,47,1
2812,20,38,58,1
2813,14,30,44,1
2814,42,97,139,3
2815,26,51,77,1
2816,15,40,55,1
2817,14,39,53,1
2818,18,50,68,1
2819,8,18,26,1
2820,1,14,15,1
2821,23,53,76,1
2822,10,24,34,1
2823,16,36,52,1
2825,24,49,73,1
2827,17,42,59,1
2828,27,49,76,1
2830,18,33,51,1
2831,4,24,28,1
2832,9,16,25,1
2833,4,14,18,1
2834,22,38,60,1
2836,18,36,54,1
2838,23,55,78,1
2841,24,60,84,2
2842,21,53,74,2
2843,8,24,32,1
2844,22,64,86,2
2845,9,20,29,1
2846,12,25,37,1
2847,22,60,82,1
2849,6,17,23,1
2850,9,29,38,1
2852,9,23,32,1
2853,15,25,40,1
2854,19,42,61,1
2855,12,43,55,1
2856,9,18,27,1
2857,24,46,70,1
2859,24,48,72,1
2860,18,45,63,1
2861,17,33,50,1
2862,19,45,64,1
2864,23,60,83,1
2865,18,47,65,1
2866,15,41,56,1
