Division,Region,Market,Facility,Bucket
A,3,94,3310,General Increase
M,54,376,3313,General Increase
O,61,510,3314,General Increase
O,61,510,3315,General Increase
F,17,191,3332,General Increase
E,20,214,3335,General Increase
E,19,197,3336,General Increase
F,22,178,3337,General Increase
F,22,165,3339,General Increase
E,21,225,3342,General Increase
F,75,286,3344,General Increase
A,9,118,3349,General Increase
M,57,394,3350,General Increase
M,57,394,3351,General Increase
O,61,397,3354,General Increase
O,61,397,3355,General Increase
O,61,397,3356,General Increase
O,61,9,3357,General Increase
O,59,499,3359,General Increase
B,46,373,3360,General Increase
E,41,253,3362,General Increase
M,52,423,3364,General Increase
M,54,401,3366,General Increase
F,4,36,3367,General Increase
A,9,115,3370,General Increase
F,4,306,3371,General Increase
O,61,9,3377,General Increase
B,46,366,3379,General Increase
M,60,475,3380,General Increase
A,9,118,3387,General Increase
M,52,413,3394,General Increase
M,52,422,3404,General Increase
B,46,368,3407,General Increase
F,22,232,3412,General Increase
A,9,105,3417,General Increase
F,17,172,3420,General Increase
F,22,165,3422,General Increase
F,17,228,3429,General Increase
E,25,270,3434,General Increase
E,19,201,3436,General Increase
F,17,577,3443,General Increase
E,19,207,3445,General Increase
E,21,219,3447,General Increase
E,19,200,3453,General Increase
M,54,401,3454,General Increase
M,56,452,3455,General Increase
E,25,278,3459,General Increase
A,3,16,3461,General Increase
B,46,369,3465,General Increase
F,17,175,3469,General Increase
M,60,474,3472,General Increase
M,57,394,3473,General Increase
A,9,115,3474,General Increase
F,22,167,3475,General Increase
E,19,197,3476,General Increase
F,75,282,3481,General Increase
E,19,206,3487,General Increase
F,75,281,3489,General Increase
F,75,282,3490,General Increase
A,12,149,3495,General Increase
M,52,422,3498,General Increase
F,22,233,3501,General Increase
E,21,223,3502,General Increase
O,59,498,3504,General Increase
M,60,474,3511,General Increase
M,52,423,3513,General Increase
F,17,228,3514,General Increase
E,21,218,3515,General Increase
F,17,577,3520,General Increase
M,60,514,3525,General Increase
M,60,467,3531,General Increase
M,54,585,3533,General Increase
M,60,467,3537,General Increase
F,22,167,3541,General Increase
F,16,184,3549,General Increase
F,17,577,3562,General Increase
F,22,168,3563,General Increase
F,22,170,3564,General Increase
M,54,380,3566,General Increase
M,54,403,3568,General Increase
E,21,221,3571,General Increase
F,75,286,3573,General Increase
E,21,219,3580,General Increase
F,17,188,3583,General Increase
M,54,403,3589,General Increase
M,52,426,3590,General Increase
O,72,492,3593,General Increase
F,17,176,3598,General Increase
O,72,492,3599,General Increase
E,25,266,3601,General Increase
O,61,510,3604,General Increase
O,72,549,3606,General Increase
F,17,195,3607,General Increase
O,72,559,3617,General Increase
M,54,403,3620,General Increase
M,52,424,3624,General Increase
O,72,549,3629,General Increase
M,52,415,3630,General Increase
E,19,205,3632,General Increase
F,22,234,3633,General Increase
F,22,232,3634,General Increase
F,75,292,3639,General Increase
E,21,223,3641,General Increase
F,75,289,3644,General Increase
B,46,73,3645,General Increase
O,59,496,3646,General Increase
M,47,427,3648,General Increase
O,61,397,3655,General Increase
F,26,309,3700,General Increase
A,3,98,3702,General Increase
M,60,467,3705,General Increase
O,59,496,3713,General Increase
A,12,153,3717,General Increase
F,75,293,3720,General Increase
E,19,205,3726,General Increase
M,57,394,3728,General Increase
F,4,42,3733,General Increase
M,47,430,3734,General Increase
M,56,399,3739,General Increase
O,61,490,3740,General Increase
M,60,476,3742,General Increase
E,21,239,3747,General Increase
E,21,225,3749,General Increase
B,46,373,3751,General Increase
M,60,473,3754,General Increase
M,60,471,3757,General Increase
M,52,412,3758,General Increase
M,52,421,3760,General Increase
M,52,412,3761,General Increase
M,52,413,3762,General Increase
E,21,223,3765,General Increase
B,46,371,3771,General Increase
F,22,165,3774,General Increase
M,54,381,3778,General Increase
F,75,281,3780,General Increase
A,9,91,3782,General Increase
E,21,223,3783,General Increase
E,21,221,3784,General Increase
O,61,397,3788,General Increase
M,54,401,3789,General Increase
E,21,219,3792,General Increase
M,60,514,3794,General Increase
F,17,577,3795,General Increase
B,46,371,3799,General Increase
M,60,471,3801,General Increase
F,75,284,3802,General Increase
F,75,293,3804,General Increase
M,54,391,3805,General Increase
M,52,421,3806,General Increase
B,46,367,3807,General Increase
F,22,168,3810,General Increase
E,21,217,3812,General Increase
O,72,559,3817,General Increase
M,47,433,3823,General Increase
M,54,585,3824,General Increase
F,22,178,3830,General Increase
B,46,372,3833,General Increase
F,17,192,3842,General Increase
F,75,285,3843,General Increase
O,61,510,3844,General Increase
O,61,510,3845,General Increase
O,61,510,3846,General Increase
B,46,405,3847,General Increase
M,54,401,3848,General Increase
M,60,467,3850,General Increase
M,47,430,3853,General Increase
E,53,441,3857,General Increase
B,46,373,3861,General Increase
O,72,549,3862,General Increase
M,54,379,3867,General Increase
F,75,287,3869,General Increase
M,47,430,3872,General Increase
M,47,427,3875,General Increase
O,59,502,3880,General Increase
B,46,367,3884,General Increase
O,59,502,3885,General Increase
E,41,259,3894,General Increase
B,46,368,3896,General Increase
M,56,400,3897,General Increase
O,59,496,3899,General Increase
F,17,176,3912,General Increase
O,61,557,3988,General Increase
A,9,105,4063,General Increase
M,54,582,4068,General Increase
O,61,557,4100,General Increase
E,41,256,4118,General Increase
O,61,552,4127,General Increase
M,60,467,4137,General Increase
O,61,491,4138,General Increase
O,61,491,4139,General Increase
O,72,96,4142,General Increase
O,59,499,4148,General Increase
F,17,175,4153,General Increase
O,72,559,4159,General Increase
O,72,96,4160,General Increase
E,25,269,4177,General Increase
O,61,550,4178,General Increase
O,61,557,4180,General Increase
O,59,502,4184,General Increase
F,75,287,4191,General Increase
O,61,490,4196,General Increase
O,72,96,4197,General Increase
O,59,485,4198,General Increase
M,57,365,4203,General Increase
M,54,401,4208,General Increase
M,47,407,4209,General Increase
O,72,96,4211,General Increase
O,61,510,4218,General Increase
F,4,304,4224,General Increase
E,21,248,4230,General Increase
E,21,248,4231,General Increase
B,46,370,4232,General Increase
O,61,510,4233,General Increase
F,4,42,4237,General Increase
M,57,449,4238,General Increase
E,19,205,4243,General Increase
M,52,412,4244,General Increase
M,52,412,4246,General Increase
M,47,383,4247,General Increase
M,60,474,4249,General Increase
B,46,364,4252,General Increase
M,52,412,4253,General Increase
E,20,214,4255,General Increase
M,52,414,4256,General Increase
O,61,9,4264,General Increase
M,54,401,4272,General Increase
F,4,305,4274,General Increase
O,61,510,4275,General Increase
F,17,226,4276,General Increase
M,54,380,4284,General Increase
E,20,214,4285,General Increase
M,54,379,4288,General Increase
O,61,9,4293,General Increase
M,57,447,4317,General Increase
M,47,407,4322,General Increase
O,61,9,4324,General Increase
M,57,365,4325,General Increase
A,9,90,4332,General Increase
A,2,294,4334,General Increase
B,46,368,4336,General Increase
M,57,365,4337,General Increase
O,61,397,4339,General Increase
M,47,427,4352,General Increase
O,72,102,4354,General Increase
M,57,396,4356,General Increase
M,47,432,4358,General Increase
M,60,469,4359,General Increase
A,9,90,4365,General Increase
M,52,421,4374,General Increase
M,54,388,4377,General Increase
F,75,285,4378,General Increase
E,40,333,4381,General Increase
E,19,197,4383,General Increase
O,59,502,4388,General Increase
M,60,474,4394,General Increase
M,60,474,4395,General Increase
E,21,247,4399,General Increase
F,17,187,4403,General Increase
F,22,233,4404,General Increase
F,4,304,4410,General Increase
M,47,382,4412,General Increase
O,59,494,4413,General Increase
F,75,280,4423,General Increase
E,19,206,4424,General Increase
O,72,96,4425,General Increase
A,2,294,4428,General Increase
B,46,373,4430,General Increase
O,59,499,4431,General Increase
O,59,498,4432,General Increase
A,12,149,4435,General Increase
M,54,403,4438,General Increase
E,19,201,4439,General Increase
A,3,98,4444,General Increase
E,41,242,4450,General Increase
B,46,373,4451,General Increase
F,22,558,4456,General Increase
O,59,566,4469,General Increase
M,54,381,4471,General Increase
O,61,9,4473,General Increase
M,60,469,4474,General Increase
E,40,362,4475,General Increase
F,75,290,4476,General Increase
E,19,207,4479,General Increase
A,12,153,4482,General Increase
A,12,149,4483,General Increase
O,61,9,4490,General Increase
O,61,490,4491,General Increase
O,61,557,4494,General Increase
F,75,286,4514,General Increase
O,59,494,4524,General Increase
O,72,546,4530,General Increase
E,19,203,4540,General Increase
M,57,365,4543,General Increase
E,40,361,4553,General Increase
F,4,29,4556,General Increase
M,57,396,4557,General Increase
O,72,549,4561,General Increase
M,54,379,4567,General Increase
M,47,432,4568,General Increase
M,47,427,4569,General Increase
F,17,164,4570,General Increase
F,4,306,4574,General Increase
A,9,91,4588,General Increase
O,59,566,4589,General Increase
E,40,361,4590,General Increase
O,59,566,4591,General Increase
F,4,42,4593,General Increase
F,4,305,4594,General Increase
F,17,195,4597,General Increase
M,54,378,4599,General Increase
M,47,433,4600,General Increase
O,61,9,4603,General Increase
M,52,413,4606,General Increase
O,59,494,4607,General Increase
E,21,225,4609,General Increase
E,40,362,4611,General Increase
F,22,168,4612,General Increase
E,19,238,4631,General Increase
F,75,291,4638,General Increase
M,54,376,4639,General Increase
E,20,227,4644,General Increase
M,54,381,4653,General Increase
O,72,492,4654,General Increase
E,19,206,4660,General Increase
B,46,405,4678,General Increase
F,75,315,4682,General Increase
F,22,167,4687,General Increase
M,54,582,4689,General Increase
E,25,272,4695,General Increase
M,54,582,4696,General Increase
O,61,557,4700,General Increase
O,61,557,4706,General Increase
M,54,585,4734,General Increase
O,61,490,4747,General Increase
O,61,550,4757,General Increase
O,59,499,4848,General Increase
M,47,430,4865,General Increase
B,46,375,5003,General Increase
O,72,549,5005,General Increase
O,61,552,5007,General Increase
F,22,170,5012,General Increase
E,21,248,5025,General Increase
F,17,194,5027,General Increase
E,19,207,5028,General Increase
E,19,207,5029,General Increase
E,19,207,5030,General Increase
B,46,366,5031,General Increase
M,54,378,5033,General Increase
A,3,98,5037,General Increase
E,25,262,5038,General Increase
F,75,284,5039,General Increase
M,60,514,5041,General Increase
O,72,492,5043,General Increase
E,53,263,5044,General Increase
F,22,558,5047,General Increase
E,19,203,5048,General Increase
M,54,380,5049,General Increase
M,54,378,5051,General Increase
A,3,98,5054,General Increase
A,9,105,5055,General Increase
A,12,151,5057,General Increase
A,12,153,5058,General Increase
F,26,309,5063,General Increase
E,20,214,5066,General Increase
M,57,396,5070,General Increase
M,57,465,5072,General Increase
M,60,514,5073,General Increase
F,16,179,5076,General Increase
F,17,577,5077,General Increase
M,60,473,5078,General Increase
F,4,305,5085,General Increase
M,52,423,5089,General Increase
M,54,388,5099,General Increase
M,57,396,5101,General Increase
F,22,166,5103,General Increase
E,21,221,5104,General Increase
F,75,286,5105,General Increase
O,72,96,5106,General Increase
O,59,566,5107,General Increase
O,61,557,5109,General Increase
O,61,557,5110,General Increase
F,17,176,5111,General Increase
M,52,418,5115,General Increase
F,75,315,5117,General Increase
O,59,566,5119,General Increase
O,72,492,5122,General Increase
B,46,370,5124,General Increase
F,75,508,5129,General Increase
F,22,166,5130,General Increase
F,22,170,5131,General Increase
O,72,96,5132,General Increase
M,56,457,5133,General Increase
M,57,447,5134,General Increase
M,54,376,5137,General Increase
M,47,432,5141,General Increase
F,22,178,5142,General Increase
O,59,566,5148,General Increase
O,59,485,5149,General Increase
E,40,340,5150,General Increase
M,57,446,5152,General Increase
M,54,582,5167,General Increase
F,17,176,5178,General Increase
O,72,96,5179,General Increase
O,59,485,5180,General Increase
O,59,566,5182,General Increase
O,59,494,5183,General Increase
E,21,219,5184,General Increase
E,21,217,5185,General Increase
B,46,373,5186,General Increase
B,46,369,5189,General Increase
B,46,370,5190,General Increase
M,60,471,5195,General Increase
A,12,144,5196,General Increase
F,22,233,5200,General Increase
F,17,175,5201,General Increase
F,17,171,5202,General Increase
E,21,217,5203,General Increase
O,61,557,5205,General Increase
O,61,557,5206,General Increase
O,59,485,5207,General Increase
A,9,90,5214,General Increase
M,57,581,5215,General Increase
M,47,411,5219,General Increase
F,75,292,5227,General Increase
F,75,282,5228,General Increase
F,22,166,5229,General Increase
M,54,388,5232,General Increase
M,54,403,5233,General Increase
M,54,401,5234,General Increase
M,54,403,5235,General Increase
F,22,167,5239,General Increase
F,17,190,5240,General Increase
F,22,231,5241,General Increase
F,17,191,5242,General Increase
A,9,90,5250,General Increase
O,61,510,5257,General Increase
O,61,397,5258,General Increase
O,61,397,5259,General Increase
A,9,115,5264,General Increase
O,72,559,5265,General Increase
O,61,397,5269,General Increase
M,54,582,5270,General Increase
M,60,472,5272,General Increase
M,60,472,5273,General Increase
O,59,496,5279,General Increase
F,17,175,5281,General Increase
F,17,192,5282,General Increase
F,17,172,5293,General Increase
F,17,172,5295,General Increase
O,59,494,5297,General Increase
F,4,305,5298,General Increase
A,9,89,5299,General Increase
O,61,9,5304,General Increase
O,61,397,5306,General Increase
B,44,410,5307,General Increase
O,59,485,5308,General Increase
E,40,339,5313,General Increase
B,46,370,5329,General Increase
B,46,369,5330,General Increase
B,46,368,5331,General Increase
O,61,510,5332,General Increase
M,54,376,5334,General Increase
M,57,449,5337,General Increase
M,57,459,5338,General Increase
F,22,558,5340,General Increase
M,54,379,5341,General Increase
M,57,365,5342,General Increase
F,75,281,5344,General Increase
F,75,508,5345,General Increase
O,61,510,5349,General Increase
M,54,403,5350,General Increase
F,22,231,5356,General Increase
F,22,234,5358,General Increase
F,17,228,5360,General Increase
M,47,432,5361,General Increase
B,46,368,5369,General Increase
M,54,379,5370,General Increase
E,21,239,5374,General Increase
F,75,282,5382,General Increase
F,75,284,5384,General Increase
E,19,207,5385,General Increase
A,9,105,5391,General Increase
M,57,581,5394,General Increase
E,53,263,5398,General Increase
E,25,279,5399,General Increase
E,25,267,5402,General Increase
E,19,238,5404,General Increase
E,21,223,5409,General Increase
F,22,178,5414,General Increase
E,41,242,5417,General Increase
E,41,242,5418,General Increase
A,12,144,5419,General Increase
A,9,90,5420,General Increase
O,59,495,5421,General Increase
O,61,397,5423,General Increase
O,59,495,5427,General Increase
B,46,372,5428,General Increase
B,46,368,5429,General Increase
E,53,436,5432,General Increase
F,75,284,5436,General Increase
M,60,477,5440,General Increase
M,47,411,5441,General Increase
F,17,228,5445,General Increase
F,17,176,5447,General Increase
F,75,284,5450,General Increase
M,54,388,5458,General Increase
M,60,476,5461,General Increase
M,60,476,5462,General Increase
E,21,219,5466,General Increase
F,22,234,5469,General Increase
E,19,202,5472,General Increase
F,22,165,5476,General Increase
F,4,305,5481,General Increase
E,25,268,5485,General Increase
F,22,166,5495,General Increase
F,17,187,5497,General Increase
E,21,221,5499,General Increase
O,61,481,5605,General Increase
O,61,552,5606,General Increase
O,61,552,5608,General Increase
O,61,552,5609,General Increase
O,61,512,5610,General Increase
A,12,153,5616,General Increase
E,25,267,5617,General Increase
O,72,545,5623,General Increase
M,52,422,5625,General Increase
B,46,367,5626,General Increase
O,61,550,5627,General Increase
M,60,471,5628,General Increase
M,56,457,5629,General Increase
M,57,449,5632,General Increase
O,61,512,5633,General Increase
O,61,512,5634,General Increase
O,61,512,5635,General Increase
O,61,551,5638,General Increase
O,59,495,5645,General Increase
O,59,495,5646,General Increase
F,22,170,5649,General Increase
E,53,435,5669,General Increase
M,54,380,5676,General Increase
O,61,550,5678,General Increase
O,59,495,5695,General Increase
M,57,449,5701,General Increase
O,61,9,5725,General Increase
A,9,115,5727,General Increase
F,17,190,5732,General Increase
O,72,559,5741,General Increase
F,4,305,5745,General Increase
F,4,306,5747,General Increase
M,52,414,5748,General Increase
F,17,577,5752,General Increase
F,75,283,5753,General Increase
E,19,197,5761,General Increase
M,54,403,5763,General Increase
B,46,371,5768,General Increase
E,25,267,5781,General Increase
F,22,233,5795,General Increase
B,46,367,5799,General Increase
M,52,412,5806,General Increase
O,72,549,5816,General Increase
O,72,549,5817,General Increase
O,72,549,5818,General Increase
O,72,549,5819,General Increase
O,72,549,5820,General Increase
B,46,370,5835,General Increase
M,56,399,5841,General Increase
E,19,197,5842,General Increase
E,19,206,5844,General Increase
O,72,559,5846,General Increase
F,75,290,5847,General Increase
M,60,467,5853,General Increase
E,21,219,5857,General Increase
B,46,367,5858,General Increase
M,57,581,5859,General Increase
F,17,176,5867,General Increase
A,9,91,5871,General Increase
A,14,15,5872,General Increase
O,72,559,5875,General Increase
F,4,306,5879,General Increase
F,75,292,5880,General Increase
F,22,167,5881,General Increase
M,60,474,5883,General Increase
F,22,234,5888,General Increase
F,22,166,5891,General Increase
E,19,203,5893,General Increase
A,9,91,5894,General Increase
M,60,476,5899,General Increase
E,40,340,5927,General Increase
M,60,476,5929,General Increase
F,75,283,5936,General Increase
M,57,458,5938,General Increase
F,75,283,5941,General Increase
F,22,558,5944,General Increase
M,57,581,5956,General Increase
M,54,585,5957,General Increase
E,25,266,5965,General Increase
F,75,283,5968,General Increase
F,75,292,5969,General Increase
M,52,424,5976,General Increase
M,52,423,5977,General Increase
O,72,559,5988,General Increase
M,52,423,5992,General Increase
O,72,559,6149,General Increase
O,59,485,6172,General Increase
O,59,496,6174,General Increase
O,61,490,6178,General Increase
A,9,118,6190,General Increase
O,59,499,6233,General Increase
M,47,411,6392,General Increase
F,4,29,6395,General Increase
O,72,549,6398,General Increase
O,59,494,6470,General Increase
B,46,369,6477,General Increase
B,46,373,6480,General Increase
O,59,485,6500,General Increase
O,59,485,6585,General Increase
O,59,499,6586,General Increase
A,12,145,6807,General Increase
O,72,96,6894,General Increase
E,41,256,6931,General Increase
O,72,102,6937,General Increase
F,75,286,6952,General Increase
O,59,499,6962,General Increase
A,12,144,6964,General Increase
A,3,101,6978,General Increase
O,59,499,7004,General Increase
A,12,153,7020,General Increase
F,75,287,7032,General Increase
O,61,557,7043,General Increase
O,59,499,7062,General Increase
E,25,243,7087,General Increase
O,59,499,7146,General Increase
O,61,557,7168,General Increase
O,59,502,7174,General Increase
O,59,502,7177,General Increase
O,59,499,7180,General Increase
F,4,29,7181,General Increase
M,47,383,7199,General Increase
O,72,102,7221,General Increase
E,41,242,7290,General Increase
O,59,498,7296,General Increase
O,72,102,7298,General Increase
O,59,498,7304,General Increase
O,72,102,7307,General Increase
O,59,498,7315,General Increase
O,61,510,7320,General Increase
F,17,171,8331,General Increase
E,25,271,196,Increase to Market-$15
E,25,271,216,Increase to Market-$15
E,25,271,222,Increase to Market-$15
E,25,271,233,Increase to Market-$15
E,25,271,237,Increase to Market-$15
E,25,271,252,Increase to Market-$15
E,25,273,254,Increase to Market-$15
E,25,271,262,Increase to Market-$15
E,25,271,302,Increase to Market-$15
E,25,271,352,Increase to Market-$15
E,25,273,422,Increase to Market-$15
E,25,273,454,Increase to Market-$15
E,25,273,492,Increase to Market-$15
E,25,273,506,Increase to Market-$15
E,25,273,550,Increase to Market-$15
E,25,580,566,Increase to Market-$15
E,25,271,596,Increase to Market-$15
B,46,375,826,Increase to Market-$15
E,25,271,833,Increase to Market-$15
E,25,580,870,Increase to Market-$15
E,53,425,913,Increase to Market-$15
E,53,425,982,Increase to Market-$15
E,25,262,1003,Increase to Market-$15
E,53,425,1020,Increase to Market-$15
E,53,425,1038,Increase to Market-$15
E,25,580,1162,Increase to Market-$15
E,25,262,1307,Increase to Market-$15
E,25,270,1377,Increase to Market-$15
B,46,375,1380,Increase to Market-$15
E,25,262,1386,Increase to Market-$15
E,25,270,1413,Increase to Market-$15
E,53,436,1446,Increase to Market-$15
M,52,419,1447,Increase to Market-$15
E,25,270,1531,Increase to Market-$15
M,52,419,1609,Increase to Market-$15
E,53,438,1669,Increase to Market-$15
E,53,436,1672,Increase to Market-$15
E,25,580,1676,Increase to Market-$15
M,52,419,1757,Increase to Market-$15
E,25,580,1783,Increase to Market-$15
M,52,421,1858,Increase to Market-$15
M,52,419,1929,Increase to Market-$15
M,52,419,2937,Increase to Market-$15
E,53,436,3245,Increase to Market-$15
B,46,375,3428,Increase to Market-$15
E,53,440,3643,Increase to Market-$15
E,53,425,4257,Increase to Market-$15
E,53,436,4281,Increase to Market-$15
E,25,262,4323,Increase to Market-$15
E,25,270,4641,Increase to Market-$15
E,25,262,4699,Increase to Market-$15
M,52,419,4849,Increase to Market-$15
E,25,270,5060,Increase to Market-$15
E,53,438,5373,Increase to Market-$15
E,53,438,5397,Increase to Market-$15
M,56,453,1651,Increase to Market-$17
M,56,454,1881,Increase to Market-$17
M,56,452,2697,Increase to Market-$17
M,56,450,5890,Increase to Market-$17
O,61,552,5981,Increase to Market-$17
M,56,450,1983,Increase to Market-$17
O,61,552,4759,Increase to Market-$17
M,56,455,3712,Increase to Market-$17
M,56,453,1979,Increase to Market-$17
M,56,453,5139,Increase to Market-$17
O,61,552,5683,Increase to Market-$17
M,56,454,1697,Increase to Market-$17
M,56,454,5848,Increase to Market-$17
M,56,453,2048,Increase to Market-$17
M,56,455,1760,Increase to Market-$17
M,56,452,5231,Increase to Market-$17
O,61,552,5980,Increase to Market-$17
M,56,450,2054,Increase to Market-$17
O,61,552,5979,Increase to Market-$17
M,56,511,1972,Increase to Market-$17
M,56,452,1789,Increase to Market-$17
M,56,450,2117,Increase to Market-$17
M,56,452,3493,Increase to Market-$17
M,56,455,5136,Increase to Market-$17
M,56,450,2039,Increase to Market-$17
O,61,512,3046,Increase to Market-$17
M,56,450,1587,Increase to Market-$17
M,56,450,5710,Increase to Market-$17
M,56,454,4393,Increase to Market-$17
M,56,455,4309,Increase to Market-$17
M,56,511,5843,Increase to Market-$17
M,56,452,1615,Increase to Market-$17
M,56,455,2418,Increase to Market-$17
O,61,512,5611,Increase to Market-$17
M,56,511,2161,Increase to Market-$17
M,56,455,2457,Increase to Market-$17
O,61,552,3090,Increase to Market-$17
M,56,455,3587,Increase to Market-$17
M,56,453,1755,Increase to Market-$17
M,56,455,1988,Increase to Market-$17
M,56,455,4202,Increase to Market-$17
O,61,552,5982,Increase to Market-$17
M,56,454,2464,Increase to Market-$17
M,56,454,2598,Increase to Market-$17
M,56,454,2735,Increase to Market-$17
M,56,454,3081,Increase to Market-$17
M,56,454,5192,Increase to Market-$17
O,61,512,3022,Increase to Market-$17
M,56,452,1554,Increase to Market-$17
M,56,452,3352,Increase to Market-$17
M,56,452,3708,Increase to Market-$17
M,56,511,2025,Increase to Market-$17
O,61,512,3047,Increase to Market-$17
M,56,450,1963,Increase to Market-$17
M,56,453,2052,Increase to Market-$17
M,56,453,1704,Increase to Market-$17
M,56,454,3652,Increase to Market-$17
M,56,453,2190,Increase to Market-$17
M,56,455,1903,Increase to Market-$17
F,17,187,5498,Increase to Market-$16
F,17,187,3334,Increase to Market-$16
F,17,187,1946,Increase to Market-$16
F,17,187,2092,Increase to Market-$16
F,17,187,1994,Increase to Market-$16
F,17,187,3329,Increase to Market-$16
F,17,187,2424,Increase to Market-$16
F,17,195,2088,Increase to Market-$16
F,17,194,1949,Increase to Market-$16
F,17,194,2326,Increase to Market-$16
F,17,194,1973,Increase to Market-$16
F,17,194,2159,Increase to Market-$16
F,17,194,2164,Increase to Market-$16
F,17,194,2043,Increase to Market-$16
F,16,161,2283,Increase to Market-$15
F,16,161,1873,Increase to Market-$15
F,16,161,2885,Increase to Market-$15
F,16,161,2261,Increase to Market-$15
F,16,161,2225,Increase to Market-$15
F,16,161,3301,Increase to Market-$15
F,16,161,2373,Increase to Market-$15
F,16,161,2747,Increase to Market-$15
F,16,161,1964,Increase to Market-$15
F,17,163,2232,Increase to Market-$15
F,17,163,2719,Increase to Market-$15
F,17,162,5777,Increase to Market-$15
F,17,173,3543,Increase to Market-$15
F,17,162,2282,Increase to Market-$15
F,17,162,2200,Increase to Market-$15
F,17,163,3545,Increase to Market-$15
F,17,163,5095,Increase to Market-$15
F,17,162,2854,Increase to Market-$15
F,17,162,1891,Increase to Market-$15
F,17,173,5294,Increase to Market-$15
F,17,173,2284,Increase to Market-$15
F,17,163,5439,Increase to Market-$15
F,17,173,3546,Increase to Market-$15
F,17,163,2965,Increase to Market-$15
F,17,162,2022,Increase to Market-$15
F,17,173,2954,Increase to Market-$15
F,17,173,3547,Increase to Market-$15
F,17,162,2170,Increase to Market-$15
F,17,162,2898,Increase to Market-$15
F,17,162,1980,Increase to Market-$15
F,17,163,2900,Increase to Market-$15
F,17,173,2163,Increase to Market-$15
F,17,173,2897,Increase to Market-$15
F,17,173,2585,Increase to Market-$15
F,17,173,2144,Increase to Market-$15
F,17,163,2371,Increase to Market-$15
F,17,173,3548,Increase to Market-$15
F,17,162,2331,Increase to Market-$15
F,17,173,3803,Increase to Market-$15
M,57,445,2333,Increase to Market-$17
M,57,445,1879,Increase to Market-$17
M,57,445,4340,Increase to Market-$17
M,57,445,1588,Increase to Market-$17
M,57,445,4392,Increase to Market-$17
E,25,262,844,Increase to Market-$15
E,25,262,852,Increase to Market-$15
E,25,279,796,Increase to Market-$15
E,25,279,636,Increase to Market-$15
E,25,262,1548,Increase to Market-$15
B,46,364,1299,Increase to Market-$17
B,46,405,1442,Increase to Market-$17
B,46,364,1369,Increase to Market-$17
B,46,364,1417,Increase to Market-$17
B,46,364,5303,Increase to Market-$17
B,46,364,3730,Increase to Market-$17
B,46,364,1230,Increase to Market-$17
B,46,364,4355,Increase to Market-$17
B,46,364,1328,Increase to Market-$17
M,56,392,1648,Increase to Market-$15
M,56,392,3408,Increase to Market-$15
M,56,392,2453,Increase to Market-$15
M,56,392,4370,Increase to Market-$15
M,56,392,5864,Increase to Market-$15
M,56,392,2617,Increase to Market-$15
M,60,475,5869,Increase to Market-$16
M,60,475,1817,Increase to Market-$16
M,60,475,1889,Increase to Market-$16
M,60,475,2492,Increase to Market-$16
M,57,458,2291,Increase to Market-$17
M,57,458,3516,Increase to Market-$17
M,57,458,3947,Increase to Market-$17
M,57,458,5305,Increase to Market-$17
O,61,551,4169,Increase to Market-$17
M,57,458,2253,Increase to Market-$17
M,57,458,3524,Increase to Market-$17
M,57,459,5886,Increase to Market-$17
O,61,551,3084,Increase to Market-$17
M,57,459,5996,Increase to Market-$17
O,61,551,5684,Increase to Market-$17
M,57,459,5140,Increase to Market-$17
M,57,458,5023,Increase to Market-$17
O,61,551,5637,Increase to Market-$17
M,57,460,2245,Increase to Market-$17
M,57,460,2494,Increase to Market-$17
M,57,460,5075,Increase to Market-$17
M,57,459,1700,Increase to Market-$17
M,57,459,3494,Increase to Market-$17
M,57,459,1917,Increase to Market-$17
M,57,460,2094,Increase to Market-$17
O,61,551,3101,Increase to Market-$17
O,61,551,5640,Increase to Market-$17
M,57,464,2242,Increase to Market-$17
M,57,464,5930,Increase to Market-$17
M,57,484,3522,Increase to Market-$17
M,57,464,2523,Increase to Market-$17
M,57,464,5032,Increase to Market-$17
O,61,481,5602,Increase to Market-$17
M,57,464,2082,Increase to Market-$17
M,57,462,3464,Increase to Market-$17
M,57,484,2251,Increase to Market-$17
M,57,445,1692,Increase to Market-$17
M,57,465,5807,Increase to Market-$17
O,61,515,2487,Increase to Market-$17
M,57,461,1912,Increase to Market-$17
M,57,461,2842,Increase to Market-$17
M,57,484,2292,Increase to Market-$17
O,61,515,4762,Increase to Market-$17
O,61,551,5603,Increase to Market-$17
M,57,465,4132,Increase to Market-$17
M,57,484,2401,Increase to Market-$17
M,57,462,1756,Increase to Market-$17
M,57,466,2218,Increase to Market-$17
M,57,466,4171,Increase to Market-$17
M,57,462,1941,Increase to Market-$17
O,61,481,5604,Increase to Market-$17
M,57,445,1914,Increase to Market-$17
O,61,551,5601,Increase to Market-$17
M,57,466,2636,Increase to Market-$17
M,57,466,5644,Increase to Market-$17
O,61,515,5663,Increase to Market-$17
M,57,464,3248,Increase to Market-$17
M,57,464,5641,Increase to Market-$17
O,61,551,5661,Increase to Market-$17
O,61,551,3099,Increase to Market-$17
O,61,515,3133,Increase to Market-$17
M,57,466,2206,Increase to Market-$17
M,57,460,2077,Increase to Market-$17
M,57,465,2609,Increase to Market-$17
O,61,515,2998,Increase to Market-$17
M,57,465,3477,Increase to Market-$17
M,57,465,4101,Increase to Market-$17
M,57,461,5193,Increase to Market-$17
