DC Number,Type,Date,Application,Summary,Status,CRQ,Cell
6096,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
6096,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
6096,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6096,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
6096,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6096,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
6096,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
6096,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
6097,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6097,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6097,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6097,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6097,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6099,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6099,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6099,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
6099,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6099,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6858,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
6858,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
6858,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
6858,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
6858,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7010,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7010,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7010,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7010,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7012,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7012,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
7012,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7012,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7012,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
7012,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
7012,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
7012,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
7013,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7013,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7013,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7013,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
7013,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7013,Enhancement,7/22/2025,Receiving,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7013,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7013,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7013,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
7013,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7013,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7013,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7013,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7013,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7013,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7014,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
7014,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
7014,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7014,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
7014,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
7015,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7015,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7015,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7015,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7016,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7016,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
7016,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
7016,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
7016,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
7017,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
7017,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
7017,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7017,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
7017,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
7017,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7017,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
7017,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7018,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7018,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7018,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7018,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7019,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
7019,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
7019,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
7019,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
7019,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7021,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7021,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7021,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7021,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7021,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Deployed,CHG3349203,
7021,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7021,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7021,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7021,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7021,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7021,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7021,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7021,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7021,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7021,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7023,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7023,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3348423,Cell012
7023,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
7023,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7023,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Deployed,CHG3339095,Cell012
7023,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
7023,Bug Fix,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Deployed,CHG3353974,Cell012
7023,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Deployed,CHG3338786,Cell012
7024,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7024,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7024,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7024,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7030,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
7030,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
7030,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
7030,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7030,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
7047,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7047,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7047,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7047,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7047,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Deployed,CHG3349203,
7047,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7047,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7047,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7047,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7047,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
7047,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7047,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7047,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
7047,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7047,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7048,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7048,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7048,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7048,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7048,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7048,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7048,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7048,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Deployed,CHG3349203,
7048,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7048,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7048,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7048,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7048,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7048,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
7048,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7055,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
7055,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
7055,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358494,"Cell010, Cell011"
7055,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
7055,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7077,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7077,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7077,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7077,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7077,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7077,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7077,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7077,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7077,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7077,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,CHG3356181,"Cell000, Cell001, Cell002"
7077,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7077,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7077,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Deployed,CHG3349203,
7077,Bug Fix,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,CHG3353476,"Cell000, Cell001, Cell002"
7077,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7079,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
7079,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7079,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7079,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7084,Enhancement,7/22/2025,Atlas Moves,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336527,Cell002
7084,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358542,"Cell000, Cell001, Cell002"
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336076,Cell002
7084,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358491,"Cell000, Cell001, Cell002"
7084,Enhancement,7/22/2025,DC Fin,DC US8852 Inventory 2.0 Migration: DCFIN CCM Changes,Deployed,CHG3352870,
7084,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3334216,Cell002
7084,Enhancement,7/22/2025,Order Processing/ Order Filling,UI Site planned for conversion is Witron 8852,Deployed,CHG3345788,Cell002
7084,Bug Fix,7/21/2025,Shore,GDC Enhancement and Bug fix Rollout,Deployed,CHG3348889,Cell002
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7084,Enhancement,7/22/2025,WTD / LMS,"LMS, GDC, , Witron 8852, toggle off Witron MQ toggle on Witron Kafka",Deployed,CHG3356245,Cell002
7084,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,CHG3362580,"Cell000, Cell002"
7084,Enhancement,7/21/2025,Inventory,Create Topic for 8852 Migration and Deployment of Shafter E2E defect fixes,Deployed,CHG3349203,
7084,Enhancement,7/22/2025,Loading,8852 Modernization Atlas Loading CCM changes,Deployed,CHG3336204,Cell002
7084,Bug Fix,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358514,"Cell000, Cell001, Cell002"
