Store ,NSW2 Console QTY,NSW2 Mario Kart World QTY,NSW2 Pro Controller ,Total Estimated Preorder,Associates Needed
1256,17,57,12,86,2
1257,,5,,5,1
1259,14,26,8,48,1
1260,,8,,8,1
1261,14,29,3,46,1
1263,25,51,18,94,2
1264,5,26,3,34,1
1265,8,26,8,42,1
1266,10,17,5,32,1
1267,28,50,11,89,1
1268,8,10,,18,1
1270,13,28,9,50,1
1271,9,10,2,21,1
1272,,9,,9,1
1273,22,59,11,92,2
1274,4,19,6,29,1
1275,14,26,4,44,1
1276,12,28,8,48,1
1277,5,7,2,14,1
1279,19,42,12,73,1
1280,21,44,8,73,1
1281,14,33,3,50,1
1282,3,11,1,15,1
1283,13,29,6,48,1
1284,13,30,6,49,1
1285,12,13,4,29,1
1286,9,22,5,36,1
1287,17,26,6,49,1
1288,10,25,1,36,1
1289,14,27,7,48,1
1290,13,30,11,54,1
1291,21,60,18,99,1
1292,20,38,7,65,1
1293,11,22,2,35,1
1294,12,24,8,44,1
1295,1,1,,2,1
1296,15,30,6,51,1
1297,9,13,3,25,1
1298,12,33,4,49,1
1299,13,27,5,45,1
1300,17,33,3,53,1
1301,15,43,13,71,1
1302,7,21,5,33,1
1303,26,64,16,106,2
1304,16,43,17,76,1
1305,26,68,10,104,2
1306,18,41,8,67,1
1307,16,34,3,53,1
1308,16,46,14,76,2
1309,14,37,10,61,1
1310,8,35,6,49,1
1311,14,32,5,51,1
1312,9,22,4,35,1
1313,14,35,4,53,1
1314,9,33,12,54,1
1315,10,49,7,66,1
1316,6,15,3,24,1
1317,12,23,7,42,1
1318,20,50,16,86,1
1319,17,45,15,77,1
1320,18,43,11,72,1
1321,14,35,12,61,1
1322,18,38,2,58,1
1323,6,21,6,33,1
1324,13,60,7,80,2
1325,14,39,13,66,1
1326,9,26,8,43,1
1327,4,30,3,37,1
1328,2,10,1,13,1
1329,2,21,1,24,1
1330,13,36,8,57,1
1331,11,32,5,48,1
1332,13,22,7,42,1
1333,4,17,2,23,1
1334,,6,2,8,1
1335,13,25,3,41,1
1336,8,18,3,29,1
1337,6,35,2,43,1
1338,7,22,4,33,1
1339,10,24,2,36,1
1340,5,23,4,32,1
1341,16,44,7,67,1
1342,12,18,9,39,1
1344,13,30,6,49,1
1345,6,12,,18,1
1346,16,26,3,45,1
1347,9,27,5,41,1
1348,14,34,16,64,1
1349,16,40,12,68,1
1350,20,48,17,85,1
1351,16,28,5,49,1
1352,4,12,2,18,1
1353,11,32,10,53,1
1354,1,14,1,16,1
1355,9,29,4,42,1
1356,14,29,5,48,1
1357,1,12,5,18,1
1358,1,7,1,9,1
1359,12,21,6,39,1
1360,7,17,,24,1
1361,12,34,6,52,1
1362,12,25,1,38,1
1363,6,14,4,24,1
1364,7,15,1,23,1
1365,10,33,10,53,1
1366,5,14,3,22,1
1367,19,43,12,74,1
1368,2,9,,11,1
1369,5,11,2,18,1
1370,6,20,2,28,1
1371,14,31,8,53,1
1372,16,35,9,60,1
1373,17,51,15,83,1
1374,23,51,11,85,1
1375,5,14,3,22,1
1376,22,58,21,101,2
1377,21,42,17,80,1
1378,15,34,10,59,1
1379,14,26,9,49,1
1380,5,13,3,21,1
1381,10,29,11,50,1
1382,9,22,10,41,1
1383,7,21,6,34,1
1384,1,9,3,13,1
1385,14,38,11,63,1
1386,9,23,3,35,1
1387,14,44,11,69,1
1388,13,27,5,45,1
1389,8,18,4,30,1
1390,15,59,15,89,1
1391,13,30,4,47,1
1392,12,31,10,53,1
1393,3,9,1,13,1
1394,22,42,11,75,1
1395,7,19,1,27,1
1396,10,29,5,44,1
1397,15,43,12,70,1
1398,16,35,9,60,1
1399,8,23,5,36,1
1400,17,47,14,78,1
1401,26,55,13,94,2
1403,6,31,3,40,1
1404,12,33,11,56,1
1405,4,10,1,15,1
1406,13,32,9,54,1
1407,16,37,9,62,1
1408,7,21,5,33,1
1409,20,50,8,78,1
1410,12,34,10,56,1
1411,12,38,7,57,1
1412,12,41,9,62,1
1413,17,57,13,87,2
1414,6,11,1,18,1
1415,6,18,7,31,1
1416,9,18,4,31,1
1417,9,25,,34,1
1418,17,52,14,83,1
1419,21,50,17,88,2
1420,28,51,17,96,1
1421,14,28,15,57,1
1422,8,22,3,33,1
1423,16,28,8,52,1
1424,16,30,5,51,1
1425,9,24,3,36,1
1426,20,50,11,81,1
1427,13,33,5,51,1
1428,17,45,10,72,1
1429,14,34,4,52,1
1430,23,44,6,73,1
1431,6,20,1,27,1
1432,14,30,7,51,1
1433,8,24,5,37,1
1434,13,34,13,60,1
1435,3,5,1,9,1
1436,13,34,9,56,1
1437,,7,1,8,1
1438,25,69,13,107,1
1439,24,57,13,94,2
1440,26,70,17,113,2
1441,27,44,12,83,1
1442,,1,,1,1
1443,29,61,16,106,2
1444,17,39,10,66,1
1445,9,16,1,26,1
1446,12,29,7,48,1
1447,19,41,9,69,1
1448,20,38,6,64,1
1449,19,46,10,75,1
1450,5,23,3,31,1
1451,1,8,,9,1
1452,15,33,9,57,1
1453,25,64,20,109,1
1454,11,42,11,64,1
1455,12,28,10,50,1
1456,3,8,,11,1
1457,,7,,7,1
1458,22,44,12,78,1
1459,14,39,14,67,1
1460,2,28,3,33,1
1461,3,15,3,21,1
1462,2,7,4,13,1
1463,17,39,13,69,1
1464,13,42,10,65,1
1465,15,33,3,51,1
1466,11,27,6,44,1
1467,4,14,3,21,1
1468,,13,4,17,1
1469,19,38,8,65,1
1470,7,30,7,44,1
1472,17,34,10,61,1
1473,16,40,10,66,1
1474,3,46,1,50,1
1475,4,6,1,11,1
1476,27,65,17,109,2
1477,4,18,2,24,1
1478,16,40,9,65,1
1479,28,49,12,89,1
1480,4,15,,19,1
1481,12,30,12,54,1
1482,14,30,6,50,1
1483,3,20,5,28,1
1485,7,29,4,40,1
1486,8,18,2,28,1
1487,14,37,11,62,1
1488,15,39,6,60,1
1489,16,35,9,60,1
1490,9,42,8,59,1
1491,13,29,6,48,1
1492,16,57,14,87,1
1493,1,7,1,9,1
1494,16,38,5,59,1
1495,13,43,12,68,1
1496,17,38,8,63,1
1497,5,26,7,38,1
1498,9,24,8,41,1
1499,3,13,4,20,1
1500,4,22,1,27,1
1501,12,29,8,49,1
1502,6,7,1,14,1
1503,19,58,15,92,1
1504,22,52,12,86,1
1505,10,42,4,56,1
1506,2,8,1,11,1
1507,15,30,4,49,1
1508,3,12,6,21,1
1509,,12,2,14,1
1510,32,94,22,148,2
1511,16,39,10,65,1
1512,15,29,10,54,1
1513,13,32,6,51,1
1514,19,48,18,85,2
1515,13,36,10,59,1
1516,7,15,4,26,1
1517,8,24,7,39,1
1518,16,45,13,74,1
1519,12,30,5,47,1
1520,9,21,5,35,1
1521,15,31,6,52,1
1522,8,14,3,25,1
1523,26,58,14,98,2
1524,15,39,12,66,1
1525,13,49,16,78,1
1526,4,5,2,11,1
1527,10,33,4,47,1
1528,18,49,13,80,1
1529,33,74,9,116,2
1530,8,3,,11,1
1531,12,40,11,63,1
1532,21,44,4,69,1
1533,18,41,,59,1
1534,12,29,7,48,1
1535,18,48,10,76,1
1536,14,38,11,63,1
1537,8,26,1,35,1
1538,9,38,12,59,1
1539,16,44,6,66,1
1540,11,29,10,50,1
1541,24,63,7,94,2
1542,8,15,2,25,1
1543,5,20,2,27,1
1544,17,34,9,60,1
1545,15,35,7,57,1
1546,3,8,1,12,1
1547,14,42,12,68,1
1548,5,12,,17,1
1549,24,48,6,78,1
1550,2,3,,5,1
1551,11,42,11,64,1
1552,13,33,9,55,1
1553,25,46,14,85,2
1554,26,65,16,107,2
1555,27,63,8,98,3
1556,26,61,14,101,2
1557,14,43,11,68,1
1558,5,19,7,31,1
1559,16,47,12,75,1
1560,19,38,15,72,1
1561,5,19,7,31,1
1562,16,25,8,49,1
1563,19,51,10,80,2
1564,17,40,6,63,1
1565,9,12,5,26,1
1566,16,26,9,51,1
1567,5,33,5,43,1
1568,19,48,4,71,1
1569,11,27,1,39,1
1570,20,39,8,67,1
1571,10,35,11,56,1
1572,11,35,8,54,1
1573,4,16,1,21,1
1574,26,63,8,97,2
1575,12,33,1,46,1
1576,24,39,11,74,1
1577,20,38,12,70,1
1578,25,51,15,91,1
1579,5,15,4,24,1
1580,15,34,11,60,1
1581,15,40,14,69,1
1583,18,43,3,64,2
1584,19,52,14,85,1
1585,5,23,3,31,1
1586,16,45,11,72,2
1587,13,37,12,62,2
1588,18,38,,56,2
1589,18,34,6,58,1
1590,32,69,14,115,2
1591,25,61,17,103,2
1592,8,16,5,29,1
1593,13,20,2,35,2
1594,22,59,11,92,2
1595,18,53,10,81,1
1596,16,42,11,69,1
1597,15,39,10,64,1
1598,19,39,9,67,1
1599,13,38,10,61,1
1600,18,51,6,75,2
1601,24,49,17,90,1
1602,17,37,12,66,1
1603,1,5,1,7,1
1604,13,36,7,56,1
1605,14,30,8,52,1
1606,25,49,7,81,2
1607,19,35,14,68,1
1608,13,28,3,44,1
1609,5,7,3,15,1
1610,14,37,11,62,1
1611,23,45,13,81,1
1612,27,59,8,94,1
1613,10,24,1,35,1
1614,8,25,5,38,1
1615,16,39,11,66,2
1616,2,11,,13,1
1617,5,31,6,42,1
1618,17,48,13,78,1
1619,27,61,13,101,2
1620,2,5,3,10,1
1621,5,6,2,13,1
1622,14,34,10,58,1
1623,28,81,21,130,2
1624,19,39,,58,2
1625,8,19,2,29,1
1626,15,40,16,71,1
1627,19,38,11,68,1
1628,14,26,7,47,1
1629,4,14,3,21,1
1630,7,9,,16,1
1631,14,39,9,62,1
1632,7,34,4,45,1
1633,17,38,11,66,1
1634,5,16,4,25,1
1635,18,34,10,62,1
1636,19,45,9,73,1
1637,20,40,15,75,1
1638,2,3,1,6,1
1639,6,17,3,26,1
1640,19,45,15,79,1
1641,2,7,,9,1
1642,13,38,3,54,1
1643,16,42,12,70,1
1644,18,45,11,74,1
1645,22,50,6,78,2
1646,13,40,12,65,1
1647,12,28,2,42,1
1648,14,32,3,49,1
1649,4,10,1,15,1
1650,17,35,10,62,1
1651,27,53,14,94,2
1652,8,23,2,33,1
1653,5,14,,19,1
1654,11,25,4,40,1
1655,5,22,1,28,1
1656,10,33,3,46,1
1657,8,27,9,44,1
1658,4,8,1,13,1
1659,18,49,15,82,1
1660,17,40,7,64,2
1661,11,14,3,28,1
1662,18,36,5,59,1
1663,15,49,11,75,1
1664,15,26,1,42,1
1665,17,48,13,78,1
1666,15,44,11,70,1
1667,5,25,4,34,1
1668,16,37,12,65,1
1669,21,53,12,86,1
1670,20,50,14,84,1
1671,23,55,19,97,1
1672,4,10,,14,1
1673,17,37,5,59,1
1674,17,42,12,71,1
1675,1,12,,13,1
1676,6,17,2,25,1
1677,24,55,13,92,1
1678,8,27,7,42,1
1679,25,48,12,85,1
1680,29,64,14,107,2
1681,18,43,11,72,1
1682,5,6,2,13,1
1683,3,6,2,11,1
1684,10,16,3,29,1
1685,3,7,1,11,1
1686,31,64,25,120,2
1687,15,28,4,47,1
1688,15,28,11,54,1
1689,17,42,13,72,1
1690,17,33,10,60,1
1691,16,45,10,71,1
1692,21,43,5,69,2
1693,19,51,11,81,2
1694,18,36,11,65,1
1695,3,11,2,16,1
1696,2,17,3,22,1
1697,17,36,7,60,2
1698,25,61,18,104,2
1699,33,100,30,163,2
1700,25,58,12,95,2
1702,18,43,14,75,1
1703,18,44,15,77,1
1704,20,42,12,74,2
1705,14,29,1,44,1
1707,13,33,3,49,1
1708,26,74,25,125,2
1709,3,19,3,25,1
1710,8,19,11,38,1
1711,9,20,7,36,1
1712,19,43,14,76,1
1713,5,14,2,21,1
1714,17,38,7,62,1
1715,11,19,5,35,1
1716,12,33,10,55,1
1717,12,30,10,52,1
1718,12,35,11,58,1
1719,6,26,3,35,1
1720,17,45,12,74,1
1721,12,34,13,59,1
1722,5,27,3,35,1
1723,21,49,16,86,1
1724,9,20,5,34,1
1726,15,37,15,67,1
1727,9,13,4,26,1
1728,23,50,17,90,2
1729,8,13,3,24,1
1730,5,14,6,25,1
1731,12,28,6,46,1
1732,,3,,3,1
1733,19,38,8,65,1
1734,17,41,9,67,1
1735,17,35,11,63,1
1736,15,38,7,60,1
1737,18,40,12,70,1
1738,9,24,4,37,1
1739,25,67,15,107,2
1740,13,33,5,51,1
1741,14,38,6,58,1
1742,26,47,15,88,1
1743,2,8,1,11,1
1744,25,55,12,92,2
1745,14,30,2,46,1
1746,21,58,11,90,1
1747,30,70,5,105,3
1748,18,28,6,52,1
1749,23,54,13,90,2
1750,14,37,12,63,1
1751,7,25,7,39,1
1752,28,57,16,101,2
1753,24,53,19,96,1
1754,23,59,18,100,2
1755,23,49,12,84,2
1756,25,57,11,93,2
1757,21,38,12,71,1
1758,14,27,3,44,1
1759,13,38,5,56,1
1760,15,29,12,56,2
1761,11,25,8,44,1
1762,33,60,26,119,2
1763,12,20,1,33,1
1764,17,58,15,90,1
1765,14,29,8,51,1
1766,15,35,10,60,1
1767,10,29,1,40,1
1768,38,100,28,166,2
1769,5,31,5,41,1
1770,31,61,19,111,2
1771,5,20,2,27,1
1772,9,26,7,42,1
1773,12,30,11,53,1
1774,16,38,11,65,1
1775,12,33,6,51,1
1776,17,39,10,66,2
1777,16,36,11,63,1
1778,,11,3,14,1
1779,20,50,13,83,1
1780,21,51,12,84,1
1781,18,44,7,69,1
1782,20,50,22,92,1
1783,14,37,8,59,1
1784,27,59,22,108,1
1785,45,83,23,151,2
1786,14,44,15,73,1
1787,6,13,2,21,1
1788,25,83,22,130,2
1789,12,42,16,70,2
1790,22,50,11,83,1
1791,10,21,4,35,1
1792,7,13,2,22,1
1793,20,48,15,83,1
1794,18,52,10,80,2
1795,11,25,7,43,1
1796,33,97,25,155,2
1797,9,27,4,40,1
1798,5,23,4,32,1
1799,9,23,6,38,1
1800,21,50,6,77,1
1801,18,48,7,73,1
1802,17,37,4,58,1
1803,13,25,10,48,1
1804,19,50,14,83,1
1805,20,39,6,65,2
1806,11,32,7,50,1
1807,11,36,12,59,1
1808,3,6,3,12,1
1809,11,24,10,45,1
1810,43,100,26,169,3
1811,8,29,10,47,1
1812,14,35,10,59,1
1813,13,32,5,50,1
1814,26,47,13,86,1
1815,20,51,11,82,2
1816,6,24,4,34,1
1817,12,41,7,60,1
1819,18,41,11,70,1
1820,16,27,7,50,1
1821,14,32,11,57,1
1823,19,44,9,72,1
1825,26,67,17,110,2
1826,20,45,16,81,2
1827,14,28,6,48,1
1828,20,42,14,76,1
1829,2,6,1,9,1
1830,17,41,10,68,1
1831,16,49,14,79,1
1832,17,51,7,75,2
1833,13,40,8,61,1
1834,21,44,14,79,2
1835,29,67,20,116,2
1836,16,46,8,70,1
1837,12,31,6,49,1
1838,15,27,11,53,1
1839,16,44,13,73,1
1840,17,43,12,72,2
1841,18,46,9,73,1
1842,20,46,13,79,1
1843,18,44,5,67,1
1844,26,47,15,88,2
1845,12,34,12,58,1
1846,3,16,1,20,1
1847,15,33,3,51,1
1848,13,32,11,56,1
1849,14,24,10,48,1
1850,22,47,7,76,2
1851,18,39,10,67,1
1852,33,64,16,113,2
1853,16,42,8,66,2
1855,11,34,12,57,1
1856,26,73,13,112,2
1857,25,49,15,89,1
1858,4,5,1,10,1
1859,45,112,6,163,5
1860,23,48,13,84,1
1861,11,41,10,62,1
1862,39,88,3,130,3
1863,13,44,13,70,1
1864,15,39,10,64,1
1865,4,9,,13,1
1866,10,9,4,23,1
1867,11,40,12,63,1
1868,24,58,17,99,1
1869,11,43,13,67,1
1870,14,35,12,61,1
1871,11,37,8,56,1
1872,18,38,5,61,1
1873,20,70,18,108,2
1874,10,20,3,33,1
1875,22,62,17,101,2
1876,14,34,8,56,1
1877,19,36,7,62,2
1878,29,69,11,109,2
1879,8,17,4,29,1
1880,12,28,3,43,1
1881,13,36,7,56,2
1882,16,30,4,50,1
1883,17,32,16,65,1
1884,32,67,24,123,2
1885,20,45,14,79,1
1886,18,61,12,91,1
1887,16,36,8,60,1
1888,28,71,13,112,2
1889,3,15,3,21,1
1890,12,30,2,44,1
1891,18,39,9,66,1
1892,23,58,15,96,2
1893,17,39,15,71,1
1894,20,51,14,85,1
1895,14,33,6,53,1
1896,17,53,18,88,2
1897,15,32,7,54,1
1898,15,34,8,57,1
1899,29,69,8,106,2
1900,7,32,6,45,1
1901,6,32,5,43,1
1902,30,69,24,123,2
1903,15,34,14,63,2
1904,25,59,15,99,2
1905,5,28,5,38,1
1906,17,40,11,68,1
1907,13,37,1,51,1
1908,16,48,11,75,1
1909,26,47,17,90,2
1910,3,19,2,24,1
1911,21,51,12,84,1
1912,15,41,9,65,2
1913,20,43,11,74,1
1914,19,45,4,68,2
1915,12,36,4,52,2
1916,15,42,11,68,1
1917,23,46,12,81,2
1918,33,66,20,119,2
1919,4,6,1,11,1
1920,19,38,13,70,1
1921,17,44,10,71,1
1922,33,64,10,107,2
1923,28,62,18,108,2
1924,7,27,1,35,1
1925,8,26,7,41,1
1926,15,35,2,52,1
1927,15,33,8,56,1
1928,16,32,5,53,1
1929,15,39,11,65,1
1930,21,59,19,99,2
1931,9,22,2,33,1
1932,6,32,4,42,1
1933,23,57,15,95,2
1934,3,6,2,11,1
1935,14,36,8,58,1
1936,2,24,4,30,1
1937,2,24,5,31,1
1938,33,64,19,116,2
1939,18,44,13,75,1
1940,26,54,16,96,2
1941,24,50,11,85,2
1942,23,53,16,92,1
1943,23,59,13,95,1
1945,9,13,1,23,1
1946,5,11,2,18,1
1947,3,5,,8,1
1948,12,33,7,52,1
1949,17,41,13,71,1
1950,1,9,,10,1
1951,7,28,4,39,1
1952,16,41,11,68,1
1953,9,21,7,37,1
1954,19,40,12,71,1
1955,21,41,10,72,1
1956,24,50,9,83,2
1957,5,16,5,26,1
1958,20,48,5,73,1
1959,23,55,17,95,2
1960,20,53,13,86,1
1961,16,46,12,74,2
1962,17,48,7,72,1
1963,15,37,10,62,2
1964,13,39,9,61,1
1965,19,38,5,62,1
1966,19,40,14,73,1
1967,27,78,20,125,2
1968,18,46,14,78,1
1969,10,41,10,61,1
1970,17,40,11,68,1
1971,22,42,17,81,1
1972,16,32,7,55,2
1973,19,41,13,73,1
1974,1,18,3,22,1
1975,14,31,9,54,1
1976,17,41,16,74,1
1977,23,61,11,95,1
1978,12,30,5,47,1
1979,6,17,1,24,1
1980,18,33,9,60,1
1981,22,53,14,89,1
1982,19,56,20,95,2
1983,22,48,13,83,2
1984,12,28,7,47,1
1985,17,41,11,69,1
1986,14,35,7,56,1
1987,20,45,10,75,1
1988,22,57,15,94,2
1989,18,42,7,67,2
1990,18,29,11,58,1
1991,28,72,16,116,2
1992,26,47,10,83,2
1993,20,49,11,80,1
1994,22,42,7,71,1
1995,16,61,10,87,1
1996,20,50,16,86,2
1997,17,57,12,86,1
1998,26,50,15,91,2
1999,15,38,12,65,1
2000,6,22,5,33,1
2001,21,55,15,91,2
2002,24,53,16,93,2
2003,24,60,14,98,1
2004,13,38,12,63,1
2005,19,39,10,68,1
2006,9,39,11,59,1
2007,13,42,7,62,1
2008,9,27,8,44,1
2009,17,31,7,55,1
2010,13,36,9,58,1
2012,14,40,9,63,1
2013,23,50,8,81,1
2014,2,11,2,15,1
2015,26,51,14,91,2
2016,3,6,,9,1
2019,18,42,11,71,1
2020,4,13,2,19,1
2021,23,61,15,99,2
2022,20,45,14,79,2
2023,20,49,7,76,2
2024,14,28,3,45,1
2025,30,63,18,111,3
2027,24,53,21,98,2
2028,31,77,10,118,3
2030,14,26,7,47,1
2031,23,50,11,84,2
2032,22,56,13,91,2
2033,9,19,,28,1
2035,12,26,4,42,1
2036,24,49,15,88,2
2037,22,42,5,69,1
2038,35,66,17,118,2
2039,9,25,8,42,1
2040,22,38,11,71,1
2041,11,30,7,48,1
2044,9,27,9,45,1
2045,16,44,11,71,1
2046,24,50,10,84,2
2047,9,23,2,34,1
2048,14,36,13,63,2
2049,25,52,12,89,2
2050,21,47,13,81,1
2051,14,32,4,50,1
2052,10,27,5,42,1
2053,3,11,1,15,1
2054,8,24,1,33,1
2055,19,52,9,80,1
2056,20,57,14,91,2
2057,9,21,6,36,1
2058,15,31,11,57,1
2059,22,50,19,91,1
2061,17,29,10,56,1
2062,10,25,11,46,1
2063,19,45,11,75,1
2064,21,41,11,73,1
2065,19,55,16,90,1
2066,13,34,10,57,1
2068,33,69,20,122,2
2069,17,43,18,78,1
2073,24,56,17,97,1
2075,21,45,11,77,2
2077,19,46,12,77,2
2078,17,47,8,72,1
2079,15,32,5,52,1
2080,24,45,10,79,1
2081,16,48,14,78,1
2082,13,40,9,62,2
2083,13,31,8,52,1
2084,21,52,19,92,1
2086,9,33,9,51,1
2087,26,47,13,86,1
2088,15,30,12,57,1
2089,20,45,5,70,1
2090,14,44,12,70,1
2091,65,149,36,250,4
2092,6,14,,20,1
2093,15,34,7,56,1
2094,25,60,17,102,2
2095,14,35,13,62,1
2096,14,33,6,53,1
2097,9,25,3,37,1
2098,18,41,11,70,1
2099,19,36,14,69,2
2100,5,14,2,21,1
2101,23,48,16,87,1
2102,5,26,10,41,1
2103,33,66,16,115,2
2104,32,83,24,139,2
2105,18,45,13,76,1
2106,14,28,10,52,1
2107,16,39,14,69,1
2108,12,32,8,52,1
2109,9,28,5,42,1
2110,25,42,11,78,2
2111,12,30,11,53,1
2112,18,41,14,73,1
2113,23,60,2,85,1
2114,4,12,,16,1
2115,17,40,10,67,1
2116,18,47,7,72,1
2117,13,24,4,41,1
2118,19,48,19,86,1
2119,23,52,12,87,2
2120,17,27,5,49,1
2121,11,35,10,56,1
2122,16,43,10,69,1
2123,9,22,5,36,1
2124,24,64,19,107,1
2125,15,42,15,72,1
2127,22,49,13,84,1
2128,12,34,8,54,1
2129,9,28,4,41,1
2130,11,36,6,53,1
2131,9,23,5,37,1
2132,8,20,3,31,1
2133,26,69,15,110,2
2134,15,45,13,73,1
2135,10,27,4,41,1
2136,13,33,12,58,1
2137,15,41,12,68,1
2138,14,32,13,59,1
2139,34,81,24,139,2
2140,3,8,1,12,1
2141,24,59,18,101,1
2142,26,80,19,125,2
2143,,13,2,15,1
2144,13,40,8,61,1
2145,33,75,25,133,2
2146,14,28,3,45,1
2147,18,36,9,63,1
2149,19,41,11,71,1
2150,36,97,25,158,3
2151,29,72,18,119,2
2152,22,55,14,91,2
2153,23,48,13,84,1
2154,23,61,15,99,2
2155,16,31,7,54,1
2156,15,31,9,55,1
2157,18,42,17,77,1
2158,16,44,11,71,1
2159,8,28,2,38,1
2160,4,17,2,23,1
2161,14,35,8,57,2
2163,24,47,14,85,1
2164,14,31,6,51,1
2166,21,65,19,105,2
2167,17,41,13,71,1
2169,22,53,7,82,2
2170,16,39,13,68,1
2174,31,70,19,120,2
2175,1,10,1,12,1
2176,15,48,15,78,1
2177,29,69,17,115,3
2178,3,6,4,13,1
2180,22,60,17,99,2
2181,25,49,4,78,2
2183,12,27,4,43,1
2184,18,53,14,85,1
2185,12,30,5,47,1
2187,23,51,6,80,1
2189,16,28,12,56,1
2190,15,33,9,57,2
2191,14,27,7,48,1
2192,6,31,5,42,1
2193,17,42,3,62,1
2194,25,58,13,96,2
2195,16,42,10,68,1
2196,11,18,1,30,1
2197,20,42,4,66,1
2198,15,42,8,65,2
2199,15,35,6,56,1
2200,17,45,7,69,1
2201,33,79,8,120,2
2202,17,47,12,76,2
2204,25,48,13,86,1
2205,19,54,12,85,2
2206,17,43,13,73,2
2207,15,46,17,78,1
2208,10,32,4,46,1
2209,12,41,7,60,1
2210,22,48,15,85,1
2211,21,49,14,84,1
2213,20,47,14,81,1
2214,9,25,7,41,1
2215,14,31,11,56,1
2218,17,44,11,72,2
2221,21,51,11,83,1
2222,32,61,19,112,2
2223,19,53,17,89,1
2224,25,62,17,104,2
2225,21,56,17,94,1
2227,14,44,13,71,1
2228,14,38,11,63,1
2230,16,40,10,66,1
2231,19,45,7,71,1
2232,16,48,15,79,1
2233,33,77,23,133,2
2234,15,35,8,58,1
2236,17,32,13,62,1
2237,20,40,10,70,1
2238,14,31,9,54,1
2239,23,55,13,91,1
2241,11,31,3,45,1
2242,27,51,14,92,2
2243,21,44,15,80,1
2244,19,39,7,65,1
2245,24,50,15,89,2
2247,13,39,12,64,1
2248,16,43,12,71,1
2249,26,54,6,86,1
2250,27,44,13,84,1
2251,16,39,9,64,2
2252,22,67,17,106,2
2253,17,56,14,87,2
2254,2,24,8,34,1
2255,18,44,4,66,1
2256,9,20,2,31,1
2257,17,35,10,62,1
2258,14,41,11,66,1
2259,23,51,10,84,1
2261,17,39,10,66,1
2262,8,33,5,46,1
2263,17,42,14,73,1
2264,22,50,9,81,1
2265,24,53,18,95,2
2266,25,62,14,101,2
2267,15,40,11,66,1
2269,19,39,9,67,1
2270,2,19,4,25,1
2271,6,22,4,32,1
2272,9,18,2,29,1
2273,18,36,6,60,1
2274,17,35,6,58,1
2275,9,22,3,34,1
2276,14,37,8,59,1
2277,14,28,6,48,1
2278,18,47,13,78,1
2279,23,47,14,84,1
2280,26,51,14,91,2
2281,27,57,10,94,2
2282,33,62,18,113,2
2283,22,56,17,95,2
2284,27,68,16,111,2
2285,18,37,5,60,1
2286,32,70,19,121,2
2287,19,41,9,69,1
2288,16,41,11,68,2
2289,7,28,5,40,1
2291,32,84,27,143,3
2292,16,40,12,68,2
2293,9,18,5,32,1
2294,18,48,14,80,1
2295,17,35,10,62,1
2297,21,44,14,79,2
2299,27,62,16,105,1
2300,24,65,17,106,2
2306,7,25,6,38,1
2307,29,61,20,110,2
2309,20,59,15,94,2
2310,22,43,13,78,1
2311,7,36,4,47,1
2312,14,36,5,55,1
2313,17,43,11,71,2
2315,14,31,9,54,1
2316,23,52,16,91,1
2317,16,46,9,71,1
2318,16,39,3,58,1
2319,15,32,10,57,1
2320,7,19,2,28,1
2322,4,14,3,21,1
2323,27,52,16,95,1
2325,27,66,23,116,2
2326,14,31,10,55,1
2329,10,23,5,38,1
2330,28,63,6,97,2
2331,18,52,9,79,1
2332,18,42,17,77,1
2333,12,24,,36,1
2334,14,49,12,75,1
2335,14,42,14,70,1
2336,17,56,17,90,2
2337,10,21,2,33,1
2338,23,51,12,86,2
2339,18,47,16,81,1
2340,21,50,10,81,1
2341,33,64,20,117,2
2348,8,24,8,40,1
2350,9,20,5,34,1
2351,14,33,3,50,1
2352,19,40,9,68,1
2354,28,44,13,85,1
2355,21,52,14,87,1
2357,33,83,28,144,2
2358,10,17,5,32,1
2359,16,40,4,60,1
2361,21,58,18,97,2
2362,18,39,9,66,1
2365,18,27,7,52,1
2366,24,80,22,126,2
2367,7,18,3,28,1
2368,18,48,11,77,2
2369,19,37,6,62,1
2370,11,43,11,65,1
2371,34,73,18,125,2
2373,20,48,15,83,1
2385,21,70,18,109,2
2386,17,46,12,75,1
2387,21,47,16,84,1
2388,8,14,3,25,1
2398,10,35,11,56,1
2399,29,69,20,118,2
2400,17,45,4,66,1
2401,24,39,13,76,2
2402,12,20,6,38,1
2403,21,57,18,96,1
2404,13,28,5,46,1
2405,23,73,22,118,2
2412,18,44,12,74,1
2417,14,33,7,54,1
2418,10,27,7,44,1
2419,16,48,4,68,1
2420,18,42,14,74,1
2421,14,24,6,44,1
2422,11,25,9,45,1
2424,4,7,2,13,1
2426,31,59,18,108,1
2427,15,41,10,66,1
2428,6,13,,19,1
2429,13,33,6,52,1
2432,13,36,9,58,1
2434,17,26,7,50,1
2435,21,68,19,108,2
2436,22,48,13,83,1
2437,20,37,11,68,1
2438,20,58,15,93,1
2439,19,32,5,56,1
2440,8,30,3,41,1
2441,10,29,11,50,1
2443,17,39,13,69,1
2444,16,36,8,60,1
2445,28,70,21,119,2
2446,22,56,12,90,1
2447,14,42,10,66,1
2448,21,50,17,88,1
2450,21,63,18,102,2
2452,17,29,8,54,1
2453,7,24,6,37,1
