StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
3308,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3308,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3308,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3308,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3308,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3308,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3308,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3309,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3309,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3309,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3309,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3309,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3309,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3309,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3309,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3309,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3309,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3310,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3310,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3310,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3310,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3310,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3310,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3310,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3310,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3310,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3310,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3311,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3311,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3311,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3311,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3311,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3311,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3311,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3311,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3311,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3311,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3313,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3313,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3313,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3313,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3313,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3313,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3313,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3313,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3313,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3313,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3314,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3314,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3314,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3314,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3314,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3314,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3314,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3314,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3314,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3314,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3315,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3315,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3315,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3315,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3315,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3315,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3315,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3315,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3315,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3315,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3317,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3317,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3317,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3317,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3317,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3317,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3317,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3317,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3317,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3317,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3319,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3319,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3319,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3319,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3319,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3319,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3319,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3319,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3319,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3319,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3320,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3320,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3320,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3320,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3320,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3320,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3320,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3320,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3320,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3320,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3324,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3324,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3324,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3324,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3324,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3324,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3324,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3324,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3324,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3324,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3328,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3328,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3328,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3328,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3328,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3328,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3328,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3328,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3328,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3328,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3329,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3329,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3329,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3329,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3329,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3329,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3329,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3329,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3329,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3329,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3331,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3331,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3331,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3331,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3331,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3331,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3331,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3331,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
