Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
3305,,8.25%,,7.94%,,2.23%,,8.43%,,5.58%,,-0.91%,,8.33%,,10.33%,,7,,56,,15.72%,R,14.74%,R,3,,20,,45.48%,,39.14%,,0:47:41,,0:52:13,,1653/2576,,1849/2576,
3658,,7.07%,,2.85%,,26.75%,,15.18%,,65.49%,G,21.95%,G,11.11%,,4.70%,,19,,107,,23.51%,R,28.71%,R,4,,40,,33.68%,,38.54%,,0:47:34,,0:46:51,,626/2576,,1527/2576,
5320,,-1.50%,,3.60%,,15.11%,,27.76%,,31.07%,G,23.85%,G,8.15%,,5.50%,,9,,79,,30.16%,,31.33%,,0,R,12,R,52.99%,,35.67%,,0:54:34,,1:08:33,R,1540/2576,,1271/2576,
Total,B,2.27%,,4.67%,,7.82%,R,16.77%,,15.80%,,12.44%,G,8.99%,,9.06%,,0.34,,0.31,,23.09%,R,25.87%,R,0.11,,0.12,,49.93%,,50.85%,,0:47:42,,0:48:35,,298/394,,225/394,
1237,,9.75%,G,4.99%,,-15.41%,R,9.21%,,16.60%,,14.99%,,12.99%,,3.94%,,1,R,29,R,29.20%,,31.30%,,0,R,17,,43.25%,,50.58%,,0:29:30,G,0:26:44,G,1600/2576,,1637/2576,
1321,,4.70%,,3.22%,,25.86%,,18.97%,,9.94%,,13.32%,,33.98%,G,5.83%,,5,,234,G,24.93%,R,29.79%,,4,,93,G,76.81%,,46.46%,,0:47:15,,0:42:55,,712/2576,,1182/2576,
2836,,5.81%,,3.30%,,33.07%,G,9.63%,,32.05%,G,-2.10%,,19.42%,,13.85%,,4,,19,R,33.85%,,39.71%,,2,,9,R,75.16%,,59.81%,,0:42:08,,0:46:03,,438/2576,G,1915/2576,
5046,,15.09%,G,0.02%,R,31.59%,G,16.32%,,23.63%,,20.75%,G,28.88%,,13.03%,,2,R,13,R,28.26%,,27.40%,R,3,,30,,46.15%,,34.08%,,0:36:22,G,0:35:22,G,267/2576,G,1555/2576,
5743,,-4.32%,R,4.09%,,6.19%,,19.72%,,-20.23%,R,4.00%,,54.32%,G,15.88%,,11,,228,G,52.58%,G,61.72%,G,14,G,49,,56.85%,,44.63%,,1:14:15,R,1:13:34,R,1868/2576,,1201/2576,
Total,B,5.69%,,3.18%,,15.12%,,14.58%,,13.61%,,10.41%,,28.47%,G,10.40%,,0.15,R,0.38,,34.04%,,38.20%,,0.15,,0.15,,61.69%,,48.00%,,0:42:20,G,0:41:06,G,91/394,,250/394,
1197,,-9.43%,R,-6.44%,R,-2.83%,R,2.42%,R,5.20%,,6.58%,,-19.25%,R,-8.92%,R,0,R,29,R,33.92%,,31.04%,,3,,30,,34.08%,,34.03%,,0:41:08,,0:39:51,,2373/2576,R,2380/2576,R
1354,,1.16%,,6.51%,,-9.45%,R,12.96%,,-12.86%,R,5.46%,,-2.99%,R,11.21%,,7,,20,R,27.69%,,39.44%,,3,,16,,55.38%,,48.60%,,0:56:37,,0:49:32,,2325/2576,R,1518/2576,
1379,,1.42%,,1.64%,,-1.00%,R,4.69%,R,4.53%,,3.47%,,-6.29%,R,-1.72%,R,4,,44,,19.92%,R,33.09%,,0,R,2,R,11.32%,R,19.96%,R,0:37:51,,0:42:11,,2167/2576,R,2302/2576,R
1502,,-4.72%,R,3.50%,,-16.26%,R,10.35%,,19.02%,,11.28%,,-31.34%,R,-7.99%,R,0,R,1,R,8.39%,R,12.77%,R,1,R,4,R,2.80%,R,7.78%,R,0:32:05,G,0:37:00,G,2407/2576,R,2073/2576,R
1527,,4.01%,,1.78%,,-40.45%,R,-10.45%,R,-100.00%,R,-37.01%,R,10.20%,,2.21%,R,0,R,155,,28.97%,,34.61%,,0,R,8,R,23.64%,R,25.41%,R,N/A,R,1:07:35,R,2458/2576,R,2506/2576,R
2730,,4.64%,,7.21%,,11.10%,,17.91%,,15.71%,,14.85%,,23.48%,,8.39%,,2,R,29,R,32.21%,,33.42%,,1,R,15,R,23.71%,R,34.31%,,0:16:59,G,0:20:26,G,1129/2576,,1003/2576,
Total,B,-0.48%,,1.87%,R,-11.01%,R,4.46%,R,-12.93%,R,0.58%,R,-4.50%,R,-0.54%,R,0.07,R,0.17,R,26.88%,,31.43%,,0.04,R,0.05,R,24.95%,R,28.29%,R,0:36:19,G,0:40:21,G,384/394,R,386/394,R
1355,,1.33%,,7.50%,,4.77%,,19.70%,,6.97%,,11.46%,,1.09%,,15.75%,,26,G,54,,40.72%,,47.05%,G,3,,24,,88.48%,G,84.64%,G,0:51:46,,0:40:26,,1628/2576,,677/2576,
3701,,7.39%,,2.88%,,-17.33%,R,-5.54%,R,-22.65%,R,0.21%,,9.34%,,-4.52%,R,1,R,50,,27.71%,,34.50%,,1,R,60,,5.63%,R,13.63%,R,1:11:20,R,0:57:46,,2333/2576,R,2389/2576,R
7009,,6.47%,,9.50%,G,16.95%,,22.95%,,-13.69%,R,-2.63%,,31.14%,,25.11%,,2,R,41,,37.80%,,40.80%,,2,,19,,82.88%,G,74.39%,,0:25:36,G,0:27:52,G,833/2576,,570/2576,
7179,,9.55%,G,8.61%,,14.27%,,10.53%,,21.43%,,-0.57%,,55.37%,G,37.06%,G,14,,35,,28.30%,,37.80%,,6,,22,,32.91%,,30.14%,R,0:34:59,G,0:29:52,G,589/2576,,1221/2576,
Total,B,5.39%,,7.14%,,4.79%,R,13.77%,,-1.41%,R,3.89%,,16.54%,,16.14%,,0.35,,0.16,R,35.35%,,41.69%,,0.1,,0.11,R,61.65%,,60.00%,,0:46:14,,0:40:25,G,274/394,,190/394,
1039,,4.18%,,1.26%,,11.64%,,5.62%,R,11.68%,,10.24%,,12.47%,,-1.98%,R,81,G,783,G,41.53%,,41.84%,,17,G,328,G,99.15%,G,98.17%,G,0:48:23,,0:53:56,,896/2576,,1822/2576,
1064,,2.46%,,2.71%,,-0.52%,R,1.72%,R,18.80%,,9.01%,,3.14%,,5.95%,,5,,124,,24.04%,R,26.09%,R,0,R,39,,45.51%,,41.96%,,0:32:30,G,0:32:04,G,1799/2576,,1950/2576,
1096,,4.82%,,7.03%,,0.69%,R,12.38%,,19.47%,,4.75%,,-16.33%,R,8.81%,,1,R,24,R,18.05%,R,23.43%,R,0,R,13,R,82.20%,G,77.87%,,0:42:28,,0:47:18,,1828/2576,,1576/2576,
1662,,-1.05%,,-1.98%,R,9.63%,,7.01%,R,-1.93%,,-3.68%,,13.41%,,7.94%,,28,G,354,G,36.50%,,44.69%,,10,G,105,G,81.46%,,76.17%,,0:56:22,,0:54:39,,1595/2576,,2037/2576,
4224,,4.72%,,5.57%,,43.81%,G,45.67%,G,34.96%,G,46.83%,G,65.17%,G,30.00%,G,15,,165,,17.57%,R,26.29%,R,7,,36,,75.72%,,75.74%,,0:49:22,,0:48:46,,298/2576,G,352/2576,G
4410,,9.12%,,8.09%,,24.00%,,52.40%,G,17.56%,,33.48%,G,23.63%,,27.54%,G,12,,119,,17.33%,R,29.35%,,18,G,328,G,59.11%,,67.01%,,0:30:29,G,0:33:43,G,379/2576,G,83/2576,G
Total,B,3.64%,,3.27%,,12.84%,,15.60%,,13.75%,,11.65%,G,14.00%,,10.52%,,0.76,,0.96,G,27.74%,,33.26%,,0.28,,0.52,G,75.58%,G,74.27%,G,0:44:34,,0:46:42,,144/394,,196/394,
1034,,7.42%,,12.64%,G,-1.23%,R,29.40%,G,1.60%,,21.27%,G,2.35%,,16.85%,,11,,94,,19.75%,R,26.60%,R,13,G,83,,61.20%,,80.29%,G,0:29:15,G,0:31:51,G,1545/2576,,174/2576,G
1209,,1.21%,,-0.22%,R,2.22%,,3.03%,R,0.22%,,-6.60%,R,6.32%,,1.31%,R,5,,64,,22.90%,R,24.04%,R,7,,71,,33.04%,,30.04%,R,0:53:43,,1:05:02,R,2049/2576,,2471/2576,R
1464,,-0.08%,,11.45%,G,0.94%,R,30.87%,G,12.55%,,33.22%,G,4.96%,,17.71%,,6,,14,R,24.76%,R,32.82%,,2,,9,R,29.30%,R,25.04%,R,1:06:07,R,0:54:42,,2156/2576,R,606/2576,
4274,,8.19%,,11.99%,G,15.21%,,28.72%,G,17.28%,,13.73%,,18.53%,,24.53%,,53,G,468,G,27.39%,,39.89%,,9,G,149,G,59.16%,,63.43%,,1:01:19,,0:56:03,,870/2576,,230/2576,G
5085,,10.44%,G,8.69%,,20.42%,,18.82%,,5.95%,,8.86%,,30.26%,,18.38%,,1,R,56,,38.81%,,43.63%,,0,R,34,,16.86%,R,15.04%,R,0:42:37,,0:43:27,,810/2576,,852/2576,
5298,,8.54%,,16.11%,G,67.06%,G,77.22%,G,43.81%,G,60.09%,G,47.89%,G,55.13%,G,10,,79,,31.35%,,28.59%,R,4,,53,,87.56%,G,37.32%,,0:36:56,,0:42:51,,70/2576,G,75/2576,G
5481,,-22.56%,R,6.06%,,-94.22%,R,16.80%,,-96.79%,R,11.46%,,-49.75%,R,11.54%,,0,R,259,G,3.98%,R,38.42%,,0,R,169,G,8.46%,R,39.37%,,0:39:34,,0:38:01,,2567/2576,R,872/2576,
Total,B,2.95%,,9.09%,G,-2.68%,R,24.65%,G,-4.91%,R,17.18%,G,7.72%,,17.90%,,0.4,,0.54,,26.43%,R,33.66%,,0.16,,0.3,,42.66%,,40.92%,R,0:47:44,,0:46:51,,353/394,R,35/394,G
1027,,12.39%,G,6.92%,,7.44%,,21.76%,,2.00%,,-8.46%,R,48.18%,G,48.45%,G,29,G,234,G,27.98%,,34.36%,,0,R,6,R,65.22%,,60.94%,,0:44:46,,0:41:57,,1062/2576,,820/2576,
1156,,11.06%,G,5.85%,,10.59%,,19.22%,,23.80%,G,22.87%,G,8.67%,,3.68%,R,8,,218,,29.45%,,36.73%,,0,R,12,R,92.84%,G,88.60%,G,0:31:56,G,0:34:46,G,853/2576,,826/2576,
2005,,-6.64%,R,0.47%,R,-19.78%,R,1.60%,R,-23.08%,R,-4.48%,R,-16.24%,R,-2.06%,R,13,,401,G,37.83%,,46.40%,G,3,,35,,95.63%,G,90.48%,G,0:43:44,,0:48:59,,2382/2576,R,2165/2576,R
3371,,6.00%,,-1.70%,R,25.34%,,-11.75%,R,22.49%,,-8.10%,R,20.82%,,-11.20%,R,12,,79,,29.13%,,23.41%,R,3,,17,,28.06%,R,27.29%,R,1:02:23,,1:01:50,,837/2576,,2557/2576,R
Total,B,4.41%,,2.82%,,1.10%,R,7.21%,R,-0.48%,R,-0.83%,R,10.84%,,5.41%,R,0.5,,0.85,G,31.09%,,36.02%,,0.05,R,0.06,R,69.29%,G,68.47%,G,0:45:18,,0:45:52,,305/394,,357/394,R
1322,,-2.74%,,1.06%,,-9.79%,R,0.14%,R,8.10%,,9.15%,,-14.06%,R,-12.45%,R,1,R,13,R,27.08%,,30.57%,,2,,61,,47.45%,,56.68%,,1:00:58,,0:53:08,,2440/2576,R,2304/2576,R
1552,,11.27%,G,9.46%,G,34.33%,G,37.22%,G,10.51%,,17.03%,G,61.18%,G,16.73%,,15,,349,G,36.74%,,43.64%,,2,,44,,53.77%,,61.05%,,0:30:43,G,0:36:22,G,177/2576,G,138/2576,G
1849,,12.75%,G,13.36%,G,11.08%,,42.78%,G,15.30%,,25.82%,G,10.03%,,34.20%,G,3,,93,,26.14%,,24.20%,R,1,R,32,,34.35%,,51.77%,,0:25:33,G,0:25:41,G,987/2576,,93/2576,G
2472,,13.17%,G,2.10%,,40.46%,G,10.84%,,30.97%,G,7.04%,,24.56%,,12.57%,,28,G,106,,22.00%,R,24.48%,R,5,,55,,85.71%,G,62.20%,,0:37:44,,0:41:08,,111/2576,G,1699/2576,
2793,,-4.05%,R,-2.89%,R,-26.87%,R,-5.04%,R,-30.29%,R,-6.25%,R,-0.41%,,-0.52%,R,1,R,27,R,12.27%,R,27.50%,R,0,R,18,,14.31%,R,18.61%,R,0:46:39,,0:52:22,,2539/2576,R,2539/2576,R
3503,,3.06%,,9.46%,G,13.07%,,21.38%,,17.30%,,22.39%,G,0.00%,,11.55%,,9,,27,R,24.01%,R,22.99%,R,6,,45,,91.34%,G,83.76%,G,0:33:15,G,0:34:54,G,1120/2576,,586/2576,
3626,,12.36%,G,9.63%,G,11.77%,,22.03%,,16.38%,,10.45%,,27.90%,,13.01%,,0,R,4,R,12.26%,R,16.20%,R,3,,16,,20.06%,R,25.70%,R,1:02:44,,0:52:53,,1251/2576,,1085/2576,
6789,,4.43%,,6.35%,,0.27%,R,14.68%,,25.40%,G,8.67%,,-7.29%,R,8.65%,,5,,190,,15.45%,R,27.67%,R,1,R,36,,65.85%,,64.05%,,0:38:21,,0:41:21,,1717/2576,,1180/2576,
Total,B,5.67%,,5.88%,,8.71%,,17.10%,,12.37%,,12.55%,G,8.95%,,8.91%,,0.25,,0.37,,21.30%,R,25.84%,R,0.08,R,0.14,,51.82%,,53.67%,,0:40:21,G,0:40:50,G,248/394,,158/394,
877,,9.55%,G,6.85%,,12.36%,,12.33%,,6.61%,,2.96%,,27.37%,,10.35%,,0,R,115,,21.06%,R,23.90%,R,2,,17,,79.36%,,81.95%,G,0:24:52,G,0:26:31,G,882/2576,,1275/2576,
1010,,-12.47%,R,-1.80%,R,34.49%,G,0.50%,R,706.45%,G,18.39%,G,-16.23%,R,-5.06%,R,0,R,2,R,25.89%,,20.81%,R,0,R,6,R,9.68%,R,28.55%,R,0:51:46,,0:53:45,,1624/2576,,2466/2576,R
1097,,3.94%,,4.13%,,10.31%,,33.47%,G,15.14%,,23.28%,G,18.38%,,27.80%,G,2,R,37,,18.72%,R,23.59%,R,5,,28,,60.73%,,46.92%,,0:49:34,,0:45:12,,1379/2576,,695/2576,
1133,,4.34%,,4.50%,,-4.05%,R,4.31%,R,-6.78%,R,-5.29%,R,11.33%,,7.88%,,3,,13,R,22.79%,R,28.02%,R,3,,6,R,25.00%,R,51.33%,,0:49:25,,0:48:01,,2099/2576,R,2217/2576,R
1255,,3.03%,,-5.25%,R,-0.90%,R,-3.56%,R,-15.02%,R,-1.48%,,35.37%,G,-9.19%,R,3,,22,R,14.01%,R,17.17%,R,5,,36,,52.26%,,31.59%,R,0:40:33,,0:35:34,G,1839/2576,,2480/2576,R
3700,,-3.85%,R,6.17%,,-18.24%,R,8.96%,,-24.47%,R,0.56%,,0.52%,,7.85%,,20,,75,,31.44%,,37.94%,,2,,25,,26.52%,R,30.42%,R,1:28:55,R,1:09:34,R,2512/2576,R,1952/2576,
5063,,40.03%,G,15.91%,G,179.64%,G,48.58%,G,229.14%,G,45.97%,G,128.40%,G,54.49%,G,25,,123,,24.32%,R,27.37%,R,5,,18,,23.42%,R,11.49%,R,0:56:52,,0:57:54,,85/2576,G,257/2576,G
Total,B,4.38%,,4.39%,,13.05%,,12.44%,,16.37%,,7.01%,,18.09%,,11.07%,,0.24,,0.2,R,23.55%,R,27.04%,R,0.1,,0.07,R,37.75%,R,37.62%,R,0:47:03,,0:45:30,,209/394,,319/394,R
&nbsp;,B,3.71%,,3.94%,,5.31%,R,12.32%,R,5.61%,R,6.29%,,12.29%,,8.35%,R,0.34,,0.4,,27.21%,R,31.79%,,0.12,R,0.16,R,52.26%,,50.91%,,0:43:41,G,0:44:27,,29/34,R,32/34,R
1875,,-9.14%,R,-0.87%,R,-11.49%,R,-0.61%,R,-20.94%,R,-26.25%,R,-2.58%,R,11.25%,,39,G,117,,27.03%,,34.71%,,11,G,48,,30.97%,R,37.17%,,1:41:10,R,1:44:32,R,2514/2576,R,2467/2576,R
2435,,23.39%,G,14.52%,G,91.86%,G,60.56%,G,66.74%,G,11.40%,,53.91%,G,59.34%,G,16,,102,,26.37%,,25.03%,R,2,,11,R,53.98%,,55.82%,,0:51:13,,0:49:25,,91/2576,G,227/2576,G
3481,,-1.46%,,2.04%,,9.86%,,21.02%,,9.09%,,-1.01%,,-5.48%,R,15.28%,,52,G,294,G,28.11%,,33.71%,,1,R,4,R,67.12%,,74.55%,,1:05:22,R,1:07:36,R,1901/2576,,1522/2576,
3490,,-2.36%,,5.18%,,0.03%,R,16.45%,,8.53%,,12.51%,,12.59%,,24.44%,,15,,281,G,23.80%,R,30.33%,,0,R,0,R,17.43%,R,18.61%,R,1:03:58,R,1:00:27,,2264/2576,R,1360/2576,
Total,B,1.42%,,4.73%,,15.39%,,20.23%,,20.76%,G,0.14%,R,9.27%,,22.95%,G,0.98,G,0.73,,26.31%,R,31.44%,,0.11,,0.06,R,39.44%,R,43.35%,,1:02:52,R,1:03:47,R,247/394,,207/394,
1525,,1.57%,,5.51%,,-8.15%,R,32.92%,G,-1.90%,,26.51%,G,22.73%,,13.75%,,3,,54,,20.60%,R,32.87%,,0,R,14,R,35.65%,,62.59%,,0:34:33,G,0:35:53,G,2056/2576,,566/2576,
2295,,-8.12%,R,2.79%,,0.76%,R,18.21%,,6.71%,,15.78%,,-7.23%,R,7.19%,,3,,52,,27.20%,,30.23%,,5,,56,,19.90%,R,27.79%,R,0:43:55,,0:43:52,,2298/2576,R,1402/2576,
7032,,1.35%,,8.34%,,23.36%,,33.47%,G,17.76%,,13.48%,,20.11%,,38.52%,G,55,G,266,G,36.61%,,38.05%,,0,R,18,,60.04%,,49.20%,,0:53:14,,0:54:50,,894/2576,,390/2576,G
Total,B,-1.80%,R,5.47%,,5.57%,R,26.83%,G,8.64%,,17.05%,G,7.85%,,18.42%,,0.66,,0.45,,28.12%,,33.67%,,0.05,R,0.11,R,36.61%,R,44.06%,,0:45:26,,0:46:02,,347/394,R,71/394,G
1682,,8.43%,,7.30%,,48.78%,G,25.97%,,44.53%,G,12.77%,,17.02%,,16.32%,,11,,97,,54.75%,G,48.65%,G,2,,21,,62.42%,,47.08%,,0:57:32,,0:59:29,,276/2576,G,715/2576,
1759,,2.69%,,0.88%,R,14.02%,,11.74%,,48.48%,G,6.48%,,-8.52%,R,-4.50%,R,12,,13,R,39.55%,,35.58%,,0,R,2,R,56.63%,,44.97%,,0:58:30,,0:54:54,,1402/2576,,2220/2576,R
3214,,-6.08%,R,-2.89%,R,-22.99%,R,-11.45%,R,-21.49%,R,-15.64%,R,-14.55%,R,-2.52%,R,12,,156,,46.17%,G,44.42%,,7,,115,G,56.60%,,60.76%,,0:38:06,,0:47:34,,2350/2576,R,2354/2576,R
3219,,4.67%,,14.44%,G,29.11%,,70.10%,G,45.10%,G,69.45%,G,11.61%,,35.72%,G,22,,62,,26.52%,,28.19%,R,13,G,56,,81.63%,G,88.00%,G,0:49:14,,0:53:41,,523/2576,,95/2576,G
3265,,5.93%,,2.92%,,11.97%,,8.45%,,14.51%,,1.67%,,-4.40%,R,7.28%,,10,,50,,33.85%,,33.72%,,3,,12,R,28.99%,R,24.90%,R,1:03:22,,1:06:39,R,1499/2576,,2248/2576,R
3831,,0.56%,,6.06%,,16.25%,,24.19%,,29.63%,G,32.36%,G,8.45%,,10.33%,,2,R,76,,42.53%,G,42.10%,,2,,9,R,19.58%,R,20.24%,R,0:28:57,G,0:28:30,G,1119/2576,,711/2576,
Total,B,2.96%,,4.46%,,11.88%,,15.48%,,19.02%,G,9.93%,,-1.04%,R,7.68%,R,0.37,,0.28,,39.04%,,37.60%,,0.15,,0.13,,48.60%,,44.68%,,0:50:46,,0:53:22,,246/394,,259/394,
1811,,-1.33%,,0.19%,R,7.76%,,11.97%,,18.11%,,2.90%,,-3.13%,R,4.75%,,29,G,65,,40.80%,,47.17%,G,3,,40,,59.77%,,43.81%,,0:38:57,,0:55:36,,1515/2576,,1999/2576,
3216,,3.24%,,0.35%,R,22.53%,,12.00%,,19.53%,,3.78%,,5.45%,,12.06%,,24,,138,,37.93%,,43.08%,,4,,51,,73.75%,,60.78%,,0:46:37,,0:52:58,,780/2576,,1769/2576,
5253,,0.30%,,7.23%,,12.67%,,15.30%,,50.39%,G,7.07%,,-1.78%,R,19.25%,,6,,74,,44.85%,G,40.32%,,5,,30,,48.64%,,58.93%,,1:10:05,R,1:07:19,R,1496/2576,,1231/2576,
5488,,40.28%,G,20.26%,G,119.91%,G,71.90%,G,101.21%,G,48.96%,G,107.94%,G,74.95%,G,43,G,272,G,36.63%,,32.71%,,12,G,38,,75.25%,,66.33%,,0:31:56,G,0:35:56,G,Mar-76,G,14/2576,G
5922,,1.39%,,-1.21%,R,7.61%,,8.90%,,-5.80%,R,-7.07%,R,40.21%,G,22.76%,,27,G,92,,30.46%,,32.21%,,1,R,11,R,11.68%,R,35.75%,,0:30:52,G,0:34:58,G,1504/2576,,2043/2576,
Total,B,8.76%,G,5.66%,,28.70%,G,21.94%,,30.62%,G,9.89%,,21.59%,,25.05%,G,0.83,G,0.47,,38.48%,,39.19%,,0.16,,0.12,,57.23%,,55.25%,,0:40:24,G,0:48:03,,7/394,G,80/394,
1424,,-1.27%,,6.99%,,26.96%,,28.28%,G,35.79%,G,20.23%,G,-7.92%,R,13.29%,,10,,68,,33.52%,,32.98%,,2,,73,,42.12%,,41.14%,,0:30:30,G,0:37:47,,1005/2576,,522/2576,
2160,,0.12%,,1.35%,,-2.45%,R,13.64%,,-4.17%,R,-6.10%,R,25.29%,,21.79%,,5,,29,R,19.72%,R,26.98%,R,2,,9,R,44.95%,,28.19%,R,0:33:57,G,0:27:22,G,1952/2576,,1837/2576,
2808,,8.14%,,3.47%,,27.54%,,24.78%,,1.27%,,-0.53%,,89.27%,G,39.69%,G,7,,55,,30.84%,,30.29%,,11,G,49,,58.73%,,56.83%,,0:59:34,,0:54:26,,634/2576,,1082/2576,
2821,,0.07%,,-0.28%,R,6.20%,,0.69%,R,-3.07%,,-11.69%,R,22.47%,,0.92%,R,39,G,109,,21.10%,R,23.95%,R,15,G,99,G,17.66%,R,26.12%,R,0:50:53,,0:55:34,,1784/2576,,2458/2576,R
Total,B,1.87%,,3.27%,,16.88%,,17.71%,,9.38%,,2.06%,,26.44%,,16.87%,,0.49,,0.24,R,26.87%,,28.77%,R,0.24,,0.21,,40.24%,R,39.51%,R,0:43:40,,0:44:45,,151/394,,238/394,
1833,,-8.59%,R,-4.79%,R,-0.19%,R,2.05%,R,3.08%,,0.79%,,-1.04%,,-4.89%,R,3,,46,,42.45%,G,39.09%,,5,,48,,56.35%,,43.09%,,1:02:07,,0:59:57,,2310/2576,R,2451/2576,R
2136,,3.86%,,8.74%,,10.77%,,30.82%,G,22.55%,,27.49%,G,23.38%,,16.84%,,17,,230,G,31.58%,,36.73%,,22,G,291,G,68.12%,,73.35%,,0:49:40,,0:46:00,,1010/2576,,216/2576,G
2438,,-3.08%,R,3.31%,,15.31%,,26.20%,,24.79%,G,11.01%,,9.30%,,24.44%,,8,,20,R,32.98%,,34.31%,,3,,33,,25.29%,R,29.40%,R,0:41:00,,0:37:56,,1424/2576,,916/2576,
2520,,1.29%,,1.39%,,3.47%,,8.85%,,-2.47%,,-1.04%,,0.19%,,-1.29%,R,26,G,37,,29.27%,,31.12%,,1,R,13,R,53.66%,,59.44%,,0:59:49,,0:45:53,,2068/2576,R,2218/2576,R
5343,,-0.26%,,1.03%,,12.02%,,14.29%,,14.53%,,10.13%,,11.43%,,3.77%,R,36,G,132,,29.17%,,36.07%,,3,,30,,20.89%,R,31.08%,R,0:59:04,,1:01:51,,1599/2576,,1911/2576,
Total,B,-1.42%,R,1.76%,R,8.35%,,15.47%,,10.92%,,7.52%,,8.47%,,7.36%,R,0.58,,0.34,,33.08%,,35.62%,,0.22,,0.3,,42.50%,,44.79%,,0:54:12,,0:49:54,,322/394,R,302/394,
2436,,15.23%,G,4.71%,,45.70%,G,27.22%,,131.37%,G,12.83%,,11.61%,,30.73%,G,5,,33,,19.20%,R,17.63%,R,0,R,2,R,52.20%,,51.25%,,0:49:01,,0:47:04,,394/2576,G,925/2576,
2850,,-12.03%,R,-5.68%,R,-4.80%,R,2.36%,R,-10.40%,R,-9.02%,R,-22.43%,R,-0.62%,R,9,,32,,32.33%,,29.62%,,6,,24,,57.17%,,72.37%,,0:25:21,G,0:26:34,G,2312/2576,R,2350/2576,R
3720,,19.26%,G,11.07%,G,95.93%,G,77.82%,G,101.69%,G,46.13%,G,35.16%,G,23.09%,,0,R,5,R,15.72%,R,19.55%,R,2,,24,,26.24%,R,39.06%,,0:43:36,,0:44:07,,207/2576,G,301/2576,G
Total,B,7.11%,G,3.51%,,28.28%,G,28.14%,G,18.14%,G,3.61%,,8.40%,,18.36%,,0.15,R,0.09,R,20.91%,R,21.39%,R,0.09,,0.06,R,41.21%,R,50.42%,,0:34:22,G,0:33:56,G,71/394,G,141/394,
1243,,-0.26%,,7.97%,,22.32%,,45.22%,G,38.74%,G,49.34%,G,4.28%,,20.99%,,1,R,37,,22.87%,R,26.43%,R,0,R,7,R,74.49%,,81.19%,G,0:25:01,G,0:31:04,G,1070/2576,,266/2576,G
1292,,-1.24%,,-3.65%,R,22.21%,,0.49%,R,31.89%,G,-16.90%,R,8.94%,,0.36%,R,6,,38,,28.66%,,33.63%,,1,R,16,,22.64%,R,24.13%,R,0:54:34,,1:01:07,,1388/2576,,2547/2576,R
1652,,-4.98%,R,5.42%,,7.04%,,18.62%,,0.50%,,13.49%,,-6.61%,R,5.77%,,13,,177,,28.94%,,29.30%,,10,G,146,G,62.98%,,68.07%,,0:46:46,,0:39:08,,2013/2576,,928/2576,
2312,,2.55%,,-3.72%,R,35.67%,G,-3.55%,R,203.00%,G,-2.78%,,6.89%,,-8.84%,R,8,,57,,29.10%,,27.47%,R,7,,25,,44.94%,,34.88%,,0:41:31,,0:53:11,,625/2576,,2516/2576,R
2337,,7.63%,,2.36%,,15.59%,,7.31%,,7.25%,,-4.73%,R,6.31%,,4.41%,,16,,71,,14.95%,R,23.47%,R,4,,12,R,67.91%,,59.85%,,0:38:10,,0:38:57,,984/2576,,2157/2576,R
2762,,-11.68%,R,-3.44%,R,-2.30%,R,5.65%,R,-14.85%,R,-9.91%,R,-17.32%,R,-4.82%,R,27,G,56,,21.34%,R,24.05%,R,7,,19,,54.35%,,30.04%,R,1:15:31,R,1:11:26,R,2491/2576,R,2534/2576,R
3243,,-6.33%,R,1.91%,,-20.65%,R,5.76%,R,-23.95%,R,-2.77%,,-9.44%,R,6.48%,,0,R,19,R,23.35%,R,27.96%,R,1,R,12,R,63.72%,,73.09%,,0:47:52,,1:00:16,,2525/2576,R,2315/2576,R
Total,B,-2.14%,R,0.77%,R,8.38%,,8.89%,R,14.62%,,0.98%,,-1.95%,R,2.16%,R,0.33,,0.24,R,25.12%,R,28.25%,R,0.14,,0.12,,52.39%,,51.10%,,0:44:59,,0:48:48,,329/394,R,385/394,R
1465,,3.10%,,5.57%,,14.38%,,18.10%,,11.27%,,12.75%,,8.45%,,6.90%,,0,R,8,R,26.19%,,21.23%,R,1,R,21,,37.52%,,43.86%,,0:43:14,,0:43:14,,1466/2576,,1366/2576,
1486,,-4.40%,R,0.84%,R,0.87%,R,12.77%,,7.71%,,8.96%,,-7.11%,R,2.81%,R,0,R,11,R,14.63%,R,17.65%,R,0,R,15,R,29.80%,R,29.76%,R,0:36:35,G,0:40:16,,2318/2576,R,2042/2576,
1934,,-4.80%,R,4.11%,,5.85%,,10.28%,,-15.04%,R,-3.69%,,-2.32%,R,8.82%,,4,,16,R,19.26%,R,18.36%,R,2,,11,R,49.60%,,15.32%,R,1:07:25,R,0:57:38,,2405/2576,R,2221/2576,R
2705,,18.60%,G,9.19%,G,24.58%,,20.89%,,23.12%,,4.85%,,34.20%,G,15.39%,,0,R,151,,16.41%,R,26.56%,R,0,R,13,R,41.31%,,56.49%,,0:45:53,,0:44:49,,593/2576,,859/2576,
