Store,,JUL,73,YTD,74,JUL,75,YTD,76,JUL,77,YTD,78,JUL,79,YTD,80,L12 Mths,81,L12 Mths,82,JUL,83,YTD,84,JUL,85,YTD,86,JUL,87,YTD,88,JUL,89,YTD,90,JUL,91,YTD,92
2883,,27.85%,G,24.15%,G,-0.39%,,10.91%,,-14.18%,,7.55%,,-19.96%,,-0.96%,G,4.48,,4.48,,46.91%,,42.02%,,1.09%,,1.21%,,63.16%,,64.76%,,1:02:35,R,1:01:28,R,1177/2578,,587/2578,
3777,,25.08%,G,20.85%,G,-1.57%,,4.86%,,-2.40%,,3.66%,,3.61%,G,2.31%,G,4.43,,4.43,,59.57%,G,59.96%,G,1.54%,,1.91%,,72.42%,,67.27%,,0:52:46,,0:43:46,,698/2578,,563/2578,
6300,,8.12%,,4.70%,,-4.90%,,-5.47%,,-12.59%,,-1.67%,,-9.51%,,-15.97%,,4.67,,4.67,,55.43%,,57.38%,G,0.00%,R,1.13%,,1.09%,R,6.70%,R,0:36:23,,0:33:34,,1570/2578,,1596/2578,
7178,,37.43%,G,19.98%,G,26.97%,G,26.89%,G,2.20%,,12.36%,,26.86%,G,6.37%,G,4.47,,4.47,,58.16%,G,46.88%,,3.59%,G,1.49%,,45.66%,,30.36%,,0:36:04,,0:32:50,,58/2578,G,157/2578,G
Total,B,24.55%,G,21.02%,G,5.56%,G,13.20%,G,-0.16%,,11.98%,,-3.26%,G,0.65%,G,4.48,,4.48,,53.96%,G,52.43%,G,1.34%,,1.25%,,60.15%,,57.87%,,0:46:28,,0:41:25,,31/394,G,19/394,G
535,,14.66%,,7.07%,,-5.27%,,0.60%,,-8.34%,,7.29%,,-18.31%,,-21.48%,R,4.71,,4.71,,59.66%,G,54.33%,,2.99%,G,1.09%,,69.31%,,57.47%,,0:46:00,,0:43:14,,1170/2578,,1217/2578,
536,,4.39%,,0.27%,,-16.87%,R,-4.97%,,-15.19%,R,-0.59%,,-22.85%,,-20.90%,,4.67,,4.67,,48.11%,,48.53%,,0.69%,,0.83%,,83.30%,G,74.79%,G,0:45:58,,0:40:13,,2077/2578,R,1833/2578,
601,,11.11%,,3.53%,,2.72%,,10.69%,,-4.62%,,15.03%,,-18.87%,,-25.43%,R,4.10,R,4.10,R,66.67%,G,61.73%,G,0.29%,,0.31%,R,94.57%,G,86.98%,G,0:40:14,,0:42:01,,1066/2578,,1094/2578,
1249,,11.80%,,-2.92%,R,-3.98%,,-16.30%,R,-8.97%,,-9.81%,R,-8.44%,,-33.23%,R,<5 Reviews,,<5 Reviews,,42.55%,,43.63%,,0.29%,,0.73%,,66.67%,,57.55%,,1:01:58,R,0:56:20,R,1529/2578,,2444/2578,R
7281,,8.95%,,3.75%,,-0.29%,,-6.44%,,-11.53%,,-23.78%,R,-29.58%,R,-15.13%,,3.67,R,3.67,R,58.58%,G,55.32%,G,1.52%,,2.43%,,26.63%,,17.08%,R,0:41:24,,0:43:11,,1546/2578,,1944/2578,
Total,B,9.92%,,2.47%,,-6.55%,,-2.39%,,-9.82%,R,0.66%,,-19.92%,R,-23.53%,R,4.35,R,4.35,R,53.47%,G,51.70%,,1.24%,,0.90%,,73.39%,G,64.24%,G,0:45:46,,0:43:41,,273/394,,323/394,R
211,,3.52%,,9.29%,,3.20%,,4.77%,,1.17%,,9.30%,,-15.18%,,-5.21%,,5.00,G,5.00,G,59.63%,G,56.73%,G,4.44%,G,1.22%,,45.87%,,39.18%,,0:48:27,,0:33:16,,1197/2578,,606/2578,
248,,9.08%,,5.45%,,3.25%,,2.82%,,-7.19%,,-1.36%,,13.90%,G,-4.16%,,3.50,R,3.50,R,45.53%,,47.38%,,1.55%,,1.38%,,40.31%,,43.61%,,0:40:17,,0:33:09,,1017/2578,,1120/2578,
320,,3.55%,,-2.54%,R,-3.02%,,5.27%,,-8.92%,,1.25%,,-39.13%,R,-39.11%,R,<5 Reviews,,<5 Reviews,,38.57%,,29.78%,R,0.00%,R,0.79%,,1.43%,R,4.67%,R,0:18:30,G,0:20:27,G,1881/2578,,1774/2578,
610,,0.21%,R,3.70%,,-18.68%,R,-4.43%,,-22.62%,R,-9.55%,R,-22.08%,,-17.20%,,3.55,R,3.55,R,48.33%,,47.14%,,1.64%,,2.02%,,63.33%,,49.37%,,1:03:05,R,0:43:33,,2355/2578,R,1816/2578,
746,,20.87%,G,11.56%,G,4.55%,,2.27%,,-7.73%,,0.19%,,8.54%,G,-10.09%,,4.88,G,4.88,G,44.92%,,50.42%,,0.35%,,0.72%,,26.23%,,25.50%,,0:31:11,G,0:28:02,G,528/2578,,844/2578,
939,,-0.80%,R,0.40%,,-40.48%,R,-27.73%,R,-45.59%,R,-29.05%,R,-44.06%,R,-33.14%,R,<5 Reviews,,<5 Reviews,,37.43%,,45.77%,,0.47%,,0.96%,,20.11%,R,12.52%,R,1:20:42,R,1:16:18,R,2566/2578,R,2509/2578,R
1254,,13.14%,,3.06%,,8.68%,,-3.97%,,8.16%,,-9.14%,R,6.06%,G,-11.22%,,4.54,,4.54,,45.14%,,47.24%,,2.13%,,2.13%,,20.57%,R,47.35%,,0:38:23,,0:37:14,,521/2578,,1586/2578,
5389,,16.20%,G,6.98%,,19.10%,G,15.05%,,0.72%,,5.89%,,12.17%,G,3.67%,G,4.38,,4.38,,47.41%,,49.14%,,0.43%,,1.02%,,28.54%,,27.64%,,0:25:17,G,0:23:28,G,268/2578,G,492/2578,G
6929,,21.19%,G,15.53%,G,15.25%,G,18.23%,G,4.24%,,16.06%,,11.14%,G,14.97%,G,4.54,,4.54,,74.08%,G,68.44%,G,2.12%,,1.05%,,27.87%,,31.68%,,0:37:57,,0:33:24,,167/2578,G,158/2578,G
7156,,23.66%,G,15.82%,G,10.96%,,15.30%,G,5.67%,,14.00%,,3.44%,G,-0.51%,G,<5 Reviews,,<5 Reviews,,52.77%,,49.74%,,1.63%,,5.53%,G,41.70%,,39.26%,,0:53:43,,0:52:27,,406/2578,G,386/2578,G
Total,B,10.64%,,6.91%,,-0.59%,,1.61%,,-8.72%,R,-2.33%,R,-4.12%,G,-7.95%,,4.36,R,4.36,R,50.87%,,51.24%,,1.55%,,1.62%,,34.48%,,35.41%,,0:43:06,,0:38:38,,174/394,,183/394,
381,,9.80%,,6.92%,,12.29%,,7.62%,,11.68%,,7.05%,,3.47%,G,-4.22%,,4.12,R,4.12,R,61.89%,G,64.57%,G,0.92%,,0.97%,,63.41%,,49.12%,,0:48:28,,0:43:08,,572/2578,,852/2578,
407,,17.37%,G,7.19%,,20.16%,G,18.39%,G,16.38%,G,18.47%,,2.70%,,-1.39%,,4.34,,4.34,,52.52%,,54.06%,,1.40%,,4.31%,G,31.51%,,29.54%,,0:36:12,,0:33:56,,178/2578,G,355/2578,G
476,,9.78%,,8.06%,,23.15%,G,20.85%,G,19.71%,G,16.44%,,0.46%,,2.21%,G,4.93,G,4.93,G,63.55%,G,60.13%,G,1.20%,,4.84%,G,60.36%,,58.95%,,0:39:19,,0:30:08,G,222/2578,G,134/2578,G
781,,9.17%,,8.59%,,6.25%,,10.58%,,7.75%,,19.24%,,-9.66%,,-0.08%,G,4.92,G,4.92,G,42.09%,,39.29%,,1.44%,,0.85%,,115.58%,G,104.36%,G,0:54:28,,0:47:56,,813/2578,,529/2578,
813,,10.58%,,5.03%,,-1.68%,,13.46%,,12.24%,,25.68%,G,-14.74%,,-7.87%,,4.60,,4.60,,39.32%,,41.40%,,0.67%,,1.50%,,36.61%,,47.32%,,0:27:28,G,0:26:19,G,1009/2578,,487/2578,G
1232,,10.40%,,8.27%,,13.78%,G,10.42%,,4.04%,,7.54%,,-14.97%,,-10.48%,,4.83,G,4.83,G,59.35%,G,62.71%,G,0.30%,,1.08%,,71.52%,,64.07%,,0:20:47,G,0:19:58,G,450/2578,G,416/2578,G
1303,,8.56%,,7.24%,,-2.42%,,6.09%,,-9.28%,,4.30%,,3.67%,G,0.21%,G,4.59,,4.59,,62.94%,G,59.88%,G,6.82%,G,4.16%,G,89.76%,G,76.91%,G,0:56:04,,0:53:58,R,1154/2578,,787/2578,
3319,,8.18%,,6.16%,,-3.95%,,10.33%,,1.78%,,13.35%,,-8.87%,,-7.60%,,4.64,,4.64,,60.12%,G,61.36%,G,1.75%,,2.03%,,71.60%,,59.66%,,0:56:32,,0:46:54,,1287/2578,,677/2578,
6286,,4.97%,,3.26%,,-12.25%,,-7.00%,,-11.62%,,1.34%,,-28.65%,R,-19.22%,,4.73,,4.73,,56.65%,,51.94%,,3.10%,G,3.00%,G,63.30%,,64.79%,,1:02:38,R,0:54:40,R,1989/2578,,1771/2578,
Total,B,9.88%,,6.77%,,4.66%,,9.04%,,3.55%,,11.38%,,-8.24%,,-5.88%,,4.62,,4.62,,56.10%,G,55.51%,G,2.25%,,2.67%,G,68.75%,G,62.52%,G,0:44:25,,0:40:24,,50/394,G,41/394,G
1129,,17.80%,G,15.52%,G,33.88%,G,50.29%,G,18.75%,G,49.57%,G,37.93%,G,22.84%,G,4.42,,4.42,,48.75%,,54.77%,,25.05%,G,13.02%,G,89.38%,G,90.41%,G,1:07:20,R,0:42:35,,127/2578,G,31/2578,G
1253,,4.49%,,4.53%,,-39.23%,R,-26.38%,R,-44.62%,R,-29.74%,R,-36.25%,R,-27.65%,R,4.80,G,4.80,G,25.69%,R,26.89%,R,2.64%,G,1.93%,,28.43%,,11.88%,R,1:05:19,R,0:52:15,,2445/2578,R,2338/2578,R
2133,,12.13%,,13.58%,G,-27.50%,R,-7.60%,,-24.51%,R,-5.66%,R,-25.06%,R,-15.86%,,4.39,,4.39,,57.96%,G,71.29%,G,2.59%,G,1.11%,,49.68%,,71.67%,G,1:57:01,R,1:29:09,R,2095/2578,R,1558/2578,
2991,,24.90%,G,25.17%,G,1.72%,,23.75%,G,7.29%,,29.38%,G,1.63%,,18.64%,G,4.32,,4.32,,52.10%,,50.19%,,0.30%,,2.27%,,55.11%,,43.66%,,0:39:04,,0:33:44,,559/2578,,77/2578,G
4130,,22.33%,G,15.56%,G,-9.52%,,-7.58%,,-34.88%,R,-19.26%,R,2.71%,,-15.50%,,4.92,G,4.92,G,57.07%,,50.67%,,1.66%,,1.84%,,27.10%,,21.12%,R,1:54:46,R,1:26:55,R,1359/2578,,1649/2578,
4163,,13.89%,,9.17%,,-3.84%,,5.80%,,-6.27%,,4.79%,,0.67%,,0.39%,G,4.57,,4.57,,96.00%,G,92.02%,G,10.10%,G,8.16%,G,132.00%,G,123.32%,G,0:24:45,G,0:25:38,G,590/2578,,357/2578,G
4219,,9.67%,,8.68%,,-27.51%,R,-15.70%,R,-29.25%,R,-17.02%,R,-21.16%,,-19.75%,,4.00,R,4.00,R,41.77%,,43.11%,,3.11%,G,5.82%,G,10.13%,R,29.91%,,1:16:23,R,1:08:41,R,2297/2578,R,2085/2578,R
5317,,7.47%,,10.91%,G,-9.83%,,13.46%,,6.99%,,24.13%,G,-36.82%,R,-7.74%,,4.31,,4.31,,37.42%,,42.79%,,1.09%,,1.62%,,35.10%,,50.02%,,1:05:18,R,0:55:52,R,1978/2578,,614/2578,
Total,B,13.74%,G,12.65%,G,-13.39%,R,1.42%,,-16.71%,R,0.05%,R,-14.65%,,-7.80%,,4.45,,4.45,,51.05%,,52.35%,,4.91%,G,4.32%,G,50.41%,,52.45%,,1:10:43,R,0:57:02,R,290/394,,147/394,
77,,16.13%,G,17.57%,G,13.54%,G,16.13%,G,25.13%,G,26.26%,G,-10.24%,,-3.86%,,4.57,,4.57,,59.13%,G,64.27%,G,0.14%,R,0.44%,,61.83%,,61.19%,,0:26:32,G,0:24:40,G,233/2578,G,125/2578,G
475,,9.38%,,1.70%,,-10.57%,,-17.20%,R,-14.47%,,-19.73%,R,5.80%,G,-20.67%,,4.50,,4.50,,39.68%,,40.07%,,2.22%,,1.06%,,36.77%,,40.41%,,1:17:01,R,1:03:15,R,1738/2578,,2339/2578,R
1185,,2.28%,,5.39%,,-31.86%,R,-18.53%,R,-58.41%,R,-25.79%,R,-12.23%,,-24.41%,R,4.71,,4.71,,46.72%,,37.91%,,0.37%,,0.16%,R,25.68%,,20.20%,R,1:11:38,R,1:07:41,R,2412/2578,R,2363/2578,R
3569,,-13.19%,R,-7.47%,R,-60.39%,R,-47.37%,R,-66.50%,R,-49.35%,R,-50.20%,R,-44.39%,R,3.50,R,3.50,R,31.23%,R,33.17%,R,2.97%,G,0.38%,,0.00%,R,4.53%,R,1:13:37,R,0:54:53,R,2578/2578,R,2578/2578,R
5479,,13.03%,,7.54%,,-1.25%,,-5.70%,,6.45%,,4.98%,,0.00%,,-16.16%,,4.28,R,4.28,R,46.85%,,43.28%,,1.52%,,0.57%,,65.48%,,61.82%,,1:05:11,R,0:50:55,,1041/2578,,1668/2578,
5480,,11.34%,,10.43%,G,-8.93%,,-4.33%,,-19.88%,R,-13.52%,R,-25.38%,R,-15.42%,,4.38,,4.38,,51.55%,,48.43%,,0.25%,,0.29%,R,21.65%,R,10.63%,R,1:08:47,R,1:11:04,R,2019/2578,,1844/2578,
Total,B,5.32%,,5.03%,,-17.86%,R,-13.97%,R,-26.33%,R,-16.66%,R,-17.65%,R,-21.46%,R,4.38,,4.38,,47.36%,,46.42%,,1.21%,,0.50%,R,39.09%,,36.31%,,1:01:10,R,0:53:40,R,381/394,R,381/394,R
421,,20.18%,G,10.72%,G,22.40%,G,24.76%,G,8.69%,,26.28%,G,6.80%,G,-2.23%,,4.79,G,4.79,G,43.77%,,40.97%,,4.86%,G,6.26%,G,84.76%,G,86.34%,G,0:36:47,,0:33:37,,74/2578,G,111/2578,G
940,,21.94%,G,10.20%,G,33.79%,G,19.50%,G,32.22%,G,24.54%,G,-0.92%,,3.52%,G,4.83,G,4.83,G,45.65%,,37.84%,,1.56%,,0.96%,,25.16%,,21.49%,R,0:38:35,,0:34:17,,102/2578,G,296/2578,G
972,,22.68%,G,9.78%,,2.34%,,12.34%,,0.26%,,13.67%,,-2.89%,,-2.04%,,4.33,,4.33,,48.92%,,55.14%,G,5.27%,G,7.02%,G,59.19%,,62.65%,,0:40:32,,0:38:27,,543/2578,,368/2578,G
3773,,13.30%,,6.24%,,7.89%,,-1.06%,,-10.08%,,-7.86%,R,-4.83%,,-11.50%,,4.67,,4.67,,55.21%,,52.93%,,9.80%,G,9.02%,G,62.54%,,65.41%,,0:52:03,,0:57:09,R,678/2578,,1369/2578,
5247,,6.13%,,13.18%,G,-26.43%,R,36.11%,G,4.92%,,28.94%,G,-62.05%,R,-9.25%,,4.22,R,4.22,R,5.88%,R,52.08%,,0.00%,R,0.97%,,11.76%,R,18.02%,R,0:19:52,G,0:23:19,G,2172/2578,R,180/2578,G
5312,,17.66%,G,11.86%,G,-16.37%,R,-4.81%,,0.81%,,7.09%,,-14.11%,,-24.35%,R,4.60,,4.60,,61.97%,G,62.62%,G,10.16%,G,13.58%,G,47.89%,,63.28%,,0:33:05,,0:33:43,,1125/2578,,1030/2578,
5316,,28.52%,G,13.61%,G,12.19%,,4.53%,,28.62%,G,6.56%,,0.17%,,-5.36%,,4.20,R,4.20,R,52.08%,,53.22%,,11.12%,G,5.54%,G,22.05%,R,24.68%,,0:36:19,,0:41:27,,175/2578,G,768/2578,
Total,B,19.11%,G,10.91%,G,1.78%,,9.52%,,7.78%,G,13.03%,,-8.00%,,-8.33%,,4.57,,4.57,,50.14%,,50.97%,,6.70%,G,7.16%,G,46.85%,,49.43%,,0:35:08,G,0:35:58,,21/394,G,17/394,G
259,,0.35%,R,-0.67%,,-4.61%,,-12.98%,R,-7.66%,,-15.36%,R,-28.82%,R,-28.85%,R,4.38,,4.38,,56.07%,,50.76%,,0.19%,,0.36%,,30.53%,,23.68%,,0:51:25,,0:52:59,,2090/2578,R,2424/2578,R
789,,11.81%,,8.22%,,-12.27%,,6.32%,,5.85%,,9.48%,,-29.34%,R,-15.45%,,4.85,G,4.85,G,51.30%,,56.43%,G,0.64%,,0.82%,,19.13%,R,26.53%,,0:36:36,,0:30:39,G,1547/2578,,775/2578,
1055,,23.39%,G,14.28%,G,16.25%,G,15.68%,G,31.11%,G,26.70%,G,3.55%,G,-1.94%,,5.00,G,5.00,G,51.96%,,46.19%,,1.30%,,3.20%,G,49.84%,,53.16%,,0:32:37,,0:31:13,G,51/2578,G,113/2578,G
3224,,5.61%,,6.95%,,6.68%,,13.80%,,7.52%,,13.33%,,-18.84%,,-12.28%,,4.21,R,4.21,R,49.32%,,53.43%,,1.38%,,1.05%,,40.62%,,34.47%,,0:59:40,R,0:49:56,,1306/2578,,862/2578,
3225,,4.96%,,7.01%,,-13.36%,,-2.08%,,-20.83%,R,-2.64%,,-14.73%,,-15.94%,,5.00,G,5.00,G,68.52%,G,62.07%,G,0.80%,,1.31%,,27.86%,,22.27%,R,0:45:16,,0:38:06,,1925/2578,,1310/2578,
Total,B,9.63%,,7.45%,,-1.41%,,4.98%,,3.48%,,6.89%,,-17.52%,R,-13.94%,,4.63,G,4.63,G,54.43%,G,53.15%,G,0.92%,,1.35%,,35.30%,,34.28%,,0:44:30,,0:39:21,,191/394,,130/394,
&nbsp;,B,12.24%,G,9.22%,G,-2.61%,,3.57%,,-3.25%,,4.52%,R,-12.94%,,-12.06%,,4.51,,4.51,,51.80%,G,51.51%,G,3.10%,G,2.83%,G,50.12%,,48.72%,,0:45:36,,0:40:49,,13/30,,8/30,
297,,7.43%,,11.18%,G,-6.40%,,18.11%,G,-6.92%,,26.67%,G,-19.86%,,-9.06%,,4.11,R,4.11,R,52.16%,,53.99%,,2.82%,G,1.25%,,36.42%,,37.24%,,1:09:00,R,0:52:29,,1839/2578,,509/2578,G
744,,15.30%,G,10.60%,G,36.09%,G,19.83%,G,16.46%,G,16.20%,,23.66%,G,1.60%,G,3.89,R,3.89,R,52.81%,,55.44%,G,5.65%,G,5.51%,G,78.57%,G,78.35%,G,0:55:19,,0:53:39,R,157/2578,G,328/2578,G
849,,17.93%,G,11.55%,G,29.78%,G,14.45%,,-6.16%,,1.67%,,37.96%,G,-15.33%,,<5 Reviews,,<5 Reviews,,53.69%,,49.08%,,0.55%,,0.15%,R,3.69%,R,2.56%,R,0:50:21,,0:48:13,,426/2578,G,1006/2578,
1103,,9.24%,,7.87%,,-4.15%,,7.61%,,-19.23%,R,7.18%,,-27.65%,R,-18.81%,,4.14,R,4.14,R,39.56%,,31.62%,R,0.71%,,0.61%,,45.33%,,22.23%,R,0:58:52,R,0:43:53,,1910/2578,,1298/2578,
1279,,7.56%,,8.95%,,-9.03%,,9.40%,,1.17%,,19.03%,,-32.77%,R,-17.58%,,<5 Reviews,,<5 Reviews,,49.00%,,46.26%,,1.78%,,1.75%,,56.50%,,53.28%,,0:46:17,,0:41:51,,1711/2578,,753/2578,
1837,,7.42%,,5.10%,,18.97%,G,17.48%,G,12.81%,,17.84%,,-28.39%,R,-16.79%,,5.00,G,5.00,G,58.91%,G,56.41%,G,4.24%,G,1.44%,,66.18%,,41.03%,,1:03:39,R,0:50:35,,716/2578,,708/2578,
4298,,14.52%,,14.30%,G,29.79%,G,35.02%,G,30.21%,G,31.09%,G,-0.58%,,1.29%,G,4.36,,4.36,,48.09%,,47.24%,,9.07%,G,9.96%,G,71.85%,,51.20%,,0:30:56,G,0:29:18,G,84/2578,G,52/2578,G
6579,,13.37%,,11.29%,G,8.64%,,15.01%,,-3.76%,,27.94%,G,11.54%,G,2.91%,G,4.44,,4.44,,33.58%,R,35.46%,,2.53%,G,2.08%,,26.86%,,33.72%,,0:54:55,,0:44:51,,814/2578,,434/2578,G
Total,B,11.22%,,10.15%,G,9.91%,G,17.28%,G,3.52%,,18.29%,G,-11.73%,,-9.22%,,4.36,,4.36,,47.87%,,46.86%,,3.72%,G,3.18%,G,50.50%,,43.88%,,0:51:04,,0:44:10,,59/394,G,38/394,G
194,,15.63%,G,8.33%,,6.57%,,4.56%,,1.63%,,10.07%,,-22.69%,,-29.37%,R,<5 Reviews,,<5 Reviews,,45.11%,,37.47%,,0.74%,,0.32%,R,14.67%,R,4.99%,R,0:38:16,,0:39:36,,914/2578,,1394/2578,
522,,6.84%,,9.64%,,7.65%,,13.03%,,3.56%,,7.97%,,-19.05%,,-14.96%,,4.22,R,4.22,R,48.90%,,48.42%,,3.43%,G,2.03%,,76.47%,G,78.76%,G,0:36:50,,0:34:21,,918/2578,,561/2578,
1186,,8.71%,,0.82%,,13.18%,G,3.22%,,-29.14%,R,-12.92%,R,12.11%,G,-5.80%,,4.25,R,4.25,R,38.66%,,44.55%,,2.64%,G,2.01%,,7.56%,R,6.35%,R,0:38:11,,0:32:46,,950/2578,,1500/2578,
2439,,5.88%,,4.86%,,5.45%,,21.40%,G,-10.26%,,1.20%,,-2.71%,,4.86%,G,<5 Reviews,,<5 Reviews,,28.69%,R,36.85%,,3.32%,G,1.02%,,44.22%,,57.43%,,1:06:15,R,1:00:23,R,1415/2578,,872/2578,
3298,,2.54%,,1.58%,,-7.86%,,-10.09%,R,-16.14%,R,-11.70%,R,-18.37%,,-28.57%,R,3.90,R,3.90,R,43.00%,,35.98%,,2.43%,,1.91%,,42.00%,,40.44%,,1:00:55,R,0:56:24,R,2115/2578,R,2318/2578,R
3500,,20.32%,G,17.52%,G,23.33%,G,26.63%,G,12.72%,,20.07%,,9.49%,G,6.31%,G,4.33,,4.33,,45.66%,,47.64%,,0.89%,,0.82%,,12.28%,R,12.55%,R,0:58:01,R,0:54:29,R,369/2578,G,374/2578,G
5116,,10.91%,,6.43%,,9.56%,,16.46%,G,1.32%,,17.18%,,-23.70%,,-18.75%,,4.38,,4.38,,50.31%,,49.65%,,0.39%,,0.31%,R,21.12%,R,20.17%,R,0:29:23,G,0:29:26,G,901/2578,,765/2578,
Total,B,11.06%,,7.69%,,9.34%,G,11.15%,G,-1.76%,,7.57%,,-7.69%,,-11.50%,,4.25,R,4.25,R,43.38%,,43.93%,,1.52%,,0.99%,,25.12%,R,26.21%,R,0:45:21,,0:43:36,,104/394,,135/394,
462,,11.48%,,9.48%,,5.71%,,13.28%,,-2.20%,,11.15%,,-14.71%,,-11.95%,,4.82,G,4.82,G,59.48%,G,54.40%,,0.20%,,0.41%,,39.66%,,41.43%,,0:29:26,G,0:29:27,G,746/2578,,469/2578,G
504,,3.80%,,3.16%,,-4.49%,,11.46%,,-20.11%,R,-1.97%,,0.67%,,-5.92%,,4.80,G,4.80,G,40.73%,,49.41%,,4.00%,G,4.06%,G,20.20%,R,34.33%,,0:46:47,,0:42:33,,1682/2578,,946/2578,
527,,3.44%,,1.26%,,10.68%,,0.07%,,-16.89%,R,-6.84%,R,-27.60%,R,-33.02%,R,4.09,R,4.09,R,43.56%,,54.43%,,4.13%,G,2.85%,G,30.69%,,29.78%,,0:32:50,,0:38:22,,1380/2578,,1793/2578,
529,,12.65%,,6.20%,,20.07%,G,18.19%,G,12.26%,,16.82%,,-0.58%,,-7.32%,,4.69,,4.69,,51.88%,,42.30%,,0.14%,R,0.12%,R,14.78%,R,23.01%,,0:36:09,,0:34:21,,418/2578,G,666/2578,
808,,16.21%,G,5.96%,,22.81%,G,23.02%,G,7.28%,,19.76%,,12.14%,G,-0.24%,G,<5 Reviews,,<5 Reviews,,51.29%,,50.45%,,0.00%,R,0.28%,R,39.43%,,41.72%,,0:42:07,,0:43:06,,300/2578,G,562/2578,
1405,,3.69%,,-1.02%,,-9.71%,,-7.96%,,6.89%,,15.40%,,-29.88%,R,-38.95%,R,<5 Reviews,,<5 Reviews,,48.91%,,48.03%,,0.48%,,0.32%,R,56.17%,,63.45%,,0:40:25,,0:38:22,,1835/2578,,2014/2578,
5388,,14.20%,,10.80%,G,17.88%,G,19.38%,G,0.97%,,13.11%,,7.11%,G,5.02%,G,4.76,,4.76,,50.09%,,48.31%,,1.15%,,0.57%,,30.36%,,26.19%,,0:39:31,,0:36:58,,341/2578,G,336/2578,G
Total,B,9.83%,,5.41%,,8.41%,G,10.73%,G,-2.62%,,8.86%,,-8.55%,,-14.72%,,4.59,,4.59,,49.98%,,49.41%,,1.29%,,1.13%,,33.94%,,37.60%,,0:36:51,,0:36:29,,62/394,G,112/394,
546,,17.94%,G,17.51%,G,21.44%,G,28.36%,G,16.80%,G,39.01%,G,-3.45%,,-1.75%,,4.75,,4.75,,51.19%,,45.71%,,0.52%,,0.47%,,61.67%,,64.18%,,0:42:27,,0:36:26,,187/2578,G,117/2578,G
872,,16.02%,G,9.44%,,15.41%,G,6.16%,,12.48%,,15.06%,,-9.86%,,-16.63%,,4.07,R,4.07,R,46.42%,,41.45%,,0.16%,R,0.59%,,30.75%,,19.43%,R,0:38:21,,0:38:04,,542/2578,,1061/2578,
915,,16.96%,G,11.82%,G,-15.56%,R,-8.13%,,-13.22%,,-2.21%,,-25.51%,R,-23.47%,R,3.90,R,3.90,R,41.15%,,41.98%,,0.00%,R,0.47%,,68.51%,,63.38%,,0:42:16,,0:38:29,,1795/2578,,1681/2578,
2505,,20.67%,G,13.69%,G,11.06%,,16.54%,G,7.01%,,6.85%,,-19.38%,,-6.55%,,4.85,G,4.85,G,62.92%,G,59.58%,G,1.28%,,1.55%,,31.71%,,31.59%,,0:34:54,,0:36:25,,360/2578,G,314/2578,G
2993,,29.76%,G,25.46%,G,17.25%,G,39.77%,G,9.44%,,22.32%,G,4.40%,G,17.26%,G,4.74,,4.74,,78.00%,G,78.28%,G,10.55%,G,12.24%,G,88.80%,G,88.42%,G,0:20:12,G,0:19:55,G,9/2578,G,2/2578,G
3510,,14.05%,,3.21%,,3.56%,,4.89%,,-12.85%,,4.08%,,1.32%,,-13.41%,,4.64,,4.64,,68.49%,G,64.53%,G,0.00%,R,1.10%,,23.18%,,31.77%,,0:49:05,,0:42:56,,988/2578,,1227/2578,
3572,,20.29%,G,22.92%,G,28.23%,G,41.96%,G,18.43%,G,20.27%,,34.38%,G,33.36%,G,4.56,,4.56,,31.56%,R,32.87%,R,1.53%,,0.63%,,9.97%,R,15.78%,R,0:40:55,,0:38:09,,168/2578,G,207/2578,G
Total,B,19.57%,G,15.10%,G,10.79%,G,18.85%,G,5.36%,,14.49%,,-5.90%,,-4.42%,G,4.53,,4.53,,57.02%,G,55.16%,G,2.98%,G,3.46%,G,50.84%,,51.12%,,0:36:49,,0:34:43,G,3/394,G,4/394,G
752,,-0.13%,R,10.67%,G,-20.29%,R,8.39%,,-21.27%,R,0.11%,,-8.97%,,14.01%,G,4.33,,4.33,,22.30%,R,28.32%,R,0.51%,,1.26%,,17.66%,R,22.21%,R,1:31:23,R,1:17:27,R,2461/2578,R,1055/2578,
1062,,8.63%,,11.43%,G,0.09%,,15.88%,G,2.19%,,17.61%,,-9.64%,,-15.10%,,4.20,R,4.20,R,50.67%,,44.29%,,0.29%,,0.22%,R,1.33%,R,3.08%,R,0:16:13,G,0:15:05,G,1168/2578,,578/2578,
3425,,10.67%,,11.55%,G,34.72%,G,20.18%,G,19.45%,G,14.96%,,-4.09%,,-6.05%,,3.33,R,3.33,R,28.32%,R,26.96%,R,0.57%,,0.70%,,18.55%,R,7.16%,R,1:03:07,R,1:08:56,R,764/2578,,859/2578,
5612,,24.33%,G,20.74%,G,60.13%,G,69.67%,G,22.59%,G,41.34%,G,35.11%,G,40.06%,G,4.33,,4.33,,25.79%,R,29.28%,R,2.69%,G,1.02%,,56.10%,,49.27%,,0:50:10,,0:47:01,,124/2578,G,163/2578,G
Total,B,10.64%,,13.56%,G,15.08%,G,25.44%,G,5.37%,,17.55%,G,0.23%,G,5.21%,G,4.04,R,4.04,R,30.06%,R,30.38%,R,0.95%,,0.73%,R,24.02%,R,20.22%,R,0:50:36,,0:48:43,,92/394,,61/394,G
