Store Nbr,Store Name,Store Type Descr,,,,,,,,,,
2553,"WINDSOR, CA",BASE STR Wal-Mart,,,,,,,,,,
2554,"AVONDALE, AZ",BASE STR Supercenter,,,,,,,,,,
2557,"BAKERSFIELD, CA EF",BASE STR Supercenter,,,,,,,,,,
2568,"PANORAMA CITY, CA",BASE STR Wal-Mart,,,,,,,,,,
2591,"PEMBROKE PINES, FL",BASE STR Supercenter,,,,,,,,,,
2592,"NORTH LAS VEGAS, NV",BASE STR Supercenter,,,,,,,,,,
2596,"MOUNT VERNON, WA",BASE STR Supercenter,,,,,,,,,,
2598,"SACRAMENTO, CA",BASE STR Wal-Mart,,,,,,,,,,
2599,"SAN ANTONIO (NW), TX",BASE STR Supercenter,,,,,,,,,,
2609,"LAKEWOOD, CA",BASE STR Supercenter,,,,,,,,,,
2612,"EL PASO (NE), TX",BASE STR Supercenter,,,,,,,,,,
2617,"WINNEMUCCA, NV",BASE STR Supercenter,,,,,,,,,,
2648,"SAN LEANDRO, CA EF",BASE STR Wal-Mart,,,,,,,,,,
2653,"PORTALES, NM",BASE STR Supercenter,,,,,,,,,,
2656,"ESPANOLA, NM",BASE STR Supercenter,,,,,,,,,,
2667,"DALLAS (E), TX",BASE STR Supercenter,,,,,,,,,,
2668,"RACINE, WI",BASE STR Supercenter,,,,,,,,,,
2671,CHANDLER AZ,BASE STR Supercenter,,,,,,,,,,
2672,"LAMAR, CO",BASE STR Supercenter,,,,,,,,,,
2679,"ELKHART, IN",BASE STR Supercenter,,,,,,,,,,
2697,"ANTIOCH, CA EF",BASE STR Supercenter,,,,,,,,,,
2718,"HOUSTON (C), TX",BASE STR Wal-Mart,,,,,,,,,,
2724,"PASADENA, TX",BASE STR Supercenter,,,,,,,,,,
2726,"REYNOLDSBURG, OH",BASE STR Supercenter,,,,,,,,,,
2727,"FLORIDA CITY, FL",BASE STR Supercenter,,,,,,,,,,
2735,"SACRAMENTO, CA",BASE STR Supercenter,,,,,,,,,,
2752,"COMMERCE CITY, CO",BASE STR Supercenter,,,,,,,,,,
2763,DONNA TX,BASE STR Supercenter,,,,,,,,,,
2765,LOS FRESNOS TX,BASE STR Supercenter,,,,,,,,,,
2768,"MESA (S), AZ",BASE STR Supercenter,,,,,,,,,,
2769,SAN ANTONIO WALZEM & PARK,BASE STR Supercenter,,,,,,,,,,
2778,"COOLIDGE, AZ",BASE STR Supercenter,,,,,,,,,,
2780,"CALDWELL, ID",BASE STR Supercenter,,,,,,,,,,
2781,"NAMPA, ID",BASE STR Supercenter,,,,,,,,,,
2812,"ROCHESTER (S), MN",BASE STR Supercenter,,,,,,,,,,
2813,"MARSHFIELD, WI",BASE STR Supercenter,,,,,,,,,,
2814,HIALEAH GARDENS (NW) FL,BASE STR Supercenter,,,,,,,,,,
2820,"WORTHINGTON, MN",BASE STR Supercenter,,,,,,,,,,
2828,"MILWAUKEE (S), WI",BASE STR Supercenter,,,,,,,,,,
2831,"JEROME, ID",BASE STR Supercenter,,,,,,,,,,
2842,"CORONA, CA",BASE STR Supercenter,,,,,,,,,,
2847,"BELLEVUE, NE",BASE STR Supercenter,,,,,,,,,,
2881,"KISSIMMEE (E), FL",BASE STR Supercenter,,,,,,,,,,
2891,"ODESSA (W), TX",BASE STR Supercenter,,,,,,,,,,
2924,"ALBUQUERQUE (W), NM",BASE STR Supercenter,,,,,,,,,,
2925,"NAPA, CA",BASE STR Supercenter,,,,,,,,,,
2948,SANTA FE SPRINGS CA,BASE STR Supercenter,,,,,,,,,,
2950,"PALMDALE (EAST), CA",BASE STR Supercenter,,,,,,,,,,
2951,"LANCASTER (EAST), CA",BASE STR Supercenter,,,,,,,,,,
2952,"MURRIETA, CA",BASE STR Wal-Mart,,,,,,,,,,
2978,"FORT WORTH (S), TX",BASE STR Supercenter,,,,,,,,,,
2985,"FRESNO, CA EF",BASE STR Supercenter,,,,,,,,,,
2987,"DAVIE, FL",BASE STR Supercenter,,,,,,,,,,
2996,"DALLAS (NW), TX",BASE STR Supercenter,,,,,,,,,,
3004,CHICAGO CICERO IL,BASE STR Supercenter,,,,,,,,,,
3014,DALLAS S TX,BASE STR Supercenter,,,,,,,,,,
3035,WASHINGTON FT TOTTEN DC,BASE STR Supercenter,,,,,,,,,,
3044,FORT WORTH SE TX,BASE STR Supercenter,,,,,,,,,,
3053,EVERETT MALL WA,BASE STR Supercenter,,,,,,,,,,
3057,HELOTES TX,BASE STR Supercenter,,,,,,,,,,
3067,NORCROSS E GA,BASE STR Supercenter,,,,,,,,,,
3087,OXNARD CA,BASE STR Wal-Mart,,,,,,,,,,
3107,SAN ANTONIO LEON SPRINGS,BASE STR Supercenter,,,,,,,,,,
3112,SAN ANTONIO FOSTER TX,BASE STR Supercenter,,,,,,,,,,
3136,HORIZON CITY TX,BASE STR Supercenter,,,,,,,,,,
3159,TETERBORO NJ,BASE STR Supercenter,,,,,,,,,,
3163,HOLLYWOOD FL,BASE STR Supercenter,,,,,,,,,,
3169,MANOR TX,BASE STR Supercenter,,,,,,,,,,
3170,ELGIN TX,BASE STR Supercenter,,,,,,,,,,
3180,SOUTHGATE CA,BASE STR Supercenter,,,,,,,,,,
3217,"OTHELLO, WA",BASE STR Supercenter,,,,,,,,,,
3224,"GARLAND (SE), TX",BASE STR Supercenter,,,,,,,,,,
3225,"ROWLETT, TX",BASE STR Supercenter,,,,,,,,,,
3226,"KATY, TX",BASE STR Supercenter,,,,,,,,,,
3235,"NORTH MIAMI BEACH, FL",BASE STR Supercenter,,,,,,,,,,
3247,DELAVAN WI,BASE STR Supercenter,,,,,,,,,,
3248,LA HABRA CA,BASE STR Supercenter,,,,,,,,,,
3260,"EPHRATA, WA",BASE STR Supercenter,,,,,,,,,,
3276,SAN BERNARDINO CA,BASE STR Wal-Mart,,,,,,,,,,
3279,"SAN ANTONIO (SE), TX",BASE STR Supercenter,,,,,,,,,,
3284,"ARLINGTON (SW), TX",BASE STR Supercenter,,,,,,,,,,
3285,CEDAR HILL TX,BASE STR Supercenter,,,,,,,,,,
3296,"HOUSTON, TX",BASE STR Supercenter,,,,,,,,,,
3297,HOUSTON ELDRIDGE TX,BASE STR Supercenter,,,,,,,,,,
3301,"PROVIDENCE, RI",BASE STR Wal-Mart,,,,,,,,,,
3302,"HOUSTON (W TOLLWAY), TX",BASE STR Supercenter,,,,,,,,,,
3310,"DELTONA (HWIND/415), FL",BASE STR Supercenter,,,,,,,,,,
3311,"MIAMI GARDENS (PROP), FL",BASE STR Supercenter,,,,,,,,,,
3320,"PALMHURST, TX",BASE STR Supercenter,,,,,,,,,,
3339,"VINELAND, NJ",BASE STR Supercenter,,,,,,,,,,
3350,"LAS VEGAS (BOULDER), NV",BASE STR Supercenter,,,,,,,,,,
3352,"STOCKTON-NW, CA",BASE STR Supercenter,,,,,,,,,,
3364,"WEST ST. PAUL, MN",BASE STR Supercenter,,,,,,,,,,
3380,PASCO WA,BASE STR Supercenter,,,,,,,,,,
3381,SWEETWATER TX,BASE STR Supercenter,,,,,,,,,,
3382,PUEBLO WEST CO,BASE STR Supercenter,,,,,,,,,,
3383,"AMARILLO (SC), TX",BASE STR Supercenter,,,,,,,,,,
3384,HEREFORD (NW) TX,BASE STR Supercenter,,,,,,,,,,
3395,SOUTH GRAND ISLAND,BASE STR Supercenter,,,,,,,,,,
3400,OSWEGO IL,BASE STR Supercenter,,,,,,,,,,
3406,DALLAS (PRESTWD) TX,BASE STR Supercenter,,,,,,,,,,
3407,BUCKEYE AZ,BASE STR Supercenter,,,,,,,,,,
3423,"SANTA FE (S), NM",BASE STR Supercenter,,,,,,,,,,
3425,HOUSTON (ALMEDA GENOA) TX,BASE STR Supercenter,,,,,,,,,,
3427,ARTESIA NM,BASE STR Supercenter,,,,,,,,,,
3433,RED OAK TX,BASE STR Supercenter,,,,,,,,,,
3447,WHITEHALL OH,BASE STR Supercenter,,,,,,,,,,
3455,"RICHMOND, CA",BASE STR Wal-Mart,,,,,,,,,,
3464,CHINO CA,BASE STR Supercenter,,,,,,,,,,
3465,GLENDALE  AZ 11-12-02,BASE STR Supercenter,,,,,,,,,,
3469,LINDEN NJ,BASE STR Supercenter,,,,,,,,,,
3473,"LAS VEGAS, NV",BASE STR Supercenter,,,,,,,,,,
3477,LONG BEACH CA,BASE STR Supercenter,,,,,,,,,,
3491,"METHUEN, MA",BASE STR Wal-Mart,,,,,,,,,,
3494,SAN MARCOS CA EF,BASE STR Wal-Mart,,,,,,,,,,
3510,PEARLAND TX,BASE STR Supercenter,,,,,,,,,,
3516,"CHULA VISTA (E), CA",BASE STR Supercenter,,,,,,,,,,
3518,"LAREDO(SE), TX",BASE STR Supercenter,,,,,,,,,,
3522,"BALDWIN PARK, CA",BASE STR Supercenter,,,,,,,,,,
3523,"SANTA CLARITA (E), CA",BASE STR Supercenter,,,,,,,,,,
3533,DENVER CO,BASE STR Supercenter,,,,,,,,,,
3537,"LAKEWOOD, WA",BASE STR Supercenter,,,,,,,,,,
3562,SADDLE BROOK NJ,BASE STR Wal-Mart,,,,,,,,,,
3567,HIDALGO TX,BASE STR Supercenter,,,,,,,,,,
3568,WEST VALLEY CITY UT,BASE STR Supercenter,,,,,,,,,,
3569,AUSTIN (NE) TX,BASE STR Supercenter,,,,,,,,,,
3584,"HOUSTON (GALLERIA), TX",BASE STR Supercenter,,,,,,,,,,
3589,SALT LAKE CITY C UT,BASE STR Supercenter,,,,,,,,,,
3596,"LOS LUNAS, NM",BASE STR Supercenter,,,,,,,,,,
3597,BELVIDERE IL,BASE STR Supercenter,,,,,,,,,,
3601,CRESTWOOD IL,BASE STR Supercenter,,,,,,,,,,
3623,LAREDO (S) TX,BASE STR Supercenter,,,,,,,,,,
3640,HOUSTON(NW I-610) TX,BASE STR Supercenter,,,,,,,,,,
3645,MIDLAND (S) TX,BASE STR Supercenter,,,,,,,,,,
3650,"VENTURA (W), CA",BASE STR Wal-Mart,,,,,,,,,,
3652,"WEST SACRAMENTO, CA",BASE STR Supercenter,,,,,,,,,,
3717,"NASHVILLE (HARDING), TN",BASE STR Supercenter,,,,,,,,,,
3728,"NORTH LAS VEGAS (S), NV",BASE STR Supercenter,,,,,,,,,,
3754,"CHELAN, WA",BASE STR Supercenter,,,,,,,,,,
3763,"EL PASO (MONTANA), TX",BASE STR Supercenter,,,,,,,,,,
3771,"PHOENIX (LAVEEN), AZ",BASE STR Supercenter,,,,,,,,,,
3773,"FORT WORTH (W), TX",BASE STR Supercenter,,,,,,,,,,
3782,"ORLANDO (NARCOOSSEE), FL",BASE STR Supercenter,,,,,,,,,,
3789,"OGDEN, UT",BASE STR Supercenter,,,,,,,,,,
3794,"FEDERAL WAY (S), WA",BASE STR Supercenter,,,,,,,,,,
3795,"NORTH BERGEN, NJ",BASE STR Supercenter,,,,,,,,,,
3799,"MESA (COUNTRY CLUB), AZ",BASE STR Supercenter,,,,,,,,,,
3824,"WESTMINSTER (72ND), CO",BASE STR Supercenter,,,,,,,,,,
3826,"LUBBOCK (TXTECH), TX",BASE STR Supercenter,,,,,,,,,,
3857,"MONONA, WI",BASE STR Supercenter,,,,,,,,,,
3884,"TUCSON, AZ",BASE STR Supercenter,,,,,,,,,,
3888,"SAN ANTONIO (SW1604), TX",BASE STR Supercenter,,,,,,,,,,
3891,"WAUKEGAN, IL",BASE STR Supercenter,,,,,,,,,,
3893,"ZION, IL",BASE STR Supercenter,,,,,,,,,,
3894,"LEXINGTON (E), KY",BASE STR Supercenter,,,,,,,,,,
3947,CHULA VISTA CA,BASE STR Supercenter,,,,,,,,,,
4055,SAN ANTONIO UNIVERSAL CIT,BASE STR Supercenter,,,,,,,,,,
4101,LONG BEACH NW CA,BASE STR Supercenter,,,,,,,,,,
4102,CASTROVILLE TX,BASE STR Supercenter,,,,,,,,,,
4103,DEVINE TX,BASE STR Supercenter,,,,,,,,,,
4112,BROWNSVILLE N TX,BASE STR Supercenter,,,,,,,,,,
4115,SAN ANTONIO CIBOLO TX,BASE STR Supercenter,,,,,,,,,,
4130,KYLE TX,BASE STR Supercenter,,,,,,,,,,
4132,DOWNEY CA,BASE STR Supercenter,,,,,,,,,,
4161,MIAMI FOUTAINBLEAU FL,BASE STR Supercenter,,,,,,,,,,
4162,SAN ANTONIO WURZBACH TX,BASE STR Supercenter,,,,,,,,,,
4164,KAUFMAN TX,BASE STR Supercenter,,,,,,,,,,
4165,FORT WORTH JACKSBORO & RI,BASE STR Supercenter,,,,,,,,,,
4171,GARDEN GROVE CA,BASE STR Supercenter,,,,,,,,,,
4183,BRYAN WEST TX,BASE STR Supercenter,,,,,,,,,,
4194,VICTORIA TX,BASE STR Supercenter,,,,,,,,,,
4201,"EDGEWOOD, NM",BASE STR Supercenter,,,,,,,,,,
4219,"BUDA, TX",BASE STR Supercenter,,,,,,,,,,
4221,"CORNELIUS, OR",BASE STR Supercenter,,,,,,,,,,
4238,"SANGER, CA",BASE STR Supercenter,,,,,,,,,,
4239,"STEAD, NV",BASE STR Supercenter,,,,,,,,,,
4257,"AUSTIN, MN",BASE STR Supercenter,,,,,,,,,,
4284,"LAKEWOOD (2ND ST), CO",BASE STR Supercenter,,,,,,,,,,
4286,"MONTGOMERY, IL",BASE STR Supercenter,,,,,,,,,,
4298,"HOUSTON (REDSTONE), TX",BASE STR Supercenter,,,,,,,,,,
4299,"LUBBOCK (SW), TX",BASE STR Supercenter,,,,,,,,,,
4303,MIAMI N CENTRAL FL,BASE STR Supercenter,,,,,,,,,,
4317,"TEHACHAPI, CA",BASE STR Supercenter,,,,,,,,,,
4322,"CRETE, NE",BASE STR Supercenter,,,,,,,,,,
4325,"YUMA (FOOTHILLS), AZ",BASE STR Supercenter,,,,,,,,,,
4336,"EL MIRAGE, AZ",BASE STR Supercenter,,,,,,,,,,
4337,"SAN LUIS, AZ",BASE STR Supercenter,,,,,,,,,,
4341,"TRUTH OR CONSEQUENCES, NM",BASE STR Supercenter,,,,,,,,,,
4365,ORLANDO FL,BASE STR Supercenter,,,,,,,,,,
4392,"VICTORVILLE (W), CA",BASE STR Supercenter,,,,,,,,,,
4393,"SACRAMENTO (WATT), CA",BASE STR Supercenter,,,,,,,,,,
4405,"AURORA (NE), IL",BASE STR Supercenter,,,,,,,,,,
4416,"HOUSTON (SMILI), TX",BASE STR Supercenter,,,,,,,,,,
4430,"MARICOPA, AZ",BASE STR Supercenter,,,,,,,,,,
4488,"MARINA, CA",BASE STR Supercenter,,,,,,,,,,
4503,GRAND PRAIRIE PIONEER PKW,BASE STR Supercenter,,,,,,,,,,
4508,"PENITAS, TX",BASE STR Supercenter,,,,,,,,,,
4512,KATY MORTON TX,BASE STR Supercenter,,,,,,,,,,
4526,"HOUSTON, TX",BASE STR Supercenter,,,,,,,,,,
4531,"ROMEOVILLE, IL",BASE STR Supercenter,,,,,,,,,,
4538,KATY FRY RD AND W LITTLE,BASE STR Supercenter,,,,,,,,,,
4543,"PARKER, AZ",BASE STR Supercenter,,,,,,,,,,
4557,"LAS VEGAS (MCLEOD), NV",BASE STR Supercenter,,,,,,,,,,
4601,"LAS CRUCES (N), NM",BASE STR Supercenter,,,,,,,,,,
4627,"DENTON (NW), TX",BASE STR Supercenter,,,,,,,,,,
4631,"HAMMOND (N), IN",BASE STR Supercenter,,,,,,,,,,
5012,HAMILTON NJ,BASE STR Supercenter,,,,,,,,,,
5023,NATIONAL CITY CA,BASE STR Supercenter,,,,,,,,,,
5032,BUENA PARK CA,BASE STR Wal-Mart,,,,,,,,,,
5033,"FORT MORGAN, CO",BASE STR Supercenter,,,,,,,,,,
5036,TAMPA (GUNN) FL,BASE STR Supercenter,,,,,,,,,,
5051,GREELEY (N) CO,BASE STR Supercenter,,,,,,,,,,
5072,LOS ANGELES (SO BAY) CA E,BASE STR Wal-Mart,,,,,,,,,,
5075,OCEANSIDE CA,BASE STR Supercenter,,,,,,,,,,
5078,"YAKIMA (W), WA",BASE STR Supercenter,,,,,,,,,,
5090,"GREEN BAY, WI",BASE STR Supercenter,,,,,,,,,,
5096,"PALM DESERT (C.CITY), CA",BASE STR Supercenter,,,,,,,,,,
5103,PHILADELPHIA (NE) PA,BASE STR Wal-Mart,,,,,,,,,,
5116,LA PORTE TX,BASE STR Supercenter,,,,,,,,,,
5124,"GLENDALE (MAINSTEE), AZ",BASE STR Supercenter,,,,,,,,,,
5130,"PHILADELPHIA-BU-, PA",BASE STR Wal-Mart,,,,,,,,,,
5134,"BAKERSFIELD (SW), CA",BASE STR Supercenter,,,,,,,,,,
5136,MARYSVILLE CA,BASE STR Supercenter,,,,,,,,,,
5139,DIXON CA,BASE STR Supercenter,,,,,,,,,,
5144,SAN ANTONIO (NE) TX,BASE STR Supercenter,,,,,,,,,,
5145,SAN ANTONIO (VJ) TX,BASE STR Supercenter,,,,,,,,,,
5146,"SAN ANTONIO, TX",BASE STR Supercenter,,,,,,,,,,
5147,DALLAS (W) TX,BASE STR Supercenter,,,,,,,,,,
5154,"ROSEMEAD, CA",BASE STR Supercenter,,,,,,,,,,
5155,LAS CRUCES (SW) NM,BASE STR Supercenter,,,,,,,,,,
5156,"BEAUMONT, CA",BASE STR Supercenter,,,,,,,,,,
5165,"ALAMO, TX",BASE STR Supercenter,,,,,,,,,,
5166,DEMING NM,BASE STR Supercenter,,,,,,,,,,
5184,CANA WINCHESTER OH,BASE STR Supercenter,,,,,,,,,,
5185,COLUMBUS WSW OH,BASE STR Supercenter,,,,,,,,,,
5189,PHOENIX (MARYVALE) AZ,BASE STR Supercenter,,,,,,,,,,
5192,SACRAMENTO CA,BASE STR Supercenter,,,,,,,,,,
5193,"MORENO VALLEY, CA",BASE STR Supercenter,,,,,,,,,,
5202,"COMMACK, NY",BASE STR Wal-Mart,,,,,,,,,,
5215,"DELANO, CA",BASE STR Supercenter,,,,,,,,,,
5220,TAMPA (DM WATERS) FL,BASE STR Supercenter,,,,,,,,,,
5231,"GALT, CA",BASE STR Supercenter,,,,,,,,,,
5233,"WEST VALLEY CITY (S), UT",BASE STR Supercenter,,,,,,,,,,
5245,SAN ANTONIO (BROOKS) TX,BASE STR Supercenter,,,,,,,,,,
5246,"WHARTON, TX",BASE STR Supercenter,,,,,,,,,,
5250,KISSIMMEE FL,BASE STR Supercenter,,,,,,,,,,
5281,"WOODBRIDGE, NJ",BASE STR Wal-Mart,,,,,,,,,,
5288,"SEAGOVILLE, TX",BASE STR Supercenter,,,,,,,,,,
5299,ORLANDO FL,BASE STR Supercenter,,,,,,,,,,
5301,WEST PALM BEACH FL,BASE STR Supercenter,,,,,,,,,,
5305,CHULA VISTA CA,BASE STR Wal-Mart,,,,,,,,,,
5312,FT WORTH (121) TX,BASE STR Supercenter,,,,,,,,,,
5317,AUSTIN (S) TX,BASE STR Supercenter,,,,,,,,,,
5330,"PHOENIX, AZ",BASE STR Supercenter,,,,,,,,,,
5331,PHOENIX TOLLESON AZ,BASE STR Supercenter,,,,,,,,,,
5334,AURORA (DIA) CO,BASE STR Supercenter,,,,,,,,,,
5335,BRAWLEY CA,BASE STR Supercenter,,,,,,,,,,
5340,CHERRY HILL NJ,BASE STR Wal-Mart,,,,,,,,,,
5342,YUMA (W) AZ,BASE STR Supercenter,,,,,,,,,,
5369,"GOODYEAR, AZ",BASE STR Supercenter,,,,,,,,,,
5370,"LONGMONT (N), CO",BASE STR Supercenter,,,,,,,,,,
5384,"BRIDGETON, NJ",BASE STR Wal-Mart,,,,,,,,,,
5390,"MARIETTA (TRADE CTR), GA",BASE STR Supercenter,,,,,,,,,,
5402,CHICAGO (W) IL,BASE STR Supercenter,,,,,,,,,,
5416,ARLINGTON (N) TX,BASE STR Supercenter,,,,,,,,,,
5420,"KISSIMMEE, FL",BASE STR Supercenter,,,,,,,,,,
5425,"SAN JACINTO, CA",BASE STR Supercenter,,,,,,,,,,
5430,"ALBUQUERQUE, NM",BASE STR Supercenter,,,,,,,,,,
5432,"NEW RICHMOND, WI",BASE STR Supercenter,,,,,,,,,,
5434,"SAN LEANDRO (S), CA",BASE STR Wal-Mart,,,,,,,,,,
5435,SAN JOSE(CENTRAL) CA,BASE STR Supercenter,,,,,,,,,,
5442,ADDISON IL,BASE STR Supercenter,,,,,,,,,,
5447,KEARNY NJ,BASE STR Supercenter,,,,,,,,,,
5460,PORTLAND TX,BASE STR Supercenter,,,,,,,,,,
5466,GROVE CITY OH,BASE STR Supercenter,,,,,,,,,,
5479,"PFLUGERVILLE, TX",BASE STR Supercenter,,,,,,,,,,
5480,ROUND ROCK (NE) TX,BASE STR Supercenter,,,,,,,,,,
5485,"EVERGREEN PARK, IL",BASE STR Supercenter,,,,,,,,,,
5491,"ALBUQUERQUE (EC), NM",BASE STR Supercenter,,,,,,,,,,
5492,"SOCORRO, NM",BASE STR Supercenter,,,,,,,,,,
5617,CHICAGO HERMOSA IL,BASE STR Supercenter,,,,,,,,,,
5626,TUCSON BRIDGES AZ,BASE STR Supercenter,,,,,,,,,,
5632,FRESNO BLACKSTONE CA,BASE STR Supercenter,,,,,,,,,,
5641,LA HABRA CA,BASE STR Supercenter,,,,,,,,,,
5644,IRVINE N CA,BASE STR Supercenter,,,,,,,,,,
5669,WEST MILWAUKEE WI,BASE STR Supercenter,,,,,,,,,,
5671,NARANJA FL,BASE STR Supercenter,,,,,,,,,,
5676,DENVER FEDERAL CO,BASE STR Supercenter,,,,,,,,,,
5686,BURBANK CA,BASE STR Supercenter,,,,,,,,,,
5701,"KERMAN, CA",BASE STR Supercenter,,,,,,,,,,
5707,"CROSS ROADS, TX",BASE STR Supercenter,,,,,,,,,,
5710,"MODESTO, CA",BASE STR Supercenter,,,,,,,,,,
5713,"LAREDO (NE), TX",BASE STR Supercenter,,,,,,,,,,
5717,EL PASO PASEO DEL NORTE T,BASE STR Supercenter,,,,,,,,,,
5751,"SALINAS, CA",BASE STR Supercenter,,,,,,,,,,
5752,"GARFIELD, NJ",BASE STR Supercenter,,,,,,,,,,
5766,"MORGAN HILL, CA",BASE STR Supercenter,,,,,,,,,,
5807,COMPTON N. LB BLVD CA,BASE STR Supercenter,,,,,,,,,,
5808,ELSA TX,BASE STR Supercenter,,,,,,,,,,
5809,EDINBURG TX,BASE STR Supercenter,,,,,,,,,,
5810,DALLAS CLARK & WHEATLAND,BASE STR Supercenter,,,,,,,,,,
5823,"DALLAS (SKILL), TX",BASE STR Supercenter,,,,,,,,,,
5843,"PATTERSON, CA",BASE STR Supercenter,,,,,,,,,,
5848,"ELK GROVE, CA",BASE STR Wal-Mart,,,,,,,,,,
5854,"WESTCHESTER, FL",BASE STR Supercenter,,,,,,,,,,
5857,"WESTERVILLE, OH",BASE STR Supercenter,,,,,,,,,,
5859,"WASCO, CA",BASE STR Supercenter,,,,,,,,,,
5871,"ORLANDO (OAK RIDGE), FL",BASE STR Supercenter,,,,,,,,,,
5882,"PALM SPRINGS, FL",BASE STR Supercenter,,,,,,,,,,
5884,"SAN JOSE, CA",BASE STR Supercenter,,,,,,,,,,
5889,"DALLAS (WEBB CHAPEL), TX",BASE STR Supercenter,,,,,,,,,,
5890,"ATWATER, CA",BASE STR Supercenter,,,,,,,,,,
5891,"PHILADELPHIA, PA",BASE STR Supercenter,,,,,,,,,,
5898,"CORPUS CHRISTI, TX",BASE STR Supercenter,,,,,,,,,,
5912,GOULDS FL,BASE STR Supercenter,,,,,,,,,,
5930,"ANAHEIM, CA",BASE STR Supercenter,,,,,,,,,,
5932,"PEMBROKE PINES, FL",BASE STR Supercenter,,,,,,,,,,
5938,SAN DIEGO CA,BASE STR Wal-Mart,,,,,,,,,,
5947,EL PASO TX,BASE STR Supercenter,,,,,,,,,,
5956,VISALIA CA,BASE STR Supercenter,,,,,,,,,,
5957,LAKESIDE CO,BASE STR Supercenter,,,,,,,,,,
5959,HOUSTON TX,BASE STR Supercenter,,,,,,,,,,
5996,ESCONDIDO CA,BASE STR Wal-Mart,,,,,,,,,,
6394,NORTH SHORE WI,BASE STR Supercenter,,,,,,,,,,
6397,MIAMI (CORAL REEF) FL,BASE STR Supercenter,,,,,,,,,,
6467,TYLER (HWY 31) TX,BASE STR Supercenter,,,,,,,,,,
6477,PHOENIX (METROCENTER) AZ,BASE STR Supercenter,,,,,,,,,,
6579,NEW CANEY TX,BASE STR Supercenter,,,,,,,,,,
7178,PRINCETON TX,BASE STR Supercenter,,,,,,,,,,
7281,SAN ANGELO TX,BASE STR Supercenter,,,,,,,,,,
1455,FT WORTH TX,BASE STR Supercenter,,,,,,,,,,
1801,ARLINGTON TX,BASE STR Supercenter,,,,,,,,,,
3631,CROWLEY TX,BASE STR Supercenter,,,,,,,,,,
4279,"MIDLOTHIAN, TX",BASE STR Supercenter,,,,,,,,,,
412,ATHENS TX,BASE STR Supercenter,,,,,,,,,,
3764,"LINDALE, TX",BASE STR Supercenter,,,,,,,,,,
353,GRAHAM TX,BASE STR Supercenter,,,,,,,,,,
371,GRANBURY TX,BASE STR Supercenter,,,,,,,,,,
590,BENBROOK TX/FT WORTH,BASE STR Supercenter,,,,,,,,,,
4509,"BENBROOK, TX",BASE STR Supercenter,,,,,,,,,,
5359,AZLE TX,BASE STR Supercenter,,,,,,,,,,
284,MANSFIELD TX,BASE STR Supercenter,,,,,,,,,,
3432,"DESOTO, TX",BASE STR Supercenter,,,,,,,,,,
2834,FT WORTH GOLDEN TRIANGLE,BASE STR Supercenter,,,,,,,,,,
5080,HURST TX,BASE STR Supercenter,,,,,,,,,,
1117,PLANO TX,BASE STR Supercenter,,,,,,,,,,
5210,"WYLIE, TX",BASE STR Supercenter,,,,,,,,,,
3286,HICKORY CREEK/DENTON TX,BASE STR Supercenter,,,,,,,,,,
6963,ANNA TX,BASE STR Supercenter,,,,,,,,,,
5092,LEWISVILLE (SE) TX,BASE STR Supercenter,,,,,,,,,,
260,WAXAHACHIE TX.,BASE STR Supercenter,,,,,,,,,,
4215,"QUINLAN, TX",BASE STR Supercenter,,,,,,,,,,
5191,"FORNEY, TX",BASE STR Supercenter,,,,,,,,,,
248,MEXIA TX.,BASE STR Supercenter,,,,,,,,,,
561,EASTLAND TX,BASE STR Supercenter,,,,,,,,,,
610,STEPHENVILLE TX,BASE STR Supercenter,,,,,,,,,,
1254,BELLMEAD TX,BASE STR Supercenter,,,,,,,,,,
6929,TEMPLE TX,BASE STR Supercenter,,,,,,,,,,
7156,HEWITT TX,BASE STR Supercenter,,,,,,,,,,
421,DECATUR TX,BASE STR Supercenter,,,,,,,,,,
2980,"FT WORTH (N), TX",BASE STR Supercenter,,,,,,,,,,
5316,SAGINAW TX,BASE STR Supercenter,,,,,,,,,,
5764,"FORT WORTH (HASLET), TX",BASE STR Supercenter,,,,,,,,,,
259,ROCKWALL TX.,BASE STR Supercenter,,,,,,,,,,
1055,GARLAND TX,BASE STR Supercenter,,,,,,,,,,
5987,ROYSE CITY TX,BASE STR Supercenter,,,,,,,,,,
8930,DALLAS TX,BASE STR Supercenter,,,,,,,,,,
744,ATASCOCITA TX,BASE STR Supercenter,,,,,,,,,,
849,HOUST/HUMBLE/ALBIDE,BASE STR Supercenter,,,,,,,,,,
1103,HOUSTON (CORNERSTONE) TX,BASE STR Supercenter,,,,,,,,,,
1186,LIBERTY TX,BASE STR Supercenter,,,,,,,,,,
3298,"HOUSTON, TX",BASE STR Supercenter,,,,,,,,,,
504,GALVESTON TX,BASE STR Supercenter,,,,,,,,,,
529,TEXAS CITY TX,BASE STR Supercenter,,,,,,,,,,
5388,"LEAGUE CITY (HWY 646), TX",BASE STR Supercenter,,,,,,,,,,
3572,PEARLAND TX 11-12-02,BASE STR Supercenter,,,,,,,,,,
703,TOMBALL TX,BASE STR Supercenter,,,,,,,,,,
5045,HOUSTON (SPG CYP) TX,BASE STR Supercenter,,,,,,,,,,
5091,HOUSTON ROSEHILL TX,BASE STR Supercenter,,,,,,,,,,
