STORE,market_nbr,Region_nbr,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
637,429,47,37,0,20,12,0
638,42,4,37,0,20,20,0
639,28,3,37,0,20,24,0
640,35,4,37,0,0,8,0
641,35,4,37,0,20,20,0
642,38,4,37,0,20,12,0
643,37,4,37,0,20,8,0
644,39,4,37,0,12,20,0
645,433,47,37,0,12,12,0
646,415,52,37,0,12,16,0
647,414,52,37,0,12,20,0
648,339,40,37,0,20,8,0
649,92,9,37,0,20,24,0
651,66,13,37,0,20,16,0
652,406,47,37,0,20,12,0
653,253,41,37,0,20,28,8
655,253,41,37,0,20,16,0
656,151,12,37,0,20,20,0
657,152,12,37,0,8,24,0
658,120,12,37,0,20,12,0
659,153,12,37,0,20,20,0
660,137,11,37,24,0,0,0
661,137,11,37,0,20,8,0
662,137,11,37,0,20,12,0
663,119,12,37,0,12,20,0
664,406,47,37,0,12,24,0
665,257,41,37,0,20,8,0
666,115,9,37,0,20,20,0
667,151,12,37,0,12,8,0
668,152,12,37,0,20,8,0
669,120,12,37,0,12,20,0
670,2,14,37,36,0,0,0
671,152,12,37,0,20,8,0
672,122,12,37,0,12,16,0
673,149,12,37,0,20,24,0
674,152,12,37,0,20,32,0
675,146,11,37,0,20,20,0
676,121,12,37,0,12,20,0
677,146,11,37,0,20,20,0
678,123,12,37,0,0,16,0
680,123,12,37,0,20,20,8
681,5,12,37,16,0,0,0
682,151,12,37,0,20,32,0
683,147,11,37,0,20,8,0
684,147,11,37,0,20,28,8
685,123,12,37,0,20,8,0
686,28,3,37,0,20,20,0
687,121,12,37,0,20,28,0
688,153,12,37,0,20,12,0
689,257,41,37,0,20,16,0
690,124,12,37,0,12,16,0
691,3,14,37,0,20,32,8
692,260,41,37,0,20,16,0
693,259,21,37,0,8,8,0
694,254,41,37,0,20,20,0
695,149,12,37,0,12,12,0
696,258,20,37,0,12,8,0
697,93,3,37,0,0,24,0
698,119,12,37,0,20,12,0
699,136,11,37,0,20,32,0
700,8,14,37,0,20,24,8
701,254,41,37,0,20,16,0
702,259,21,37,0,20,20,0
703,67,6,37,0,20,24,0
705,89,3,37,0,12,32,0
706,114,3,37,0,20,32,0
707,136,11,37,0,12,12,0
708,140,11,37,0,12,32,0
709,256,41,37,0,20,16,0
710,153,12,37,28,0,0,0
711,257,41,37,0,20,12,0
712,5,12,37,0,0,8,0
713,114,3,37,0,8,8,0
714,327,42,37,0,12,12,0
715,11,11,37,0,20,20,0
716,136,11,37,0,12,16,0
718,114,3,37,0,20,32,0
719,257,41,37,0,20,20,0
720,260,41,37,0,20,20,0
721,118,9,37,0,12,32,0
722,22,2,37,0,20,16,0
723,7,14,37,0,20,24,8
724,123,12,37,0,20,8,0
725,114,3,37,0,12,20,0
726,10,14,37,24,0,0,0
727,22,2,37,24,0,0,0
728,29,4,37,0,12,8,0
729,256,41,37,0,20,28,0
730,10,14,37,0,20,20,0
731,11,11,37,0,12,16,0
733,10,14,37,0,20,16,0
734,7,14,37,0,20,24,8
735,151,12,37,0,20,8,0
736,253,41,37,0,20,8,0
737,151,12,37,0,12,8,0
738,147,11,37,0,20,28,0
739,258,20,37,0,20,24,0
740,7,14,37,0,20,8,0
741,121,12,37,0,0,16,0
742,124,12,37,0,20,20,0
743,353,44,37,0,12,20,0
744,59,6,37,0,20,20,0
745,19,2,37,0,20,16,0
746,76,5,37,0,20,24,0
748,414,52,37,0,12,8,0
749,414,52,37,0,20,20,0
750,415,52,37,0,12,20,0
751,413,52,37,0,12,20,0
752,63,6,37,0,20,20,0
753,415,52,37,0,20,20,8
754,30,2,37,0,0,12,0
755,70,7,37,0,20,28,0
756,120,12,37,0,12,12,0
757,77,7,37,0,20,24,8
758,32,2,37,0,20,16,0
759,116,9,37,0,12,8,0
760,256,41,37,0,8,8,0
761,129,13,37,0,12,20,0
762,2,14,37,0,12,20,0
764,11,11,37,0,0,20,0
765,87,7,37,36,0,0,0
766,137,11,37,0,20,16,0
767,101,3,37,0,20,24,0
768,65,6,37,28,0,0,0
769,115,9,37,0,12,32,0
770,406,47,37,0,12,20,8
771,92,9,37,0,12,28,0
772,64,6,37,20,0,0,0
773,134,13,37,0,12,20,0
774,433,47,37,0,20,20,0
775,279,25,37,0,12,8,0
776,432,47,37,0,20,24,0
777,66,13,37,0,20,12,0
778,118,9,37,0,12,20,0
779,114,3,37,0,20,32,0
780,21,2,37,0,20,16,0
781,81,7,37,0,20,28,0
782,88,7,37,0,12,20,0
783,359,40,37,12,0,0,0
784,418,52,37,0,20,20,0
785,141,13,37,0,12,12,0
786,264,25,37,0,20,28,0
787,19,2,37,0,20,24,0
788,328,42,37,0,0,12,0
789,583,5,37,0,20,32,0
790,429,47,37,0,12,24,8
791,78,6,37,0,20,20,0
792,279,25,37,8,0,0,0
793,70,7,37,0,12,16,0
794,409,44,37,0,20,28,8
795,39,4,37,0,12,8,0
796,279,25,37,0,20,20,0
797,418,52,37,0,12,8,0
798,273,25,37,0,12,0,0
799,406,47,37,0,20,28,0
800,89,3,37,0,20,16,0
801,360,40,37,0,20,20,0
802,263,53,37,0,12,12,0
803,128,13,37,0,20,20,0
804,48,5,37,0,20,28,0
805,340,40,37,0,20,20,0
806,387,46,37,0,20,20,0
807,50,5,37,0,20,20,0
808,61,6,37,0,0,12,0
809,10,14,37,0,20,28,0
810,426,52,37,0,20,24,0
811,118,9,37,0,20,12,0
812,70,7,37,0,20,12,0
813,81,7,37,0,0,8,0
814,107,9,37,0,20,32,0
815,336,40,37,0,12,24,0
816,141,13,37,0,12,20,0
817,90,9,37,0,20,16,0
818,15,14,37,0,20,16,0
819,105,9,37,0,12,32,0
820,359,40,37,0,12,16,0
821,71,7,37,0,20,20,0
822,70,7,37,0,0,8,0
823,345,44,37,0,20,20,0
824,385,46,37,0,20,32,0
825,257,41,37,0,20,8,0
826,375,46,37,0,20,20,0
827,45,5,37,0,12,12,0
828,251,41,37,32,0,0,0
829,385,46,37,0,20,16,0
830,279,25,37,12,0,0,0
833,271,41,37,20,0,0,0
834,360,40,37,12,0,0,0
835,385,46,37,0,20,24,0
836,28,3,37,0,20,20,0
837,333,40,37,12,0,0,0
838,345,44,37,0,20,32,0
839,130,13,37,0,20,20,0
841,415,52,37,0,12,8,0
842,389,54,37,0,12,20,0
843,27,3,37,0,8,20,0
844,262,25,37,36,0,0,0
845,357,40,37,0,8,8,0
846,85,6,37,0,12,8,0
847,438,53,37,0,12,20,0
848,144,11,37,0,20,16,0
849,59,6,37,0,20,28,0
850,385,46,37,0,20,20,0
851,387,46,37,20,0,0,0
