Store,Display/Vehicle,ItemNumber,Item Description,FDC,Quantity Shipped,Full Quantity
5428,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
5428,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
5793,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
5802,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
5802,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
5803,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
5858,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
5858,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
5858,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
5858,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
5858,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
6480,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
6480,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
6480,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
6480,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
6480,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
