Store Number,Ship Date,Item Description,Item Number,Qty Shipped,Carrier,Tracking Number,Website
5346,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410613,https://www.fedex.com/fedextrack/?trknbr=412700410613&trkqual=12028~412700410613~FDEG
1778,10/4/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280267929150,https://www.fedex.com/fedextrack/?trknbr=280267929150&trkqual=12028~280267929150~FDEG
1862,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280334879954,https://www.fedex.com/fedextrack/?trknbr=280334879954&trkqual=12028~280334879954~FDEG
261,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377554418,https://www.fedex.com/fedextrack/?trknbr=280377554418&trkqual=12028~280377554418~FDEG
330,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280367883488,https://www.fedex.com/fedextrack/?trknbr=280367883488&trkqual=12028~280367883488~FDEG
927,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280353358465,https://www.fedex.com/fedextrack/?trknbr=280353358465&trkqual=12028~280353358465~FDEG
1016,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280371021653,https://www.fedex.com/fedextrack/?trknbr=280371021653&trkqual=12028~280371021653~FDEG
3216,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409918,https://www.fedex.com/fedextrack/?trknbr=412700409918&trkqual=12028~412700409918~FDEG
370,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280360266337,https://www.fedex.com/fedextrack/?trknbr=280360266337&trkqual=12028~280360266337~FDEG
395,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280360463517,https://www.fedex.com/fedextrack/?trknbr=280360463517&trkqual=12028~280360463517~FDEG
561,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377588861,https://www.fedex.com/fedextrack/?trknbr=280377588861&trkqual=12028~280377588861~FDEG
611,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280391042918,https://www.fedex.com/fedextrack/?trknbr=280391042918&trkqual=12028~280391042918~FDEG
2747,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409734,https://www.fedex.com/fedextrack/?trknbr=412700409734&trkqual=12028~412700409734~FDEG
1088,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280372251496,https://www.fedex.com/fedextrack/?trknbr=280372251496&trkqual=12028~280372251496~FDEG
1648,10/4/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280283709376,https://www.fedex.com/fedextrack/?trknbr=280283709376&trkqual=12028~280283709376~FDEG
5701,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410749,https://www.fedex.com/fedextrack/?trknbr=412700410749&trkqual=12028~412700410749~FDEG
5671,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410738,https://www.fedex.com/fedextrack/?trknbr=412700410738&trkqual=12028~412700410738~FDEG
3243,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409940,https://www.fedex.com/fedextrack/?trknbr=412700409940&trkqual=12028~412700409940~FDEG
5118,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408083,https://www.fedex.com/fedextrack/?trknbr=412700408083&trkqual=12028~412700408083~FDEG
3501,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410094,https://www.fedex.com/fedextrack/?trknbr=412700410094&trkqual=12028~412700410094~FDEG
5392,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410657,https://www.fedex.com/fedextrack/?trknbr=412700410657&trkqual=12028~412700410657~FDEG
1693,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280327694730,https://www.fedex.com/fedextrack/?trknbr=280327694730&trkqual=12028~280327694730~FDEG
1784,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280279729386,https://www.fedex.com/fedextrack/?trknbr=280279729386&trkqual=12028~280279729386~FDEG
1870,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280334940670,https://www.fedex.com/fedextrack/?trknbr=280334940670&trkqual=12028~280334940670~FDEG
267,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280332556470,https://www.fedex.com/fedextrack/?trknbr=280332556470&trkqual=12028~280332556470~FDEG
333,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365277299,https://www.fedex.com/fedextrack/?trknbr=280365277299&trkqual=12028~280365277299~FDEG
940,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364758577,https://www.fedex.com/fedextrack/?trknbr=280364758577&trkqual=12028~280364758577~FDEG
1022,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364791153,https://www.fedex.com/fedextrack/?trknbr=280364791153&trkqual=12028~280364791153~FDEG
341,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377614027,https://www.fedex.com/fedextrack/?trknbr=280377614027&trkqual=12028~280377614027~FDEG
373,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280371509288,https://www.fedex.com/fedextrack/?trknbr=280371509288&trkqual=12028~280371509288~FDEG
397,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365851480,https://www.fedex.com/fedextrack/?trknbr=280365851480&trkqual=12028~280365851480~FDEG
565,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280362507681,https://www.fedex.com/fedextrack/?trknbr=280362507681&trkqual=12028~280362507681~FDEG
620,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280348109337,https://www.fedex.com/fedextrack/?trknbr=280348109337&trkqual=12028~280348109337~FDEG
2965,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409860,https://www.fedex.com/fedextrack/?trknbr=412700409860&trkqual=12028~412700409860~FDEG
1098,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280367214470,https://www.fedex.com/fedextrack/?trknbr=280367214470&trkqual=12028~280367214470~FDEG
1630,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338430557,https://www.fedex.com/fedextrack/?trknbr=280338430557&trkqual=12028~280338430557~FDEG
4394,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280325630861,https://www.fedex.com/fedextrack/?trknbr=280325630861&trkqual=12028~280325630861~FDEG
5434,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280352020445,https://www.fedex.com/fedextrack/?trknbr=280352020445&trkqual=12028~280352020445~FDEG
4309,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280273073260,https://www.fedex.com/fedextrack/?trknbr=280273073260&trkqual=12028~280273073260~FDEG
5871,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410793,https://www.fedex.com/fedextrack/?trknbr=412700410793&trkqual=12028~412700410793~FDEG
119,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280359752890,https://www.fedex.com/fedextrack/?trknbr=280359752890&trkqual=12028~280359752890~FDEG
3207,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409907,https://www.fedex.com/fedextrack/?trknbr=412700409907&trkqual=12028~412700409907~FDEG
2502,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407661,https://www.fedex.com/fedextrack/?trknbr=412700407661&trkqual=12028~412700407661~FDEG
5095,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408061,https://www.fedex.com/fedextrack/?trknbr=412700408061&trkqual=12028~412700408061~FDEG
3305,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700409995,https://www.fedex.com/fedextrack/?trknbr=412700409995&trkqual=12028~412700409995~FDEG
1760,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280267254357,https://www.fedex.com/fedextrack/?trknbr=280267254357&trkqual=12028~280267254357~FDEG
1832,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280338687507,https://www.fedex.com/fedextrack/?trknbr=280338687507&trkqual=12028~280338687507~FDEG
304,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377556502,https://www.fedex.com/fedextrack/?trknbr=280377556502&trkqual=12028~280377556502~FDEG
898,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280353316127,https://www.fedex.com/fedextrack/?trknbr=280353316127&trkqual=12028~280353316127~FDEG
1003,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280364798294,https://www.fedex.com/fedextrack/?trknbr=280364798294&trkqual=12028~280364798294~FDEG
1056,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280355052921,https://www.fedex.com/fedextrack/?trknbr=280355052921&trkqual=12028~280355052921~FDEG
