3,Western,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
3,Western,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
5,Western,3/26/24,2:45 PM,4:30 PM,Western Regional Meeting,Omni Hotel,Five Moons 5
5,Western,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
5,Western,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
2,Western,3/26/24,2:45 PM,4:30 PM,Western Regional Meeting,Omni Hotel,Five Moons 5
2,Western,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
2,Western,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
4,Western,3/26/24,2:45 PM,4:30 PM,Western Regional Meeting,Omni Hotel,Five Moons 5
4,Western,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
4,Western,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
17,Mississippi Valley,3/26/24,2:45 PM,4:30 PM,Mississippi Valley Regional Meeting,Omni Hotel,Five Moons 6/7/8
17,Mississippi Valley,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
17,Mississippi Valley,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
23,Mississippi Valley,3/26/24,2:45 PM,4:30 PM,Mississippi Valley Regional Meeting,Omni Hotel,Five Moons 6/7/8
23,Mississippi Valley,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
23,Mississippi Valley,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
27,Mississippi Valley,3/26/24,2:45 PM,4:30 PM,Mississippi Valley Regional Meeting,Omni Hotel,Five Moons 6/7/8
27,Mississippi Valley,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
27,Mississippi Valley,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
24,Mississippi Valley,3/26/24,2:45 PM,4:30 PM,Mississippi Valley Regional Meeting,Omni Hotel,Five Moons 6/7/8
24,Mississippi Valley,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
24,Mississippi Valley,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
28,Mississippi Valley,3/26/24,2:45 PM,4:30 PM,Mississippi Valley Regional Meeting,Omni Hotel,Five Moons 6/7/8
28,Mississippi Valley,3/26/24,5:00 PM,5:45 PM,Awards Ceremony,OKC Convention Center,Painted Sky Ballroom
28,Mississippi Valley,3/26/24,5:45 PM,6:45 PM,Women in Retail Reception,OKC Convention Center,4th Floor Prefunction
