Distribution Center (DC),Item Number,Category,Pick Type,Supplier Number,Supplier Name
7024,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
7024,654152931,Pie ,FPP   ,460052941,Frey Farms
7024,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7030,9479601,Carving,FPP   ,484013941,Brian Campbell Farms
7030,582608529,Carving,FPP   ,60198940,Canam Pepper Company
7030,585767885,Autumn Colours,Case Pick,60198940,Canam Pepper Company
7030,595340374,White,Case Pick,60198940,Canam Pepper Company
7030,653976454,Tigers,Case Pick,551424940,Midwest Best Produce
7030,653976455,Mini,Case Pick,551424940,Midwest Best Produce
7030,654012019,Gourds,Case Pick,551424940,Midwest Best Produce
7030,654319933,Pie ,Case Pick,551424940,Midwest Best Produce
7030,654394136,Ornamental Mix,Case Pick,551424940,Midwest Best Produce
7030,654424766,Pie ,FPP   ,551424940,Midwest Best Produce
7030,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7048,9420646,Mini,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7048,9420653,Gourds,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7048,9420660,Tigers,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7048,9450199,Carving,FPP   ,913913941,VAN GRONINGEN
7048,551710438,Pie ,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7048,571422461,Ornamental Mix,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7048,581950124,Carving,FPP   ,518840940,Fewel Farms
7048,595064995,White,Case Pick,518840941,Fewel Farms
7048,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
7048,654211497,Pie ,FPP   ,913913940,"VAN GRONINGEN & SONS, INC"
7048,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7048,662100908,Autumn Colours,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7055,9445352,Carving,FPP   ,38755940,Mouzin Brothers Farms
7055,594460141,Carving,FPP   ,260448941,SMP MARKETING LLC
7055,595014639,Gourds,Case Pick,38755942,Mouzin
7055,595014642,Mini,Case Pick,38755942,Mouzin
7055,595014644,Tigers,Case Pick,38755942,Mouzin
7055,595014646,Pie ,Case Pick,38755942,Mouzin
7055,595600878,Autumn Colours,Case Pick,447713947,"Wiers Family Farms, Inc."
7055,596900670,White,Case Pick,447713946,"Wiers Family Farms, Inc."
7055,596932031,Ornamental Mix,Case Pick,38755942,Mouzin
7055,654137665,Pie ,FPP   ,38755942,Mouzin
7055,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7077,9445247,Carving,FPP   ,736996940,Cooksey Produce LLC
7077,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
7077,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
7077,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
7077,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
7077,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
7077,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
7077,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
7077,599976954,White,Case Pick,736996941,Cooksey Produce LLC
7077,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7079,9420464,Mini,Case Pick,460052941,Frey Farms
7079,9420499,Gourds,Case Pick,460052941,Frey Farms
7079,9473972,Tigers,Case Pick,460052941,Frey Farms
7079,551710426,Pie ,Case Pick,460052941,Frey Farms
7079,565695234,Ornamental Mix,Case Pick,460052941,Frey Farms
7079,585138310,Autumn Colours,Case Pick,551424943,Midwest Best Produce
7079,594690438,Carving,FPP   ,656224940,Southern Corporate Packers
7079,654152931,Pie ,FPP   ,460052941,Frey Farms
7079,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7079,To be created,White,Case Pick,TBD,TBD
7084,9420646,Mini,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,9420653,Gourds,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,9420660,Tigers,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,9445401,Carving,FPP   ,656883946,EAGLE FARMS
7084,9450199,Carving,FPP   ,913913941,VAN GRONINGEN
7084,551710438,Pie ,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,571422461,Ornamental Mix,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,576075716,White,Case Pick,559955940,"Bay Baby Produce, Inc"
7084,596748277,Stackable Coastals,Case Pick,460052940,Frey Farms
7084,654211497,Pie ,FPP   ,913913940,"VAN GRONINGEN & SONS, INC"
7084,661684435,Candy Corn,Case Pick,460052940,Frey Farms
7084,662100908,Autumn Colours,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
7084,671128113,Black Cat / Midnight,Case Pick,460052949,Frey Farms
8348,556108565,Tigers,Case Pick,468777941,Lusk Onion Co.
8348,556108567,Mini,Case Pick,468777941,Lusk Onion Co.
8348,556108568,Gourds,Case Pick,468777941,Lusk Onion Co.
8348,556115967,Ornamental Mix,Case Pick,468777941,Lusk Onion Co.
8348,556152829,Autumn Colours,Case Pick,468777942,Lusk Onion Co.
8348,571317436,Pie ,Case Pick,468777941,Lusk Onion Co.
8348,571318252,Pie ,FPP   ,468777941,Lusk Onion Co.
8348,576219639,White,Case Pick,468777940,Lusk Onion Co.
8348,661684435,Candy Corn,Case Pick,460052940,Frey Farms
8851,9446423,Carving,FPP   ,257662944,Fifer Orchards
8851,550813548,Gourds,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
8851,550813559,Tigers,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
8851,550876476,Ornamental Mix,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
8851,550937075,White,Case Pick,231772943,Bottomley Evergreens and Farms Inc.
8851,551690702,Autumn Colours,Case Pick,231772942,Bottomley Evergreens and Farms Inc.
8851,551701181,Pie ,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
8851,581367056,Carving,FPP   ,393843940,Scotlynn Sweetpac Growers
8851,654194076,Pie ,FPP   ,231772942,Bottomley Evergreens and Farms Inc.
8851,654461045,Mini,Case Pick,231772941,Bottomley Evergreens and Farms Inc.
8851,661684435,Candy Corn,Case Pick,460052940,Frey Farms
8852,9420646,Mini,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
8852,9420653,Gourds,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
8852,9420660,Tigers,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
8852,9450199,Carving,FPP   ,913913941,"VAN GRONINGEN & SONS, INC"
8852,551710438,Pie ,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
8852,571422461,Ornamental Mix,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
8852,576075716,White,Case Pick,559955940,"Bay Baby Produce, Inc"
8852,587779927,Carving,FPP   ,533526941,Dan Avila & Sons
8852,654211497,Pie ,FPP   ,913913940,"VAN GRONINGEN & SONS, INC"
8852,661684435,Candy Corn,Case Pick,460052940,Frey Farms
8852,662100908,Autumn Colours,Case Pick,913913940,"VAN GRONINGEN & SONS, INC"
