Store no.,Returns volume number,Returns volume,Avg units Per day ,DotCom Units Per Day ,Marketplace Total  ,Marketplace Per Day,NPS ,Wait Time 
7281,16141,Low,212,15,285,4,84,9.25
290,10618,Low,140,7,138,2,50,4.77
465,20634,Medium,272,16,391,5,63,5.62
478,5000,Low,66,2,61,1,80,5.70
757,18262,Medium,240,10,144,2,50,7.36
901,25670,Medium,338,19,560,7,60,7.31
1313,29205,High,384,18,393,5,82,8.94
3112,19143,Medium,252,13,315,4,26,11.57
3279,22553,Medium,297,13,304,4,64,8.76
4103,10741,Low,141,7,119,2,56,9.03
5144,23840,Medium,314,15,408,5,48,11.37
5245,37196,High,489,25,617,8,67,7.32
381,20843,Medium,274,21,488,6,61,4.99
407,31975,High,421,28,623,8,59,6.65
476,10315,Low,136,7,187,2,71,4.44
781,22645,Medium,298,16,487,6,62,6.31
813,18017,Medium,237,15,399,5,72,7.09
917,5927,Low,78,2,100,1,36,5.58
1073,9883,Low,130,10,161,2,67,6.37
1232,21445,Medium,282,21,444,6,50,9.89
1303,38874,High,511,44,1321,17,49,7.76
3319,28475,High,375,26,643,8,80,4.24
6286,22201,Medium,292,19,480,6,32,12.18
1129,34912,High,459,54,1355,18,54,8.58
1253,25250,Medium,332,20,488,6,39,6.70
2133,41753,High,549,59,1378,18,55,8.44
2991,35432,High,466,46,1185,16,61,9.32
4130,32601,High,429,30,707,9,65,9.61
4163,39142,High,515,65,1486,20,53,7.66
4219,25492,Medium,335,23,518,7,77,3.96
4554,18862,Medium,248,26,734,10,44,11.05
5317,29756,High,392,25,573,8,58,7.39
77,18154,Medium,239,13,295,4,54,6.47
280,8933,Low,118,5,134,2,56,8.18
475,34576,High,455,35,933,12,52,8.95
1185,20779,Medium,273,16,370,5,53,10.76
3169,17181,Low,226,13,321,4,17,8.63
3170,13782,Low,181,10,229,3,78,3.70
3569,28466,High,375,24,722,10,60,6.68
5479,27207,High,358,35,961,13,60,8.70
5480,34179,High,450,43,961,13,68,6.45
999,25539,Medium,336,16,394,5,48,5.39
1235,17807,Medium,234,13,353,5,73,7.22
2239,37395,High,492,26,648,9,49,7.35
2599,42141,High,554,36,1007,13,61,6.66
3058,25593,Medium,337,15,393,5,75,7.97
3106,28515,High,375,20,527,7,67,9.52
3888,44561,High,586,47,1054,14,48,8.05
4102,15058,Low,198,12,208,3,50,9.45
5145,29593,High,389,16,464,6,71,7.79
292,12518,Low,165,7,227,3,64,8.35
404,25752,Medium,339,23,485,6,42,8.72
765,28845,High,380,26,567,7,71,6.49
865,44380,High,584,52,995,13,61,7.51
1347,20011,Medium,263,18,406,5,61,10.05
1803,21649,Medium,285,18,367,5,57,10.80
2404,29037,High,382,21,493,6,75,6.97
2769,18960,Medium,249,12,306,4,71,7.68
3391,31455,High,414,30,654,9,72,6.38
4055,29182,High,384,27,610,8,69,5.15
4115,26168,High,344,23,535,7,50,5.81
443,12151,Low,160,6,99,1,55,4.06
447,29263,High,385,22,446,6,59,6.59
461,32349,High,426,25,604,8,67,9.04
554,25920,Medium,341,18,481,6,69,7.47
782,19681,Medium,259,9,249,3,69,3.79
1046,5620,Low,74,2,67,1,67,5.75
3518,31931,High,420,28,519,7,69,10.36
3623,19884,Medium,262,14,312,4,92,5.40
5713,26673,High,351,32,591,8,66,6.58
500,39614,High,521,35,1034,14,76,6.48
512,45828,High,603,36,986,13,67,6.62
964,32780,High,431,23,662,9,60,12.19
1015,46049,High,606,43,1100,14,72,6.50
2201,36764,High,484,27,779,10,55,6.05
2612,48973,High,644,57,1446,19,69,4.27
3136,31013,High,408,30,750,10,59,6.44
3763,38662,High,509,39,1004,13,70,4.95
5717,41277,High,543,48,1006,13,68,5.33
5947,27030,High,356,22,529,7,53,12.65
508,21999,Medium,289,21,443,6,59,6.80
1126,26189,High,345,25,577,8,70,7.08
1154,16879,Low,222,10,317,4,79,3.89
1198,49420,High,650,61,1500,20,53,11.92
2864,38469,High,506,38,877,12,45,6.96
3056,32156,High,423,33,843,11,53,6.50
3057,30212,High,398,27,691,9,63,6.51
3107,26304,High,346,31,491,6,66,5.35
4131,24883,Medium,327,20,465,6,42,6.46
4162,26629,High,350,24,552,7,58,7.69
5146,27830,High,366,22,586,8,62,7.99
817,35151,High,463,27,659,9,52,7.87
908,31186,High,410,28,971,13,24,13.34
1086,38170,High,502,46,1197,16,76,9.96
1220,29865,High,393,24,644,8,29,13.03
2881,43529,High,573,44,1165,15,59,7.01
4332,33180,High,437,34,4,0,25,8.07
4365,37997,High,500,53,1166,15,43,11.23
5214,33723,High,444,25,373,5,39,11.56
5250,37354,High,492,33,936,12,70,7.60
5420,33729,High,444,22,405,5,64,6.63
890,50274,High,661,59,1530,20,70,6.46
943,41549,High,547,41,1025,13,57,8.74
955,35366,High,465,33,804,11,47,9.54
1084,22533,Medium,296,18,540,7,70,8.26
1374,29237,High,385,31,922,12,61,7.48
3782,35510,High,467,36,804,11,55,8.10
4588,20458,Medium,269,15,133,2,35,18.22
5871,9910,Low,130,8,164,2,56,8.56
5894,29555,High,389,46,1119,15,72,7.23
174,25220,Medium,332,19,545,7,73,5.65
649,29995,High,395,29,788,10,71,8.99
771,27475,High,362,23,609,8,60,7.44
931,33514,High,441,31,937,12,53,7.89
956,24249,Medium,319,24,523,7,55,7.53
973,27266,High,359,19,476,6,48,11.14
974,37742,High,497,36,1083,14,53,9.03
1068,26442,High,348,19,687,9,52,6.24
1702,28378,High,373,24,712,9,45,7.83
3538,48146,High,634,61,1202,16,54,8.09
5455,32281,High,425,28,848,11,63,6.67
819,41757,High,549,43,1503,20,66,7.16
987,28712,High,378,27,907,12,66,5.48
1119,18020,Medium,237,12,295,4,59,8.06
1957,27262,High,359,24,605,8,54,7.96
3417,30562,High,402,22,691,9,55,8.85
4063,22153,Medium,291,16,546,7,73,5.51
5034,30825,High,406,31,683,9,63,10.19
5055,23360,Medium,307,18,427,6,44,11.88
5347,32740,High,431,31,785,10,63,6.95
5391,43425,High,571,47,1149,15,67,6.47
814,19582,Medium,258,14,396,5,68,9.27
929,44943,High,591,38,1176,15,66,8.16
1087,43687,High,575,49,1118,15,58,6.77
1436,20694,Medium,272,18,511,7,63,7.04
1541,51633,High,679,60,1538,20,58,8.13
2176,39878,High,525,40,947,12,54,7.18
3348,32848,High,432,30,782,10,62,8.01
3527,45341,High,597,42,1106,15,66,6.17
4260,40664,High,535,36,1018,13,60,7.59
4446,22922,Medium,302,16,444,6,58,9.33
5301,27418,High,361,19,504,7,74,7.67
1387,40525,High,533,39,966,13,44,8.73
1398,22248,Medium,293,21,689,9,33,13.27
1517,23371,Medium,308,23,697,9,44,12.71
1589,34169,High,450,29,934,12,45,10.65
1916,40639,High,535,33,985,13,59,9.71
2789,47547,High,626,42,1103,15,62,9.04
2962,29981,High,394,24,26,0,47,9.33
2963,42964,High,565,52,1046,14,63,11.24
3858,37113,High,488,44,1139,15,59,8.72
5882,20287,Medium,267,15,438,6,51,9.88
5911,12829,Low,169,9,316,4,54,7.13
1349,37042,High,487,30,520,7,68,7.52
1845,39867,High,525,44,992,13,54,8.05
1851,37395,High,492,27,720,9,57,8.09
2151,44788,High,589,49,1285,17,60,7.84
2591,52370,High,689,54,1007,13,71,9.77
2946,29792,High,392,29,715,9,16,10.43
2987,43638,High,574,46,1144,15,66,7.73
3625,24792,Medium,326,16,463,6,38,12.56
5325,31002,High,408,20,700,9,55,8.88
5932,44606,High,587,49,1218,16,67,9.06
1680,52475,High,690,61,1740,23,58,9.07
2091,56817,High,748,76,1642,22,67,10.07
2727,32878,High,433,26,664,9,67,10.73
2814,45384,High,597,44,1104,15,75,9.24
4161,28440,High,374,35,782,10,69,11.93
5671,25930,Medium,341,30,622,8,47,9.66
5854,41675,High,548,62,1589,21,59,9.66
5912,23850,Medium,314,28,777,10,57,10.60
6397,40733,High,536,56,1268,17,60,10.20
528,21674,Medium,285,16,389,5,79,10.77
666,33989,High,447,23,852,11,70,6.00
769,39059,High,514,41,931,12,60,6.52
1004,36861,High,485,32,873,11,61,5.62
1171,28090,High,370,23,720,9,60,9.56
2459,35274,High,464,33,1039,14,58,8.24
3370,28897,High,380,27,631,8,63,6.26
3474,34491,High,454,28,851,11,66,4.75
3887,21505,Medium,283,14,440,6,71,7.35
5264,29196,High,384,25,795,10,51,5.41
5727,38492,High,506,43,955,13,83,6.16
580,19891,Medium,262,24,435,6,88,6.49
759,10614,Low,140,6,158,2,96,7.07
859,22980,Medium,302,16,430,6,66,6.99
941,36000,High,474,46,943,12,53,7.84
968,35005,High,461,30,746,10,62,6.35
1203,38774,High,510,39,1073,14,55,7.43
3347,31778,High,418,30,749,10,42,6.81
5035,34175,High,450,37,732,10,56,11.89
5300,32400,High,426,41,834,11,48,7.64
623,33582,High,442,29,897,12,39,7.89
721,36649,High,482,34,916,12,64,6.09
778,26514,High,349,19,628,8,64,6.73
811,14665,Low,193,8,211,3,57,8.82
1874,27202,High,358,22,706,9,65,5.21
2237,31683,High,417,25,722,10,63,6.97
2484,12646,Low,166,9,223,3,50,7.71
3349,25877,Medium,340,19,516,7,58,6.67
3387,35310,High,465,26,874,12,62,6.46
6190,19547,Medium,257,14,415,5,90,3.59
1511,29566,High,389,26,719,9,68,7.59
1590,45646,High,601,46,1176,15,71,9.69
1996,41686,High,548,34,1023,13,55,9.17
3163,36399,High,479,31,778,10,51,12.47
3235,32629,High,429,28,761,10,48,14.09
3311,23074,Medium,304,14,85,1,57,12.79
3397,31416,High,413,26,673,9,37,11.51
4303,28636,High,377,20,655,9,53,14.10
105,22798,Medium,300,19,487,6,55,5.57
114,13952,Low,184,13,344,5,69,10.59
118,13176,Low,173,12,142,2,81,4.89
153,13599,Low,179,9,267,4,59,5.23
164,14362,Low,189,14,317,4,82,6.75
176,7428,Low,98,6,119,2,70,4.29
258,24381,Medium,321,24,641,8,44,6.50
273,10733,Low,141,10,239,3,67,6.39
274,5904,Low,78,3,113,1,75,2.95
303,7399,Low,97,3,145,2,38,8.18
391,20453,Medium,269,16,415,5,66,5.29
287,21839,Medium,287,25,473,6,39,9.22
362,8919,Low,117,7,146,2,62,3.12
425,7611,Low,100,5,160,2,-43,9.50
715,29397,High,387,32,772,10,62,8.28
731,10912,Low,144,6,68,1,57,9.40
764,18381,Medium,242,17,401,5,53,9.88
1052,8434,Low,111,6,166,2,42,5.48
2306,27731,High,365,29,758,10,53,8.63
155,13359,Low,176,8,204,3,73,10.43
182,19238,Medium,253,13,368,5,68,6.10
347,10544,Low,139,6,126,2,20,8.32
699,23097,Medium,304,21,463,6,77,4.26
707,9693,Low,128,6,147,2,47,13.06
716,12117,Low,159,8,271,4,70,13.70
1074,14779,Low,194,12,321,4,74,10.86
1468,13170,Low,173,9,263,3,79,4.25
1530,16505,Low,217,10,193,3,60,15.31
394,13799,Low,182,11,303,4,100,4.50
403,13110,Low,173,10,253,3,56,9.91
409,7478,Low,98,5,147,2,75,4.91
660,27984,High,368,25,576,8,69,6.21
661,30184,High,397,29,716,9,53,7.22
662,23269,Medium,306,21,593,8,52,6.83
766,32675,High,430,37,787,10,51,5.16
1100,9102,Low,120,5,187,2,100,9.00
1124,15500,Low,204,13,349,5,61,6.46
2690,24107,Medium,317,25,566,7,37,11.63
4187,20068,Medium,264,16,410,5,71,5.49
5703,31353,High,413,41,856,11,58,5.71
112,22874,Medium,301,21,491,6,45,6.53
115,10368,Low,136,7,191,3,77,6.70
183,8787,Low,116,6,159,2,28,12.63
205,16399,Low,216,9,306,4,63,3.94
239,9728,Low,128,6,170,2,73,5.87
305,8602,Low,113,4,158,2,57,12.29
411,5572,Low,73,4,102,1,75,9.44
495,24190,Medium,318,30,561,7,69,6.30
981,25290,Medium,333,20,499,7,84,4.97
1059,10237,Low,135,6,157,2,0,15.33
1069,6327,Low,83,3,101,1,100,4.75
1271,12961,Low,171,11,265,3,61,10.17
365,27232,High,358,23,690,9,49,7.11
708,18416,Medium,242,20,402,5,74,5.17
875,16835,Low,222,17,393,5,45,5.60
903,11069,Low,146,7,256,3,81,4.57
1710,24329,Medium,320,18,495,7,58,6.65
2720,34703,High,457,44,878,12,68,7.11
2755,25960,Medium,342,30,614,8,54,8.41
2939,14882,Low,196,12,335,4,64,6.83
3059,10098,Low,133,6,159,2,27,10.60
3060,8713,Low,115,5,116,2,70,10.05
6469,20373,Medium,268,15,431,6,48,7.32
175,32499,High,428,35,776,10,38,8.34
848,27512,High,362,30,868,11,48,8.20
1248,22645,Medium,298,23,728,10,36,12.08
2846,29621,High,390,37,827,11,32,8.81
5196,13361,Low,176,7,105,1,71,9.70
5419,19361,Medium,255,19,456,6,54,7.21
6964,17632,Medium,232,14,514,7,37,10.06
94,21733,Medium,286,19,626,8,51,7.83
950,31448,High,414,33,956,13,45,6.50
1561,14563,Low,192,11,475,6,33,8.12
2322,26683,High,351,27,698,9,41,9.16
4533,15939,Low,210,15,368,5,51,5.46
6807,17229,Low,227,16,521,7,45,7.04
64,9659,Low,127,5,171,2,60,4.62
93,16060,Low,211,13,355,5,57,9.72
97,9293,Low,122,7,173,2,81,7.16
104,15140,Low,199,15,334,4,83,5.46
106,6376,Low,84,4,115,2,40,4.90
107,14245,Low,187,15,296,4,79,4.78
120,14523,Low,191,14,295,4,57,10.24
177,23265,Medium,306,17,466,6,57,5.99
335,29633,High,390,28,664,9,56,6.26
410,23247,Medium,306,23,521,7,64,4.13
675,16016,Low,211,15,315,4,38,8.00
677,20643,Medium,272,20,488,6,74,7.61
161,11149,Low,147,9,224,3,55,7.74
218,8990,Low,118,7,234,3,-23,8.50
238,14238,Low,187,8,250,3,94,4.16
268,16669,Low,219,13,351,5,96,5.87
393,17711,Medium,233,13,374,5,71,6.49
466,9374,Low,123,5,159,2,58,3.53
683,21751,Medium,286,19,479,6,49,4.95
684,20045,Medium,264,16,502,7,79,4.83
738,10781,Low,142,8,228,3,53,3.83
1115,9716,Low,128,7,181,2,63,6.76
45,28116,High,370,33,309,4,63,7.53
62,10849,Low,143,8,218,3,47,10.00
68,9712,Low,128,7,201,3,67,10.55
70,20756,Medium,273,16,450,6,50,8.12
74,4866,Low,64,2,98,1,33,8.14
91,12951,Low,170,6,180,2,60,4.95
128,17220,Low,227,23,602,8,31,8.27
190,14344,Low,189,11,270,4,76,5.06
229,9487,Low,125,6,167,2,50,5.28
453,5284,Low,70,3,102,1,100,4.33
36,23981,Medium,316,24,659,9,20,9.40
306,17039,Low,224,13,291,4,88,6.81
314,15759,Low,207,16,293,4,74,5.90
332,24812,Medium,326,21,466,6,38,7.73
375,22487,Medium,296,19,525,7,56,5.64
433,17489,Low,230,10,250,3,76,6.11
434,20595,Medium,271,20,447,6,45,6.03
681,19382,Medium,255,18,483,6,79,4.18
712,23587,Medium,310,18,567,7,69,6.53
5197,21616,Medium,284,24,550,7,72,5.31
6878,21511,Medium,283,20,532,7,68,5.81
7324,17142,Low,226,15,439,6,61,5.54
477,15952,Low,210,15,438,6,81,4.20
619,16796,Low,221,14,391,5,47,6.20
663,20419,Medium,269,24,522,7,52,5.46
698,32423,High,427,42,872,11,77,5.06
1089,16432,Low,216,12,321,4,58,6.02
1606,29921,High,394,34,776,10,69,5.90
3659,21056,Medium,277,26,510,7,76,6.52
3835,32512,High,428,43,823,11,65,7.68
4226,11273,Low,148,7,189,2,94,4.64
5263,20111,Medium,265,18,520,7,56,9.55
658,24373,Medium,321,23,497,7,60,5.66
669,20498,Medium,270,17,488,6,57,5.36
756,12910,Low,170,9,203,3,70,7.34
1215,26813,High,353,31,650,9,55,7.48
1458,34853,High,459,41,919,12,63,5.43
1469,33016,High,434,37,872,11,52,9.45
2988,16015,Low,211,18,252,3,86,4.40
3660,14657,Low,193,15,313,4,59,4.64
5151,21745,Medium,286,21,579,8,60,7.98
5173,29523,High,388,31,701,9,56,6.86
5251,16639,Low,219,11,360,5,59,11.62
366,15721,Low,207,14,339,4,73,4.42
583,12056,Low,159,11,285,4,13,8.21
676,18292,Medium,241,14,437,6,57,5.93
687,28862,High,380,26,651,9,61,5.43
741,24022,Medium,316,24,667,9,74,6.89
1466,19193,Medium,253,17,373,5,71,5.05
1467,10333,Low,136,7,195,3,56,7.05
4166,13053,Low,172,10,267,4,62,8.36
4635,19088,Medium,251,18,430,6,62,4.55
672,34446,High,453,41,999,13,55,6.09
1194,28878,High,380,30,687,9,60,6.04
1318,29488,High,388,30,817,11,63,6.72
1319,27955,High,368,31,726,10,59,7.11
1320,24254,Medium,319,27,691,9,45,7.09
2065,37403,High,492,50,1130,15,59,6.53
2932,36193,High,476,56,1152,15,50,6.36
4223,29269,High,385,40,804,11,65,5.84
578,26333,High,346,21,583,8,74,8.07
678,22125,Medium,291,21,598,8,60,6.80
680,26604,High,350,24,781,10,62,6.04
685,29880,High,393,30,827,11,54,5.56
724,20774,Medium,273,18,498,7,73,7.16
1159,8120,Low,107,6,206,3,46,8.19
2310,28200,High,371,27,718,9,52,6.37
3234,15679,Low,206,15,317,4,43,6.94
6370,20586,Medium,271,23,602,8,74,6.31
599,33291,High,438,40,790,10,66,5.63
620,22335,Medium,294,19,502,7,72,5.95
690,29030,High,382,24,627,8,86,5.07
742,31640,High,416,31,792,10,59,5.45
1080,36536,High,481,42,886,12,66,5.90
1694,15986,Low,210,13,290,4,53,5.83
2496,21831,Medium,287,25,449,6,71,7.20
2749,13683,Low,180,10,222,3,71,5.49
3289,13364,Low,176,11,283,4,88,5.57
3829,25024,Medium,329,27,658,9,73,6.37
3852,11341,Low,149,8,221,3,59,6.73
264,28230,High,371,27,742,10,60,5.74
304,19848,Medium,261,18,467,6,61,4.32
390,8737,Low,115,5,152,2,53,4.75
673,28986,High,381,32,640,8,53,7.54
695,20038,Medium,264,16,640,8,44,9.74
1075,25347,Medium,334,22,539,7,68,5.55
1226,10973,Low,144,8,227,3,35,7.58
3137,12881,Low,169,12,318,4,71,4.15
3495,29844,High,393,39,781,10,45,8.65
4435,15546,Low,205,11,8,0,73,8.00
4483,19230,Medium,253,24,405,5,65,4.85
192,30296,High,399,28,819,11,57,6.96
406,24809,Medium,326,27,696,9,45,7.36
416,24126,Medium,317,26,464,6,78,6.39
656,18335,Medium,241,13,374,5,77,10.21
667,20251,Medium,266,18,448,6,45,6.26
682,43501,High,572,39,941,12,69,5.45
735,18129,Medium,239,21,428,6,72,5.23
737,12315,Low,162,9,256,3,52,5.17
2757,30512,High,401,32,659,9,36,9.18
3017,39052,High,514,56,1082,14,76,6.27
5057,19749,Medium,260,18,322,4,50,8.14
308,16961,Low,223,13,351,5,58,7.23
568,7895,Low,104,6,193,3,27,12.86
587,14283,Low,188,12,319,4,56,4.41
657,27436,High,361,32,710,9,75,5.28
668,21395,Medium,282,22,422,6,75,4.80
671,25561,Medium,336,25,279,4,33,12.14
674,32373,High,426,31,753,10,45,6.52
879,13435,Low,177,13,324,4,76,6.32
1376,35603,High,468,46,902,12,75,6.47
4414,9916,Low,130,7,202,3,67,4.50
5175,21922,Medium,288,30,613,8,69,11.58
272,57507,High,757,90,2072,27,58,8.46
659,24161,Medium,318,28,672,9,57,7.37
688,23513,Medium,309,20,476,6,56,8.93
710,24720,Medium,325,28,688,9,25,9.21
3717,15553,Low,205,8,358,5,19,14.66
4482,31313,High,412,37,1033,14,47,6.46
5058,17558,Low,231,11,174,2,41,10.95
5616,14196,Low,187,18,172,2,60,8.89
7020,17701,Medium,233,13,470,6,48,7.17
146,12394,Low,163,11,228,3,68,6.43
165,13723,Low,181,10,247,3,77,4.91
180,16660,Low,219,13,299,4,71,4.93
345,22893,Medium,301,17,524,7,58,6.92
398,31163,High,410,35,760,10,71,7.01
399,21753,Medium,286,21,410,5,60,6.75
523,7979,Low,105,6,217,3,54,4.63
572,14499,Low,191,11,263,3,33,8.72
918,17677,Medium,233,12,348,5,23,7.27
3828,13593,Low,179,9,222,3,65,4.80
283,6695,Low,88,6,131,2,100,0.75
331,21898,Medium,288,21,559,7,68,5.84
383,13859,Low,182,11,287,4,74,6.48
384,19225,Medium,253,20,425,6,67,6.30
408,36366,High,479,24,609,8,63,6.10
449,14631,Low,193,12,246,3,57,11.15
457,18006,Medium,237,15,358,5,59,8.45
469,15708,Low,207,17,300,4,79,5.82
521,13206,Low,174,13,256,3,68,5.43
651,30968,High,407,29,769,10,57,7.67
777,18699,Medium,246,16,328,4,44,6.17
1204,24737,Medium,325,25,602,8,69,8.38
351,28117,High,370,34,651,9,57,6.14
400,43152,High,568,51,965,13,77,8.78
602,27011,High,355,27,545,7,51,6.59
3213,45228,High,595,62,1219,16,58,8.62
3390,39530,High,520,53,1059,14,58,6.10
3585,34253,High,451,53,800,11,49,8.02
3591,28468,High,375,30,606,8,69,5.74
5287,38610,High,508,44,917,12,57,7.06
553,31782,High,418,30,828,11,54,5.50
909,25383,Medium,334,19,608,8,36,6.44
912,28073,High,369,13,425,6,51,7.64
1163,22708,Medium,299,18,483,6,59,4.97
2665,26133,High,344,22,594,8,71,7.34
2706,29259,High,385,28,762,10,55,7.45
3167,14557,Low,192,9,256,3,53,18.57
5022,21442,Medium,282,18,318,4,45,7.76
489,22631,Medium,298,23,628,8,63,6.39
541,41816,High,550,49,1311,17,54,6.44
803,13136,Low,173,11,297,4,63,9.14
911,21661,Medium,285,22,621,8,55,8.12
989,38096,High,501,40,1023,13,48,7.96
1342,29262,High,385,28,650,9,50,7.28
1353,39462,High,519,46,1115,15,62,6.24
3616,13762,Low,181,13,315,4,31,8.13
4129,21273,Medium,280,22,573,8,57,7.67
311,7188,Low,95,4,138,2,58,4.55
485,7125,Low,94,4,130,2,33,7.12
502,11798,Low,155,10,317,4,54,4.05
540,16098,Low,212,13,359,5,71,6.30
542,22717,Medium,299,24,696,9,59,7.63
761,14982,Low,197,11,282,4,95,5.59
961,19611,Medium,258,14,393,5,74,7.09
1016,25013,Medium,329,23,588,8,68,7.50
2913,17119,Low,225,14,315,4,73,9.45
3483,13037,Low,172,12,348,5,41,4.90
428,21314,Medium,280,17,466,6,57,8.92
532,33015,High,434,30,841,11,51,5.47
839,24787,Medium,326,14,252,3,55,9.80
935,26822,High,353,26,629,8,58,11.81
1102,16313,Low,215,10,285,4,60,8.67
1206,25746,Medium,339,23,666,9,42,10.01
1266,20076,Medium,264,16,224,3,62,7.57
4683,17010,Low,224,19,382,5,20,14.36
401,8941,Low,118,8,146,2,50,11.92
1136,11412,Low,150,9,223,3,19,6.50
1196,12024,Low,158,9,220,3,67,4.91
2132,28089,High,370,27,449,6,44,8.97
2822,19011,Medium,250,21,461,6,54,6.16
3288,24925,Medium,328,19,514,7,81,5.92
4679,15345,Low,202,14,236,3,83,8.18
5056,24736,Medium,325,30,265,3,49,9.16
309,18599,Medium,245,16,450,6,81,7.66
310,16629,Low,219,15,400,5,71,8.33
386,13966,Low,184,13,320,4,74,3.26
402,15027,Low,198,11,270,4,94,7.84
415,21229,Medium,279,29,554,7,63,22.00
531,37563,High,494,44,1017,13,64,4.68
533,25073,Medium,330,20,565,7,70,8.36
543,18398,Medium,242,14,361,5,52,5.27
2938,29104,High,383,36,733,10,50,8.56
7301,26543,High,349,25,673,9,46,7.96
75,20798,Medium,274,17,520,7,66,7.51
170,15294,Low,201,11,267,4,76,8.50
312,9333,Low,123,7,201,3,71,5.44
405,15460,Low,203,13,269,4,72,8.72
498,7117,Low,94,4,148,2,0,15.60
505,15553,Low,205,11,336,4,18,7.86
539,17567,Low,231,12,363,5,41,8.42
773,15972,Low,210,13,363,5,71,5.81
1107,8003,Low,105,5,122,2,69,4.21
1128,12323,Low,162,8,256,3,56,7.00
4295,14853,Low,195,13,339,4,67,6.70
501,25047,Medium,330,18,538,7,53,8.59
785,11532,Low,152,8,253,3,60,7.41
816,19617,Medium,258,16,320,4,79,5.64
874,17062,Low,224,12,327,4,60,9.13
887,14817,Low,195,17,304,4,52,7.64
916,28144,High,370,31,648,9,74,6.55
954,10053,Low,132,6,170,2,82,5.27
1025,22569,Medium,297,16,460,6,59,5.44
1106,9097,Low,120,7,182,2,58,17.33
1168,17322,Low,228,15,379,5,65,5.28
1192,13289,Low,175,12,280,4,75,7.07
2717,16007,Low,211,14,295,4,67,6.11
969,31248,High,411,32,720,9,67,7.89
970,28945,High,381,26,691,9,72,6.06
1066,24091,Medium,317,18,529,7,45,7.11
1088,23407,Medium,308,18,490,6,61,5.32
1195,25809,Medium,340,22,629,8,72,4.22
1260,19392,Medium,255,18,403,5,62,7.60
1346,28139,High,370,30,666,9,74,6.23
2715,36294,High,478,35,883,12,57,5.60
3528,13157,Low,173,15,359,5,55,5.37
5079,22400,Medium,295,22,494,7,65,4.74
140,30377,High,400,34,766,10,73,5.55
163,21845,Medium,287,21,486,6,78,7.60
214,14755,Low,194,10,268,4,47,10.24
236,9243,Low,122,7,156,2,73,6.11
249,16405,Low,216,9,273,4,79,7.92
275,18978,Medium,250,14,434,6,72,5.45
285,23766,Medium,313,21,533,7,63,5.47
288,9147,Low,120,6,167,2,93,3.95
364,11312,Low,149,10,208,3,31,4.95
853,34499,High,454,38,890,12,58,6.36
866,28058,High,369,24,534,7,53,7.90
904,28373,High,373,25,618,8,59,6.30
934,27717,High,365,32,682,9,71,6.04
991,30549,High,402,27,757,10,39,7.80
1212,31710,High,417,22,631,8,40,6.80
2748,18012,Medium,237,16,410,5,55,6.89
4333,26444,High,348,28,613,8,63,5.44
4581,17704,Medium,233,22,525,7,55,5.08
5174,23283,Medium,306,23,694,9,60,6.69
6173,14232,Low,187,14,368,5,74,7.01
562,17242,Low,227,16,433,6,53,7.01
670,27009,High,355,26,752,10,74,5.42
762,15677,Low,206,9,308,4,37,7.25
1158,14628,Low,192,9,295,4,50,7.33
1711,18809,Medium,247,15,437,6,49,9.46
2723,12152,Low,160,12,277,4,71,5.62
5113,19230,Medium,253,18,511,7,57,5.04
7280,19795,Medium,260,24,591,8,46,7.93
298,20734,Medium,273,16,542,7,59,6.62
300,13014,Low,171,11,311,4,28,11.71
301,22984,Medium,302,23,591,8,51,6.96
315,16691,Low,220,16,334,4,69,6.32
316,18293,Medium,241,17,403,5,72,5.64
691,22433,Medium,295,23,567,7,68,7.40
1201,28501,High,375,26,708,9,39,8.64
2713,25941,Medium,341,27,733,10,56,7.47
3386,13679,Low,180,15,315,4,52,7.43
5126,13194,Low,174,13,305,4,82,7.98
604,31840,High,419,35,700,9,72,5.99
723,18239,Medium,240,20,386,5,83,6.55
734,26312,High,346,29,521,7,40,6.05
740,13562,Low,178,11,278,4,82,6.00
1063,5802,Low,76,4,94,1,68,6.29
1091,19910,Medium,262,16,419,6,73,8.64
1134,16289,Low,214,12,350,5,59,6.69
1462,10382,Low,137,7,192,3,85,4.33
1638,12654,Low,166,9,261,3,87,3.69
2114,14912,Low,196,16,334,4,44,4.08
2534,21454,Medium,282,20,526,7,64,5.31
424,18284,Medium,241,15,390,5,68,4.13
483,26368,High,347,28,571,8,56,5.31
700,18018,Medium,237,13,338,4,39,10.30
930,16425,Low,216,9,347,5,47,15.03
938,22212,Medium,292,15,401,5,39,7.18
1101,18012,Medium,237,14,385,5,70,7.15
4318,23013,Medium,303,28,601,8,57,5.76
4407,23250,Medium,306,26,612,8,61,13.41
5348,19317,Medium,254,15,72,1,73,5.06
329,18457,Medium,243,16,411,5,63,6.27
355,26031,High,343,25,681,9,42,7.32
356,18774,Medium,247,22,456,6,45,6.89
432,11034,Low,145,7,224,3,55,4.57
726,15676,Low,206,14,307,4,54,8.32
730,15739,Low,207,12,294,4,59,7.44
733,13473,Low,177,9,319,4,58,5.86
809,23438,Medium,308,22,609,8,60,7.46
863,7854,Low,103,7,160,2,79,3.93
1057,7184,Low,95,5,170,2,53,5.82
423,25835,Medium,340,31,655,9,54,6.11
1229,34129,High,449,42,936,12,36,7.93
1481,21558,Medium,284,20,354,5,-3,15.49
2111,36147,High,476,48,866,11,52,8.72
