Fiscal Year Name,,,
Fiscal Month Friendly Name Abbr,,,
,,FY2025,
,,Nov,
,,,
Store,Dept,Inventory Dollars,Format
113,98,"32,245",WM Supercenter
114,80,"12,816",WM Supercenter
114,93,"70,525",WM Supercenter
114,94,"20,834",WM Supercenter
114,98,"26,183",WM Supercenter
115,80,"8,696",WM Supercenter
115,93,"72,324",WM Supercenter
115,94,"23,844",WM Supercenter
115,98,"18,805",WM Supercenter
118,80,"14,841",WM Supercenter
118,93,"73,726",WM Supercenter
118,94,"19,635",WM Supercenter
118,98,"23,020",WM Supercenter
119,80,"11,465",WM Supercenter
119,93,"110,300",WM Supercenter
119,94,"26,123",WM Supercenter
119,98,"30,328",WM Supercenter
120,80,"8,832",WM Supercenter
120,93,"104,363",WM Supercenter
120,94,"28,321",WM Supercenter
120,98,"18,048",WM Supercenter
121,80,"28,014",WM Supercenter
121,93,"73,597",WM Supercenter
121,94,"20,963",WM Supercenter
121,98,"32,188",WM Supercenter
122,80,"1,074",WM Supercenter
122,93,"74,518",WM Supercenter
122,94,"25,792",WM Supercenter
122,98,"17,597",WM Supercenter
123,80,"11,515",WM Supercenter
123,93,"69,691",WM Supercenter
123,94,"22,543",WM Supercenter
123,98,"13,773",WM Supercenter
124,80,"1,484",WM Supercenter
124,93,"101,119",WM Supercenter
124,94,"25,231",WM Supercenter
124,98,"25,683",WM Supercenter
125,80,"12,798",WM Supercenter
125,93,"133,263",WM Supercenter
125,94,"30,976",WM Supercenter
125,98,"33,164",WM Supercenter
126,80,"17,429",WM Supercenter
126,93,"80,293",WM Supercenter
126,94,"31,800",WM Supercenter
126,98,"29,698",WM Supercenter
127,80,"18,253",WM Supercenter
127,93,"75,559",WM Supercenter
127,94,"20,429",WM Supercenter
127,98,"28,177",WM Supercenter
128,80,"7,806",WM Supercenter
128,93,"82,460",WM Supercenter
128,94,"26,385",WM Supercenter
128,98,"25,875",WM Supercenter
129,80,"12,875",WM Supercenter
129,93,"116,752",WM Supercenter
129,94,"38,204",WM Supercenter
129,98,"31,838",WM Supercenter
130,80,"10,214",WM Supercenter
130,93,"112,962",WM Supercenter
130,94,"23,025",WM Supercenter
130,98,"30,247",WM Supercenter
131,80,"18,112",WM Supercenter
131,93,"51,404",WM Supercenter
131,94,"21,625",WM Supercenter
131,98,"22,815",WM Supercenter
132,80,"13,260",WM Supercenter
132,93,"43,957",WM Supercenter
132,94,"16,938",WM Supercenter
132,98,"14,566",WM Supercenter
133,80,"8,584",WM Supercenter
133,93,"34,498",WM Supercenter
133,94,"11,815",WM Supercenter
133,98,"10,882",WM Supercenter
134,80,"14,796",WM Supercenter
134,93,"88,491",WM Supercenter
134,94,"26,990",WM Supercenter
134,98,"26,357",WM Supercenter
135,80,"18,186",WM Supercenter
135,93,"57,855",WM Supercenter
135,94,"19,708",WM Supercenter
135,98,"20,558",WM Supercenter
137,80,"17,046",WM Supercenter
137,93,"75,310",WM Supercenter
137,94,"25,857",WM Supercenter
137,98,"29,229",WM Supercenter
138,80,"12,750",WM Supercenter
138,93,"89,849",WM Supercenter
138,94,"32,395",WM Supercenter
