Store #,Tracking Number
1995,603593208220
2207,603593208264
4430,603593208367
2767,603593208389
2768,603593208390
2777,603593208404
3241,603593208415
3379,603593208437
3454,603593208448
4203,603593208470
4341,603593208481
5768,603593208492
5186,603593208562
5190,603593208573
5335,603593208584
2240,603593208665
1881,603593195514
3750,603593198259
5078,603593189909
2098,603593190810
3591,603593207728
3648,603593185215
5482,603593185351
1403,603593187685
3702,603593187972
1082,603593188339
5054,603593188589
1119,603593188810
1534,603593199108
1047,603593199873
855,603593200035
780,603593200046
393,603593200550
60,603593200918
59,603593200940
1219,603593201145
1231,603593201156
1245,603593201167
1254,603593201189
1280,603593201204
1349,603593201226
1390,603593201259
1397,603593201260
1434,603593201270
1444,603593201281
1462,603593201292
1492,603593201307
1511,603593201318
1541,603593201329
1565,603593201330
1567,603593201340
1590,603593201351
1604,603593201362
1617,603593201373
1620,603593201384
1636,603593201395
1702,603593201400
1851,603593201421
1872,603593201432
1956,603593201443
2084,603593201454
2091,603593201465
2105,603593201476
2125,603593201498
2237,603593201513
2306,603593201524
2387,603593201535
2427,603593201546
2455,603593201557
7281,603593201580
528,603593201590
499,603593201605
4055,603593201616
2860,603593201627
3572,603593201638
2151,603593201649
1254,603593201660
1280,603593201671
715,603593201682
6467,603593201785
5959,603593201811
5430,603593201833
5099,603593201969
3518,603593202163
1182,603593202510
1083,603593202634
427,603593203300
2245,603593203788
5435,603593203799
2269,603593203803
5305,603593203814
3568,603593203825
2952,603593203836
2277,603593203847
2495,603593203869
1756,603593203870
2028,603593203880
1230,603593203891
2516,603593203906
1000,603593203940
2881,603593193990
2724,603593194003
2695,603593194025
2715,603593194036
2627,603593194047
2649,603593194058
2599,603593194070
2239,603593194080
2257,603593194091
2066,603593194106
1847,603593194128
1680,603593194140
1837,603593194150
1605,603593194161
1485,603593194183
1494,603593194194
1391,603593194220
1405,603593194231
1362,603593194242
1315,603593194264
163,603593194390
174,603593194404
185,603593194415
194,603593194426
249,603593194448
260,603593194459
297,603593194481
381,603593194518
407,603593194530
447,603593194540
469,603593194573
504,603593194595
513,603593194600
535,603593194621
537,603593194643
546,603593194676
608,603593194687
635,603593194698
666,603593194702
740,603593194724
746,603593194735
752,603593194746
1185,603593194768
768,603593194779
968,603593195043
999,603593195065
2450,603593195168
5434,603593195179
2479,603593195180
5165,603593195205
2536,603593195227
5195,603593195250
5434,603593195260
452,603593195319
456,603593195320
595,603593195330
1041,603593195363
1549,603593195400
1575,603593195422
1624,603593195455
1815,603593195488
1862,603593195503
2002,603593195547
2007,603593195558
2025,603593195569
2031,603593195570
2048,603593195580
2069,603593195591
2077,603593195606
2110,603593195617
2242,603593195628
5165,603593195639
5166,603593195640
2648,603593195731
2763,603593195742
2950,603593195753
2951,603593195764
3180,603593195786
3218,603593195797
3258,603593195801
3276,603593195812
3320,603593195823
3455,603593195834
3524,603593195878
3537,603593195889
3567,603593195890
3796,603593195915
4112,603593195926
4137,603593195937
826,603593195992
3428,603593196061
3728,603593196072
2869,603593196668
1487,603593196900
6807,603593197080
2134,603593197105
2089,603593197116
2131,603593197127
2019,603593197138
2023,603593197149
2005,603593197150
2009,603593197160
1985,603593197171
1991,603593197182
1971,603593197193
1981,603593197208
1965,603593197219
1968,603593197220
1943,603593197230
1952,603593197241
1890,603593197252
1934,603593197263
1875,603593197274
1884,603593197285
1860,603593197296
1868,603593197300
1852,603593197311
1855,603593197322
1841,603593197333
1842,603593197344
1774,603593197355
1802,603593197366
1761,603593197377
1764,603593197388
1739,603593197399
1757,603593197403
1730,603593197414
1736,603593197425
1721,603593197436
1711,603593197458
1717,603593197469
1691,603593197470
1710,603593197480
1674,603593197491
5295,603593197506
5150,603593197517
5103,603593197528
5087,603593197539
4553,603593197540
2804,603593197550
2586,603593197561
2399,603593197572
1855,603593197583
1679,603593197594
1453,603593197609
1392,603593197610
1183,603593197620
754,603593197631
569,603593197642
2804,603593197653
7326,603593197675
7280,603593197686
7020,603593197697
6998,603593197701
6964,603593197712
6958,603593197723
6931,603593197734
6879,603593197745
6807,603593197756
6469,603593197767
5891,603593197778
5879,603593197789
5797,603593197790
5625,603593197804
5481,603593197815
5450,603593197826
5447,603593197837
5445,603593197848
5436,603593197859
5363,603593197860
5361,603593197870
5348,603593197881
5320,603593197892
5298,603593197907
5295,603593197918
5293,603593197929
5263,603593197930
5254,603593197940
5252,603593197951
5236,603593197962
5229,603593197973
5196,603593197984
5150,603593197995
5129,603593198009
5113,603593198020
5103,603593198031
5087,603593198042
5063,603593198053
5057,603593198064
5039,603593198075
4558,603593198086
4553,603593198097
4497,603593198101
4487,603593198112
4484,603593198123
4477,603593198134
4475,603593198145
4472,603593198156
4387,603593198167
4381,603593198178
4283,603593198189
4108,603593198204
4064,603593198215
3894,603593198226
3829,603593198237
3804,603593198248
3741,603593198260
3720,603593198270
3710,603593198281
3709,603593198292
3658,603593198307
3648,603593198318
3627,603593198329
3626,603593198330
3612,603593198340
3611,603593198351
3609,603593198362
3602,603593198373
3590,603593198384
3560,603593198395
3513,603593198400
3489,603593198410
3469,603593198421
3462,603593198432
3457,603593198443
3430,603593198454
3402,603593198465
3401,603593198476
3388,603593198487
3367,603593198498
3301,603593198502
3233,603593198513
3230,603593198524
3214,603593198535
3205,603593198546
2967,603593198557
2939,603593198568
2928,603593198579
2847,603593198580
2846,603593198590
2830,603593198605
2821,603593198616
2811,603593198627
2806,603593198638
2793,603593198649
2733,603593198650
2732,603593198660
2720,603593198671
2716,603593198682
2712,603593198693
2705,603593198708
2691,603593198719
2690,603593198720
2687,603593198730
2642,603593198741
2628,603593198752
2614,603593198763
2586,603593198774
2649,603593189026
5462,603593189585
4238,603593189596
5041,603593189611
3220,603593189644
2526,603593189677
1988,603593189699
2458,603593189703
2006,603593189725
2251,603593189736
2621,603593189747
2280,603593189758
1983,603593189769
3087,603593189770
2516,603593189780
1772,603593189806
2077,603593189839
1878,603593189883
1989,603593189894
5192,603593189910
1817,603593189920
2886,603593189931
2325,603593189953
5096,603593189964
1651,603593189986
2069,603593189997
3796,603593190008
5429,603593190019
1439,603593190041
1882,603593190074
5710,603593190085
1438,603593190096
1915,603593190100
4488,603593190122
5641,603593190133
2242,603593190144
3261,603593190188
3652,603593190203
4171,603593190214
5368,603593190225
2517,603593190236
1660,603593190258
2537,603593190269
5154,603593190270
2951,603593190291
4101,603593190306
1815,603593190328
3258,603593190339
3525,603593190340
1559,603593190361
2592,603593190420
2838,603593190431
3847,603593190442
3728,603593190501
3351,603593190512
2323,603593190784
1564,603593191173
5418,603593191243
5251,603593191298
3210,603593191541
3151,603593191574
2233,603593191872
2058,603593191953
1698,603593192158
1666,603593192170
1348,603593192397
1351,603593192401
1321,603593192412
1339,603593192423
1314,603593192434
1298,603593192456
1300,603593192467
1263,603593192478
875,603593192754
708,603593192927
672,603593192950
70,603593193360
757,603593193419
2724,603593193420
765,603593193430
1200,603593193452
789,603593193463
842,603593193474
772,603593193496
151,603593193500
5964,603593193522
6286,603593193533
5612,603593193544
5898,603593193555
5334,603593193566
5455,603593193577
5035,603593193647
5080,603593193658
4588,603593193669
5034,603593193670
4298,603593193680
4416,603593193691
3877,603593193706
4284,603593193717
3826,603593193728
3872,603593193739
3702,603593193750
3623,603593193761
3625,603593193772
3584,603593193794
3533,603593193809
3566,603593193810
3425,603593193820
3500,603593193831
3391,603593193842
3406,603593193853
3319,603593193864
3370,603593193875
3309,603593193897
3297,603593193912
3235,603593193923
3224,603593193956
2913,603593193967
2996,603593193978
2729,603593193989
1438,603593204041
1554,603593204074
1563,603593204085
1574,603593204096
1588,603593204100
1608,603593204111
1645,603593204133
1660,603593204144
1693,603593204155
1697,603593204166
1747,603593204188
1755,603593204199
1756,603593204203
1772,603593204214
1784,603593204225
1789,603593204236
1805,603593204247
1826,603593204258
1832,603593204269
1834,603593204270
1853,603593204280
1877,603593204306
1879,603593204317
1880,603593204328
1903,603593204339
1914,603593204340
1915,603593204350
1958,603593204361
1983,603593204372
2001,603593204394
2028,603593204409
2030,603593204410
2032,603593204420
2099,603593204442
2101,603593204453
2150,603593204475
2177,603593204486
3523,603593204512
2385,603593204534
2401,603593204545
2403,603593204556
2457,603593204567
2464,603593204578
2469,603593204589
2492,603593204604
2495,603593204615
2537,603593204637
2550,603593204660
2735,603593204692
2921,603593204730
2947,603593204740
2948,603593204751
2952,603593204762
2985,603593204773
3493,603593204800
1992,603593204810
5072,603593204821
3531,603593204832
3652,603593204854
3708,603593204865
3794,603593204898
3886,603593204913
4508,603593204957
5023,603593204968
5930,603593204979
5134,603593204990
5136,603593205004
5192,603593205015
5305,603593205026
5331,603593205037
5338,603593205048
5368,603593205060
5425,603593205070
5435,603593205081
5807,603593205118
5070,603593205129
2189,603593205140
7156,603593207496
6190,603593207533
987,603593207934
811,603593208003
2594,603593208080
1600,603593208106
1692,603593208128
1789,603593208139
1793,603593208140
1870,603593208161
1920,603593208183
1922,603593208194
1972,603593208209
1979,603593208210
2094,603593208231
2119,603593208242
2190,603593208253
2218,603593208275
2241,603593208286
2253,603593208297
2319,603593208301
2418,603593208312
2476,603593208323
2523,603593208334
2538,603593208345
2596,603593208356
2636,603593208378
3477,603593208459
4132,603593208460
4678,603593208507
5032,603593208518
5139,603593208529
5152,603593208530
5162,603593208540
5167,603593208551
5686,603593208595
5751,603593208600
2106,603593208610
2270,603593208621
391,603593200583
1001,603593195076
217,603593194437
1281,603593199483
1059,603593199840
2404,603593194069
1996,603593194139
1279,603593194286
5884,603593195249
5193,603593195282
397,603593195293
429,603593195308
1175,603593195374
1587,603593195433
1615,603593195444
1686,603593195466
1746,603593195477
1840,603593195499
1899,603593195525
1963,603593195536
2515,603593195650
2536,603593195661
2552,603593195672
2557,603593195683
2568,603593195694
2571,603593195709
2609,603593195710
3464,603593195845
3465,603593195856
3522,603593195867
4336,603593195948
4340,603593195959
5140,603593195960
2592,603593196028
2593,603593196039
2160,603593197090
1723,603593197447
8331,603593197664
5122,603593198010
2050,603593190523
554,603593193511
5317,603593193599
5245,603593193603
5250,603593193614
5147,603593193636
3645,603593193740
3302,603593193886
3014,603593193945
3239,603593204784
703,603593208025
3248,603593208426
4359,603593196094
3883,603593196109
4144,603593198190
5092,603593193625
2126,603593205184
3149,603593205200
3478,603593205210
2473,603593205221
2321,603593205232
2722,603593205195
2070,603593196017
